LGA_CODE_2021,C11_CFNC_BF_Neg_ni_inc,C11_CFNC_BF_1_149,C11_CFNC_BF_150_399,C11_CFNC_BF_400_649,C11_CFNC_BF_650_799,C11_CFNC_BF_800_1249,C11_CFNC_BF_1250_1999,C11_CFNC_BF_2000_2499,C11_CFNC_BF_2500_2999,C11_CFNC_BF_3000_3999,C11_CFNC_BF_4000more,C11_CFNC_BF_Ns,C11_CFNC_BF_Tot,C11_CFNC_BPT_Neg_ni_inc,C11_CFNC_BPT_1_149,C11_CFNC_BPT_150_399,C11_CFNC_BPT_400_649,C11_CFNC_BPT_650_799,C11_CFNC_BPT_800_1249,C11_CFNC_BPT_1250_1999,C11_CFNC_BPT_2000_2499,C11_CFNC_BPT_2500_2999,C11_CFNC_BPT_3000_3999,C11_CFNC_BPT_4000more,C11_CFNC_BPT_Ns,C11_CFNC_BPT_Tot,C11_CFNC_1F1P_Neg_ni_inc,C11_CFNC_1F1P_1_149,C11_CFNC_1F1P_150_399,C11_CFNC_1F1P_400_649,C11_CFNC_1F1P_650_799,C11_CFNC_1F1P_800_1249,C11_CFNC_1F1P_1250_1999,C11_CFNC_1F1P_2000_2499,C11_CFNC_1F1P_2500_2999,C11_CFNC_1F1P_3000_3999,C11_CFNC_1F1P_4000more,C11_CFNC_1F1P_Ns,C11_CFNC_1F1P_Tot,C11_CFNC_1E1A_Neg_ni_inc,C11_CFNC_1E1A_1_149,C11_CFNC_1E1A_150_399,C11_CFNC_1E1A_400_649,C11_CFNC_1E1A_650_799,C11_CFNC_1E1A_800_1249,C11_CFNC_1E1A_1250_1999,C11_CFNC_1E1A_2000_2499,C11_CFNC_1E1A_2500_2999,C11_CFNC_1E1A_3000_3999,C11_CFNC_1E1A_4000more,C11_CFNC_1E1A_Ns,C11_CFNC_1E1A_Tot,C11_CFNC_1F1NW_Neg_ni_inc,C11_CFNC_1F1NW_1_149,C11_CFNC_1F1NW_150_399,C11_CFNC_1F1NW_400_649,C11_CFNC_1F1NW_650_799,C11_CFNC_1F1NW_800_1249,C11_CFNC_1F1NW_1250_1999,C11_CFNC_1F1NW_2000_2499,C11_CFNC_1F1NW_2500_2999,C11_CFNC_1F1NW_3000_3999,C11_CFNC_1F1NW_4000more,C11_CFNC_1F1NW_Ns,C11_CFNC_1F1NW_Tot,C11_CFNC_1P1NW_Neg_ni_inc,C11_CFNC_1P1NW_1_149,C11_CFNC_1P1NW_150_399,C11_CFNC_1P1NW_400_649,C11_CFNC_1P1NW_650_799,C11_CFNC_1P1NW_800_1249,C11_CFNC_1P1NW_1250_1999,C11_CFNC_1P1NW_2000_2499,C11_CFNC_1P1NW_2500_2999,C11_CFNC_1P1NW_3000_3999,C11_CFNC_1P1NW_4000more,C11_CFNC_1P1NW_Ns,C11_CFNC_1P1NW_Tot,C11_CFNC_1A1NW_Neg_ni_inc,C11_CFNC_1A1NW_1_149,C11_CFNC_1A1NW_150_399,C11_CFNC_1A1NW_400_649,C11_CFNC_1A1NW_650_799,C11_CFNC_1A1NW_800_1249,C11_CFNC_1A1NW_1250_1999,C11_CFNC_1A1NW_2000_2499,C11_CFNC_1A1NW_2500_2999,C11_CFNC_1A1NW_3000_3999,C11_CFNC_1A1NW_4000more,C11_CFNC_1A1NW_Ns,C11_CFNC_1A1NW_Tot,C11_CFNC_BA_Neg_ni_inc,C11_CFNC_BA_1_149,C11_CFNC_BA_150_399,C11_CFNC_BA_400_649,C11_CFNC_BA_650_799,C11_CFNC_BA_800_1249,C11_CFNC_BA_1250_1999,C11_CFNC_BA_2000_2499,C11_CFNC_BA_2500_2999,C11_CFNC_BA_3000_3999,C11_CFNC_BA_4000more,C11_CFNC_BA_Ns,C11_CFNC_BA_Tot,C11_CFNC_BNW_Neg_ni_inc,C11_CFNC_BNW_1_149,C11_CFNC_BNW_150_399,C11_CFNC_BNW_400_649,C11_CFNC_BNW_650_799,C11_CFNC_BNW_800_1249,C11_CFNC_BNW_1250_1999,C11_CFNC_BNW_2000_2499,C11_CFNC_BNW_2500_2999,C11_CFNC_BNW_3000_3999,C11_CFNC_BNW_4000more,C11_CFNC_BNW_Ns,C11_CFNC_BNW_Tot,C11_CFNC_LFns_Neg_ni_inc,C11_CFNC_LFns_1_149,C11_CFNC_LFns_150_399,C11_CFNC_LFns_400_649,C11_CFNC_LFns_650_799,C11_CFNC_LFns_800_1249,C11_CFNC_LFns_1250_1999,C11_CFNC_LFns_2000_2499,C11_CFNC_LFns_2500_2999,C11_CFNC_LFns_3000_3999,C11_CFNC_LFns_4000more,C11_CFNC_LFns_Ns,C11_CFNC_LFns_Tot,C11_CFNC_Tot_Neg_ni_inc,C11_CFNC_Tot_1_149,C11_CFNC_Tot_150_399,C11_CFNC_Tot_400_649,C11_CFNC_Tot_650_799,C11_CFNC_Tot_800_1249,C11_CFNC_Tot_1250_1999,C11_CFNC_Tot_2000_2499,C11_CFNC_Tot_2500_2999,C11_CFNC_Tot_3000_3999,C11_CFNC_Tot_4000more,C11_CFNC_Tot_Ns,C11_CFNC_Tot_Tot,C11_CF_BFT_Neg_ni_inc,C11_CF_BFT_1_149,C11_CF_BFT_150_399,C11_CF_BFT_400_649,C11_CF_BFT_650_799,C11_CF_BFT_800_1249,C11_CF_BFT_1250_1999,C11_CF_BFT_2000_2499,C11_CF_BFT_2500_2999,C11_CF_BFT_3000_3999,C11_CF_BFT_4000more,C11_CF_BFT_Ns,C11_CF_BFT_Tot,C11_CF_BPT_Neg_ni_inc,C11_CF_BPT_1_149,C11_CF_BPT_150_399,C11_CF_BPT_400_649,C11_CF_BPT_650_799,C11_CF_BPT_800_1249,C11_CF_BPT_1250_1999,C11_CF_BPT_2000_2499,C11_CF_BPT_2500_2999,C11_CF_BPT_3000_3999,C11_CF_BPT_4000more,C11_CF_BPT_Ns,C11_CF_BPT_Tot,C11_CF_1F1P_Neg_ni_inc,C11_CF_1F1P_1_149,C11_CF_1F1P_150_399,C11_CF_1F1P_400_649,C11_CF_1F1P_650_799,C11_CF_1F1P_800_1249,C11_CF_1F1P_1250_1999,C11_CF_1F1P_2000_2499,C11_CF_1F1P_2500_2999,C11_CF_1F1P_3000_3999,C11_CF_1F1P_4000more,C11_CF_1F1P_Ns,C11_CF_1F1P_Tot,C11_CF_1E1A_Neg_ni_inc,C11_CF_1E1A_1_149,C11_CF_1E1A_150_399,C11_CF_1E1A_400_649,C11_CF_1E1A_650_799,C11_CF_1E1A_800_1249,C11_CF_1E1A_1250_1999,C11_CF_1E1A_2000_2499,C11_CF_1E1A_2500_2999,C11_CF_1E1A_3000_3999,C11_CF_1E1A_4000more,C11_CF_1E1A_Ns,C11_CF_1E1A_Tot,C11_CF_1F1NW_Neg_ni_inc,C11_CF_1F1NW_1_149,C11_CF_1F1NW_150_399,C11_CF_1F1NW_400_649,C11_CF_1F1NW_650_799
LGA34830,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,9,0,0,0,0,0,0,0,0,0,0,0,0,7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6,4,0,0,0,0,0,0,0,0,9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7,0,0,0,0,0,0,0,0,19,0,0,0,0,0,0,0,0,0,0,0,0,8,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
LGA34860,24,0,9,14,12,56,142,102,38,64,28,11,507,0,0,3,3,0,13,9,0,0,3,3,5,49,3,0,3,10,6,50,68,29,11,9,6,3,205,0,0,0,0,6,14,13,12,8,4,0,0,56,3,0,3,10,17,37,24,6,4,0,5,4,122,0,0,4,8,11,10,3,0,0,0,4,0,45,0,0,0,4,5,5,5,5,0,0,0,3,27,0,0,0,0,0,0,5,0,3,0,5,5,21,15,0,14,98,40,34,10,0,0,6,0,16,232,0,0,0,0,4,0,0,0,0,0,0,130,137,49,5,41,157,97,215,277,166,70,94,45,182,1398,8,0,5,6,10,32,109,66,52,66,14,65,430,0,0,0,6,0,9,15,5,0,5,0,0,45,8,0,11,0,14,61,123,82,37,40,14,26,405,0,0,0,0,0,7,22,7,0,11,3,11,73,0,0,4,8,11
LGA34880,9,0,9,14,15,50,156,93,31,38,13,16,437,0,0,3,13,6,41,19,4,0,7,0,6,98,8,0,3,11,14,57,91,36,14,14,0,11,260,0,0,0,4,0,13,20,12,7,5,3,4,60,6,0,6,18,31,48,50,7,15,9,6,13,203,0,0,10,43,22,47,15,5,5,0,0,4,159,0,0,3,4,3,6,15,0,0,5,0,3,44,0,0,0,0,0,7,3,0,0,6,0,10,23,21,6,50,318,120,164,34,11,6,0,0,28,751,0,0,0,7,3,3,5,0,0,0,0,208,226,43,10,90,447,221,438,399,172,67,69,23,286,2264,4,7,8,10,8,36,129,96,53,42,10,45,440,0,0,0,4,0,23,27,11,0,8,5,6,83,0,0,10,9,6,77,194,82,26,36,5,37,484,0,0,0,0,0,16,24,14,9,5,0,10,80,0,0,3,12,29
LGA35010,20,3,15,47,70,504,2728,2647,1096,1281,411,154,8971,10,4,26,98,135,410,361,110,46,52,21,39,1320,12,4,19,57,113,952,1884,917,376,403,81,81,4904,8,0,8,16,30,144,325,215,101,129,34,41,1043,19,9,41,175,421,1256,1257,198,501,101,32,147,4163,9,13,129,532,343,611,315,62,57,34,4,62,2178,10,6,13,65,59,129,124,21,41,7,7,42,510,3,0,3,14,14,48,86,76,34,39,9,29,348,266,49,773,5212,2346,2973,944,151,62,45,45,424,13291,16,0,12,99,48,48,27,7,4,0,4,2204,2469,369,85,1049,6327,3583,7072,8039,4412,2306,2098,644,3219,39193,25,12,23,29,33,324,1999,2393,1523,2077,962,843,10246,0,0,13,59,61,316,441,238,97,119,43,129,1531,16,18,22,60,107,1255,4429,2849,1671,1973,427,845,13660,7,4,4,9,22,192,646,507,317,335,106,186,2323,19,19,32,123,363
LGA35250,0,0,0,0,0,0,0,8,0,0,0,0,16,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,3,0,3,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,0,0,0,0,0,0,4,0,0,3,5,3,0,0,0,0,0,0,0,19,0,0,0,0,0,0,0,0,0,0,0,4,4,0,0,3,9,8,13,10,13,0,0,0,4,57,0,0,0,0,0,3,7,0,0,0,0,0,14,0,0,0,0,0,0,0,0,0,0,0,0,5,0,0,0,0,0,0,0,0,0,0,0,0,10,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6,3
LGA35300,0,0,0,4,5,13,104,169,109,280,104,18,806,0,0,0,0,6,5,10,7,4,0,5,0,30,0,0,0,3,6,11,53,43,29,54,12,12,213,0,0,0,0,0,3,8,6,11,10,3,3,47,0,0,0,4,14,20,65,12,44,9,0,15,183,0,0,0,5,8,5,9,0,4,0,0,8,39,0,0,0,0,0,7,8,0,0,0,0,4,19,0,0,0,0,0,0,4,3,3,4,0,6,29,8,0,14,69,24,39,14,5,0,0,0,7,177,0,0,0,5,0,0,0,0,0,0,0,124,136,11,0,21,91,57,102,269,251,206,354,123,191,1675,3,0,0,0,0,6,43,72,105,210,154,60,669,0,0,0,0,0,0,4,6,6,9,7,3,30,0,0,0,3,3,12,74,87,100,169,29,36,515,0,0,0,0,0,0,10,20,12,39,11,11,99,6,0,3,4,11
LGA35600,3,0,0,0,0,19,65,37,11,6,3,0,162,0,0,0,0,5,4,0,3,0,0,0,0,15,0,0,0,0,3,24,15,5,4,4,3,3,62,0,0,0,0,0,3,0,4,0,0,0,0,11,0,0,0,4,4,11,10,0,0,0,0,3,31,0,0,0,4,7,8,0,0,0,0,0,0,22,0,0,0,0,3,0,0,0,0,0,0,0,8,0,0,0,0,0,0,0,4,0,0,0,0,11,0,0,7,50,12,15,0,0,0,0,0,7,99,0,0,0,3,0,0,0,0,0,0,0,62,70,12,0,15,67,33,82,97,55,20,12,11,84,489,0,4,0,4,5,22,48,31,12,13,7,22,158,0,0,0,0,0,5,0,0,0,0,0,3,9,0,0,0,0,5,21,40,23,14,12,3,13,127,0,0,0,4,0,0,10,3,0,4,0,4,31,0,0,0,7,11
LGA35670,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7,7,5,0,0,0,0,0,0,0,15,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7,6,0,0,3,0,0,0,0,0,24,0,0,0,0,0,0,9,5,0,0,0,0,16,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
LGA35740,6,0,3,11,17,97,287,197,56,96,31,27,836,0,0,4,31,40,142,91,28,6,10,14,3,369,4,0,6,17,26,171,287,116,55,63,14,12,770,3,0,5,3,7,13,57,23,5,13,3,5,136,8,4,12,31,44,127,138,28,55,21,3,9,479,3,7,35,121,90,130,86,25,35,13,14,8,569,3,0,0,16,7,20,25,0,10,5,0,4,96,0,0,0,0,5,9,13,4,3,8,3,0,40,66,9,169,848,409,648,358,90,70,55,40,87,2835,0,0,0,12,9,9,0,0,0,0,0,486,523,88,21,235,1098,644,1359,1327,498,296,284,138,647,6642,11,0,5,8,12,66,210,150,95,96,42,86,781,0,6,5,11,14,97,96,30,22,13,5,34,336,0,4,11,16,17,219,521,211,129,108,40,122,1392,0,0,4,3,4,26,59,38,19,24,6,15,190,5,3,9,28,47
LGA35760,12,0,8,11,19,42,98,40,12,20,12,24,302,0,0,3,10,9,15,12,0,0,0,0,5,59,7,0,6,10,14,49,66,14,5,8,3,5,182,0,0,4,3,5,10,11,5,0,0,0,4,34,0,3,7,16,24,39,30,7,5,0,0,11,140,3,0,4,33,15,13,7,0,0,0,0,9,76,0,0,0,7,3,6,4,0,0,0,0,0,19,0,0,0,0,0,3,6,0,0,0,0,5,16,11,5,29,222,59,50,18,6,0,0,0,16,430,0,0,4,11,3,4,0,0,0,0,0,105,122,46,6,73,313,142,226,253,64,22,28,17,179,1388,6,0,0,9,8,36,60,37,28,19,10,29,238,0,0,0,0,5,10,10,3,0,0,0,3,31,4,0,0,0,8,44,101,39,17,14,6,25,255,0,0,0,4,0,8,14,8,4,0,0,0,42,0,0,7,9,19
LGA35780,0,0,0,0,0,3,7,10,0,4,0,0,25,0,0,0,0,0,4,0,0,0,0,0,0,6,0,0,0,0,0,4,6,0,0,0,0,0,9,0,0,0,0,0,0,3,0,0,0,0,0,4,0,0,0,0,0,5,0,0,0,0,0,0,5,0,0,3,4,0,3,0,0,0,0,0,0,8,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,10,8,0,0,0,0,0,0,0,20,0,0,0,0,0,0,0,0,0,0,0,3,7,0,0,13,15,5,20,15,16,5,9,0,4,85,0,0,0,0,0,15,21,19,3,4,0,0,63,0,0,0,0,0,0,5,0,0,0,0,0,5,0,0,0,0,0,9,18,6,3,0,0,0,29,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,4,8
LGA35790,0,0,0,0,0,3,8,0,5,0,0,0,10,0,0,0,5,0,0,0,0,0,0,0,0,5,0,0,0,0,0,3,0,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,3,0,0,0,0,0,0,13,0,0,0,0,0,0,0,0,0,0,0,0,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7,9,4,0,0,0,0,0,0,0,14,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,16,6,12,9,4,4,0,0,0,51,0,0,0,0,0,8,8,4,3,0,0,0,21,0,0,0,0,0,3,0,0,0,0,0,0,15,0,0,0,0,0,10,5,3,0,3,0,0,18,0,0,0,0,0,4,0,0,0,0,0,0,5,0,0,0,4,0
LGA35800,3,0,0,3,0,17,16,11,9,9,3,5,72,0,0,0,0,0,0,0,0,0,0,0,0,6,0,0,0,0,0,6,13,4,6,0,0,0,32,0,0,0,0,0,0,0,4,0,0,0,0,3,0,0,0,0,0,3,0,0,0,0,0,0,9,0,0,0,7,5,0,0,0,0,0,0,0,7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,24,5,6,0,0,0,0,0,3,47,0,0,0,0,0,0,0,0,0,0,0,20,20,5,0,3,34,20,36,35,19,10,9,5,26,191,0,0,0,0,0,6,10,4,4,6,0,10,40,0,0,0,0,0,3,0,0,0,0,0,4,7,0,0,0,0,0,12,11,7,3,6,0,0,37,0,0,0,0,0,0,0,3,0,0,0,0,7,0,0,0,0,3
LGA36070,0,0,0,0,0,0,4,3,0,0,0,0,12,0,0,0,0,3,0,0,0,0,0,0,0,9,0,0,0,0,0,7,0,0,0,0,0,0,7,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,4,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6,0,0,0,0,0,0,0,0,8,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,12,4,14,3,4,3,0,0,0,46,0,0,0,0,0,5,0,0,0,0,0,0,8,0,0,0,0,0,4,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0
LGA36150,0,0,0,0,0,13,6,5,0,0,0,4,40,0,0,4,5,0,0,0,0,0,0,0,0,10,0,0,0,0,0,3,7,0,0,0,0,0,11,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6,0,0,0,0,0,10,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,3,0,0,0,0,0,0,3,0,0,0,4,0,0,0,0,0,0,0,3,5,0,0,0,0,0,0,0,0,0,0,0,15,22,4,0,7,8,11,28,23,5,6,0,0,20,109,0,0,0,0,3,3,8,3,3,0,0,3,34,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6,0,0,0,0,5,20,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7
LGA36250,10,0,9,12,23,156,932,996,410,541,200,52,3344,4,0,12,35,53,167,143,53,12,32,11,6,530,3,0,3,18,29,326,722,378,170,192,44,31,1929,4,0,0,9,11,44,98,66,41,41,11,21,349,4,0,15,51,111,402,466,93,203,54,21,58,1476,6,6,50,191,158,252,141,26,28,5,0,14,878,0,0,9,10,22,35,48,10,18,5,0,9,180,4,0,0,6,0,14,32,19,6,14,3,13,126,116,25,270,1890,890,1181,415,71,38,36,27,191,5145,6,0,5,38,18,19,7,0,4,0,0,824,922,164,31,374,2257,1323,2605,3003,1715,930,927,322,1220,14874,8,3,8,7,14,90,723,981,653,945,520,375,4326,0,0,0,17,14,101,181,96,37,50,20,63,580,7,3,20,22,35,414,1767,1143,771,911,241,385,5722,0,0,5,3,11,59,215,177,114,148,47,89,865,10,4,16,36,99
LGA36300,5,0,0,0,0,10,15,0,0,0,3,0,42,0,0,0,0,0,5,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,5,0,0,0,0,0,3,0,0,0,0,0,0,9,0,0,0,4,0,5,0,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,3,3,0,0,0,0,0,0,0,11,0,0,0,0,0,0,0,0,0,0,0,3,7,3,0,0,10,4,22,20,6,0,3,3,8,98,0,0,0,0,0,3,7,3,0,4,0,8,21,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,3,4,0,4,0,4,23,0,0,0,0,0,0,0,0,0,0,0,0,9,0,0,0,0,0
LGA36370,8,0,0,6,24,135,561,505,197,297,86,41,1858,3,0,5,7,15,66,50,29,10,6,4,8,204,5,0,6,11,24,203,375,171,67,83,17,17,977,0,0,0,7,6,26,54,37,17,23,4,15,187,0,0,6,35,80,202,225,28,102,20,5,45,755,0,4,16,99,69,82,40,9,6,0,0,15,345,0,0,4,13,5,21,5,5,9,0,0,9,71,0,0,0,0,0,5,14,15,10,11,3,15,79,44,5,112,1060,341,383,107,21,11,6,9,85,2180,0,0,4,25,6,7,7,0,0,0,0,713,768,68,12,161,1264,576,1120,1446,820,426,447,131,961,7412,15,0,0,8,6,52,397,424,252,375,176,174,1867,0,0,0,3,9,28,57,30,18,18,10,16,189,6,0,4,9,24,178,738,420,261,309,87,162,2188,4,0,0,0,4,37,123,97,56,65,14,46,443,4,4,8,17,57
LGA36510,13,0,12,12,29,98,284,212,65,85,26,18,855,3,0,10,21,21,74,37,15,6,6,0,6,198,9,0,10,18,26,163,221,93,35,37,6,12,627,0,0,0,6,7,30,39,12,4,10,4,3,121,5,0,11,27,66,146,131,14,47,10,4,23,492,3,6,20,64,61,80,34,6,14,6,3,10,307,3,0,3,8,9,18,9,0,3,0,0,0,63,0,0,3,3,3,14,10,12,0,3,4,3,50,37,8,103,682,231,292,94,19,15,11,8,55,1554,0,0,0,14,5,8,3,0,0,0,0,251,284,65,10,182,854,471,915,871,393,192,170,60,382,4553,3,0,4,6,12,54,205,167,100,114,40,73,796,0,0,0,3,10,36,60,25,11,19,4,13,182,0,8,3,9,25,141,437,204,108,102,15,97,1167,0,0,0,3,0,23,63,43,18,14,11,21,197,0,0,5,18,48
LGA36580,3,0,8,12,7,46,147,94,34,44,13,10,430,0,0,5,3,17,36,33,5,6,0,0,4,118,3,0,4,7,12,83,127,46,16,20,0,6,317,0,0,0,4,4,7,20,10,9,4,0,0,58,0,0,4,18,48,96,72,10,23,7,0,20,293,0,0,26,61,51,31,25,5,6,0,0,3,199,0,0,8,5,4,14,3,0,0,0,0,0,39,0,0,3,0,0,3,4,0,3,4,0,5,27,18,0,62,518,128,184,39,3,4,0,3,38,1003,0,0,0,13,3,4,5,0,0,0,0,142,161,40,10,129,639,271,498,474,178,91,76,18,235,2648,0,0,8,5,3,28,134,106,71,48,14,49,467,0,0,0,0,6,18,36,10,3,3,0,3,80,0,0,9,6,9,110,199,103,35,34,9,52,560,0,3,0,0,5,13,28,19,5,15,3,14,105,3,5,4,7,35
LGA36630,4,0,15,25,23,97,182,106,40,68,24,18,603,0,0,4,22,35,36,23,10,0,0,0,3,134,0,0,11,17,37,140,176,67,25,29,0,9,503,4,0,0,8,4,26,26,12,0,6,0,6,82,3,0,7,29,51,113,73,11,26,3,0,13,340,0,0,27,79,71,65,15,0,3,0,0,8,267,0,0,0,10,7,14,3,0,0,0,0,4,40,0,0,3,3,3,3,5,5,0,5,0,3,38,29,0,95,906,203,268,51,11,3,3,0,63,1635,0,0,6,23,8,8,0,0,0,0,0,294,337,39,6,159,1116,438,760,560,220,101,111,28,423,3976,7,3,15,15,9,48,149,92,63,70,24,58,552,0,0,0,3,6,42,35,11,0,9,0,5,116,0,6,5,9,16,146,275,112,71,56,15,64,765,0,0,5,6,0,9,37,17,11,17,0,4,111,0,0,10,18,38
LGA36660,14,0,9,24,26,127,294,125,50,46,8,15,753,0,0,10,24,24,70,51,8,0,5,0,4,198,5,0,13,25,19,165,225,56,18,11,5,13,554,0,0,0,7,6,15,36,12,0,12,0,12,109,0,0,14,40,64,120,87,8,11,0,0,21,378,3,0,19,92,58,70,22,6,4,3,0,8,287,4,0,0,10,8,19,14,0,3,0,0,0,68,5,0,3,0,0,15,10,8,0,0,0,6,47,19,0,87,767,237,276,81,13,3,7,3,57,1554,0,0,6,18,6,9,5,0,0,0,0,242,281,56,13,160,1015,452,881,828,238,97,88,18,387,4235,3,0,6,8,17,65,185,123,64,59,21,75,631,0,0,0,10,8,51,32,16,7,0,0,12,139,0,0,8,21,33,215,405,146,57,44,15,85,1034,0,0,0,0,4,23,45,28,10,6,0,8,124,0,6,8,21,50
LGA36720,39,0,37,58,61,448,1668,1365,485,621,225,90,5104,9,4,31,138,152,516,384,113,44,51,29,32,1505,13,3,30,65,132,947,1529,594,226,318,65,71,3994,3,0,3,22,27,112,195,96,56,53,9,33,609,22,6,29,133,272,742,681,141,276,70,25,91,2492,15,17,145,494,384,590,323,69,48,42,15,66,2196,0,0,14,50,50,87,80,16,30,14,7,19,378,0,0,8,6,15,44,70,32,10,21,14,18,247,271,44,639,4489,2246,3286,1263,263,144,115,102,402,13264,8,3,12,97,27,45,22,5,5,0,4,2164,2386,388,82,945,5548,3370,6819,6209,2697,1315,1298,510,2989,32170,17,9,12,24,42,277,1206,1068,628,840,376,485,4989,6,0,19,44,64,386,479,195,93,69,31,106,1497,19,15,31,90,133,1051,2966,1525,817,929,267,554,8396,3,0,6,9,31,171,380,252,145,167,44,111,1320,10,11,42,106,272
LGA36820,17,0,9,13,19,60,145,100,43,55,23,8,489,0,0,6,12,12,47,34,15,0,4,0,4,133,0,0,3,10,15,86,142,39,18,22,3,7,347,4,0,0,7,8,15,35,14,0,6,0,3,87,10,0,7,15,39,93,66,8,18,3,0,19,269,0,6,17,67,39,61,27,5,0,0,0,11,223,0,0,0,10,5,16,8,0,5,0,0,0,52,0,0,0,0,3,0,3,0,0,0,6,5,29,33,5,85,520,180,205,64,7,14,3,3,49,1170,0,0,4,8,3,0,3,0,0,0,0,284,305,57,9,136,656,319,585,532,189,98,98,38,395,3106,8,3,6,7,7,46,108,70,48,41,20,48,406,0,0,0,3,3,29,36,13,3,3,0,5,103,4,3,6,6,16,97,205,80,57,43,10,31,559,0,0,0,0,5,12,33,20,10,6,3,10,95,3,0,4,21,32
LGA36910,36,3,38,48,68,318,1289,869,348,398,156,68,3633,11,0,27,64,70,199,135,58,11,27,14,12,638,8,0,19,42,88,580,876,375,132,147,48,29,2348,0,0,3,7,13,67,129,75,20,45,10,15,389,5,8,19,95,207,527,439,72,116,40,13,67,1612,10,9,45,234,180,254,100,23,14,11,0,20,910,0,0,3,27,32,59,41,7,15,0,0,9,200,3,0,5,11,9,25,43,32,9,9,0,18,164,101,10,267,2198,914,1092,351,68,35,41,33,207,5315,10,0,12,47,17,20,17,0,0,0,3,1146,1273,188,30,437,2770,1599,3142,3418,1578,710,725,269,1602,16468,16,5,14,25,31,179,775,763,488,602,235,342,3466,0,0,4,18,22,115,164,63,34,26,8,30,498,6,6,14,38,69,605,1733,962,462,559,149,330,4933,0,0,6,5,15,122,237,150,80,96,20,57,784,5,9,20,68,188
