LGA_CODE_2021,C11_CF_1F1NW_800_1249,C11_CF_1F1NW_1250_1999,C11_CF_1F1NW_2000_2499,C11_CF_1F1NW_2500_2999,C11_CF_1F1NW_3000_3999,C11_CF_1F1NW_4000more,C11_CF_1F1NW_Ns,C11_CF_1F1NW_Tot,C11_CF_1P1NW_Neg_ni_inc,C11_CF_1P1NW_1_149,C11_CF_1P1NW_150_399,C11_CF_1P1NW_400_649,C11_CF_1P1NW_650_799,C11_CF_1P1NW_800_1249,C11_CF_1P1NW_1250_1999,C11_CF_1P1NW_2000_2499,C11_CF_1P1NW_2500_2999,C11_CF_1P1NW_3000_3999,C11_CF_1P1NW_4000more,C11_CF_1P1NW_Ns,C11_CF_1P1NW_Tot,C11_CF_1A1NW_Neg_ni_inc,C11_CF_1A1NW_1_149,C11_CF_1A1NW_150_399,C11_CF_1A1NW_400_649,C11_CF_1A1NW_650_799,C11_CF_1A1NW_800_1249,C11_CF_1A1NW_1250_1999,C11_CF_1A1NW_2000_2499,C11_CF_1A1NW_2500_2999,C11_CF_1A1NW_3000_3999,C11_CF_1A1NW_4000more,C11_CF_1A1NW_Ns,C11_CF_1A1NW_Tot,C11_CF_BA_Neg_ni_inc,C11_CF_BA_1_149,C11_CF_BA_150_399,C11_CF_BA_400_649,C11_CF_BA_650_799,C11_CF_BA_800_1249,C11_CF_BA_1250_1999,C11_CF_BA_2000_2499,C11_CF_BA_2500_2999,C11_CF_BA_3000_3999,C11_CF_BA_4000more,C11_CF_BA_Ns,C11_fc_BA_Tot,C11_CF_BNW_Neg_ni_inc,C11_CF_BNW_1_149,C11_CF_BNW_150_399,C11_CF_BNW_400_649,C11_CF_BNW_650_799,C11_CF_BNW_800_1249,C11_CF_BNW_1250_1999,C11_CF_BNW_2000_2499,C11_CF_BNW_2500_2999,C11_CF_BNW_3000_3999,C11_CF_BNW_4000more,C11_CF_BNW_Ns,C11_CF_BNW_Tot,C11_CF_LFns_Neg_ni_inc,C11_CF_LFns_1_149,C11_CF_LFns_150_399,C11_CF_LFns_400_649,C11_CF_LFns_650_799,C11_CF_LFns_800_1249,C11_CF_LFns_1250_1999,C11_CF_LFns_2000_2499,C11_CF_LFns_2500_2999,C11_CF_LFns_3000_3999,C11_CF_LFns_4000more,C11_CF_LFns_Ns,C11_CF_LFns_Tot,C11_CF_Tot_Neg_ni_inc,C11_CF_Tot_1_149,C11_CF_Tot_150_399,C11_CF_Tot_400_649,C11_CF_Tot_650_799,C11_CF_Tot_800_1249,C11_CF_Tot_1250_1999,C11_CF_Tot_2000_2499,C11_CF_Tot_2500_2999,C11_CF_Tot_3000_3999,C11_CF_Tot_4000more,C11_CF_TotFI_Ns,C11_CF_Tot_Tot,C11_1PF_F_Neg_ni_inc,C11_1PF_F_1_149,C11_1PF_F_150_399,C11_1PF_F_400_649,C11_1PF_F_650_799,C11_1PF_F_800_1249,C11_1PF_F_1250_1999,C11_1PF_F_2000_2499,C11_1PF_F_2500_2999,C11_1PF_F_3000_3999,C11_1PF_F_4000more,C11_1PF_F_Ns,C11_1PF_F_Tot,C11_1PF_P_Neg_ni_inc,C11_1PF_P_1_149,C11_1PF_P_150_399,C11_1PF_P_400_649,C11_1PF_P_650_799,C11_1PF_P_800_1249,C11_1PF_P_1250_1999,C11_1PF_P_2000_2499,C11_1PF_P_2500_2999,C11_1PF_P_3000_3999,C11_1PF_P_4000more,C11_1PF_P_Ns,C11_1PF_P_Tot,C11_1PF_A_Neg_ni_inc,C11_1PF_A_1_149,C11_1PF_A_150_399,C11_1PF_A_400_649,C11_1PF_A_650_799,C11_1PF_A_800_1249,C11_1PF_A_1250_1999,C11_1PF_A_2000_2499,C11_1PF_A_2500_2999,C11_1PF_A_3000_3999,C11_1PF_A_4000more,C11_1PF_A_Ns,C11_1PF_A_Tot,C11_1PF_U_Neg_ni_inc,C11_1PF_U_1_149,C11_1PF_U_150_399,C11_1PF_U_400_649,C11_1PF_U_650_799,C11_1PF_U_800_1249,C11_1PF_U_1250_1999,C11_1PF_U_2000_2499,C11_1PF_U_2500_2999,C11_1PF_U_3000_3999,C11_1PF_U_4000more,C11_1PF_U_Ns,C11_1PF_U_Tot,C11_1PF_N_lf_Fi_Neg_ni_inc,C11_1PF_N_lf_Fi_1_149,C11_1PF_N_lf_Fi_150_399,C11_1PF_N_lf_Fi_400_649,C11_1PF_N_lf_Fi_650_799,C11_1PF_N_lf_Fi_800_1249,C11_1PF_N_lf_Fi_1250_1999,C11_1PF_N_lf_Fi_2000_2499,C11_1PF_N_lf_Fi_2500_2999,C11_1PF_N_lf_Fi_3000_3999,C11_1PF_N_lf_Fi_4000more,C11_1PF_N_lf_Fi_Ns,C11_1PF_N_lf_Tot,C11_1PF_LFns_Neg_ni_inc,C11_1PF_LFns_1_149,C11_1PF_LFns_150_399,C11_1PF_LFns_400_649,C11_1PF_LFns_650_799,C11_1PF_LFns_800_1249,C11_1PF_LFns_1250_1999,C11_1PF_LFns_2000_2499,C11_1PF_LFns_2500_2999,C11_1PF_LFns_3000_3999,C11_1PF_LFns_4000more,C11_1PF_LFns_Ns,C11_1PF_LF_NS_Tot,C11_1PF_TotFI_Neg_ni_inc,C11_1PF_TotFI_1_149,C11_1PF_TotFI_150_399,C11_1PF_TotFI_400_649,C11_1PF_TotFI_650_799,C11_1PF_TotFI_800_1249,C11_1PF_TotFI_1250_1999,C11_1PF_TotFI_2000_2499,C11_1PF_TotFI_2500_2999,C11_1PF_TotFI_3000_3999,C11_1PF_TotFI_4000more,C11_1PF_TotFI_Ns,C11_1PF_TotFI_Tot,C11_TotFI_Neg_ni_inc,C11_TotFI_1_149,C11_TotFI_150_399,C11_TotFI_400_649,C11_TotFI_650_799,C11_TotFI_800_1249,C11_TotFI_1250_1999,C11_TotFI_2000_2499,C11_TotFI_2500_2999,C11_TotFI_3000_3999,C11_TotFI_4000more,C11_TotFI_Ns,C11_Tot_Tot,C16_CFNC_BF_Neg_ni_inc,C16_CFNC_BF_1_149,C16_CFNC_BF_150_399,C16_CFNC_BF_400_649,C16_CFNC_BF_650_799,C16_CFNC_BF_800_1249,C16_CFNC_BF_1250_1999,C16_CFNC_BF_2000_2499,C16_CFNC_BF_2500_2999,C16_CFNC_BF_3000_3999
LGA15300,78,76,8,15,13,0,33,259,0,0,0,3,8,6,6,0,0,0,0,6,37,0,0,0,0,0,3,5,0,0,0,0,3,25,0,0,0,0,0,0,4,0,0,3,0,8,13,0,0,10,22,24,35,12,0,0,0,0,14,127,0,0,3,0,0,6,3,0,0,0,0,81,94,10,3,17,47,64,236,347,153,107,100,48,246,1387,0,0,4,13,23,36,20,8,0,3,0,21,137,0,0,10,33,24,26,10,0,0,0,0,10,111,0,0,0,9,0,0,0,0,0,0,0,4,17,0,0,14,11,0,6,0,0,0,0,0,9,41,4,0,76,79,38,47,11,0,0,0,3,45,312,0,0,5,0,0,0,0,0,0,0,0,29,37,6,3,103,138,87,118,51,14,6,3,5,115,650,42,14,167,364,224,559,676,297,160,184,87,484,3256,5,3,0,6,4,18,107,81,52,44
LGA15350,32,71,26,500,130,142,78,994,0,0,0,0,9,5,12,12,33,19,32,26,145,0,0,0,0,0,4,3,0,16,4,11,5,41,0,0,0,0,0,0,0,3,5,3,11,9,31,8,3,8,4,0,12,21,14,16,20,32,21,168,0,0,0,0,0,0,0,0,0,0,3,259,262,23,5,18,16,18,91,220,137,722,604,853,533,3234,0,0,0,0,6,37,69,12,95,14,5,34,280,0,0,3,25,16,34,41,12,28,4,4,16,183,0,0,0,3,0,4,5,0,3,0,0,0,17,0,0,6,3,0,4,0,0,5,0,0,0,28,15,8,14,41,15,31,41,13,26,9,4,36,252,0,0,0,0,0,0,0,0,0,0,0,3,8,22,10,25,69,42,112,154,39,164,33,4,84,771,78,24,68,157,124,432,800,468,1257,1246,1423,859,6937,0,0,0,0,3,3,47,110,113,201
LGA15520,44,43,5,10,3,0,25,167,0,0,0,5,3,14,3,4,0,0,0,3,34,0,0,0,0,0,0,0,3,0,4,0,0,11,0,0,0,0,0,0,0,0,0,0,0,4,15,0,0,3,6,3,14,13,0,3,0,0,7,55,0,0,0,0,0,0,0,0,0,0,0,69,71,7,0,15,36,55,199,283,122,67,67,15,198,1063,0,3,4,6,14,28,25,0,0,0,0,17,101,0,0,7,19,13,13,10,0,0,0,0,10,71,0,0,0,0,0,0,0,0,0,0,0,0,8,0,0,3,4,0,0,0,0,0,0,0,4,14,0,0,28,33,8,22,7,0,0,0,0,17,129,0,0,0,0,0,0,0,0,0,0,0,8,8,3,4,45,65,43,59,43,4,0,0,0,59,331,50,7,118,470,278,591,586,210,118,110,37,406,2980,6,0,0,12,9,32,88,71,42,27
LGA15560,33,26,0,3,4,0,11,82,0,0,0,3,4,0,0,0,0,0,0,0,7,0,0,0,0,0,3,5,0,0,0,0,0,6,0,0,0,0,0,0,5,0,0,0,0,4,8,0,0,0,3,0,9,0,0,0,0,0,3,23,0,0,0,0,0,0,0,0,0,0,0,21,18,0,0,15,23,14,83,133,44,19,10,3,80,414,0,0,0,4,3,21,9,8,3,0,0,0,40,0,0,0,10,4,6,0,0,0,0,0,5,34,0,0,6,0,0,3,0,0,0,0,0,0,10,0,0,0,0,0,0,0,0,0,0,0,0,4,5,0,9,17,12,7,0,0,0,0,0,0,54,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,20,32,20,35,5,4,3,0,0,16,140,26,0,38,130,81,196,220,69,33,22,5,137,971,5,0,0,6,0,8,28,28,15,10
LGA15650,61,126,29,150,29,6,19,451,0,0,0,8,4,11,9,3,7,0,0,7,56,0,0,0,3,0,4,8,0,11,3,0,5,37,0,0,0,0,0,0,6,4,0,6,0,0,29,0,0,3,21,17,25,9,4,0,0,5,13,95,0,0,0,0,0,0,0,0,0,0,0,79,82,6,9,7,47,52,169,369,198,344,281,104,225,1789,0,0,5,5,17,48,40,8,22,7,0,30,184,0,0,18,34,26,24,12,4,8,0,0,17,140,0,0,0,4,0,4,0,0,0,0,0,5,14,3,0,14,14,4,0,0,0,0,0,0,3,47,5,11,55,71,47,37,11,0,0,0,0,24,258,0,0,0,0,3,3,0,0,0,0,0,13,12,3,12,96,128,92,119,75,17,27,5,0,87,664,20,19,136,374,252,476,710,375,521,444,175,433,3934,0,0,0,4,8,20,69,55,68,74
LGA15700,97,82,12,20,0,0,20,250,0,0,7,23,15,48,28,3,0,3,0,14,140,0,0,0,0,0,9,12,0,4,0,0,6,40,0,0,0,0,0,8,7,0,5,0,0,4,14,0,0,9,46,41,52,28,4,4,0,0,23,211,0,0,0,0,0,0,0,0,0,0,0,97,101,4,6,25,102,107,389,409,137,64,45,29,225,1539,0,0,5,15,23,45,33,0,0,5,0,17,136,0,0,24,67,43,49,17,0,0,0,0,24,223,0,0,3,4,4,5,6,0,0,0,0,4,24,0,3,23,31,9,3,0,0,0,0,0,10,87,4,5,95,166,74,86,17,3,0,0,3,60,508,0,0,0,0,4,5,0,0,0,0,0,17,24,9,9,158,281,152,183,63,3,4,3,0,128,992,37,15,292,1090,617,1131,806,229,105,86,51,574,5034,0,4,0,7,4,15,71,49,22,10
LGA15750,66,91,18,34,8,0,17,251,0,0,0,12,3,20,15,0,4,0,0,3,54,0,0,0,0,0,9,0,0,4,0,0,9,18,0,0,0,0,0,0,7,3,0,0,0,12,21,4,0,3,16,18,30,13,0,0,0,0,18,103,0,0,0,0,0,0,0,0,0,0,0,90,94,10,3,17,49,50,221,370,181,128,97,38,270,1437,0,0,7,8,22,31,33,5,8,6,0,17,131,0,0,9,23,12,20,4,0,0,0,0,9,86,0,0,0,9,0,6,3,0,0,0,0,5,22,0,0,16,13,5,0,0,0,0,0,0,3,41,6,3,47,55,36,32,16,5,0,0,0,24,228,0,0,0,0,0,0,0,0,0,0,0,20,20,6,9,77,112,70,93,56,12,9,6,0,77,529,49,11,141,424,236,578,719,321,197,157,59,502,3390,4,0,0,3,6,29,73,79,51,45
LGA15800,24,24,5,3,0,3,8,86,0,0,0,3,3,4,0,0,0,0,0,0,15,0,0,5,0,0,7,3,0,0,0,0,0,20,0,0,0,0,0,0,4,3,0,0,0,5,10,0,0,0,10,3,12,8,0,0,0,0,3,50,0,0,0,0,0,0,0,0,0,0,0,48,47,0,0,7,26,28,109,172,80,27,31,11,113,605,0,0,3,0,13,10,15,4,0,0,0,10,56,0,0,11,11,9,13,0,0,0,0,0,0,51,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,7,11,0,5,0,0,0,0,0,8,24,0,4,23,29,24,19,5,0,0,0,0,11,117,0,0,0,0,0,0,0,0,0,0,0,10,14,0,5,50,57,46,45,20,4,0,0,0,37,259,16,5,87,223,140,266,304,128,43,42,16,208,1484,0,0,0,5,5,20,36,22,14,15
LGA15850,30,35,3,5,0,0,7,107,0,0,0,3,0,4,3,0,0,0,0,4,16,0,0,0,0,0,4,5,0,0,0,0,3,17,0,0,0,0,0,4,4,0,0,0,0,3,13,0,3,9,11,11,3,5,0,0,0,0,8,51,0,0,0,0,0,0,0,0,0,0,0,46,52,5,3,16,17,24,101,177,73,44,39,14,135,664,0,0,8,4,15,24,17,5,0,0,0,8,79,0,0,3,16,9,11,5,0,0,0,0,4,53,0,0,0,0,0,0,0,0,0,0,0,3,6,0,4,10,11,0,7,4,0,0,0,0,0,32,8,0,36,52,24,24,6,0,0,0,0,20,167,0,0,0,0,0,0,0,0,0,0,0,4,6,8,5,49,82,54,75,30,4,0,0,0,47,345,27,11,96,216,151,319,357,127,67,66,21,261,1715,4,0,0,3,0,24,38,35,20,24
LGA15900,490,937,221,625,194,65,202,2862,0,0,23,76,74,166,164,44,45,21,14,53,676,3,0,3,10,17,44,66,14,25,10,3,20,214,0,0,0,5,0,10,35,42,19,40,11,26,182,19,5,40,180,126,284,269,70,29,26,10,152,1211,0,0,0,6,3,8,9,3,4,0,0,853,889,38,9,94,340,367,1601,3606,2270,2027,2143,882,1992,15368,7,5,16,65,156,521,584,169,155,56,5,243,1972,0,12,121,335,328,344,170,36,17,15,0,155,1536,0,0,12,25,22,42,47,7,8,4,0,39,211,11,7,100,81,36,29,17,0,0,0,0,24,316,54,23,433,637,437,581,292,62,18,16,4,295,2867,3,0,3,9,3,12,9,4,0,0,0,87,127,83,52,686,1152,975,1526,1117,272,202,94,8,849,7025,230,81,1133,3859,2475,5579,7556,4211,3234,3410,1341,3996,37097,0,0,0,3,9,55,525,851,732,719
LGA15950,87,196,47,570,147,106,87,1270,0,0,0,15,16,23,22,18,31,24,18,20,189,0,0,0,0,0,5,5,0,20,14,10,6,65,0,0,0,0,0,0,10,0,5,19,14,6,54,16,0,10,12,8,28,35,17,26,15,19,28,217,0,0,0,0,0,0,0,0,8,0,0,325,334,29,6,28,40,54,214,497,308,944,1023,1065,610,4825,3,6,4,18,20,82,189,36,197,56,14,72,705,0,0,10,26,21,57,75,15,22,9,3,38,282,0,0,0,0,0,6,8,5,7,0,0,12,37,11,6,10,13,6,5,5,0,4,0,0,4,54,28,10,44,36,38,79,54,24,26,20,5,47,409,0,0,0,0,0,0,0,0,0,0,0,8,10,47,21,67,90,81,225,333,80,261,90,19,191,1500,132,35,181,350,314,1067,2002,1425,2262,3073,2799,1580,15210,0,0,0,0,3,20,170,497,596,1164
LGA15990,566,1200,326,2595,590,386,418,6316,5,0,25,86,70,212,269,133,159,127,89,153,1324,3,0,14,8,11,35,63,21,102,21,16,58,361,3,0,3,3,3,24,54,52,33,63,47,65,340,45,13,57,96,77,263,366,168,143,118,89,206,1627,3,0,3,0,4,9,11,10,18,4,9,1807,1874,115,48,167,306,422,1975,5014,3475,5811,6216,4185,4430,32169,3,9,31,64,139,538,847,236,480,164,38,387,2939,8,28,120,293,272,474,351,75,72,33,4,246,1976,0,3,13,11,27,34,31,9,12,6,0,41,187,8,18,44,48,21,41,21,8,6,0,4,30,246,83,38,234,339,242,500,360,100,83,48,16,268,2306,4,0,4,6,0,8,13,0,3,0,0,77,102,107,91,437,757,706,1594,1621,422,647,248,60,1048,7752,473,180,1051,2920,2470,7157,11104,6797,8482,9442,6121,7481,63684,3,4,0,8,5,73,651,1145,1043,1514
LGA16100,33,44,3,10,9,0,5,113,0,0,0,4,0,4,9,0,0,0,0,0,20,0,0,0,0,0,3,0,5,6,0,0,0,15,0,0,0,0,0,5,0,0,0,4,0,0,6,0,0,0,9,4,11,9,0,0,0,0,4,33,0,0,0,0,0,0,0,0,0,0,0,40,42,4,0,0,18,13,95,173,72,44,49,15,85,571,0,0,0,5,4,15,12,0,0,0,0,0,37,0,0,5,7,0,12,4,0,0,0,0,4,32,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,8,0,3,0,0,0,0,0,0,0,17,3,0,15,15,16,14,8,4,0,0,0,9,81,0,0,0,0,0,0,0,0,0,0,0,4,7,4,0,28,32,30,35,25,4,0,0,0,21,178,14,3,52,158,91,271,316,122,68,64,27,164,1351,0,0,0,8,4,13,28,33,23,22
LGA16150,153,281,55,152,27,16,44,774,0,0,3,12,12,43,38,16,11,0,0,16,139,0,0,0,6,5,10,12,0,5,0,0,3,44,0,0,0,0,0,5,13,3,5,5,10,4,45,0,0,27,43,26,77,38,9,10,3,3,33,258,0,0,0,0,4,4,4,0,0,4,0,293,309,8,8,34,83,91,483,1120,565,503,496,207,586,4193,3,0,9,28,48,156,166,26,27,13,5,63,531,0,3,32,77,73,87,35,0,5,3,0,34,342,0,0,0,10,5,19,9,0,4,0,0,6,52,0,5,26,25,11,12,0,0,0,0,0,9,93,4,14,140,187,96,120,46,11,10,0,0,98,725,0,0,4,0,5,0,0,0,0,0,0,34,47,10,22,214,322,236,394,259,37,38,10,6,241,1798,57,37,324,996,623,1481,2032,1014,754,785,310,1148,9562,0,0,0,0,8,17,215,204,149,133
LGA16200,79,91,15,43,8,0,22,290,0,0,3,8,14,15,13,0,5,3,0,10,67,0,0,0,0,0,8,9,0,7,0,0,3,28,0,0,0,0,0,4,3,4,3,6,0,6,24,0,0,11,21,21,22,25,0,0,0,0,15,120,0,0,0,0,0,0,0,0,0,0,0,109,118,6,5,20,52,66,251,386,181,116,139,40,267,1523,0,0,4,11,19,48,48,6,6,4,0,18,164,0,4,30,34,20,32,6,0,0,0,0,11,143,0,0,0,3,3,3,4,0,0,0,0,0,19,3,0,21,5,5,0,0,0,0,0,0,5,47,3,5,61,88,48,57,10,3,5,6,0,31,312,0,0,3,0,3,0,0,0,0,0,0,14,23,8,9,116,143,95,139,72,12,9,5,0,87,703,36,14,204,533,305,697,708,305,190,190,53,507,3747,0,4,0,4,6,16,71,74,39,42
LGA16260,1317,1956,353,1213,368,181,289,6366,9,13,67,217,193,350,257,96,72,63,18,103,1462,3,3,10,40,32,83,90,27,31,18,3,59,402,0,0,4,5,0,24,38,21,14,32,11,43,194,116,29,142,319,196,430,461,161,119,100,38,250,2360,3,3,9,10,4,12,25,6,3,3,6,1262,1346,187,78,345,883,1010,3139,5491,3069,3147,3462,1979,2892,25683,3,3,22,71,172,555,710,216,242,120,41,211,2364,5,21,99,233,188,293,213,59,33,24,9,100,1278,3,4,6,25,14,44,43,11,5,10,0,26,193,29,13,74,71,18,30,21,9,5,4,4,27,296,147,72,401,468,284,512,404,88,85,39,17,269,2794,3,0,3,6,6,0,8,3,0,0,0,100,126,194,117,612,875,682,1433,1398,384,368,195,68,733,7059,878,247,1542,3791,2954,7415,10393,5547,4839,5363,2675,4865,50500,6,0,0,3,10,71,775,1227,1096,1394
LGA16350,1122,1849,428,685,281,102,404,5241,3,0,26,75,94,239,225,73,59,37,11,90,920,7,0,8,18,28,82,109,27,23,14,4,74,385,8,0,5,3,4,21,58,54,33,37,15,76,305,29,7,88,215,167,404,379,118,46,45,14,196,1718,3,0,6,11,7,18,24,8,11,8,0,1006,1101,80,40,192,466,643,2850,6233,3858,2780,2764,1116,3011,24043,11,15,22,98,237,819,889,269,211,88,24,339,3020,10,23,155,375,332,417,256,63,33,14,0,158,1845,0,5,17,39,46,56,55,23,8,4,0,59,308,8,14,121,163,41,65,29,7,0,0,0,37,482,72,64,551,849,483,604,359,79,32,21,7,343,3463,4,0,10,4,4,13,4,0,0,0,0,119,164,103,117,879,1529,1137,1972,1595,449,299,132,35,1049,9294,345,187,1412,4011,2830,7267,11069,6267,3963,3761,1382,5146,47623,3,0,0,10,13,74,884,1396,903,843
LGA16380,338,351,60,142,34,7,88,1135,0,0,8,59,67,145,82,8,16,3,4,39,433,0,0,0,8,17,33,29,3,5,0,0,7,116,0,0,0,4,0,12,17,11,0,12,0,17,82,7,4,31,95,123,196,105,22,7,4,0,68,673,0,0,0,4,6,3,0,0,0,0,0,474,490,24,7,68,262,370,1290,1884,812,562,551,148,1033,7006,6,0,9,50,120,226,221,24,49,6,0,95,802,0,14,72,254,193,188,75,7,9,6,0,85,901,0,0,6,18,9,19,18,0,3,0,0,21,92,0,6,61,66,18,12,4,0,0,0,0,14,189,17,12,206,393,231,229,76,12,5,0,0,148,1331,0,0,4,5,0,3,0,0,0,0,0,34,48,20,38,361,783,575,678,389,43,66,9,4,401,3365,132,60,766,3423,2233,4236,3872,1438,897,860,262,2239,20425,0,0,0,5,20,84,361,286,214,178
LGA16400,311,571,99,209,41,16,105,1434,0,0,4,37,34,115,70,15,9,8,4,30,322,0,0,4,7,7,30,41,15,14,3,0,17,131,0,0,0,0,0,4,12,9,18,11,6,13,84,4,3,37,87,72,156,112,34,15,12,6,85,616,0,0,0,0,0,5,3,4,0,0,0,430,443,12,12,56,179,210,983,1936,1003,758,638,223,1058,7079,0,0,12,28,77,199,209,54,35,9,0,70,700,0,5,53,166,147,151,70,12,6,0,0,66,681,0,0,3,18,13,9,14,0,0,0,0,14,80,0,6,57,66,24,31,3,0,0,0,0,16,204,19,26,207,329,219,202,92,21,12,7,0,144,1271,0,0,0,9,5,4,6,0,0,0,0,39,54,24,35,334,612,481,595,391,85,53,18,0,349,2979,119,63,593,2412,1502,3179,3722,1725,1164,971,326,2015,17784,0,0,0,0,8,38,233,275,199,164
LGA16490,131,330,72,192,80,43,77,967,0,0,3,13,8,32,42,22,20,3,14,18,178,0,0,0,0,6,13,30,6,11,3,0,12,89,0,0,0,0,0,6,15,12,18,16,17,11,98,3,0,10,22,29,51,70,15,13,12,9,28,266,0,0,0,0,0,0,0,0,0,5,0,374,384,21,6,31,74,106,416,1224,971,840,1296,837,862,6691,0,0,4,16,50,178,288,74,99,49,4,96,863,3,8,26,62,52,103,49,14,9,10,0,30,372,0,0,7,9,0,19,18,9,3,0,0,9,75,5,0,14,18,4,5,6,6,0,0,0,4,58,12,8,122,104,66,82,65,34,16,5,0,69,590,0,0,0,0,3,5,0,0,0,0,0,28,39,18,24,171,208,182,392,429,127,124,65,7,243,1992,78,30,282,730,572,1466,2674,1781,1432,2015,1225,1496,13770,6,0,0,5,8,38,221,336,272,423
LGA16550,318,598,151,827,258,167,152,2604,3,0,22,72,52,103,135,44,54,50,30,65,628,5,0,7,9,4,17,33,14,42,21,10,35,193,0,0,0,0,0,6,17,20,19,34,36,29,164,34,14,36,81,77,174,219,85,66,87,50,130,1046,0,0,3,0,0,8,10,0,8,6,3,733,770,58,24,100,218,252,959,2064,1429,1997,2559,2014,1745,13411,3,3,11,39,72,293,471,121,211,81,11,169,1485,11,9,56,154,149,238,159,37,37,15,4,110,978,0,4,6,9,9,20,24,9,5,8,0,26,120,11,7,45,23,17,14,13,0,4,0,0,16,159,79,34,210,293,200,309,211,69,60,43,11,223,1734,0,0,4,4,0,4,0,0,0,0,0,58,70,99,61,330,529,445,885,873,230,317,146,28,599,4548,391,127,739,1822,1307,3297,4718,3089,3309,4307,3042,3349,29492,3,0,0,5,7,38,327,722,721,1106
LGA16610,169,137,26,20,5,0,34,436,0,0,4,14,14,52,29,4,0,0,0,16,141,0,0,0,7,3,19,20,4,3,0,0,4,51,0,0,0,0,0,0,6,0,0,0,0,6,26,0,0,9,64,41,71,45,3,3,0,0,26,280,0,0,3,0,5,0,0,0,0,0,0,129,136,11,4,28,123,124,489,693,246,92,66,16,296,2193,0,3,6,14,37,70,50,3,6,0,0,29,219,0,0,22,62,45,39,16,4,0,0,0,23,212,0,0,8,7,0,12,4,0,0,0,0,0,27,3,6,30,31,7,5,0,0,0,0,0,10,95,0,3,94,169,98,101,38,3,5,0,0,62,577,0,0,0,4,0,4,0,0,0,0,0,21,37,9,12,158,287,193,228,103,15,4,0,0,152,1169,44,26,283,1092,619,1279,1213,406,129,106,28,663,5895,4,0,0,5,11,28,112,81,37,20
LGA16700,441,759,164,748,213,117,133,2800,6,5,26,77,64,142,122,41,48,45,12,58,653,3,0,3,12,9,29,34,10,38,10,7,29,187,0,0,0,0,0,12,13,19,8,25,22,28,136,50,7,60,99,82,197,233,84,64,75,33,101,1089,0,0,0,7,0,4,10,7,3,8,0,657,694,84,22,126,312,353,1284,2411,1461,1928,2264,1434,1549,13229,4,0,12,33,78,236,347,110,164,58,24,132,1204,0,11,45,112,117,158,120,25,29,12,4,66,701,0,0,13,11,0,23,19,6,4,0,0,15,100,15,11,37,37,16,17,16,0,3,0,0,11,147,62,37,139,198,118,300,228,70,39,35,13,140,1381,0,0,0,5,0,3,0,0,0,0,0,36,45,83,58,249,398,327,731,737,213,245,101,42,402,3576,458,124,689,1870,1366,3436,4759,2766,2894,3395,1981,2628,26354,4,0,0,5,6,42,408,635,605,767
LGA16900,345,653,149,267,87,20,121,1735,0,5,0,37,39,123,95,18,19,10,0,36,379,0,0,3,8,9,35,39,10,12,4,0,26,147,0,0,0,0,4,11,30,25,18,13,4,8,108,5,0,36,92,80,191,147,32,18,10,0,111,728,0,0,0,0,4,6,7,11,0,0,0,406,438,23,11,65,184,233,1109,2245,1237,924,833,268,1095,8229,0,0,7,32,92,231,232,49,45,24,6,94,812,3,14,66,203,165,174,69,13,5,0,0,70,771,0,0,3,22,11,27,14,5,3,0,0,20,104,3,4,62,54,21,19,5,0,0,0,0,18,200,17,20,238,374,217,241,109,16,5,7,5,156,1403,0,0,4,0,7,0,0,0,0,0,0,47,58,29,30,379,689,509,687,429,78,61,34,9,408,3348,109,64,629,2328,1314,2845,3814,1890,1273,1100,325,1987,17670,0,0,0,3,0,28,228,287,181,161
LGA16950,478,550,91,107,43,8,127,1574,0,0,9,79,66,169,129,24,16,8,0,58,555,0,0,3,9,16,40,47,8,5,3,0,24,166,0,0,0,3,0,13,25,15,13,4,6,18,96,14,3,48,168,134,259,177,22,16,8,9,121,971,0,0,0,0,6,7,9,0,0,0,0,572,599,26,14,95,379,430,1635,2446,965,594,581,164,1382,8715,0,4,22,73,131,287,230,36,25,16,0,124,944,0,12,104,295,226,215,60,8,4,4,0,115,1045,0,0,13,30,20,21,22,3,4,0,0,20,130,4,5,94,94,35,28,3,0,0,0,0,31,301,30,31,335,541,299,323,125,14,11,5,0,197,1911,0,0,3,3,5,7,0,0,0,0,0,61,82,36,61,562,1038,722,880,442,59,41,21,0,552,4413,171,97,1082,4441,2588,5111,4769,1750,961,953,277,3042,25259,3,0,0,11,19,81,372,304,211,188
