LGA_CODE_2021,C21_650_799_CF_1C,C21_650_799_CF_2C,C21_650_799_CF_3C,C21_650_799_CF_4mC,C21_650_799_Tot,C21_800_999_CF_1C,C21_800_999_CF_2C,C21_800_999_CF_3C,C21_800_999_CF_4mC,C21_800_999_Tot,C21_1000_1499_CF_1C,C21_1000_1499_CF_2C,C21_1000_1499_CF_3C,C21_1000_1499_CF_4mC,C21_1000_1499_Tot,C21_1500_1999_CF_1C,C21_1500_1999_CF_2C,C21_1500_1999_CF_3C,C21_1500_1999_CF_4mC,C21_1500_1999_Tot,C21_2000_2499_CF_1C,C21_2000_2499_CF_2C,C21_2000_2499_CF_3C,C21_2000_2499_CF_4mC,C21_2000_2499_Tot,C21_2500_2999_CF_1C,C21_2500_2999_CF_2C,C21_2500_2999_CF_3C,C21_2500_2999_CF_4mC,C21_2500_2999_Tot,C21_3000_3999_CF_1C,C21_3000_3999_CF_2C,C21_3000_3999_CF_3C,C21_3000_3999_CF_4mC,C21_3000_3999_Tot,C21_4000more_CF_1C,C21_4000more_CF_2C,C21_4000more_CF_3C,C21_4000more_Cou_fa_4mo_ch,C21_4000more_Tot,C21_Par_inc_st_CF_1C,C21_Par_inc_st_CF_2C,C21_Par_inc_st_CF_3C,C21_Par_inc_st_CF_4mC,C21_Par_inc_st_Tot,C21_All_inc_ns_CF_1Ch,C21_All_inc_ns_CF_2C,C21_All_inc_ns_CF_3C,C21_All_inc_ns_CF_4mC,C21_All_inc_ns_Tot,C21_Tot_CF_1C,C21_Tot_CF_2C,C21_Tot_CF_3C,C21_Tot_CF_4mC,C21_Tot_Tot
LGA61010,4,0,0,0,7,4,3,0,0,4,16,14,12,4,43,11,14,5,6,34,11,12,8,0,29,10,11,0,0,21,5,0,4,0,13,9,6,0,0,18,15,7,3,5,30,0,0,0,0,0,79,71,37,24,206
LGA61210,10,3,0,0,13,11,7,7,0,22,42,39,15,15,107,48,50,25,11,137,55,41,25,14,131,30,37,23,11,107,27,24,36,6,88,18,20,9,5,52,27,33,21,7,89,0,0,0,0,0,267,287,159,73,788
LGA61410,34,27,7,4,65,56,38,8,10,112,278,181,66,38,559,363,265,92,45,763,427,403,140,24,999,362,403,123,31,921,497,661,199,36,1399,399,582,189,49,1218,195,229,91,34,549,10,3,10,0,21,2659,2808,950,280,6695
LGA61510,13,3,4,0,22,18,16,10,0,49,66,52,37,11,162,73,85,27,15,199,75,76,27,8,189,41,51,21,7,119,51,65,14,3,126,22,31,13,0,71,51,58,22,9,143,0,0,0,0,7,422,448,175,74,1116
LGA61610,28,11,16,8,55,38,24,16,6,86,146,94,48,20,308,165,159,54,25,403,174,172,48,19,401,117,138,41,18,311,134,149,46,7,334,72,86,38,15,212,89,82,40,8,222,15,6,0,0,22,1002,923,342,125,2395
LGA61810,10,7,0,5,17,10,6,5,4,26,30,32,14,10,89,33,35,12,6,90,32,45,20,5,98,16,24,10,5,55,21,26,12,4,69,8,16,11,4,38,25,18,18,15,75,0,4,3,0,8,201,223,111,50,587
LGA62010,3,0,0,0,5,0,0,0,0,0,3,3,0,6,14,7,0,0,0,7,0,4,0,0,10,4,4,0,0,6,8,6,7,0,10,6,0,3,0,5,3,0,4,0,9,0,0,0,0,0,29,26,16,0,66
LGA62210,6,8,0,4,24,14,13,7,0,34,37,27,22,10,97,45,38,17,8,102,38,22,7,7,74,23,23,7,4,59,25,36,6,4,68,14,22,3,3,48,28,17,11,6,55,0,3,0,0,4,250,211,86,45,586
LGA62410,5,3,0,0,10,12,8,0,0,28,31,15,0,3,54,23,19,4,0,53,18,20,4,0,50,18,15,4,0,38,13,8,4,0,26,3,14,0,0,19,24,17,3,4,52,0,0,0,0,0,167,123,30,14,331
LGA62610,55,29,9,7,102,96,53,22,5,182,393,253,90,36,764,355,273,79,51,757,388,310,106,42,848,282,255,60,22,614,279,278,83,25,676,135,171,65,24,393,119,140,55,43,358,16,10,0,0,26,2177,1800,586,274,4843
