LGA_CODE_2021,C16_CFNC_BF_4000more,C16_CFNC_BF_Ns,C16_CFNC_BF_Tot,C16_CFNC_BPT_Neg_ni_inc,C16_CFNC_BPT_1_149,C16_CFNC_BPT_150_399,C16_CFNC_BPT_400_649,C16_CFNC_BPT_650_799,C16_CFNC_BPT_800_1249,C16_CFNC_BPT_1250_1999,C16_CFNC_BPT_2000_2499,C16_CFNC_BPT_2500_2999,C16_CFNC_BPT_3000_3999,C16_CFNC_BPT_4000more,C16_CFNC_BPT_Ns,C16_CFNC_BPT_Tot,C16_CFNC_1F1P_Neg_ni_inc,C16_CFNC_1F1P_1_149,C16_CFNC_1F1P_150_399,C16_CFNC_1F1P_400_649,C16_CFNC_1F1P_650_799,C16_CFNC_1F1P_800_1249,C16_CFNC_1F1P_1250_1999,C16_CFNC_1F1P_2000_2499,C16_CFNC_1F1P_2500_2999,C16_CFNC_1F1P_3000_3999,C16_CFNC_1F1P_4000more,C16_CFNC_1F1P_Ns,C16_CFNC_1F1P_Tot,C16_CFNC_1E1A_Neg_ni_inc,C16_CFNC_1E1A_1_149,C16_CFNC_1E1A_150_399,C16_CFNC_1E1A_400_649,C16_CFNC_1E1A_650_799,C16_CFNC_1E1A_800_1249,C16_CFNC_1E1A_1250_1999,C16_CFNC_1E1A_2000_2499,C16_CFNC_1E1A_2500_2999,C16_CFNC_1E1A_3000_3999,C16_CFNC_1E1A_4000more,C16_CFNC_1E1A_Ns,C16_CFNC_1E1A_Tot,C16_CFNC_1F1NW_Neg_ni_inc,C16_CFNC_1F1NW_1_149,C16_CFNC_1F1NW_150_399,C16_CFNC_1F1NW_400_649,C16_CFNC_1F1NW_650_799,C16_CFNC_1F1NW_800_1249,C16_CFNC_1F1NW_1250_1999,C16_CFNC_1F1NW_2000_2499,C16_CFNC_1F1NW_2500_2999,C16_CFNC_1F1NW_3000_3999,C16_CFNC_1F1NW_4000more,C16_CFNC_1F1NW_Ns,C16_CFNC_1F1NW_Tot,C16_CFNC_1P1NW_Neg_ni_inc,C16_CFNC_1P1NW_1_149,C16_CFNC_1P1NW_150_399,C16_CFNC_1P1NW_400_649,C16_CFNC_1P1NW_650_799,C16_CFNC_1P1NW_800_1249,C16_CFNC_1P1NW_1250_1999,C16_CFNC_1P1NW_2000_2499,C16_CFNC_1P1NW_2500_2999,C16_CFNC_1P1NW_3000_3999,C16_CFNC_1P1NW_4000more,C16_CFNC_1P1NW_Ns,C16_CFNC_1P1NW_Tot,C16_CFNC_1A1NW_Neg_ni_inc,C16_CFNC_1A1NW_1_149,C16_CFNC_1A1NW_150_399,C16_CFNC_1A1NW_400_649,C16_CFNC_1A1NW_650_799,C16_CFNC_1A1NW_800_1249,C16_CFNC_1A1NW_1250_1999,C16_CFNC_1A1NW_2000_2499,C16_CFNC_1A1NW_2500_2999,C16_CFNC_1A1NW_3000_3999,C16_CFNC_1A1NW_4000more,C16_CFNC_1A1NW_Ns,C16_CFNC_1A1NW_Tot,C16_CFNC_BA_Neg_ni_inc,C16_CFNC_BA_1_149,C16_CFNC_BA_150_399,C16_CFNC_BA_400_649,C16_CFNC_BA_650_799,C16_CFNC_BA_800_1249,C16_CFNC_BA_1250_1999,C16_CFNC_BA_2000_2499,C16_CFNC_BA_2500_2999,C16_CFNC_BA_3000_3999,C16_CFNC_BA_4000more,C16_CFNC_BA_Ns,C16_CFNC_BA_Tot,C16_CFNC_BNW_Neg_ni_inc,C16_CFNC_BNW_1_149,C16_CFNC_BNW_150_399,C16_CFNC_BNW_400_649,C16_CFNC_BNW_650_799,C16_CFNC_BNW_800_1249,C16_CFNC_BNW_1250_1999,C16_CFNC_BNW_2000_2499,C16_CFNC_BNW_2500_2999,C16_CFNC_BNW_3000_3999,C16_CFNC_BNW_4000more,C16_CFNC_BNW_Ns,C16_CFNC_BNW_Tot,C16_CFNC_LFns_Neg_ni_inc,C16_CFNC_LFns_1_149,C16_CFNC_LFns_150_399,C16_CFNC_LFns_400_649,C16_CFNC_LFns_650_799,C16_CFNC_LFns_800_1249,C16_CFNC_LFns_1250_1999,C16_CFNC_LFns_2000_2499,C16_CFNC_LFns_2500_2999,C16_CFNC_LFns_3000_3999,C16_CFNC_LFns_4000more,C16_CFNC_LFns_Ns,C16_CFNC_LFns_Tot,C16_CFNC_Tot_Neg_ni_inc,C16_CFNC_Tot_1_149,C16_CFNC_Tot_150_399,C16_CFNC_Tot_400_649,C16_CFNC_Tot_650_799,C16_CFNC_Tot_800_1249,C16_CFNC_Tot_1250_1999,C16_CFNC_Tot_2000_2499,C16_CFNC_Tot_2500_2999,C16_CFNC_Tot_3000_3999,C16_CFNC_Tot_4000more,C16_CFNC_Tot_Ns,C16_CFNC_Tot_Tot,C16_CFC_BFT_Neg_ni_inc,C16_CFC_BFT_1_149,C16_CFC_BFT_150_399,C16_CFC_BFT_400_649,C16_CFC_BFT_650_799,C16_CFC_BFT_800_1249,C16_CFC_BFT_1250_1999,C16_CFC_BFT_2000_2499,C16_CFC_BFT_2500_2999,C16_CFC_BFT_3000_3999,C16_CFC_BFT_4000more,C16_CFC_BFT_Ns,C16_CFC_BFT_Tot,C16_CFC_BPT_Neg_ni_inc,C16_CFC_BPT_1_149,C16_CFC_BPT_150_399,C16_CFC_BPT_400_649,C16_CFC_BPT_650_799,C16_CFC_BPT_800_1249,C16_CFC_BPT_1250_1999,C16_CFC_BPT_2000_2499,C16_CFC_BPT_2500_2999,C16_CFC_BPT_3000_3999,C16_CFC_BPT_4000more,C16_CFC_BPT_Ns,C16_CFC_BPT_Tot,C16_CFC_1F1P_Neg_ni_inc,C16_CFC_1F1P_1_149,C16_CFC_1F1P_150_399,C16_CFC_1F1P_400_649,C16_CFC_1F1P_650_799,C16_CFC_1F1P_800_1249,C16_CFC_1F1P_1250_1999,C16_CFC_1F1P_2000_2499,C16_CFC_1F1P_2500_2999,C16_CFC_1F1P_3000_3999,C16_CFC_1F1P_4000more,C16_CFC_1F1P_Ns,C16_CFC_1F1P_Tot,C16_CF_1E1A_Neg_ni_inc,C16_CF_1E1A_1_149,C16_CF_1E1A_150_399,C16_CF_1E1A_400_649,C16_CF_1E1A_650_799,C16_CF_1E1A_800_1249,C16_CF_1E1A_1250_1999,C16_CF_1E1A_2000_2499,C16_CF_1E1A_2500_2999,C16_CF_1E1A_3000_3999,C16_CF_1E1A_4000more,C16_CF_1E1A_Ns,C16_CF_1E1A_Tot,C16_CF_1F1NW_Neg_ni_inc,C16_CF_1F1NW_1_149,C16_CF_1F1NW_150_399,C16_CF_1F1NW_400_649,C16_CF_1F1NW_650_799,C16_CF_1F1NW_800_1249,C16_CF_1F1NW_1250_1999,C16_CF_1F1NW_2000_2499,C16_CF_1F1NW_2500_2999,C16_CF_1F1NW_3000_3999,C16_CF_1F1NW_4000more,C16_CF_1F1NW_Ns,C16_CF_1F1NW_Tot,C16_CF_1P1NW_Neg_ni_inc,C16_CF_1P1NW_1_149
LGA16490,329,24,1668,0,0,0,13,10,44,45,20,3,7,20,5,173,6,5,0,6,13,78,230,118,88,91,78,10,730,0,0,0,0,4,13,25,14,17,32,28,4,149,0,3,0,11,19,105,161,88,43,80,53,14,575,0,5,11,29,25,74,78,45,21,18,16,8,327,0,0,0,4,6,9,19,9,6,3,4,10,66,0,0,0,0,0,0,6,9,9,14,14,3,53,41,18,32,158,287,318,267,84,45,18,18,47,1343,0,0,0,8,5,6,7,0,3,0,0,320,352,51,24,40,236,384,683,1057,745,507,696,561,447,5428,3,0,0,0,6,15,148,254,302,642,834,187,2392,0,0,0,6,0,29,33,23,29,34,21,22,203,0,0,0,0,5,49,325,289,336,426,382,120,1945,0,0,0,0,0,6,49,56,98,112,78,25,430,0,0,5,9,15,134,260,180,73,137,138,63,1019,0,0
LGA16550,1194,63,4174,4,4,4,24,33,141,148,52,35,24,37,4,512,0,0,3,0,10,93,408,267,247,183,234,29,1476,0,0,0,4,0,9,27,33,36,43,51,16,222,0,0,7,26,38,168,313,183,91,112,125,24,1073,4,9,43,97,72,152,160,75,28,31,44,17,737,0,0,0,5,0,18,21,13,3,6,7,10,76,0,0,0,0,0,5,7,13,8,17,26,21,95,317,79,83,375,618,638,442,145,93,58,88,137,3083,0,0,0,6,6,4,14,6,4,3,0,830,882,327,101,136,546,777,1272,1857,1496,1266,1591,1796,1148,12317,0,0,0,3,7,29,159,294,366,789,1821,283,3766,0,0,0,11,11,53,117,78,64,71,101,36,542,3,4,4,7,14,108,478,523,603,743,1563,282,4315,0,0,0,3,0,15,58,70,80,202,235,46,709,10,0,0,31,27,210,494,371,158,520,568,140,2522,3,3
LGA16610,19,3,313,0,4,0,15,9,40,47,8,5,3,0,7,143,0,0,0,0,8,51,125,49,21,11,6,3,275,0,0,0,3,0,11,11,8,6,0,0,4,42,0,0,0,13,21,71,59,14,0,3,3,4,194,0,4,3,35,33,65,28,3,6,0,4,3,188,0,0,0,3,9,7,11,5,0,0,0,0,34,0,0,0,0,0,4,3,0,0,0,0,3,15,16,14,14,169,439,259,120,24,4,0,4,70,1137,0,0,0,12,9,15,4,3,0,0,0,96,142,26,15,25,251,540,549,533,197,78,42,33,196,2491,0,0,0,0,3,19,92,82,83,74,21,34,418,0,0,0,0,8,28,55,15,8,11,0,12,136,0,0,0,5,0,57,203,116,62,46,10,37,539,0,0,0,0,0,8,34,22,13,10,0,8,99,0,0,4,8,15,93,147,38,16,11,3,28,354,0,0
LGA16700,574,37,3076,0,3,7,22,42,112,125,47,23,26,16,4,432,0,0,0,8,10,135,445,247,181,118,114,21,1272,0,0,0,6,0,20,42,28,31,31,26,15,201,3,0,9,38,57,290,423,210,97,118,78,23,1349,5,8,57,115,73,163,128,48,18,17,13,13,667,0,0,5,4,6,21,33,11,6,4,4,4,103,0,0,0,8,0,0,4,11,10,9,10,10,60,419,132,96,468,698,631,408,135,46,47,42,98,3225,0,0,0,7,3,12,9,5,0,0,0,584,620,433,149,172,668,899,1424,2036,1371,1013,1141,881,799,11000,0,6,0,3,5,42,306,378,457,897,1362,207,3663,0,0,0,12,23,86,131,69,44,54,70,33,533,0,0,0,8,21,129,594,584,574,712,1068,207,3898,0,0,0,0,4,20,80,91,88,164,144,36,620,5,0,14,51,81,407,845,624,199,434,379,138,3179,3,3
LGA16900,66,22,974,0,0,3,3,15,55,82,32,10,3,8,4,212,0,0,0,11,3,71,272,176,94,65,27,18,742,0,0,0,0,0,12,32,17,16,20,12,3,118,0,3,4,13,25,154,232,79,26,31,22,22,607,4,0,18,61,74,150,93,21,10,3,3,7,441,0,0,0,0,4,17,31,4,0,4,0,8,78,0,0,0,0,4,0,7,10,11,8,3,0,43,85,41,45,424,1115,689,337,50,17,12,13,143,2973,0,0,0,8,12,15,8,0,0,0,0,343,391,86,48,68,534,1255,1194,1327,675,364,307,153,578,6587,9,0,0,0,4,16,180,281,288,422,289,136,1625,0,0,0,3,13,50,105,42,35,16,12,18,295,0,0,0,7,7,117,761,609,539,382,233,185,2850,0,0,0,0,4,13,97,71,76,62,37,30,393,5,0,5,14,22,234,571,294,105,129,79,113,1565,0,0
LGA16950,96,26,1312,0,3,5,23,64,178,173,49,28,18,18,10,568,0,0,4,17,25,187,524,220,125,76,63,13,1255,0,0,0,6,4,30,45,31,17,16,8,9,160,3,0,8,38,47,239,266,109,43,42,21,28,841,0,11,33,149,165,302,166,57,26,21,15,25,968,0,0,0,14,22,39,38,11,7,7,9,10,152,0,0,0,3,10,12,27,16,4,0,7,10,84,163,99,118,909,2294,1697,941,184,78,45,59,324,6914,6,0,0,11,31,25,12,6,3,0,0,740,841,177,113,168,1187,2672,2796,2562,986,529,419,295,1195,13100,0,0,4,5,13,48,277,279,254,344,189,166,1583,0,6,0,16,20,129,153,50,26,16,16,47,480,0,0,10,14,21,244,856,528,387,249,165,195,2664,0,0,0,5,3,29,110,66,51,49,30,30,375,0,0,3,21,32,312,589,208,84,66,28,98,1441,4,6
LGA17000,90,10,456,0,0,0,7,12,18,19,13,8,3,0,3,88,0,0,0,6,3,26,84,69,50,37,33,8,320,0,0,0,0,0,5,7,13,8,8,12,3,50,0,0,0,9,8,50,78,78,14,25,18,7,290,0,9,3,17,16,39,34,10,0,3,3,6,149,0,0,0,3,9,6,4,5,0,0,0,4,28,0,0,0,0,0,0,6,0,8,4,4,0,12,18,5,7,101,171,136,85,18,8,7,6,30,598,0,0,0,8,0,4,6,0,0,0,0,146,164,20,15,20,142,217,303,401,288,167,196,166,220,2151,0,0,0,0,3,14,42,68,64,133,144,63,517,0,0,0,0,0,4,15,20,18,6,5,12,79,0,0,0,5,0,28,175,169,208,142,169,83,988,0,0,0,0,0,4,25,14,26,32,25,13,135,0,0,0,3,10,62,181,167,52,78,51,36,637,0,0
LGA17040,44,10,551,0,0,0,12,14,41,41,15,8,5,4,0,137,0,0,4,5,7,50,115,65,33,19,12,10,315,0,0,0,3,0,12,18,10,11,6,0,0,62,0,0,5,9,11,39,42,23,16,11,13,3,167,0,0,5,18,24,39,24,4,0,4,3,5,140,0,0,0,3,4,4,9,0,0,0,0,0,32,0,0,0,0,0,8,3,0,0,0,0,0,14,12,15,16,100,227,170,92,20,13,14,8,30,718,0,0,0,0,6,3,0,0,5,3,0,162,181,14,21,26,162,306,416,519,257,163,115,82,230,2304,0,0,5,5,0,22,99,134,82,109,69,78,602,3,0,0,0,7,23,23,10,5,4,6,9,84,0,0,0,3,0,32,209,111,71,75,41,46,597,0,0,0,0,0,12,22,19,13,22,10,17,109,0,0,0,3,9,47,77,31,16,19,5,17,228,0,0
LGA17080,22,8,320,0,0,0,0,3,11,23,11,5,4,0,3,56,4,0,0,10,0,52,116,59,23,17,10,3,297,0,0,0,3,0,10,21,10,5,0,4,3,49,0,0,5,6,8,41,49,23,0,6,5,18,149,0,0,4,10,14,34,20,6,4,0,3,5,104,0,0,0,6,5,9,3,7,4,0,0,6,30,0,0,0,0,0,6,6,3,0,0,0,0,17,13,14,15,97,217,122,62,13,6,3,4,44,608,3,0,0,0,10,4,3,0,0,0,0,122,143,25,16,23,131,267,308,384,202,95,65,48,216,1769,0,0,0,0,5,5,45,63,50,58,21,43,294,0,0,0,3,5,15,16,12,0,0,0,6,58,0,0,0,0,5,29,153,94,68,40,20,42,443,0,0,0,0,0,0,18,15,12,12,0,10,53,0,0,0,0,11,43,87,37,12,13,10,29,231,0,0
LGA17100,120,3,789,0,0,0,8,25,48,46,12,10,6,14,0,182,0,0,0,0,0,37,162,66,33,27,28,3,357,0,0,0,0,0,7,17,13,7,10,6,5,64,0,3,0,13,33,89,120,71,28,13,12,4,396,0,5,15,43,22,57,34,5,13,9,7,3,205,0,0,0,8,3,7,7,6,0,0,0,6,29,0,0,0,0,0,4,8,4,3,4,0,3,30,157,29,28,124,197,144,93,24,14,12,13,27,862,0,0,0,0,0,5,4,4,0,0,0,173,194,159,38,44,196,276,419,613,391,262,254,205,232,3101,0,0,0,0,0,20,122,175,166,261,424,87,1259,0,0,0,5,6,35,52,27,15,18,35,8,210,0,0,0,6,0,67,208,150,129,137,286,84,1071,0,0,0,0,0,14,33,17,27,34,35,16,180,0,0,3,23,52,221,366,196,49,106,122,53,1193,6,0
LGA17150,881,78,4836,0,0,0,22,52,170,248,108,51,61,69,11,782,3,6,0,12,14,159,665,488,372,298,333,31,2377,0,0,0,6,8,29,58,68,69,59,59,18,378,0,0,5,37,69,304,566,344,104,219,159,48,1858,7,10,41,139,134,402,377,152,69,46,62,31,1467,3,0,3,7,10,33,54,26,15,6,16,8,194,0,0,0,0,0,4,18,25,17,23,20,12,136,265,131,115,809,1520,2047,1433,370,162,148,154,328,7467,3,0,3,9,13,20,3,3,4,4,6,1049,1121,292,153,167,1040,1821,3220,3933,2574,1826,2219,1752,1611,20608,8,0,3,7,6,42,390,726,1015,1954,2632,602,7385,0,0,3,14,17,84,247,138,137,139,124,95,1003,7,3,10,18,21,255,1570,1685,2011,2243,2861,733,11414,3,0,0,0,4,31,146,216,241,360,343,115,1457,10,0,9,31,53,414,1082,903,369,784,794,315,4766,0,0
LGA17200,4097,118,11591,4,3,10,80,161,474,373,106,60,63,90,25,1442,4,0,3,14,16,227,971,522,471,417,659,34,3341,0,0,4,5,11,34,81,69,66,93,134,24,525,9,5,15,52,83,353,606,450,145,462,406,53,2644,12,22,99,162,99,178,182,72,56,55,97,20,1060,0,0,3,10,11,23,23,16,7,14,16,13,139,0,0,0,0,7,11,30,35,28,47,57,24,242,541,78,86,349,452,382,351,177,74,115,156,80,2837,0,0,4,3,10,14,8,10,7,3,3,1916,1978,575,122,218,682,857,1767,3406,3157,2720,4263,5718,2309,25793,0,0,0,4,3,17,129,188,201,449,1113,129,2243,0,0,0,9,12,48,72,36,34,45,73,18,353,0,0,0,3,10,62,247,306,317,394,830,80,2242,0,0,0,4,0,6,46,54,70,145,293,16,635,3,0,5,18,44,229,386,300,111,364,366,76,1916,4,0
LGA17310,78,29,1323,0,0,0,12,35,63,66,21,8,6,4,11,225,3,0,0,20,17,142,344,156,101,38,53,12,886,0,0,0,3,3,24,31,20,16,9,3,9,126,3,0,3,17,42,191,176,70,19,20,10,22,575,0,4,13,73,70,149,78,28,3,4,3,11,444,0,0,0,5,16,17,4,6,0,0,0,4,57,0,0,0,0,3,12,12,13,7,6,4,10,61,45,27,34,311,738,501,253,54,16,13,22,135,2138,3,0,0,8,22,18,12,3,0,0,0,354,424,58,25,64,458,969,1195,1388,690,371,273,185,587,6264,4,0,0,6,5,38,270,320,264,311,196,157,1572,0,0,0,5,4,40,60,44,15,9,8,27,204,0,5,0,4,12,152,580,372,256,216,111,136,1846,0,0,0,0,0,20,81,67,44,31,16,26,299,3,0,0,15,25,216,307,137,43,48,21,62,872,0,0
LGA17350,9,7,139,0,0,0,0,3,10,8,3,0,0,0,0,33,0,0,0,0,3,18,39,17,11,6,3,3,101,0,0,0,0,0,0,3,0,0,0,0,0,11,0,0,0,3,5,16,24,7,0,3,0,3,66,0,0,4,9,8,14,4,0,0,0,0,0,44,0,0,0,3,0,10,3,0,0,0,0,0,17,0,0,0,0,0,0,4,0,0,0,0,0,11,3,0,6,34,117,65,34,8,0,0,3,21,292,0,0,0,0,4,0,0,0,0,0,0,32,34,3,7,7,49,144,156,175,71,29,20,18,67,752,0,0,0,0,0,4,13,26,17,25,10,14,121,0,0,0,0,4,6,3,5,3,0,0,0,20,0,0,0,0,4,23,97,35,18,22,3,18,232,0,0,0,0,0,0,9,10,5,3,3,4,33,0,0,0,0,3,25,25,20,5,4,0,7,89,0,0
LGA17400,13,6,149,0,3,0,6,12,11,19,0,0,0,0,0,49,0,0,0,3,7,25,36,9,5,5,0,5,100,0,0,0,0,0,5,4,0,0,0,0,5,21,0,5,0,5,6,16,13,3,0,3,0,6,61,0,0,0,13,17,26,9,0,0,0,0,4,74,0,0,0,0,0,4,0,0,0,0,0,5,11,0,0,0,0,0,0,0,0,0,0,0,5,7,9,5,11,86,144,72,31,3,0,0,0,23,388,0,0,0,0,5,0,0,0,0,0,0,62,62,10,11,19,127,194,186,153,51,30,18,20,109,922,0,0,0,8,0,12,19,14,11,8,8,22,105,0,0,0,0,0,5,5,4,0,0,0,3,23,0,0,0,0,3,9,59,21,6,0,0,18,126,0,0,0,0,0,3,6,3,0,0,4,0,18,0,0,0,3,10,19,26,3,5,0,0,12,73,0,0
LGA17420,674,53,2706,5,0,3,26,39,115,147,63,56,41,44,4,545,5,0,3,7,8,110,351,246,242,193,247,14,1426,0,0,0,0,3,15,34,44,20,36,44,6,208,5,5,0,31,32,183,344,238,89,144,144,28,1251,0,11,30,90,87,221,251,81,61,42,43,19,940,0,0,0,10,0,29,31,14,8,3,4,4,112,0,0,0,0,0,11,10,7,5,13,12,6,64,437,137,113,517,838,1187,835,219,114,86,73,146,4699,4,0,0,0,9,14,6,5,0,0,0,611,653,466,151,160,689,1036,1933,2247,1378,1051,1299,1301,906,12608,13,7,0,6,9,60,379,676,863,1928,3072,527,7547,0,0,0,16,21,124,204,121,95,114,123,72,889,11,0,4,17,18,186,973,1028,1247,1544,2157,486,7661,4,0,0,0,5,30,88,105,132,217,254,58,890,7,8,9,51,63,411,1060,1031,379,940,870,321,5137,6,6
LGA17550,82,21,1273,0,5,0,23,50,160,174,48,20,8,20,11,521,3,0,0,20,13,147,511,249,117,74,48,18,1193,0,0,0,0,7,35,54,32,23,11,13,11,181,6,0,4,32,35,220,242,99,40,39,15,27,754,0,10,21,107,130,275,160,30,21,9,8,17,796,0,4,0,18,21,33,22,15,0,4,0,3,127,0,0,0,3,0,4,14,3,6,5,3,3,60,109,76,72,649,1747,1301,659,162,48,43,39,270,5182,0,4,0,18,31,21,13,6,3,0,5,587,682,127,101,100,880,2039,2250,2197,989,510,364,239,971,10761,3,0,0,0,8,36,268,267,274,301,202,165,1530,0,0,0,12,19,90,173,79,39,34,22,47,510,3,3,3,10,14,209,843,577,405,292,225,194,2785,0,0,0,0,0,29,98,77,51,57,29,17,363,5,0,9,15,36,297,518,205,82,106,46,100,1422,0,0
LGA17620,38,11,344,0,0,0,3,12,28,29,6,13,4,0,0,88,0,0,0,0,9,38,89,46,27,23,13,5,260,0,0,0,0,0,3,9,8,3,9,3,0,39,0,0,0,6,8,38,34,28,8,6,3,4,141,0,0,3,7,19,31,15,3,3,0,0,3,88,0,0,0,5,0,3,0,0,0,0,0,0,19,0,0,0,0,0,4,0,4,0,0,3,3,14,22,5,12,58,169,109,54,10,3,0,10,29,476,0,0,0,0,0,3,0,0,0,0,0,88,96,30,14,24,89,223,272,326,176,94,78,70,146,1556,0,0,0,0,0,11,55,66,43,87,59,46,380,0,0,0,0,0,8,16,6,12,7,3,0,59,0,0,0,0,0,29,99,85,91,60,44,37,452,0,0,0,0,0,8,19,4,8,9,10,12,78,0,0,0,4,7,52,91,64,18,15,15,16,264,0,0
LGA17640,14,6,208,0,0,0,3,6,17,19,6,0,0,6,0,58,0,0,0,4,8,20,53,22,21,11,12,3,159,0,0,0,0,0,4,10,0,5,6,0,0,26,0,0,0,10,10,29,34,8,7,4,5,4,108,0,0,0,9,14,19,10,0,5,0,3,3,65,0,0,0,0,6,0,4,0,0,0,0,0,13,0,0,0,0,0,3,0,6,0,4,0,0,15,9,0,4,47,93,70,25,5,5,5,5,22,289,0,0,0,0,5,0,0,0,0,0,0,53,67,12,6,13,82,138,195,198,97,60,55,42,92,996,0,0,0,5,0,8,32,26,19,46,25,36,194,0,0,0,0,3,5,16,5,6,4,0,9,39,0,0,0,6,3,19,93,38,41,25,16,28,264,0,0,0,0,0,5,15,6,3,3,3,3,37,0,0,4,0,6,23,33,17,3,3,3,12,102,0,0
LGA17650,6,3,140,0,0,0,3,8,10,11,0,0,0,0,0,39,0,0,0,0,8,31,42,18,8,3,0,0,110,0,0,0,0,0,3,6,4,0,0,4,0,19,0,0,0,0,10,20,20,9,7,0,3,7,75,0,0,0,9,8,6,10,0,0,0,0,0,47,0,0,0,0,0,0,4,6,0,0,0,0,10,0,0,0,0,0,0,0,0,0,0,0,0,7,9,0,0,56,95,55,33,7,3,3,4,13,271,0,0,0,0,0,0,0,0,0,0,0,29,37,13,3,11,70,131,135,160,83,35,41,16,60,752,0,0,0,0,0,8,25,21,23,26,18,18,144,0,0,0,3,0,3,8,0,0,0,0,0,31,0,0,0,4,0,16,78,41,19,15,0,15,199,0,0,0,0,0,0,8,6,8,0,0,0,27,0,0,0,3,0,20,26,4,3,5,4,7,74,0,0
LGA17750,124,31,1434,4,0,0,21,13,71,77,22,12,11,7,8,235,0,0,0,6,14,115,408,165,101,55,48,21,940,0,0,0,0,3,10,40,28,15,16,9,9,130,0,0,4,19,38,146,174,51,28,32,24,18,538,0,7,13,60,61,153,83,21,9,10,8,14,431,0,0,0,0,10,20,21,8,0,0,0,9,68,0,0,0,0,8,0,13,8,7,9,3,4,48,50,36,26,230,551,470,248,67,21,29,27,100,1853,0,0,0,3,4,0,6,0,0,0,0,386,408,59,43,44,358,708,1028,1422,777,445,366,247,595,6098,3,0,0,0,8,22,228,355,357,427,266,144,1805,0,0,0,3,0,22,73,30,26,20,14,17,206,0,0,3,0,11,121,652,445,330,261,182,160,2182,0,0,0,5,3,12,80,76,61,62,13,28,340,4,0,0,11,24,211,372,159,55,67,46,62,1010,0,0
LGA17850,11,8,87,0,0,0,0,3,3,13,0,0,0,0,0,20,3,0,0,0,0,14,30,16,4,3,8,0,81,0,0,0,0,0,3,0,0,0,0,0,0,4,0,0,0,0,3,8,12,5,4,0,0,0,30,0,0,6,9,4,5,0,0,0,3,0,0,27,0,0,0,0,0,0,0,0,0,0,0,0,7,0,0,0,0,0,0,0,5,0,0,0,0,7,7,0,0,20,41,20,8,5,0,0,0,8,113,0,0,0,0,3,0,4,0,0,0,0,16,29,7,5,4,31,61,74,88,36,12,23,23,35,404,0,0,0,4,5,9,21,14,3,8,10,19,86,0,0,0,0,0,0,4,0,0,0,0,3,12,0,5,0,0,0,14,33,19,15,8,3,14,101,0,0,0,0,0,0,4,4,0,0,0,0,10,0,0,5,0,4,18,15,3,0,0,0,9,56,0,0
LGA17900,14,7,159,0,0,0,4,3,14,8,3,4,0,0,0,35,5,0,0,0,3,12,20,4,7,3,5,0,56,0,0,0,0,0,0,5,0,0,0,0,0,10,0,0,4,4,4,13,13,6,0,0,0,0,49,0,0,0,10,4,15,4,0,0,0,0,6,36,0,0,0,0,0,3,0,0,0,0,0,0,7,0,0,0,0,0,0,0,0,0,0,0,0,6,0,6,4,46,63,22,15,0,0,0,0,6,164,0,0,0,0,0,0,5,0,0,0,0,34,41,17,7,13,68,87,100,106,44,31,19,20,59,563,0,0,0,0,5,3,7,17,13,7,9,22,86,0,0,0,0,0,4,9,0,0,0,0,3,18,0,0,0,3,4,10,32,21,11,3,6,15,108,0,0,0,0,0,4,4,3,0,3,0,4,22,0,0,3,0,0,12,20,5,0,3,0,8,53,0,0
LGA17950,4,6,84,0,0,0,0,0,0,0,0,0,0,0,0,9,0,0,0,0,3,7,17,11,0,0,5,3,47,0,0,0,0,0,5,5,0,0,0,0,0,10,0,0,0,4,3,10,13,0,0,0,3,0,31,0,0,0,0,4,5,7,0,0,0,0,0,13,0,0,0,0,0,0,0,0,0,0,0,0,7,0,0,0,0,0,0,0,4,0,0,0,0,5,4,0,4,8,32,20,7,0,0,0,0,7,78,0,0,0,0,0,0,0,0,3,0,0,16,21,4,0,4,16,42,52,62,43,18,16,10,38,306,0,0,0,0,0,0,17,13,9,15,7,20,90,0,0,0,0,0,3,7,3,0,0,0,0,9,0,0,0,0,0,7,24,13,9,6,3,8,64,0,0,0,0,0,0,3,0,5,0,0,3,14,4,0,0,0,0,3,13,13,0,0,0,3,32,0,0
LGA18020,12,4,219,0,0,0,6,7,13,15,3,0,0,0,3,53,0,0,0,7,9,18,48,18,10,8,4,0,126,0,0,0,0,0,0,4,0,3,0,0,0,18,0,0,0,10,11,29,24,11,4,0,0,3,94,0,0,3,22,15,28,12,3,0,3,0,4,89,0,0,0,0,0,0,0,0,0,0,0,0,5,0,0,0,0,5,0,0,0,0,0,0,4,13,6,10,7,84,182,86,39,17,4,0,6,30,459,4,3,0,0,5,0,0,0,0,0,0,77,89,17,13,17,124,236,220,215,89,43,37,28,129,1169,0,0,0,3,0,20,26,27,23,10,11,36,160,0,0,0,0,5,6,11,3,0,0,0,7,40,0,0,0,0,3,31,78,42,19,10,8,35,245,0,0,0,0,0,6,9,8,4,6,0,10,35,0,5,0,5,4,27,30,19,5,0,0,11,97,0,0
