LGA_CODE_2021,C21_1PF_Cu15DS_MR_4000over,C21_1PF_Cu15DS_MR_NS,C21_1PF_Cu15DS_Tot,C21_1PF_CU15_NDS_MR_0_299,C21_1PF_CU15_NDS_MR_300_449,C21_1PF_CU15_NDS_MR_450_599,C21_1PF_CU15_NDS_MR_600_799,C21_1PF_CU15_NDS_MR_800_999,C21_1PF_CU15_NDS_MR_1000_1399,C21_1PF_CU15_NDS_MR_1400_1799,C21_1PF_CU15_NDS_MR_1800_2399,C21_1PF_CU15_NDS_MR_2400_2999,C21_1PF_CU15_NDS_MR_3000_3999,C21_1PF_CU15_NDS_MR_4000over,C21_1PF_CU15_NDS_MR_NS,C21_1PF_CU15_NDS_Tot,C21_1PF_NCu15DS_MR_0_299,C21_1PF_NCu15DS_MR_300_449,C21_1PF_NCu15DS_MR_450_599,C21_1PF_NCu15DS_MR_600_799,C21_1PF_NCu15DS_MR_800_999,C21_1PF_NCu15DS_MR_1000_1399,C21_1PF_NCu15DS_MR_1400_1799,C21_1PF_NCu15DS_MR_1800_2399,C21_1PF_NCu15DS_MR_2400_2999,C21_1PF_NCu15DS_MR_3000_3999,C21_1PF_NCu15DS_MR_4000over,C21_1PF_NCu15DS_MR_NS,C21_1PF_NCu15DS_Tot,C21_1PF_NDCO_MR_0_299,C21_1PF_NDCO_MR_300_449,C21_1PF_NDCO_MR_450_599,C21_1PF_NDCO_MR_600_799,C21_1PF_NDCO_MR_800_999,C21_1PF_NDCO_MR_1000_1399,C21_1PF_NDCO_MR_1400_1799,C21_1PF_NDCO_MR_1800_2399,C21_1PF_NDCO_MR_2400_2999,C21_1PF_NDCO_MR_3000_3999,C21_1PF_NDCO_MR_4000over,C21_1PF_NDCO_MR_NS,C21_1PF_NDCO_Tot,C21_1PF_Tot_MR_0_299,C21_1PF_Tot_MR_300_449,C21_1PF_Tot_MR_450_599,C21_1PF_Tot_MR_600_799,C21_1PF_Tot_MR_800_999,C21_1PF_Tot_MR_1000_1399,C21_1PF_Tot_MR_1400_1799,C21_1PF_Tot_MR_1800_2399,C21_1PF_Tot_MR_2400_2999,C21_1PF_Tot_MR_3000_3999,C21_1PF_Tot_MR_4000over,C21_1PF_Tot_MR_NS,C21_1PF_Tot_Tot,C21_Tot_MR_0_299,C21_Tot_MR_300_449,C21_Tot_MR_450_599,C21_Tot_MR_600_799,C21_Tot_MR_800_999,C21_Tot_MR_1000_1399,C21_Tot_MR_1400_1799,C21_Tot_MR_1800_2399,C21_Tot_MR_2400_2999,C21_Tot_MR_3000_3999,C21_Tot_MR_4000over,C21_Tot_MR_NS,C21_Tot_Tot
LGA10800,0,0,6,0,0,3,0,0,7,0,0,0,0,0,3,27,3,0,0,0,0,3,0,0,0,0,0,0,13,3,0,4,0,0,0,0,0,0,0,0,0,14,11,3,10,8,5,18,3,4,0,0,0,0,64,42,17,27,37,51,114,60,58,15,14,17,31,487
LGA10850,0,0,12,5,0,0,3,4,5,6,3,0,0,0,4,44,0,0,0,0,0,4,3,0,0,0,0,0,13,4,0,0,4,0,10,5,0,0,0,0,4,31,4,5,0,8,16,30,15,6,3,0,0,7,98,39,15,15,32,59,169,144,140,63,64,53,39,832
LGA10900,3,6,112,15,7,8,14,19,66,101,132,48,42,19,23,479,3,6,7,6,17,35,48,60,15,14,11,9,235,26,21,14,22,24,61,62,61,27,27,12,30,374,46,31,32,52,55,181,222,276,112,84,45,65,1199,400,163,116,254,313,971,1361,2507,1638,1351,687,438,10215
LGA10950,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,3,0,3,3,0,0,0,0,0,0,0,0,0,19,21,5,11,21,26,43,28,17,6,5,13,5,194
LGA11150,0,0,0,0,3,0,0,0,3,0,0,0,0,0,0,13,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,7,0,3,0,0,0,3,0,0,0,0,0,4,19,20,11,10,12,18,24,21,11,3,3,3,7,136
LGA11200,0,0,0,0,0,0,4,0,0,0,0,0,0,0,0,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7,0,0,0,4,0,0,0,0,0,0,0,0,7,9,4,0,5,0,3,3,0,0,0,5,5,36
LGA11250,0,0,21,14,16,17,28,26,24,12,7,0,0,0,18,167,0,0,0,8,5,15,0,4,0,0,0,3,45,7,18,9,10,10,11,9,3,0,0,0,3,95,17,39,30,53,49,61,22,13,0,0,4,29,322,91,123,126,234,237,397,193,99,29,23,18,104,1679
LGA11300,8,4,30,10,0,0,3,0,4,7,17,14,26,28,6,111,13,6,0,0,4,4,11,15,11,12,10,10,90,14,3,0,4,0,12,7,29,10,17,14,13,128,34,6,0,13,5,25,28,66,44,55,55,27,350,201,26,29,50,48,154,167,408,321,481,662,224,2780
LGA11350,0,8,45,11,9,4,5,3,26,27,35,20,17,16,18,190,3,0,0,0,0,20,9,22,3,9,4,3,74,16,10,0,11,12,33,10,28,11,7,3,10,149,29,14,8,21,20,86,53,89,36,40,29,33,460,165,54,44,80,108,260,331,519,391,393,436,194,2974
LGA11400,3,0,9,0,4,0,9,10,12,6,5,3,6,3,6,60,0,0,0,8,0,9,0,0,5,0,5,0,22,0,0,5,3,4,13,4,4,3,0,0,7,42,3,4,10,16,20,37,11,11,5,0,5,10,132,63,26,35,69,89,275,218,261,150,119,123,93,1519
LGA11450,12,9,163,18,11,3,3,16,45,86,193,149,115,50,54,745,3,0,0,5,14,37,49,67,43,38,20,19,306,24,5,4,20,22,80,65,103,70,69,27,36,539,54,19,7,30,61,178,223,413,286,242,106,126,1752,415,137,120,176,335,997,1426,3952,4552,3885,1651,1068,18716
LGA11500,8,21,215,30,11,6,20,29,131,148,244,116,72,51,71,934,16,9,3,20,25,65,82,72,37,30,13,28,398,54,14,27,52,54,168,178,227,91,61,40,83,1042,102,35,42,94,114,394,454,595,264,173,112,204,2585,716,223,217,404,540,1984,2805,5574,3745,2531,1238,1385,21362
LGA11520,14,6,65,9,3,0,3,8,19,19,33,29,50,71,32,280,17,5,3,6,6,15,13,24,18,25,55,21,208,22,5,0,13,11,28,24,52,25,32,47,27,280,52,12,8,22,21,65,58,118,92,118,189,76,837,416,78,68,116,134,384,455,985,913,1520,2723,587,8377
LGA11570,39,28,412,71,21,20,23,43,139,159,278,180,207,141,125,1400,51,21,15,39,39,112,129,170,89,97,63,66,887,112,50,37,69,90,201,212,327,153,187,127,162,1728,247,98,79,135,188,494,545,876,471,550,367,384,4426,1526,411,383,584,855,2544,3162,5968,4447,5760,4262,2540,32442
LGA11600,0,0,0,0,0,5,0,3,0,0,0,0,0,0,0,9,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,12,3,0,3,4,3,5,0,0,3,0,0,0,26,30,13,11,13,19,27,13,10,0,3,4,12,161
LGA11650,17,27,495,61,23,23,57,86,271,386,493,232,146,51,125,1959,20,14,20,34,41,134,176,181,66,52,32,40,814,113,52,58,77,124,314,354,312,145,64,43,148,1800,206,99,112,182,272,794,1023,1111,486,305,145,347,5075,1440,560,523,857,1334,3965,5884,9736,5902,4467,2687,2210,39561
LGA11700,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,7,0,0,0,0,0,0,0,0,0,0,0,8,7,0,3,3,0,4,0,3,0,0,8,11,35
LGA11720,4,5,103,17,12,8,19,26,125,123,85,20,24,13,39,503,4,0,5,8,11,38,26,27,5,0,5,9,129,29,13,8,23,39,80,49,38,20,12,3,29,339,45,23,14,53,84,273,228,165,47,42,21,80,1073,213,117,96,229,365,1316,1663,1709,662,514,267,409,7555
LGA11730,0,0,58,17,5,6,11,25,93,76,35,3,14,4,17,308,6,0,6,6,12,20,18,15,3,0,0,5,84,14,10,9,15,22,58,34,22,7,9,0,18,215,32,17,18,38,70,187,141,77,17,18,6,38,662,207,134,128,248,374,1109,1006,865,252,158,130,246,4852
LGA11750,0,0,6,5,4,0,5,4,0,0,0,0,0,0,0,16,0,0,0,0,0,0,0,0,0,0,0,0,3,3,0,3,0,0,3,0,0,0,0,0,0,17,8,4,4,3,5,7,6,3,0,0,0,4,39,25,13,16,29,39,62,46,43,3,14,11,14,306
LGA11800,0,7,104,17,11,6,12,23,84,107,122,34,20,3,18,457,10,4,3,7,4,35,20,42,9,9,6,7,159,17,14,16,29,24,63,42,43,9,10,4,22,299,40,25,27,56,58,201,200,228,59,44,13,60,1014,319,139,125,237,341,1022,1416,1973,826,541,265,409,7623
LGA12000,0,0,7,0,0,0,4,4,3,8,5,0,0,0,0,22,0,0,0,3,0,0,0,0,0,0,0,0,6,0,3,0,0,0,4,0,0,0,0,0,0,13,0,3,0,12,4,8,11,9,0,0,0,3,50,21,20,14,36,48,105,97,64,17,17,10,26,474
LGA12150,0,0,0,0,0,3,3,5,5,0,0,0,0,0,0,22,0,0,0,0,0,0,0,0,0,0,0,0,6,0,7,5,0,0,0,0,0,0,0,0,5,14,0,9,3,3,3,8,0,0,0,0,5,6,41,28,17,17,19,12,45,17,13,6,0,11,21,230
LGA12160,0,0,16,7,0,4,6,7,13,3,0,0,0,0,6,44,0,0,0,0,0,7,0,0,0,0,0,0,14,6,5,0,5,4,6,3,0,0,0,0,0,34,9,5,9,13,14,30,13,7,0,4,0,8,99,52,18,29,77,118,251,161,109,26,39,18,49,963
LGA12350,0,0,10,3,0,0,6,10,17,9,7,0,0,0,3,69,0,0,0,0,0,7,3,0,0,0,0,0,15,3,8,5,10,7,6,9,0,0,0,0,6,51,9,6,3,13,19,37,29,13,0,0,0,15,146,53,44,34,67,134,255,214,131,45,27,36,55,1101
LGA12380,21,11,172,37,11,7,10,14,55,88,149,98,97,54,50,677,37,6,5,10,22,40,56,93,55,49,22,39,428,74,29,20,19,43,113,131,192,107,101,51,100,978,160,46,32,50,83,236,306,460,277,274,149,201,2264,952,195,189,306,460,1431,2058,4375,3034,3060,1911,1678,19651
LGA12390,0,6,58,15,3,9,22,34,104,78,52,14,11,13,30,382,0,0,0,8,3,9,9,10,5,4,0,6,61,6,12,3,14,20,58,22,21,11,4,0,17,194,22,16,14,46,72,189,124,93,25,17,11,59,699,171,77,89,202,359,1057,1208,1141,428,262,178,326,5497
LGA12700,0,0,15,0,0,0,0,5,12,9,5,4,5,4,0,61,0,0,0,0,0,0,0,0,0,0,0,0,5,4,3,0,0,4,0,10,5,0,3,4,0,40,3,4,0,4,15,21,22,19,10,12,9,5,122,41,21,15,32,52,168,197,243,178,152,69,66,1235
LGA12730,0,0,4,0,4,4,8,3,10,8,4,0,0,3,0,47,0,0,0,0,4,5,5,0,0,0,0,0,10,5,0,10,0,8,12,3,0,0,0,0,0,33,3,4,14,14,18,29,14,5,0,0,3,0,101,48,18,38,72,100,195,141,84,18,20,18,40,797
LGA12750,0,4,59,7,4,8,18,13,31,46,30,9,5,0,12,175,4,0,0,3,3,16,13,8,5,4,0,6,57,5,8,6,5,23,33,24,22,0,3,0,5,138,18,12,14,31,40,94,101,67,15,17,10,23,437,183,104,95,142,182,518,623,668,275,176,109,163,3235
LGA12850,25,28,333,56,14,6,24,35,109,122,184,115,102,56,98,920,52,9,11,23,25,105,75,121,57,68,24,69,647,85,34,33,40,50,185,172,265,129,135,48,113,1303,219,68,62,90,122,428,426,639,343,337,157,303,3204,1041,275,242,409,562,1815,2004,3271,2111,2130,1138,1346,16339
LGA12870,0,0,20,0,0,7,3,0,23,13,3,0,0,0,0,49,0,0,0,0,3,10,5,0,0,0,0,0,19,4,3,0,10,8,13,3,4,0,0,0,0,42,3,6,3,14,17,46,21,12,3,0,0,9,137,62,30,23,63,134,316,234,171,55,37,28,91,1236
LGA12900,0,0,12,0,0,0,3,10,17,0,6,4,0,0,0,54,0,4,0,0,4,0,5,0,0,0,0,3,17,4,4,4,5,0,12,7,3,0,0,0,3,40,6,7,10,16,20,32,12,11,6,0,0,6,124,59,22,28,60,97,195,159,126,45,22,26,46,874
LGA12930,26,8,116,15,3,4,7,13,44,53,73,58,73,83,37,468,28,8,13,7,15,41,48,64,48,40,54,26,399,44,14,11,24,20,83,82,100,43,72,78,48,628,93,33,28,42,57,185,202,255,163,197,233,116,1608,768,177,150,232,316,944,1081,2431,1799,2633,3215,1105,14859
LGA12950,0,0,0,3,0,0,0,0,4,3,0,0,0,0,0,18,0,0,4,0,0,0,0,0,0,0,0,0,5,4,0,4,0,3,0,0,4,0,0,0,3,19,8,5,6,5,4,7,9,4,0,0,0,3,49,54,14,19,27,27,67,45,28,11,12,19,25,342
LGA13010,0,0,11,6,0,0,6,7,6,5,0,0,0,0,0,41,0,0,0,0,8,6,0,0,0,0,0,0,15,0,3,0,5,3,4,4,0,0,0,0,4,24,3,3,3,15,21,25,9,9,0,5,0,5,97,55,30,24,80,89,143,66,87,23,25,29,45,694
LGA13310,0,0,23,0,3,0,0,12,48,38,38,5,7,5,14,174,0,0,5,0,3,11,15,12,0,0,0,4,53,9,6,0,9,10,29,24,14,10,0,5,9,131,12,9,8,14,32,89,87,74,19,14,8,21,383,113,42,51,83,162,509,665,810,355,243,124,165,3316
LGA13340,0,0,15,0,0,6,0,8,14,13,5,0,0,0,4,54,4,0,0,0,4,5,6,0,0,0,0,0,23,8,4,0,7,0,10,4,6,0,0,0,5,44,5,5,7,13,16,37,25,7,7,0,3,7,134,69,33,37,71,104,255,212,171,71,49,45,73,1198
LGA13450,0,0,27,9,0,0,5,7,26,27,17,3,3,4,6,92,0,0,0,3,3,0,10,12,0,0,0,5,37,7,3,3,9,8,21,16,9,3,4,0,13,93,16,7,5,14,27,61,55,34,6,3,4,16,251,108,46,38,83,158,520,509,453,136,109,72,156,2385
LGA13550,0,0,14,3,3,3,0,7,19,17,10,7,0,0,14,87,0,0,0,0,0,0,3,3,0,0,0,0,11,7,0,0,9,0,9,9,6,0,5,0,3,47,10,0,3,11,11,31,28,20,7,6,3,17,148,70,17,25,57,85,250,250,234,102,81,40,82,1285
LGA13660,0,0,6,0,0,7,4,3,7,0,0,0,0,3,0,28,0,0,0,0,0,0,0,0,0,0,0,0,5,0,0,3,0,0,0,0,0,0,0,0,0,7,0,3,9,6,3,9,0,3,0,0,3,0,41,50,13,24,25,30,64,39,25,8,20,16,21,341
LGA13800,5,0,81,13,7,8,6,8,28,46,68,47,34,18,26,317,4,5,5,9,5,22,22,39,10,10,8,7,150,18,10,4,14,16,51,63,66,34,36,24,28,370,41,17,11,38,38,117,151,185,111,87,52,66,909,307,98,84,164,195,679,908,1786,1439,1442,1029,568,8698
LGA13850,0,0,4,0,0,0,3,3,0,0,0,0,0,0,0,14,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,4,0,4,0,0,0,0,0,0,13,0,0,3,6,3,9,0,0,0,0,0,0,33,11,6,15,36,31,38,22,8,7,3,0,13,193
LGA13910,0,0,31,8,0,0,7,8,23,15,8,0,0,0,3,79,4,0,7,4,6,11,5,6,0,0,0,4,38,0,9,4,0,10,14,8,4,0,0,0,8,61,12,10,10,20,29,56,42,13,3,4,0,11,204,84,33,50,135,173,405,298,221,74,61,39,91,1674
LGA14000,25,6,154,27,4,8,11,12,39,41,100,70,98,102,36,546,28,8,10,10,12,39,39,82,39,56,53,23,391,44,7,10,23,21,62,70,110,48,60,46,39,539,105,18,24,40,49,145,168,333,180,240,228,106,1633,980,212,174,254,343,1085,1245,2909,2409,3729,4869,1126,19354
LGA14100,4,0,10,0,0,0,0,0,0,3,3,3,6,23,0,39,6,0,0,0,0,4,6,4,0,3,8,3,30,4,0,0,0,0,0,3,4,4,4,11,4,36,13,0,0,0,0,5,13,11,6,20,49,6,122,78,0,12,14,13,49,50,104,88,162,707,92,1374
LGA14170,32,7,160,26,7,8,8,18,50,72,98,79,137,177,46,727,22,4,9,0,14,40,31,76,48,49,71,28,392,32,17,9,22,23,47,48,78,39,46,43,49,459,86,29,18,32,64,154,160,288,196,259,328,126,1736,687,152,122,188,290,815,904,2003,1906,3233,6114,807,17223
LGA14220,0,0,20,0,0,9,10,12,39,8,3,0,0,0,8,105,0,0,0,0,4,9,0,0,0,0,0,0,18,0,3,3,9,5,22,3,0,0,0,0,3,57,4,6,10,19,27,69,18,16,3,0,0,17,194,87,44,52,126,156,440,230,223,70,42,44,77,1585
LGA14300,0,0,5,0,0,0,0,3,13,0,6,0,0,0,0,34,0,0,0,3,0,3,0,0,0,0,0,4,6,4,0,0,4,3,6,7,0,0,0,0,0,21,3,0,0,3,10,29,7,6,0,0,0,8,69,36,17,15,43,48,140,94,83,13,28,20,22,548
LGA14350,0,0,35,5,5,0,16,14,68,36,29,5,7,0,16,190,5,6,0,5,9,20,10,5,3,0,0,9,70,7,5,9,15,18,35,17,16,4,0,0,11,136,14,14,12,31,43,130,76,48,10,3,0,32,425,104,71,63,140,175,604,503,445,133,111,36,161,2545
LGA14400,0,0,23,0,0,0,3,4,0,14,32,12,6,3,3,85,4,0,0,0,4,4,10,3,3,8,3,0,41,4,4,0,4,3,13,5,10,6,3,0,8,59,7,7,0,7,10,21,32,53,26,18,11,11,203,114,35,28,44,61,198,240,464,381,406,271,125,2366
LGA14500,61,10,143,21,4,3,3,13,21,16,48,35,73,183,24,442,19,0,4,13,9,17,29,46,28,48,98,30,346,46,6,9,8,0,25,26,44,32,24,58,19,280,95,17,18,21,22,67,71,150,110,167,393,83,1213,853,134,109,154,176,620,559,1345,1197,2201,6698,991,15029
LGA14550,0,0,17,5,4,0,0,0,16,3,3,0,0,0,0,34,0,0,0,0,0,5,0,0,0,0,0,0,15,4,0,0,0,4,17,7,3,0,0,0,3,39,5,13,0,3,15,41,16,12,0,0,0,4,103,33,29,34,57,71,176,123,101,31,24,27,46,743
LGA14600,0,0,4,0,0,0,7,4,4,0,0,0,0,0,5,20,0,0,0,3,0,0,0,0,0,0,0,0,7,0,0,0,4,3,8,0,0,0,0,0,0,15,4,4,3,7,8,12,0,0,0,0,0,9,48,52,20,24,46,54,76,37,38,8,12,15,39,423
LGA14650,9,5,278,38,25,15,26,61,184,285,351,121,77,26,88,1300,20,11,12,12,44,105,110,101,40,28,16,32,536,65,44,38,50,64,193,178,144,55,42,21,92,981,135,83,72,103,173,533,643,650,247,172,75,219,3096,1033,434,366,603,859,2844,4067,6908,3732,2475,1407,1365,26094
LGA14700,12,6,29,0,0,6,0,0,9,9,31,17,25,28,7,133,4,3,0,0,3,10,7,12,10,12,27,0,96,5,5,0,0,4,3,10,21,14,8,18,8,99,16,11,0,0,8,28,24,69,50,53,83,28,363,194,32,22,34,45,150,167,497,480,704,1499,248,4071
LGA14750,0,0,9,6,0,4,0,11,23,13,7,0,0,0,5,64,0,0,0,0,9,0,8,0,0,0,0,0,19,6,0,0,7,9,12,0,4,0,0,0,3,38,7,0,6,11,27,38,24,6,0,0,0,10,131,62,24,32,72,103,264,182,167,59,46,26,72,1104
LGA14850,0,3,71,7,9,8,21,19,74,62,57,7,9,4,17,302,8,0,0,3,12,35,27,16,10,3,3,9,126,15,9,16,29,28,58,44,32,3,5,0,12,262,44,17,23,58,64,189,152,110,26,23,10,43,763,200,71,108,175,258,810,926,982,326,258,146,222,4486
LGA14870,0,0,20,6,0,4,10,16,19,19,13,7,0,0,9,105,0,0,0,0,5,9,6,8,3,0,0,0,31,7,4,3,7,7,27,16,13,6,4,3,7,106,16,5,12,15,29,60,47,33,21,4,0,14,265,65,53,37,73,129,395,384,355,185,136,69,98,1971
LGA14900,23,22,322,45,6,8,20,27,101,139,269,166,167,70,96,1130,32,11,18,7,25,74,80,120,57,65,29,49,569,64,27,26,42,65,148,176,256,147,111,61,91,1223,153,49,54,77,130,354,451,734,417,370,179,260,3238,1050,285,273,433,623,2020,2727,5722,4504,4341,2262,1811,26045
LGA14920,0,0,10,0,0,3,8,6,4,6,0,0,0,0,0,33,0,0,0,4,0,0,0,0,0,0,0,0,5,0,0,5,5,5,7,0,0,0,0,0,5,22,0,4,11,13,16,14,8,3,5,0,0,6,72,23,12,26,48,71,120,97,56,28,21,18,45,578
LGA14950,0,0,12,0,0,0,3,0,6,0,0,0,0,0,0,15,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,4,0,3,0,0,0,0,0,0,13,3,0,6,8,0,6,9,0,0,0,0,0,38,33,7,14,29,32,48,44,37,12,5,14,17,293
LGA15050,4,6,120,13,4,9,23,26,101,148,135,43,27,7,28,568,8,4,3,9,9,28,39,43,16,7,10,7,178,17,24,14,19,35,75,84,62,21,9,9,34,396,43,30,29,51,74,228,301,271,81,56,25,80,1266,342,147,141,235,355,1426,2200,3214,1369,882,435,540,11275
LGA15240,0,3,122,13,6,10,30,40,103,99,77,29,14,5,25,452,3,5,6,11,13,42,22,21,9,3,0,9,147,42,16,19,27,39,77,65,41,8,7,14,33,383,61,25,31,72,101,255,212,161,53,27,19,80,1099,381,189,193,367,541,1508,1516,1563,633,380,237,451,7950
LGA15270,0,0,22,0,5,0,6,9,25,28,24,11,7,4,5,126,0,3,3,0,4,4,8,3,3,0,0,0,28,6,4,4,4,11,19,11,7,4,0,0,4,76,9,9,7,9,20,55,57,39,15,8,5,9,249,89,63,50,83,131,395,505,616,259,196,128,139,2666
LGA15300,0,0,8,7,3,0,3,5,11,5,8,0,0,0,4,45,0,0,0,0,0,5,0,0,0,0,0,0,8,0,5,0,6,5,5,0,3,0,0,0,8,23,6,7,3,7,4,23,14,7,0,0,3,7,86,65,23,23,50,60,195,153,99,38,36,24,68,835
LGA15350,9,0,17,6,0,0,0,5,0,3,4,5,13,40,5,94,6,0,0,0,0,0,4,5,4,6,22,7,57,7,0,0,0,0,0,0,8,4,4,9,3,31,16,0,0,0,5,4,14,20,17,27,84,16,196,173,22,12,7,31,82,74,174,135,277,1278,181,2435
LGA15520,0,0,8,0,0,3,10,6,9,13,0,0,0,0,0,45,3,0,0,0,0,4,3,0,0,0,0,0,12,4,0,0,5,0,3,5,0,0,0,0,0,26,6,0,0,12,4,22,20,9,4,0,4,4,91,69,26,25,74,83,225,221,216,70,44,54,81,1183
