LGA_CODE_2021,C21_CF_1P1NW_Tot,C21_CF_1A1NW_Neg_ni_inc,C21_CF_1A1NW_1_149,C21_CF_1A1NW_150_399,C21_CF_1A1NW_400_649,C21_CF_1A1NW_650_799,C21_CF_1A1NW_800_1249,C21_CF_1A1NW_1250_1999,C21_CF_1A1NW_2000_2499,C21_CF_1A1NW_2500_2999,C21_CF_1A1NW_3000_3999,C21_CF_1A1NW_4000more,C21_CF_1A1NW_Ns,C21_CF_1A1NW_Tot,C21_CF_BA_Neg_ni_inc,C21_CF_BA_1_149,C21_CF_BA_150_399,C21_CF_BA_400_649,C21_CF_BA_650_799,C21_CF_BA_800_1249,C21_CF_BA_1250_1999,C21_CF_BA_2000_2499,C21_CF_BA_2500_2999,C21_CF_BA_3000_3999,C21_CF_BA_4000more,C21_CF_BA_Ns,C21_CF_BA_Tot,C21_CF_BNW_Neg_ni_inc,C21_CF_BNW_1_149,C21_CF_BNW_150_399,C21_CF_BNW_400_649,C21_CF_BNW_650_799,C21_CF_BNW_800_1249,C21_CF_BNW_1250_1999,C21_CF_BNW_2000_2499,C21_CF_BNW_2500_2999,C21_CF_BNW_3000_3999,C21_CF_BNW_4000more,C21_CF_BNW_Ns,C21_CF_BNW_Tot,C21_CF_LFns_Neg_ni_inc,C21_CF_LFns_1_149,C21_CF_LFns_150_399,C21_CF_LFns_400_649,C21_CF_LFns_650_799,C21_CF_LFns_800_1249,C21_CF_LFns_1250_1999,C21_CF_LFns_2000_2499,C21_CF_LFns_2500_2999,C21_CF_LFns_3000_3999,C21_CF_LFns_4000more,C21_CF_LFns_Ns,C21_CF_LFns_Tot,C21_C_f_c_Tot_Fi_Neg_ni_inc,C21_C_f_c_Tot_Fi_1_149,C21_C_f_c_Tot_Fi_150_399,C21_C_f_c_Tot_Fi_400_649,C21_CF_c_Tot_Fi_650_799,C21_CF_c_Tot_Fi_800_1249,C21_CF_c_Tot_Fi_1250_1999,C21_CF_c_Tot_Fi_2000_2499,C21_CF_c_Tot_Fi_2500_2999,C21_CF_c_Tot_Fi_3000_3999,C21_CF_c_Tot_Fi_4000more,C21_C_f_with_c_TotFI_Ns,C21_C_f_with_c_Tot_Tot,C21_1PF_F_Neg_ni_inc,C21_1PF_F_1_149,C21_1PF_F_150_399,C21_1PF_F_400_649,C21_1PF_F_650_799,C21_1PF_F_800_1249,C21_1PF_F_1250_1999,C21_1PF_F_2000_2499,C21_1PF_F_2500_2999,C21_1PF_F_3000_3999,C21_1PF_F_4000more,C21_1PF_F_Ns,C21_1PF_F_Tot,C21_1PF_P_Neg_ni_inc,C21_1PF_P_1_149,C21_1PF_P_150_399,C21_1PF_P_400_649,C21_1PF_P_650_799,C21_1PF_P_800_1249,C21_1PF_P_1250_1999,C21_1PF_P_2000_2499,C21_1PF_P_2500_2999,C21_1PF_P_3000_3999,C21_1PF_P_4000more,C21_1PF_P_Ns,C21_1PF_P_Tot,C21_1PF_A_Neg_ni_inc,C21_1PF_A_1_149,C21_1PF_A_150_399,C21_1PF_A_400_649,C21_1PF_A_650_799,C21_1PF_A_800_1249,C21_1PF_A_1250_1999,C21_1PF_A_2000_2499,C21_1PF_A_2500_2999,C21_1PF_A_3000_3999,C21_1PF_A_4000_more,C21_1PF_A_Ns,C21_1PF_A_Tot,C21_1PF_U_Neg_ni_inc,C21_1PF_U_1_149,C21_1PF_U_150_399,C21_1PF_U_400_649,C21_1PF_U_650_799,C21_1PF_U_800_1249,C21_1PF_U_1250_1999,C21_1PF_U_2000_2499,C21_1PF_U_2500_2999,C21_1PF_U_3000_3999,C21_1PF_U_4000_more,C21_1PF_U_Ns,C21_1PF_U_Tot,C21_1PF_N_lf_Fi_Neg_ni_inc,C21_1PF_N_lf_Fi_1_149,C21_1PF_N_lf_Fi_150_399,C21_1PF_N_lf_Fi_400_649,C21_1PF_N_lf_Fi_650_799,C21_1PF_N_lf_Fi_800_1249,C21_1PF_N_lf_Fi_1250_1999,C21_1PF_N_lf_Fi_2000_2499,C21_1PF_N_lf_Fi_2500_2999,C21_1PF_N_lf_Fi_3000_3999,C21_1PF_N_lf_Fi_4000_more,C21_1PF_N_lf_Fi_Ns,C21_1PF_N_the_lf_Tot,C21_1PF_LFns_Neg_ni_inc,C21_1PF_LFns_1_149,C21_1PF_LFns_150_399,C21_1PF_LFns_400_649,C21_1PF_LFns_Fi_650_799,C21_1PF_LFns_Fi_800_1249,C21_1PF_LFns_Fi_1250_1999,C21_1PF_LFns_Fi_2000_2499,C21_1PF_LFns_Fi_2500_2999,C21_1PF_LFns_Fi_3000_3999,C21_1PF_LFns_4000more,C21_1PF_LFns_Ns,C21_1PF_LFns_Tot,C21_1PF_TotFI_Neg_ni_inc,C21_1PF_TotFI_1_149,C21_1PF_TotFI_150_399,C21_1PF_TotFI_400_649,C21_1PF_TotFI_650_799,C21_1PF_TotFI_800_1249,C21_1PF_TotFI_1250_1999,C21_1PF_TotFI_2000_2499,C21_1PF_TotFI_2500_2999,C21_1PF_TotFI_3000_3999,C21_1PF_TotFI_4000more,C21_One_par_f_TotFI_Ns,C21_One_parent_f_Tot_Tot,C21_TotFI_Neg_ni_inc,C21_TotFI_1_149,C21_TotFI_150_399,C21_TotFI_400_649,C21_TotFI_650_799,C21_TotFI_800_1249,C21_TotFI_1250_1999,C21_TotFI_2000_2499,C21_TotFI_2500_2999,C21_TotFI_3000_3999,C21_TotFI_4000_more,C21_TotFI_Ns,C21_Tot_Tot
LGA10050,252,0,0,0,0,0,5,13,9,4,3,3,6,51,0,0,0,0,0,0,10,9,0,6,0,6,33,4,0,10,10,31,79,112,28,20,18,5,30,339,0,0,0,0,3,0,3,0,0,4,0,234,253,8,0,17,32,65,285,1116,944,758,1083,869,489,5658,5,0,3,15,13,185,252,152,54,41,26,57,808,0,0,17,87,100,212,166,39,14,12,4,34,685,0,0,4,13,16,18,22,6,4,0,0,15,93,5,0,20,50,14,14,16,0,0,0,0,8,129,31,7,59,231,128,234,149,36,12,7,6,69,960,0,0,0,0,0,6,0,0,0,0,0,21,34,35,10,99,392,274,669,612,238,82,60,41,207,2705,113,47,157,661,989,1903,3125,2035,1427,1668,1244,1022,14386
LGA10180,149,0,0,0,5,5,8,12,0,5,4,0,0,36,0,0,0,0,0,3,9,8,0,4,3,0,35,11,0,8,18,29,46,41,17,11,7,13,15,209,0,0,0,0,0,0,3,0,0,0,0,91,98,19,5,3,43,45,185,494,371,311,420,412,229,2544,0,0,4,7,17,69,92,67,17,11,12,29,325,0,0,11,36,39,79,71,13,3,5,4,14,274,0,0,6,3,6,10,9,5,0,0,4,6,41,5,0,7,12,7,6,6,0,0,0,0,0,43,12,4,20,107,52,144,76,16,3,9,3,29,482,0,0,4,0,0,0,0,0,0,0,0,9,11,20,9,54,163,118,303,250,99,28,15,24,92,1178,79,33,88,311,497,947,1488,876,599,726,678,477,6790
LGA10250,288,0,0,0,0,0,12,22,3,8,9,10,4,64,0,0,0,0,0,3,16,5,3,8,11,10,51,8,3,3,16,17,71,105,43,24,16,14,44,357,0,0,0,0,0,3,0,3,0,0,5,159,176,12,3,6,24,43,249,856,709,616,837,798,414,4563,0,0,0,6,20,106,216,103,39,43,27,61,610,0,0,10,56,80,186,148,42,13,10,13,32,601,0,0,0,19,7,10,17,5,0,0,4,11,74,0,0,5,16,3,11,11,5,0,0,0,4,54,17,9,31,129,68,245,148,39,10,11,11,71,770,0,0,0,4,0,0,3,0,0,0,0,21,26,19,13,45,218,177,565,541,197,69,61,56,194,2142,100,64,104,479,918,1898,2747,1652,1112,1352,1263,912,12597
LGA10300,5,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0,0,3,0,0,0,0,0,9,0,0,0,0,0,8,9,3,0,0,0,0,14,0,0,0,0,0,0,0,0,0,0,0,15,12,0,0,0,7,5,22,35,36,24,25,21,36,200,0,0,0,0,0,4,8,6,0,0,0,4,21,0,0,0,3,0,9,0,0,0,0,0,0,16,0,0,0,0,0,0,0,0,0,0,0,0,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,6,0,10,9,4,0,0,0,0,31,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8,15,0,14,16,11,0,0,0,14,73,9,0,8,31,40,74,109,70,44,46,29,57,511
LGA10470,185,0,0,0,0,0,9,12,10,3,3,3,0,39,0,0,0,0,0,0,10,8,0,9,7,8,39,9,5,8,12,17,62,70,26,13,18,12,20,261,0,0,0,0,0,0,0,0,0,0,0,208,214,7,5,10,24,45,219,718,654,628,932,781,430,4459,0,0,0,10,14,139,222,153,54,39,17,59,711,0,0,9,59,58,154,128,29,14,12,8,33,502,3,0,4,5,7,16,14,7,5,4,5,12,76,0,3,9,24,12,16,11,0,0,0,0,8,79,21,5,38,109,67,183,113,36,18,9,0,68,679,0,0,0,0,0,5,0,0,0,0,0,14,20,22,10,63,208,169,514,480,225,91,63,33,196,2077,93,42,123,394,660,1443,2223,1490,1165,1417,1125,906,11072
LGA10500,1488,0,0,3,22,24,108,176,92,82,62,53,44,659,3,0,0,4,5,25,82,64,36,63,50,36,363,107,14,67,150,177,472,747,341,207,226,139,151,2802,3,0,4,0,0,10,7,5,4,3,8,506,557,123,25,103,264,329,1329,3266,2604,2215,3578,4976,1152,19947,0,4,0,12,33,186,565,394,167,227,226,132,1948,0,7,19,117,104,233,305,130,59,65,43,70,1141,0,0,18,24,47,56,83,40,17,20,18,44,377,21,0,15,47,23,32,44,15,7,6,0,10,219,169,29,149,361,232,711,652,280,156,102,73,153,3067,0,0,0,0,0,10,9,0,0,0,0,57,81,191,37,209,567,434,1224,1660,860,411,417,356,466,6829,896,198,535,1556,2340,4418,8088,5977,4389,6401,7505,2439,44736
LGA10550,203,0,0,0,0,0,3,15,6,3,3,0,6,48,0,0,0,0,0,5,11,13,5,3,3,7,54,5,0,12,13,16,67,64,38,16,7,13,27,281,0,0,0,0,0,0,5,0,0,0,0,146,156,9,7,12,26,54,244,721,539,387,451,292,352,3088,0,0,0,10,14,73,116,52,27,16,13,27,352,0,4,14,55,47,109,82,19,9,3,0,39,389,0,0,0,3,12,9,6,4,0,0,0,5,42,0,0,5,14,10,8,5,0,0,0,0,3,41,8,11,41,103,58,152,90,20,8,8,5,56,557,0,0,0,0,0,0,6,0,0,0,0,14,29,10,12,64,189,139,356,304,96,43,29,26,149,1419,127,69,138,520,922,1709,2274,1181,762,794,549,805,9858
LGA10600,87,0,0,0,0,0,3,5,0,0,0,0,0,19,0,0,0,0,0,0,0,0,5,0,0,0,9,6,0,0,5,9,23,35,15,5,11,0,15,118,0,0,0,0,0,0,0,0,0,0,0,59,52,7,0,5,7,20,117,283,188,139,172,101,126,1170,0,0,0,0,6,34,47,24,3,4,5,22,157,0,0,6,30,43,56,38,10,3,0,4,16,206,0,0,0,6,4,3,3,4,0,0,0,0,29,3,3,3,3,3,3,0,0,0,0,0,4,20,4,4,18,53,25,64,48,3,4,3,6,27,260,0,0,0,0,0,0,0,0,0,0,0,5,8,8,5,33,93,76,166,144,47,13,14,9,72,671,49,33,67,197,322,621,815,399,283,289,173,308,3559
LGA10650,34,0,0,0,0,0,3,3,0,0,0,0,0,14,0,0,0,0,0,0,0,0,0,0,0,4,13,0,0,4,0,5,15,14,4,0,0,0,6,51,0,0,0,0,0,0,0,0,0,0,0,30,28,0,0,9,11,19,57,168,115,96,118,59,79,725,0,0,0,0,4,16,30,13,0,3,0,5,80,0,0,0,15,13,26,13,0,5,0,0,3,71,0,0,0,0,3,0,3,0,0,0,0,0,14,0,0,3,0,0,5,0,0,0,0,0,0,10,3,0,13,25,10,22,23,0,0,0,0,19,112,0,0,0,0,0,0,0,0,0,0,0,8,9,3,0,17,36,30,75,61,21,8,3,6,32,292,31,10,32,111,266,374,481,260,180,176,117,210,2248
LGA10750,3365,0,7,17,42,53,267,608,278,144,180,127,121,1850,7,0,0,3,9,45,239,234,191,195,182,116,1229,232,39,131,403,455,1187,1730,841,500,470,287,400,6671,3,0,4,8,9,22,47,33,20,29,29,1682,1880,258,55,200,627,829,3258,9543,8882,7557,11848,11936,3574,58576,0,0,8,26,70,633,1409,909,419,512,328,275,4598,3,6,66,205,242,624,678,258,131,116,60,133,2522,7,3,20,88,100,218,293,141,82,63,40,125,1172,37,6,59,129,79,95,80,27,12,16,3,26,573,345,75,476,1470,792,1740,1580,557,267,201,128,486,8109,6,0,3,11,7,15,22,7,3,0,0,194,268,395,88,637,1925,1295,3327,4051,1899,915,917,560,1238,17238,1949,358,1179,3779,4934,9942,18535,14375,10981,15826,14574,6029,102454
LGA10800,17,0,0,0,0,0,0,4,0,0,0,0,0,5,0,0,0,0,0,0,5,4,0,6,0,0,9,0,0,0,0,0,8,3,0,0,0,0,5,23,0,0,0,0,0,0,0,0,0,0,0,32,36,0,0,0,6,11,35,103,83,68,87,65,87,551,0,0,0,0,0,8,15,12,0,3,4,10,60,0,0,0,7,7,17,13,0,3,0,5,9,52,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7,0,0,4,16,9,20,13,3,0,0,0,4,76,0,0,0,0,0,3,0,0,0,0,0,3,3,4,0,3,31,15,51,39,13,8,3,8,26,200,19,7,12,66,122,190,263,186,124,143,109,182,1425
LGA10850,36,0,0,0,0,0,0,4,0,0,0,0,0,12,0,0,0,0,0,0,0,0,0,0,0,3,8,0,0,0,0,3,9,17,6,0,0,0,3,52,0,0,0,0,0,0,0,0,0,0,0,57,54,4,0,4,6,10,42,133,131,131,156,127,97,839,0,0,0,0,6,14,40,16,5,10,0,10,103,0,0,0,7,15,16,13,7,3,0,0,9,68,0,0,0,0,0,4,4,0,0,0,0,0,15,0,0,0,8,0,0,0,0,0,0,0,0,16,5,0,5,24,16,28,12,6,0,3,3,4,108,0,0,0,0,0,0,0,0,0,0,0,7,6,5,0,8,36,37,69,75,24,12,8,5,27,312,22,7,23,70,144,248,398,251,218,250,186,195,2011
LGA10900,492,0,0,0,5,0,29,51,22,17,26,16,16,175,0,0,0,0,0,0,28,28,22,27,22,16,140,11,10,8,20,31,120,190,89,49,65,33,42,672,0,0,0,0,0,3,0,0,0,0,0,218,225,19,11,15,45,60,367,1255,1236,1157,2017,2430,579,9183,0,0,0,0,12,108,285,213,90,93,78,95,980,0,4,15,71,80,207,241,74,33,22,21,66,832,0,0,3,22,32,49,46,22,4,4,4,20,209,3,0,18,12,15,10,10,0,4,0,0,10,80,20,11,53,178,104,322,244,76,46,22,12,70,1157,0,0,0,0,0,0,6,0,0,0,0,15,25,24,13,86,295,242,691,830,393,183,147,113,265,3285,159,81,187,692,1098,2562,4194,2761,2183,3205,3540,1204,21865
LGA10950,8,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,4,0,0,0,0,6,0,0,6,0,0,0,0,0,7,12,0,0,0,0,0,0,0,0,0,0,0,18,18,0,3,3,0,0,20,48,37,28,31,42,51,270,0,0,0,0,0,5,6,0,0,4,3,5,31,0,0,0,3,4,3,3,0,0,0,0,0,18,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,6,0,0,0,0,0,0,0,0,3,0,0,0,10,4,9,8,0,0,0,0,0,35,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,17,17,13,14,10,3,4,5,10,90,7,3,7,32,38,75,108,75,59,60,68,84,622
LGA11150,7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,7,0,0,0,0,0,8,0,0,0,0,0,3,16,0,0,0,0,0,0,0,0,0,0,0,25,23,0,0,0,0,3,14,25,29,17,44,29,53,219,0,0,0,0,0,5,8,4,5,0,0,3,25,0,0,0,0,4,3,0,5,0,0,0,0,8,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,5,7,0,4,11,9,10,9,0,0,0,0,4,57,0,0,0,0,0,0,0,0,0,0,0,8,8,7,0,3,14,16,15,18,9,4,0,0,12,106,9,3,8,24,44,47,87,65,37,62,45,99,524
LGA11200,10,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,6,0,5,0,0,0,0,0,15,0,0,0,0,0,0,0,0,0,0,0,7,7,0,0,0,5,4,11,17,13,7,5,8,9,77,0,0,0,0,0,6,10,4,0,0,0,4,22,0,0,0,7,0,3,0,0,0,0,0,3,15,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,4,0,11,9,8,9,3,0,0,0,0,3,47,0,0,0,0,0,0,0,0,0,0,0,4,5,4,0,9,18,11,19,12,5,0,0,0,9,90,5,9,10,22,22,46,41,28,13,16,16,31,279
LGA11250,56,0,0,0,0,0,0,5,8,0,4,0,0,22,0,0,0,0,0,0,3,3,0,4,0,3,18,6,0,4,6,10,39,49,23,0,9,0,12,163,0,0,0,0,0,0,3,0,0,0,0,97,106,6,0,3,11,17,85,248,208,174,276,209,169,1417,0,0,0,5,15,63,99,50,16,22,0,27,299,0,4,12,34,32,55,35,15,4,3,0,10,201,0,0,3,5,5,12,16,4,0,0,0,11,55,5,0,5,10,6,6,0,0,0,0,0,5,41,13,3,32,96,41,120,76,20,4,0,3,42,461,0,0,0,0,0,0,0,0,0,0,0,6,13,23,6,53,151,101,251,220,89,27,35,7,104,1063,61,15,69,264,405,681,835,483,362,490,311,449,4413
LGA11300,299,0,0,4,3,10,29,46,19,10,10,9,9,154,0,0,0,0,0,7,29,13,14,3,18,7,85,19,5,23,39,35,108,156,86,58,45,58,40,661,0,0,0,0,0,0,0,5,0,5,0,125,131,22,7,33,62,60,272,642,506,362,683,1213,267,4129,0,0,4,0,3,39,89,66,18,31,48,24,315,4,0,3,17,22,56,54,22,12,12,17,13,236,0,0,0,14,5,10,12,7,0,3,0,7,69,8,0,4,13,8,6,14,0,0,3,0,6,57,80,12,64,94,35,130,126,75,31,24,26,39,739,4,0,0,5,0,4,7,0,0,0,0,12,25,88,15,76,141,80,250,298,172,61,73,89,104,1441,296,72,159,405,467,1012,1727,1200,721,1120,1734,526,9427
LGA11350,302,0,0,0,0,4,13,11,9,9,3,3,4,58,0,0,0,0,0,5,5,9,8,3,8,3,32,13,4,4,13,12,44,65,33,23,13,14,21,255,0,0,0,0,0,0,6,0,4,0,5,159,173,17,4,15,32,53,220,632,467,402,483,597,346,3261,0,0,0,3,12,41,107,55,20,13,24,35,319,4,0,17,65,68,136,128,28,6,7,9,58,535,0,0,0,12,0,14,18,5,4,0,5,11,68,4,0,7,15,5,9,7,0,3,0,0,3,54,23,8,41,102,55,150,93,28,19,7,6,52,591,0,0,0,0,0,0,0,3,0,0,0,11,16,33,8,63,196,147,356,361,123,45,31,41,172,1577,92,34,122,373,499,1060,1834,1086,718,837,1057,745,8455
LGA11400,39,0,0,0,0,0,0,3,0,0,0,0,3,11,0,0,0,0,0,3,0,4,0,3,0,0,14,0,0,0,6,4,15,30,6,5,10,0,5,84,0,0,0,0,0,0,0,0,0,0,0,84,86,3,0,9,18,17,83,257,217,168,293,326,199,1590,0,0,4,5,4,25,35,18,4,4,0,16,115,0,0,3,8,13,30,27,5,3,3,0,6,92,0,0,0,5,0,6,0,0,0,0,0,7,22,0,0,0,5,0,0,0,0,0,0,0,0,7,3,5,12,29,23,44,34,7,5,4,5,15,176,0,0,0,0,0,0,0,0,0,0,0,12,14,3,5,15,50,44,105,92,27,17,11,7,49,433,51,14,40,154,267,428,703,441,305,445,476,364,3687
LGA11450,921,4,0,4,9,9,47,139,81,44,41,37,34,446,0,0,0,0,0,15,80,70,88,92,59,37,450,42,8,19,67,67,209,357,132,102,100,53,72,1234,0,0,0,0,0,4,6,4,8,0,0,475,495,66,11,40,113,153,697,2641,2738,2660,4144,4097,1051,18391,3,0,0,11,21,198,488,358,174,205,113,108,1674,0,0,7,69,78,267,243,111,61,51,37,48,972,0,0,0,34,37,68,82,32,19,25,10,27,331,5,0,12,25,26,28,20,11,4,4,3,4,138,70,18,72,272,139,343,315,110,54,38,36,79,1536,0,0,0,0,0,6,4,0,0,0,0,44,45,81,19,92,409,295,899,1147,620,315,315,192,313,4695,373,90,213,809,1221,2639,5378,4728,4169,5890,5245,1724,32473
LGA11500,1766,6,0,7,19,34,184,334,149,74,81,43,69,1000,0,0,0,0,3,29,155,103,103,90,63,49,600,91,26,74,230,260,689,844,384,221,181,108,203,3314,6,0,0,0,4,5,19,16,11,6,9,730,796,115,36,108,350,457,1894,4890,3919,3049,3783,3048,1613,23262,0,0,4,18,45,366,745,400,201,230,126,163,2296,3,7,23,144,166,393,385,151,47,65,27,82,1491,8,3,19,73,49,144,149,77,38,27,8,68,666,15,3,35,84,47,54,59,21,9,9,3,20,371,172,26,284,896,512,1058,810,262,139,87,46,278,4570,5,0,3,4,4,12,7,0,0,0,7,98,131,204,40,371,1218,823,2027,2156,915,438,415,215,700,9528,752,173,678,2220,2843,5845,9888,6687,4647,5491,3992,2900,46118
LGA11520,594,0,0,5,12,8,39,51,29,18,20,28,5,220,4,0,0,4,3,5,31,32,29,38,46,22,205,37,10,21,48,43,132,201,126,88,108,108,55,960,0,0,0,0,0,4,12,4,0,8,7,258,291,45,13,27,96,92,373,1012,989,930,1848,4962,568,10951,0,0,4,0,7,74,250,236,81,154,228,82,1126,0,4,15,30,39,111,131,71,30,37,30,27,521,0,0,3,15,16,26,34,20,10,8,13,7,142,6,0,5,15,6,10,13,12,4,6,4,5,90,86,15,67,114,70,241,275,92,85,57,59,89,1246,0,0,0,0,0,0,0,0,0,0,0,18,27,91,18,93,178,133,461,704,429,208,262,341,235,3151,409,134,217,610,898,1808,3283,2612,2124,3639,7597,1238,24570
LGA11570,4063,11,7,19,125,158,584,877,337,226,230,178,195,2951,4,0,4,13,13,100,336,252,212,222,173,114,1434,502,82,314,891,973,2338,3004,1200,706,766,468,614,11864,11,0,8,21,9,35,50,17,7,18,9,1457,1641,554,114,416,1347,1581,5068,9749,6174,4823,6653,7731,3256,47462,3,3,5,37,63,420,871,541,262,350,263,202,3024,3,9,70,235,228,510,601,251,133,129,83,112,2376,10,3,37,98,107,226,306,138,77,67,40,107,1215,45,11,66,105,55,97,93,33,20,21,11,36,583,550,91,623,1406,896,2101,1967,751,418,312,196,573,9875,4,4,4,10,9,11,7,4,0,0,0,225,285,609,120,798,1887,1361,3370,3857,1713,915,875,596,1250,17356,2403,515,1664,4953,6698,12296,18337,10641,7618,9642,10047,5838,90645
LGA11600,11,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6,0,0,0,0,0,0,0,0,0,0,0,5,6,0,0,0,0,0,0,0,0,0,0,0,11,11,0,0,4,4,3,18,64,45,35,44,26,44,285,0,0,0,0,0,12,4,3,0,3,0,4,28,0,0,0,0,3,10,3,0,0,0,0,0,15,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0,0,0,0,3,0,0,4,9,9,16,0,0,0,0,0,6,39,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,15,9,31,10,3,0,3,0,10,94,12,3,8,27,25,100,142,94,60,58,49,74,658
LGA11650,2198,3,0,3,23,32,112,271,145,54,66,53,52,816,7,0,0,3,0,31,150,113,113,126,77,75,705,74,17,39,137,211,604,954,382,201,175,112,266,3176,0,0,0,5,5,9,21,11,0,8,9,1146,1213,100,24,66,263,426,1711,6479,5710,5249,7540,7396,2934,37902,3,0,5,37,97,744,1533,945,401,394,250,400,4814,8,6,72,393,478,1092,1080,346,150,110,50,240,4026,11,4,26,137,155,332,258,102,36,22,19,105,1195,24,8,46,143,84,107,79,19,3,0,9,32,558,218,47,379,1263,790,2008,1452,386,196,82,83,507,7398,3,0,8,9,0,27,15,3,0,0,0,148,206,265,69,532,1979,1602,4306,4404,1802,784,613,406,1426,18194,1065,389,980,3860,6834,12419,18948,12054,8920,11353,10606,6204,93639
LGA11700,8,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,3,10,5,0,0,0,0,5,26,0,0,0,0,0,0,3,0,0,0,0,7,10,0,0,0,7,5,19,15,8,10,9,5,18,95,0,0,0,0,0,0,7,0,0,0,0,0,12,0,0,0,0,0,3,0,0,0,0,0,0,7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6,5,0,6,16,3,22,0,3,0,0,0,7,69,0,0,0,0,0,0,0,0,0,0,0,3,3,5,0,10,16,7,22,10,5,0,5,3,18,97,11,3,13,37,30,67,47,32,19,26,21,45,350
LGA11720,352,0,0,0,3,3,22,34,26,16,4,12,10,126,0,0,0,0,0,0,25,14,7,20,17,6,88,24,0,9,33,44,147,188,79,28,30,16,58,653,0,0,0,0,0,0,3,0,0,0,4,292,310,26,0,6,46,95,394,1326,1148,921,1227,922,611,6727,0,0,7,9,32,176,234,148,69,58,27,67,822,3,6,23,107,108,271,189,59,28,21,7,46,865,0,0,7,35,33,49,52,20,12,5,0,22,238,8,0,19,57,22,28,19,8,6,3,0,10,174,37,15,100,307,204,432,283,50,21,11,12,124,1607,0,0,0,3,8,11,3,0,0,0,6,34,67,50,22,159,521,403,967,781,286,132,93,51,305,3775,179,77,234,843,1339,2377,3446,2259,1604,1879,1361,1280,16871
LGA11730,295,0,0,0,0,3,19,25,14,6,0,5,3,73,0,0,0,0,0,0,10,12,8,7,10,7,50,6,0,12,17,43,143,154,49,25,16,10,50,531,0,0,0,0,0,6,4,0,4,0,0,270,292,18,0,25,45,99,432,1102,752,546,580,363,562,4532,0,0,5,17,27,136,182,69,25,25,18,34,540,0,0,16,77,82,201,107,23,5,5,6,43,571,0,0,3,16,10,17,22,9,0,0,0,18,105,5,4,21,34,13,12,5,0,4,0,0,6,108,35,9,72,225,149,342,198,40,17,14,4,125,1229,3,0,0,0,3,5,5,0,0,0,0,38,54,39,17,116,365,289,713,521,144,58,41,36,262,2604,191,93,224,807,1656,2690,3226,1585,974,966,667,1231,14311
LGA11750,9,0,0,0,0,0,0,4,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0,3,0,0,4,0,0,0,0,0,6,0,0,0,0,0,0,10,0,0,0,0,0,0,0,0,0,0,0,32,32,3,0,0,4,0,19,39,48,36,73,79,63,373,0,0,0,0,0,13,13,9,4,5,9,5,51,0,0,0,0,6,8,6,0,0,4,0,3,24,0,0,0,0,0,0,0,0,0,0,0,0,8,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,16,5,8,7,3,0,0,0,7,57,0,0,0,0,0,0,0,0,0,0,0,3,4,4,0,8,20,15,27,24,15,0,7,9,19,148,15,6,11,39,51,95,125,113,77,130,120,130,908
LGA11800,471,0,0,5,0,3,20,36,16,6,4,0,12,108,4,0,0,0,0,5,14,13,11,9,9,13,76,15,3,11,52,62,150,212,79,36,32,14,58,722,0,0,0,0,0,5,5,6,3,0,0,291,315,26,4,29,87,134,532,1620,1265,1036,1242,1030,687,7698,0,0,0,20,30,212,414,173,53,49,39,101,1103,0,8,20,139,134,301,244,52,10,19,3,75,1004,0,0,6,18,25,26,35,9,3,7,4,22,152,4,0,24,42,23,26,18,3,0,0,3,7,156,38,17,65,259,173,413,287,54,31,15,22,117,1498,0,0,0,3,0,3,3,0,0,0,0,47,59,44,20,127,486,388,983,1003,291,99,94,68,361,3967,220,106,254,1008,1743,3214,4833,2633,1785,2007,1567,1573,20942
