LGA_CODE_2021,C21_CF_1P1NW_Tot,C21_CF_1A1NW_Neg_ni_inc,C21_CF_1A1NW_1_149,C21_CF_1A1NW_150_399,C21_CF_1A1NW_400_649,C21_CF_1A1NW_650_799,C21_CF_1A1NW_800_1249,C21_CF_1A1NW_1250_1999,C21_CF_1A1NW_2000_2499,C21_CF_1A1NW_2500_2999,C21_CF_1A1NW_3000_3999,C21_CF_1A1NW_4000more,C21_CF_1A1NW_Ns,C21_CF_1A1NW_Tot,C21_CF_BA_Neg_ni_inc,C21_CF_BA_1_149,C21_CF_BA_150_399,C21_CF_BA_400_649,C21_CF_BA_650_799,C21_CF_BA_800_1249,C21_CF_BA_1250_1999,C21_CF_BA_2000_2499,C21_CF_BA_2500_2999,C21_CF_BA_3000_3999,C21_CF_BA_4000more,C21_CF_BA_Ns,C21_CF_BA_Tot,C21_CF_BNW_Neg_ni_inc,C21_CF_BNW_1_149,C21_CF_BNW_150_399,C21_CF_BNW_400_649,C21_CF_BNW_650_799,C21_CF_BNW_800_1249,C21_CF_BNW_1250_1999,C21_CF_BNW_2000_2499,C21_CF_BNW_2500_2999,C21_CF_BNW_3000_3999,C21_CF_BNW_4000more,C21_CF_BNW_Ns,C21_CF_BNW_Tot,C21_CF_LFns_Neg_ni_inc,C21_CF_LFns_1_149,C21_CF_LFns_150_399,C21_CF_LFns_400_649,C21_CF_LFns_650_799,C21_CF_LFns_800_1249,C21_CF_LFns_1250_1999,C21_CF_LFns_2000_2499,C21_CF_LFns_2500_2999,C21_CF_LFns_3000_3999,C21_CF_LFns_4000more,C21_CF_LFns_Ns,C21_CF_LFns_Tot,C21_C_f_c_Tot_Fi_Neg_ni_inc,C21_C_f_c_Tot_Fi_1_149,C21_C_f_c_Tot_Fi_150_399,C21_C_f_c_Tot_Fi_400_649,C21_CF_c_Tot_Fi_650_799,C21_CF_c_Tot_Fi_800_1249,C21_CF_c_Tot_Fi_1250_1999,C21_CF_c_Tot_Fi_2000_2499,C21_CF_c_Tot_Fi_2500_2999,C21_CF_c_Tot_Fi_3000_3999,C21_CF_c_Tot_Fi_4000more,C21_C_f_with_c_TotFI_Ns,C21_C_f_with_c_Tot_Tot,C21_1PF_F_Neg_ni_inc,C21_1PF_F_1_149,C21_1PF_F_150_399,C21_1PF_F_400_649,C21_1PF_F_650_799,C21_1PF_F_800_1249,C21_1PF_F_1250_1999,C21_1PF_F_2000_2499,C21_1PF_F_2500_2999,C21_1PF_F_3000_3999,C21_1PF_F_4000more,C21_1PF_F_Ns,C21_1PF_F_Tot,C21_1PF_P_Neg_ni_inc,C21_1PF_P_1_149,C21_1PF_P_150_399,C21_1PF_P_400_649,C21_1PF_P_650_799,C21_1PF_P_800_1249,C21_1PF_P_1250_1999,C21_1PF_P_2000_2499,C21_1PF_P_2500_2999,C21_1PF_P_3000_3999,C21_1PF_P_4000more,C21_1PF_P_Ns,C21_1PF_P_Tot,C21_1PF_A_Neg_ni_inc,C21_1PF_A_1_149,C21_1PF_A_150_399,C21_1PF_A_400_649,C21_1PF_A_650_799,C21_1PF_A_800_1249,C21_1PF_A_1250_1999,C21_1PF_A_2000_2499,C21_1PF_A_2500_2999,C21_1PF_A_3000_3999,C21_1PF_A_4000_more,C21_1PF_A_Ns,C21_1PF_A_Tot,C21_1PF_U_Neg_ni_inc,C21_1PF_U_1_149,C21_1PF_U_150_399,C21_1PF_U_400_649,C21_1PF_U_650_799,C21_1PF_U_800_1249,C21_1PF_U_1250_1999,C21_1PF_U_2000_2499,C21_1PF_U_2500_2999,C21_1PF_U_3000_3999,C21_1PF_U_4000_more,C21_1PF_U_Ns,C21_1PF_U_Tot,C21_1PF_N_lf_Fi_Neg_ni_inc,C21_1PF_N_lf_Fi_1_149,C21_1PF_N_lf_Fi_150_399,C21_1PF_N_lf_Fi_400_649,C21_1PF_N_lf_Fi_650_799,C21_1PF_N_lf_Fi_800_1249,C21_1PF_N_lf_Fi_1250_1999,C21_1PF_N_lf_Fi_2000_2499,C21_1PF_N_lf_Fi_2500_2999,C21_1PF_N_lf_Fi_3000_3999,C21_1PF_N_lf_Fi_4000_more,C21_1PF_N_lf_Fi_Ns,C21_1PF_N_the_lf_Tot,C21_1PF_LFns_Neg_ni_inc,C21_1PF_LFns_1_149,C21_1PF_LFns_150_399,C21_1PF_LFns_400_649,C21_1PF_LFns_Fi_650_799,C21_1PF_LFns_Fi_800_1249,C21_1PF_LFns_Fi_1250_1999,C21_1PF_LFns_Fi_2000_2499,C21_1PF_LFns_Fi_2500_2999,C21_1PF_LFns_Fi_3000_3999,C21_1PF_LFns_4000more,C21_1PF_LFns_Ns,C21_1PF_LFns_Tot,C21_1PF_TotFI_Neg_ni_inc,C21_1PF_TotFI_1_149,C21_1PF_TotFI_150_399,C21_1PF_TotFI_400_649,C21_1PF_TotFI_650_799,C21_1PF_TotFI_800_1249,C21_1PF_TotFI_1250_1999,C21_1PF_TotFI_2000_2499,C21_1PF_TotFI_2500_2999,C21_1PF_TotFI_3000_3999,C21_1PF_TotFI_4000more,C21_One_par_f_TotFI_Ns,C21_One_parent_f_Tot_Tot,C21_TotFI_Neg_ni_inc,C21_TotFI_1_149,C21_TotFI_150_399,C21_TotFI_400_649,C21_TotFI_650_799,C21_TotFI_800_1249,C21_TotFI_1250_1999,C21_TotFI_2000_2499,C21_TotFI_2500_2999,C21_TotFI_3000_3999,C21_TotFI_4000_more,C21_TotFI_Ns,C21_Tot_Tot
LGA57140,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,4,5,0,0,0,0,3,10,0,0,0,0,0,0,0,0,0,0,0,4,3,0,0,0,0,0,11,13,6,8,20,12,20,83,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,5,0,0,0,0,0,0,3,9,0,0,0,0,0,0,5,0,0,0,0,5,3,0,0,0,0,0,0,0,0,0,0,0,0,5,0,0,0,4,0,8,0,0,0,0,0,5,23,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8,3,6,5,0,0,0,0,6,40,9,0,6,14,37,46,50,24,12,28,13,37,276
LGA57210,41,0,0,0,0,0,0,0,4,0,0,0,0,7,0,0,0,0,0,0,0,3,0,0,0,0,11,0,0,0,5,0,9,8,10,0,0,0,0,32,0,0,0,0,0,0,0,0,0,0,0,57,59,0,0,0,17,20,39,110,67,54,52,47,94,500,0,0,0,3,0,5,12,3,3,3,0,10,35,0,0,0,15,6,10,9,0,0,3,0,3,52,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,8,0,0,6,14,11,15,9,0,0,0,0,8,71,0,0,0,0,0,0,0,0,0,0,0,0,5,0,0,8,39,19,34,30,6,4,3,0,22,174,18,4,18,103,146,210,276,144,118,98,96,195,1425
LGA57280,38,0,0,0,0,0,0,8,7,7,5,9,0,44,0,0,0,0,0,0,0,0,0,6,15,0,26,3,5,0,16,9,11,16,0,3,0,0,6,60,0,0,0,0,0,3,0,0,0,0,0,156,163,0,5,3,18,7,35,92,161,175,376,641,235,1747,0,0,0,0,0,16,78,39,15,30,24,18,229,0,0,6,5,0,12,12,11,0,4,4,3,61,0,0,0,0,0,0,11,4,0,9,0,3,23,0,0,9,7,3,0,0,0,0,0,0,0,26,15,3,19,26,14,24,20,7,0,4,3,18,154,0,0,0,0,0,0,6,0,0,0,0,12,15,14,4,31,41,23,54,114,62,17,41,31,56,501,33,8,34,78,59,132,285,325,309,714,1020,447,3445
LGA57350,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0,6,0,0,0,0,0,0,0,0,0,0,0,10,10,0,0,0,0,0,4,17,6,4,7,4,14,59,0,0,0,0,0,4,3,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,3,4,0,0,0,0,0,16,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6,3,0,11,6,0,0,0,0,4,24,3,0,3,7,22,35,39,15,14,19,16,29,206
LGA57420,14,0,0,0,0,0,0,4,0,0,0,0,0,5,0,0,0,0,0,0,0,0,0,0,8,0,8,0,0,0,0,0,0,0,0,0,0,0,0,6,0,0,0,0,0,0,0,0,0,0,0,13,15,0,0,0,0,0,7,27,26,20,32,33,31,181,0,0,0,0,0,5,6,8,0,0,0,4,24,0,0,0,6,0,0,0,0,0,0,0,0,6,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,3,5,0,4,3,0,0,0,0,0,21,0,0,0,0,0,0,0,0,0,0,0,4,4,0,0,7,16,0,9,15,9,5,0,0,8,61,0,4,7,25,38,53,89,68,42,49,61,69,499
LGA57490,653,5,0,0,6,9,28,74,70,34,44,60,40,368,0,0,0,0,0,3,16,30,20,39,31,18,157,24,3,20,65,58,197,239,103,54,54,29,84,927,0,0,0,0,0,0,21,3,0,3,3,2173,2205,35,6,31,119,144,658,2466,2382,2032,3063,2742,2966,16640,0,0,3,25,46,339,708,317,145,152,88,193,2031,7,11,43,214,248,462,310,86,37,24,23,91,1559,9,0,3,22,20,44,55,24,12,15,9,40,254,8,8,40,106,49,57,33,10,11,0,0,23,358,101,17,157,495,240,525,337,94,64,29,16,188,2272,4,0,4,4,0,7,0,0,0,0,0,54,75,125,39,257,873,608,1437,1442,541,269,226,138,596,6551,383,127,419,1532,2139,4005,6308,4504,3411,4724,3833,4975,36362
LGA57630,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8,4,0,4,0,0,19
LGA57700,148,3,0,0,4,0,0,17,20,6,15,8,5,88,0,0,0,0,0,0,5,8,3,15,10,7,58,13,4,6,14,11,31,35,32,10,6,3,10,168,0,0,0,0,0,0,5,0,0,0,0,538,547,11,6,6,33,33,147,789,714,595,755,702,758,4562,0,0,5,3,6,77,136,61,26,34,12,44,402,3,0,9,39,41,99,47,23,19,3,0,17,306,0,0,0,4,7,11,9,0,6,0,0,3,46,0,0,7,16,5,7,12,0,0,0,0,0,52,12,0,27,72,53,73,49,20,6,9,11,38,369,0,0,0,0,0,0,0,0,0,0,0,3,3,21,0,48,133,110,266,249,110,58,47,26,108,1179,89,33,81,271,382,758,1540,1261,982,1164,1004,1159,8720
LGA57770,0,0,0,0,0,0,0,0,0,0,0,0,0,6,0,0,0,0,0,0,0,0,0,4,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,6,0,0,0,0,0,0,0,0,0,0,0,8,8,0,0,0,0,0,0,9,13,7,11,3,18,71,0,0,0,0,0,0,0,0,0,0,0,0,5,0,0,0,3,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,9,0,3,0,0,0,0,0,3,15,4,0,7,14,18,24,40,29,23,19,9,31,210
LGA57840,197,0,0,0,3,0,5,6,5,0,3,14,3,37,0,0,0,0,3,0,3,0,4,8,11,5,37,7,0,6,20,7,37,50,24,12,23,36,15,247,0,0,0,0,0,0,0,0,0,0,0,291,295,12,0,16,35,29,122,342,379,334,741,2035,437,4491,0,0,0,5,3,51,125,81,33,54,79,39,473,0,0,9,26,41,67,92,29,10,9,15,25,325,3,0,0,6,0,5,0,5,4,0,3,5,31,4,0,9,14,11,0,8,3,0,0,0,5,54,27,3,34,71,30,83,74,32,14,13,8,38,432,0,0,0,0,0,0,0,0,0,0,0,18,18,41,5,53,118,80,209,303,155,58,72,111,128,1329,132,43,119,316,363,810,1525,1092,882,1468,3214,888,10847
