LGA_CODE_2021,C21_CFNC_BPT_2000_2499,C21_CFNC_BPT_2500_2999,C21_CFNC_BPT_3000_3999,C21_CFNC_BPT_4000more,C21_CFNC_BPT_Ns,C21_CFNC_BPT_Tot,C21_CFNC_1F1P_Neg_ni_inc,C21_CFNC_1F1P_1_149,C21_CFNC_1F1P_150_399,C21_CFNC_1F1P_400_649,C21_CFNC_1F1P_650_799,C21_CFNC_1F1P_800_1249,C21_CFNC_1F1P_1250_1999,C21_CFNC_1F1P_2000_2499,C21_CFNC_1F1P_2500_2999,C21_CFNC_1F1P_3000_3999,C21_CFNC_1F1P_4000more,C21_CFNC_1F1P_Ns,C21_CFNC_1F1P_Tot,C21_CFNC_1E1A_Neg_ni_inc,C21_CFNC_1E1A_1_149,C21_CFNC_1E1A_150_399,C21_CFNC_1E1A_400_649,C21_CFNC_1E1A_650_799,C21_CFNC_1E1A_800_1249,C21_CFNC_1E1A_1250_1999,C21_CFNC_1E1A_2000_2499,C21_CFNC_1E1A_2500_2999,C21_CFNC_1E1A_3000_3999,C21_CFNC_1E1A_4000more,C21_CFNC_1E1A_Ns,C21_CFNC_1E1A_Tot,C21_CFNC_1F1NW_Neg_ni_inc,C21_CFNC_1F1NW_1_149,C21_CFNC_1F1NW_150_399,C21_CFNC_1F1NW_400_649,C21_CFNC_1F1NW_650_799,C21_CFNC_1F1NW_800_1249,C21_CFNC_1F1NW_1250_1999,C21_CFNC_1F1NW_2000_2499,C21_CFNC_1F1NW_2500_2999,C21_CFNC_1F1NW_3000_3999,C21_CFNC_1F1NW_4000more,C21_CFNC_1F1NW_Ns,C21_CFNC_1F1NW_Tot,C21_CFNC_1P1NW_Neg_ni_inc,C21_CFNC_1P1NW_1_149,C21_CFNC_1P1NW_150_399,C21_CFNC_1P1NW_400_649,C21_CFNC_1P1NW_650_799,C21_CFNC_1P1NW_800_1249,C21_CFNC_1P1NW_1250_1999,C21_CFNC_1P1NW_2000_2499,C21_CFNC_1P1NW_2500_2999,C21_CFNC_1P1NW_3000_3999,C21_CFNC_1P1NW_4000more,C21_CFNC_1P1NW_Ns,C21_CFNC_1P1NW_Tot,C21_CFNC_1A1NW_Neg_ni_inc,C21_CFNC_1A1NW_1_149,C21_CFNC_1A1NW_150_399,C21_CFNC_1A1NW_400_649,C21_CFNC_1A1NW_650_799,C21_CFNC_1A1NW_800_1249,C21_CFNC_1A1NW_1250_1999,C21_CFNC_1A1NW_2000_2499,C21_CFNC_1A1NW_2500_2999,C21_CFNC_1A1NW_3000_3999,C21_CFNC_1A1NW_4000more,C21_CFNC_1A1NW_Ns,C21_CFNC_1A1NW_Tot,C21_CFNC_BA_Neg_ni_inc,C21_CFNC_BA_1_149,C21_CFNC_BA_150_399,C21_CFNC_BA_400_649,C21_CFNC_BA_650_799,C21_CFNC_BA_800_1249,C21_CFNC_BA_1250_1999,C21_CFNC_BA_2000_2499,C21_CFNC_BA_2500_2999,C21_CFNC_BA_3000_3999,C21_CFNC_BA_4000more,C21_CFNC_BA_Ns,C21_CFNC_BA_Tot,C21_CFNC_BNW_Neg_ni_inc,C21_CFNC_BNW_1_149,C21_CFNC_BNW_150_399,C21_CFNC_BNW_400_649,C21_CFNC_BNW_650_799,C21_CFNC_BNW_800_1249,C21_CFNC_BNW_1250_1999,C21_CFNC_BNW_2000_2499,C21_CFNC_BNW_2500_2999,C21_CFNC_BNW_3000_3999,C21_CFNC_BNW_4000more,C21_CFNC_BNW_Ns,C21_CFNC_BNW_Tot,C21_CFNC_LFns_Neg_ni_inc,C21_CFNC_LFns_1_149,C21_CFNC_LFns_150_399,C21_CFNC_LFns_400_649,C21_CFNC_LFns_650_799,C21_CFNC_LFns_800_1249,C21_CFNC_LFns_1250_1999,C21_CFNC_LFns_2000_2499,C21_CFNC_LFns_2500_2999,C21_CFNC_LFns_3000_3999,C21_CFNC_LFns_4000more,C21_CFNC_LFns_Ns,C21_CFNC_LFns_Tot,C21_CFNC_Tot_Neg_ni_inc,C21_CFNC_Tot_1_149,C21_CFNC_Tot_150_399,C21_CFNC_Tot_400_649,C21_CFNC_Tot_650_799,C21_CFNC_Tot_800_1249,C21_CFNC_Tot_1250_1999,C21_CFNC_Tot_2000_2499,C21_CFNC_Tot_2500_2999,C21_CFNC_Tot_3000_3999,C21_CFNC_Tot_4000more,C21_CFNC_Tot_Ns,C21_CFNC_Tot_Tot,C21_CF_BFT_Neg_ni_inc,C21_CF_BFT_1_149,C21_CF_BFT_150_399,C21_CF_BFT_400_649,C21_CF_BFT_650_799,C21_CF_BFT_800_1249,C21_CF_BFT_1250_1999,C21_CF_BFT_2000_2499,C21_CF_BFT_2500_2999,C21_CF_BFT_3000_3999,C21_CF_BFT_4000more,C21_CF_BFT_Ns,C21_CF_BFT_Tot,C21_CF_BPT_Neg_ni_inc,C21_CF_BPT_1_149,C21_CF_BPT_150_399,C21_CF_BPT_400_649,C21_CF_BPT_650_799,C21_CF_BPT_800_1249,C21_CF_BPT_1250_1999,C21_CF_BPT_2000_2499,C21_CF_BPT_2500_2999,C21_CF_BPT_3000_3999,C21_CF_BPT_4000more,C21_CF_BPT_Ns,C21_CF_BPT_Tot,C21_CF_1F1P_Neg_ni_inc,C21_CF_1F1P_1_149,C21_CF_1F1P_150_399,C21_CF_1F1P_400_649,C21_CF_1F1P_650_799,C21_CF_1F1P_800_1249,C21_CF_1F1P_1250_1999,C21_CF_1F1P_2000_2499,C21_CF_1F1P_2500_2999,C21_CF_1F1P_3000_3999,C21_CF_1F1P_4000more,C21_CF_1F1P_Ns,C21_CF_1F1P_Tot,C21_CF_1E1A_Neg_ni_inc,C21_CF_1E1A_1_149,C21_CF_1E1A_150_399,C21_CF_1E1A_400_649,C21_CF_1E1A_650_799,C21_CF_1E1A_800_1249,C21_CF_1E1A_1250_1999,C21_CF_1E1A_2000_2499,C21_CF_1E1A_2500_2999,C21_CF_1E1A_3000_3999,C21_CF_1E1A_4000more,C21_CF_1E1A_Ns,C21_CF_1E1A_Tot,C21_CF_1F1NW_Neg_ni_inc,C21_CF_1F1NW_1_149,C21_CF_1F1NW_150_399,C21_CF_1F1NW_400_649,C21_CF_1F1NW_650_799,C21_CF_1F1NW_800_1249,C21_CF_1F1NW_1250_1999,C21_CF_1F1NW_2000_2499,C21_CF_1F1NW_2500_2999,C21_CF_1F1NW_3000_3999,C21_CF_1F1NW_4000more,C21_CF_1F1NW_Ns,C21_CF_1F1NW_Tot,C21_CF_1P1NW_Neg_ni_inc,C21_CF_1P1NW_1_149,C21_CF_1P1NW_150_399,C21_CF_1P1NW_400_649,C21_CF_1P1NW_650_799,C21_CF_1P1NW_800_1249,C21_CF_1P1NW_1250_1999,C21_CF_1P1NW_2000_2499,C21_CF_1P1NW_2500_2999,C21_CF_1P1NW_3000_3999,C21_CF_1P1NW_4000more,C21_CF_1P1NW_Ns
LGA10050,51,20,11,9,3,279,0,0,0,4,9,39,311,232,149,125,87,4,965,0,0,0,3,0,8,42,35,25,20,14,4,148,0,0,0,13,15,94,182,87,37,20,33,3,488,0,0,8,29,59,124,128,48,23,17,11,3,454,0,0,5,4,9,8,28,13,0,4,0,0,76,0,0,0,0,0,3,10,3,3,0,3,3,31,62,38,32,162,546,595,420,92,57,40,32,48,2129,3,0,0,7,6,13,5,0,0,0,5,240,274,74,35,42,233,653,951,1396,855,583,533,336,329,6024,0,0,0,0,0,9,94,219,224,411,399,72,1434,0,0,0,0,3,31,90,47,32,27,28,13,269,0,0,0,0,3,24,377,378,349,443,296,78,1957,0,0,0,0,0,5,57,79,50,85,64,12,359,0,0,0,7,12,79,273,145,55,68,59,32,721,0,0,9,14,18,42,84,28,15,20,8,4
LGA10180,27,16,7,15,0,190,0,0,0,9,4,30,186,88,70,73,46,4,508,0,0,0,3,0,6,16,10,5,16,9,3,78,3,0,3,7,5,36,75,32,30,21,27,3,243,0,0,0,14,31,68,62,22,12,16,8,0,241,0,0,0,3,5,10,3,7,6,0,5,4,36,0,0,0,0,4,5,8,0,0,4,0,3,24,26,17,19,66,267,240,211,58,25,19,3,20,976,0,0,3,0,5,6,3,0,0,4,0,105,120,42,20,29,106,334,452,743,407,260,286,241,153,3066,0,0,0,0,0,8,57,89,102,214,211,52,734,0,0,0,0,4,18,49,24,12,18,9,5,138,0,0,0,0,0,22,151,133,118,115,100,35,682,0,0,0,0,0,3,29,26,28,30,17,6,136,0,0,0,6,5,36,105,66,25,25,49,13,330,3,0,0,14,5,34,44,12,15,9,7,11
LGA10250,65,35,27,44,9,394,0,0,0,0,7,29,231,181,125,106,94,6,782,0,0,0,5,5,20,47,45,21,25,11,5,170,0,0,3,3,11,48,115,61,30,32,47,3,355,0,3,5,33,57,147,121,41,25,19,21,13,478,0,0,0,4,8,14,16,13,3,3,3,4,74,0,0,0,4,0,3,12,7,8,4,7,4,48,66,46,35,178,589,728,556,167,58,53,45,58,2591,0,0,0,0,6,10,5,5,0,0,0,197,227,75,57,49,238,695,1082,1352,750,426,454,409,303,5890,0,0,0,0,0,9,71,117,141,289,320,51,997,0,0,0,0,0,31,114,73,43,47,35,19,361,0,0,0,0,0,26,248,267,281,309,285,62,1477,3,0,0,0,6,8,44,69,54,61,45,25,304,0,0,0,0,3,43,151,80,43,78,58,22,490,0,0,0,3,11,39,100,48,16,24,20,20
LGA10300,4,0,0,0,0,11,0,0,0,0,0,0,24,11,9,4,0,0,46,0,0,0,5,0,0,0,0,0,0,0,0,3,0,0,0,0,0,8,11,4,0,0,0,0,23,0,0,0,0,4,4,5,0,0,0,0,0,16,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,4,0,3,14,27,14,4,0,0,0,0,0,67,0,0,0,0,0,0,0,0,0,0,0,9,15,9,0,3,21,29,33,59,27,21,15,7,12,237,0,0,0,3,0,0,5,13,5,16,11,11,57,0,0,0,0,0,0,0,0,0,0,0,0,5,0,0,0,0,3,3,12,12,6,12,5,6,63,0,0,0,0,0,0,0,0,6,0,3,0,10,0,0,0,0,0,10,4,6,0,0,0,7,32,0,0,0,0,0,4,0,0,0,0,0,0
LGA10470,28,14,11,12,3,212,0,0,0,0,0,31,192,131,110,84,64,5,613,0,0,0,5,0,16,22,27,27,17,12,8,124,0,0,0,6,12,72,135,75,22,39,41,5,413,0,0,7,23,35,101,130,29,21,9,6,3,365,4,0,0,3,3,18,17,9,3,5,0,3,64,0,0,0,0,0,5,8,5,3,5,6,0,34,55,26,30,113,367,415,339,69,43,24,20,51,1560,0,0,4,3,11,4,3,0,0,0,4,191,218,68,31,47,160,442,709,1024,611,449,424,308,283,4538,0,0,0,0,0,8,65,170,214,407,432,65,1361,0,0,0,0,0,16,43,24,31,20,19,8,163,0,0,0,3,3,23,239,240,267,331,221,73,1390,0,0,0,3,0,6,28,45,44,81,46,15,276,0,0,0,0,6,61,183,101,45,59,45,22,532,0,0,3,4,13,38,59,23,16,8,3,14
LGA10500,225,94,72,50,7,981,0,0,0,4,3,33,436,453,394,437,269,12,2037,3,3,0,5,5,43,270,280,199,215,120,24,1158,0,0,0,17,24,229,543,403,157,194,142,17,1740,5,8,39,85,84,270,386,155,57,62,42,15,1212,11,5,5,37,39,81,106,37,12,17,7,15,378,0,0,0,4,6,24,76,56,40,33,18,18,269,558,116,172,562,1380,1018,764,241,93,78,62,101,5138,8,0,0,7,23,12,18,7,4,9,11,581,682,585,139,224,734,1579,1860,3158,2512,1759,2407,2173,819,17955,0,0,0,5,0,18,106,316,418,1048,2087,106,4112,0,0,3,4,15,69,225,212,152,176,189,23,1071,0,0,0,0,0,47,466,503,604,964,1216,84,3894,0,0,0,3,0,59,260,301,292,451,499,42,1922,5,0,3,13,32,245,759,549,295,460,617,96,3084,0,0,14,68,70,280,434,223,120,130,112,49
LGA10550,46,18,17,19,6,340,3,0,0,7,3,51,205,127,101,61,54,3,614,0,0,0,6,4,16,40,25,18,24,10,0,139,0,0,0,9,15,71,108,50,22,20,24,5,327,6,3,14,47,60,185,115,42,10,14,10,8,499,0,4,0,8,0,13,30,0,9,5,4,3,74,0,0,0,0,4,8,9,5,3,0,3,0,40,95,39,50,206,616,652,494,132,60,48,37,53,2477,0,0,0,3,9,3,4,4,3,0,0,217,241,103,54,69,306,730,1112,1249,547,337,308,240,303,5351,0,0,0,0,0,11,75,120,113,183,125,46,683,0,0,0,4,3,32,78,46,25,19,17,12,241,0,0,0,3,3,41,251,207,154,177,72,50,956,0,0,0,0,0,10,49,40,29,24,15,5,181,0,0,0,0,5,40,94,54,26,24,30,20,285,0,0,0,3,21,35,76,19,8,14,5,20
LGA10600,19,9,7,8,3,134,0,0,0,0,3,16,76,38,43,28,13,4,224,5,0,0,0,0,4,5,10,3,5,3,3,40,3,0,0,5,8,21,46,21,12,14,9,0,132,0,0,5,15,16,59,33,15,7,4,3,3,166,0,0,3,3,8,9,7,0,0,0,0,0,33,0,0,0,0,0,4,3,0,3,0,0,0,13,29,15,25,69,183,184,132,19,21,15,10,27,718,0,0,0,0,5,0,4,0,0,0,0,65,72,40,22,32,92,226,341,392,166,132,108,61,111,1718,0,0,0,0,0,3,15,28,31,48,44,15,184,0,0,0,0,5,17,47,22,10,11,3,3,114,0,0,0,4,4,22,83,71,67,69,28,13,364,0,0,0,0,0,3,10,9,5,9,10,3,55,0,0,0,0,0,21,59,32,5,13,3,13,162,0,0,0,0,8,25,29,10,8,0,0,3
LGA10650,5,0,4,0,0,44,0,0,0,5,0,16,52,42,22,16,15,0,163,0,0,0,0,0,4,10,4,3,6,0,0,21,0,0,0,0,3,27,25,7,4,4,3,4,76,0,0,4,8,20,38,28,7,3,5,3,3,111,0,0,0,0,0,3,6,3,0,0,0,0,20,0,0,0,0,0,0,3,0,3,0,0,4,13,21,10,7,44,182,149,91,12,0,7,6,25,549,0,0,0,0,3,0,3,0,0,0,0,54,71,24,10,13,61,214,246,253,122,77,54,54,100,1232,0,0,0,6,3,7,21,28,35,48,30,20,198,0,0,0,0,0,0,11,3,0,3,0,0,25,0,0,0,5,3,14,61,55,48,43,15,11,254,0,0,0,0,4,0,0,7,9,10,3,0,39,0,0,0,0,3,13,27,11,8,6,6,7,68,0,0,0,0,0,9,11,3,0,0,3,0
LGA10750,171,84,76,41,6,857,0,0,0,6,3,59,634,655,483,522,236,10,2606,3,0,0,6,10,50,436,518,365,336,146,27,1909,3,6,4,26,77,562,1108,625,249,265,201,27,3154,4,5,28,128,151,410,495,169,72,52,30,25,1570,3,0,19,52,57,185,265,78,34,35,14,32,773,0,0,0,4,10,41,117,101,50,38,14,37,420,1244,202,291,978,2433,1867,1173,247,71,66,46,196,8806,24,0,0,6,37,33,32,11,3,12,9,810,985,1293,211,349,1225,2813,3358,4934,3591,2509,3062,2074,1215,26633,0,0,0,0,0,30,470,1564,2132,4611,6164,367,15332,0,3,0,6,16,130,521,410,335,355,261,56,2098,6,0,0,4,5,78,1303,1750,1945,2717,2163,238,10205,0,0,0,3,13,82,761,938,990,1429,1078,173,5474,3,0,8,37,103,847,2831,2353,988,1536,1450,310,10469,4,0,34,116,176,568,1031,484,302,323,209,113
