LGA_CODE_2021,C21_650_799_1PF_1C,C21_650_799_1PF_2C,C21_650_799_1PF_3C,C21_650_799_1PF_4mC,C21_650_799_Tot,C21_800_999_1PF_1C,C21_800_999_1PF_2C,C21_800_999_1PF_3C,C21_800_999_1PF_4mC,C21_800_999_Tot,C21_1000_1499_1PF_1C,C21_1000_1499_1PF_2C,C21_1000_1499_1PF_3C,C21_1000_1499_1PF_4mC,C21_1000_1499_Tot,C21_1500_1999_1PF_1C,C21_1500_1999_1PF_2C,C21_1500_1999_1PF_3C,C21_1500_1999_1PF_4mC,C21_1500_1999_Tot,C21_2000_2499_1PF_1C,C21_2000_2499_1PF_2C,C21_2000_2499_1PF_3C,C21_2000_2499_1PF_4mC,C21_2000_2499_Tot,C21_2500_2999_1PF_1C,C21_2500_2999_1PF_2C,C21_2500_2999_1PF_3C,C21_2500_2999_1PF_4mC,C21_2500_2999_Tot,C21_3000_3999_1PF_1C,C21_3000_3999_1PF_2C,C21_3000_3999_1PF_3C,C21_3000_3999_1PF_4mC,C21_3000_3999_Tot,C21_4000more_1PF_1C,C21_4000more_1PF_2C,C21_4000more_1PF_3C,C21_4000more_1PF_4mo_ch,C21_4000more_Tot,C21_Par_inc_st_1PF_1C,C21_Par_inc_st_1PF_2C,C21_Par_inc_st_1PF_3C,C21_Par_inc_st_1PF_4mC,C21_Par_inc_st_Tot,C21_All_inc_ns_1PF_1Ch,C21_All_inc_ns_1PF_2C,C21_All_inc_ns_1PF_3C,C21_All_inc_ns_1PF_4mC,C21_All_inc_ns_Tot,C21_Tot_1PF_1C,C21_Tot_1PF_2C,C21_Tot_1PF_3C,C21_Tot_1PF_4mC,C21_Tot_Tot
LGA42030,76,35,20,10,141,99,49,24,6,175,215,120,34,15,379,125,72,24,5,227,69,48,3,10,132,27,17,7,0,54,16,5,5,0,33,9,9,4,0,22,39,49,19,7,112,8,3,3,0,19,811,499,170,52,1524
LGA42110,8,7,6,0,14,12,4,0,0,12,16,8,0,0,20,8,5,0,0,13,3,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,12,8,0,0,22,0,0,0,0,0,84,38,10,4,129
LGA42250,11,0,5,0,20,18,3,0,0,25,36,7,0,0,44,13,5,5,0,24,10,9,3,0,24,0,7,0,0,3,3,0,0,0,5,0,0,0,0,0,12,0,0,0,18,0,0,0,0,0,143,43,17,4,209
LGA42600,62,37,7,0,110,93,26,9,0,127,182,76,15,3,276,133,55,9,4,191,98,50,9,4,161,37,13,3,0,55,37,21,4,0,62,42,27,9,0,77,47,49,6,5,104,6,4,0,0,14,852,385,72,14,1324
LGA42750,11,4,0,0,17,6,7,0,0,13,10,3,3,0,14,10,11,0,0,20,0,4,0,0,0,0,0,0,0,5,0,0,0,0,0,0,0,0,0,4,6,0,0,0,14,0,0,0,0,0,70,40,9,9,122
LGA43080,0,0,0,0,0,0,0,0,0,6,7,0,0,0,8,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,18,6,3,0,24
LGA43220,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,0,4,0,0,0,0,0,3,0,4,3,13
LGA43360,4,6,0,0,8,3,3,0,0,9,7,4,7,0,14,0,0,0,0,4,0,5,0,0,0,3,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,3,34,18,10,0,62
LGA43650,20,22,9,0,52,33,18,9,7,67,70,32,10,4,118,46,20,9,0,66,21,22,6,0,48,19,8,3,0,31,3,3,3,0,14,3,5,0,0,12,26,11,11,4,48,9,0,0,0,6,287,166,75,31,563
LGA43710,9,9,0,0,10,15,3,0,0,22,19,10,0,0,33,10,6,0,0,17,0,4,0,0,7,4,0,0,0,4,0,0,0,0,0,0,0,0,0,4,6,5,0,6,16,5,3,0,0,5,83,48,14,3,149
LGA43790,21,13,9,3,46,38,11,3,4,62,47,23,13,4,86,21,19,3,0,46,22,4,0,0,30,11,0,0,0,9,3,8,0,0,7,3,3,0,0,8,13,13,4,0,27,7,0,0,0,14,241,111,44,22,420
LGA44000,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,0,0,5,0,5,0,0,5
LGA44060,194,81,35,9,317,325,103,32,8,457,634,266,58,23,979,410,206,38,4,659,277,164,24,5,475,124,65,15,7,206,69,64,20,0,153,36,28,5,3,78,126,107,34,13,279,21,3,0,0,34,2626,1240,297,91,4258
LGA44210,17,9,4,0,34,41,7,5,3,56,40,10,11,0,59,19,9,0,0,29,14,3,0,0,21,5,0,0,0,6,0,0,0,0,3,0,0,0,0,0,29,6,3,0,39,5,0,0,0,7,223,84,30,7,343
LGA44340,74,40,10,4,123,135,52,10,0,200,271,150,30,4,459,189,120,30,4,343,176,90,21,0,284,79,44,7,0,131,66,48,11,7,128,50,61,15,0,129,89,90,39,4,223,14,8,0,0,20,1308,754,188,33,2283
LGA44550,81,51,18,4,151,103,56,15,10,179,219,110,33,16,371,132,69,18,7,225,106,75,14,0,198,44,18,5,3,68,21,21,11,0,55,12,16,6,0,33,67,57,28,3,157,10,4,0,0,15,906,550,171,49,1678
LGA44620,82,54,18,11,160,102,48,22,4,178,157,104,31,8,298,84,54,18,3,156,46,39,6,0,91,20,18,3,3,39,9,11,0,0,21,10,3,0,0,14,40,37,9,5,88,10,5,6,0,19,720,437,155,47,1366
LGA44830,0,4,0,0,8,6,0,0,0,6,6,4,0,0,13,7,6,0,0,13,9,0,0,0,5,0,4,0,0,3,0,0,0,0,0,0,0,0,0,0,4,6,0,0,9,0,0,0,0,0,45,31,4,0,78
LGA45040,51,40,19,10,119,102,35,17,13,166,138,77,23,8,249,75,29,4,4,117,40,14,8,3,64,17,4,0,0,18,3,0,0,0,4,8,4,0,0,15,36,18,8,0,64,8,6,3,3,18,619,295,126,53,1091
LGA45090,7,9,0,0,21,22,4,3,0,33,40,15,0,0,57,8,6,7,0,18,11,10,0,0,20,3,0,0,0,0,5,0,0,0,5,6,0,0,0,6,10,6,0,3,19,0,3,0,0,3,131,73,25,4,231
LGA45120,9,0,0,0,10,16,6,5,5,31,16,8,4,0,29,12,3,0,0,15,5,0,0,3,10,0,0,0,0,5,0,0,0,0,3,0,0,0,0,0,5,3,0,0,12,0,0,0,0,0,83,31,15,13,142
LGA45290,48,21,5,0,70,93,28,0,0,125,168,62,12,3,245,143,71,14,4,233,108,51,9,0,170,47,19,4,0,66,36,34,7,3,72,32,29,7,0,69,53,38,5,0,95,10,0,0,0,9,870,397,84,14,1358
LGA45340,465,304,100,26,906,696,320,109,53,1179,1284,644,183,78,2182,759,396,124,35,1315,459,263,57,15,789,159,127,32,8,329,91,92,29,7,222,41,39,17,4,98,282,265,92,34,672,63,29,9,3,102,5209,2966,888,308,9374
LGA45400,0,0,0,0,0,3,0,0,0,3,3,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,0,0,0,10,0,0,0,0,0,13,0,0,0,18
LGA45540,3,7,0,0,7,7,6,0,0,5,10,4,0,0,17,0,0,3,0,4,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,4,0,6,5,0,0,0,5,47,21,12,5,79
LGA45680,382,270,124,46,822,522,218,133,54,919,803,433,153,89,1483,396,182,84,51,714,211,125,39,27,403,67,59,23,16,165,48,44,14,20,121,23,20,15,9,65,161,131,79,43,418,62,34,16,10,128,3522,2020,859,452,6849
LGA45890,318,147,49,24,540,520,130,42,28,719,929,370,103,31,1433,531,243,72,29,868,349,190,25,14,582,129,72,29,8,238,85,87,21,10,198,43,47,16,5,111,183,153,43,29,411,65,10,5,7,89,3878,1772,500,231,6385
LGA46090,27,31,10,13,86,34,18,15,5,72,87,34,13,14,156,43,25,11,0,81,13,11,6,5,38,18,4,0,0,22,12,6,0,0,21,5,0,0,0,9,27,14,9,6,51,9,4,0,0,17,379,196,92,60,730
LGA46300,47,28,11,0,87,42,27,10,3,81,108,38,12,13,171,52,23,12,4,86,21,11,5,4,40,3,5,0,0,9,4,3,0,0,12,7,0,0,0,11,33,22,4,0,58,9,4,0,0,12,409,208,72,35,724
LGA46450,49,26,16,11,99,99,22,20,8,147,101,61,21,8,200,51,30,13,8,89,24,13,0,0,49,16,11,0,0,25,8,9,0,0,14,5,4,0,0,10,31,16,10,0,62,16,6,0,0,27,531,261,114,47,953
LGA46510,24,11,6,0,38,42,19,3,3,67,102,37,10,0,154,68,29,7,0,105,66,38,12,0,118,24,14,4,0,39,11,18,4,0,32,15,18,0,0,29,21,16,10,0,53,3,0,0,0,3,454,224,57,15,745
LGA46670,21,8,6,0,39,32,14,3,3,56,49,27,4,9,82,36,10,5,0,53,15,8,4,3,28,12,0,0,0,15,4,3,0,0,6,0,0,0,0,0,21,8,0,4,33,3,0,0,0,3,241,114,50,27,421
LGA46860,5,0,0,0,0,0,0,0,0,8,10,0,0,0,10,0,0,0,0,0,0,0,0,0,0,6,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0,24,7,6,3,35
LGA46970,0,3,0,0,5,0,0,0,0,3,12,5,4,0,17,6,4,0,0,14,11,6,0,0,18,5,3,0,0,6,6,0,0,0,10,4,4,0,0,7,0,0,0,0,4,0,0,0,0,0,48,33,8,3,90
LGA47140,372,262,90,43,763,626,242,96,56,1020,1100,492,172,82,1848,569,296,104,34,1012,347,222,48,34,646,139,82,30,19,280,80,80,21,17,203,29,28,16,16,87,222,161,84,49,512,79,26,7,4,115,4477,2353,841,412,8085
LGA47290,0,0,0,0,4,5,0,0,0,7,3,0,0,0,10,0,0,0,0,5,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,5,0,0,0,5,5,0,0,0,5,0,0,0,0,0,33,10,8,0,45
LGA47490,0,0,0,0,0,6,0,5,0,9,5,0,0,0,11,4,0,0,0,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,27,4,9,5,45
LGA47630,12,7,9,0,31,15,5,0,0,22,25,4,7,0,36,4,11,3,3,21,3,7,0,0,12,4,0,0,0,7,0,0,0,0,0,0,0,0,0,0,12,4,4,0,21,6,4,0,0,3,105,57,25,7,193
LGA47700,174,103,26,15,316,311,112,30,11,467,650,295,91,26,1064,415,244,52,11,724,316,163,37,7,526,124,77,15,7,228,60,95,22,4,184,29,42,16,0,93,118,135,56,14,323,15,10,3,0,32,2557,1451,415,116,4541
LGA47800,10,3,4,0,23,16,5,4,5,26,28,9,3,4,42,8,5,0,0,12,5,7,0,0,14,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,10,4,4,0,14,8,0,0,0,8,108,54,23,5,194
LGA47910,4,5,0,0,5,6,0,0,0,7,7,5,0,0,17,0,3,0,0,3,0,6,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,4,0,0,0,0,0,35,21,10,5,63
LGA47980,47,23,3,0,76,85,21,9,0,113,147,73,11,0,233,109,57,11,0,177,105,63,10,0,179,46,18,6,0,63,45,23,6,0,78,50,49,11,0,115,40,32,20,3,97,4,0,0,0,7,802,405,101,7,1320
LGA48050,37,28,8,0,76,52,23,9,3,91,115,45,17,4,175,42,26,10,0,79,24,11,0,0,34,14,5,0,0,20,8,0,0,0,14,0,5,0,0,3,18,22,8,3,51,3,0,0,0,9,384,207,61,14,665
LGA48130,18,8,5,0,37,21,6,0,4,30,34,13,5,9,58,16,5,3,0,27,9,4,0,0,13,0,0,0,0,4,0,0,0,0,4,0,0,0,0,3,12,9,0,0,22,4,0,0,0,3,177,66,31,20,292
LGA48260,7,0,0,0,10,10,3,0,0,13,28,7,0,0,35,20,5,6,0,34,26,14,0,0,41,5,3,0,0,9,6,9,3,0,18,14,9,0,0,25,8,8,0,0,13,0,0,0,0,0,153,68,13,5,239
LGA48340,24,23,10,0,56,35,18,12,0,63,55,15,13,8,88,33,11,6,5,51,14,10,0,0,29,6,0,0,0,6,4,0,0,0,5,0,0,0,0,0,15,17,8,0,35,8,0,0,0,12,246,127,59,19,440
LGA48410,105,39,11,0,164,182,46,12,0,239,354,124,28,7,517,242,87,27,4,361,182,98,20,3,301,70,34,12,0,115,63,37,3,0,113,30,32,7,0,68,79,48,24,3,158,9,3,0,0,14,1513,648,177,27,2368
LGA48540,65,32,21,4,125,87,35,20,14,151,146,61,20,14,235,88,40,8,0,131,38,20,4,4,70,22,5,4,0,36,16,8,0,0,25,7,0,0,0,13,41,23,9,3,75,20,4,4,0,33,723,306,118,59,1201
LGA48640,0,0,0,0,0,0,0,0,0,0,0,0,5,0,8,0,0,0,0,0,0,0,0,0,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,10,3,5,0,20
LGA48750,11,5,0,4,20,15,6,7,3,25,27,7,4,0,39,3,3,4,0,11,7,3,0,0,9,0,0,0,0,7,0,0,0,0,0,0,0,0,0,0,9,3,6,3,20,5,0,0,0,4,92,48,24,7,173
LGA48830,15,12,5,0,27,22,5,3,4,33,46,15,3,0,70,15,0,7,6,22,13,7,0,0,18,4,0,0,0,5,3,3,0,0,6,0,0,0,0,0,20,13,7,3,38,11,6,3,0,19,185,69,35,14,305
LGA49399,3,5,0,0,9,7,0,4,0,17,9,3,0,0,4,4,0,0,0,10,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,5,3,3,0,9,4,3,0,0,13,50,23,5,6,87
LGA49499,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
LGA49799,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
LGA50080,70,56,24,9,164,102,42,11,6,166,215,105,27,20,361,98,80,25,5,209,58,29,11,3,104,23,16,4,0,39,18,11,4,0,36,13,7,0,0,20,53,42,11,11,120,18,5,4,0,23,850,497,152,75,1578
LGA50210,169,123,50,27,367,249,112,51,38,459,561,258,96,41,959,339,160,40,26,571,211,131,29,15,389,99,48,10,9,167,60,54,24,10,143,26,46,10,9,89,127,91,57,10,283,41,23,5,0,68,2349,1283,456,229,4319
LGA50250,5,3,0,0,4,4,0,0,4,8,6,0,0,0,9,11,3,0,0,18,14,10,3,0,20,7,0,0,0,8,7,5,4,0,14,3,3,0,0,6,8,5,0,0,8,0,0,0,0,0,68,32,9,7,111
LGA50280,31,17,4,0,60,35,23,3,0,65,78,54,9,3,148,40,28,4,0,69,23,18,8,0,39,18,4,0,0,21,4,4,0,0,8,7,0,3,0,8,23,26,6,0,63,0,7,0,0,4,325,199,55,12,590
LGA50350,32,19,6,4,64,53,21,13,3,84,94,43,4,3,146,47,30,9,0,83,49,21,8,0,83,25,6,0,0,40,16,18,8,4,35,10,3,6,0,15,26,13,10,0,46,3,3,0,0,6,434,209,50,20,718
LGA50420,140,49,23,7,223,174,58,21,5,259,342,159,38,11,547,260,117,31,9,410,172,88,18,5,287,99,27,10,5,142,80,45,9,4,142,47,30,7,0,94,106,69,23,7,213,17,4,0,0,31,1734,795,221,71,2814
LGA50490,69,52,17,8,138,120,32,12,5,175,227,84,27,3,337,146,62,14,4,220,105,52,13,4,170,47,17,4,5,75,44,23,5,0,76,25,17,7,0,47,41,44,18,5,111,21,4,0,0,24,1065,459,142,54,1720
LGA50560,11,0,0,0,9,4,3,0,0,8,10,0,0,0,8,5,0,0,0,6,6,0,0,0,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,0,0,7,0,0,0,0,0,33,10,4,0,47
LGA50630,0,0,0,3,3,9,3,0,0,11,0,0,3,0,11,0,0,0,0,0,12,0,0,0,13,3,0,0,0,3,0,0,0,0,6,0,0,0,0,0,0,0,0,0,5,0,0,0,0,0,32,13,8,4,57
LGA50770,6,0,0,0,12,6,3,0,0,12,6,4,4,0,14,0,0,0,0,3,3,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,0,0,0,5,0,0,0,0,0,41,10,4,0,60
LGA50840,14,3,0,0,12,16,3,0,0,21,22,10,5,0,34,11,10,0,0,14,4,0,3,0,4,0,0,0,0,3,0,0,0,0,0,0,0,3,0,0,14,7,0,0,23,0,0,0,0,3,89,41,14,0,152
LGA50910,0,5,0,0,0,0,0,0,0,0,5,3,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,13,6,5,5,19
LGA50980,30,17,4,4,60,26,22,5,11,67,65,34,14,9,124,46,27,9,0,89,35,32,16,3,81,9,4,0,0,21,19,6,0,0,24,11,8,0,0,22,24,27,26,12,86,22,14,5,0,44,394,234,112,59,798
LGA51080,0,0,0,0,0,3,0,0,0,7,6,0,0,0,3,0,0,0,0,6,0,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6,0,0,0,9,0,5,0,3,3,21,13,4,9,44
LGA51120,0,0,0,0,0,0,0,0,0,0,0,0,0,6,4,7,0,0,0,7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,9,10,0,3,22
LGA51190,95,60,16,11,178,134,54,20,11,215,241,102,22,17,387,122,57,7,3,193,78,43,5,4,135,34,10,9,4,56,24,11,4,0,38,15,8,5,0,29,64,45,20,5,133,16,4,0,0,18,1037,507,144,65,1760
LGA51260,89,61,17,7,178,98,73,22,3,195,200,100,43,14,354,87,58,12,0,162,63,39,12,0,119,26,16,4,0,47,13,8,11,0,31,11,12,0,0,24,59,41,23,4,135,7,8,0,0,17,783,509,166,36,1497
LGA51310,24,3,0,0,31,32,13,4,0,49,66,34,10,0,113,53,32,4,3,97,46,30,13,0,85,31,14,3,0,48,23,17,9,0,54,56,42,9,0,109,33,27,11,0,70,0,0,0,0,0,413,239,70,15,740
LGA51330,121,65,26,8,222,186,77,23,9,297,373,208,67,21,668,238,157,25,11,431,215,113,33,5,361,101,50,18,5,170,82,71,14,0,171,55,62,8,7,127,124,98,48,14,288,24,9,3,4,42,1810,1058,318,121,3307
LGA51400,16,33,12,7,61,41,14,5,5,59,83,57,21,5,160,56,29,13,6,112,41,25,10,0,80,10,11,4,0,25,13,11,0,3,27,7,8,0,0,11,35,26,5,0,72,4,6,0,0,9,367,260,95,43,761
LGA51470,0,0,0,0,0,3,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,9,3,0,0,13
LGA51540,14,7,7,0,25,14,3,0,0,20,23,7,6,0,41,14,8,0,0,24,13,0,0,0,15,9,3,0,0,9,0,0,0,0,3,0,0,0,0,4,9,0,3,3,18,5,0,0,0,8,125,55,27,10,219
LGA51610,0,0,0,0,0,5,0,0,0,5,0,0,0,0,0,3,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,4,0,0,0,0,0,20,10,5,0,37
LGA51680,0,0,4,0,4,15,3,0,0,17,12,7,3,0,26,14,12,0,0,23,12,6,0,0,18,10,4,0,0,12,3,0,0,0,3,3,5,0,0,10,6,9,4,0,19,4,0,0,0,5,92,46,22,4,165
LGA51710,0,0,0,0,6,0,0,0,0,0,4,3,0,0,5,3,0,0,0,3,5,6,0,0,5,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,17,11,3,0,34
LGA51750,8,5,0,0,13,13,8,6,0,26,50,19,6,0,70,33,20,7,0,58,22,14,3,0,43,18,4,3,0,26,18,6,4,0,27,19,24,10,0,45,9,18,5,0,33,0,0,0,0,3,231,128,36,3,399
LGA51820,202,98,30,13,350,289,143,46,21,497,567,321,84,27,1002,418,245,62,14,740,317,185,41,19,566,152,72,23,6,247,116,120,23,3,259,58,69,19,4,151,167,146,54,20,392,34,11,10,3,53,2785,1638,454,152,5028
LGA51860,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,3,6,0,0,7
LGA51890,14,12,6,0,29,23,10,9,0,48,35,24,9,9,77,15,8,5,3,32,19,8,5,0,32,14,3,0,6,19,6,3,0,0,10,7,3,0,0,8,16,8,3,4,28,6,6,0,0,10,212,102,53,23,390
LGA51960,11,0,0,0,16,6,3,0,0,15,6,5,0,0,12,10,7,0,0,8,6,0,0,0,8,3,0,0,0,5,3,4,4,0,9,7,0,0,0,12,13,3,5,0,13,6,0,0,0,6,79,33,14,8,130
LGA52030,0,0,0,0,4,0,0,0,0,0,4,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,4,0,0,8,0,0,0,0,0,12,9,3,0,21
LGA52100,3,0,0,0,3,0,0,0,0,0,0,4,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0,8,6,5,0,17
LGA52170,4,0,0,0,9,11,4,0,0,17,9,7,0,0,22,13,5,0,0,20,14,13,0,4,33,7,3,0,0,9,6,11,3,0,19,17,27,11,0,54,14,9,5,0,26,0,0,0,0,0,112,83,21,3,217
LGA52240,6,0,0,0,5,0,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0,12,3,0,0,21
LGA52310,0,0,0,0,4,3,0,0,0,3,0,0,0,0,10,0,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,3,18,8,0,0,29
LGA52380,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,3
LGA52450,0,0,0,0,3,0,0,0,0,0,4,4,0,0,4,0,0,0,0,0,3,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,3,0,0,0,0,0,15,3,5,3,27
LGA52520,0,0,0,0,0,5,0,0,0,3,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,15,9,5,0,26
LGA52590,3,0,0,0,8,5,0,0,0,3,9,7,0,0,21,4,5,0,0,7,6,0,0,0,8,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7,3,0,0,16,0,0,0,0,0,48,20,7,3,81
LGA52660,14,22,7,0,55,44,16,11,8,75,76,37,13,3,132,30,16,11,0,60,32,19,0,0,56,4,9,0,0,19,9,11,3,0,19,7,3,5,0,14,18,21,10,0,47,7,4,0,0,13,295,186,62,25,573
LGA52730,18,5,0,0,22,21,0,0,0,20,26,20,8,0,52,10,7,0,0,15,10,4,0,0,11,5,0,0,0,5,0,0,0,0,4,0,0,0,0,0,13,13,3,0,31,0,0,0,0,0,119,68,21,4,214
LGA52800,23,13,3,5,52,16,4,5,0,25,20,11,0,10,46,13,6,6,4,25,7,5,0,4,11,3,0,0,0,4,4,6,0,0,8,0,0,0,0,0,12,9,7,6,35,7,0,0,0,10,192,90,50,43,373
LGA52870,10,7,0,0,19,13,4,0,0,21,16,11,0,5,34,15,6,0,0,15,8,9,0,0,16,0,0,0,0,3,4,5,0,0,3,0,0,0,0,0,14,4,4,0,21,0,0,0,0,3,107,55,19,9,195
LGA52940,0,0,0,0,5,0,0,0,0,0,0,4,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,3,0,0,0,3,11,11,4,4,23
LGA53010,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7,0,0,0,5
LGA53080,4,0,0,0,4,3,0,0,0,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,0,0,3,0,0,0,0,4,19,6,0,0,29
LGA53150,15,0,4,0,21,13,8,3,0,19,22,18,6,0,47,18,20,3,0,40,13,13,0,0,26,10,3,0,0,15,9,3,0,0,14,10,9,0,0,21,7,7,4,0,23,0,0,0,0,0,144,89,22,0,259
LGA53220,13,0,0,0,18,0,4,5,0,5,5,11,5,4,24,14,11,0,5,24,13,4,0,0,14,5,4,0,0,7,3,6,0,0,6,3,3,3,0,8,3,0,7,0,9,0,0,0,0,5,89,66,32,10,195
LGA53290,20,7,3,0,35,36,16,8,4,58,44,24,5,4,77,21,15,9,0,42,32,5,4,4,44,13,4,0,0,16,7,4,0,0,16,0,5,0,0,11,34,14,6,0,55,9,0,3,0,13,270,132,48,32,482
LGA53360,0,0,0,0,4,0,7,0,0,7,7,5,0,0,15,4,0,0,0,8,5,0,0,0,10,3,0,0,0,3,3,0,0,0,3,5,0,0,0,5,9,5,0,0,14,0,0,0,0,0,38,28,7,0,71
LGA53430,54,16,6,0,76,90,15,4,3,112,137,63,11,5,225,120,59,11,0,193,83,36,8,6,128,43,15,0,0,54,44,21,3,0,69,52,29,3,0,83,54,35,13,3,100,5,0,6,0,14,819,355,81,28,1276
LGA53570,3,3,7,0,10,6,11,0,0,21,19,8,8,0,33,17,5,0,0,16,5,0,0,0,7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,11,5,0,0,15,4,0,4,0,10,80,39,18,8,149
LGA53640,0,0,0,0,0,0,0,0,0,3,4,0,0,0,9,0,0,0,0,4,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,21,9,0,0,25
LGA53710,0,0,0,0,3,5,0,0,0,5,6,0,0,0,7,3,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,3,0,0,0,0,0,19,5,0,0,30
LGA53780,240,132,57,33,454,346,117,56,24,544,640,324,115,38,1119,402,196,51,15,672,295,166,47,14,530,127,66,32,9,239,96,101,32,7,237,38,41,17,12,108,169,132,44,35,381,48,26,3,7,86,2958,1624,593,252,5425
LGA53800,81,54,27,9,169,110,52,20,19,203,191,99,45,18,352,122,86,21,8,236,77,45,15,9,147,50,21,4,0,80,32,22,4,7,67,17,11,0,0,28,75,47,27,5,156,20,3,6,3,36,983,556,215,100,1851
LGA53920,8,10,0,0,23,13,0,3,3,23,17,8,0,8,31,5,4,0,0,13,8,0,0,0,11,0,0,0,0,3,0,0,0,0,3,3,0,0,0,6,12,5,8,5,36,11,9,3,3,27,134,86,39,36,298
LGA53990,54,41,18,0,120,68,38,11,9,122,128,71,24,6,235,72,35,10,6,128,53,33,14,4,100,29,6,0,4,41,13,12,9,0,38,13,0,0,0,16,42,36,12,7,108,12,6,0,0,17,592,359,135,43,1131
