LGA_CODE_2021,C21_650_799_1PF_1C,C21_650_799_1PF_2C,C21_650_799_1PF_3C,C21_650_799_1PF_4mC,C21_650_799_Tot,C21_800_999_1PF_1C,C21_800_999_1PF_2C,C21_800_999_1PF_3C,C21_800_999_1PF_4mC,C21_800_999_Tot,C21_1000_1499_1PF_1C,C21_1000_1499_1PF_2C,C21_1000_1499_1PF_3C,C21_1000_1499_1PF_4mC,C21_1000_1499_Tot,C21_1500_1999_1PF_1C,C21_1500_1999_1PF_2C,C21_1500_1999_1PF_3C,C21_1500_1999_1PF_4mC,C21_1500_1999_Tot,C21_2000_2499_1PF_1C,C21_2000_2499_1PF_2C,C21_2000_2499_1PF_3C,C21_2000_2499_1PF_4mC,C21_2000_2499_Tot,C21_2500_2999_1PF_1C,C21_2500_2999_1PF_2C,C21_2500_2999_1PF_3C,C21_2500_2999_1PF_4mC,C21_2500_2999_Tot,C21_3000_3999_1PF_1C,C21_3000_3999_1PF_2C,C21_3000_3999_1PF_3C,C21_3000_3999_1PF_4mC,C21_3000_3999_Tot,C21_4000more_1PF_1C,C21_4000more_1PF_2C,C21_4000more_1PF_3C,C21_4000more_1PF_4mo_ch,C21_4000more_Tot,C21_Par_inc_st_1PF_1C,C21_Par_inc_st_1PF_2C,C21_Par_inc_st_1PF_3C,C21_Par_inc_st_1PF_4mC,C21_Par_inc_st_Tot,C21_All_inc_ns_1PF_1Ch,C21_All_inc_ns_1PF_2C,C21_All_inc_ns_1PF_3C,C21_All_inc_ns_1PF_4mC,C21_All_inc_ns_Tot,C21_Tot_1PF_1C,C21_Tot_1PF_2C,C21_Tot_1PF_3C,C21_Tot_1PF_4mC,C21_Tot_Tot
LGA34580,93,64,33,15,208,146,51,23,20,242,239,106,44,24,410,123,65,22,10,214,62,22,17,3,115,36,17,10,3,71,25,16,3,6,51,8,9,5,0,23,51,39,27,18,126,19,12,0,0,30,985,514,224,117,1836
LGA34590,833,608,288,137,1872,1254,536,282,175,2250,2285,1131,479,267,4160,1326,708,263,128,2427,820,483,166,83,1555,350,213,64,35,668,221,183,64,31,492,108,102,36,34,282,419,372,153,121,1071,179,85,35,30,333,9744,5493,2267,1261,18766
LGA34710,4,3,0,0,11,6,10,0,0,16,21,10,4,0,30,8,5,0,0,13,11,4,0,0,10,0,0,0,0,0,3,0,0,0,6,4,3,0,0,5,0,0,0,0,6,3,0,0,0,3,73,40,15,4,133
LGA34770,203,133,52,34,417,297,132,59,31,522,550,282,123,42,998,336,231,51,21,642,262,151,38,6,451,104,34,14,3,161,96,57,19,6,168,62,58,26,6,146,175,132,59,26,393,53,21,7,0,84,2611,1495,563,224,4896
LGA34800,0,0,0,0,0,0,0,0,0,0,3,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7,5,0,0,13
LGA34830,0,0,0,0,0,0,0,0,0,7,3,0,0,0,5,0,0,0,0,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7,9,7,3,27
LGA34860,19,18,6,5,54,27,10,9,3,53,58,15,11,4,89,26,9,7,4,51,18,12,10,0,44,9,4,0,0,16,3,3,0,0,7,0,0,0,0,7,17,7,0,8,26,3,0,0,0,3,239,109,55,31,440
LGA34880,45,31,8,7,89,65,17,9,7,99,115,45,23,11,198,55,28,10,7,98,44,23,3,0,75,15,9,3,0,24,3,4,0,0,13,3,0,3,3,12,45,25,16,8,99,21,6,0,4,34,522,254,107,70,957
LGA35010,1053,730,320,97,2198,1561,703,350,165,2779,3116,1583,557,239,5494,1864,1062,297,122,3345,1247,740,206,78,2264,499,281,87,28,889,329,285,102,34,754,200,159,50,17,437,633,525,223,92,1476,185,78,40,10,314,12835,7289,2636,1037,23788
LGA35250,3,5,0,0,3,0,3,0,0,5,6,4,0,0,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,11,3,3,0,0,3,37,19,10,7,71
