LGA_CODE_2021,C11_SH_0b_s_a_b_NPFH_2,C11_SH_0b_s_a_b_NPFH_3,C11_SH_0b_s_a_b_NPFH_4,C11_SH_0b_s_a_b_NPFH_5,C11_SH_0b_s_a_b_NPFH_6_mor,C11_SH_0b_s_a_b_Tot,C11_SH_1b_NPFH_2,C11_SH_1b_NPFH_3,C11_SH_1b_NPFH_4,C11_SH_1b_NPFH_5,C11_SH_1b_NPFH_6_mor,C11_SH_1b_Tot,C11_SH_2b_NPFH_2,C11_SH_2b_NPFH_3,C11_SH_2b_NPFH_4,C11_SH_2b_NPFH_5,C11_SH_2b_NPFH_6_mor,C11_SH_2b_Tot,C11_SH_3b_NPFH_2,C11_SH_3b_NPFH_3,C11_SH_3b_NPFH_4,C11_SH_3b_NPFH_5,C11_SH_3b_NPFH_6_mor,C11_SH_3b_Tot,C11_SH_4mb_NPFH_2,C11_SH_4mb_NPFH_3,C11_SH_4mb_NPFH_4,C11_SH_4mb_NPFH_5,C11_SH_4mb_NPFH_6_mor,C11_SH_4mb_Tot,C11_SH_NB_NS_NPFH_2,C11_SH_NB_NS_NPFH_3,C11_SH_NB_NS_NPFH_4,C11_SH_NB_NS_NPFH_5,C11_SH_NB_NS_NPFH_6_mor,C11_SH_NB_NS_Tot,C11_SH_Tot_NPFH_2,C11_SH_Tot_NPFH_3,C11_SH_Tot_NPFH_4,C11_SH_Tot_NPFH_5,C11_SH_Tot_NPFH_6_mor,C11_SH_Tot_Tot,C11_SDRTHT_0b_s_a_b_NPFH_2,C11_SDRTHT_0b_s_a_b_NPFH_3,C11_SDRTHT_0b_s_a_b_NPFH_4,C11_SDRTHT_0b_s_a_b_NPFH_5,C11_SDRTHT_0b_s_a_b_NPFH_6mor,C11_SDRTHT_0b_s_a_b_Tot,C11_SDRTHT_1b_NPFH_2,C11_SDRTHT_1b_NPFH_3,C11_SDRTHT_1b_NPFH_4,C11_SDRTHT_1b_NPFH_5,C11_SDRTHT_1b_NPFH_6_mor,C11_SDRTHT_1b_Tot,C11_SDRTHT_2b_NPFH_2,C11_SDRTHT_2b_NPFH_3,C11_SDRTHT_2b_NPFH_4,C11_SDRTHT_2b_NPFH_5,C11_SDRTHT_2b_NPFH_6_mor,C11_SDRTHT_2b_Tot,C11_SDRTHT_3b_NPFH_2,C11_SDRTHT_3b_NPFH_3,C11_SDRTHT_3b_NPFH_4,C11_SDRTHT_3b_NPFH_5,C11_SDRTHT_3b_NPFH_6_mor,C11_SDRTHT_3b_Tot,C11_SDRTHT_4mb_NPFH_2,C11_SDRTHT_4mb_NPFH_3,C11_SDRTHT_4mb_NPFH_4,C11_SDRTHT_4mb_NPFH_5,C11_SDRTHT_4mb_NPFH_6_mor,C11_SDRTHT_4mb_Tot,C11_SDRTHT_NB_NS_NPFH_2,C11_SDRTHT_NB_NS_NPFH_3,C11_SDRTHT_NB_NS_NPFH_4,C11_SDRTHT_NB_NS_NPFH_5,C11_SDRTHT_NB_NS_NPFH_6_mor,C11_SDRTHT_NB_NS_Tot,C11_SDRTHT_Tot_NPFH_2,C11_SDRTHT_Tot_NPFH_3,C11_SDRTHT_Tot_NPFH_4,C11_SDRTHT_Tot_NPFH_5,C11_SDRTHT_Tot_NPFH_6_mor,C11_SDRTHT_Tot_Tot,C11_F_a_0b_s_a_b_NPFH_2,C11_F_a_0b_s_a_b_NPFH_3,C11_F_a_0b_s_a_b_NPFH_4,C11_F_a_0b_s_a_b_NPFH_5,C11_F_a_0b_s_a_b_NPFH_6_mor,C11_F_a_0b_s_a_b_Tot,C11_F_a_1b_NPFH_2,C11_F_a_1b_NPFH_3,C11_F_a_1b_NPFH_4,C11_F_a_1b_NPFH_5,C11_F_a_1b_NPFH_6_mor,C11_F_a_1b_Tot,C11_F_a_2b_NPFH_2,C11_F_a_2b_NPFH_3,C11_F_a_2b_NPFH_4,C11_F_a_2b_NPFH_5,C11_F_a_2b_NPFH_6_mor,C11_F_a_2b_Tot,C11_F_a_3b_NPFH_2,C11_F_a_3b_NPFH_3,C11_F_a_3b_NPFH_4,C11_F_a_3b_NPFH_5,C11_F_a_3b_NPFH_6_mor,C11_F_a_3b_Tot,C11_F_a_4mb_NPFH_2,C11_F_a_4mb_NPFH_3,C11_F_a_4mb_NPFH_4,C11_F_a_4mb_NPFH_5,C11_F_a_4mb_NPFH_6_mor,C11_F_a_4mb_Tot,C11_F_a_NB_NS_NPFH_2,C11_F_a_NB_NS_NPFH_3,C11_F_a_NB_NS_NPFH_4,C11_F_a_NB_NS_NPFH_5,C11_F_a_NB_NS_NPFH_6_mor,C11_F_a_NB_NS_Tot,C11_F_a_Tot_NPFH_2,C11_F_a_Tot_NPFH_3,C11_F_a_Tot_NPFH_4,C11_F_a_Tot_NPFH_5,C11_F_a_Tot_NPFH_6_mor,C11_F_a_Tot_Tot,C11_OD_0b_s_a_b_NPFH_2,C11_OD_0b_s_a_b_NPFH_3,C11_OD_0b_s_a_b_NPFH_4,C11_OD_0b_s_a_b_NPFH_5,C11_OD_0b_s_a_b_NPFH_6_mor,C11_OD_0b_s_a_b_Tot,C11_OD_1b_NPFH_2,C11_OD_1b_NPFH_3,C11_OD_1b_NPFH_4,C11_OD_1b_NPFH_5,C11_OD_1b_NPFH_6_mor,C11_OD_1b_Tot,C11_OD_2b_NPFH_2,C11_OD_2b_NPFH_3,C11_OD_2b_NPFH_4,C11_OD_2b_NPFH_5,C11_OD_2b_NPFH_6_mor,C11_OD_2b_Tot,C11_OD_3b_NPFH_2,C11_OD_3b_NPFH_3,C11_OD_3b_NPFH_4,C11_OD_3b_NPFH_5,C11_OD_3b_NPFH_6_mor,C11_OD_3b_Tot,C11_OD_4mb_NPFH_2,C11_OD_4mb_NPFH_3,C11_OD_4mb_NPFH_4,C11_OD_4mb_NPFH_5,C11_OD_4mb_NPFH_6_mor,C11_OD_4mb_Tot,C11_OD_NB_NS_NPFH_2,C11_OD_NB_NS_NPFH_3,C11_OD_NB_NS_NPFH_4,C11_OD_NB_NS_NPFH_5,C11_OD_NB_NS_NPFH_6_mor,C11_OD_NB_NS_Tot,C11_OD_Tot_NPFH_2,C11_OD_Tot_NPFH_3,C11_OD_Tot_NPFH_4,C11_OD_Tot_NPFH_5,C11_OD_Tot_NPFH_6_mor,C11_OD_Tot_Tot,C11_DS_NS_NPFH_2,C11_DS_NS_NPFH_3,C11_DS_NS_NPFH_4,C11_DS_NS_NPFH_5,C11_DS_NS_NPFH_6_mor,C11_DS_NS_Tot,C11_Tot_NPFH_2,C11_Tot_NPFH_3,C11_Tot_NPFH_4,C11_Tot_NPFH_5,C11_Tot_NPFH_6_mor,C11_Tot_Tot,C16_SH_0b_s_a_b_NPFH_2,C16_SH_0b_s_a_b_NPFH_3,C16_SH_0b_s_a_b_NPFH_4,C16_SH_0b_s_a_b_NPFH_5,C16_SH_0b_s_a_b_NPFH_6_mor,C16_SH_0b_s_a_b_Tot,C16_SH_1b_NPFH_2,C16_SH_1b_NPFH_3,C16_SH_1b_NPFH_4,C16_SH_1b_NPFH_5,C16_SH_1b_NPFH_6_mor,C16_SH_1b_Tot,C16_SH_2b_NPFH_2,C16_SH_2b_NPFH_3,C16_SH_2b_NPFH_4,C16_SH_2b_NPFH_5,C16_SH_2b_NPFH_6_mor,C16_SH_2b_Tot,C16_SH_3b_NPFH_2,C16_SH_3b_NPFH_3
LGA10050,0,4,0,0,0,7,21,3,0,0,0,22,542,96,33,11,4,688,2943,1255,1061,283,100,5643,1328,854,1186,688,290,4346,54,19,13,7,5,104,4887,2237,2294,986,401,10810,3,0,0,0,0,3,8,0,0,0,0,8,187,30,8,0,0,230,92,52,15,4,0,165,0,4,0,0,0,4,3,0,0,0,0,0,296,82,28,10,0,409,5,0,0,0,0,9,42,3,0,0,0,49,477,134,47,7,0,661,97,50,32,7,0,190,3,5,4,0,5,13,18,0,0,0,0,22,642,191,75,17,4,937,4,0,0,0,0,4,5,0,0,0,0,5,3,3,0,0,0,11,10,0,0,0,0,15,0,0,0,0,0,0,0,0,0,0,0,0,20,8,4,4,0,38,0,0,4,0,0,8,5848,2526,2400,1013,411,12204,5,0,0,0,0,10,26,3,4,0,0,36,615,95,43,6,4,758,2856,1237
LGA10180,0,0,0,0,0,3,32,0,4,6,0,42,328,73,35,4,0,443,1468,638,510,168,49,2841,944,462,617,405,206,2636,37,12,4,7,5,57,2814,1184,1176,587,265,6023,0,0,0,0,0,0,5,0,0,0,0,4,71,22,11,3,0,104,36,14,9,4,0,59,7,7,0,5,0,16,0,0,0,0,0,0,122,38,18,8,4,191,0,0,0,0,0,0,26,4,0,0,0,28,136,40,24,9,0,204,30,21,16,6,0,67,4,0,0,5,0,10,4,0,0,0,0,3,195,63,39,10,0,312,4,0,0,0,0,6,4,0,0,0,0,4,4,5,0,0,0,5,0,0,0,0,0,11,0,0,0,3,0,5,0,0,0,0,0,0,12,3,0,4,0,31,0,0,0,0,0,6,3152,1292,1238,609,268,6555,0,0,0,0,0,0,33,3,7,0,0,40,324,68,34,6,0,443,1460,583
LGA10250,0,0,0,0,0,7,42,3,0,0,0,48,415,77,29,14,0,534,2216,837,727,204,68,4045,1510,723,935,512,261,3938,34,11,6,5,5,66,4215,1649,1696,733,335,8627,0,0,0,0,0,0,10,0,0,0,0,8,286,70,22,3,0,384,352,171,90,23,4,635,22,15,22,12,5,67,8,0,0,0,0,10,671,248,133,32,12,1103,0,0,0,0,0,0,18,0,0,0,0,20,339,64,16,9,0,420,211,90,53,11,6,362,9,6,3,4,0,21,4,0,0,0,0,6,580,160,73,22,3,835,3,0,0,0,0,3,29,0,0,0,0,29,82,8,4,0,4,98,40,14,9,0,0,60,3,0,4,0,0,5,3,0,0,0,0,7,166,26,13,0,4,205,0,0,0,0,0,0,5636,2086,1915,789,353,10781,0,3,4,0,4,5,31,6,3,0,3,51,415,96,35,7,4,549,2136,786
LGA10300,0,0,0,0,0,0,3,0,0,0,0,0,35,16,0,0,0,53,163,58,52,29,3,316,78,33,43,20,23,194,4,3,0,0,0,9,287,107,97,50,32,574,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,0,0,0,0,0,0,0,0,0,0,0,0,5,3,0,0,0,9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,3,0,0,0,5,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,3,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,0,0,3,0,0,0,0,0,0,292,111,104,50,26,592,0,0,0,0,0,0,0,0,0,0,0,0,27,13,3,3,0,52,134,55
LGA10470,3,0,6,0,0,9,35,4,9,0,0,51,391,104,38,7,13,552,1869,825,698,225,79,3699,1539,840,1088,630,347,4435,44,18,6,3,4,82,3887,1789,1838,874,438,8829,0,0,0,0,0,0,10,4,0,0,0,20,116,34,3,3,0,158,114,52,26,7,4,202,20,0,18,14,5,55,10,0,4,0,0,7,274,95,47,21,6,438,0,0,0,0,0,0,17,0,0,0,0,18,127,23,14,3,0,165,26,17,4,3,0,53,3,0,0,4,0,6,0,0,0,0,0,0,176,34,20,11,0,245,0,0,0,0,0,5,4,0,0,0,0,4,4,0,0,0,0,9,4,0,0,0,0,8,0,0,0,0,0,0,0,0,0,0,0,0,15,5,0,0,0,25,10,0,0,0,0,12,4364,1928,1915,904,442,9554,3,4,3,0,0,11,40,8,3,0,0,56,345,89,31,9,4,484,1790,832
LGA10500,6,7,4,0,0,15,52,11,5,3,0,78,1350,572,353,82,45,2410,3274,2222,2482,955,467,9393,1199,1182,1746,1184,905,6217,117,51,29,24,12,237,6000,4043,4619,2252,1440,18350,4,3,3,0,0,7,44,7,5,0,0,57,674,309,192,40,12,1232,889,699,687,223,84,2581,120,142,214,137,78,689,23,11,3,4,0,46,1756,1178,1101,398,178,4610,32,12,10,4,5,63,570,97,22,4,0,691,4083,2560,1483,388,98,8610,585,517,444,191,106,1843,29,17,34,9,8,89,94,38,37,14,4,185,5397,3243,2024,598,223,11481,0,0,0,0,0,4,19,0,0,0,0,22,49,20,19,3,6,102,8,10,16,8,4,49,6,3,0,0,4,14,0,0,0,3,3,7,84,33,39,13,14,197,22,12,9,5,4,51,13264,8512,7787,3269,1855,34688,8,0,5,0,0,20,36,18,15,0,9,71,990,380,304,78,35,1783,2920,2022
LGA10550,10,4,4,0,0,18,105,15,7,0,0,123,603,142,85,17,0,856,2357,770,607,201,66,4007,1199,512,562,381,183,2841,42,17,13,5,0,75,4312,1457,1276,608,258,7917,0,0,0,0,0,0,18,4,0,0,0,22,126,23,9,0,0,153,150,16,17,0,3,196,36,11,8,0,0,60,3,0,0,0,0,5,326,52,37,6,4,425,0,0,0,0,0,0,4,0,0,0,0,10,180,37,14,3,0,229,71,28,20,6,0,135,15,5,12,4,0,38,3,0,0,0,0,3,282,69,51,11,0,415,7,0,0,0,0,12,23,0,0,0,0,22,21,10,0,0,0,37,24,3,5,0,0,36,5,0,0,0,0,10,0,0,0,0,0,3,80,14,8,3,3,116,5,0,0,0,0,10,5007,1603,1368,635,265,8876,9,4,4,0,0,16,88,14,14,0,0,121,605,129,68,16,3,818,2368,729
LGA10600,0,0,0,0,0,4,40,10,4,0,0,59,292,66,41,16,0,417,916,341,277,81,31,1644,440,217,252,166,80,1161,11,8,4,0,0,27,1703,643,590,260,114,3310,0,0,0,0,0,0,0,0,0,0,0,0,15,6,0,0,0,23,6,3,0,0,0,13,0,0,0,0,0,0,0,0,0,0,0,0,21,13,3,0,0,34,0,0,0,0,0,0,3,0,0,0,0,3,28,5,0,0,0,33,0,0,0,0,0,10,0,0,0,0,0,3,0,0,0,0,0,0,39,6,4,3,0,46,3,0,0,0,0,8,10,0,0,0,0,10,28,3,4,0,0,31,5,5,3,4,0,16,0,0,0,0,0,3,0,0,0,0,0,0,50,8,8,4,0,72,0,0,0,0,0,3,1817,665,602,264,114,3463,4,0,0,0,0,7,36,11,8,5,0,62,285,63,37,10,7,404,833,319
LGA10650,0,0,0,0,0,0,8,0,0,0,0,8,142,15,9,0,0,162,698,173,147,52,18,1084,304,118,155,101,61,741,21,3,0,5,0,31,1169,311,307,153,86,2025,0,0,0,0,0,0,3,0,0,0,0,3,25,0,0,0,0,22,13,6,3,0,0,13,4,0,0,0,0,8,0,0,0,0,0,0,34,8,3,0,5,50,0,0,0,0,0,0,3,0,0,0,0,0,16,3,0,0,0,21,13,4,0,0,0,23,0,0,0,0,0,0,0,0,0,0,0,4,37,7,0,0,0,49,0,0,0,0,0,4,6,0,0,0,0,6,16,0,0,0,0,17,9,0,0,0,0,7,0,4,0,0,0,8,0,0,0,0,0,0,30,3,0,0,3,40,0,0,3,0,0,8,1272,332,317,157,90,2168,0,0,0,0,0,0,9,0,0,0,0,8,145,19,13,4,5,183,637,148
LGA10750,21,25,19,15,12,84,109,50,36,13,6,218,1242,499,283,112,34,2167,11364,8257,7844,3143,1697,32308,5764,5911,8910,5136,3984,29703,281,174,166,107,120,851,18790,14906,17260,8520,5857,65333,8,5,5,0,3,18,65,14,5,3,4,95,497,273,132,37,15,956,1614,1541,1300,574,347,5380,273,359,494,283,267,1673,40,24,17,20,12,110,2500,2215,1955,913,651,8233,13,0,8,0,0,17,119,19,3,0,0,136,966,669,392,110,49,2179,61,80,63,31,25,264,6,3,10,8,6,32,33,18,15,0,4,70,1194,790,487,149,89,2708,0,0,0,0,0,0,21,5,0,0,0,25,43,15,12,0,0,73,12,13,10,0,0,39,0,4,0,4,6,11,4,6,0,0,0,5,84,41,25,4,3,162,19,12,11,8,0,41,22581,17965,19729,9595,6600,76476,14,14,17,9,18,75,150,70,57,17,18,314,1268,531,312,105,55,2273,10175,7627
