LGA_CODE_2021,C11_1_74_CF_NC,C11_1_74_CF_Cu15DS_,C11_1_74_CF_CU15_NDS,C11_1_74_CF_NCU15_DS,C11_1_74_CF_NDCO,C11_1_74_Tot,C11_75_99_CF_NC,C11_75_99_CF_Cu15DS_,C11_75_99_CF_CU15_NDS,C11_75_99_CF_NCU15_DS,C11_75_99_CF_NDCO,C11_75_99_Tot,C11_100_149_CF_NC,C11_100_149_CF_Cu15DS_,C11_100_149_CF_CU15_NDS,C11_100_149_CF_NCU15_DS,C11_100_149_CF_NDCO,C11_100_149_Tot,C11_150_199_CF_NC,C11_150_199_CF_Cu15DS_,C11_150_199_CF_CU15_NDS,C11_150_199_CF_NCU15_DS,C11_150_199_CF_NDCO,C11_150_199_Tot,C11_200_224_CF_NC,C11_200_224_CF_Cu15DS_,C11_200_224_CF_CU15_NDS,C11_200_224_CF_NCU15_DS,C11_200_224_CF_NDCO,C11_200_224_Tot,C11_225_274_CF_NC,C11_225_274_CF_Cu15DS_,C11_225_274_CF_CU15_NDS,C11_225_274_CF_NCU15_DS,C11_225_274_CF_NDCO,C11_225_274_Tot,C11_275_349_CF_NC,C11_275_349_CF_Cu15DS_,C11_275_349_CF_CU15_NDS,C11_275_349_CF_NCU15_DS,C11_275_349_CF_NDCO,C11_275_349_Tot,C11_350_449_CF_NC,C11_350_449_CF_Cu15DS_,C11_350_449_CF_CU15_NDS,C11_350_449_CF_NCU15_DS,C11_350_449_CF_NDCO,C11_350_449_Tot,C11_450_549_CF_NC,C11_450_549_CF_Cu15DS_,C11_450_549_CF_CU15_NDS,C11_450_549_CF_NCU15_DS,C11_450_549_CF_NDCO,C11_450_549_Tot,C11_550_649_CF_NC,C11_550_649_CF_Cu15DS_,C11_550_649_CF_CU15_NDS,C11_550_649_CF_NCU15_DS,C11_550_649_CF_NDCO,C11_550_649_Tot,C11_650_749_CF_NC,C11_650_749_CF_Cu15DS_,C11_650_749_CF_CU15_NDS,C11_650_749_CF_NCU15_DS,C11_650_749_CF_NDCO,C11_650_749_Tot,C11_750_849_CF_NC,C11_750_849_CF_Cu15DS_,C11_750_849_CF_CU15_NDS,C11_750_849_CF_NCU15_DS,C11_750_849_CF_NDCO,C11_750_849_Tot,C11_850_949_CF_NC,C11_850_949_CF_Cu15DS_,C11_850_949_CF_CU15_NDS,C11_850_949_CF_NCU15_DS,C11_850_949_CF_NDCO,C11_850_949_Tot,C11_950over_CF_NC,C11_950over_CF_Cu15DS_,C11_950over_CF_CU15_NDS,C11_950over_CF_NCU15_DS,C11_950over_CF_NDCO,C11_950over_Tot,C11_Rns_CF_NC,C11_Rns_CF_Cu15DS_,C11_Rns_CF_CU15_NDS,C11_Rns_CF_NCU15_DS,C11_Rns_CF_NDCO,C11_Rns_Tot,C11_Tot_CF_NC,C11_Tot_CF_Cu15DS_,C11_Tot_CF_CU15_NDS,C11_Tot_CF_NCU15_DS,C11_Tot_CF_NDCO,C11_Tot_Tot,C16_1_74_CF_NC,C16_1_74_CF_Cu15DS_,C16_1_74_CF_CU15_NDS,C16_1_74_CF_NCU15_DS,C16_1_74_CF_NDCO,C16_1_74_Tot,C16_75_99_CF_NC,C16_75_99_CF_Cu15DS_,C16_75_99_CF_CU15_NDS,C16_75_99_CF_NCU15_DS,C16_75_99_CF_NDCO,C16_75_99_Tot,C16_100_149_CF_NC,C16_100_149_CF_Cu15DS_,C16_100_149_CF_CU15_NDS,C16_100_149_CF_NCU15_DS,C16_100_149_CF_NDCO,C16_100_149_Tot,C16_150_199_CF_NC,C16_150_199_CF_Cu15DS_,C16_150_199_CF_CU15_NDS,C16_150_199_CF_NCU15_DS,C16_150_199_CF_NDCO,C16_150_199_Tot,C16_200_224_CF_NC,C16_200_224_CF_Cu15DS_,C16_200_224_CF_CU15_NDS,C16_200_224_CF_NCU15_DS,C16_200_224_CF_NDCO,C16_200_224_Tot,C16_225_274_CF_NC,C16_225_274_CF_Cu15DS_,C16_225_274_CF_CU15_NDS,C16_225_274_CF_NCU15_DS,C16_225_274_CF_NDCO,C16_225_274_Tot,C16_275_349_CF_NC,C16_275_349_CF_Cu15DS_,C16_275_349_CF_CU15_NDS,C16_275_349_CF_NCU15_DS,C16_275_349_CF_NDCO,C16_275_349_Tot,C16_350_449_CF_NC,C16_350_449_CF_Cu15DS_,C16_350_449_CF_CU15_NDS,C16_350_449_CF_NCU15_DS,C16_350_449_CF_NDCO,C16_350_449_Tot,C16_450_549_CF_NC,C16_450_549_CF_Cu15DS_,C16_450_549_CF_CU15_NDS,C16_450_549_CF_NCU15_DS,C16_450_549_CF_NDCO,C16_450_549_Tot,C16_550_649_CF_NC,C16_550_649_CF_Cu15DS_,C16_550_649_CF_CU15_NDS,C16_550_649_CF_NCU15_DS,C16_550_649_CF_NDCO,C16_550_649_Tot,C16_650_749_CF_NC,C16_650_749_CF_Cu15DS_,C16_650_749_CF_CU15_NDS,C16_650_749_CF_NCU15_DS,C16_650_749_CF_NDCO,C16_650_749_Tot,C16_750_849_CF_NC,C16_750_849_CF_Cu15DS_,C16_750_849_CF_CU15_NDS,C16_750_849_CF_NCU15_DS,C16_750_849_CF_NDCO,C16_750_849_Tot,C16_850_949_CF_NC,C16_850_949_CF_Cu15DS_,C16_850_949_CF_CU15_NDS,C16_850_949_CF_NCU15_DS,C16_850_949_CF_NDCO,C16_850_949_Tot,C16_950over_CF_NC,C16_950over_CF_Cu15DS_,C16_950over_CF_CU15_NDS,C16_950over_CF_NCU15_DS,C16_950over_CF_NDCO,C16_950over_Tot,C16_Rns_CF_NC,C16_Rns_CF_Cu15DS_,C16_Rns_CF_CU15_NDS,C16_Rns_CF_NCU15_DS,C16_Rns_CF_NDCO,C16_Rns_Tot,C16_Tot_CF_NC,C16_Tot_CF_Cu15DS_,C16_Tot_CF_CU15_NDS,C16_Tot_CF_NCU15_DS,C16_Tot_CF_NDCO,C16_Tot_Tot,C21_1_74_CF_NC,C21_1_74_CF_Cu15DS_,C21_1_74_CF_CU15_NDS,C21_1_74_CF_NCU15_DS,C21_1_74_CF_NDCO,C21_1_74_Tot,C21_75_99_CF_NC,C21_75_99_CF_Cu15DS_
LGA10050,9,0,4,0,0,13,15,0,5,0,0,23,149,6,48,3,9,216,196,9,102,5,17,322,137,8,89,7,9,246,186,26,180,10,9,415,146,19,180,20,14,380,39,17,89,15,6,165,12,3,28,0,0,39,0,0,10,3,0,16,0,0,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,4,25,0,20,3,0,42,914,91,757,71,69,1901,0,0,0,0,0,0,13,0,3,0,0,18,36,0,27,7,4,71,158,3,106,6,7,286,131,3,67,3,4,213,228,21,179,4,14,447,277,34,245,19,24,603,112,36,190,19,18,378,23,3,38,7,3,67,0,0,6,0,0,6,4,0,3,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,3,16,0,8,3,6,33,999,111,869,76,80,2136,6,0,0,0,0,4,9,0
LGA10180,9,4,9,0,4,25,3,0,3,0,0,9,44,7,32,0,11,91,115,8,80,3,10,221,58,12,49,11,6,133,97,18,78,0,12,206,88,18,119,11,4,235,45,5,83,10,7,152,0,3,9,0,0,14,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,0,0,8,22,4,15,0,3,42,495,65,486,36,58,1143,5,0,6,0,0,14,4,0,0,0,0,7,22,0,12,0,0,32,64,4,29,4,8,107,65,0,55,6,4,132,112,6,80,6,11,210,147,12,155,3,17,342,108,33,159,11,10,329,12,3,30,6,5,57,4,0,8,0,0,8,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0,16,6,10,0,0,34,558,70,547,37,61,1276,4,3,4,0,0,11,0,0
LGA10250,12,0,0,0,0,16,13,0,0,0,0,16,57,0,13,0,6,83,57,4,24,0,10,97,41,3,20,0,8,66,101,11,51,4,13,175,224,21,168,15,23,453,189,48,291,25,33,588,45,13,85,11,7,157,12,4,14,3,3,33,0,0,4,0,0,3,0,0,5,0,0,5,0,0,0,0,0,0,9,0,3,0,0,8,12,4,18,0,0,33,772,111,691,61,95,1736,0,0,0,0,0,7,0,0,3,0,0,3,38,3,9,0,0,44,45,0,7,6,5,61,28,0,4,0,4,36,57,9,24,5,7,96,160,9,109,9,20,304,265,27,292,26,24,633,132,29,195,27,20,394,48,8,63,17,0,140,9,4,29,4,0,55,0,3,8,0,0,13,3,0,0,0,0,4,0,0,3,0,0,5,19,4,13,0,0,35,818,99,752,92,78,1838,4,0,3,0,0,4,0,0
LGA10300,4,0,8,0,0,15,0,0,0,0,0,4,7,5,10,0,5,21,9,0,14,3,3,26,3,0,0,0,0,7,0,0,0,0,0,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,3,0,0,0,0,0,4,39,6,38,3,6,85,4,0,3,0,0,12,0,0,0,0,0,3,4,0,4,0,4,10,16,4,5,0,0,22,3,5,4,0,0,19,0,0,3,0,0,11,0,3,0,0,0,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,9,0,3,12,41,6,30,0,7,86,7,0,0,0,0,3,0,0
LGA10470,13,0,5,0,0,16,7,0,0,0,0,11,61,3,20,3,4,92,97,7,61,6,10,180,88,8,61,3,13,178,133,10,147,5,18,318,120,24,196,17,13,365,50,23,103,8,6,203,3,0,15,0,0,22,0,0,3,0,0,9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,16,4,12,0,3,26,600,89,631,42,68,1428,5,0,4,0,0,10,14,0,0,0,0,13,17,0,9,0,0,30,52,0,27,3,5,91,52,4,28,5,8,89,117,4,92,8,10,227,214,24,223,14,15,485,143,49,241,18,20,471,11,11,26,9,5,59,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,16,9,13,0,0,36,636,99,655,60,63,1521,0,0,0,0,0,6,4,0
LGA10500,17,0,4,0,9,33,12,0,3,0,5,20,159,0,25,3,11,195,97,11,36,9,18,179,74,6,41,3,6,140,168,13,120,19,25,346,656,65,504,53,53,1333,1274,121,1124,103,144,2771,609,92,564,67,104,1438,281,47,287,32,69,714,82,22,110,19,20,246,28,4,53,14,11,110,11,4,16,0,0,32,16,5,23,0,3,49,103,17,77,8,17,227,3579,419,2987,339,506,7820,12,0,5,0,0,14,10,0,5,0,0,11,31,0,11,0,4,52,136,4,26,5,3,176,74,0,25,3,12,115,107,9,48,10,18,196,215,14,143,16,18,407,1346,81,1094,101,105,2728,1484,87,1089,91,141,2898,1169,89,790,92,112,2246,614,56,425,64,71,1236,130,24,170,25,24,376,59,13,72,9,9,164,73,15,76,15,14,193,137,18,88,13,20,278,5594,412,4062,461,553,11080,9,0,10,0,6,23,5,0
LGA10550,15,0,4,0,0,22,12,0,6,0,0,20,45,6,23,0,7,75,96,7,55,3,4,169,77,3,65,4,9,153,105,14,95,7,20,244,72,19,130,20,13,258,31,10,29,4,0,78,7,0,3,0,0,9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,12,13,0,13,4,9,39,473,63,430,45,51,1063,7,0,3,0,0,13,11,0,0,0,0,7,20,3,11,6,0,37,42,3,15,0,3,63,56,0,25,6,4,89,86,3,50,3,9,156,128,20,152,5,12,316,100,28,124,4,15,270,13,0,7,0,0,24,0,0,5,0,0,7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,14,0,12,0,8,34,467,72,404,26,54,1026,7,0,3,0,0,13,0,0
LGA10600,3,0,4,3,0,5,3,0,0,0,0,4,11,0,10,4,0,23,19,0,18,0,0,47,22,5,23,0,0,51,33,8,33,7,3,86,28,13,65,0,0,116,16,3,41,8,4,65,0,0,0,0,0,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,3,3,0,0,12,141,35,200,17,16,414,0,0,0,0,3,3,0,0,0,0,0,4,4,0,5,0,0,14,14,0,8,0,0,21,10,0,4,0,0,17,29,0,22,0,6,57,52,3,47,7,7,114,40,11,84,3,11,150,3,3,21,5,0,31,4,0,4,0,0,11,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,11,0,11,0,0,20,167,21,205,16,28,443,0,0,5,0,0,3,0,0
LGA10650,8,0,6,0,0,15,6,0,0,0,0,8,28,0,14,4,3,44,35,4,27,7,3,78,12,4,10,5,4,38,7,0,18,4,3,31,0,3,0,0,0,8,0,0,0,0,0,3,0,0,0,0,0,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,0,7,4,0,14,106,19,85,12,10,244,0,0,4,0,0,6,3,0,5,0,0,7,18,0,8,0,0,23,34,3,21,3,0,61,28,0,13,0,0,48,21,4,36,0,4,60,15,5,23,3,0,38,3,0,5,0,0,14,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,4,0,6,0,0,10,131,19,112,5,10,276,0,0,3,0,0,3,4,0
LGA10750,59,3,22,4,10,100,38,0,18,3,9,65,530,18,111,31,69,762,282,73,247,49,111,766,215,83,239,33,141,707,378,134,552,71,118,1255,1140,289,1892,165,248,3740,1153,356,2043,217,240,4006,286,140,535,91,108,1155,104,58,262,46,49,517,20,14,56,6,11,104,4,4,11,4,0,20,0,0,3,0,0,4,14,3,28,9,5,60,155,23,152,25,49,403,4384,1195,6172,751,1169,13673,25,3,10,0,3,43,27,0,13,0,6,43,115,7,46,6,14,191,423,22,116,24,66,649,153,31,97,8,40,338,230,45,194,29,81,581,732,165,976,129,250,2253,2075,536,3484,368,467,6926,947,339,1716,231,275,3505,419,180,807,132,173,1709,144,93,301,65,76,675,16,24,43,9,11,103,10,0,11,8,0,26,12,3,19,0,0,33,161,36,177,37,64,486,5493,1478,8006,1039,1532,17550,18,5,9,0,9,39,25,0
LGA10800,5,0,6,0,0,14,0,0,4,0,0,7,20,0,5,0,6,29,16,4,15,0,4,38,8,0,10,0,3,23,8,4,23,0,0,35,3,0,8,0,0,17,0,0,0,0,0,0,3,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8,0,0,13,75,12,84,0,10,182,4,0,5,0,0,14,0,0,5,0,0,3,9,0,8,0,0,12,7,0,14,0,3,27,6,0,8,0,0,16,16,4,24,0,0,41,6,0,7,0,0,14,0,0,4,0,0,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,7,0,0,12,46,11,72,5,9,139,5,0,0,0,0,7,0,0
LGA10850,4,0,4,0,0,9,3,0,6,0,0,10,20,0,4,0,0,27,27,8,20,5,5,64,6,4,19,4,0,35,10,3,19,0,0,36,10,4,12,0,0,26,4,0,8,0,0,12,0,0,3,0,0,3,0,0,4,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,5,0,0,14,83,22,101,18,9,229,0,0,3,0,0,4,0,0,0,0,0,0,4,0,4,0,0,6,18,0,4,0,0,23,11,0,17,0,0,32,34,8,19,0,5,66,14,0,35,6,5,52,7,0,20,0,0,25,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,5,0,0,0,7,89,13,97,7,23,223,4,0,3,0,0,5,0,0
LGA10900,4,0,3,0,0,6,4,0,0,0,0,5,21,0,8,0,0,28,58,4,12,8,0,91,67,7,40,5,8,125,141,10,140,10,14,313,285,27,298,32,25,668,138,38,279,27,23,505,38,13,70,12,9,150,11,5,19,3,0,34,3,0,6,0,0,8,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,10,26,5,16,0,7,52,796,103,905,96,87,1988,7,0,3,0,0,11,4,0,0,0,0,4,9,4,3,0,0,21,8,0,13,0,3,23,22,3,14,0,9,44,54,5,27,5,3,99,155,12,124,6,18,318,348,49,370,25,41,835,124,41,209,17,26,425,33,21,65,14,5,140,4,4,11,6,0,26,3,0,6,0,0,9,0,0,0,0,0,7,4,0,0,0,0,5,28,0,16,0,8,54,817,136,865,82,116,2014,0,0,0,0,0,3,0,0
LGA10950,3,0,8,0,0,10,0,0,0,0,0,0,11,0,4,0,3,22,16,0,16,4,0,32,9,0,7,0,3,20,3,0,12,0,0,18,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6,0,0,10,45,3,54,3,11,111,4,0,7,0,0,14,0,0,0,0,5,3,8,0,8,0,0,18,10,0,12,0,0,27,4,0,4,5,0,15,10,0,7,0,0,20,4,0,3,0,0,11,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,9,0,0,9,45,4,38,6,14,112,0,0,0,0,0,4,0,0
LGA11150,22,0,24,0,0,49,0,0,4,0,0,11,6,0,15,0,4,23,10,0,14,0,0,26,6,4,6,0,0,14,0,0,5,0,0,4,0,0,4,0,0,4,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,4,0,0,12,55,5,69,6,0,146,22,0,15,0,0,36,0,0,4,0,0,6,3,0,5,3,0,12,5,0,10,0,0,19,13,0,11,0,0,19,0,0,10,0,0,15,3,0,3,0,0,13,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,10,0,3,14,50,4,58,9,3,124,11,0,8,0,0,21,5,0
LGA11200,7,0,12,3,0,30,4,0,7,0,0,20,10,0,18,0,4,27,3,0,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7,0,7,0,0,11,31,8,50,5,3,104,14,0,0,0,0,17,14,0,15,0,3,31,10,0,12,0,0,19,7,0,6,0,0,16,0,0,0,0,0,5,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6,44,9,43,0,8,103,5,0,4,0,0,5,4,0
LGA11250,15,0,12,0,0,30,5,0,3,0,0,12,38,0,16,0,6,65,62,6,62,3,4,145,39,6,27,0,0,67,28,4,22,0,0,52,10,0,24,0,0,31,4,0,10,0,0,14,0,3,6,0,0,8,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,13,0,6,0,4,22,217,16,184,4,22,447,12,0,6,0,0,21,14,0,9,0,0,24,19,8,14,0,3,39,37,0,31,0,7,80,26,6,34,0,5,63,56,5,35,3,0,100,37,4,34,0,3,84,15,0,24,0,0,36,0,0,0,0,0,0,0,0,3,0,0,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6,9,0,11,0,0,14,221,21,197,9,21,468,4,0,3,0,0,9,9,5
LGA11300,8,0,6,0,0,6,4,0,5,0,0,4,18,0,5,0,0,29,22,0,9,0,0,34,13,0,4,0,0,20,59,0,19,0,0,89,108,0,60,10,8,188,368,20,201,25,27,639,258,17,173,32,21,500,75,8,75,10,9,172,25,4,27,10,0,66,8,6,17,4,0,36,3,0,3,3,4,13,4,4,10,4,4,18,33,5,6,0,8,57,1009,66,618,103,82,1880,0,0,0,0,0,5,3,0,0,0,0,3,8,0,0,0,0,13,29,0,5,4,3,43,5,0,6,0,0,12,27,0,15,0,0,51,60,3,14,8,3,88,217,3,148,10,8,388,446,22,267,36,34,804,264,30,167,36,17,505,139,13,98,22,11,281,46,8,40,5,0,101,16,0,14,3,0,46,14,3,14,0,6,39,34,0,18,8,3,65,1325,84,811,132,88,2445,0,0,0,0,0,0,0,0
LGA11350,3,0,0,0,0,12,5,0,0,0,0,5,12,0,4,0,0,23,21,0,11,3,3,38,21,0,12,0,0,40,46,0,16,7,3,70,91,8,90,5,6,198,174,24,203,16,17,440,60,15,90,6,4,174,22,8,53,6,5,90,5,7,12,0,0,29,0,0,6,0,0,14,0,0,5,0,0,10,4,0,4,0,0,7,9,0,14,3,0,35,483,72,518,51,49,1178,3,0,0,0,0,4,0,0,0,0,0,3,3,0,8,0,0,11,13,0,0,0,3,20,25,0,13,4,0,38,22,0,18,0,7,45,62,0,29,0,0,98,139,15,145,6,12,318,107,19,131,16,14,287,78,9,101,9,7,200,32,5,44,5,6,84,11,3,23,0,0,41,13,0,8,4,0,31,12,0,19,3,0,34,7,5,16,6,0,31,532,57,547,50,48,1240,6,0,0,0,0,6,0,0
LGA11400,9,0,4,0,0,14,4,0,3,0,0,14,19,4,14,3,3,45,30,10,40,4,7,88,10,5,19,0,8,39,18,0,16,0,0,38,10,3,13,0,0,33,4,0,4,0,0,8,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,17,0,12,0,0,26,118,27,129,11,20,306,5,0,6,0,0,10,0,0,3,0,0,3,17,3,7,0,3,30,18,4,20,0,7,47,21,6,15,0,5,42,24,6,39,0,0,69,6,6,37,3,3,58,4,6,13,0,0,21,5,0,6,0,0,5,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,11,4,13,0,0,33,115,25,156,13,18,327,7,0,6,0,0,13,0,0
LGA11450,7,0,0,0,0,13,6,0,0,0,0,6,18,0,10,3,7,42,19,3,14,0,3,38,20,0,5,4,0,35,35,5,26,0,14,81,110,26,134,14,17,297,184,51,284,33,54,607,72,47,213,31,44,404,17,18,37,16,10,89,6,0,6,0,0,11,3,0,3,0,0,9,0,0,0,0,0,0,0,0,0,0,4,7,17,6,11,0,4,47,523,154,736,103,160,1679,0,0,0,0,0,0,0,0,0,0,0,4,13,0,4,0,0,19,33,0,5,3,3,45,13,0,6,0,0,22,37,6,39,3,0,83,63,0,38,4,11,108,236,23,252,24,52,587,356,98,520,61,115,1154,125,77,268,49,61,579,13,8,40,10,13,80,7,5,12,4,5,29,0,0,0,0,0,0,6,0,4,0,0,7,36,0,32,7,6,79,934,220,1218,159,277,2807,5,0,0,0,0,5,0,0
LGA11500,24,0,16,0,3,44,13,8,14,0,7,35,280,22,75,18,37,441,149,67,191,30,78,511,123,33,139,20,57,365,312,77,361,49,138,939,635,135,876,73,170,1892,323,123,591,69,105,1200,58,31,104,19,37,248,7,3,15,0,9,39,0,0,0,0,0,8,0,0,3,0,0,9,0,0,0,0,0,0,8,0,11,0,0,18,72,20,58,11,25,195,1998,521,2460,301,668,5943,20,0,8,0,0,28,16,0,4,0,5,22,62,11,34,5,11,112,265,20,98,11,36,431,93,11,67,16,37,224,110,40,102,24,54,327,422,78,508,50,121,1181,1085,259,1653,151,278,3418,329,137,575,83,129,1246,68,39,137,13,29,292,10,7,14,3,7,41,10,0,9,0,0,18,3,0,4,0,0,6,0,0,5,0,0,9,70,10,70,12,31,186,2562,612,3289,358,727,7555,7,0,0,0,0,9,12,0
LGA11520,0,0,0,0,0,10,12,0,0,0,0,11,48,0,4,0,4,59,37,0,13,6,6,68,46,0,28,0,7,82,44,0,21,5,3,73,116,3,62,5,14,205,473,15,250,21,23,783,774,33,447,42,39,1340,534,37,375,32,36,1020,198,13,204,28,14,451,94,12,114,23,11,250,45,8,54,12,0,125,43,10,60,11,13,138,56,3,23,8,5,104,2531,143,1674,192,180,4713,7,0,0,0,0,5,0,0,3,0,0,4,21,0,5,0,0,27,34,0,8,0,0,48,31,0,8,5,3,46,65,0,30,0,11,94,82,3,24,8,12,127,221,6,106,10,17,356,979,20,397,29,32,1457,908,28,565,43,50,1591,659,34,498,50,54,1297,231,24,253,28,32,560,80,13,138,17,17,274,107,31,167,24,23,353,72,8,48,11,8,142,3504,166,2241,230,244,6385,0,0,0,0,0,3,9,0
LGA11570,68,3,17,5,3,102,46,0,16,5,3,75,611,33,108,26,59,846,343,80,194,79,71,768,195,49,173,32,42,491,546,102,650,74,99,1462,1592,251,2299,199,252,4589,1439,451,2402,310,354,4952,459,259,955,131,179,1983,126,72,292,36,50,569,38,15,81,15,12,157,19,9,17,3,3,52,4,0,4,0,0,9,17,0,36,3,9,60,191,44,192,44,56,528,5691,1373,7443,946,1200,16652,22,0,10,0,0,34,54,0,6,3,8,64,161,7,54,12,17,249,554,25,139,48,60,823,250,31,93,34,62,471,257,61,191,49,88,647,901,138,1204,102,134,2481,2412,378,3668,325,326,7110,1355,466,2227,271,441,4755,546,303,1082,182,212,2325,232,141,449,87,85,991,53,21,114,24,30,242,27,4,46,5,12,97,24,10,39,11,9,81,219,40,209,49,81,598,7061,1635,9522,1206,1542,20966,28,0,19,0,0,50,50,0
LGA11600,6,0,11,0,0,16,3,0,0,0,0,3,9,0,9,0,0,21,15,3,9,0,0,23,0,0,0,0,0,7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,5,5,0,0,14,43,8,43,0,0,91,3,0,3,0,0,13,0,0,0,0,0,0,7,0,3,0,3,20,7,0,13,0,0,21,8,0,9,0,0,19,8,0,9,0,0,21,0,0,3,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,10,0,9,0,3,19,48,3,51,7,6,118,3,0,3,0,0,11,0,0
LGA11650,28,3,18,0,0,56,53,5,8,0,5,64,330,7,56,10,18,422,338,37,146,23,39,587,357,22,213,30,61,686,923,97,762,70,114,1965,1663,232,1757,109,248,4010,829,274,1342,150,243,2834,203,89,336,35,59,729,46,37,98,23,20,230,24,10,35,5,4,83,13,4,10,0,0,27,4,0,0,0,0,6,23,3,18,0,4,50,131,8,97,22,16,279,4973,833,4902,485,835,12027,11,0,4,0,0,17,16,0,0,0,0,18,90,0,22,3,11,132,292,7,39,17,28,381,165,12,73,10,19,281,384,23,161,22,47,633,1193,83,793,84,181,2338,2059,260,2200,197,391,5103,740,252,1153,160,178,2482,199,71,323,73,76,739,64,34,101,20,25,252,19,10,41,13,6,88,12,3,22,0,3,42,9,10,27,5,4,50,112,17,98,11,30,270,5372,784,5051,616,999,12831,24,0,9,0,0,34,16,0
