LGA_CODE_2021,Ot_ty_Ed_Ins_Ft_st_C11_P,Ot_ty_Ed_Ins_Ft_st_C16_M,Ot_ty_Ed_Ins_Ft_st_C16_F,Ot_ty_Ed_Ins_Ft_st_C16_P,Ot_ty_Ed_Ins_Ft_st_C21_M,Ot_ty_Ed_Ins_Ft_st_C21_F,Ot_ty_Ed_Ins_Ft_st_C21_P,Ot_ty_Ed_Ins_Pt_st_C11_M,Ot_ty_Ed_Ins_Pt_st_C11_F,Ot_ty_Ed_Ins_Pt_st_C11_P,Ot_ty_Ed_Ins_Pt_st_C16_M,Ot_ty_Ed_Ins_Pt_st_C16_F,Ot_ty_Ed_Ins_Pt_st_C16_P,Ot_ty_Ed_Ins_Pt_st_C21_M,Ot_ty_Ed_Ins_Pt_st_C21_F,Ot_ty_Ed_Ins_Pt_st_C21_P,O_t_E_I_F_P_s_s_ns_C11_M,O_t_E_I_F_P_s_s_ns_C11_F,O_t_E_I_F_P_s_s_ns_C11_P,O_t_E_I_F_P_s_s_ns_C16_M,O_t_E_I_F_P_s_s_ns_C16_F,O_t_E_I_F_P_s_s_ns_C16_P,O_t_E_I_F_P_s_s_ns_C21_M,O_t_E_I_F_P_s_s_ns_C21_F,O_t_E_I_F_P_s_s_ns_C21_P,Oth_ty_Edu_Ins_Tot_C11_M,Oth_ty_Edu_Ins_Tot_C11_F,Oth_ty_Edu_Ins_Tot_C11_P,Oth_ty_Edu_Ins_Tot_C16_M,Oth_ty_Edu_Ins_Tot_C16_F,Oth_ty_Edu_Ins_Tot_C16_P,Oth_ty_Edu_Ins_Tot_C21_M,Oth_ty_Edu_Ins_Tot_C21_F,Oth_ty_Edu_Ins_Tot_C21_P,Type_Educ_Insti_ns_C11_M,Type_Educ_Insti_ns_C11_F,Type_Educ_Insti_ns_C11_P,Type_Educ_Insti_ns_C16_M,Type_Educ_Insti_ns_C16_F,Type_Educ_Insti_ns_C16_P,Type_Educ_Insti_ns_C21_M,Type_Educ_Insti_ns_C21_F,Type_Educ_Insti_ns_C21_P,Tot_C11_M,Tot_C11_F,Tot_C11_P,Tot_C16_M,Tot_C16_F,Tot_C16_P,Tot_C21_M,Tot_C21_F,Tot_C21_P
LGA21180,1114,688,826,1508,759,665,1423,505,900,1404,616,1110,1727,675,962,1635,33,39,72,18,32,52,30,27,53,1051,1541,2589,1323,1968,3290,1461,1656,3118,8436,8045,16483,7322,7209,14534,6428,5885,12308,29316,29446,58754,30315,30919,61235,30063,29745,59807
LGA21270,12,4,3,3,5,4,3,3,11,15,5,6,12,12,13,26,0,0,3,0,0,0,0,0,0,8,20,30,6,9,16,15,17,26,185,176,367,321,314,640,315,265,575,802,800,1602,905,866,1771,842,803,1645
LGA21370,51,21,34,58,27,24,52,57,133,184,27,99,125,50,110,159,0,4,4,0,3,6,0,6,6,78,159,239,45,130,176,81,142,219,1220,1281,2507,1602,1703,3302,1449,1399,2847,4978,5175,10150,5029,5263,10293,5136,5466,10602
LGA21450,165,102,137,239,203,182,388,114,367,486,159,377,538,296,475,771,0,12,11,5,5,12,4,5,9,199,474,666,262,521,783,504,668,1170,2137,2146,4276,2986,3054,6037,2964,3031,5995,11024,11823,22849,14252,15048,29299,18342,19475,37808
LGA21610,763,542,717,1267,912,915,1829,497,1135,1627,648,1445,2094,1212,1747,2958,20,28,52,22,34,59,22,24,43,849,1592,2446,1215,2203,3414,2145,2683,4835,7748,7568,15318,8820,8884,17706,8655,8447,17106,39882,40561,80449,46965,48541,95508,59199,61146,120350
LGA21670,34,8,19,30,4,9,19,23,49,71,16,30,49,15,33,51,0,0,0,0,0,0,3,0,5,38,65,104,28,54,80,22,46,72,427,391,816,530,566,1102,547,528,1072,1505,1540,3043,1620,1656,3278,1641,1676,3314
LGA21750,16,14,18,33,28,27,49,44,81,119,28,48,77,33,49,80,5,0,8,0,0,4,0,4,4,51,89,143,42,68,112,66,77,135,647,662,1309,882,844,1731,789,745,1532,2657,2766,5426,2826,2823,5648,2937,2955,5894
LGA21830,41,16,11,21,10,16,19,17,43,63,11,34,44,6,27,35,0,4,4,0,3,4,0,0,0,38,71,106,25,45,75,19,38,60,464,466,933,751,741,1492,624,561,1188,2236,2354,4591,2323,2279,4602,2145,2146,4292
LGA21890,604,320,320,638,290,283,573,310,576,885,329,611,938,398,540,939,17,20,40,0,5,10,6,5,8,621,906,1525,650,942,1586,696,824,1522,5357,4931,10290,5334,5729,11066,3286,3263,6549,20574,21537,42112,22557,24093,46649,20815,22135,42952
LGA22110,68,23,41,62,51,39,88,48,118,168,52,111,161,57,122,185,3,0,7,3,0,9,6,7,16,83,153,240,76,153,234,122,172,294,1375,1340,2719,2167,2343,4507,1935,1933,3873,5206,5464,10675,5742,6281,12022,5800,6356,12156
LGA22170,279,168,190,354,191,201,395,226,554,776,241,523,764,292,501,787,14,17,30,8,8,17,0,7,7,372,717,1088,410,723,1136,484,715,1196,4307,4596,8897,4546,4804,9350,3681,3640,7318,17910,18904,36813,18534,19957,38484,19460,20521,39979
LGA22250,19,0,4,12,5,6,9,8,23,30,8,17,18,10,20,35,0,0,0,0,0,0,0,0,0,16,38,49,10,26,29,18,25,45,375,380,757,452,465,914,451,437,887,1317,1368,2689,1318,1390,2709,1282,1351,2637
LGA22310,380,219,237,449,263,214,479,281,486,768,296,504,799,410,574,988,9,15,20,7,10,16,9,10,18,501,667,1166,517,748,1267,680,799,1478,3788,3794,7583,3583,3724,7310,2413,2722,5142,19862,20106,39968,22151,22738,44884,22587,23245,45832
LGA22410,42,13,27,38,19,16,38,15,76,91,31,67,98,26,55,71,0,3,3,0,4,3,0,3,6,33,106,134,47,101,142,42,75,114,616,658,1277,942,909,1852,751,698,1445,2620,2798,5417,2627,2735,5358,2478,2585,5066
LGA22490,47,13,23,37,27,22,49,28,81,105,25,70,95,49,67,116,4,0,5,3,0,5,0,0,4,46,110,157,40,94,132,77,92,169,500,487,993,728,702,1436,659,600,1260,2865,2870,5738,3390,3440,6830,3850,3852,7703
LGA22620,217,90,116,205,173,166,338,176,355,535,172,305,476,221,354,570,14,10,17,11,5,14,3,4,11,275,487,770,269,430,698,403,517,922,3087,3180,6265,4228,4432,8656,3528,3589,7115,14189,15519,29713,16053,17116,33165,16994,18190,35180
LGA22670,1078,589,669,1258,657,647,1308,452,818,1271,598,928,1530,629,928,1554,25,36,62,15,16,36,18,26,39,991,1422,2410,1201,1615,2817,1307,1606,2904,5786,5391,11178,5594,5213,10805,4913,4331,9240,21306,20686,41995,23985,23239,47221,24395,24304,48701
LGA22750,522,289,368,652,413,404,817,429,871,1300,465,821,1283,553,895,1448,19,8,34,14,20,28,15,8,20,705,1150,1853,760,1201,1968,985,1304,2289,6807,6100,12907,8393,8079,16470,7592,6611,14214,30350,31047,61391,34458,35429,69881,39073,40009,79080
LGA22830,135,90,95,191,96,100,198,101,187,291,95,197,291,151,225,377,4,9,9,10,3,12,13,5,11,174,262,434,193,298,488,259,327,587,2468,2227,4698,3189,3025,6209,2835,2505,5343,8988,9129,18117,9867,10066,19931,10411,10466,20879
LGA22910,36,7,18,31,12,13,19,29,63,88,16,34,48,26,58,83,0,0,0,0,0,0,0,0,0,45,78,117,29,56,78,33,71,104,492,521,1015,745,843,1589,648,709,1353,1805,1990,3803,1954,2236,4186,2030,2224,4255
LGA22980,12,7,6,6,10,11,18,14,18,31,11,22,33,11,21,28,0,0,0,0,0,0,0,0,0,21,22,44,11,31,36,19,29,46,170,168,330,210,242,449,193,186,380,734,720,1452,664,755,1414,655,701,1360
LGA23110,343,140,178,313,168,169,337,229,358,583,200,411,612,260,348,612,13,7,20,8,9,12,3,6,6,414,537,943,347,591,943,438,518,955,3030,2935,5960,2699,2817,5515,2177,2032,4209,12097,12119,24222,12361,13032,25396,12845,13365,26213
LGA23190,18,17,21,35,28,19,47,30,33,63,28,64,88,43,85,130,4,0,4,0,4,6,0,5,6,44,44,80,47,84,130,74,106,178,531,545,1081,646,666,1313,593,556,1153,2422,2577,4999,2568,2640,5209,2725,2823,5550
LGA23270,684,552,697,1249,905,966,1871,361,675,1038,483,952,1438,823,1343,2170,26,23,50,23,19,45,23,16,39,691,1087,1774,1065,1665,2727,1750,2327,4077,6473,6485,12952,6838,6841,13683,7020,6503,13520,26878,28178,55051,31814,32916,64734,40299,41284,81582
LGA23350,9,3,12,14,21,20,39,14,36,50,14,37,57,15,42,62,0,0,0,0,0,0,0,4,3,24,41,60,20,53,69,32,66,99,569,405,976,742,587,1332,666,513,1177,2204,2251,4454,2299,2372,4672,2416,2492,4910
LGA23430,349,229,208,439,264,219,487,255,521,771,306,556,865,366,549,915,17,10,26,6,18,22,6,3,9,445,705,1151,541,787,1322,633,774,1411,4357,4179,8536,4096,4504,8601,2721,2788,5508,19848,20078,39927,21268,22105,43370,21660,22437,44094
LGA23670,268,167,234,402,233,249,481,280,672,952,302,652,950,421,582,1001,14,14,25,4,9,15,13,3,13,411,835,1245,467,902,1373,669,836,1501,3264,3190,6460,3365,3522,6887,2524,2622,5147,20851,21525,42375,21265,21847,43110,21829,22103,43933
LGA23810,147,93,68,161,93,80,173,95,229,323,102,250,355,143,229,368,8,13,17,6,8,9,6,6,13,179,309,490,200,325,524,241,314,556,2555,2620,5181,3201,3386,6588,2935,2981,5913,10138,10789,20926,10210,11035,21247,10633,11250,21884
LGA23940,13,3,12,11,4,6,7,13,19,29,7,18,23,10,14,22,0,0,0,0,0,0,4,0,4,10,27,43,11,24,35,13,17,33,269,241,511,464,414,876,432,426,860,899,957,1850,1014,1061,2079,1020,1148,2168
LGA24130,76,24,35,59,29,42,72,78,181,259,65,167,229,90,123,222,0,3,3,4,3,5,5,0,5,116,226,340,90,204,290,124,168,296,1059,1079,2136,1650,1781,3426,1320,1348,2662,6185,6467,12653,6885,7281,14171,7574,7886,15459
LGA24210,217,149,168,318,172,169,337,221,465,690,282,498,782,346,553,905,11,16,20,8,3,13,3,6,15,337,593,927,433,670,1111,518,732,1255,2443,2605,5049,2494,2816,5309,1847,2019,3863,15996,16187,32186,16906,17034,33939,17749,17801,35555
LGA24250,16,4,4,6,5,3,16,9,37,43,11,31,38,23,35,60,9,0,9,0,0,0,3,0,5,21,41,65,15,34,48,36,34,69,217,210,424,413,398,805,398,395,796,984,1089,2078,1207,1288,2491,1371,1528,2896
LGA24330,455,224,344,567,279,231,508,238,372,609,265,457,720,314,423,730,6,12,16,10,7,16,10,3,15,459,621,1077,495,807,1302,601,658,1258,3793,2910,6705,3190,3109,6302,2416,2095,4504,11958,11185,23146,13346,13231,26574,12871,12677,25546
LGA24410,266,178,188,358,158,139,300,214,475,685,241,485,732,296,513,804,10,8,19,12,3,17,0,6,8,345,630,969,431,678,1104,462,655,1115,2257,2531,4789,2475,2847,5321,1787,1969,3754,14460,14917,29381,15345,16028,31367,16055,16519,32576
LGA24600,695,728,1066,1794,752,967,1714,271,460,728,705,889,1597,879,1166,2050,4,8,9,7,17,20,3,5,13,562,876,1434,1442,1975,3417,1643,2141,3775,6209,5109,11321,8284,7967,16247,5720,5405,11126,19412,20345,39759,30050,34257,64311,27255,30165,57423
LGA24650,281,245,312,560,455,502,955,234,500,733,305,640,945,511,848,1364,5,7,16,12,17,28,8,13,14,339,688,1030,562,968,1526,970,1362,2330,4324,3917,8237,5190,4955,10144,6541,4929,11466,17264,17495,34755,22324,23138,45462,31186,31274,62461
LGA24780,103,54,63,114,80,78,157,78,131,210,63,142,204,117,199,311,0,3,0,6,0,7,8,6,20,126,191,323,118,211,328,206,285,485,1914,2020,3937,2603,2581,5184,2432,2301,4730,7443,7779,15218,7970,8272,16243,8160,8584,16740
LGA24850,124,81,45,120,74,74,145,40,121,160,58,131,188,112,168,282,3,5,6,0,0,3,4,0,6,123,164,286,137,172,308,197,243,434,1225,1224,2446,1818,1903,3726,1575,1492,3068,5229,5467,10695,6384,6560,12944,7407,7528,14937
LGA24900,68,38,32,71,23,18,39,31,77,113,33,77,115,37,79,116,3,0,7,3,0,0,4,0,3,59,125,183,77,110,184,62,96,159,1095,1063,2159,1371,1350,2724,1196,1184,2379,3808,4005,7813,4012,4167,8177,3977,4206,8187
LGA24970,559,354,326,683,591,472,1057,349,592,943,405,663,1068,598,729,1325,8,12,20,6,10,17,11,8,23,663,855,1514,771,1002,1771,1194,1204,2399,4568,4287,8856,4497,4748,9249,4134,3761,7890,27553,26449,54001,31416,31238,62653,31727,30054,61777
LGA25060,324,157,251,406,194,176,372,210,404,618,256,459,714,286,420,708,3,11,18,8,12,23,9,10,17,369,594,967,419,723,1143,487,609,1092,3584,3670,7260,3655,4007,7663,2282,2358,4638,15465,16269,31732,17146,17996,35140,16995,17551,34548
LGA25150,64,55,44,89,65,55,115,36,130,162,70,127,193,66,117,183,3,0,6,0,6,6,0,5,3,60,161,230,115,174,290,127,176,308,900,791,1693,1099,1124,2230,966,900,1866,4145,4226,8375,4617,4908,9518,5322,5629,10958
LGA25250,673,384,358,736,407,338,747,358,611,978,427,644,1070,505,669,1174,18,14,36,13,17,31,10,9,16,764,913,1680,824,1022,1839,919,1014,1940,5857,5350,11208,5338,5464,10805,3784,3732,7511,21986,22452,44431,24119,25015,49135,24340,25872,50212
LGA25340,315,157,134,291,182,122,303,199,503,701,221,516,734,260,470,725,4,12,17,5,11,22,5,13,20,399,633,1030,380,659,1045,443,599,1045,4717,5417,10133,4885,5422,10305,4642,4996,9640,19621,20844,40461,20417,21717,42137,22012,23172,45182
LGA25430,25,4,9,17,6,10,20,27,76,101,24,68,92,24,62,92,0,3,5,0,0,3,3,0,4,42,89,134,31,82,110,34,77,113,1009,729,1744,1506,907,2418,1232,851,2079,2685,2596,5278,3048,2600,5651,2994,2735,5727
LGA25490,19,4,11,13,10,17,27,20,37,59,22,39,66,16,28,48,3,0,3,3,3,9,0,0,4,30,46,79,32,49,81,29,44,77,473,499,972,776,749,1528,590,568,1159,2171,2447,4618,2448,2578,5029,2412,2583,4996
LGA25620,22,9,11,23,8,5,7,24,55,79,12,45,57,19,42,68,0,0,0,0,0,3,0,0,4,36,69,102,24,54,80,29,51,76,495,448,939,698,685,1383,734,645,1378,1659,1745,3406,1869,1910,3779,2029,2000,4031
LGA25710,99,50,56,109,36,43,83,107,278,389,101,172,272,118,213,327,0,3,5,0,0,0,5,3,7,148,341,487,153,228,382,162,259,418,1230,1244,2473,1401,1409,2804,845,850,1692,9710,9913,19621,9617,9745,19352,9261,9566,18822
LGA25810,21,17,8,29,9,16,26,25,31,54,10,26,41,22,36,58,5,0,4,0,0,0,0,0,5,35,42,75,27,39,69,35,51,90,374,350,723,459,488,952,583,537,1119,1481,1507,2989,1370,1467,2833,1547,1568,3122
LGA25900,293,169,179,352,156,168,327,245,463,706,293,512,800,353,481,835,3,7,12,10,8,17,7,4,16,397,621,1015,464,699,1166,517,657,1176,4441,3703,8148,5189,5205,10401,3345,3268,6620,11752,12097,23852,13622,14793,28421,13016,14240,27257
LGA25990,7,8,6,13,5,8,10,11,22,32,7,20,25,9,18,27,0,0,0,0,0,3,0,0,0,9,31,38,16,26,39,6,23,31,325,195,522,699,320,1019,645,343,988,943,854,1798,1264,950,2212,1243,1028,2272
LGA26080,5,0,0,0,0,0,0,3,9,8,0,3,7,3,10,8,0,0,0,0,0,0,0,0,0,0,14,16,4,6,8,3,9,13,92,106,195,129,139,267,121,111,230,344,388,729,352,378,724,354,347,702
LGA26170,43,29,27,53,41,26,64,30,65,93,36,70,108,28,72,99,0,0,0,3,4,3,4,0,5,57,85,142,71,104,171,73,101,173,805,753,1560,1225,1300,2529,1048,1038,2092,3374,3715,7094,3827,4159,7989,3962,4121,8084
LGA26260,37,8,13,22,18,15,29,27,39,73,17,40,64,22,33,49,0,0,0,0,0,5,0,4,5,46,64,106,33,56,85,42,39,83,404,409,819,560,594,1156,492,522,1019,2127,2246,4372,2098,2122,4219,2098,2183,4281
LGA26350,209,111,168,278,132,175,307,194,347,541,211,425,636,247,413,656,13,13,24,0,6,8,5,7,11,283,491,773,326,600,926,380,590,972,3633,3442,7077,3871,4194,8071,2411,2625,5031,13645,14451,28099,15091,17085,32180,13715,15270,28981
LGA26430,12,7,8,16,11,7,19,17,36,50,10,29,41,16,27,45,0,0,0,0,0,4,0,0,0,22,44,64,19,33,58,28,35,64,335,326,661,466,521,987,526,524,1052,1118,1147,2265,1262,1393,2651,1408,1477,2884
LGA26490,41,20,22,40,12,18,35,45,79,120,51,97,146,71,108,182,0,0,0,0,3,0,0,0,4,68,98,164,71,117,189,90,132,214,766,737,1506,905,926,1832,1008,1008,2013,3825,3819,7648,4381,4445,8818,5602,5674,11274
LGA26610,37,18,26,37,26,23,50,34,48,80,24,44,63,35,55,88,0,0,0,3,4,4,5,0,5,52,65,120,35,66,109,60,79,145,848,818,1666,1428,1321,2751,968,892,1859,2899,2933,5832,3345,3347,6690,3014,3140,6151
LGA26670,7,0,5,11,0,5,9,7,20,26,10,19,26,8,14,21,4,0,0,0,0,0,0,0,0,11,24,39,10,26,38,12,21,32,128,144,267,279,241,526,281,260,541,735,819,1555,817,767,1580,797,845,1638
LGA26700,32,17,21,35,41,39,77,28,79,106,25,68,93,55,78,133,0,0,0,0,0,0,0,0,5,47,84,136,41,84,126,93,117,213,752,808,1562,1128,1313,2449,860,915,1773,3459,3829,7285,3798,4215,8014,3838,4206,8043
LGA26730,45,21,25,46,24,23,47,42,78,123,46,88,136,50,94,151,3,0,9,0,3,6,0,3,0,67,107,177,64,116,184,76,126,203,1144,1167,2315,1255,1394,2654,1035,1015,2043,4655,5090,9750,4623,5151,9777,4808,5083,9893
LGA26810,77,35,44,82,59,40,99,49,82,135,55,110,168,56,115,171,0,6,7,0,9,9,8,6,9,88,126,212,94,157,252,123,157,280,2173,1326,3499,2647,1852,4499,2470,1632,4101,6274,5710,11984,6595,6100,12699,6718,6337,13054
LGA26890,3,4,4,9,7,5,9,3,5,12,5,6,13,6,9,16,0,0,0,0,0,0,0,0,0,4,11,12,6,14,18,8,14,26,133,121,252,122,131,253,172,179,353,501,563,1065,461,506,966,482,512,991
LGA26980,426,306,309,622,403,333,737,344,667,1008,444,757,1198,529,766,1299,8,16,22,8,11,18,11,8,18,548,912,1456,757,1077,1833,941,1109,2053,3958,4032,7989,3449,3928,7377,3068,3282,6348,23626,24352,47977,25892,26603,52495,26268,26980,53243
LGA27070,508,376,461,843,629,623,1252,287,618,908,422,778,1203,723,1003,1728,3,25,34,19,26,43,16,10,24,513,933,1452,819,1262,2080,1373,1629,3003,5254,5055,10304,5576,5917,11495,5183,5175,10358,22925,23475,46403,29596,30477,60072,36025,36716,72743
LGA27170,224,123,76,191,94,49,144,53,128,180,60,133,191,88,133,223,0,3,7,8,4,9,0,4,4,226,187,404,188,205,395,188,188,371,1050,908,1955,1379,1369,2740,1087,1076,2157,5579,5680,11259,5975,6276,12249,6337,6745,13084
LGA27260,780,542,673,1219,1257,1075,2333,382,963,1341,574,1215,1783,1123,1615,2742,11,30,46,17,29,41,23,17,45,767,1396,2165,1129,1909,3041,2413,2710,5116,6163,5322,11483,7579,6593,14176,9360,7932,17294,25472,25743,51214,35263,35232,70496,52569,51754,104320
LGA27350,270,108,222,333,97,171,272,214,346,557,244,425,665,284,343,629,5,9,13,0,8,15,9,0,11,312,525,841,353,655,1010,394,514,907,3420,3037,6460,4052,4188,8239,2450,2250,4698,10433,11532,21962,12071,13939,26008,10960,12531,23495
LGA27450,296,119,160,280,142,145,280,285,726,1011,268,569,831,308,547,857,9,11,18,9,10,16,5,3,12,412,914,1328,395,737,1133,451,693,1148,3875,3798,7675,4084,4319,8400,3021,2783,5803,20943,22093,43041,21040,22013,43050,21369,21941,43309
LGA27630,25,12,9,27,13,9,17,7,20,30,7,11,15,12,15,25,0,0,0,0,0,6,0,0,0,19,35,52,22,26,42,28,17,44,240,248,489,313,328,648,263,268,528,886,932,1822,905,895,1801,857,849,1708
LGA29399,0,0,0,3,0,0,0,3,0,5,0,0,0,0,6,11,0,0,0,0,0,0,0,0,0,3,8,7,0,0,3,0,6,6,54,38,92,120,112,237,127,124,251,112,90,202,184,180,360,179,204,375
LGA29499,54,17,26,46,13,11,25,15,32,50,36,27,65,17,25,39,0,3,7,0,3,3,0,0,0,45,67,111,55,61,113,27,40,71,1182,653,1837,1304,732,2038,2220,1366,3584,1730,1311,3044,1746,1278,3022,2670,1932,4600
LGA29799,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,3,25,3,29,0,0,0,4,0,4,25,3,29
LGA30250,5,4,0,4,0,0,0,3,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,8,10,0,3,0,0,0,32,20,49,26,30,56,52,50,99,183,168,347,166,175,338,126,137,261
LGA30300,5,4,8,13,0,6,6,5,8,10,4,3,7,7,10,14,0,0,4,0,0,0,0,0,0,5,8,11,10,7,20,8,17,22,227,172,394,210,196,412,208,203,407,647,656,1303,624,630,1251,589,641,1226
LGA30370,7,0,3,5,7,5,17,20,24,45,14,31,47,19,40,59,0,0,0,0,3,6,0,0,0,20,21,47,25,38,55,25,48,74,488,393,882,723,632,1354,1002,851,1854,1925,1926,3849,2108,2094,4201,2345,2286,4636
LGA30410,7,0,0,0,0,0,3,0,7,8,5,13,18,0,4,12,0,0,0,0,0,5,0,0,0,8,10,11,5,12,15,3,10,12,118,110,225,124,114,236,163,141,299,390,426,811,368,380,748,418,419,838
LGA30450,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,17,4,19,10,8,16,18,19,37,34,34,72,25,23,52,30,46,78
LGA30760,0,0,0,0,0,0,0,0,5,5,5,6,7,3,0,3,0,0,0,0,0,0,0,0,0,3,3,11,5,4,11,3,0,3,74,71,141,55,73,127,85,80,163,226,260,483,204,216,423,221,231,447
LGA30900,0,0,0,0,0,0,0,0,0,0,0,6,3,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,5,6,0,3,3,20,22,39,33,42,79,32,28,59,43,51,94,67,82,150,66,68,136
LGA31000,3402,2135,2590,4727,2387,2459,4842,1999,3327,5328,2380,3893,6275,3348,4802,8153,66,81,147,55,67,127,47,50,98,3752,5131,8880,4579,6550,11127,5778,7314,13096,35005,30148,65153,36682,34554,71240,29058,24382,53441,161415,164290,325706,180408,186895,367297,194649,201805,396452
LGA31750,0,0,0,0,0,0,0,0,0,0,0,5,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,5,0,0,0,25,13,34,31,13,39,17,5,18,58,32,88,44,41,92,41,33,74
LGA31820,134,76,89,163,104,103,207,112,228,340,148,257,404,221,288,511,7,9,13,6,6,16,4,3,4,184,309,490,233,351,589,334,391,724,3284,3132,6414,3721,3662,7379,3537,3232,6764,11757,12333,24091,12360,13011,25368,12637,13041,25681
LGA31900,9,5,4,10,15,8,20,8,22,25,13,34,48,26,40,68,0,0,3,0,4,4,0,0,0,10,28,39,21,43,62,37,49,89,677,602,1279,771,710,1480,862,719,1578,2295,2278,4573,2270,2280,4548,2307,2148,4454
LGA31950,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,4,71,37,109,34,32,70,51,34,89,93,67,160,54,46,96,73,59,131
LGA32080,204,172,226,394,219,259,477,239,521,758,282,579,859,439,721,1167,0,10,15,15,7,18,7,12,22,318,657,975,464,811,1279,676,996,1666,7243,6545,13788,7835,7723,15559,7809,6931,14747,22002,23353,45349,24463,26187,50645,26415,27879,54294
LGA32250,0,0,0,0,0,0,0,0,6,4,0,0,0,0,5,5,0,0,0,0,0,0,0,0,0,5,6,7,0,0,0,0,5,5,168,164,329,126,104,233,152,113,260,292,284,577,275,260,535,298,281,577
LGA32260,44,21,31,49,36,37,77,36,93,133,23,63,91,48,105,152,0,0,0,3,0,3,0,4,8,53,127,175,47,95,142,87,147,238,1148,969,2122,1631,1493,3130,1623,1380,3009,3543,3545,7095,4043,3971,8009,4123,3982,8104
LGA32270,10,11,24,37,42,27,62,41,80,114,46,93,138,62,103,173,3,0,8,0,0,3,0,0,0,51,87,135,59,119,180,107,129,236,1708,1067,2783,2063,1575,3637,1874,1268,3143,4664,4076,8736,4949,4625,9573,5021,4636,9660
LGA32310,23,16,10,22,5,5,16,4,35,41,12,31,45,8,18,27,0,0,3,4,0,4,0,0,0,15,48,64,28,37,71,14,27,47,599,471,1070,661,680,1341,877,730,1609,1820,1823,3638,1926,2018,3952,2024,2021,4043
LGA32330,0,7,3,6,0,0,0,0,4,7,5,4,5,0,0,0,0,0,0,0,0,0,0,0,0,0,3,4,7,11,15,0,0,0,17,6,24,35,28,67,26,16,44,195,172,361,225,202,429,211,195,403
LGA32450,5,0,0,0,0,3,3,4,5,5,10,9,14,7,3,6,0,0,0,5,0,5,0,0,0,10,5,11,8,9,13,7,4,14,296,159,451,269,210,481,361,224,590,528,438,969,484,468,951,676,531,1202
LGA32500,0,5,3,11,3,3,10,4,9,12,8,8,7,3,6,16,0,0,0,0,0,0,0,0,3,4,5,10,11,12,22,9,19,26,685,167,848,416,325,742,472,359,830,943,467,1414,701,660,1359,787,715,1498
LGA32600,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,26,17,38,43,34,79,23,16,42,47,35,78,56,56,116,38,39,82
LGA32750,0,0,0,0,3,0,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,6,11,9,19,17,29,47,32,24,53,20,22,40,50,52,95,47,36,79
LGA32770,3,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,9,5,6,0,0,0,3,0,3,34,20,54,29,22,48,57,50,101,211,167,380,265,221,486,213,192,405
LGA32810,18,13,9,20,9,15,24,12,30,45,10,43,52,20,42,62,0,0,0,5,0,4,3,0,4,24,45,63,27,46,71,34,64,93,648,534,1181,821,887,1711,765,684,1446,1487,1427,2916,1694,1784,3472,1720,1765,3488
LGA33100,0,3,0,3,0,0,0,0,3,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,3,4,0,4,0,0,5,39,31,75,55,42,98,48,44,92,83,89,166,98,103,199,91,99,183
LGA33200,3,0,0,0,0,0,0,0,7,7,3,4,8,3,3,7,0,0,0,0,0,0,0,0,0,0,8,11,7,4,6,3,3,7,89,63,152,72,75,147,82,103,187,249,219,464,181,173,349,208,232,440
LGA33220,141,88,144,234,115,114,236,134,260,390,145,258,407,175,323,495,9,9,15,8,3,12,0,5,8,204,350,552,236,409,647,291,447,736,3742,3265,7003,4931,4387,9316,4325,3524,7852,12489,13053,25536,13575,13980,27556,13706,14084,27789
LGA33360,67,45,44,92,86,78,162,88,157,244,93,245,340,167,250,419,0,7,11,5,5,10,0,4,4,119,198,325,145,301,442,252,331,580,2726,2198,4919,2612,2330,4942,2483,1994,4482,8537,8373,16915,9103,9557,18658,9558,9897,19460
LGA33430,1228,748,1001,1752,941,1015,1953,812,1633,2449,1025,2112,3133,1588,2539,4130,26,25,45,23,24,51,22,25,40,1385,2332,3720,1801,3141,4937,2547,3572,6121,19840,19286,39130,21553,22534,44086,18828,19122,37946,71957,76030,147982,81691,88064,169753,90973,98805,189782
LGA33610,11,0,3,6,4,12,15,15,25,38,9,26,36,14,30,42,0,0,0,0,0,0,0,0,0,26,26,44,18,29,45,22,34,58,465,477,943,611,587,1191,491,443,930,1502,1580,3086,1575,1659,3231,1474,1544,3017
