LGA_CODE_2021,Ot_ty_Ed_Ins_Ft_st_C11_P,Ot_ty_Ed_Ins_Ft_st_C16_M,Ot_ty_Ed_Ins_Ft_st_C16_F,Ot_ty_Ed_Ins_Ft_st_C16_P,Ot_ty_Ed_Ins_Ft_st_C21_M,Ot_ty_Ed_Ins_Ft_st_C21_F,Ot_ty_Ed_Ins_Ft_st_C21_P,Ot_ty_Ed_Ins_Pt_st_C11_M,Ot_ty_Ed_Ins_Pt_st_C11_F,Ot_ty_Ed_Ins_Pt_st_C11_P,Ot_ty_Ed_Ins_Pt_st_C16_M,Ot_ty_Ed_Ins_Pt_st_C16_F,Ot_ty_Ed_Ins_Pt_st_C16_P,Ot_ty_Ed_Ins_Pt_st_C21_M,Ot_ty_Ed_Ins_Pt_st_C21_F,Ot_ty_Ed_Ins_Pt_st_C21_P,O_t_E_I_F_P_s_s_ns_C11_M,O_t_E_I_F_P_s_s_ns_C11_F,O_t_E_I_F_P_s_s_ns_C11_P,O_t_E_I_F_P_s_s_ns_C16_M,O_t_E_I_F_P_s_s_ns_C16_F,O_t_E_I_F_P_s_s_ns_C16_P,O_t_E_I_F_P_s_s_ns_C21_M,O_t_E_I_F_P_s_s_ns_C21_F,O_t_E_I_F_P_s_s_ns_C21_P,Oth_ty_Edu_Ins_Tot_C11_M,Oth_ty_Edu_Ins_Tot_C11_F,Oth_ty_Edu_Ins_Tot_C11_P,Oth_ty_Edu_Ins_Tot_C16_M,Oth_ty_Edu_Ins_Tot_C16_F,Oth_ty_Edu_Ins_Tot_C16_P,Oth_ty_Edu_Ins_Tot_C21_M,Oth_ty_Edu_Ins_Tot_C21_F,Oth_ty_Edu_Ins_Tot_C21_P,Type_Educ_Insti_ns_C11_M,Type_Educ_Insti_ns_C11_F,Type_Educ_Insti_ns_C11_P,Type_Educ_Insti_ns_C16_M,Type_Educ_Insti_ns_C16_F,Type_Educ_Insti_ns_C16_P,Type_Educ_Insti_ns_C21_M,Type_Educ_Insti_ns_C21_F,Type_Educ_Insti_ns_C21_P,Tot_C11_M,Tot_C11_F,Tot_C11_P,Tot_C16_M,Tot_C16_F,Tot_C16_P,Tot_C21_M,Tot_C21_F,Tot_C21_P
LGA15700,31,5,7,16,15,18,29,17,35,56,14,41,55,15,26,40,0,0,3,0,0,0,0,0,4,31,56,87,26,47,74,28,43,67,604,660,1264,857,909,1762,838,860,1704,2434,2596,5035,2546,2756,5304,2574,2774,5343
LGA15750,0,4,10,8,6,22,23,5,35,36,10,26,37,13,22,37,0,0,0,0,0,0,0,0,0,5,33,38,21,31,52,19,41,58,512,495,1009,754,809,1565,730,645,1377,1789,1927,3720,1995,2139,4133,1982,2076,4057
LGA15800,3,4,0,4,10,0,11,10,16,24,4,7,14,4,7,9,0,0,0,0,0,0,0,0,0,13,19,26,3,7,12,16,12,26,257,278,530,335,371,704,285,261,550,839,928,1758,863,963,1824,831,905,1732
LGA15850,5,3,3,4,9,6,12,5,19,24,0,8,11,4,5,7,0,0,0,0,6,6,0,0,0,12,20,29,4,9,13,12,10,20,204,237,444,363,359,720,443,436,876,926,1002,1929,1006,1024,2037,1067,1081,2151
LGA15900,218,86,129,220,177,188,358,209,389,598,225,398,623,307,489,800,3,4,9,4,20,26,0,4,9,313,517,825,316,547,865,482,682,1163,4725,4511,9239,4506,4845,9351,4045,3962,8008,22636,23098,45742,24275,25152,49423,25411,26793,52205
LGA15950,155,60,107,168,76,107,179,192,325,512,142,287,435,205,331,530,3,5,10,0,0,0,0,5,5,260,421,679,206,401,605,274,434,710,2763,2737,5502,2541,2725,5269,1361,1529,2892,7823,8485,16309,8052,9183,17234,7854,8845,16700
LGA15990,405,202,244,452,222,259,483,458,908,1372,522,944,1463,574,823,1399,7,25,30,8,7,19,6,0,8,648,1153,1804,730,1195,1932,796,1087,1884,6552,6467,13020,6655,7425,14079,4325,4695,9018,34770,35165,69934,37842,39058,76898,38681,39611,78289
LGA16100,3,0,0,0,8,8,14,3,9,11,8,10,16,0,4,9,0,0,0,0,0,0,0,0,0,3,14,18,7,12,14,9,14,22,270,153,424,437,297,729,433,305,741,802,668,1469,911,783,1697,904,812,1716
LGA16150,33,22,24,48,31,45,78,49,84,138,48,105,157,48,95,146,3,0,8,0,3,8,0,3,3,72,109,182,77,126,202,86,145,226,1398,1309,2710,1448,1490,2939,1232,1261,2491,5758,6022,11778,6148,6441,12587,6654,6941,13598
LGA16200,15,5,3,4,8,12,21,4,23,25,12,37,49,14,16,29,0,3,3,0,0,0,0,0,0,18,30,46,12,44,58,26,26,51,644,635,1280,705,800,1506,569,536,1103,2224,2336,4558,2190,2438,4630,2091,2127,4218
