LGA_CODE_2021,C11_OO_DS_Sep_house,C11_OO_DS_SemiDRTHT,C11_OO_DS_F_a,C11_OO_DS_OD,C11_OO_DS_NS,C11_Owned_Outright_Tot,C11_OWM_DS_Sep_house,C11_OWM_DS_SemiDRTHT,C11_OWM_DS_F_a,C11_OWM_DS_OD,C11_OWM_DS_NS,C11_Owned_with_mortgage_Tot,C11_R_REA_DS_Sep_house,C11_R_REA_DS_SemiDRTHT,C11_R_REA_DS_F_a,C11_R_REA_DS_OD,C11_R_REA_DS_NS,C11_R_Real_Estate_Agent_Tot,C11_R_STHA_DS_Sep_house,C11_R_STHA_DS_SemiDRTHT,C11_R_STHA_DS_F_a,C11_R_STHA_DS_OD,C11_R_STHA_DS_NS,C11_R_ST_House_Auth_Tot,C11_R_CHP_DS_Sep_house,C11_R_CHP_DS_SemiDRTHT,C11_R_CHP_DS_F_a,C11_R_CHP_DS_OD,C11_R_CHP_DS_NS,C11_R_CHP_Tot,C11_R_PNISH_DS_Sep_house,C11_R_PNISH_DS_SemDRTHT,C11_R_PNISH_DS_F_a,C11_R_PNISH_DS_OD,C11_R_PNISH_DS_NS,C11_R_PNISH_Tot,C11_R_OLT_DS_Sep_house,C11_R_OLT_DS_SemDRTHT,C11_R_OLT_DS_F_a,C11_R_OLT_DS_OD,C11_R_OLT_DS_NS,C11_R_Oth_Llord_Type_Tot,C11_R_LT_NS_DS_Sep_house,C11_R_LT_NS_DS_SemDRTHT,C11_R_LT_NS_DS_F_a,C11_R_LT_NS_DS_OD,C11_R_LT_NS_DS_NS,C11_R_Llord_Type_NS_Tot,C11_R_Tot_DS_Sep_house,C11_R_Tot_DS_SemDRTHT,C11_R_Tot_DS_F_a,C11_R_Tot_DS_OD,C11_R_Tot_DS_NS,C11_R_Tot_Tot,C11_OTT_DS_Sep_house,C11_OTT_DS_SemiDRTHT,C11_OTT_DS_F_a,C11_OTT_DS_OD,C11_OTT_DS_NS,C11_OTT_Tot,C11_TT_NS_DS_Sep_house,C11_TT_NS_DS_SemiDRTHT,C11_TT_NS_DS_F_a,C11_TT_NS_DS_OD,C11_TT_NS_DS_NS,C11_TT_NS_Tot,C11_Tot_DS_Sep_house,C11_Tot_DS_SemiDRTHT,C11_Tot_DS_F_a,C11_Tot_DS_OD,C11_Tot_DS_NS,C11_Tot_Tot,C16_OO_DS_Sep_house,C16_OO_DS_SemiDRTHT,C16_OO_DS_F_a,C16_OO_DS_OD,C16_OO_DS_NS,C16_OO_Tot,C16_OWM_DS_Sep_house,C16_OWM_DS_SemiDRTHT,C16_OWM_DS_F_a,C16_OWM_DS_OD,C16_OWM_DS_NS,C16_OWM_Tot,C16_R_REA_DS_Sep_house,C16_R_REA_DS_SemiDRTHT,C16_R_REA_DS_F_a,C16_R_REA_DS_OD,C16_R_REA_DS_NS,C16_R_REA_Tot,C16_R_STHA_DS_Sep_house,C16_R_STHA_DS_SemiDRTHT,C16_R_STHA_DS_F_a,C16_R_STHA_DS_OD,C16_R_STHA_DS_NS,C16_R_STHA_Tot,C16_R_CHP_DS_Sep_house,C16_R_CHP_DS_SemiDRTHT,C16_R_CHP_DS_F_a,C16_R_CHP_DS_OD,C16_R_CHP_DS_NS,C16_R_CHP_Tot,C16_R_PNISH_DS_Sep_house,C16_R_PNISH_DS_SemDRTHT,C16_R_PNISH_DS_F_a,C16_R_PNISH_DS_OD,C16_R_PNISH_DS_NS,C16_R_PNISH_Tot,C16_R_OLT_DS_Sep_house,C16_R_OLT_DS_SemDRTHT,C16_R_OLT_DS_F_a,C16_R_OLT_DS_OD,C16_R_OLT_DS_NS,C16_R_OLT_Tot,C16_R_LT_NS_DS_Sep_house,C16_R_LT_NS_DS_SemDRTHT,C16_R_LT_NS_DS_F_a,C16_R_LT_NS_DS_OD,C16_R_LT_NS_DS_NS,C16_R_LT_NS_Tot,C16_R_Tot_DS_Sep_house,C16_R_Tot_DS_SemiDRTHT,C16_R_Tot_DS_F_a,C16_R_Tot_DS_OD,C16_R_Tot_DS_NS,C16_R_Tot_Tot,C16_OTT_DS_Sep_house,C16_OTT_DS_SemiDRTHT,C16_OTT_DS_F_a,C16_OTT_DS_OD,C16_OTT_DS_NS,C16_OTT_Tot,C16_TT_NS_DS_Sep_house,C16_TT_NS_DS_SemiDRTHT,C16_TT_NS_DS_F_a,C16_TT_NS_DS_OD,C16_TT_NS_DS_NS,C16_TT_NS_Tot,C16_Tot_DS_Sep_house,C16_Tot_DS_SemiDRTHT,C16_Tot_DS_F_a,C16_Tot_DS_OD,C16_Tot_DS_NS,C16_Tot_Tot,C21_OO_DS_Sep_house,C21_OO_DS_SemiDRTHT,C21_OO_DS_F_a,C21_OO_DS_OD,C21_OO_DS_NS,C21_OO_Tot,C21_OWM_DS_Sep_house,C21_OWM_DS_SemiDRTHT,C21_OWM_DS_F_a,C21_OWM_DS_OD,C21_OWM_DS_NS,C21_OWM_Tot,C21_R_REA_DS_Sep_house,C21_R_REA_DS_SemiDRTHT,C21_R_REA_DS_F_a,C21_R_REA_DS_OD,C21_R_REA_DS_NS,C21_R_REA_Tot,C21_R_STHA_DS_Sep_house,C21_R_STHA_DS_SemiDRTHT,C21_R_STHA_DS_F_a,C21_R_STHA_DS_OD,C21_R_STHA_DS_NS,C21_R_STHA_Tot,C21_R_CHP_DS_Sep_house,C21_R_CHP_DS_SemiDRTHT,C21_R_CHP_DS_F_a,C21_R_CHP_DS_OD,C21_R_CHP_DS_NS,C21_R_CHP_Tot,C21_R_PNISH_DS_Sep_house,C21_R_PNISH_DS_SemDRTHT,C21_R_PNISH_DS_F_a,C21_R_PNISH_DS_OD,C21_R_PNISH_DS_NS,C21_R_PNISH_Tot,C21_R_OLT_DS_Sep_house,C21_R_OLT_DS_SemDRTHT,C21_R_OLT_DS_F_a,C21_R_OLT_DS_OD,C21_R_OLT_DS_NS,C21_R_OLT_Tot,C21_R_LT_NS_DS_Sep_house,C21_R_LT_NS_DS_SemDRTHT,C21_R_LT_NS_DS_F_a,C21_R_LT_NS_DS_OD,C21_R_LT_NS_DS_NS,C21_R_LT_NS_Tot,C21_R_Tot_DS_Sep_house,C21_R_Tot_DS_SemiDRTHT,C21_R_Tot_DS_F_a,C21_R_Tot_DS_OD,C21_R_Tot_DS_NS,C21_R_Tot_Tot,C21_OTT_DS_Sep_house,C21_OTT_DS_SemiDRTHT
LGA15350,2148,521,1300,3,18,3989,1413,418,1007,3,11,2847,354,268,2105,4,10,2745,0,20,21,0,0,43,0,4,38,0,0,45,158,78,468,0,3,713,4,4,8,0,3,19,0,0,9,0,0,15,520,378,2651,6,23,3579,55,18,120,0,0,193,246,83,612,0,4,946,4386,1416,5684,18,52,11551,2036,582,1419,8,6,4053,1381,456,1091,0,10,2940,278,197,2381,25,5,2894,0,0,35,0,0,38,0,0,36,0,0,35,111,64,444,12,0,627,5,0,12,0,0,16,0,0,7,0,0,12,390,264,2917,41,6,3619,46,10,126,0,0,190,215,90,631,7,4,946,4068,1401,6182,60,33,11748,2146,682,1614,24,7,4469,1438,435,1112,12,0,2995,297,198,2626,39,4,3165,4,5,41,0,0,51,0,9,37,0,3,43,90,44,414,12,4,562,9,0,12,0,0,21,0,0,5,0,0,8,409,249,3130,57,13,3856,42,17
LGA15520,1726,10,115,67,4,1921,1109,4,15,8,5,1139,308,16,106,0,4,432,19,0,0,0,0,21,40,0,8,0,0,45,223,8,26,8,0,265,59,0,5,16,0,86,10,0,0,0,0,14,660,19,149,30,4,860,177,0,20,15,5,222,250,3,33,33,0,319,3922,36,331,152,17,4460,1837,72,45,91,9,2059,1224,14,19,17,0,1276,319,29,112,0,3,472,8,0,4,0,0,16,24,3,12,0,0,41,197,11,21,12,3,247,56,3,9,24,0,89,3,0,0,0,0,8,612,52,159,41,10,874,164,30,12,16,3,222,339,31,34,52,9,468,4177,201,269,213,33,4895,2091,137,12,54,27,2317,1337,31,4,5,3,1378,330,138,15,3,0,489,19,0,0,0,0,20,23,18,0,0,0,42,225,26,3,0,0,260,96,9,0,29,0,144,7,0,0,0,0,12,703,195,23,33,3,963,169,46
LGA15560,531,0,3,14,0,542,364,0,0,0,0,373,73,0,8,0,0,88,12,0,0,0,0,16,13,0,14,0,0,21,98,0,17,4,0,124,39,0,0,10,0,52,8,0,0,0,0,3,242,0,49,10,0,300,104,0,0,0,0,106,89,0,5,3,0,99,1323,3,55,32,3,1418,491,0,0,10,0,506,339,0,0,3,0,337,56,3,15,0,0,79,15,0,3,0,0,25,10,0,12,0,0,18,146,0,18,4,0,162,44,0,10,5,6,63,3,0,0,0,0,4,279,3,52,9,5,351,107,0,0,9,0,119,154,0,8,11,0,177,1373,4,66,50,7,1495,522,0,0,8,0,527,317,0,0,3,4,322,41,5,15,0,0,61,16,3,0,0,0,17,6,5,3,0,0,12,118,0,15,5,0,146,61,0,4,3,4,69,6,0,0,0,0,7,243,21,42,7,4,318,112,0
LGA15650,1453,34,14,38,0,1544,1811,15,31,6,0,1862,812,107,192,7,13,1126,226,18,41,0,0,285,45,8,11,0,0,65,221,3,18,0,0,248,53,3,5,53,0,112,14,0,3,0,0,19,1372,141,272,60,13,1856,156,7,6,4,0,177,325,33,47,44,5,445,5114,242,362,149,20,5889,1434,57,11,18,8,1519,1769,25,5,3,7,1809,1105,332,25,0,10,1474,177,80,0,0,0,262,24,19,0,0,0,43,235,18,3,0,0,262,40,3,0,3,0,49,8,5,0,0,0,16,1596,460,31,3,10,2096,112,11,0,5,10,149,387,76,28,41,12,539,5295,637,73,66,48,6112,1647,56,10,30,10,1754,1958,38,9,0,0,2005,982,343,37,0,0,1367,161,72,0,0,0,237,46,29,0,0,0,78,324,17,3,3,4,348,68,14,4,15,13,111,4,0,0,0,0,7,1586,480,47,17,15,2148,128,36
LGA15700,3145,99,102,123,0,3472,1790,35,20,19,0,1864,610,111,220,12,0,949,225,13,47,0,0,286,46,18,29,0,0,93,367,17,44,8,0,436,47,12,4,21,0,95,9,0,4,0,0,15,1304,174,354,47,0,1878,143,10,21,7,0,180,329,45,55,106,0,530,6709,361,547,302,0,7921,3123,53,97,373,19,3669,1788,26,20,23,7,1853,634,100,223,16,7,977,194,11,42,0,0,245,55,36,16,0,0,109,387,26,30,22,6,464,47,4,4,58,0,125,11,4,0,0,0,15,1324,184,313,100,14,1941,127,8,11,10,3,157,532,35,60,74,0,704,6894,315,506,575,42,8327,3669,144,98,182,41,4131,1967,54,30,7,3,2062,624,168,202,12,9,1010,105,25,5,0,0,131,148,61,13,0,0,217,393,24,37,10,5,457,71,13,3,36,10,128,10,3,7,0,0,21,1342,288,264,54,20,1977,120,22
LGA15750,1721,5,15,72,9,1821,1334,0,11,7,5,1356,206,22,162,0,0,390,160,0,59,0,0,224,22,0,10,0,0,36,323,5,77,8,0,407,128,0,27,25,0,184,12,0,11,0,0,19,852,31,353,31,0,1263,221,0,7,8,3,238,276,9,39,48,0,370,4403,43,424,162,18,5045,1567,4,11,66,0,1657,1305,5,7,13,9,1336,281,102,94,0,0,482,121,7,31,0,0,164,25,0,19,0,0,48,359,15,43,6,3,423,115,4,15,19,3,151,10,3,4,0,0,14,909,132,216,23,9,1282,192,11,0,7,3,212,505,38,83,37,6,665,4474,187,310,143,28,5148,1582,17,3,57,3,1663,1328,11,0,4,4,1351,365,223,20,0,0,606,128,47,0,0,0,174,46,31,3,0,0,84,315,36,4,0,0,354,151,11,0,16,6,188,11,12,0,0,0,20,1011,359,30,24,3,1428,197,12
LGA15800,895,6,15,14,0,930,645,6,0,5,6,658,119,8,33,0,3,164,44,3,4,0,0,52,9,0,0,0,0,10,179,3,13,3,0,200,31,0,11,5,0,47,3,0,0,0,0,0,382,14,66,5,0,479,73,0,0,0,0,78,155,0,17,36,0,214,2150,34,107,61,6,2358,861,9,3,14,7,900,604,4,0,0,0,612,163,15,41,0,0,218,42,0,0,0,0,42,7,0,0,0,0,6,159,4,9,0,4,172,36,3,0,4,0,44,6,0,0,0,0,8,407,19,55,4,5,490,56,0,0,0,0,65,238,26,12,26,0,304,2175,61,69,51,12,2368,873,5,0,9,4,893,612,0,0,12,0,625,176,18,43,0,0,243,45,6,0,0,0,51,11,0,0,0,0,9,163,3,0,0,0,172,45,0,3,0,4,53,0,0,4,0,0,6,439,37,50,5,6,539,70,0
LGA15850,927,5,6,12,0,946,693,0,4,8,0,703,183,26,32,4,0,245,98,4,7,0,0,113,16,0,8,0,0,28,137,6,7,3,0,154,36,0,8,3,0,48,5,0,4,0,0,11,481,39,70,10,0,596,106,0,0,4,0,108,136,0,7,6,0,153,2343,45,84,37,4,2510,895,5,4,0,6,907,660,5,0,0,10,669,191,17,24,3,7,238,75,5,8,0,0,85,3,0,22,0,0,29,142,0,11,4,3,157,28,0,10,0,0,42,0,0,0,0,0,6,442,24,73,6,6,556,94,0,4,0,0,101,247,9,12,11,3,291,2337,36,96,19,23,2521,929,15,0,6,6,956,634,0,0,4,0,643,178,31,20,0,0,229,52,7,4,0,0,62,11,17,10,0,0,36,145,4,3,5,0,157,38,0,4,7,3,58,5,3,0,0,0,10,423,67,44,14,6,550,72,0
LGA15900,15789,1416,917,62,9,18186,16475,1199,961,29,14,18679,5434,2035,3072,70,28,10634,703,1007,1607,0,5,3320,111,127,99,0,0,339,2603,666,868,26,21,4180,275,94,68,9,3,449,45,23,36,0,0,109,9170,3944,5745,114,56,19030,486,183,155,12,3,835,1944,494,894,77,6,3418,43859,7232,8674,298,86,60144,15166,1952,841,56,39,18061,16378,1567,855,24,25,18853,6148,2985,3181,97,77,12489,644,1195,1397,8,14,3257,98,146,114,0,12,371,2443,688,733,24,39,3926,226,89,78,5,7,405,34,27,38,0,0,100,9593,5126,5531,136,149,20541,486,216,106,5,16,823,1793,584,866,136,54,3439,43424,9447,8201,354,284,61714,15821,2251,1343,45,19,19480,17625,1951,1288,18,17,20894,7713,3798,4336,136,50,16038,589,1132,1245,5,5,2972,185,299,214,6,0,707,2633,719,772,29,23,4169,293,96,85,13,8,493,65,23,30,0,0,110,11480,6064,6679,183,88,24493,537,366
LGA15950,1802,1316,3912,20,8,7064,1325,1237,4186,13,9,6772,501,1117,9367,45,17,11049,4,61,355,0,0,421,5,3,22,0,0,30,190,292,1770,16,10,2279,8,16,77,0,3,102,4,6,36,0,0,49,710,1495,11629,60,24,13927,63,57,282,5,7,411,221,292,2273,23,8,2819,4130,4402,22281,128,58,30993,1602,1537,4489,5,24,7652,1157,1283,4091,5,10,6543,315,959,10817,29,31,12156,4,28,395,0,0,425,3,5,33,0,0,39,115,262,1787,13,3,2184,4,5,71,0,0,85,0,7,28,0,0,34,439,1273,13134,46,39,14927,61,57,354,7,4,486,188,299,2347,17,19,2877,3444,4453,24412,82,92,32487,1799,1547,4982,4,5,8351,1194,1174,4252,0,13,6636,423,1048,12721,49,35,14277,0,24,302,0,12,337,5,13,193,0,0,210,129,241,1650,5,4,2037,5,11,95,5,4,117,0,3,39,0,0,43,560,1339,14999,61,60,17020,43,67
LGA15990,21915,2349,5535,109,9,29913,21916,2046,6852,40,9,30857,3838,1163,9241,99,23,14357,224,217,618,0,0,1057,44,76,357,0,0,478,1868,518,2394,57,15,4854,142,105,141,20,4,408,27,25,64,0,0,122,6143,2106,12817,180,44,21278,696,317,704,15,4,1742,1897,464,2297,93,3,4743,52559,7276,28203,428,71,88532,21429,2839,6076,154,59,30557,22247,2052,6936,51,56,31337,3736,1101,10641,103,99,15683,179,357,456,0,0,998,37,145,243,0,0,427,1509,417,2203,67,71,4271,82,96,101,41,6,326,8,22,51,0,0,83,5560,2133,13706,212,180,21790,562,553,882,27,16,2045,2262,711,2711,257,75,6024,52051,8286,30306,709,387,91739,22839,2964,7169,95,35,33106,23524,2100,7379,61,26,33102,4664,1263,12511,158,54,18650,177,343,399,0,0,918,112,258,291,0,0,667,1911,392,2378,40,34,4758,149,117,164,24,10,463,52,28,75,0,0,160,7070,2397,15824,230,100,25613,520,764
LGA16100,795,0,3,8,0,805,602,5,0,0,0,606,174,25,27,0,0,218,23,0,7,0,0,33,0,3,0,0,0,5,80,0,5,0,0,80,20,0,3,12,0,37,0,0,0,0,0,4,295,32,36,15,0,374,55,0,0,0,0,56,87,3,0,0,0,95,1839,37,44,24,0,1943,760,0,0,8,21,786,576,0,5,8,20,603,189,9,22,0,16,235,19,0,6,0,0,22,0,0,3,0,0,5,85,0,0,0,7,92,12,0,0,0,0,15,0,0,0,0,0,3,314,11,35,0,20,372,59,0,0,0,5,55,229,7,8,4,3,244,1926,16,46,15,65,2074,877,6,6,5,0,894,675,0,0,0,0,679,183,56,19,0,4,261,21,5,0,0,0,21,0,7,0,0,0,14,94,3,0,0,0,99,26,0,0,4,0,37,4,0,0,0,0,4,329,77,22,4,5,435,60,0
LGA16150,4123,194,70,39,3,4425,4360,112,33,11,4,4517,1907,437,395,27,0,2765,556,112,167,0,0,836,45,5,22,0,0,78,480,53,51,6,0,591,67,11,11,10,0,96,11,0,4,0,0,18,3064,623,647,50,0,4380,136,18,34,9,0,192,636,100,77,81,5,891,12311,1043,871,176,13,14411,4231,234,61,25,10,4553,4652,99,30,4,11,4794,2191,651,263,6,14,3124,457,202,97,0,0,756,26,29,14,0,13,80,527,77,28,0,6,644,53,10,6,10,0,72,12,10,0,0,0,23,3266,973,416,20,35,4707,107,31,19,5,16,177,905,185,109,34,64,1303,13157,1522,637,86,134,15529,4679,274,57,22,5,5036,5317,114,39,6,5,5484,2589,713,274,22,5,3601,487,186,79,0,0,747,69,80,28,0,0,182,587,93,35,0,5,720,112,18,13,16,11,163,20,7,3,0,0,28,3857,1095,431,36,22,5445,125,90
LGA16200,1989,39,4,25,0,2066,1583,7,7,6,0,1606,491,75,79,4,0,651,191,12,40,0,0,239,41,10,13,0,0,68,320,15,11,6,0,355,60,0,9,13,0,83,5,0,0,0,0,5,1118,112,149,22,0,1403,144,20,10,3,0,175,374,21,29,44,0,466,5206,193,205,109,8,5723,1888,26,25,25,31,2000,1532,11,0,3,5,1555,427,66,138,5,0,631,140,20,41,0,0,200,32,4,13,0,4,54,394,11,25,0,3,441,40,7,7,15,9,69,13,5,0,0,0,18,1053,104,229,14,17,1416,114,0,10,3,8,139,495,43,89,35,10,673,5084,185,359,91,65,5776,1908,35,40,26,14,2026,1639,18,9,5,9,1682,494,57,141,4,0,700,149,18,32,0,0,197,38,25,7,0,0,73,434,15,21,3,3,480,57,9,9,13,10,100,6,5,3,0,0,16,1181,129,214,23,17,1556,115,12
LGA16260,14899,1526,2382,8,8,18825,13784,3088,5412,4,32,22327,3622,1831,10143,36,30,15663,1113,711,1532,6,6,3365,73,100,366,0,0,541,1211,360,1292,14,17,2895,144,251,170,5,8,581,33,11,62,0,0,112,6203,3265,13564,56,65,23152,471,141,513,5,10,1129,1432,468,2093,66,7,4066,36785,8479,23969,148,122,69504,13990,1990,2716,18,28,18742,12954,4105,6112,49,53,23277,3943,2929,15025,128,111,22132,949,1007,1373,3,0,3329,49,154,344,0,3,550,1232,536,1685,29,24,3514,238,295,133,4,9,679,26,18,56,0,0,102,6437,4933,18613,161,148,30300,459,165,736,4,18,1373,1487,763,3198,53,68,5572,35328,11951,31368,291,322,79260,13908,2118,3581,23,14,19645,13462,4242,9990,32,44,27765,5155,3524,24459,108,110,33352,922,1071,1234,0,8,3232,92,189,540,0,4,822,1340,509,2126,24,21,4020,284,269,372,3,13,936,42,30,111,0,0,183,7832,5584,28841,132,159,42551,422,199
LGA16350,14323,1028,484,124,9,15972,23389,1744,908,16,4,26065,5402,2078,1700,23,5,9207,1230,711,533,0,0,2467,77,112,64,0,7,271,2027,385,251,33,5,2692,255,25,25,16,0,316,41,22,11,0,0,75,9029,3333,2582,66,17,15029,477,80,57,9,37,655,2213,421,461,67,33,3195,49432,6608,4484,289,100,60917,15068,1128,281,122,29,16619,23622,1821,495,17,50,26003,7974,2656,2009,45,84,12765,1082,864,498,6,0,2454,91,126,110,0,4,332,1926,362,174,12,30,2504,203,40,19,9,3,273,48,19,12,0,0,87,11321,4063,2827,68,127,18408,518,85,47,5,8,654,3136,853,673,101,38,4794,53660,7949,4319,312,246,66481,16336,1238,513,111,21,18221,25132,2652,1183,5,19,28985,11307,3233,3677,30,39,18285,1058,871,482,0,3,2413,143,294,351,0,0,789,2061,330,285,13,17,2706,300,33,39,13,8,390,62,20,29,0,4,121,14933,4785,4859,59,66,24696,607,176
LGA16380,10012,1173,683,595,0,12464,7080,454,316,41,0,7898,2411,802,1182,52,4,4451,374,230,217,3,0,826,65,58,39,4,0,155,1054,219,246,33,6,1556,111,25,35,184,0,350,13,3,12,6,0,29,4023,1334,1729,273,8,7373,391,219,129,79,0,814,919,218,380,109,3,1627,22438,3399,3229,1091,17,30183,10439,1364,778,638,68,13289,7341,515,279,40,40,8212,2603,1078,1221,38,25,4963,315,279,313,0,4,917,49,75,38,0,0,163,966,230,247,25,18,1484,89,40,39,126,12,307,19,11,17,0,0,48,4038,1715,1877,189,60,7879,336,244,222,24,8,833,1439,398,481,221,33,2559,23601,4234,3634,1110,204,32775,12526,1479,803,254,45,15106,8313,601,304,21,11,9245,3212,1315,1468,52,17,6054,181,133,152,0,4,467,229,230,187,0,0,647,1168,254,225,25,9,1687,154,51,48,61,29,347,24,22,16,0,0,67,4962,2014,2092,143,58,9273,397,371
LGA16400,7834,709,273,364,6,9191,6976,410,114,36,4,7537,2307,917,418,15,3,3655,559,122,120,0,0,804,75,41,10,0,0,127,767,161,94,17,4,1050,467,50,12,121,0,661,16,8,0,5,0,27,4195,1298,659,153,10,6316,296,93,40,18,5,452,1034,202,189,93,0,1521,20333,2717,1272,665,22,25013,8136,1191,248,366,47,9998,7352,516,82,41,20,8009,2452,1088,356,16,14,3921,463,155,71,0,0,688,39,76,19,0,0,132,758,200,69,12,12,1053,453,67,7,104,4,639,15,5,8,4,0,33,4172,1586,529,136,35,6463,208,123,37,24,11,396,1511,460,108,263,52,2398,21386,3880,1007,824,158,27254,10068,1372,344,262,56,12097,8169,602,108,19,11,8902,2920,1146,401,26,6,4503,398,116,55,4,0,571,152,123,38,3,0,313,880,211,77,20,8,1199,440,50,11,146,12,660,26,17,3,4,0,52,4810,1666,589,199,29,7297,303,252
LGA16490,4745,372,249,113,10,5489,6545,767,530,23,0,7868,920,622,1144,15,0,2712,471,87,104,0,0,664,28,33,26,0,0,90,564,208,245,19,0,1034,381,28,37,37,0,475,8,9,6,3,0,24,2366,985,1559,73,0,4992,227,43,40,14,0,324,718,136,285,97,0,1240,14605,2303,2657,328,16,19912,4873,410,233,41,22,5576,6942,814,405,23,29,8203,1032,957,1359,10,3,3362,406,139,46,0,0,593,21,48,10,0,0,81,562,227,227,7,12,1034,326,42,36,10,0,411,9,10,6,0,0,19,2351,1417,1686,23,15,5504,198,53,18,6,4,280,1144,265,301,89,11,1807,15511,2967,2643,178,85,21375,5620,581,288,28,10,6528,8424,1143,511,12,5,10096,1262,941,1374,12,4,3587,406,124,49,0,0,583,35,101,33,0,0,174,662,257,298,6,6,1229,459,52,63,8,13,591,12,11,5,0,0,30,2836,1489,1825,27,22,6198,195,42
LGA16550,7242,2231,3727,35,3,13235,4554,2440,4653,14,16,11678,1327,1343,10937,106,24,13737,224,463,2176,0,0,2869,48,38,190,0,0,278,497,409,2277,28,11,3218,68,125,176,0,0,380,3,3,57,0,0,68,2166,2393,15821,137,35,20547,202,119,427,7,3,761,868,494,2905,33,4,4306,15040,7670,27529,227,63,50525,6686,2613,3918,48,21,13290,4333,2892,4386,66,44,11715,1170,1451,13002,227,43,15897,104,502,2304,4,4,2913,35,28,276,0,0,337,416,374,2294,75,31,3181,45,101,267,7,0,415,3,5,65,0,0,80,1779,2458,18202,307,79,22822,201,112,514,15,0,853,674,600,3349,64,69,4765,13672,8685,30373,491,216,53442,6785,2735,4339,63,4,13932,4669,3007,4531,42,14,12265,1408,1701,14250,268,24,17652,96,501,2200,0,4,2803,35,55,370,4,3,464,424,327,1930,47,15,2744,89,115,147,6,3,364,18,5,61,0,0,81,2074,2708,18956,328,44,24107,184,108
LGA16610,2952,103,101,283,3,3446,2354,68,39,25,0,2484,707,142,304,8,4,1168,200,29,36,0,0,263,49,20,23,0,0,93,433,48,80,8,0,569,74,12,22,61,0,165,13,8,0,0,0,22,1474,258,460,82,4,2279,157,17,26,12,0,207,359,37,57,38,0,489,7307,481,680,433,3,8903,2975,139,90,278,14,3490,2307,64,36,16,8,2425,840,143,301,13,6,1290,178,24,32,0,0,237,40,15,37,0,0,97,434,61,71,6,4,587,77,5,3,50,6,131,21,3,3,0,0,26,1584,260,446,76,16,2369,134,10,24,8,4,181,642,52,99,95,6,892,7635,522,695,471,39,9365,3236,212,62,209,25,3745,2524,79,20,14,0,2640,774,325,161,5,0,1273,162,22,18,0,0,196,38,41,16,0,0,91,441,72,31,6,5,563,77,10,4,60,9,169,9,8,3,0,0,24,1503,484,236,81,14,2315,128,42
LGA16700,9157,1440,1587,55,3,12247,7229,1725,2648,3,7,11607,1730,1283,5419,21,5,8467,235,441,686,0,4,1362,37,78,210,0,0,331,706,299,771,12,0,1788,53,103,81,9,0,249,15,8,20,0,0,45,2781,2215,7186,47,11,12237,243,125,292,0,3,671,828,245,839,16,0,1927,20235,5758,12547,126,26,38694,8729,1656,1735,44,30,12198,7186,1915,3032,13,30,12174,1870,1663,7524,62,42,11164,207,540,519,0,0,1270,13,136,90,0,13,254,734,326,997,15,18,2080,51,100,71,8,4,243,14,17,25,0,0,50,2891,2780,9227,87,81,15068,295,179,246,12,29,753,846,377,1010,18,55,2307,19951,6913,15249,169,216,42499,8772,1693,2329,6,9,12822,7399,2075,5065,12,3,14556,2278,2000,11903,72,26,16280,189,435,346,0,0,965,111,207,286,0,10,609,783,305,1166,15,21,2287,91,65,144,6,19,325,27,15,50,0,0,94,3473,3018,13892,95,78,20557,264,119
LGA16900,6574,600,164,247,0,7594,7706,489,142,3,0,8340,1597,751,427,23,0,2792,1088,269,222,0,0,1583,43,19,14,0,0,77,741,185,92,15,0,1033,59,19,7,43,0,132,23,9,5,0,0,34,3553,1253,763,81,5,5646,176,53,33,5,0,268,695,134,90,32,0,948,18697,2526,1193,371,7,22801,6972,784,122,249,29,8156,7726,653,103,17,18,8527,1926,961,440,9,9,3351,1015,396,127,0,4,1540,35,44,5,0,0,84,619,199,71,17,3,906,48,19,4,36,0,105,25,13,3,0,0,35,3657,1631,650,69,23,6023,158,83,13,8,31,293,1045,301,114,73,24,1556,19561,3443,1007,411,128,24545,7980,964,201,238,11,9392,8991,946,178,3,7,10121,2721,1175,515,19,11,4440,1066,380,157,0,0,1611,64,66,42,0,0,180,742,215,100,7,0,1069,48,17,10,31,0,101,13,6,7,0,0,29,4659,1859,834,60,12,7422,186,120
LGA16950,14504,532,301,488,20,15851,9798,164,111,28,10,10106,3459,551,490,11,0,4515,773,205,250,0,0,1230,157,44,75,0,0,269,1558,122,135,31,0,1847,404,15,24,118,8,568,34,8,3,6,0,49,6387,943,967,175,13,8475,522,101,55,16,16,712,1848,181,166,114,5,2308,33051,1924,1599,824,64,37463,15350,662,189,739,105,17043,10002,196,79,43,50,10371,3775,866,357,19,19,5032,762,324,116,0,3,1202,146,94,23,0,8,276,1614,148,89,31,20,1897,394,9,5,139,18,561,51,13,4,4,0,82,6737,1462,598,185,68,9051,595,147,30,26,37,839,2508,329,161,255,48,3299,35196,2796,1057,1253,300,40604,17736,966,192,659,104,19659,11362,331,93,32,16,11836,4628,1075,335,18,7,6063,535,220,46,0,0,798,448,263,72,0,3,784,1880,173,76,25,9,2165,515,38,16,122,32,722,37,20,4,4,4,74,8039,1792,544,173,52,10604,600,360
