LGA_CODE_2021,C21_Chr_Ch_nfd_0_14,C21_Chr_Ch_nfd_15_24,C21_Chr_Ch_nfd_25_34,C21_Chr_Ch_nfd_35_44,C21_Chr_Ch_nfd_45_54,C21_Chr_Ch_nfd_55_64,C21_Chr_Ch_nfd_65_74,C21_Chr_Ch_nfd_75_84,C21_Chr_Ch_nfd_85ov,C21_Chr_Ch_nfd_Tot,C21_Chr_Oth_Ch_0_14,C21_Chr_Oth_Ch_15_24,C21_Chr_Oth_Ch_25_34,C21_Chr_Oth_Ch_35_44,C21_Chr_Oth_Ch_45_54,C21_Chr_Oth_Ch_55_64,C21_Chr_Oth_Ch_65_74,C21_Chr_Oth_Ch_75_84,C21_Chr_Oth_Ch_85ov,C21_Chr_Oth_Ch_Tot,C21_Christ_Tot_0_14,C21_Christ_Tot_15_24,C21_Christ_Tot_25_34,C21_Christ_Tot_35_44,C21_Christ_Tot_45_54,C21_Christ_Tot_55_64,C21_Christ_Tot_65_74,C21_Christ_Tot_75_84,C21_Christ_Tot_85ov,C21_Christ_Tot_Tot,C21_Hinduism_0_14,C21_Hinduism_15_24,C21_Hinduism_25_34,C21_Hinduism_35_44,C21_Hinduism_45_54,C21_Hinduism_55_64,C21_Hinduism_65_74,C21_Hinduism_75_84,C21_Hinduism_85ov,C21_Hinduism_Tot,C21_Islam_0_14,C21_Islam_15_24,C21_Islam_25_34,C21_Islam_35_44,C21_Islam_45_54,C21_Islam_55_64,C21_Islam_65_74,C21_Islam_75_84,C21_Islam_85ov,C21_Islam_Tot,C21_Judaism_0_14,C21_Judaism_15_24,C21_Judaism_25_34,C21_Judaism_35_44,C21_Judaism_45_54,C21_Judaism_55_64,C21_Judaism_65_74,C21_Judaism_75_84,C21_Judaism_85ov,C21_Judaism_Tot,C21_OR_AusAborTrad_0_14,C21_OR_AusAborTrad15_24,C21_OR_AusAborTrad25_34,C21_OR_AusAborTrad35_44,C21_OR_AusAborTrad45_54,C21_OR_AusAborTrad55_64,C21_OR_AusAborTrad65_74,C21_OR_AusAborTrad75_84,C21_OR_AusAborTrad85ov,C21_OR_AusAborTrade_Tot,C21_OR_Sikhism_0_14,C21_OR_Sikhism_15_24,C21_OR_Sikhism_25_34,C21_OR_Sikhism_35_44,C21_OR_Sikhism_45_54,C21_OR_Sikhism_55_64,C21_OR_Sikhism_65_74,C21_OR_Sikhism_75_84,C21_OR_Sikhism_85ov,C21_OR_Sikhism_Tot,C21_OR_Ot_Re_Gr_0_14,C21_OR_Ot_Re_Gr_15_24,C21_OR_Ot_Re_Gr_25_34,C21_OR_Ot_Re_Gr_35_44,C21_OR_Ot_Re_Gr_45_54,C21_OR_Ot_Re_Gr_55_64,C21_OR_Ot_Re_Gr_65_74,C21_OR_Ot_Re_Gr_75_84,C21_OR_Ot_Re_Gr_85ov,C21_OR_Ot_Re_Gr_Tot,C21_Oth_Rel_Tot_0_14,C21_Oth_Rel_Tot_15_24,C21_Oth_Rel_Tot_25_34,C21_Oth_Rel_Tot_35_44,C21_Oth_Rel_Tot_45_54,C21_Oth_Rel_Tot_55_64,C21_Oth_Rel_Tot_65_74,C21_Oth_Rel_Tot_75_84,C21_Oth_Rel_Tot_85ov,C21_Oth_Rel_Tot_Tot,C21_SBOSB_No_RA_0_14,C21_SBOSB_No_RA_15_24,C21_SBOSB_No_RA_25_34,C21_SBOSB_No_RA_35_44,C21_SBOSB_No_RA_45_54,C21_SBOSB_No_RA_55_64,C21_SBOSB_No_RA_65_74,C21_SBOSB_No_RA_75_84,C21_SBOSB_No_RA_85ov,C21_SBOSB_No_RA_Tot,C21_Rel_aff_ns_0_14,C21_Rel_aff_ns_15_24,C21_Rel_aff_ns_25_34,C21_Rel_aff_ns_35_44,C21_Rel_aff_ns_45_54,C21_Rel_aff_ns_55_64,C21_Rel_aff_ns_65_74,C21_Rel_aff_ns_75_84,C21_Rel_aff_ns_85ov,C21_Rel_aff_ns_Tot,C21_Tot_0_14,C21_Tot_15_24,C21_Tot_25_34,C21_Tot_35_44,C21_Tot_45_54,C21_Tot_55_64,C21_Tot_65_74,C21_Tot_75_84,C21_Tot_85ov,C21_Tot_Tot
LGA45040,147,59,98,79,92,97,73,47,8,714,13,3,14,5,4,10,9,4,0,59,1055,709,616,761,1006,1323,1476,1097,440,8488,11,8,18,10,5,0,0,0,0,50,31,25,30,28,22,14,14,7,0,168,3,3,0,0,5,0,5,0,4,17,0,0,0,0,0,0,0,0,0,3,14,0,13,18,0,3,0,0,0,55,7,10,19,8,17,4,4,0,0,79,23,16,33,29,17,12,8,0,0,141,2217,1438,1530,1171,1319,1331,859,421,115,10407,295,207,378,342,309,273,200,140,60,2192,3665,2419,2642,2388,2707,2969,2566,1664,615,21644
LGA45090,42,11,20,31,11,19,19,6,3,161,0,0,0,0,0,3,0,0,0,5,459,241,261,400,459,560,615,424,159,3582,4,0,4,5,4,0,0,0,0,23,73,28,82,58,37,17,6,0,0,308,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,0,3,0,0,0,0,0,0,9,0,0,0,3,3,0,0,0,0,11,5,3,5,4,3,0,0,0,0,21,928,514,580,526,454,446,251,100,30,3826,143,82,79,102,81,93,90,64,24,757,1630,878,1041,1142,1070,1139,978,587,220,8686
LGA45120,19,10,6,14,12,17,18,7,0,97,0,0,0,0,0,0,5,3,0,7,306,150,126,207,251,400,431,268,100,2253,0,5,4,0,0,0,0,0,0,9,0,0,0,0,0,4,0,0,0,7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,3,0,0,0,0,6,3,0,0,0,16,3,0,3,6,6,3,0,0,0,23,431,216,229,212,225,284,195,69,21,1876,81,33,27,44,46,54,49,43,12,387,816,401,389,473,534,747,681,379,130,4559
LGA45290,105,72,136,108,96,99,76,48,22,774,0,0,6,0,0,9,4,6,0,27,1956,1623,1471,1679,2220,2440,2135,1825,1075,16431,194,161,381,236,91,32,29,6,0,1132,167,55,183,147,57,20,13,5,0,647,7,10,6,8,4,10,12,9,0,67,0,0,0,0,0,0,0,0,0,0,90,60,147,80,18,13,3,0,0,411,18,17,17,29,21,31,18,9,5,156,113,78,165,115,36,39,25,9,5,575,2577,2298,3081,2326,1838,1678,1444,609,213,16063,238,200,303,241,220,215,178,137,85,1817,5345,4486,5758,4924,4568,4528,3885,2611,1377,37487
LGA45340,1084,632,564,845,759,764,603,266,78,5604,56,39,41,50,52,64,74,65,45,481,7187,4978,4254,6133,7996,10071,11132,6738,2487,60974,220,83,146,236,88,76,45,19,0,902,320,136,197,198,142,90,51,23,7,1156,16,7,5,14,14,15,17,10,6,98,9,0,0,4,4,0,0,0,0,21,105,31,74,97,23,13,0,10,0,353,59,91,123,151,158,126,74,29,11,816,173,123,196,254,184,140,76,34,13,1185,21173,13568,15150,14025,12681,10498,7677,3129,959,98860,1827,1114,1327,1429,1365,1330,1212,728,411,10742,31053,20093,21451,22544,22741,22395,20330,10711,3887,175204
LGA45400,3,3,3,0,6,0,10,5,5,39,0,0,0,0,0,0,0,0,0,0,68,27,30,37,53,95,101,46,33,498,0,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0,0,0,0,7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,4,0,0,0,0,0,3,0,0,0,4,67,30,38,23,26,46,31,18,0,287,9,14,8,7,4,10,12,5,9,78,142,67,78,77,94,155,149,68,49,874
LGA45540,4,6,0,3,4,4,7,0,0,33,0,0,0,0,4,0,0,0,0,3,46,31,23,36,71,137,158,96,26,628,0,3,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0,4,0,0,0,5,0,0,3,0,0,6,3,0,0,9,123,75,57,89,92,124,104,44,10,732,33,24,31,28,36,45,33,20,11,262,206,131,122,156,209,312,300,157,49,1638
LGA45680,1092,553,510,496,365,296,197,106,19,3634,38,17,25,20,26,27,16,13,4,182,6271,3404,3555,3828,4075,4802,4025,2514,989,33468,316,143,262,247,136,65,37,16,7,1233,1345,604,639,592,317,129,40,13,3,3691,0,0,4,0,4,4,0,5,0,28,0,0,3,3,0,0,0,0,0,7,140,36,121,102,16,13,7,0,0,440,91,103,154,126,114,68,41,17,3,714,237,135,279,227,128,85,48,16,3,1160,12570,7706,9582,6513,5542,4822,2384,965,358,50442,1669,918,1215,981,832,715,539,342,200,7418,22682,13121,15770,12715,11319,10878,7214,3912,1574,99190
LGA45890,640,394,461,514,452,363,269,125,57,3274,33,27,30,30,32,30,27,24,6,242,6795,4460,5174,5799,6372,7208,6323,4084,2083,48306,1867,977,2207,1998,518,177,124,33,7,7899,2239,1254,1568,1404,806,398,184,57,12,7918,13,6,11,8,8,8,8,0,3,67,0,0,6,4,8,0,6,0,0,24,909,492,1369,759,131,88,44,7,0,3804,107,84,121,148,102,77,57,12,3,711,1020,578,1486,913,239,170,108,15,8,4539,8455,6522,9550,7302,6232,5718,3675,1412,600,49466,1218,960,1507,1406,1082,863,664,399,215,8304,22305,15465,22399,19793,16214,15389,11653,6188,2988,132400
LGA46090,37,16,21,24,35,23,25,10,4,195,0,0,0,0,0,0,0,0,0,9,534,353,448,412,604,864,811,527,171,4722,22,11,34,21,11,0,3,0,0,98,7,0,19,12,7,0,0,0,0,50,0,0,0,0,0,0,0,0,0,0,5,0,0,4,5,5,6,0,0,17,34,12,40,33,7,3,0,0,0,124,0,7,10,4,3,3,0,0,0,26,38,20,46,39,15,8,3,4,0,169,1677,928,1102,806,821,786,462,208,57,6844,267,213,433,347,228,200,119,62,25,1889,2550,1530,2096,1653,1682,1870,1406,799,250,13829
