LGA_CODE_2021,C21_75_84_No_need_assist_F,C21_75_84_No_need_assist_P,C21_75_84_Need_assist_ns_M,C21_75_84_Need_assist_ns_F,C21_75_84_Need_assist_ns_P,C21_75_84_Tot_M,C21_75_84_Tot_F,C21_75_84_Tot_P,C21_85over_Need_assist_M,C21_85over_Need_assist_F,C21_85over_Need_assist_P,C21_85over_No_need_assist_M,C21_85over_No_need_assist_F,C21_85over_No_need_assist_P,C21_85over_Need_assist_ns_M,C21_85over_Need_assist_ns_F,C21_85over_Need_assist_ns_P,C21_85over_Tot_M,C21_85over_Tot_F,C21_85over_Tot_P,C21_Tot_Need_assist_M,C21_Tot_Need_assist_F,C21_Tot_Need_assist_P,C21_Tot_No_need_assist_M,C21_Tot_No_need_assist_F,C21_Tot_No_need_assist_P,C21_Tot_Need_assist_ns_M,C21_Tot_Need_assist_ns_F,C21_Tot_Need_assist_ns_P,C21_Tot_Tot_M,C21_Tot_Tot_F,C21_Tot_Tot_P
LGA11700,28,72,7,7,17,58,48,105,0,3,6,8,7,11,0,5,5,8,15,22,40,30,70,657,639,1296,178,174,357,875,843,1725
LGA11720,1058,2087,122,101,218,1497,1590,3083,188,422,611,187,243,430,47,78,120,422,743,1167,2482,2475,4952,26424,27560,53985,3125,1569,4694,32031,31604,63632
LGA11730,1790,3539,125,133,262,2320,2399,4719,277,582,861,358,424,787,39,71,113,674,1077,1757,2293,2285,4580,21951,22851,44806,2816,1911,4732,27060,27047,54115
LGA11750,70,141,15,18,31,106,114,211,14,18,34,16,20,29,0,8,6,30,46,75,94,85,180,1650,1612,3261,314,303,618,2058,2000,4059
LGA11800,2249,4260,177,251,425,2633,3089,5726,338,683,1027,463,500,959,118,221,332,919,1404,2320,2632,2789,5415,32937,35421,68358,2448,2537,4980,38017,40747,78759
LGA12000,125,261,10,14,24,165,178,335,24,43,65,27,30,59,10,0,4,61,73,135,145,185,324,1887,1906,3789,139,131,269,2171,2222,4385
LGA12150,77,150,21,17,42,116,117,240,15,38,47,13,10,29,0,6,8,28,54,85,118,143,261,1469,1429,2896,273,289,568,1860,1861,3732
LGA12160,411,819,30,41,74,521,564,1086,62,123,189,70,87,163,17,16,36,149,226,382,404,471,877,4805,4842,9650,465,416,880,5674,5729,11403
LGA12350,412,826,45,42,91,539,562,1105,52,136,191,99,94,197,7,14,26,158,244,411,505,524,1021,5286,5387,10674,525,501,1032,6316,6412,12724
LGA12380,2510,5178,332,327,667,4244,4550,8806,701,1207,1909,516,566,1080,187,270,459,1404,2043,3442,6438,7592,14036,104833,97658,202495,10222,8684,18907,121493,113934,235439
LGA12390,1204,2215,125,144,271,1432,1699,3131,179,376,555,226,272,498,52,77,131,457,725,1186,1627,1649,3271,22257,23670,45926,3264,2463,5723,27148,27782,54922
LGA12700,239,512,15,19,32,346,319,658,32,52,84,44,58,94,0,9,10,76,119,184,284,272,558,4252,4284,8538,218,228,442,4754,4784,9541
LGA12730,276,507,23,30,51,312,366,676,40,75,117,68,91,151,7,12,17,115,178,286,308,300,606,3451,3610,7060,413,374,791,4172,4284,8456
LGA12750,1534,3071,123,140,261,1954,2042,4000,231,457,689,307,380,686,43,80,119,581,917,1498,1486,1651,3139,16841,17505,34348,1566,1537,3111,19893,20693,40593
LGA12850,2575,5315,396,422,817,4806,5344,10159,988,1750,2733,515,495,1007,254,443,698,1757,2688,4440,8722,10556,19285,87219,88147,175367,6926,6898,13829,102867,105601,208475
LGA12870,519,1004,42,42,84,608,670,1284,83,124,205,107,118,222,20,18,37,210,260,468,470,450,916,5453,5596,11049,501,429,927,6424,6475,12899
LGA12900,284,560,41,33,74,372,377,748,46,73,119,60,86,138,10,12,26,116,171,284,285,281,570,3929,4055,7990,386,382,764,4600,4718,9319
LGA12930,2927,5638,207,288,502,3759,4459,8224,722,1316,2042,706,796,1505,185,499,685,1613,2611,4229,3532,4604,8137,67975,68852,136828,3519,3794,7314,75026,77250,152274
LGA12950,127,250,23,17,41,173,174,353,19,37,51,25,34,54,6,8,16,50,79,129,157,142,306,1699,1780,3484,261,254,509,2117,2176,4295
LGA13010,325,649,33,39,75,423,434,855,39,87,124,59,87,144,14,24,27,112,198,303,348,370,715,3507,3702,7211,555,448,1000,4410,4520,8931
LGA13310,792,1539,62,68,129,1002,1120,2121,113,296,417,164,171,338,34,41,74,311,508,825,1076,1234,2315,13545,13642,27188,1519,1028,2553,16140,15904,32053
LGA13340,249,568,32,35,67,407,343,743,38,70,107,49,58,103,5,9,19,92,137,229,370,298,670,4802,4744,9544,487,452,938,5659,5494,11157
LGA13450,549,1035,68,51,124,667,763,1431,108,215,325,121,166,293,32,42,78,261,423,689,615,753,1375,11840,11708,23553,1133,1027,2159,13588,13488,27086
LGA13550,336,612,35,48,77,375,481,851,50,108,159,63,79,145,17,11,29,130,198,332,382,409,793,5454,5509,10960,603,573,1180,6439,6491,12929
LGA13660,179,339,20,15,35,242,243,477,26,56,77,36,45,85,7,6,9,69,107,173,205,222,430,2001,2022,4017,239,220,458,2445,2464,4910
LGA13800,1363,2620,97,131,229,1669,1891,3560,186,427,603,216,255,471,54,82,139,456,764,1215,1815,1918,3735,29961,30246,60209,1680,1591,3269,33456,33755,67207
LGA13850,94,180,14,18,31,116,145,255,18,29,48,23,11,33,12,4,12,53,44,90,81,95,180,1182,1170,2353,187,169,348,1450,1434,2882
LGA13910,579,1143,54,49,100,751,759,1504,93,156,249,102,144,249,13,30,44,208,330,541,665,703,1368,8067,8388,16456,734,702,1433,9466,9793,19254
LGA14000,3540,6824,210,303,514,4119,4785,8902,630,1326,1957,794,916,1710,213,444,660,1637,2686,4327,3053,3968,7020,68946,70873,139821,2357,2610,4968,74356,77451,151811
LGA14100,362,732,53,74,123,472,537,1009,74,166,244,92,156,244,64,186,249,230,508,734,245,385,635,5972,6087,12058,380,492,868,6597,6964,13559
LGA14170,2723,5197,245,206,450,3586,4319,7906,771,1474,2244,504,593,1097,110,119,233,1385,2186,3569,3783,5049,8828,81057,84765,165827,4325,3836,8165,89165,93650,182818
LGA14220,549,1057,68,56,122,671,757,1424,59,147,206,89,112,200,28,42,68,176,301,471,607,644,1245,7290,7594,14885,883,842,1724,8780,9080,17853
LGA14300,135,274,23,19,40,201,191,391,23,47,65,26,26,48,4,3,8,53,76,125,177,219,394,2462,2374,4834,1023,163,1188,3662,2756,6415
LGA14350,837,1721,71,84,158,1210,1232,2444,148,311,456,177,173,345,20,40,61,345,524,863,1468,1451,2920,12020,12562,24586,1935,1253,3188,15423,15266,30688
LGA14400,805,1597,58,45,105,978,1015,1988,121,253,375,148,215,364,15,27,48,284,495,777,568,653,1221,10148,10724,20876,508,469,978,11224,11846,23074
LGA14500,3549,6679,109,173,280,3699,4456,8150,594,1173,1773,956,1080,2040,109,224,329,1659,2477,4138,1979,2861,4834,56279,59628,115908,1595,1735,3329,59853,64224,124076
LGA14550,251,499,35,30,61,329,345,675,21,49,78,46,54,98,20,36,56,87,139,228,372,323,697,3807,3913,7722,469,473,945,4648,4709,9359
LGA14600,162,300,22,18,35,205,217,412,27,63,93,37,44,87,10,12,26,74,119,199,185,171,357,2509,2499,5005,357,378,729,3051,3048,6094
LGA14650,6137,11617,370,439,807,7164,8453,15618,996,2073,3071,1204,1557,2761,191,278,472,2391,3908,6305,7348,8101,15456,92514,97047,189564,4444,4384,8830,104306,109532,213845
LGA14700,771,1494,34,54,84,845,981,1824,96,186,283,115,194,311,27,104,130,238,484,725,462,617,1083,18131,18710,36842,711,802,1515,19304,20129,39438
LGA14750,290,535,17,20,39,311,390,710,43,96,139,53,73,121,6,12,21,102,181,284,338,375,712,4817,4957,9776,492,470,961,5647,5802,11452
LGA14850,1056,2006,82,94,172,1192,1434,2620,159,361,523,194,248,450,39,72,108,392,681,1081,1492,1647,3133,18577,19223,37804,1690,1704,3391,21759,22574,44334
LGA14870,633,1258,58,63,115,815,857,1666,82,186,263,103,141,242,7,18,30,192,345,534,767,817,1582,8708,8796,17499,1053,703,1757,10528,10316,20842
LGA14900,2242,4518,381,397,779,3802,4243,8048,523,1021,1542,389,414,807,261,332,590,1173,1767,2943,7154,8118,15269,101146,101568,202714,7861,7598,15455,116161,117284,233446
LGA14920,217,422,32,28,60,286,314,600,24,43,67,38,54,95,7,22,28,69,119,189,257,250,506,3080,3082,6164,456,424,881,3793,3756,7551
LGA14950,93,190,8,8,15,127,125,248,20,47,66,24,22,44,3,9,8,47,78,125,111,128,241,1396,1411,2807,143,132,271,1650,1671,3319
LGA15050,1746,3268,82,114,191,1985,2358,4334,209,524,737,272,357,628,44,85,128,525,966,1494,2931,3103,6042,39061,41347,80407,1919,1863,3781,43911,46313,90226
LGA15240,3943,7921,335,372,707,5189,5348,10533,623,1144,1764,798,975,1769,135,218,354,1556,2337,3884,4226,4488,8714,39462,41606,81074,3399,3395,6794,47087,49489,96579
LGA15270,682,1339,70,75,145,866,917,1782,87,179,262,120,146,270,18,49,64,225,374,598,791,764,1553,11119,11061,22177,1035,942,1982,12945,12767,25713
LGA15300,225,456,56,54,113,348,331,690,25,38,65,39,50,93,13,24,40,77,112,199,306,262,570,4720,4802,9523,1352,1306,2653,6378,6370,12751
LGA15350,1007,1829,48,79,132,953,1256,2216,144,291,431,190,258,451,10,26,38,344,575,916,367,624,993,12179,14132,26310,489,540,1032,13035,15296,28329
LGA15520,452,937,56,63,116,611,613,1223,42,78,120,98,106,206,34,37,76,174,221,401,346,361,711,5544,5612,11155,517,471,988,6407,6444,12850
LGA15560,75,156,10,11,27,110,106,214,12,18,29,18,12,39,8,4,13,38,34,76,96,92,188,1481,1361,2839,173,149,325,1750,1602,3353
LGA15650,287,575,29,20,54,356,384,746,25,80,103,48,70,123,13,16,26,86,166,256,471,440,914,7100,7006,14107,833,503,1336,8404,7949,16357
LGA15700,725,1450,55,56,118,953,994,1953,119,231,356,142,164,309,22,36,53,283,431,713,944,954,1903,8155,8677,16828,842,837,1672,9941,10468,20407
LGA15750,305,571,28,26,54,365,418,787,51,108,161,49,66,116,8,8,23,108,182,303,368,397,764,5307,5257,10564,725,649,1373,6400,6303,12703
LGA15800,166,310,16,21,33,203,239,437,32,73,108,35,44,76,6,9,14,73,126,203,207,235,438,2329,2384,4715,282,260,539,2818,2879,5698
LGA15850,171,343,24,32,65,235,232,473,10,23,36,40,51,88,26,27,53,76,101,173,164,135,306,2602,2575,5181,448,432,880,3214,3142,6360
LGA15900,3395,6299,225,315,545,4021,4937,8967,743,1570,2312,651,928,1578,144,381,527,1538,2879,4421,4975,5785,10752,73767,76060,149831,4235,4051,8289,82977,85896,168873
LGA15950,1713,3169,118,141,256,1741,2106,3848,143,314,463,266,338,609,56,103,153,465,755,1226,702,1011,1713,30245,33829,64074,1492,1666,3162,32439,36506,68950
LGA15990,7013,13219,351,461,809,7561,8941,16501,1053,2194,3247,1462,1865,3328,231,434,668,2746,4493,7243,4398,5756,10154,119791,123912,243699,4740,4959,9696,128929,134627,263554
LGA16100,155,316,28,23,53,222,210,429,16,30,51,26,29,53,0,5,9,42,64,107,146,159,308,2338,2213,4551,427,290,720,2911,2662,5580
LGA16150,1014,1865,70,77,149,1132,1378,2511,163,304,465,198,269,469,40,71,118,401,644,1049,1325,1373,2706,18591,19709,38299,1265,1249,2510,21181,22331,43512
LGA16200,383,706,28,38,62,449,549,995,75,131,209,70,118,187,16,29,46,161,278,438,508,548,1053,6072,6144,12220,572,513,1084,7152,7205,14361
LGA16260,3573,6985,213,326,537,4536,5405,9948,723,1351,2073,797,853,1649,150,193,342,1670,2397,4067,4690,5843,10535,116449,115822,232272,7591,6331,13923,128730,127996,256729
LGA16350,2797,5542,297,381,679,3829,4330,8164,380,864,1240,427,515,944,155,375,529,962,1754,2713,5952,6086,12041,94527,97108,191637,7097,6886,13981,107576,110080,217664
LGA16380,3531,6743,195,228,423,4100,4583,8690,491,1005,1497,771,838,1611,111,196,309,1373,2039,3417,3482,3711,7187,36005,39329,75332,2089,2149,4238,41576,45189,86762
LGA16400,2502,5006,226,232,460,3233,3331,6564,275,518,795,388,447,836,84,153,237,747,1118,1860,2728,2725,5453,32263,33507,65770,2071,1982,4055,37062,38214,75276
LGA16490,924,1820,55,81,138,1170,1306,2475,139,253,396,151,165,313,23,42,60,313,460,777,1310,1471,2776,28886,28413,57296,1668,1554,3223,31864,31438,63304
LGA16550,2638,4961,275,261,535,3126,3778,6904,510,924,1436,577,675,1255,247,441,681,1334,2040,3371,2401,3126,5527,58353,62002,120351,4628,3743,8375,65382,68871,134252
LGA16610,683,1356,74,75,156,902,949,1857,122,219,336,153,185,337,34,50,86,309,454,765,933,926,1863,9521,9903,19423,1177,1100,2282,11631,11929,23565
LGA16700,2171,4085,131,175,311,2579,3260,5836,562,1008,1570,513,659,1171,119,241,360,1194,1908,3111,2583,3502,6086,57713,59790,117505,2739,2787,5525,63035,66079,129123
LGA16900,1609,3099,150,165,324,2059,2391,4452,256,484,735,287,313,601,196,170,362,739,967,1695,2598,2793,5392,32724,34336,67060,1946,1880,3819,37268,39009,76271
LGA16950,3642,7391,271,277,551,4852,4971,9829,557,1047,1606,766,869,1637,97,164,258,1420,2080,3504,4295,4484,8783,45235,47013,92245,4193,3306,7500,53723,54803,108531
LGA17000,360,755,38,35,69,524,511,1033,70,120,188,65,82,146,8,6,19,143,208,353,647,675,1324,11105,10581,21687,906,662,1563,12658,11918,24577
LGA17040,507,1046,53,46,95,683,669,1349,78,145,222,110,101,212,15,31,46,203,277,483,519,544,1055,9632,9192,18819,1022,765,1792,11173,10501,21666
LGA17080,411,877,55,53,105,602,543,1141,53,138,197,83,87,173,11,19,32,147,244,398,445,466,909,6327,6374,12702,730,556,1287,7502,7396,14891
LGA17100,573,1140,39,47,86,796,921,1717,168,320,488,158,146,305,14,24,37,340,490,826,819,1134,1951,21160,19930,41087,1388,1170,2556,23367,22234,45593
LGA17150,5730,10877,307,430,738,6327,7529,13859,965,1830,2791,1234,1549,2788,255,606,859,2454,3985,6435,4639,5731,10369,103842,107643,211486,4078,4279,8354,112559,117653,230211
LGA17200,1999,4145,298,281,578,2999,2974,5972,351,592,944,386,418,810,97,179,278,834,1189,2037,2758,3056,5812,99455,91107,190562,8407,6857,15258,110620,101020,211632
LGA17310,1663,3072,140,191,336,1901,2279,4178,231,501,733,295,378,674,70,101,172,596,980,1579,2081,2124,4204,26515,27760,54276,2315,2278,4593,30911,32162,63070
LGA17350,215,415,15,20,38,256,280,530,37,72,107,48,68,115,5,17,15,90,157,236,220,224,447,2570,2684,5260,157,177,334,2947,3085,6034
LGA17400,229,465,21,25,47,315,316,633,26,71,102,49,50,92,8,13,21,83,134,211,267,283,552,2731,2858,5585,335,335,671,3333,3476,6810
LGA17420,3406,6835,157,143,297,4234,4492,8724,511,952,1460,551,564,1121,128,137,262,1190,1653,2845,3238,3873,7108,88739,90733,179471,2685,2619,5297,94662,97225,191876
LGA17550,3268,6265,270,333,605,3958,4516,8467,615,1102,1713,739,937,1673,174,283,450,1528,2322,3844,3432,3809,7241,39966,43335,83303,3407,3436,6848,46805,50580,97392
LGA17620,371,718,36,26,63,449,493,942,72,121,189,75,99,171,15,29,45,162,249,406,405,426,827,6214,6244,12457,497,451,945,7116,7121,14229
LGA17640,232,504,36,21,52,355,311,667,44,69,107,42,63,108,13,3,15,99,135,229,234,272,507,3695,3596,7289,385,334,720,4314,4202,8514
LGA17650,147,318,13,13,35,214,202,422,18,41,54,23,29,53,0,4,7,41,74,118,176,225,402,2506,2664,5167,197,199,402,2879,3088,5971
LGA17750,1404,2619,117,116,232,1599,1929,3524,234,501,733,297,398,691,47,100,139,578,999,1567,1869,2133,3998,29045,30737,59783,1972,1852,3826,32886,34722,67609
LGA17850,137,261,15,13,23,158,169,324,10,23,31,19,22,47,0,4,8,29,49,81,78,86,161,1297,1273,2568,144,141,287,1519,1500,3016
LGA17900,85,198,48,45,91,193,157,353,12,17,28,16,14,33,11,9,17,39,40,83,177,141,318,1791,1748,3541,696,705,1396,2664,2594,5253
LGA17950,70,139,17,22,36,105,106,212,3,14,20,12,24,34,0,26,29,15,64,87,63,68,129,1072,1070,2140,132,141,279,1267,1279,2550
LGA18020,275,584,74,69,143,455,423,873,50,93,145,55,68,123,35,38,69,140,199,345,363,353,712,3607,3615,7213,651,650,1299,4621,4618,9225
LGA18050,1117,2101,91,162,251,1258,1591,2849,173,377,553,243,289,536,100,198,298,516,864,1381,774,1177,1951,30438,31971,62407,2061,2185,4249,33273,35333,68605
LGA18100,133,271,18,12,25,180,166,354,21,43,63,34,28,66,6,3,8,61,74,143,145,139,281,1567,1499,3066,137,131,259,1849,1769,3608
LGA18200,144,340,22,20,43,250,208,464,14,52,71,30,28,56,0,7,13,44,87,136,207,207,413,3140,2944,6084,521,437,952,3868,3588,7453
LGA18250,1435,2737,60,98,161,1640,1969,3611,327,700,1023,339,428,766,50,111,164,716,1239,1954,1180,1774,2957,33918,35990,69907,1297,1455,2753,36395,39219,75613
LGA18350,2181,4176,140,176,315,2421,2748,5167,235,437,669,409,408,821,106,168,278,750,1013,1764,1337,1601,2940,22632,24397,47031,1338,1402,2740,25307,27400,52709
LGA18400,861,1790,105,109,212,1225,1242,2462,114,162,274,164,154,316,52,129,181,330,445,766,1304,1261,2564,24405,24357,48760,1317,1321,2642,27026,26939,53961
LGA18450,4961,9486,343,436,775,6097,7218,13310,990,1937,2930,980,1183,2156,200,464,663,2170,3584,5754,6604,7849,14458,94114,96092,190208,4899,5004,9903,105617,108945,214564
LGA18500,1740,3174,110,167,271,1721,2163,3876,195,359,559,368,415,779,118,272,385,681,1046,1724,646,904,1552,22972,26101,49070,1331,1539,2870,24949,28544,53496
LGA18710,354,706,33,38,73,460,479,935,54,109,164,65,81,148,12,20,27,131,210,338,449,478,926,7600,7902,15500,449,408,854,8498,8788,17281
LGA19399,23,45,0,3,6,27,26,55,3,0,5,8,4,12,4,0,4,15,4,20,13,4,19,472,437,911,45,49,93,530,490,1016
LGA19499,76,192,35,20,53,170,108,277,8,15,15,10,5,14,6,8,14,24,28,49,300,232,537,3791,3220,7010,2285,1546,3831,6376,4998,11371
LGA19799,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
LGA20110,429,825,33,50,86,493,591,1080,59,120,176,90,92,181,13,24,41,162,236,396,331,385,720,5775,5834,11607,463,450,909,6569,6669,13235
LGA20260,339,659,60,26,85,452,465,915,64,122,184,69,89,154,20,17,38,153,228,371,450,470,922,4703,4779,9490,1119,348,1471,6272,5597,11880
LGA20570,2725,4935,187,214,403,3029,3717,6743,454,962,1413,485,714,1197,93,171,263,1032,1847,2877,3980,4400,8382,47862,51732,99594,2896,2889,5785,54738,59021,113763
LGA20660,3062,5807,138,149,289,3481,4197,7678,587,1265,1844,624,737,1360,73,126,197,1284,2128,3400,3248,4178,7419,55929,58495,114421,2229,2168,4400,61406,64841,126236
LGA20740,1391,2783,118,119,240,1790,1854,3641,208,361,563,247,302,556,56,43,95,511,706,1218,1343,1564,2901,17177,18006,35180,1320,1389,2708,19840,20959,40789
LGA20830,1503,3035,113,120,235,1934,2007,3940,221,432,649,267,309,575,55,79,128,543,820,1359,1803,1976,3775,24536,25903,50441,1697,1719,3410,28036,29598,57626
LGA20910,2950,5492,153,197,347,3098,3839,6937,466,1193,1659,664,817,1482,100,182,279,1230,2192,3422,1816,2918,4734,44727,47994,92719,1832,2019,3854,48375,52931,101306
LGA21010,520,1036,48,70,116,662,726,1392,84,144,233,112,155,275,17,41,57,213,340,566,528,610,1136,5916,6257,12178,609,609,1218,7053,7476,14528
LGA21110,4169,7659,175,243,419,4340,5487,9829,800,1828,2628,927,1126,2054,95,190,281,1822,3144,4961,3011,4506,7516,74782,79989,154778,2722,2890,5609,80515,87385,167900
LGA21180,2701,5591,304,288,588,4645,5076,9714,775,1539,2321,483,470,948,132,265,395,1390,2274,3664,6820,8158,14975,83930,82892,166824,6744,6074,12813,97494,97124,194618
LGA21270,194,388,26,29,52,267,282,547,32,81,108,52,64,115,17,40,58,101,185,286,238,280,517,2654,2468,5118,297,248,548,3189,2996,6178
LGA21370,1185,2350,134,134,274,1570,1633,3201,196,329,525,259,300,558,58,134,193,513,763,1273,1433,1437,2864,16281,16834,33106,1397,1363,2760,19111,19634,38735
LGA21450,1725,3394,127,156,283,2205,2424,4640,254,479,738,293,321,610,53,102,149,600,902,1494,2766,2963,5730,52420,53814,106229,3087,3147,6237,58273,59924,118194
LGA21610,3981,7816,291,352,639,5466,6244,11711,729,1593,2320,730,862,1595,103,189,295,1562,2644,4207,8845,10147,18994,163930,164085,328011,9261,8965,18233,182036,183197,365239
LGA21670,523,1069,55,42,100,712,712,1433,79,144,225,106,124,232,21,28,47,206,296,501,670,725,1396,5451,5638,11092,522,470,984,6643,6833,13483
LGA21750,637,1254,53,53,109,806,838,1651,96,225,319,122,157,279,20,36,52,238,418,651,725,808,1531,9695,9680,19378,803,716,1520,11223,11204,22423
LGA21830,542,1020,40,47,81,615,710,1322,68,144,213,120,131,251,26,36,61,214,311,517,540,563,1110,6974,6912,13885,603,525,1132,8117,8000,16115
LGA21890,2375,4458,181,201,388,3212,4141,7356,849,1516,2364,570,657,1230,121,233,352,1540,2406,3949,4198,5662,9855,64566,67446,132012,3401,3305,6706,72165,76413,148570
LGA22110,1803,3678,191,176,366,2467,2412,4873,220,378,599,344,362,702,78,133,212,642,873,1516,1881,1868,3755,20171,21005,41181,1895,1886,3781,23947,24759,48715
LGA22170,2827,5318,194,252,448,3269,3971,7236,464,1027,1491,549,702,1242,100,186,276,1113,1915,3017,4119,4893,9014,60129,62649,122784,3781,3692,7480,68029,71234,139281
LGA22250,414,818,28,44,71,527,545,1068,50,105,152,104,108,216,17,21,37,171,234,409,399,389,788,4481,4563,9045,438,409,847,5318,5361,10683
LGA22310,2817,5172,133,208,349,3131,4084,7220,659,1457,2115,659,907,1567,79,216,296,1397,2580,3979,2934,4218,7161,66696,69552,136246,2594,2915,5507,72224,76685,148908
LGA22410,565,1149,62,51,113,763,782,1545,97,189,282,108,141,251,16,39,56,221,369,594,738,824,1566,8579,8622,17203,728,658,1385,10045,10104,20152
LGA22490,341,760,32,24,55,545,465,1007,43,105,147,50,53,104,4,5,14,97,163,258,700,634,1334,11405,10982,22390,676,591,1263,12781,12207,24985
