LGA_CODE_2021,C21_SH_Tot_NPFH_6_mor,C21_SH_Tot_Tot,C21_SDRTHT_0b_s_a_b_NPFH_2,C21_SDRTHT_0b_s_a_b_NPFH_3,C21_SDRTHT_0b_s_a_b_NPFH_4,C21_SDRTHT_0b_s_a_b_NPFH_5,C21_SDRTHT_0b_s_a_b_NPFH_6mor,C21_SDRTHT_0b_s_a_b_Tot,C21_SDRTHT_1b_NPFH_2,C21_SDRTHT_1b_NPFH_3,C21_SDRTHT_1b_NPFH_4,C21_SDRTHT_1b_NPFH_5,C21_SDRTHT_1b_NPFH_6_mor,C21_SDRTHT_1b_Tot,C21_SDRTHT_2b_NPFH_2,C21_SDRTHT_2b_NPFH_3,C21_SDRTHT_2b_NPFH_4,C21_SDRTHT_2b_NPFH_5,C21_SDRTHT_2b_NPFH_6_mor,C21_SDRTHT_2b_Tot,C21_SDRTHT_3b_NPFH_2,C21_SDRTHT_3b_NPFH_3,C21_SDRTHT_3b_NPFH_4,C21_SDRTHT_3b_NPFH_5,C21_SDRTHT_3b_NPFH_6_mor,C21_SDRTHT_3b_Tot,C21_SDRTHT_4mb_NPFH_2,C21_SDRTHT_4mb_NPFH_3,C21_SDRTHT_4mb_NPFH_4,C21_SDRTHT_4mb_NPFH_5,C21_SDRTHT_4mb_NPFH_6_mor,C21_SDRTHT_4mb_Tot,C21_SDRTHT_NB_NS_NPFH_2,C21_SDRTHT_NB_NS_NPFH_3,C21_SDRTHT_NB_NS_NPFH_4,C21_SDRTHT_NB_NS_NPFH_5,C21_SDRTHT_NB_NS_NPFH_6_mor,C21_SDRTHT_NB_NS_Tot,C21_SDRTHT_Tot_NPFH_2,C21_SDRTHT_Tot_NPFH_3,C21_SDRTHT_Tot_NPFH_4,C21_SDRTHT_Tot_NPFH_5,C21_SDRTHT_Tot_NPFH_6_mor,C21_SDRTHT_Tot_Tot,C21_F_a_0b_s_a_b_NPFH_2,C21_F_a_0b_s_a_b_NPFH_3,C21_F_a_0b_s_a_b_NPFH_4,C21_F_a_0b_s_a_b_NPFH_5,C21_F_a_0b_s_a_b_NPFH_6_mor,C21_F_a_0b_s_a_b_Total,C21_F_a_1b_NPFH_2,C21_F_a_1b_NPFH_3,C21_F_a_1b_NPFH_4,C21_F_a_1b_NPFH_5,C21_F_a_1b_NPFH_6_mor,C21_F_a_1b_Tot,C21_F_a_2b_NPFH_2,C21_F_a_2b_NPFH_3,C21_F_a_2b_NPFH_4,C21_F_a_2b_NPFH_5,C21_F_a_2b_NPFH_6_mor,C21_F_a_2b_Tot,C21_F_a_3b_NPFH_2,C21_F_a_3b_NPFH_3,C21_F_a_3b_NPFH_4,C21_F_a_3b_NPFH_5,C21_F_a_3b_NPFH_6_mor,C21_F_a_3b_Tot,C21_F_a_4mb_NPFH_2,C21_F_a_4mb_NPFH_3,C21_F_a_4mb_NPFH_4,C21_F_a_4mb_NPFH_5,C21_F_a_4mb_NPFH_6_mor,C21_F_a_4mb_Tot,C21_F_a_NB_NS_NPFH_2,C21_F_a_NB_NS_NPFH_3,C21_F_a_NB_NS_NPFH_4,C21_F_a_NB_NS_NPFH_5,C21_F_a_NB_NS_NPFH_6_mor,C21_F_a_NB_NS_Tot,C21_F_a_Tot_NPFH_2,C21_F_a_Tot_NPFH_3,C21_F_a_Tot_NPFH_4,C21_F_a_Tot_NPFH_5,C21_F_a_Tot_NPFH_6_mor,C21_F_a_Tot_Tot,C21_OD_0b_s_a_b_NPFH_2,C21_OD_0b_s_a_b_NPFH_3,C21_OD_0b_s_a_b_NPFH_4,C21_OD_0b_s_a_b_NPFH_5,C21_OD_0b_s_a_b_NPFH_6_mor,C21_OD_0b_s_a_b_Tot,C21_OD_1b_NPFH_2,C21_OD_1b_NPFH_3,C21_OD_1b_NPFH_4,C21_OD_1b_NPFH_5,C21_OD_1b_NPFH_6_mor,C21_OD_1b_Tot,C21_OD_2b_NPFH_2,C21_OD_2b_NPFH_3,C21_OD_2b_NPFH_4,C21_OD_2b_NPFH_5,C21_OD_2b_NPFH_6_mor,C21_OD_2b_Tot,C21_OD_3b_NPFH_2,C21_OD_3b_NPFH_3,C21_OD_3b_NPFH_4,C21_OD_3b_NPFH_5,C21_OD_3b_NPFH_6_mor,C21_OD_3b_Tot,C21_OD_4mb_NPFH_2,C21_OD_4mb_NPFH_3,C21_OD_4mb_NPFH_4,C21_OD_4mb_NPFH_5,C21_OD_4mb_NPFH_6_mor,C21_OD_4mb_Tot,C21_OD_NB_NS_NPFH_2,C21_OD_NB_NS_NPFH_3,C21_OD_NB_NS_NPFH_4,C21_OD_NB_NS_NPFH_5,C21_OD_NB_NS_NPFH_6_mor,C21_OD_NB_NS_Tot,C21_OD_Tot_NPFH_2,C21_OD_Tot_NPFH_3,C21_OD_Tot_NPFH_4,C21_OD_Tot_NPFH_5,C21_OD_Tot_NPFH_6_mor,C21_OD_Tot_Tot,C21_DS_NS_NPFH_2,C21_DS_NS_NPFH_3,C21_DS_NS_NPFH_4,C21_DS_NS_NPFH_5,C21_DS_NS_NPFH_6_mor,C21_DS_NS_Tot,C21_Tot_NPFH_2,C21_Tot_NPFH_3,C21_Tot_NPFH_4,C21_Tot_NPFH_5,C21_Tot_NPFH_6_mor,C21_Tot_Tot
LGA12390,689,12261,0,0,0,0,0,0,17,0,0,0,0,17,260,70,26,7,5,363,105,39,29,7,0,182,20,17,10,11,11,59,11,5,5,0,0,15,404,128,70,22,14,638,0,0,0,0,0,0,30,4,0,0,0,32,178,84,37,5,0,305,19,15,9,8,0,36,6,6,3,0,0,17,3,0,0,0,0,7,238,101,42,14,5,394,3,0,0,0,0,3,5,0,0,0,0,5,7,7,5,0,0,16,0,6,0,4,0,8,3,0,4,0,0,9,0,0,0,0,0,0,25,10,4,5,0,46,13,5,4,4,0,25,5940,2847,2556,1316,708,13367
LGA12700,115,2612,0,0,0,0,0,0,0,0,0,0,0,0,6,4,0,0,0,12,0,0,0,0,0,3,0,0,3,0,0,9,0,0,0,0,0,0,8,3,3,0,0,16,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,3,0,0,0,0,0,0,3,0,0,0,0,3,0,0,0,0,0,6,0,0,0,0,0,4,0,0,0,0,0,3,0,0,0,0,0,0,15,5,0,0,0,17,10,0,0,0,0,11,1308,500,498,241,120,2662
LGA12730,75,2043,0,0,0,0,0,0,0,0,0,0,0,0,45,6,3,0,0,55,3,0,0,0,0,3,3,0,0,0,0,0,0,0,0,0,0,0,57,13,3,0,0,68,0,0,0,0,0,0,0,6,0,0,0,3,0,0,0,0,0,7,6,0,0,0,0,6,0,0,0,0,0,0,0,0,0,0,0,0,4,6,4,0,0,9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,0,0,3,7,3,3,0,0,7,1185,348,357,167,76,2138
LGA12750,342,9952,4,0,0,0,0,4,8,5,0,0,0,14,169,16,4,3,0,198,224,63,29,13,7,327,26,4,5,4,4,49,9,4,0,0,0,12,444,92,37,23,6,604,0,0,0,0,0,0,7,0,0,0,0,7,131,28,10,0,0,173,107,24,20,0,0,147,12,5,5,3,0,17,3,0,0,0,0,4,256,57,36,5,0,349,9,0,0,0,0,9,25,0,0,0,0,26,50,6,0,0,0,58,10,3,0,0,0,15,6,0,0,0,0,9,3,0,0,0,0,0,101,15,4,4,0,113,19,0,0,0,0,20,6803,1738,1510,648,349,11045
LGA12850,5579,37317,8,0,0,0,0,12,50,11,3,0,0,64,456,267,166,63,15,975,964,925,971,556,286,3698,146,157,254,215,251,1034,18,25,15,11,3,77,1643,1386,1416,855,554,5850,15,0,0,0,0,18,251,53,14,5,0,322,1785,1158,655,211,58,3872,203,232,294,174,75,979,18,31,50,50,58,204,51,22,10,11,3,99,2318,1504,1020,451,197,5491,0,0,0,0,0,0,10,0,0,0,0,9,21,3,7,4,0,35,6,4,4,0,0,13,0,3,0,4,5,12,0,0,0,0,0,0,32,19,5,8,3,71,39,26,23,13,14,122,13935,10695,11013,6850,6352,48853
LGA12870,107,3230,0,0,0,0,0,0,0,0,0,0,0,6,105,14,0,0,0,113,34,5,3,0,0,47,6,0,0,4,0,4,0,0,0,0,0,3,144,18,3,0,0,173,0,0,0,0,0,0,0,0,0,0,0,0,7,0,0,0,0,8,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7,0,0,0,0,9,0,0,0,0,0,3,3,0,0,0,0,3,10,0,0,0,0,9,4,0,0,0,0,7,0,0,0,0,0,0,0,0,0,0,0,0,15,0,0,0,0,17,5,0,5,0,0,14,2003,569,512,243,109,3440
LGA12900,112,2269,0,0,0,0,0,0,0,0,0,0,0,0,17,5,0,3,0,24,6,5,0,0,0,16,4,0,6,3,0,14,3,0,0,0,0,3,33,8,11,3,0,54,0,0,0,0,0,0,0,0,0,0,0,0,19,3,0,0,0,21,4,0,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,28,3,0,0,0,34,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0,0,10,0,0,3,0,15,4,0,0,0,0,3,1235,407,388,227,114,2370
LGA12930,1663,22639,4,0,0,3,0,10,32,9,0,0,0,46,377,161,91,18,3,643,840,604,613,173,61,2289,283,281,381,188,124,1261,17,3,6,0,0,36,1560,1061,1086,381,188,4277,12,0,0,0,0,15,706,114,31,6,5,859,3652,2554,1520,312,65,8107,767,819,764,316,148,2812,42,45,64,37,27,227,53,40,33,11,9,144,5239,3573,2419,681,249,12155,0,0,0,0,0,0,11,6,0,0,0,14,43,34,10,6,0,90,4,14,15,6,0,45,4,0,0,0,0,11,0,0,0,0,0,3,67,52,32,13,3,167,12,3,3,7,3,33,14052,9628,9477,4002,2107,39262
LGA12950,32,1048,0,0,0,0,0,0,0,0,0,0,0,0,13,0,0,0,0,13,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,12,0,0,0,0,12,0,0,0,0,0,0,5,0,0,0,0,5,8,5,0,0,0,9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,9,5,0,0,0,15,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,0,0,10,0,0,0,0,0,0,575,197,160,106,35,1084
LGA13010,58,2161,0,0,0,0,0,0,8,0,0,0,0,9,15,0,3,0,0,12,4,0,0,0,0,11,3,0,0,0,0,3,0,0,0,0,0,4,22,4,8,5,0,37,0,0,0,0,0,0,0,0,0,0,0,0,14,0,0,0,0,13,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,14,0,0,0,0,11,0,0,0,0,0,4,3,0,0,0,0,4,3,0,0,0,0,7,0,0,0,0,0,4,0,0,0,0,0,3,0,0,0,0,0,0,13,4,0,3,0,19,6,0,0,0,0,6,1328,370,315,162,61,2243
