LGA_CODE_2021,C21_SH_Tot_NPFH_6_mor,C21_SH_Tot_Tot,C21_SDRTHT_0b_s_a_b_NPFH_2,C21_SDRTHT_0b_s_a_b_NPFH_3,C21_SDRTHT_0b_s_a_b_NPFH_4,C21_SDRTHT_0b_s_a_b_NPFH_5,C21_SDRTHT_0b_s_a_b_NPFH_6mor,C21_SDRTHT_0b_s_a_b_Tot,C21_SDRTHT_1b_NPFH_2,C21_SDRTHT_1b_NPFH_3,C21_SDRTHT_1b_NPFH_4,C21_SDRTHT_1b_NPFH_5,C21_SDRTHT_1b_NPFH_6_mor,C21_SDRTHT_1b_Tot,C21_SDRTHT_2b_NPFH_2,C21_SDRTHT_2b_NPFH_3,C21_SDRTHT_2b_NPFH_4,C21_SDRTHT_2b_NPFH_5,C21_SDRTHT_2b_NPFH_6_mor,C21_SDRTHT_2b_Tot,C21_SDRTHT_3b_NPFH_2,C21_SDRTHT_3b_NPFH_3,C21_SDRTHT_3b_NPFH_4,C21_SDRTHT_3b_NPFH_5,C21_SDRTHT_3b_NPFH_6_mor,C21_SDRTHT_3b_Tot,C21_SDRTHT_4mb_NPFH_2,C21_SDRTHT_4mb_NPFH_3,C21_SDRTHT_4mb_NPFH_4,C21_SDRTHT_4mb_NPFH_5,C21_SDRTHT_4mb_NPFH_6_mor,C21_SDRTHT_4mb_Tot,C21_SDRTHT_NB_NS_NPFH_2,C21_SDRTHT_NB_NS_NPFH_3,C21_SDRTHT_NB_NS_NPFH_4,C21_SDRTHT_NB_NS_NPFH_5,C21_SDRTHT_NB_NS_NPFH_6_mor,C21_SDRTHT_NB_NS_Tot,C21_SDRTHT_Tot_NPFH_2,C21_SDRTHT_Tot_NPFH_3,C21_SDRTHT_Tot_NPFH_4,C21_SDRTHT_Tot_NPFH_5,C21_SDRTHT_Tot_NPFH_6_mor,C21_SDRTHT_Tot_Tot,C21_F_a_0b_s_a_b_NPFH_2,C21_F_a_0b_s_a_b_NPFH_3,C21_F_a_0b_s_a_b_NPFH_4,C21_F_a_0b_s_a_b_NPFH_5,C21_F_a_0b_s_a_b_NPFH_6_mor,C21_F_a_0b_s_a_b_Total,C21_F_a_1b_NPFH_2,C21_F_a_1b_NPFH_3,C21_F_a_1b_NPFH_4,C21_F_a_1b_NPFH_5,C21_F_a_1b_NPFH_6_mor,C21_F_a_1b_Tot,C21_F_a_2b_NPFH_2,C21_F_a_2b_NPFH_3,C21_F_a_2b_NPFH_4,C21_F_a_2b_NPFH_5,C21_F_a_2b_NPFH_6_mor,C21_F_a_2b_Tot,C21_F_a_3b_NPFH_2,C21_F_a_3b_NPFH_3,C21_F_a_3b_NPFH_4,C21_F_a_3b_NPFH_5,C21_F_a_3b_NPFH_6_mor,C21_F_a_3b_Tot,C21_F_a_4mb_NPFH_2,C21_F_a_4mb_NPFH_3,C21_F_a_4mb_NPFH_4,C21_F_a_4mb_NPFH_5,C21_F_a_4mb_NPFH_6_mor,C21_F_a_4mb_Tot,C21_F_a_NB_NS_NPFH_2,C21_F_a_NB_NS_NPFH_3,C21_F_a_NB_NS_NPFH_4,C21_F_a_NB_NS_NPFH_5,C21_F_a_NB_NS_NPFH_6_mor,C21_F_a_NB_NS_Tot,C21_F_a_Tot_NPFH_2,C21_F_a_Tot_NPFH_3,C21_F_a_Tot_NPFH_4,C21_F_a_Tot_NPFH_5,C21_F_a_Tot_NPFH_6_mor,C21_F_a_Tot_Tot,C21_OD_0b_s_a_b_NPFH_2,C21_OD_0b_s_a_b_NPFH_3,C21_OD_0b_s_a_b_NPFH_4,C21_OD_0b_s_a_b_NPFH_5,C21_OD_0b_s_a_b_NPFH_6_mor,C21_OD_0b_s_a_b_Tot,C21_OD_1b_NPFH_2,C21_OD_1b_NPFH_3,C21_OD_1b_NPFH_4,C21_OD_1b_NPFH_5,C21_OD_1b_NPFH_6_mor,C21_OD_1b_Tot,C21_OD_2b_NPFH_2,C21_OD_2b_NPFH_3,C21_OD_2b_NPFH_4,C21_OD_2b_NPFH_5,C21_OD_2b_NPFH_6_mor,C21_OD_2b_Tot,C21_OD_3b_NPFH_2,C21_OD_3b_NPFH_3,C21_OD_3b_NPFH_4,C21_OD_3b_NPFH_5,C21_OD_3b_NPFH_6_mor,C21_OD_3b_Tot,C21_OD_4mb_NPFH_2,C21_OD_4mb_NPFH_3,C21_OD_4mb_NPFH_4,C21_OD_4mb_NPFH_5,C21_OD_4mb_NPFH_6_mor,C21_OD_4mb_Tot,C21_OD_NB_NS_NPFH_2,C21_OD_NB_NS_NPFH_3,C21_OD_NB_NS_NPFH_4,C21_OD_NB_NS_NPFH_5,C21_OD_NB_NS_NPFH_6_mor,C21_OD_NB_NS_Tot,C21_OD_Tot_NPFH_2,C21_OD_Tot_NPFH_3,C21_OD_Tot_NPFH_4,C21_OD_Tot_NPFH_5,C21_OD_Tot_NPFH_6_mor,C21_OD_Tot_Tot,C21_DS_NS_NPFH_2,C21_DS_NS_NPFH_3,C21_DS_NS_NPFH_4,C21_DS_NS_NPFH_5,C21_DS_NS_NPFH_6_mor,C21_DS_NS_Tot,C21_Tot_NPFH_2,C21_Tot_NPFH_3,C21_Tot_NPFH_4,C21_Tot_NPFH_5,C21_Tot_NPFH_6_mor,C21_Tot_Tot
LGA18710,234,4526,0,0,0,0,0,0,0,0,0,0,0,0,38,5,0,0,0,49,11,6,3,4,0,32,0,0,0,0,0,3,0,0,0,0,0,0,54,13,8,3,3,83,0,0,0,0,0,0,4,0,0,0,0,4,9,0,0,0,0,7,4,4,0,0,0,8,0,0,0,0,0,0,0,0,0,0,0,0,14,5,0,0,0,18,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,3,0,0,0,0,0,0,0,0,4,0,0,4,0,0,0,0,0,0,0,0,4,0,0,7,6,3,6,0,0,16,2020,917,982,503,239,4653
LGA19399,11,213,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,3,0,0,0,0,7,0,0,0,0,0,0,9,3,0,0,0,12,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,6,4,7,0,12,119,49,41,20,11,246
LGA19499,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
LGA19799,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
LGA20110,73,3423,0,0,0,0,0,0,6,0,0,0,0,6,39,8,0,3,0,47,20,8,4,0,0,29,3,0,0,3,0,7,5,0,0,0,0,5,66,12,5,8,0,90,0,0,0,0,0,0,0,0,0,0,0,0,11,3,0,0,0,14,5,0,0,0,0,3,3,0,0,0,0,3,0,0,0,0,0,0,11,4,0,5,0,19,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,3,0,0,9,0,0,0,0,0,9,0,0,0,0,0,0,4,8,5,0,0,18,6,5,0,0,0,15,2053,590,582,265,76,3567
LGA20260,80,2833,0,0,0,0,0,0,3,0,0,0,0,3,39,5,4,0,0,45,13,8,9,0,0,26,3,0,0,0,0,8,0,0,0,0,0,5,57,17,9,0,0,82,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0,0,5,0,0,0,0,5,0,0,0,0,0,0,3,0,0,0,0,3,0,0,0,0,0,0,4,0,0,0,0,3,0,0,0,0,0,5,0,0,0,0,0,0,7,0,4,0,3,15,4,7,0,0,0,5,1627,528,470,228,83,2939
LGA20570,917,26940,0,0,0,0,0,0,45,5,0,0,0,50,595,106,33,4,4,744,561,236,123,33,0,947,85,60,87,36,22,292,25,3,4,0,0,29,1314,410,239,77,26,2069,0,0,0,0,0,0,17,0,0,0,0,21,121,33,3,0,0,154,73,27,10,6,0,114,9,0,0,0,0,12,0,0,0,0,0,0,217,62,13,9,3,302,0,0,0,0,0,0,3,0,0,0,0,9,13,0,0,0,0,17,9,6,4,0,0,17,3,0,0,0,3,6,0,0,0,0,0,0,35,4,6,0,3,52,16,9,7,0,0,34,14019,6045,5845,2535,949,29393
LGA20660,783,28215,0,0,0,0,0,3,66,6,0,0,0,75,1209,327,112,11,4,1665,951,645,464,86,38,2186,117,88,120,51,20,400,18,4,4,0,0,27,2365,1071,704,150,61,4357,0,0,0,0,0,0,157,10,0,0,0,167,803,199,64,15,3,1074,194,86,66,13,3,361,11,3,11,7,6,36,11,4,0,0,0,13,1182,302,132,32,7,1661,0,0,0,0,0,0,0,0,0,0,0,3,6,0,0,0,0,5,4,0,0,0,0,5,0,0,0,0,0,0,0,0,0,0,0,0,11,0,0,0,0,15,23,3,0,0,0,26,14735,7548,8435,2700,859,34279
LGA20740,273,10382,0,0,0,0,0,0,10,0,0,0,0,10,106,10,3,0,0,120,118,33,21,5,5,178,27,4,7,12,0,51,7,0,0,0,0,7,266,51,35,16,3,369,0,0,0,0,0,0,8,0,0,0,0,8,29,6,4,0,0,41,20,3,0,0,0,26,6,0,0,0,0,10,0,0,0,0,0,0,55,11,8,0,0,85,3,0,0,0,0,3,8,0,0,0,0,8,24,0,0,0,0,29,6,0,0,0,0,6,0,0,0,0,0,0,6,0,0,0,0,7,45,0,3,0,0,53,8,6,0,0,0,18,6373,1838,1662,753,279,10909
LGA20830,637,14912,0,0,0,0,0,0,9,0,0,0,0,12,142,15,5,0,0,159,68,31,6,6,0,115,4,0,5,5,0,19,3,0,0,0,0,3,229,55,19,9,0,303,0,0,0,0,0,0,10,3,0,0,0,10,89,13,6,0,0,108,46,13,5,3,0,64,3,0,0,0,0,9,6,0,0,0,0,4,150,27,13,4,0,194,0,0,0,0,0,0,12,0,0,0,0,15,78,4,0,0,0,83,4,0,0,0,0,4,0,0,0,0,0,5,4,0,0,0,0,4,102,6,9,0,0,109,12,5,0,0,0,18,7546,3006,2927,1425,639,15542
LGA20910,470,19564,0,0,0,0,0,0,39,0,0,0,0,46,1188,315,100,8,0,1613,1427,702,593,81,11,2816,304,208,362,134,23,1031,13,12,3,0,0,25,2975,1233,1057,219,36,5528,0,0,0,0,0,0,141,12,0,0,0,151,1170,294,63,4,0,1535,432,150,80,7,0,670,17,17,15,7,0,58,10,0,0,0,0,10,1775,475,159,18,0,2430,0,0,0,0,0,0,7,0,0,0,0,7,70,10,6,0,0,87,18,8,6,0,0,32,0,3,0,0,0,3,0,0,0,0,0,0,98,23,9,5,0,130,16,6,3,0,0,26,11847,5691,7106,2514,511,27673
LGA21010,111,3693,0,0,0,0,0,0,3,0,0,0,0,3,83,13,5,0,0,103,33,4,0,0,0,39,7,0,0,0,0,6,0,0,0,0,0,0,123,17,8,0,0,161,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,6,0,0,0,0,6,5,0,0,0,0,6,0,0,0,0,0,3,0,0,0,0,0,0,10,0,0,0,0,14,5,0,0,0,0,8,2276,666,558,256,110,3873
LGA21110,1042,28945,0,3,0,0,0,7,72,4,5,0,0,80,1637,526,234,29,4,2431,1830,1077,1066,188,23,4188,381,333,552,223,59,1545,11,13,8,6,0,31,3926,1957,1864,438,92,8277,19,5,0,0,0,21,706,62,16,0,0,789,3289,849,301,35,11,4480,524,292,212,32,6,1063,38,19,57,14,0,134,25,4,4,0,0,36,4600,1235,589,88,18,6521,0,0,0,0,0,0,8,0,0,0,0,11,24,11,5,0,0,41,11,9,10,3,0,37,7,5,0,0,0,7,0,0,0,0,0,3,53,24,18,3,0,100,13,10,5,0,0,32,18251,9186,11190,4112,1150,43878
LGA21180,3291,41221,0,0,0,0,0,4,40,8,4,0,0,54,786,340,178,32,13,1353,1205,946,810,288,120,3371,264,210,278,170,133,1058,40,23,13,9,9,89,2339,1534,1286,499,281,5927,5,0,0,0,0,0,97,27,11,0,3,134,394,188,84,17,9,696,134,111,97,52,24,419,7,4,5,5,7,29,14,10,3,0,0,27,642,332,205,80,41,1308,0,0,0,0,0,0,0,0,0,0,0,3,8,0,0,0,0,11,6,4,0,3,0,14,0,5,4,0,0,6,0,0,0,0,0,0,13,5,6,3,0,40,15,4,6,4,0,38,17045,11412,11346,5115,3617,48529
LGA21270,50,1537,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,15,5,0,0,0,23,10,0,4,4,3,20,0,0,0,0,0,0,27,6,10,8,3,47,0,0,0,0,0,0,4,0,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8,0,0,0,0,4,0,0,0,0,0,0,6,0,0,0,0,3,3,0,0,0,0,3,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,11,0,0,0,0,13,0,0,0,0,0,3,942,272,219,122,53,1606
LGA21370,401,9808,0,0,0,0,0,0,20,4,0,0,0,20,169,37,11,0,0,224,65,15,10,0,0,103,6,0,8,0,3,11,3,0,0,0,0,3,265,63,27,3,10,365,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,5,8,3,0,0,0,10,0,0,0,0,0,0,0,0,0,0,0,0,7,3,6,0,0,14,6,0,0,0,0,6,17,0,0,0,0,17,18,0,0,0,0,20,13,0,6,5,0,24,0,0,0,0,0,4,4,0,0,0,0,8,55,6,9,6,0,76,0,0,4,3,0,9,5423,1854,1716,876,410,10273
LGA21450,1776,29257,0,0,0,0,0,0,3,0,0,0,0,7,554,54,21,6,0,632,403,189,111,42,11,749,57,58,68,20,17,218,17,3,0,5,0,23,1037,298,202,64,27,1632,0,0,0,0,0,0,0,0,0,0,0,0,50,14,4,0,0,66,25,15,10,3,0,53,3,0,0,0,0,6,0,0,0,0,0,5,82,29,15,3,0,134,0,0,0,0,0,0,12,0,0,0,0,12,10,0,0,0,0,7,3,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,26,0,0,0,0,22,9,6,0,6,0,22,11366,6837,7708,3350,1805,31061
LGA21610,6993,85817,5,0,0,0,0,3,49,3,5,0,0,56,991,234,116,21,8,1368,1337,870,637,250,86,3182,432,363,532,256,229,1818,45,18,14,10,6,87,2855,1491,1301,535,335,6512,0,0,0,0,0,0,6,0,0,0,0,10,270,55,19,3,3,348,63,35,13,12,4,131,7,4,11,7,8,35,8,0,0,0,0,6,348,97,45,21,14,527,0,0,0,0,0,0,10,0,0,0,0,9,3,6,0,0,0,10,0,0,4,0,0,6,0,0,0,0,0,3,0,0,0,0,0,0,19,11,4,0,0,31,21,18,10,9,4,53,28143,21562,24973,10926,7340,92945
LGA21670,113,3319,0,0,0,0,0,0,0,0,0,0,0,0,56,6,0,0,0,64,14,7,0,0,0,20,4,0,5,0,0,13,0,0,0,0,0,0,82,15,7,0,0,103,0,0,0,0,0,0,3,0,0,0,0,3,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,10,0,0,0,0,7,3,0,0,0,0,7,5,0,0,0,0,5,3,0,3,0,0,10,5,3,0,0,0,12,0,4,3,0,0,5,0,0,0,0,0,0,20,12,3,6,0,36,7,0,0,0,0,9,1999,629,515,228,113,3483
LGA21750,214,5485,5,0,0,0,0,5,12,0,0,0,0,12,51,18,9,0,0,71,30,8,4,4,0,51,6,7,0,0,0,5,0,0,0,0,0,0,99,31,17,5,0,149,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,3,0,0,0,0,9,0,0,0,0,0,3,0,0,0,0,0,0,5,0,3,0,0,14,0,0,0,0,0,0,9,0,0,0,0,4,3,0,0,0,0,6,4,3,0,0,0,9,5,0,3,0,0,9,0,0,0,0,0,0,23,7,8,0,0,33,8,4,0,0,0,9,2974,1032,972,503,217,5690
LGA21830,182,4159,0,0,0,0,0,0,4,0,0,0,0,7,31,7,0,0,0,32,11,0,4,0,0,15,4,0,4,0,0,6,0,0,0,0,0,0,42,7,9,0,0,64,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6,0,0,0,0,7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,3,3,0,0,0,0,4,0,0,0,0,0,0,8,0,0,6,0,13,8,0,0,0,0,6,2331,724,625,385,182,4251
LGA21890,857,24482,9,0,0,0,0,9,276,24,9,0,0,315,3117,1006,439,61,18,4653,1358,1021,890,171,71,3503,111,132,191,88,37,544,44,17,4,4,0,68,4916,2203,1536,314,127,9092,10,0,0,0,0,11,506,34,6,0,0,553,1712,433,144,20,5,2323,157,117,72,22,6,371,9,15,8,6,3,43,11,0,0,0,0,19,2411,601,234,49,22,3316,0,0,0,0,0,0,20,0,0,0,0,21,53,19,10,4,0,80,16,8,6,0,0,34,3,0,0,4,6,17,0,0,0,0,0,0,98,36,16,6,6,161,11,3,3,0,0,13,16917,8510,8190,2450,1001,37065
LGA22110,387,12440,0,0,0,0,0,0,15,0,0,0,0,15,193,26,17,4,0,237,94,26,15,3,0,142,14,5,0,3,0,29,5,0,0,0,0,5,321,60,39,16,3,437,0,0,0,0,0,0,6,0,0,0,0,6,22,3,0,5,0,30,6,0,3,0,0,4,0,0,0,0,0,3,0,0,0,0,0,0,33,3,9,5,0,47,4,0,0,0,0,4,28,0,0,0,0,28,35,3,0,0,0,42,12,0,5,0,0,15,4,5,3,0,0,8,6,0,0,0,0,8,83,10,11,0,0,112,19,0,7,0,0,31,7688,2219,1881,891,391,13063
LGA22170,1154,32158,0,0,0,0,0,0,56,3,0,0,0,58,1270,254,60,10,0,1597,1097,586,292,60,25,2055,99,81,93,51,14,343,23,3,0,0,0,31,2549,925,440,124,39,4078,0,0,0,0,0,0,36,11,0,0,0,42,236,51,9,5,0,307,22,14,5,4,0,45,3,3,7,3,0,17,0,0,0,0,0,0,299,76,23,10,0,412,0,0,0,0,0,0,17,0,0,0,0,17,23,5,0,0,0,26,0,7,4,0,0,17,5,4,3,0,0,8,0,0,0,0,0,0,41,13,12,0,0,66,14,6,0,0,0,23,15680,8679,8085,3099,1194,36737
LGA22250,103,2732,0,0,0,0,0,0,0,0,0,0,0,0,13,9,0,0,0,21,10,3,0,0,0,16,3,0,0,0,0,9,0,0,0,0,0,0,32,9,0,0,0,44,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,0,0,0,0,0,0,6,0,0,0,0,6,4,0,0,0,0,3,5,0,0,0,0,8,0,0,0,0,0,0,0,0,0,0,0,0,19,0,0,0,0,20,13,0,0,0,0,12,1633,483,382,209,106,2806
LGA22310,734,22350,0,0,0,0,0,0,77,8,3,0,0,91,1940,672,309,41,5,2969,1781,1182,1211,202,89,4459,381,396,584,273,87,1719,19,10,6,4,0,41,4202,2268,2119,515,186,9289,11,0,0,0,0,11,906,75,14,0,0,1002,3285,1007,377,58,14,4745,524,363,306,48,20,1266,47,41,95,41,17,249,41,8,7,0,0,53,4814,1505,793,152,54,7316,0,0,0,0,0,0,8,0,0,0,0,11,35,10,9,3,0,54,5,9,6,0,0,19,0,0,0,0,0,3,0,0,0,0,0,0,54,20,13,9,0,90,15,3,3,0,0,31,16754,8622,9546,3180,974,39078
LGA22410,140,5205,0,0,0,0,0,0,12,0,0,0,0,9,45,18,0,0,0,66,15,7,5,0,4,24,3,0,5,0,0,12,0,0,0,0,0,0,76,31,8,3,4,120,0,0,0,0,0,0,4,0,0,0,0,4,19,0,0,0,0,21,5,0,0,0,0,9,0,0,0,0,0,0,5,0,0,0,0,5,35,0,0,0,0,36,7,0,0,0,0,6,0,0,0,0,0,0,4,3,0,0,0,8,0,0,0,0,0,3,5,0,0,0,0,9,0,0,0,0,0,0,19,5,0,0,0,24,3,0,4,0,0,7,3011,1038,856,352,145,5396
LGA22490,376,6730,0,0,0,0,0,0,6,0,0,0,0,6,21,0,0,0,0,28,10,4,3,0,0,14,7,0,8,5,0,11,0,0,0,0,0,0,41,5,14,5,0,56,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,3,3,5,0,0,0,10,0,0,0,0,0,5,2727,1274,1619,802,376,6801
LGA22620,1234,30284,5,0,0,0,0,5,40,4,0,0,0,41,427,109,35,12,0,581,227,93,67,12,6,406,29,14,11,9,9,67,3,0,4,0,0,9,730,223,119,36,15,1118,0,0,0,0,0,0,6,0,0,0,0,6,67,16,4,0,0,86,31,9,6,0,3,55,4,0,3,0,0,10,0,0,0,0,0,0,107,27,12,7,3,156,10,0,0,0,0,10,13,0,0,0,0,12,19,0,0,0,0,22,13,0,0,0,0,18,0,0,4,0,0,7,0,0,0,0,0,0,54,9,5,3,0,70,30,9,9,4,0,53,15099,6522,6102,2700,1251,31673
LGA22670,3015,29003,3,0,0,0,0,9,151,34,13,0,0,198,1365,793,457,142,46,2803,618,622,560,248,168,2214,92,98,143,83,89,506,39,18,9,10,8,81,2260,1579,1188,476,307,5810,7,0,0,0,0,3,184,44,0,5,0,241,946,502,256,77,17,1794,189,153,143,64,28,571,18,19,22,13,14,90,18,17,5,0,0,44,1359,733,433,159,65,2747,0,0,0,0,0,4,9,0,0,0,0,16,11,3,0,0,0,13,3,4,3,0,0,12,0,0,0,0,0,4,0,0,0,0,0,0,36,11,9,4,0,49,12,4,5,5,0,29,12697,9102,8309,4133,3383,37633
LGA22750,2118,65502,3,0,0,0,0,3,150,13,0,0,0,167,1549,325,104,16,3,1998,984,381,234,44,14,1653,142,101,118,68,29,460,31,10,3,0,0,42,2864,831,455,122,51,4321,4,0,0,0,0,4,64,6,0,0,0,75,368,104,29,9,0,503,143,48,34,12,4,240,10,8,5,3,0,25,13,3,0,0,0,14,599,166,71,17,4,858,5,0,0,0,0,5,27,3,0,0,0,30,58,6,5,3,0,70,25,10,3,5,0,40,3,6,18,9,3,40,0,0,0,0,0,0,120,30,28,12,3,187,28,11,17,0,0,60,33449,14897,14599,5816,2177,70933
LGA22830,891,16084,3,0,0,0,0,4,54,12,5,0,0,67,352,94,61,14,9,528,80,35,15,13,3,146,28,17,8,6,5,62,12,0,0,0,0,13,523,162,95,32,12,823,0,0,0,0,0,0,5,0,0,0,0,5,6,3,0,0,0,9,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,12,6,0,0,0,14,7,0,0,0,0,5,30,3,0,0,0,37,92,0,5,0,0,93,6,4,0,0,0,15,0,0,0,0,0,5,4,0,0,0,0,9,141,9,5,3,0,163,11,7,7,0,4,27,7787,3463,3354,1589,908,17106
LGA22910,116,4298,0,0,0,0,0,0,0,0,0,0,0,0,29,6,6,0,0,40,6,8,5,0,0,21,0,0,0,0,0,11,0,0,0,0,0,0,42,13,4,0,0,65,0,0,0,0,0,0,0,0,0,0,0,0,14,0,0,0,0,14,4,0,0,0,0,7,0,0,0,0,0,0,0,0,0,0,0,0,21,0,0,0,0,17,3,0,0,0,0,3,0,0,0,0,0,8,7,0,0,0,0,8,0,4,0,0,0,10,0,0,0,0,0,4,0,0,0,0,0,0,16,13,7,3,0,34,8,0,0,0,0,15,2618,770,638,285,117,4425
LGA22980,44,1468,0,0,0,0,0,0,6,0,0,0,0,6,3,0,0,0,0,0,4,0,0,0,0,7,0,0,0,0,0,0,0,0,0,0,0,0,13,4,0,0,0,18,0,0,0,0,0,0,3,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,7,0,0,0,0,7,0,0,0,0,0,0,4,0,0,0,0,4,0,0,0,0,0,0,7,0,0,0,0,7,3,0,0,0,0,3,873,262,209,112,50,1499
LGA23110,645,18119,4,0,0,0,0,3,45,0,0,0,0,48,1039,275,105,19,0,1432,1257,815,655,125,39,2903,254,232,331,163,42,1022,26,8,7,9,0,45,2626,1331,1098,311,85,5451,0,0,0,0,0,0,64,3,0,0,0,75,429,97,41,9,0,586,95,68,49,6,5,221,3,6,8,0,0,21,8,0,3,0,0,9,599,181,106,21,4,913,0,0,0,0,0,0,0,0,0,0,0,0,12,4,0,0,0,20,5,0,4,0,0,9,0,5,0,0,0,7,0,0,0,0,0,0,22,10,4,0,0,39,15,7,0,0,0,22,10474,5722,5740,1880,729,24545
LGA23190,152,5215,0,0,0,0,0,0,10,0,0,0,0,10,33,5,0,0,0,45,17,3,5,0,0,21,5,4,0,0,0,8,0,0,0,0,0,0,60,8,6,5,0,83,0,0,0,0,0,0,8,0,0,0,0,10,49,10,0,0,0,56,8,3,0,0,0,11,0,4,0,0,0,3,3,4,0,0,0,6,68,15,4,0,0,85,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,5,0,0,0,0,7,0,0,0,0,0,0,2710,1096,959,478,152,5394
LGA23270,5101,55484,3,0,0,0,0,3,41,3,4,0,0,50,808,310,159,49,9,1330,821,699,498,223,112,2352,90,103,148,71,77,492,35,6,18,3,6,61,1796,1118,822,352,201,4295,5,0,0,0,0,5,26,4,0,0,0,24,319,97,60,15,3,491,210,142,123,65,41,581,9,13,14,9,9,54,8,3,3,0,0,16,570,261,198,86,57,1170,0,0,0,0,0,0,5,0,0,0,0,10,0,0,0,0,0,0,3,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,9,6,0,0,0,15,10,8,9,5,0,41,18512,14080,15486,7562,5364,61006
LGA23350,142,4647,0,0,0,0,0,0,4,0,0,0,0,4,22,8,3,0,0,29,16,5,3,0,0,21,6,0,0,0,0,9,0,0,0,0,0,0,47,11,8,0,0,68,0,0,0,0,0,0,3,0,0,0,0,3,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,6,0,0,0,0,0,0,11,0,0,0,0,10,3,0,0,0,0,3,8,0,0,0,0,5,4,4,0,0,0,6,5,0,0,0,0,7,4,4,0,0,0,7,0,0,0,0,0,0,18,8,0,3,0,30,7,0,4,3,0,16,2539,824,856,400,148,4774
