LGA_CODE_2021,C21_75_79_Div_P,C21_75_79_Wid_M,C21_75_79_Wid_F,C21_75_79_Wid_P,C21_75_79_Nvr_marrd_M,C21_75_79_Nvr_marrd_F,C21_75_79_Nvr_marrd_P,C21_75_79_Tot_M,C21_75_79_Tot_F,C21_75_79_Tot_P,C21_80_84_Married_M,C21_80_84_Married_F,C21_80_84_Married_P,C21_80_84_Sep_M,C21_80_84_Sep_F,C21_80_84_Sep_P,C21_80_84_Div_M,C21_80_84_Div_F,C21_80_84_Div_P,C21_80_84_Wid_M,C21_80_84_Wid_F,C21_80_84_Wid_P,C21_80_84_Nvr_marrd_M,C21_80_84_Nvr_marrd_F,C21_80_84_Nvr_marrd_P,C21_80_84_Tot_M,C21_80_84_Tot_F,C21_80_84_Tot_P,C21_85_over_Married_M,C21_85_over_Married_F,C21_85_over_Married_P,C21_85_over_Seprtd_M,C21_85_over_Seprtd_F,C21_85_over_Seprtd_P,C21_85_over_Divorce_M,C21_85_over_Divorce_F,C21_85_over_Divorce_P,C21_85_over_Wid_M,C21_85_over_Wid_F,C21_85_over_Wid_P,C21_85_over_Nvr_mard_M,C21_85_over_Nvr_mard_F,C21_85_over_Nvr_mard_P,C21_85_over_Tot_M,C21_85_over_Tot_F,C21_85_over_Tot_P,C21_Tot_Married_M,C21_Tot_Married_F,C21_Tot_Married_P,C21_Tot_Sep_M,C21_Tot_Sep_F,C21_Tot_Sep_P,C21_Tot_Div_M,C21_Tot_Div_F,C21_Tot_Div_P,C21_Tot_Wid_M,C21_Tot_Wid_F,C21_Tot_Wid_P,C21_Tot_nver_marrie_M,C21_Tot_nver_marrie_F,C21_Tot_nver_marrie_P,C21_Tot_Tot_M,C21_Tot_Tot_F,C21_Tot_Tot_P
LGA11700,13,6,9,14,0,0,0,39,30,72,14,7,17,0,0,3,0,0,4,0,6,5,3,0,0,19,16,35,3,3,6,0,0,0,0,3,4,0,9,6,0,0,3,10,13,22,230,219,449,31,19,53,68,77,143,30,47,75,358,346,703,720,707,1420
LGA11720,257,98,288,390,52,41,95,975,952,1928,305,200,504,17,8,17,56,73,132,112,338,447,32,20,54,518,640,1156,210,132,340,13,12,24,30,36,65,151,538,687,16,28,49,416,749,1167,10830,10484,21312,1051,1123,2171,2356,2843,5197,669,2037,2705,10544,8868,19415,25444,25356,50801
LGA11730,385,118,428,550,91,42,133,1418,1450,2868,592,381,972,17,16,35,105,99,201,127,425,553,57,36,88,895,958,1847,359,209,564,11,4,19,49,53,107,236,773,1004,34,34,67,687,1070,1757,10220,10018,20231,876,939,1817,2555,2833,5381,805,2515,3315,8142,6568,14709,22587,22870,45462
LGA11750,13,9,32,38,3,0,8,51,72,123,16,12,35,0,3,0,4,0,6,14,28,42,0,0,3,38,47,84,15,5,19,0,0,0,4,5,3,12,37,49,0,0,0,26,45,75,668,668,1337,77,58,129,160,142,302,57,129,184,689,579,1271,1648,1578,3227
LGA11800,498,115,505,617,74,48,123,1586,1776,3365,694,501,1196,18,16,35,123,176,297,170,590,758,47,31,80,1044,1310,2357,538,273,813,19,11,30,58,95,151,281,995,1277,24,26,50,919,1402,2320,14589,14598,29188,1132,1421,2555,3085,4282,7366,896,3250,4141,11241,10301,21546,30944,33851,64798
LGA12000,16,16,29,44,8,4,9,93,98,192,50,28,76,3,0,3,0,0,4,8,43,53,3,0,11,66,74,142,33,16,43,3,0,7,4,0,4,22,54,77,0,0,0,59,75,135,897,895,1797,68,80,146,142,146,289,67,188,259,547,484,1031,1730,1793,3522
LGA12150,15,6,21,28,11,5,14,71,62,134,23,21,38,0,0,7,12,7,15,12,31,38,6,0,6,52,54,101,12,0,17,0,0,6,7,0,8,12,47,51,0,0,0,29,55,85,553,547,1100,65,62,127,108,103,216,51,167,206,645,624,1268,1413,1502,2916
LGA12160,75,26,94,118,24,15,33,287,307,593,156,90,246,3,3,4,23,21,41,45,127,173,11,15,23,231,258,483,69,28,101,0,0,5,4,11,18,65,184,250,10,0,11,151,230,382,2343,2300,4638,155,169,321,400,458,857,195,592,789,1537,1277,2819,4632,4799,9429
LGA12350,103,29,92,122,21,17,29,303,310,617,144,106,252,4,4,5,29,20,49,46,106,151,9,13,32,233,254,487,85,44,127,0,3,8,13,15,25,56,174,230,15,11,23,164,247,411,2379,2387,4762,191,219,409,545,564,1107,218,607,825,1889,1568,3458,5219,5344,10563
LGA12380,509,216,935,1152,141,106,250,2566,2590,5162,1166,699,1865,44,37,83,131,165,299,233,979,1212,102,85,189,1677,1963,3645,749,311,1057,17,15,32,73,102,176,499,1547,2043,60,74,134,1394,2047,3442,50557,47664,98222,2789,3380,6170,5461,7598,13056,1561,6275,7836,37073,26198,63268,97436,91112,188553
LGA12390,215,92,324,416,40,38,77,834,965,1803,400,273,671,12,11,21,56,72,127,97,360,458,26,28,54,588,739,1327,238,107,346,8,7,13,20,36,59,174,560,728,18,18,30,459,722,1186,9782,9556,19335,735,871,1610,1610,2084,3693,619,1929,2548,8525,7701,16225,21267,22146,43414
LGA12700,52,17,49,61,11,6,17,207,181,386,95,57,148,3,4,4,16,10,25,18,56,78,7,9,16,143,136,273,34,17,52,0,0,0,6,5,11,24,85,114,5,3,8,68,112,184,2005,2024,4034,135,124,258,393,399,787,98,322,416,1233,1045,2271,3862,3911,7769
LGA12730,45,11,55,65,11,7,14,164,188,361,79,62,139,4,0,6,19,9,25,31,104,132,7,4,13,145,175,315,67,26,98,0,0,0,9,12,14,32,127,158,4,6,9,115,175,286,1591,1584,3178,125,141,263,326,384,710,118,399,516,1217,1088,2302,3377,3596,6972
LGA12750,315,99,338,436,51,39,85,1218,1244,2467,485,343,832,28,16,41,65,77,146,120,354,473,32,7,47,736,794,1533,349,167,516,11,0,17,43,50,90,164,669,833,13,22,33,580,915,1498,8363,8349,16714,632,700,1334,1920,2311,4233,626,2105,2732,5459,4499,9962,17004,17964,34972
LGA12850,500,233,1154,1383,140,129,271,2876,2964,5837,1370,806,2175,73,38,112,127,131,253,294,1325,1624,76,80,158,1937,2383,4319,1052,426,1482,37,27,66,74,122,198,515,2054,2567,63,67,127,1756,2690,4440,39883,39792,79678,3055,3690,6752,6476,8922,15394,1747,8262,10007,32514,26886,59395,83678,87551,171228
LGA12870,77,45,116,155,25,13,35,376,372,748,147,120,269,8,4,11,20,24,39,52,137,195,7,12,20,237,302,536,113,52,167,3,0,8,12,10,23,65,187,252,15,8,25,208,264,468,2659,2678,5343,240,217,452,555,605,1160,260,665,923,1654,1341,2998,5374,5505,10875
LGA12900,59,23,67,88,20,5,20,229,211,440,94,68,160,0,0,6,16,8,21,29,80,107,11,3,17,143,163,306,58,33,88,0,3,0,8,5,11,49,131,181,0,3,6,112,174,284,1744,1733,3478,148,147,299,309,337,650,143,401,542,1364,1147,2503,3702,3767,7469
LGA12930,490,184,775,959,141,118,255,2232,2504,4740,1096,754,1852,35,27,58,114,160,270,206,955,1165,73,63,138,1525,1959,3487,1001,487,1488,18,18,35,81,169,253,437,1871,2307,70,73,144,1616,2610,4229,33223,33434,66658,1540,1937,3472,3724,5820,9543,1237,5251,6486,22725,19119,41846,62451,65558,128007
LGA12950,18,13,23,40,5,3,11,90,92,184,39,36,77,3,0,3,11,10,20,15,42,59,9,3,9,74,88,166,33,16,47,0,0,0,0,5,5,10,51,59,8,0,8,55,72,129,840,849,1689,63,65,122,145,144,296,66,194,261,578,529,1109,1697,1778,3472
LGA13010,78,28,75,99,23,7,25,261,269,529,99,70,164,14,0,13,12,17,23,31,79,115,6,4,13,162,168,328,61,30,91,0,0,3,6,9,21,37,147,184,0,0,5,109,188,303,1694,1655,3344,153,156,308,405,479,885,158,449,610,1312,1104,2418,3721,3839,7563
LGA13310,186,81,228,305,37,44,77,623,667,1287,244,154,396,7,5,14,45,41,87,71,223,293,20,27,43,380,448,829,155,95,246,3,4,9,36,36,67,112,354,465,14,19,37,315,508,825,5916,5721,11642,458,516,975,1206,1439,2646,409,1301,1706,5163,4136,9302,13150,13120,26268
LGA13340,62,35,55,90,15,0,15,253,210,464,94,46,143,0,6,8,17,5,23,31,68,97,13,4,14,157,132,285,36,22,60,0,0,0,3,0,4,48,104,146,5,8,12,89,134,229,2350,2353,4698,179,146,328,372,415,785,169,361,526,1423,1149,2573,4491,4416,8911
LGA13450,58,31,128,161,12,5,18,356,399,758,218,143,358,3,3,8,22,14,42,46,187,241,18,9,24,312,362,673,164,61,228,10,0,10,3,9,11,73,353,428,13,3,18,258,429,689,5666,5466,11126,339,348,685,616,716,1333,249,1055,1297,4050,3327,7374,10908,10917,21827
LGA13550,50,22,86,111,12,13,24,208,256,464,119,82,207,5,0,5,15,21,36,24,102,127,6,8,17,168,220,387,68,23,99,3,0,5,7,11,14,41,132,170,10,35,47,133,207,332,2267,2291,4562,183,194,375,391,410,801,151,505,654,1945,1694,3641,4940,5096,10037
LGA13660,31,14,47,62,3,0,6,133,137,277,71,42,116,4,0,4,5,7,15,16,42,54,4,0,8,108,97,205,36,18,55,8,0,8,3,3,7,21,84,99,0,4,9,66,105,173,1060,1046,2106,91,62,153,186,181,366,79,255,326,596,499,1095,2003,2041,4047
LGA13800,306,108,338,448,57,40,99,1032,1128,2161,434,254,693,27,14,47,57,103,162,90,353,439,27,31,56,638,763,1398,248,136,389,14,12,22,41,63,101,132,514,646,25,36,60,454,766,1215,13135,13136,26273,811,937,1741,2113,2910,5021,576,1961,2532,10162,8624,18790,26791,27572,54359
LGA13850,11,0,30,30,4,4,8,66,82,143,32,37,67,0,0,0,5,3,12,5,25,30,4,0,3,42,67,106,24,4,32,0,0,0,0,0,5,16,34,46,11,5,11,45,45,90,568,576,1142,44,42,83,102,97,195,37,132,170,458,363,823,1211,1205,2417
LGA13910,103,42,139,186,29,20,51,459,432,897,180,134,320,5,0,12,33,24,56,42,153,197,14,11,20,282,323,607,108,48,154,4,0,4,10,10,18,81,251,332,9,17,29,215,328,541,3713,3710,7417,323,290,615,668,793,1463,268,845,1105,2605,2398,5007,7579,8033,15611
LGA14000,547,161,696,858,93,90,187,2404,2710,5117,1299,884,2188,33,29,61,95,206,305,221,873,1093,62,80,144,1712,2073,3785,980,555,1534,17,25,40,86,151,235,501,1880,2382,44,89,135,1628,2700,4327,35597,35942,71536,1128,1496,2624,2860,5128,7986,1271,4958,6228,18507,16070,34581,59362,63592,122954
