LGA_CODE_2021,C21_75_99_CF_CU15_NDS,C21_75_99_CF_NCU15_DS,C21_75_99_CF_NDCO,C21_75_99_Tot,C21_100_149_CF_NC,C21_100_149_CF_Cu15DS_,C21_100_149_CF_CU15_NDS,C21_100_149_CF_NCU15_DS,C21_100_149_CF_NDCO,C21_100_149_Tot,C21_150_199_CF_NC,C21_150_199_CF_Cu15DS_,C21_150_199_CF_CU15_NDS,C21_150_199_CF_NCU15_DS,C21_150_199_CF_NDCO,C21_150_199_Tot,C21_200_224_CF_NC,C21_200_224_CF_Cu15DS_,C21_200_224_CF_CU15_NDS,C21_200_224_CF_NCU15_DS,C21_200_224_CF_NDCO,C21_200_224_Tot,C21_225_274_CF_NC,C21_225_274_CF_Cu15DS_,C21_225_274_CF_CU15_NDS,C21_225_274_CF_NCU15_DS,C21_225_274_CF_NDCO,C21_225_274_Tot,C21_275_349_CF_NC,C21_275_349_CF_Cu15DS_,C21_275_349_CF_CU15_NDS,C21_275_349_CF_NCU15_DS,C21_275_349_CF_NDCO,C21_275_349_Tot,C21_350_449_CF_NC,C21_350_449_CF_Cu15DS_,C21_350_449_CF_CU15_NDS,C21_350_449_CF_NCU15_DS,C21_350_449_CF_NDCO,C21_350_449_Tot,C21_450_549_CF_NC,C21_450_549_CF_Cu15DS_,C21_450_549_CF_CU15_NDS,C21_450_549_CF_NCU15_DS,C21_450_549_CF_NDCO,C21_450_549_Tot,C21_550_649_CF_NC,C21_550_649_CF_Cu15DS_,C21_550_649_CF_CU15_NDS,C21_550_649_CF_NCU15_DS,C21_550_649_CF_NDCO,C21_550_649_Tot,C21_650_749_CF_NC,C21_650_749_CF_Cu15DS_,C21_650_749_CF_CU15_NDS,C21_650_749_CF_NCU15_DS,C21_650_749_CF_NDCO,C21_650_749_Tot,C21_750_849_CF_NC,C21_750_849_CF_Cu15DS_,C21_750_849_CF_CU15_NDS,C21_750_849_CF_NCU15_DS,C21_750_849_CF_NDCO,C21_750_849_Tot,C21_850_949_CF_NC,C21_850_949_CF_Cu15DS_,C21_850_949_CF_CU15_NDS,C21_850_949_CF_NCU15_DS,C21_850_949_CF_NDCO,C21_850_949_Tot,C21_950over_CF_NC,C21_950over_CF_Cu15DS_,C21_950over_CF_CU15_NDS,C21_950over_CF_NCU15_DS,C21_950over_CF_NDCO,C21_950over_Tot,C21_Rns_CF_NC,C21_Rns_CF_Cu15DS_,C21_Rns_CF_CU15_NDS,C21_Rns_CF_NCU15_DS,C21_Rns_CF_NDCO,C21_Rns_Tot,C21_Tot_CF_NC,C21_Tot_CF_Cu15DS_,C21_Tot_CF_CU15_NDS,C21_Tot_CF_NCU15_DS,C21_Tot_CF_NDCO,C21_Tot_Tot
LGA26700,0,0,0,4,11,0,8,5,0,20,42,6,20,0,0,66,38,4,20,0,0,67,90,12,59,6,11,169,124,8,111,4,9,253,102,15,102,6,13,237,16,5,22,6,10,47,0,3,4,0,0,5,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,7,30,0,13,0,6,47,457,53,343,28,51,929
LGA26730,0,0,0,3,24,0,5,0,0,32,44,0,13,6,0,61,45,0,19,0,5,67,98,3,43,5,4,160,184,12,136,8,17,360,171,32,187,18,36,446,33,10,51,12,7,123,11,4,16,0,4,30,0,0,3,0,0,10,0,0,3,0,0,3,0,0,0,0,0,0,0,0,0,0,0,5,26,3,7,0,3,41,634,70,496,42,89,1340
LGA26810,0,0,0,3,30,4,12,0,4,41,60,0,27,3,3,94,53,5,26,3,4,83,157,6,91,6,15,275,156,16,156,22,12,366,111,19,117,20,15,282,31,9,41,4,8,76,0,0,6,0,0,10,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,0,0,6,33,4,32,3,4,82,640,59,513,60,65,1338
LGA26890,0,0,0,6,16,0,6,0,0,22,8,0,8,0,0,18,7,0,4,0,0,12,6,0,3,0,0,9,6,0,0,0,0,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7,0,7,0,0,15,48,3,36,0,0,92
LGA26980,3,0,0,7,52,0,11,6,3,67,87,0,16,5,3,108,74,0,10,3,6,96,120,3,39,7,6,175,471,16,158,29,25,701,1800,93,1011,131,89,3121,1006,121,970,155,117,2376,322,66,483,100,43,1020,119,44,214,60,23,464,35,14,82,28,14,180,22,15,21,18,0,77,30,7,34,7,7,88,146,5,60,12,17,242,4304,399,3119,556,371,8744
LGA27070,7,0,0,19,31,0,16,0,3,47,48,0,27,5,9,91,36,9,22,5,0,79,90,14,75,5,23,209,795,75,756,70,94,1787,1986,446,2892,273,358,5947,288,147,468,95,121,1120,39,22,65,24,18,161,9,6,15,8,7,47,13,6,13,0,4,32,6,5,11,0,3,24,20,4,40,0,8,73,150,22,112,19,30,331,3522,758,4524,505,676,9984
LGA27170,0,0,0,7,11,0,4,0,3,22,49,0,22,5,0,77,51,0,36,0,4,95,168,22,148,14,25,374,246,22,241,19,29,553,266,60,329,24,31,713,34,13,77,9,12,144,10,6,6,3,0,26,3,3,0,0,0,6,0,0,0,0,0,3,0,0,0,0,0,0,0,0,5,0,0,6,37,0,21,0,10,57,886,142,888,66,115,2098
LGA27260,5,0,0,18,44,0,25,0,7,78,76,3,37,4,3,122,57,5,38,3,6,112,122,19,111,20,16,289,1268,170,1473,115,135,3160,2968,636,5156,374,358,9488,355,196,840,127,123,1639,83,56,148,27,32,337,32,10,38,9,6,92,18,4,16,5,8,47,6,0,15,0,0,33,38,4,70,10,7,130,170,30,169,22,29,414,5261,1146,8145,699,726,15982
LGA27350,3,0,5,34,46,3,28,7,3,90,126,3,52,7,19,213,65,10,33,4,7,115,82,13,39,5,17,153,318,10,59,20,12,420,1060,3,132,12,9,1218,1520,11,208,14,12,1764,1270,7,264,11,5,1561,651,8,180,10,8,853,302,6,124,9,7,446,144,12,69,4,4,236,170,17,127,21,13,342,86,5,32,4,7,140,5875,99,1369,136,124,7600
LGA27450,4,0,0,8,25,3,16,0,6,47,44,0,15,0,6,64,38,3,19,5,10,72,43,5,35,0,9,95,180,16,146,27,28,392,587,98,515,57,69,1321,244,62,321,41,47,721,51,26,96,20,16,210,12,4,26,3,4,53,7,3,11,3,6,30,4,0,0,0,0,5,12,4,10,3,0,30,41,12,48,10,9,113,1285,241,1264,179,203,3170
LGA27630,4,0,0,3,7,4,7,0,0,19,21,0,18,0,0,45,9,0,8,5,0,20,6,0,0,0,0,13,0,0,0,0,0,4,5,0,0,0,0,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,3,0,0,10,55,12,48,6,5,129
LGA29399,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,4,0,0,0,0,0,0,13,0,6,0,0,16
LGA29499,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
LGA29799,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
LGA30250,0,0,5,14,33,0,27,0,11,73,0,4,19,0,0,25,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,9,0,6,0,0,17,54,3,62,0,14,135
LGA30300,0,0,0,8,9,0,5,0,0,18,8,0,6,0,0,13,14,0,14,6,0,37,23,0,17,0,3,45,7,0,13,0,4,24,0,0,0,0,0,3,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,11,3,13,0,0,29,96,9,87,10,10,209
LGA30370,24,0,0,45,24,0,27,3,0,56,41,3,14,5,0,62,28,3,15,0,5,49,45,7,41,5,6,102,61,7,59,4,6,136,55,13,71,3,3,141,5,0,11,0,0,28,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,24,0,30,0,0,58,312,35,303,22,31,704
LGA30410,0,0,0,7,5,0,3,0,0,11,11,0,6,0,0,13,8,0,0,0,0,9,8,3,3,0,0,13,6,0,6,0,0,10,0,0,4,0,0,4,0,0,0,0,0,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,6,12,5,6,28,53,6,39,9,3,110
LGA30450,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,3,11,0,9,0,0,12
LGA30760,3,0,0,0,7,0,3,0,0,9,13,0,12,0,3,27,4,0,6,0,0,15,4,0,6,0,0,4,0,0,0,0,0,6,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8,0,5,0,0,12,48,5,31,8,4,95
LGA30900,0,0,0,0,0,0,3,0,0,7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,3,0,0,8,8,0,10,0,0,19
LGA31000,10,6,0,72,369,14,102,9,31,526,721,40,204,39,69,1076,467,35,166,21,46,739,1188,102,561,37,79,1962,4234,202,2107,171,204,6924,16675,824,8291,746,872,27404,10458,990,6431,793,764,19440,4080,574,3182,466,382,8688,1513,311,1496,293,182,3795,607,192,767,186,105,1850,292,97,420,112,59,979,385,183,646,178,79,1472,773,67,449,81,110,1485,41868,3638,24871,3154,2986,76517
LGA31750,0,0,0,0,0,0,5,0,0,3,5,5,0,0,0,12,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6,0,0,4,10,6,12,0,0,23
LGA31820,7,0,0,28,53,0,10,3,3,78,106,8,33,0,13,162,115,3,52,4,7,184,331,22,189,17,36,591,733,94,576,44,102,1551,342,91,412,42,71,954,58,19,64,12,13,161,11,7,11,5,0,43,8,0,7,0,0,12,0,5,3,0,0,5,0,0,0,0,0,0,0,5,0,0,0,6,62,9,37,3,11,130,1849,256,1402,134,266,3918
LGA31900,4,0,0,9,18,0,8,3,0,32,34,0,24,0,0,56,48,4,33,5,8,90,79,10,53,0,13,159,54,3,57,4,13,132,21,3,16,6,4,47,0,3,4,0,0,12,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,22,4,14,0,3,38,297,31,222,23,41,609
LGA31950,0,0,0,0,8,0,0,0,0,6,0,0,0,0,5,4,0,0,0,0,0,0,5,0,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,0,0,8,13,0,11,0,3,25
LGA32080,10,0,4,26,59,3,31,0,10,110,136,14,52,3,14,217,111,10,50,4,17,194,352,26,266,18,46,703,813,76,474,37,67,1466,1346,182,1114,100,145,2885,685,137,625,90,86,1625,195,52,176,30,34,495,85,18,59,10,6,181,27,3,15,4,3,56,9,3,13,4,0,29,14,0,15,4,0,32,93,18,69,11,12,200,3955,535,2988,320,448,8242
LGA32250,4,0,0,8,4,0,5,0,5,9,12,0,8,0,0,19,0,0,12,0,5,17,6,0,14,0,3,24,0,0,10,0,0,10,0,0,3,0,0,9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,12,6,5,0,0,20,64,0,70,0,16,147
LGA32260,9,0,0,15,21,3,14,3,5,47,50,3,36,5,5,99,59,0,44,5,4,114,138,13,146,4,9,314,160,20,170,12,32,397,76,9,83,5,9,187,17,5,16,0,7,44,5,0,0,0,0,4,0,0,0,0,0,8,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,26,0,15,0,0,41,562,58,563,35,77,1291
LGA32270,41,8,4,81,49,9,34,0,4,94,39,0,35,3,4,88,35,5,42,4,4,90,86,3,56,3,4,162,161,13,114,14,16,315,174,23,218,17,18,454,41,14,81,5,4,144,7,3,9,0,3,29,0,0,0,0,6,10,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,53,16,63,6,3,141,819,110,821,63,98,1912
LGA32310,5,0,0,19,24,3,21,0,0,45,12,0,12,0,0,25,26,0,15,0,0,49,38,6,25,6,7,75,24,7,37,0,3,72,21,9,24,4,0,53,3,0,5,0,0,7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,15,7,11,0,0,26,187,30,158,12,12,403
LGA32330,5,0,7,16,16,3,39,0,12,70,4,0,4,0,4,17,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,29,4,55,0,15,101
LGA32450,0,0,0,4,0,0,5,0,0,12,3,0,3,0,0,9,4,0,8,0,0,18,5,0,3,0,0,18,12,3,14,0,4,35,14,0,21,6,3,41,5,0,4,0,0,10,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,9,0,10,0,0,17,79,10,72,8,12,181
LGA32500,4,0,0,6,21,0,8,0,0,28,9,5,13,0,0,25,5,0,4,0,0,11,9,4,11,0,0,17,15,0,15,0,3,26,21,0,8,0,0,29,0,0,4,0,0,9,3,0,3,0,0,4,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0,17,0,11,0,0,27,120,16,100,10,8,247
LGA32600,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,3,3,0,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7,0,7,0,0,9
LGA32750,0,0,0,0,0,0,0,0,0,8,0,0,0,0,0,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,18,0,3,0,0,25
LGA32770,10,0,3,19,13,4,34,0,5,58,9,4,35,3,3,56,0,0,7,0,0,9,0,0,5,0,3,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,44,6,111,3,17,189
LGA32810,5,0,0,9,12,0,3,4,0,15,15,0,5,0,0,24,6,0,3,0,0,11,21,0,12,0,3,40,73,3,24,0,0,103,97,4,53,4,12,171,43,5,31,3,7,92,13,0,15,3,0,30,4,0,3,0,0,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,9,0,3,0,0,17,309,26,155,20,30,527
LGA33100,0,0,0,0,0,0,0,0,0,6,3,0,0,0,0,4,0,0,0,0,0,0,6,0,3,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,13,0,8,0,0,21
LGA33200,0,0,0,3,0,0,3,0,0,3,7,0,11,0,0,22,3,0,3,0,0,9,0,0,3,0,0,3,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,0,4,0,0,12,31,0,27,0,3,62
LGA33220,3,0,0,14,46,0,8,0,0,54,88,3,28,5,11,123,105,0,39,0,6,153,269,23,120,11,30,446,648,50,396,42,77,1211,630,125,619,55,106,1533,104,29,123,10,25,298,16,8,27,5,8,61,12,0,7,4,4,24,4,0,0,0,0,9,0,0,0,0,0,0,5,0,0,0,0,10,52,3,32,0,9,97,1982,257,1403,131,269,4047
LGA33360,0,0,0,18,59,0,29,4,0,92,117,10,67,3,8,208,91,6,74,6,6,185,210,22,154,15,16,413,361,54,400,34,36,893,300,80,436,31,39,889,48,30,78,9,5,163,12,5,22,6,5,51,0,0,7,3,0,15,0,0,0,0,0,0,0,0,0,0,0,5,5,0,0,0,0,4,37,7,46,0,9,102,1274,220,1326,100,132,3051
LGA33430,0,0,0,26,116,0,25,7,12,169,241,6,37,4,30,309,174,13,37,10,29,257,300,6,74,9,24,419,1143,22,360,30,68,1629,5630,316,3098,245,404,9690,5303,651,4158,477,680,11276,2363,413,1940,387,404,5503,881,219,976,216,224,2512,439,153,485,103,113,1301,212,64,244,68,74,668,337,135,369,109,104,1054,454,51,241,49,84,873,17637,2051,12063,1719,2249,35717
LGA33610,6,0,0,8,12,3,17,0,4,31,25,0,7,0,3,36,20,0,15,0,0,38,31,4,25,0,0,67,49,7,43,3,3,107,35,12,42,0,3,95,7,4,19,0,0,35,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6,21,3,27,0,0,59,222,38,211,8,15,492
LGA33620,5,0,0,6,27,0,8,0,0,39,32,0,20,0,6,69,58,7,26,3,9,98,117,7,57,6,13,205,283,31,191,17,38,571,165,41,238,27,28,499,31,13,27,4,6,81,0,0,3,0,0,11,3,0,0,0,0,8,0,0,0,0,0,0,0,0,6,0,0,6,0,0,0,0,0,6,40,4,21,0,0,67,779,109,613,61,102,1663
LGA33800,4,0,0,7,17,0,6,0,0,24,27,0,8,0,0,41,33,5,17,0,6,59,56,3,27,3,6,95,31,0,17,4,7,63,5,3,5,0,0,22,5,0,0,0,0,5,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,9,3,8,0,0,15,196,12,106,15,24,360
LGA33830,12,0,0,9,15,3,27,0,0,43,7,0,12,0,0,21,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,33,5,63,0,3,106
LGA33960,0,0,0,27,73,6,32,0,3,117,111,11,49,5,19,184,90,10,41,4,14,158,595,59,562,26,53,1300,1657,210,1668,108,220,3862,1962,604,3005,264,380,6216,319,135,492,78,93,1121,65,46,108,25,29,267,21,9,29,9,11,68,4,3,8,3,6,25,0,4,5,0,0,7,0,0,7,0,0,13,109,15,147,4,27,306,5034,1124,6172,523,848,13700
LGA33980,64,4,0,134,46,9,70,7,3,139,25,4,21,5,4,46,21,5,18,0,0,43,55,0,41,6,8,108,93,8,58,3,10,171,87,15,95,10,10,222,38,7,62,5,0,115,14,9,33,0,3,55,13,0,25,0,0,36,3,3,8,0,0,17,0,0,0,0,0,4,0,0,0,0,0,0,37,7,60,3,9,116,761,134,987,79,87,2063
LGA34420,4,0,0,13,12,0,28,0,4,46,6,0,5,0,0,17,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,7,0,0,8,40,8,56,0,11,109
LGA34530,0,0,0,5,14,0,0,0,0,15,17,0,8,0,3,28,25,4,8,0,7,43,47,4,23,0,0,70,133,4,65,7,14,222,192,32,212,20,35,487,100,18,118,8,19,265,26,7,34,6,4,80,9,7,8,0,3,27,0,0,8,0,0,7,0,0,0,0,0,3,0,0,0,0,0,0,22,0,14,0,0,41,585,81,510,37,90,1303
LGA34570,0,0,0,3,5,0,11,0,0,23,5,0,10,0,0,13,0,0,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,8,26,3,30,0,4,61
LGA34580,0,0,0,0,23,4,6,0,0,40,17,5,12,0,3,33,31,5,21,0,0,53,80,10,82,3,4,183,215,40,215,17,41,525,118,43,152,3,19,332,28,13,41,3,12,101,10,0,9,0,0,19,0,0,0,0,3,11,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,4,34,3,17,4,4,56,567,114,553,36,86,1359
LGA34590,17,5,3,46,128,5,29,10,17,193,200,21,81,20,38,356,80,16,62,6,20,192,283,31,218,18,37,594,1831,216,1741,106,224,4128,2867,760,4153,332,595,8705,578,242,840,110,193,1961,181,85,228,60,83,632,74,20,91,25,23,234,19,9,24,9,10,74,11,0,12,0,4,35,9,3,9,0,3,24,171,40,172,23,46,454,6477,1466,7694,729,1292,17659
LGA34710,3,0,0,12,4,0,4,0,0,9,10,0,9,0,0,19,9,0,5,0,0,16,14,0,13,0,0,29,17,4,17,0,6,36,7,0,3,0,3,15,0,0,7,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,3,5,0,0,15,78,4,78,8,9,182
LGA34770,4,0,0,12,54,4,30,0,14,100,128,9,46,4,13,194,108,9,57,4,9,182,212,15,110,10,22,363,486,51,331,37,48,939,855,135,829,69,101,1990,365,85,496,37,65,1051,74,19,105,16,20,234,16,12,27,8,0,67,5,0,11,0,0,16,0,6,0,0,0,5,0,0,3,0,0,3,82,9,57,3,10,160,2414,344,2117,186,304,5360
LGA34800,0,0,0,0,3,0,4,0,0,6,0,0,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8,0,9,0,0,12,15,0,17,0,3,29
LGA34830,0,0,0,0,4,4,12,0,4,22,0,0,7,0,0,15,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,12,0,21,0,7,48
LGA34860,4,0,0,20,16,3,25,0,0,44,39,8,35,0,0,83,29,6,20,0,3,64,44,4,35,0,6,95,60,7,55,3,6,135,45,3,45,3,4,104,0,3,8,0,0,9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,17,0,27,0,3,49,296,46,277,11,32,662
LGA34880,3,0,0,10,16,0,13,0,4,33,29,4,20,0,4,61,34,4,18,0,0,59,39,3,33,0,8,88,101,13,74,9,9,208,87,20,78,10,11,203,23,0,19,8,4,48,11,0,6,0,0,14,0,0,3,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,23,0,21,0,0,51,373,56,298,24,43,800
LGA35010,4,0,5,23,176,6,27,12,22,240,242,8,58,14,49,369,164,18,51,9,26,274,539,63,426,29,58,1118,2133,138,1310,84,222,3886,4573,810,4814,407,699,11300,1378,397,1833,234,327,4173,372,143,443,94,123,1170,94,53,180,39,59,421,42,21,67,21,15,164,8,4,13,0,6,36,22,6,20,0,6,65,223,44,172,22,48,516,10017,1708,9444,971,1671,23809
LGA35250,12,0,6,19,14,0,25,0,4,47,3,0,4,4,3,15,0,0,0,0,0,0,0,0,0,0,0,5,0,0,6,0,0,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,0,0,7,42,10,60,4,12,124
LGA35300,25,0,0,52,25,3,29,3,0,53,41,0,27,0,0,72,31,0,16,0,0,45,65,9,34,0,0,107,72,7,71,13,5,165,135,16,144,12,7,318,73,20,91,5,8,198,35,8,44,0,4,89,0,0,13,0,0,14,0,0,9,0,0,9,0,0,0,0,0,0,0,0,3,0,0,3,23,0,23,4,4,50,597,70,586,44,38,1331
LGA35600,4,0,0,14,3,0,13,0,0,19,25,0,9,0,0,34,19,0,14,0,3,37,7,0,7,0,0,19,6,0,7,0,0,16,0,0,3,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,5,0,0,16,99,8,61,3,3,175
LGA35670,0,0,0,9,11,0,24,0,4,39,0,7,10,0,3,29,0,0,5,0,0,5,0,0,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,5,24,16,46,3,13,100
LGA35740,0,0,0,0,11,0,8,0,4,16,25,0,6,0,0,35,16,0,5,0,5,28,24,0,13,0,0,35,61,3,26,3,8,105,205,9,107,10,22,345,259,18,167,23,39,504,140,31,119,24,28,339,97,19,87,16,11,228,42,13,40,16,10,120,23,3,40,4,5,72,51,14,52,18,10,134,40,0,25,3,6,71,993,117,683,114,140,2043
LGA35760,3,0,0,12,22,3,12,0,5,42,27,0,19,0,4,53,26,0,18,0,0,49,41,9,28,0,4,77,30,5,22,0,6,54,0,0,5,0,0,9,0,0,0,0,0,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,16,4,17,0,0,33,175,19,127,6,20,351
LGA35780,14,0,0,34,19,9,91,9,6,128,13,16,47,0,15,91,0,0,8,0,0,8,0,0,3,0,0,3,6,0,0,0,0,3,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,0,7,0,0,13,87,37,184,10,21,338
