LGA_CODE_2021,C21_75_99_CF_CU15_NDS,C21_75_99_CF_NCU15_DS,C21_75_99_CF_NDCO,C21_75_99_Tot,C21_100_149_CF_NC,C21_100_149_CF_Cu15DS_,C21_100_149_CF_CU15_NDS,C21_100_149_CF_NCU15_DS,C21_100_149_CF_NDCO,C21_100_149_Tot,C21_150_199_CF_NC,C21_150_199_CF_Cu15DS_,C21_150_199_CF_CU15_NDS,C21_150_199_CF_NCU15_DS,C21_150_199_CF_NDCO,C21_150_199_Tot,C21_200_224_CF_NC,C21_200_224_CF_Cu15DS_,C21_200_224_CF_CU15_NDS,C21_200_224_CF_NCU15_DS,C21_200_224_CF_NDCO,C21_200_224_Tot,C21_225_274_CF_NC,C21_225_274_CF_Cu15DS_,C21_225_274_CF_CU15_NDS,C21_225_274_CF_NCU15_DS,C21_225_274_CF_NDCO,C21_225_274_Tot,C21_275_349_CF_NC,C21_275_349_CF_Cu15DS_,C21_275_349_CF_CU15_NDS,C21_275_349_CF_NCU15_DS,C21_275_349_CF_NDCO,C21_275_349_Tot,C21_350_449_CF_NC,C21_350_449_CF_Cu15DS_,C21_350_449_CF_CU15_NDS,C21_350_449_CF_NCU15_DS,C21_350_449_CF_NDCO,C21_350_449_Tot,C21_450_549_CF_NC,C21_450_549_CF_Cu15DS_,C21_450_549_CF_CU15_NDS,C21_450_549_CF_NCU15_DS,C21_450_549_CF_NDCO,C21_450_549_Tot,C21_550_649_CF_NC,C21_550_649_CF_Cu15DS_,C21_550_649_CF_CU15_NDS,C21_550_649_CF_NCU15_DS,C21_550_649_CF_NDCO,C21_550_649_Tot,C21_650_749_CF_NC,C21_650_749_CF_Cu15DS_,C21_650_749_CF_CU15_NDS,C21_650_749_CF_NCU15_DS,C21_650_749_CF_NDCO,C21_650_749_Tot,C21_750_849_CF_NC,C21_750_849_CF_Cu15DS_,C21_750_849_CF_CU15_NDS,C21_750_849_CF_NCU15_DS,C21_750_849_CF_NDCO,C21_750_849_Tot,C21_850_949_CF_NC,C21_850_949_CF_Cu15DS_,C21_850_949_CF_CU15_NDS,C21_850_949_CF_NCU15_DS,C21_850_949_CF_NDCO,C21_850_949_Tot,C21_950over_CF_NC,C21_950over_CF_Cu15DS_,C21_950over_CF_CU15_NDS,C21_950over_CF_NCU15_DS,C21_950over_CF_NDCO,C21_950over_Tot,C21_Rns_CF_NC,C21_Rns_CF_Cu15DS_,C21_Rns_CF_CU15_NDS,C21_Rns_CF_NCU15_DS,C21_Rns_CF_NDCO,C21_Rns_Tot,C21_Tot_CF_NC,C21_Tot_CF_Cu15DS_,C21_Tot_CF_CU15_NDS,C21_Tot_CF_NCU15_DS,C21_Tot_CF_NDCO,C21_Tot_Tot
LGA23670,3,0,0,11,40,0,10,0,4,47,57,3,13,9,4,86,27,0,7,0,6,45,47,0,26,6,3,76,268,13,162,25,28,495,1215,104,976,108,127,2525,601,125,718,134,159,1734,104,48,173,55,53,439,29,7,44,18,10,113,11,5,9,5,6,31,4,0,9,3,0,14,22,7,18,3,3,46,69,9,50,7,19,151,2510,333,2214,363,412,5835
LGA23810,7,0,0,9,51,0,24,0,3,80,139,9,43,3,10,209,133,16,106,3,15,274,222,29,186,18,33,497,284,40,237,29,32,616,151,30,170,18,21,382,29,9,48,7,6,106,3,0,6,0,0,9,0,0,0,3,0,6,0,0,0,0,0,0,0,0,0,0,0,0,3,4,4,0,0,9,27,0,18,6,0,54,1056,131,852,94,131,2262
LGA23940,0,0,0,3,13,0,8,0,0,25,6,3,11,0,0,23,12,0,11,0,0,19,4,0,9,0,0,21,4,0,9,0,0,13,5,0,0,0,0,4,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,9,0,4,0,0,11,59,3,55,5,3,132
LGA24130,0,0,0,3,6,0,9,0,0,11,22,0,13,0,0,32,11,3,4,5,0,18,21,0,6,0,0,35,62,3,34,5,14,121,162,23,130,19,10,351,91,21,131,21,18,285,38,18,54,8,8,132,10,4,25,5,0,47,5,0,8,0,0,14,3,0,0,0,0,4,3,0,5,0,0,7,23,0,18,0,0,39,467,77,441,63,50,1102
LGA24210,0,0,0,0,7,0,4,0,0,12,31,0,7,0,0,42,14,0,8,0,0,22,41,0,10,4,4,57,121,6,51,9,15,203,658,47,485,67,58,1317,552,111,668,133,102,1560,237,94,404,106,90,926,107,51,225,52,39,480,39,32,96,29,13,215,20,15,37,10,13,99,14,29,36,23,16,122,75,10,63,17,20,181,1923,397,2092,453,373,5238
LGA24250,0,0,0,0,8,0,3,0,0,7,8,0,0,0,0,13,8,0,4,0,0,10,16,0,6,0,0,23,14,3,16,0,0,40,40,12,40,4,4,99,10,5,11,0,0,34,0,0,0,0,0,0,0,0,3,0,0,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6,0,7,0,0,17,119,15,100,9,10,254
LGA24330,4,0,0,8,42,0,8,0,6,66,98,0,20,10,4,132,52,3,19,4,7,78,150,13,75,13,4,250,497,26,313,31,33,896,1276,30,453,29,46,1836,933,28,389,29,25,1402,347,21,229,15,16,626,108,5,113,20,6,253,35,8,42,0,3,91,10,0,14,3,0,27,26,9,13,3,0,53,78,3,38,15,11,140,3663,154,1732,170,160,5882
LGA24410,6,0,0,12,22,0,8,0,0,36,51,0,8,3,3,66,21,0,5,3,3,32,54,6,16,3,9,83,297,22,290,22,31,665,1016,120,778,68,87,2071,405,83,454,62,59,1068,78,38,143,44,27,328,19,19,47,17,9,108,5,0,14,7,0,27,6,0,5,0,0,18,13,3,14,3,4,34,44,4,33,16,13,110,2043,293,1832,245,254,4658
LGA24600,4,3,0,14,43,0,15,0,4,66,98,4,25,4,3,138,92,6,20,3,0,121,268,12,23,3,12,315,1840,19,243,9,13,2134,4617,13,730,28,26,5407,2756,19,606,43,26,3449,1097,22,287,28,15,1447,500,14,220,18,12,768,263,8,107,13,15,405,156,9,68,18,10,256,300,21,140,36,17,512,223,5,55,12,8,302,12288,157,2552,219,156,15361
LGA24650,0,0,0,5,18,0,10,0,0,28,26,3,16,0,5,49,28,6,17,7,3,57,81,11,63,3,6,159,582,84,715,57,78,1508,967,256,1585,154,192,3155,187,117,347,56,83,793,20,17,46,10,12,105,12,3,9,5,6,27,9,5,0,0,0,16,0,0,3,0,0,11,16,0,11,0,0,34,62,10,86,16,23,202,2026,507,2906,311,410,6165
LGA24780,0,0,0,8,58,0,25,0,7,89,99,8,43,8,13,166,84,12,65,6,10,169,188,24,115,9,24,352,319,38,315,19,43,733,219,47,210,18,21,516,47,13,53,11,10,132,4,0,7,0,6,20,3,0,4,0,0,6,3,3,0,0,0,8,3,0,0,0,0,0,3,0,0,0,0,5,40,3,28,0,3,82,1080,148,874,78,132,2319
LGA24850,3,0,0,3,9,0,6,0,0,17,22,0,12,0,3,39,25,0,14,0,0,42,93,12,99,3,12,219,176,16,144,4,23,367,219,44,367,16,35,688,29,10,44,3,11,93,3,0,12,0,4,20,4,0,4,0,0,9,4,0,0,0,0,6,0,0,0,0,0,0,3,0,4,0,5,7,23,3,27,3,3,63,618,84,738,36,92,1571
LGA24900,0,0,0,0,26,3,10,4,0,49,53,6,30,5,3,97,48,5,31,8,4,94,101,3,64,0,3,173,102,20,98,6,13,237,73,7,100,8,14,202,13,3,10,0,4,29,0,0,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,3,0,0,3,29,6,19,3,4,52,457,53,360,33,43,951
LGA24970,0,0,0,15,49,0,10,0,8,70,84,0,20,5,7,119,41,3,13,4,6,61,95,8,24,0,10,137,450,17,179,30,24,694,1742,128,1155,199,112,3338,1071,214,1379,232,133,3027,468,147,734,169,79,1596,183,77,277,70,32,642,49,43,111,44,16,258,20,8,40,3,4,74,38,21,58,11,10,137,149,13,104,13,19,302,4464,677,4109,783,457,10490
LGA25060,0,0,0,8,32,0,16,4,5,54,67,0,27,6,7,106,20,0,32,6,5,54,98,9,51,8,3,171,510,14,190,26,32,770,1254,47,564,67,63,1995,807,45,475,51,41,1415,323,27,284,39,28,698,105,14,186,26,20,355,58,17,89,16,8,183,17,8,49,12,5,89,28,13,49,10,7,104,92,8,60,10,6,181,3411,208,2090,259,221,6196
LGA25150,0,0,0,7,8,0,7,0,0,13,12,0,3,0,0,19,9,5,0,0,0,22,29,4,20,0,4,62,104,3,77,3,18,202,177,18,223,13,21,448,19,6,35,0,10,71,3,0,9,0,0,8,0,5,7,0,0,9,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,7,19,4,13,7,3,44,393,45,394,30,54,916
LGA25250,0,0,0,15,44,5,22,0,0,63,91,0,13,7,6,122,57,5,25,4,0,88,149,10,50,9,19,239,739,35,428,27,37,1276,2662,142,1338,84,97,4322,1673,64,774,52,50,2617,678,40,334,31,12,1097,242,10,152,12,5,423,101,15,73,13,0,200,54,4,30,7,0,97,60,0,44,0,0,109,132,10,79,15,19,252,6693,350,3372,264,257,10929
LGA25340,0,0,0,8,34,0,15,3,5,56,59,0,11,3,5,82,54,0,28,0,0,80,126,18,105,5,14,258,337,21,195,21,39,613,732,80,575,62,97,1543,402,67,443,63,64,1039,157,48,219,33,34,485,83,36,129,16,10,281,43,11,56,6,14,140,17,7,40,13,6,85,36,19,63,11,9,132,64,11,61,16,22,173,2150,327,1946,248,315,4986
LGA25430,0,0,0,0,6,0,4,0,0,9,9,0,4,0,0,11,10,0,0,0,0,11,16,0,8,0,0,29,63,4,48,6,0,116,50,5,67,3,0,126,18,0,20,5,0,46,3,0,5,0,0,10,0,0,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,3,6,0,14,181,16,167,16,9,385
LGA25490,0,0,0,6,14,5,15,0,0,36,29,0,18,0,4,46,19,6,19,6,0,46,30,10,19,4,4,65,33,6,41,0,4,84,34,11,33,0,0,80,3,0,13,0,5,19,6,0,3,0,0,8,0,0,0,0,0,0,0,0,0,0,0,5,0,0,0,0,0,0,0,0,0,0,0,0,23,0,26,3,0,49,197,35,183,16,24,459
LGA25620,0,0,0,0,10,0,0,0,0,13,11,0,5,0,0,16,13,0,6,0,0,24,24,0,16,0,0,38,48,4,24,6,8,87,34,6,29,0,8,70,6,0,6,0,0,11,6,0,3,0,0,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8,15,0,8,0,0,21,162,19,96,6,13,304
LGA25710,0,0,0,6,3,0,7,0,0,9,13,0,0,0,0,13,3,0,3,0,0,11,7,0,6,0,0,13,26,0,15,0,9,57,86,8,77,8,9,190,80,19,115,11,12,241,41,19,94,11,10,180,11,8,31,10,7,70,10,3,11,0,3,31,0,0,3,0,0,10,4,3,9,0,0,9,11,0,7,0,5,30,300,66,385,53,60,859
LGA25810,6,0,0,3,10,0,4,0,0,17,36,0,13,0,5,55,26,0,15,0,0,39,33,0,29,6,0,72,25,7,22,0,0,55,8,0,14,0,0,24,0,0,0,0,0,5,3,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,8,0,4,0,3,14,149,11,107,11,12,288
