LGA_CODE_2021,C11_1_74_REA,C11_1_74_ST_HA,C11_1_74_Co_ho_pr,C11_1_74_Per_no_sa_ho,C11_1_74_Oth_land_typ,C11_1_74_LLT_NS,C11_1_74_Tot,C11_75_99_REA,C11_75_99_ST_HA,C11_75_99_Co_ho_pr,C11_75_99_Pe_no_sa_ho,C11_75_99_Oth_lan_typ,C11_75_99_Lan_type_ns,C11_75_99_Tot,C11_100_149_REA,C11_100_149_ST_HA,C11_100_149_Co_ho_pr,C11_100_149_Pe_no_sa_ho,C11_100_149_Ot_lan_ty,C11_100_149_Lan_typ_ns,C11_100_149_Tot,C11_150_199_REA,C11_150_199_ST_HA,C11_150_199_Co_ho_pr,C11_150_199_Pe_no_sa_ho,C11_150_199_Ot_lan_ty,C11_150_199_Lan_ty_ns,C11_150_199_Tot,C11_200_224_REA,C11_200_224_ST_HA,C11_200_224_Co_ho_pr,C11_200_224_Pe_no_sa_ho,C11_200_224_Ot_lan_ty,C11_200_224_Lan_ty_ns,C11_200_224_Tot,C11_225_274_REA,C11_225_274_ST_HA,C11_225_274_Co_ho_pr,C11_225_274_Pe_no_sa_ho,C11_225_274_Ot_la_typ,C11_225_274_Lan_ty_ns,C11_225_274_Tot,C11_275_349_REA,C11_275_349_ST_HA,C11_275_349_Co_ho_pr,C11_275_349_Pe_no_sa_ho,C11_275_349_Ot_lan_ty,C11_275_349_Lan_ty_ns,C11_275_349_Tot,C11_350_449_REA,C11_350_449_ST_HA,C11_350_449_Co_ho_pr,C11_350_449_Pe_no_sa_ho,C11_350_449_Ot_lan_ty,C11_350_449_Lan_ty_ns,C11_350_449_Tot,C11_450_549_REA,C11_450_549_ST_HA,C11_450_549_Co_ho_pr,C11_450_549_Pe_no_sa_ho,C11_450_549_Oth_lan_typ,C11_450_549_Lan_ty_ns,C11_450_549_Tot,C11_550_649_REA,C11_550_649_ST_HA,C11_550_649_Co_ho_pr,C11_550_649_Pe_no_sa_ho,C11_550_649_Ot_lan_ty,C11_550_649_Lan_ty_ns,C11_550_649_Tot,C11_650_749_REA,C11_650_749_ST_HA,C11_650_749_Co_ho_pr,C11_650_749_Pe_no_sa_ho,C11_650_749_Oth_lan_typ,C11_650_749_LLT_NS,C11_650_749_Tot,C11_750_849_REA,C11_750_849_ST_HA,C11_750_849_Co_ho_pr,C11_750_849_Pe_no_sa_ho,C11_750_849_Oth_lan_typ,C11_750_849_LLT_NS,C11_750_849_Tot,C11_850_950_REA,C11_850_949_ST_HA,C11_850_949_Co_ho_pr,C11_850_949_Pe_no_sa_ho,C11_850_949_Oth_lan_typ,C11_850_949_LLT_NS,C11_850_949_Tot,C11_950over_REA,C11_950over_ST_HA,C11_950over_Co_ho_pr,C11_950over_Pe_no_sa_ho,C11_950over_Oth_lan_typ,C11_950over_LLT_NS,C11_950over_Tot,C11_R_NS_REA,C11_R_NS_ST_HA,C11_R_NS_Co_ho_pr,C11_R_NS_Pe_no_sa_ho,C11_R_NS_Oth_lan_typ,C11_R_NS_Land_typ_ns,C11_Rent_not_statd_Tot,C11_Tot_REA,C11_Tot_ST_HA,C11_Tot_Co_ho_pr,C11_Tot_Pe_no_sa_ho,C11_Tot_Oth_lan_typ,C11_Tot_LLT_NS,C11_Tot_Tot,C16_1_74_REA,C16_1_74_ST_HA,C16_1_74_Co_ho_pr,C16_1_74_Per_no_sa_ho,C16_1_74_Oth_land_typ,C16_1_74_LLT_NS,C16_1_74_Tot,C16_75_99_REA,C16_75_99_ST_HA,C16_75_99_Co_ho_pr,C16_75_99_Pe_no_sa_ho,C16_75_99_Oth_lan_typ,C16_75_99_Lan_type_ns,C16_75_99_Tot,C16_100_149_REA,C16_100_149_ST_HA,C16_100_149_Co_ho_pr,C16_100_149_Pe_no_sa_ho,C16_100_149_Ot_lan_ty,C16_100_149_Lan_typ_ns,C16_100_149_Tot,C16_150_199_REA,C16_150_199_ST_HA,C16_150_199_Co_ho_pr,C16_150_199_Pe_no_sa_ho,C16_150_199_Ot_lan_ty,C16_150_199_Lan_ty_ns,C16_150_199_Tot,C16_200_224_REA,C16_200_224_ST_HA,C16_200_224_Co_ho_pr,C16_200_224_Pe_no_sa_ho,C16_200_224_Ot_lan_ty,C16_200_224_Lan_ty_ns,C16_200_224_Tot,C16_225_274_REA,C16_225_274_ST_HA,C16_225_274_Co_ho_pr,C16_225_274_Pe_no_sa_ho,C16_225_274_Ot_la_typ,C16_225_274_Lan_ty_ns,C16_225_274_Tot,C16_275_349_REA,C16_275_349_ST_HA,C16_275_349_Co_ho_pr,C16_275_349_Pe_no_sa_ho,C16_275_349_Ot_lan_ty,C16_275_349_Lan_ty_ns,C16_275_349_Tot,C16_350_449_REA,C16_350_449_ST_HA,C16_350_449_Co_ho_pr,C16_350_449_Pe_no_sa_ho,C16_350_449_Ot_lan_ty,C16_350_449_Lan_ty_ns,C16_350_449_Tot,C16_450_549_REA,C16_450_549_ST_HA,C16_450_549_Co_ho_pr,C16_450_549_Pe_no_sa_ho,C16_450_549_Oth_lan_typ,C16_450_549_Lan_ty_ns,C16_450_549_Tot,C16_550_649_REA,C16_550_649_ST_HA,C16_550_649_Co_ho_pr,C16_550_649_Pe_no_sa_ho,C16_550_649_Oth_lan_typ,C16_550_649_LLT_NS,C16_550_649_Tot,C16_650_749_REA,C16_650_749_ST_HA,C16_650_749_Co_ho_pr,C16_650_749_Pe_no_sa_ho,C16_650_749_Oth_lan_typ,C16_650_749_LLT_NS,C16_650_749_Tot,C16_750_849_REA,C16_750_849_ST_HA,C16_750_849_Co_ho_pr,C16_750_849_Pe_no_sa_ho,C16_750_849_Oth_lan_typ,C16_750_849_LLT_NS,C16_750_849_Tot,C16_850_950_REA,C16_850_949_ST_HA,C16_850_949_Co_ho_pr,C16_850_949_Pe_no_sa_ho
LGA10050,8,96,9,21,11,0,142,27,242,37,29,11,0,348,715,224,36,156,15,8,1158,828,111,24,249,28,5,1253,438,64,3,171,25,4,710,784,37,3,178,25,5,1040,640,7,0,128,16,5,796,245,0,0,46,7,0,300,46,0,0,15,0,0,57,18,0,0,6,4,0,28,4,0,0,0,0,0,0,0,0,0,6,0,0,7,0,0,0,3,0,0,8,12,0,0,4,4,0,22,65,47,19,34,18,15,203,3845,830,144,1042,170,44,6078,9,33,9,8,0,0,57,18,37,23,9,6,0,100,306,286,29,96,16,5,735,899,134,35,159,19,9,1263,486,63,11,150,14,7,730,1000,81,11,208,26,3,1324,1075,23,7,179,14,0,1299,626,0,4,73,6,0,714,86,0,0,22,0,0,115,15,0,0,6,0,0,17,4,0,0,4,0,0,4,5,0,0,0,0,0,3,0,0,0,0
LGA10180,3,45,11,27,16,4,100,13,101,8,18,3,0,149,145,120,28,96,30,7,422,429,106,37,142,20,3,737,268,36,7,79,4,5,403,403,28,7,101,7,0,552,372,0,7,81,10,0,464,222,8,0,37,6,0,272,19,0,0,8,0,0,32,4,0,0,0,0,0,4,5,0,0,0,0,0,5,0,0,0,0,0,0,3,0,6,0,0,0,0,6,10,0,0,11,0,0,19,28,32,13,25,24,9,129,1906,476,113,616,141,29,3282,4,17,5,10,7,0,43,8,24,5,9,3,0,58,73,131,9,52,6,3,282,197,131,38,100,17,6,488,241,48,18,80,7,0,407,459,53,14,96,10,4,633,609,30,13,119,11,4,783,498,3,5,78,5,5,593,86,8,0,12,3,0,109,14,0,0,0,0,0,21,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
LGA10250,0,58,30,11,4,4,104,0,206,22,6,13,0,249,28,124,44,60,44,0,294,89,97,11,104,79,5,385,128,15,3,100,28,4,285,338,30,6,167,26,7,566,748,10,0,257,25,3,1049,811,11,8,218,13,5,1064,196,0,0,51,3,0,256,43,0,0,13,4,0,59,9,3,0,0,0,0,18,8,0,3,0,0,0,12,5,0,0,0,0,0,6,9,0,0,17,5,0,33,26,39,12,28,20,4,142,2453,606,133,1026,259,32,4512,0,13,6,4,0,0,24,0,17,15,0,6,0,31,24,254,50,42,22,5,392,30,89,22,49,38,3,225,48,50,4,75,26,0,209,183,44,3,109,52,3,400,624,37,9,227,9,8,917,907,17,5,267,14,3,1213,498,5,0,106,0,5,616,179,0,0,31,7,0,218,52,0,0,13,6,0,71,15,4,0,8,3,0,24,6,0,0,0
LGA10300,0,0,3,0,11,0,22,0,3,4,3,0,0,13,20,0,16,14,5,0,61,15,4,0,36,11,0,70,8,0,0,6,0,0,12,0,0,0,0,0,0,3,0,0,0,0,0,0,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,3,3,0,10,3,0,15,47,22,25,70,36,6,208,0,5,3,0,6,0,19,0,0,4,4,3,0,7,8,9,6,11,3,0,39,19,10,0,25,12,0,70,11,0,0,19,3,0,32,3,0,0,12,0,0,17,4,0,0,0,0,0,4,0,0,0,0,0,0,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
LGA10470,10,65,15,21,8,0,127,11,139,9,10,7,0,180,165,146,10,103,23,5,454,383,114,12,150,9,4,681,298,50,5,152,11,0,515,614,12,4,142,8,0,787,571,0,0,111,0,3,694,276,0,0,49,0,0,327,32,0,0,8,0,0,38,4,0,0,4,0,0,7,0,0,0,0,0,0,3,0,0,0,0,0,0,3,0,0,0,0,0,0,0,9,0,0,0,0,0,12,40,25,9,32,13,5,130,2418,563,72,791,86,27,3964,10,22,15,9,7,0,61,4,21,5,8,9,0,46,56,182,15,57,15,7,325,209,110,9,94,6,7,438,175,64,4,110,10,6,367,532,42,7,143,10,4,732,903,52,22,209,16,7,1215,748,15,17,100,9,6,890,83,0,3,7,0,0,92,5,0,0,4,0,0,7,3,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0
LGA10500,15,261,19,15,4,3,317,9,784,21,14,3,3,836,37,386,69,72,27,7,590,118,237,32,105,31,4,533,121,61,17,132,28,3,368,472,101,21,188,30,7,816,2244,70,15,409,54,16,2798,4018,65,12,637,64,14,4804,1960,35,10,342,35,6,2398,957,15,0,153,9,7,1143,309,3,0,47,4,0,363,126,4,0,22,0,0,154,46,5,0,9,0,0,53,62,3,0,25,3,3,90,182,139,40,165,36,43,601,10674,2167,249,2341,325,117,15872,17,113,11,15,0,0,151,6,96,8,5,4,0,119,27,951,45,47,6,3,1074,52,320,49,86,11,4,519,76,131,28,96,14,9,349,161,119,23,113,68,0,472,655,81,18,249,51,3,1057,4047,95,21,566,62,21,4810,4117,35,10,506,53,12,4739,3133,24,14,398,46,9,3618,1751,13,4,201,15,0,1986,510,3,0,91,11,0,624,223,0,0,28
LGA10550,0,24,4,29,16,0,83,5,85,21,25,13,0,154,68,91,31,121,26,0,336,346,60,16,215,23,7,665,252,22,4,121,14,0,420,367,33,10,143,9,0,562,327,7,0,87,7,0,437,89,0,0,22,3,0,121,14,0,0,4,3,0,23,0,0,0,3,0,0,8,3,0,0,0,4,0,3,3,0,0,0,0,0,0,0,0,0,0,0,0,0,8,0,0,5,0,0,21,29,20,8,41,26,5,135,1510,345,100,829,158,25,2966,0,6,0,15,5,0,33,0,21,9,7,5,0,41,23,108,37,89,14,8,278,136,63,12,110,21,3,345,158,28,8,129,11,5,339,336,26,10,139,16,3,529,476,35,3,169,21,5,710,348,3,6,76,7,3,440,30,0,0,10,3,0,44,6,0,0,4,0,0,7,0,0,0,0,0,0,4,0,0,0,0,7,0,9,0,0,0,0
LGA10600,0,3,8,6,6,0,26,0,36,0,8,10,0,60,26,21,12,56,20,7,146,59,8,8,76,12,5,168,84,7,3,62,4,0,159,119,7,3,83,7,0,221,171,6,0,79,9,0,263,84,0,0,44,4,0,129,12,0,0,3,0,0,13,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,3,0,0,10,10,11,3,5,5,0,35,578,100,32,438,73,15,1234,0,3,0,12,5,0,20,0,0,0,4,5,0,10,5,45,8,26,16,3,101,33,8,4,55,6,0,112,22,4,7,43,5,0,82,88,8,3,82,4,0,187,174,6,4,102,9,0,303,171,0,0,83,4,0,264,34,0,0,12,0,0,45,7,0,0,3,4,0,11,0,0,0,0,0,0,5,0,0,0,0,0,0,0,0,0,0,0
LGA10650,3,0,12,15,11,0,35,22,0,4,26,3,0,62,77,13,3,75,22,0,184,125,3,4,71,4,4,211,35,0,0,17,11,0,66,43,0,0,14,0,0,62,13,0,0,0,4,0,17,0,0,0,4,0,0,4,0,0,0,5,5,0,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,4,0,0,6,7,3,0,13,5,0,36,323,21,24,242,60,13,680,0,0,4,8,7,0,20,11,3,10,7,10,0,45,40,6,7,57,21,3,132,106,7,0,80,9,0,202,52,3,0,40,5,0,109,68,0,0,31,9,0,106,44,0,0,12,0,0,60,12,0,0,0,4,0,15,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,0,0
LGA10750,9,753,58,38,11,5,870,9,1770,41,5,6,3,1837,37,1863,76,140,42,21,2173,196,1578,88,260,77,15,2215,320,790,41,312,95,6,1567,1366,573,52,578,100,17,2678,4830,263,49,1260,136,42,6575,5208,46,19,867,124,19,6292,1303,11,0,254,13,3,1587,549,12,6,71,11,4,645,97,7,0,21,4,0,136,18,14,0,6,0,0,48,4,8,0,4,0,0,25,74,0,0,26,5,0,116,224,470,48,223,56,62,1088,14250,8157,480,4089,677,205,27855,14,341,21,13,8,4,390,8,299,23,10,0,5,342,22,2174,57,77,33,10,2369,82,1455,73,136,37,13,1792,144,644,48,155,21,14,1016,362,685,48,288,84,12,1484,2585,1018,61,752,91,26,4528,8715,514,55,1481,202,51,11023,4216,68,12,596,65,24,4980,1932,7,3,201,10,8,2153,726,4,0,71,6,3,816,106,6,5,11,5,0,136,24,0,0,3
