SA3_CODE_2021,C21_Chr_Ch_nfd_0_14,C21_Chr_Ch_nfd_15_24,C21_Chr_Ch_nfd_25_34,C21_Chr_Ch_nfd_35_44,C21_Chr_Ch_nfd_45_54,C21_Chr_Ch_nfd_55_64,C21_Chr_Ch_nfd_65_74,C21_Chr_Ch_nfd_75_84,C21_Chr_Ch_nfd_85ov,C21_Chr_Ch_nfd_Tot,C21_Chr_Oth_Ch_0_14,C21_Chr_Oth_Ch_15_24,C21_Chr_Oth_Ch_25_34,C21_Chr_Oth_Ch_35_44,C21_Chr_Oth_Ch_45_54,C21_Chr_Oth_Ch_55_64,C21_Chr_Oth_Ch_65_74,C21_Chr_Oth_Ch_75_84,C21_Chr_Oth_Ch_85ov,C21_Chr_Oth_Ch_Tot,C21_Christ_Tot_0_14,C21_Christ_Tot_15_24,C21_Christ_Tot_25_34,C21_Christ_Tot_35_44,C21_Christ_Tot_45_54,C21_Christ_Tot_55_64,C21_Christ_Tot_65_74,C21_Christ_Tot_75_84,C21_Christ_Tot_85ov,C21_Christ_Tot_Tot,C21_Hinduism_0_14,C21_Hinduism_15_24,C21_Hinduism_25_34,C21_Hinduism_35_44,C21_Hinduism_45_54,C21_Hinduism_55_64,C21_Hinduism_65_74,C21_Hinduism_75_84,C21_Hinduism_85ov,C21_Hinduism_Tot,C21_Islam_0_14,C21_Islam_15_24,C21_Islam_25_34,C21_Islam_35_44,C21_Islam_45_54,C21_Islam_55_64,C21_Islam_65_74,C21_Islam_75_84,C21_Islam_85ov,C21_Islam_Tot,C21_Judaism_0_14,C21_Judaism_15_24,C21_Judaism_25_34,C21_Judaism_35_44,C21_Judaism_45_54,C21_Judaism_55_64,C21_Judaism_65_74,C21_Judaism_75_84,C21_Judaism_85ov,C21_Judaism_Tot,C21_OR_AusAborTrad_0_14,C21_OR_AusAborTrad15_24,C21_OR_AusAborTrad25_34,C21_OR_AusAborTrad35_44,C21_OR_AusAborTrad45_54,C21_OR_AusAborTrad55_64,C21_OR_AusAborTrad65_74,C21_OR_AusAborTrad75_84,C21_OR_AusAborTrad85ov,C21_OR_AusAborTrade_Tot,C21_OR_Sikhism_0_14,C21_OR_Sikhism_15_24,C21_OR_Sikhism_25_34,C21_OR_Sikhism_35_44,C21_OR_Sikhism_45_54,C21_OR_Sikhism_55_64,C21_OR_Sikhism_65_74,C21_OR_Sikhism_75_84,C21_OR_Sikhism_85ov,C21_OR_Sikhism_Tot,C21_OR_Ot_Re_Gr_0_14,C21_OR_Ot_Re_Gr_15_24,C21_OR_Ot_Re_Gr_25_34,C21_OR_Ot_Re_Gr_35_44,C21_OR_Ot_Re_Gr_45_54,C21_OR_Ot_Re_Gr_55_64,C21_OR_Ot_Re_Gr_65_74,C21_OR_Ot_Re_Gr_75_84,C21_OR_Ot_Re_Gr_85ov,C21_OR_Ot_Re_Gr_Tot,C21_Oth_Rel_Tot_0_14,C21_Oth_Rel_Tot_15_24,C21_Oth_Rel_Tot_25_34,C21_Oth_Rel_Tot_35_44,C21_Oth_Rel_Tot_45_54,C21_Oth_Rel_Tot_55_64,C21_Oth_Rel_Tot_65_74,C21_Oth_Rel_Tot_75_84,C21_Oth_Rel_Tot_85ov,C21_Oth_Rel_Tot_Tot,C21_SBOSB_No_RA_0_14,C21_SBOSB_No_RA_15_24,C21_SBOSB_No_RA_25_34,C21_SBOSB_No_RA_35_44,C21_SBOSB_No_RA_45_54,C21_SBOSB_No_RA_55_64,C21_SBOSB_No_RA_65_74,C21_SBOSB_No_RA_75_84,C21_SBOSB_No_RA_85ov,C21_SBOSB_No_RA_Tot,C21_Rel_aff_ns_0_14,C21_Rel_aff_ns_15_24,C21_Rel_aff_ns_25_34,C21_Rel_aff_ns_35_44,C21_Rel_aff_ns_45_54,C21_Rel_aff_ns_55_64,C21_Rel_aff_ns_65_74,C21_Rel_aff_ns_75_84,C21_Rel_aff_ns_85ov,C21_Rel_aff_ns_Tot,C21_Tot_0_14,C21_Tot_15_24,C21_Tot_25_34,C21_Tot_35_44,C21_Tot_45_54,C21_Tot_55_64,C21_Tot_65_74,C21_Tot_75_84,C21_Tot_85ov,C21_Tot_Tot
19999,38,22,35,37,42,27,13,6,0,222,0,0,0,3,0,0,0,0,0,5,251,225,377,422,478,625,511,145,28,3064,4,11,29,17,0,0,0,0,0,64,18,26,64,30,12,3,3,0,0,163,0,0,0,8,0,5,5,3,0,16,0,0,0,3,0,0,0,0,0,9,0,0,4,0,0,0,0,0,0,6,0,6,8,16,15,15,12,0,0,65,0,4,14,15,15,15,15,0,0,79,417,590,877,530,481,487,288,61,0,3736,552,488,792,807,684,493,223,56,15,4113,1260,1357,2187,1859,1678,1648,1055,277,49,11371
20101,408,272,243,302,310,248,209,97,27,2118,0,6,5,4,9,8,14,0,6,46,7534,4773,3966,5021,6321,7300,7098,4687,2095,48786,276,208,402,301,83,25,20,4,0,1317,218,86,171,169,84,30,7,5,0,765,3,9,6,5,9,11,15,9,0,59,3,0,6,7,5,0,0,0,0,17,143,92,254,110,13,14,11,0,0,646,39,59,94,89,73,54,29,12,0,449,181,158,358,206,91,60,38,12,0,1115,12315,8223,9644,7642,6653,5362,4048,1566,502,55962,1280,971,1055,874,862,756,779,479,278,7331,21902,14504,15741,14392,14251,13656,12107,6773,2878,116201
20102,105,39,40,75,77,90,82,26,8,545,0,0,4,0,0,0,8,0,0,22,1594,952,717,1111,1687,2251,2191,1290,438,12230,14,9,34,13,8,9,3,0,0,86,12,7,4,20,11,0,8,4,0,68,0,0,0,3,3,5,9,3,0,34,0,0,0,0,0,0,0,0,0,0,6,4,8,3,0,0,0,0,0,23,12,4,5,27,21,43,27,0,0,140,15,6,14,31,21,41,27,0,0,161,2953,1441,1562,2028,2404,2354,1869,540,129,15277,440,212,250,328,424,425,427,222,123,2839,5043,2645,2608,3585,4600,5145,4575,2079,689,30975
20103,87,35,57,40,52,70,64,32,4,447,11,0,0,0,0,6,0,5,0,28,1182,761,609,822,1427,2052,2406,1517,537,11309,4,5,25,5,6,5,5,0,0,54,6,3,9,8,3,0,3,0,0,38,8,0,0,0,0,4,0,0,0,16,0,0,0,3,3,0,0,0,0,10,8,0,6,7,0,0,0,0,0,17,6,11,9,15,28,14,15,3,0,107,14,8,17,26,31,15,15,3,0,132,2501,1424,1419,1324,1708,1643,1458,575,127,12184,409,274,262,319,451,397,442,251,90,2885,4125,2479,2355,2534,3654,4154,4352,2361,750,26759
20201,479,235,311,327,260,261,209,86,43,2220,0,0,0,0,7,6,7,0,0,23,6456,4167,3722,4437,5465,6521,6669,4419,2016,43865,176,68,240,206,49,32,22,5,0,804,211,105,168,148,59,36,16,9,0,741,13,7,9,5,3,0,6,5,0,48,4,0,6,0,4,0,0,0,0,18,94,43,142,87,13,3,0,0,0,391,29,45,72,55,44,39,15,5,0,315,128,97,214,143,62,45,18,5,3,714,10945,7093,8412,6601,5518,4655,3592,1434,482,48734,1261,756,984,815,789,769,672,452,298,6802,19389,12471,13979,12582,12136,12212,11096,6354,2812,103034
20202,139,73,68,88,124,151,158,71,10,877,4,3,0,0,12,8,11,4,4,39,2193,1422,992,1506,2576,3279,3533,2184,805,18497,24,7,17,27,6,18,12,0,0,120,22,8,18,9,19,0,7,0,0,83,9,5,6,10,8,9,27,9,0,87,3,0,0,0,3,0,3,0,0,11,10,4,12,10,0,0,0,0,0,36,11,17,32,25,47,38,32,3,0,216,26,20,42,41,49,42,36,3,0,258,5699,2700,2733,3787,4173,3979,3262,1300,325,27963,723,432,615,658,694,700,673,397,206,5101,8704,4611,4463,6101,7608,8128,7624,3923,1340,52500
20203,45,20,17,20,36,29,30,11,4,209,0,0,0,0,0,0,0,0,0,6,619,398,304,430,714,1095,1088,592,236,5467,0,0,8,8,0,0,0,0,0,15,14,0,5,3,0,0,0,0,0,27,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,6,4,0,11,5,11,8,0,0,49,9,4,0,8,5,11,8,0,0,52,1102,567,621,612,650,771,540,176,46,5095,217,119,84,146,209,256,230,127,85,1471,1968,1097,1027,1215,1603,2160,1887,899,371,12224
20301,114,79,37,76,71,71,46,22,4,521,0,0,0,0,0,0,0,0,0,6,1688,943,681,1171,1379,1470,1323,612,198,9462,6,6,3,7,7,0,0,0,0,37,12,11,3,4,8,4,4,0,0,48,0,0,0,0,0,3,0,0,0,7,0,0,0,0,0,0,0,0,0,0,4,0,3,0,0,0,0,0,0,7,5,11,11,15,9,8,7,0,0,58,12,11,12,17,9,8,7,0,0,70,2834,1355,1508,1703,1516,1195,757,219,43,11112,342,156,154,218,221,201,190,111,65,1644,4903,2475,2385,3131,3152,2896,2289,943,307,22483
20302,968,728,679,773,758,672,544,249,106,5470,28,9,17,17,28,15,17,23,13,169,13796,9564,8554,9863,12327,13108,13067,8861,3919,93069,539,475,1468,610,133,82,60,10,3,3382,908,652,967,633,358,207,96,48,7,3872,16,15,24,20,16,11,13,12,4,135,5,3,0,0,0,0,0,0,0,17,401,169,716,361,47,26,10,4,0,1732,65,93,163,105,107,90,39,15,3,679,463,263,873,472,153,116,50,22,3,2421,18883,13780,17412,13189,10808,8856,5915,2442,856,92154,2201,1853,2549,2050,1700,1463,1363,881,539,14595,37090,26893,32338,27287,25859,24118,20738,12319,5340,211986
20303,348,165,165,239,221,231,235,95,26,1725,3,6,4,3,5,7,16,5,0,45,5747,2987,2265,3806,4949,6160,7516,4326,1549,39308,56,34,107,71,15,16,10,3,0,305,44,20,44,41,24,17,7,3,0,204,9,9,11,8,19,13,22,3,3,91,0,0,0,3,0,0,0,0,0,4,43,9,60,28,0,3,0,0,0,155,12,15,34,27,31,32,25,3,0,179,57,28,98,61,32,33,24,3,0,337,10243,4942,5870,7051,5858,5389,4950,1725,415,46444,985,498,524,690,715,792,991,560,328,6078,17200,8541,9005,11854,11717,12569,13583,6650,2302,93417
