SA3_CODE_2021,C11_Se_h_NPUR_1,C11_Se_h_NPUR_2,C11_Se_h_NPUR_3,C11_Se_h_NPUR_4,C11_Se_h_NPUR_5,C11_Se_h_NPUR_6more,C11_Se_h_Tot,C11_SDRTHT1S_NPUR_1,C11_SDRTHT1S_NPUR_2,C11_SDRTHT1S_NPUR_3,C11_SDRTHT1S_NPUR_4,C11_SDRTHT1S_NPUR_5,C11_SDRTHT1S_NPUR_6mor,C11_SDRTHT1S_Tot,C11_SDRTHT2S_NPUR_1,C11_SDRTHT2S_NPUR_2,C11_SDRTHT2S_NPUR_3,C11_SDRTHT2S_NPUR_4,C11_SDRTHT2S_NPUR_5,C11_SDRTHT2S_NPUR_6mor,C11_SDRTHT2S_Tot,C11_SDRTHT_NPUR_1,C11_SDRTHT_NPUR_2,C11_SDRTHT_NPUR_3,C11_SDRTHT_NPUR_4,C11_SDRTHT_NPUR_5,C11_SDRTHT_NPUR_6mor,C11_SDRTHT_Tot,C11_F_a_1_2SB_NPUR_1,C11_F_a_1_2SB_NPUR_2,C11_F_a_1_2SB_NPUR_3,C11_F_a_1_2SB_NPUR_4,C11_F_a_1_2SB_NPUR_5,C11_F_a_1_2SB_NPUR_6mor,C11_F_a_1_2SB_Tot,C11_F_a_I_a_3SB_NPUR_1,C11_F_a_I_a_3SB_NPUR_2,C11_F_a_I_a_3SB_NPUR_3,C11_F_a_I_a_3SB_NPUR_4,C11_F_a_I_a_3SB_NPUR_5,C11_F_a_I_a_3SB_NPUR_6mor,C11_F_a_In_a_3SB_Tot,C11_F_a_4_8SB_NPUR_1,C11_F_a_4_8SB_NPUR_2,C11_F_a_4_8SB_NPUR_3,C11_F_a_4_8SB_NPUR_4,C11_F_a_4_8SB_NPUR_5,C11_F_a_4_8SB_NPUR_6mor,C11_F_a_4_8SB_Tot,C11_F_a_9mor_s_b_NPUR_1,C11_F_a_9mor_s_b_NPUR_2,C11_F_a_9mor_s_b_NPUR_3,C11_F_a_9mor_s_b_NPUR_4,C11_F_a_9mor_s_b_NPUR_5,C11_F_a_9m_s_b_NPUR_6mor,C11_F_a_9mor_st_bl_Tot,C11_F_a_AH_NPUR_1,C11_F_a_AH_NPUR_2,C11_F_a_AH_NPUR_3,C11_F_a_AH_NPUR_4,C11_F_a_AH_NPUR_5,C11_F_a_AH_NPUR_6mor,C11_F_a_AH_Tot,C11_F_a_Tot_NPUR_1,C11_F_a_Tot_NPUR_2,C11_F_a_Tot_NPUR_3,C11_F_a_Tot_NPUR_4,C11_F_a_Tot_NPUR_5,C11_F_a_Tot_NPUR_6mor,C11_F_a_Tot_Tot,C11_OD_CCH_NPUR_1,C11_OD_CCH_NPUR_2,C11_OD_CCH_NPUR_3,C11_OD_CCH_NPUR_4,C11_OD_CCH_NPUR_5,C11_OD_CCH_NPUR_6mor,C11_OD_CCH_Tot,C11_OD_IHTSO_NPUR_1,C11_OD_IHTSO_NPUR_2,C11_OD_IHTSO_NPUR_3,C11_OD_IHTSO_NPUR_4,C11_OD_IHTSO_NPUR_5,C11_OD_IHTSO_NPUR_6mor,C11_OD_IHTSO_Tot,C11_OD_H_f_a_s_o_NPUR_1,C11_OD_H_f_a_s_o_NPUR_2,C11_OD_H_f_a_s_o_NPUR_3,C11_OD_H_f_a_s_o_NPUR_4,C11_OD_H_f_a_s_o_NPUR_5,C11_OD_H_f_a_s_o_NPUR_6mor,C11_OD_H_f_a_s_o_Tot,C11_OD_Tot_NPUR_1,C11_OD_Tot_NPUR_2,C11_OD_Tot_NPUR_3,C11_OD_Tot_NPUR_4,C11_OD_Tot_NPUR_5,C11_OD_Tot_NPUR_6mor,C11_OD_Tot_Tot,C11_DS_ns_NPUR_1,C11_DS_ns_NPUR_2,C11_DS_ns_NPUR_3,C11_DS_ns_NPUR_4,C11_DS_ns_NPUR_5,C11_DS_ns_NPUR_6more,C11_Dwg_st_NS_Tot,C11_Tot_NPUR_1,C11_Tot_NPUR_2,C11_Tot_NPUR_3,C11_Tot_NPUR_4,C11_Tot_NPUR_5,C11_Tot_NPUR_6more,C11_Tot_Tot,C16_Se_h_NPUR_1,C16_Se_h_NPUR_2,C16_Se_h_NPUR_3,C16_Se_h_NPUR_4,C16_Se_h_NPUR_5,C16_Se_h_NPUR_6more,C16_Se_h_Tot,C16_SDRTHT1S_NPUR_1,C16_SDRTHT1S_NPUR_2,C16_SDRTHT1S_NPUR_3,C16_SDRTHT1S_NPUR_4,C16_SDRTHT1S_NPUR_5,C16_SDRTHT1S_NPUR_6mor,C16_SDRTHT1S_Tot,C16_SDRTHT2S_NPUR_1,C16_SDRTHT2S_NPUR_2,C16_SDRTHT2S_NPUR_3,C16_SDRTHT2S_NPUR_4,C16_SDRTHT2S_NPUR_5,C16_SDRTHT2S_NPUR_6mor,C16_SDRTHT2S_Tot,C16_SDRTHT_Tot_NPUR_1,C16_SDRTHT_Tot_NPUR_2,C16_SDRTHT_Tot_NPUR_3,C16_SDRTHT_Tot_NPUR_4,C16_SDRTHT_Tot_NPUR_5,C16_SDRTHT_Tot_NPUR_6mor,C16_SDRTHT_Tot_Tot,C16_F_a_1_2SB_NPUR_1,C16_F_a_1_2SB_NPUR_2,C16_F_a_1_2SB_NPUR_3,C16_F_a_1_2SB_NPUR_4,C16_F_a_1_2SB_NPUR_5,C16_F_a_1_2SB_NPUR_6mor,C16_F_a_1_2SB_Tot,C16_F_a_I_a_3SB_NPUR_1,C16_F_a_I_a_3SB_NPUR_2,C16_F_a_I_a_3SB_NPUR_3,C16_F_a_I_a_3SB_NPUR_4,C16_F_a_I_a_3SB_NPUR_5,C16_F_a_I_a_3SB_NPUR_6mor,C16_F_a_In_a_3_st_b_Tot,C16_F_a_4_8SB_NPUR_1,C16_F_a_4_8SB_NPUR_2,C16_F_a_4_8SB_NPUR_3,C16_F_a_4_8SB_NPUR_4,C16_F_a_4_8SB_NPUR_5,C16_F_a_4_8SB_NPUR_6mor,C16_F_a_4_8SB_Tot,C16_F_a_9mor_s_b_NPUR_1,C16_F_a_9mor_s_b_NPUR_2,C16_F_a_9mor_s_b_NPUR_3,C16_F_a_9mor_s_b_NPUR_4,C16_F_a_9mor_s_b_NPUR_5,C16_F_a_9m_s_b_NPUR_6mor,C16_F_a_9mor_st_bl_Tot,C16_F_a_AH_NPUR_1,C16_F_a_AH_NPUR_2,C16_F_a_AH_NPUR_3,C16_F_a_AH_NPUR_4,C16_F_a_AH_NPUR_5,C16_F_a_AH_NPUR_6mor,C16_F_a_AH_Tot,C16_F_a_Tot_NPUR_1,C16_F_a_Tot_NPUR_2,C16_F_a_Tot_NPUR_3,C16_F_a_Tot_NPUR_4,C16_F_a_Tot_NPUR_5,C16_F_a_Tot_NPUR_6mor,C16_F_a_Tot_Tot,C16_OD_CCH_NPUR_1,C16_OD_CCH_NPUR_2,C16_OD_CCH_NPUR_3,C16_OD_CCH_NPUR_4,C16_OD_CCH_NPUR_5,C16_OD_CCH_NPUR_6mor,C16_OD_CCH_Tot,C16_OD_IHTSO_NPUR_1,C16_OD_IHTSO_NPUR_2,C16_OD_IHTSO_NPUR_3,C16_OD_IHTSO_NPUR_4,C16_OD_IHTSO_NPUR_5,C16_OD_IHTSO_NPUR_6mor,C16_OD_IHTSO_Tot,C16_OD_H_f_a_s_o_NPUR_1,C16_OD_H_f_a_s_o_NPUR_2,C16_OD_H_f_a_s_o_NPUR_3,C16_OD_H_f_a_s_o_NPUR_4
10102,2380,4729,2546,2971,1315,528,14473,686,496,182,92,25,6,1491,269,267,118,59,12,10,744,955,763,300,149,41,19,2233,759,280,94,53,13,3,1207,463,231,61,28,6,3,790,190,117,36,15,8,0,369,..,..,..,..,..,..,..,19,10,4,4,0,0,42,1434,641,194,102,21,10,2399,86,54,10,7,3,0,165,11,3,3,0,5,0,22,22,18,9,4,4,0,52,113,78,22,12,8,3,239,6,4,0,0,0,0,14,4889,6228,3062,3236,1394,553,19361,2542,4998,2615,3018,1365,544,15080,779,439,203,117,34,8,1582,499,422,178,107,22,15,1237,1279,865,378,224,53,20,2820,585,209,100,42,12,0,945,271,133,62,23,0,0,486,511,257,106,32,17,4,931,..,..,..,..,..,..,..,9,4,0,0,0,0,13,1372,597,269,106,31,3,2376,27,16,5,0,0,0,52,3,13,0,3,3,0,24,10,7,3,6
10103,1598,2293,782,833,351,137,5991,168,92,26,34,4,0,337,35,36,9,15,6,0,109,209,133,37,51,9,0,437,162,85,30,13,3,0,302,10,16,10,7,0,0,38,7,0,0,0,0,0,11,..,..,..,..,..,..,..,8,0,0,0,0,0,8,189,98,43,19,3,0,354,35,15,4,5,0,0,50,7,4,0,0,0,0,10,11,9,5,0,0,0,28,51,22,10,3,0,0,92,41,9,10,3,5,0,68,2086,2560,885,914,367,141,6950,1648,2386,851,796,335,131,6146,93,53,15,13,5,0,168,86,47,21,10,4,0,177,177,95,36,22,11,0,347,200,89,20,23,5,0,330,28,18,4,8,0,0,49,16,4,0,0,4,0,31,..,..,..,..,..,..,..,4,0,0,0,0,0,3,245,111,24,26,8,0,417,44,20,9,9,0,0,73,6,4,0,0,0,0,15,13,7,0,0
10104,5255,9956,3110,2526,1214,595,22651,637,408,81,38,8,0,1163,315,307,50,38,13,3,732,952,715,136,67,23,5,1896,1038,563,118,68,22,3,1811,34,19,3,5,0,0,58,0,0,0,0,0,0,3,..,..,..,..,..,..,..,49,16,7,0,0,0,65,1122,600,126,69,22,3,1942,253,150,20,7,8,0,437,20,5,8,0,0,0,33,33,44,10,6,0,0,94,300,196,36,20,3,3,563,10,12,5,0,0,0,28,7638,11474,3406,2686,1258,607,27079,5919,10427,2928,2487,1092,595,23445,941,506,84,37,12,3,1589,459,369,89,21,13,7,945,1398,874,169,55,27,11,2530,878,377,97,41,9,9,1408,47,25,4,0,0,0,75,16,14,0,0,0,0,28,..,..,..,..,..,..,..,8,0,0,0,0,0,7,941,417,98,43,11,9,1520,302,137,20,8,0,0,465,35,16,7,4,0,0,59,22,20,8,8
10105,2859,4267,1690,1511,724,314,11355,315,149,48,27,14,3,556,19,32,4,0,4,4,66,337,179,53,27,15,7,621,283,75,20,6,0,0,392,24,9,6,0,0,0,32,31,8,0,0,0,0,33,..,..,..,..,..,..,..,6,3,0,0,0,0,3,341,96,19,6,0,0,463,62,29,5,0,0,0,97,6,6,0,4,0,0,11,21,17,9,3,0,4,65,93,55,18,9,0,4,170,9,6,3,6,3,5,34,3636,4597,1787,1561,737,322,12648,2940,4360,1697,1546,740,389,11669,491,198,58,23,13,7,793,65,37,15,5,3,0,130,557,233,70,34,15,6,925,205,58,17,6,4,0,293,50,14,3,0,0,0,68,0,0,0,0,0,0,0,..,..,..,..,..,..,..,5,0,0,0,0,0,4,263,68,20,6,4,0,362,48,16,5,5,0,0,70,7,7,3,9,0,4,23,24,9,4,0
10106,2638,4403,1639,1747,903,437,11772,256,94,23,13,5,0,383,5,8,4,3,0,0,10,261,94,25,13,5,0,400,205,64,12,11,4,0,287,0,0,0,0,0,0,0,8,0,0,0,0,0,8,..,..,..,..,..,..,..,9,4,0,0,0,0,7,212,67,13,11,4,0,302,41,24,4,3,0,0,65,0,10,0,0,0,0,17,19,16,8,4,0,3,45,54,45,10,13,4,3,126,0,3,0,5,0,0,10,3164,4615,1680,1785,912,447,12613,2727,4528,1678,1774,908,401,12018,324,141,32,18,3,5,521,10,3,4,0,0,0,17,332,144,32,18,3,5,539,225,72,23,7,0,0,331,0,0,0,0,0,0,0,0,0,0,0,0,0,0,..,..,..,..,..,..,..,0,0,0,0,0,0,0,225,77,23,7,0,0,328,27,17,3,0,0,0,45,14,9,0,3,0,0,25,10,19,3,3
10201,9404,15793,7737,8582,3659,1551,46730,2713,1836,396,248,71,29,5290,1275,1233,467,301,116,41,3435,3990,3068,862,545,186,72,8721,1942,1018,197,116,34,14,3318,478,349,84,22,6,4,941,350,420,87,44,6,0,902,..,..,..,..,..,..,..,95,33,4,7,5,0,136,2857,1823,369,192,44,15,5299,377,148,4,13,0,3,550,0,0,0,0,0,0,0,41,23,9,5,3,4,87,418,169,16,22,3,9,634,53,35,9,3,0,0,114,16726,20884,8999,9338,3891,1648,61488,9222,15813,8007,8751,3773,1707,47272,2983,2028,384,218,50,15,5676,1377,1174,493,287,82,20,3434,4360,3202,876,505,131,40,9110,1998,1211,330,171,49,14,3775,475,427,109,46,13,3,1074,370,397,101,53,15,5,937,..,..,..,..,..,..,..,26,13,0,4,0,0,43,2876,2043,541,271,73,24,5831,302,144,42,22,5,7,521,11,0,0,0,0,0,10,40,52,31,26
10202,9935,16230,7540,7536,3541,1794,46577,1697,1174,324,201,68,32,3494,579,561,254,159,66,20,1642,2276,1738,580,353,131,50,5132,1480,559,110,46,13,0,2213,192,143,45,20,8,0,413,243,224,66,23,9,5,566,..,..,..,..,..,..,..,55,27,10,6,0,0,92,1973,955,225,88,30,12,3277,410,147,14,20,0,3,598,4,0,0,0,0,0,6,34,32,8,10,5,4,96,446,182,26,33,9,9,705,15,3,9,4,0,0,23,14634,19113,8375,8009,3708,1868,55714,9851,16471,7720,8025,3811,1927,47799,1962,1213,280,163,62,19,3698,871,756,299,192,71,19,2215,2836,1969,579,356,129,37,5913,1361,648,173,70,22,14,2288,225,142,45,22,6,0,442,303,271,63,25,4,5,670,..,..,..,..,..,..,..,16,7,0,4,0,0,24,1901,1066,292,121,28,19,3430,226,102,19,12,4,3,368,3,7,8,5,0,0,20,22,20,14,5
10301,2879,4823,2118,2117,1020,492,13449,425,271,89,37,10,4,840,78,75,21,23,8,0,200,497,344,111,56,21,6,1044,569,218,42,17,5,0,857,29,15,0,0,0,0,45,3,5,0,0,0,0,3,..,..,..,..,..,..,..,21,4,6,5,3,0,36,625,242,51,22,11,0,947,33,12,0,0,0,0,44,0,0,0,0,0,0,4,11,11,0,0,0,0,22,46,20,5,4,0,0,71,10,14,0,0,0,0,25,4054,5439,2284,2196,1059,499,15531,3051,4934,2175,2223,1022,497,13907,606,359,109,58,11,5,1141,174,99,31,14,7,0,323,777,452,138,72,18,5,1467,385,168,36,15,3,4,608,13,6,0,0,0,0,19,0,0,0,0,0,0,0,..,..,..,..,..,..,..,0,0,0,0,0,0,0,401,175,30,18,3,4,634,11,12,4,5,5,0,24,4,6,0,0,0,0,5,6,10,3,0
10302,5130,7421,2607,2271,1393,711,19532,357,129,26,7,7,6,530,14,8,3,0,4,0,29,369,134,29,8,10,3,557,578,121,27,3,6,0,743,20,0,0,0,0,0,20,3,0,0,0,0,0,3,..,..,..,..,..,..,..,15,0,0,0,0,0,21,612,133,27,3,3,0,787,74,33,5,4,0,4,118,7,3,4,0,0,0,17,24,27,9,4,8,0,73,106,60,11,8,13,3,206,14,5,0,3,5,0,26,6236,7766,2671,2297,1420,721,21103,5146,7096,2492,2166,1279,636,18810,292,142,30,18,7,0,495,20,10,0,0,0,0,26,315,147,30,18,7,0,517,610,130,31,10,7,0,790,16,3,0,0,0,0,21,0,0,0,0,0,0,0,..,..,..,..,..,..,..,0,0,5,0,0,0,6,630,135,37,10,7,0,816,49,16,10,0,0,0,75,7,9,4,0,0,0,22,37,26,19,5
10303,3856,5731,2120,2030,1012,435,15178,402,206,58,31,10,4,708,12,12,5,0,0,0,28,417,217,62,29,10,10,736,349,98,22,6,0,0,478,33,9,0,0,0,0,42,0,0,0,0,0,0,0,..,..,..,..,..,..,..,5,3,0,0,0,0,6,382,106,25,6,3,0,530,93,27,3,0,4,0,132,15,4,0,0,0,0,18,39,26,8,4,3,0,78,147,54,12,5,9,0,227,4,3,0,0,0,0,13,4807,6115,2215,2072,1034,441,16680,4185,5580,2144,1993,921,427,15249,497,180,66,28,3,0,777,60,33,9,4,0,0,104,561,209,76,28,3,0,877,219,79,24,10,4,0,337,21,0,0,0,0,0,23,0,0,0,0,0,0,0,..,..,..,..,..,..,..,0,0,0,0,0,0,0,241,85,22,10,4,0,370,96,19,0,0,5,0,121,5,3,0,3,0,0,19,90,129,46,39
