SA3_CODE_2021,C21_75_99_CF_CU15_NDS,C21_75_99_CF_NCU15_DS,C21_75_99_CF_NDCO,C21_75_99_Tot,C21_100_149_CF_NC,C21_100_149_CF_Cu15DS_,C21_100_149_CF_CU15_NDS,C21_100_149_CF_NCU15_DS,C21_100_149_CF_NDCO,C21_100_149_Tot,C21_150_199_CF_NC,C21_150_199_CF_Cu15DS_,C21_150_199_CF_CU15_NDS,C21_150_199_CF_NCU15_DS,C21_150_199_CF_NDCO,C21_150_199_Tot,C21_200_224_CF_NC,C21_200_224_CF_Cu15DS_,C21_200_224_CF_CU15_NDS,C21_200_224_CF_NCU15_DS,C21_200_224_CF_NDCO,C21_200_224_Tot,C21_225_274_CF_NC,C21_225_274_CF_Cu15DS_,C21_225_274_CF_CU15_NDS,C21_225_274_CF_NCU15_DS,C21_225_274_CF_NDCO,C21_225_274_Tot,C21_275_349_CF_NC,C21_275_349_CF_Cu15DS_,C21_275_349_CF_CU15_NDS,C21_275_349_CF_NCU15_DS,C21_275_349_CF_NDCO,C21_275_349_Tot,C21_350_449_CF_NC,C21_350_449_CF_Cu15DS_,C21_350_449_CF_CU15_NDS,C21_350_449_CF_NCU15_DS,C21_350_449_CF_NDCO,C21_350_449_Tot,C21_450_549_CF_NC,C21_450_549_CF_Cu15DS_,C21_450_549_CF_CU15_NDS,C21_450_549_CF_NCU15_DS,C21_450_549_CF_NDCO,C21_450_549_Tot,C21_550_649_CF_NC,C21_550_649_CF_Cu15DS_,C21_550_649_CF_CU15_NDS,C21_550_649_CF_NCU15_DS,C21_550_649_CF_NDCO,C21_550_649_Tot,C21_650_749_CF_NC,C21_650_749_CF_Cu15DS_,C21_650_749_CF_CU15_NDS,C21_650_749_CF_NCU15_DS,C21_650_749_CF_NDCO,C21_650_749_Tot,C21_750_849_CF_NC,C21_750_849_CF_Cu15DS_,C21_750_849_CF_CU15_NDS,C21_750_849_CF_NCU15_DS,C21_750_849_CF_NDCO,C21_750_849_Tot,C21_850_949_CF_NC,C21_850_949_CF_Cu15DS_,C21_850_949_CF_CU15_NDS,C21_850_949_CF_NCU15_DS,C21_850_949_CF_NDCO,C21_850_949_Tot,C21_950over_CF_NC,C21_950over_CF_Cu15DS_,C21_950over_CF_CU15_NDS,C21_950over_CF_NCU15_DS,C21_950over_CF_NDCO,C21_950over_Tot,C21_Rns_CF_NC,C21_Rns_CF_Cu15DS_,C21_Rns_CF_CU15_NDS,C21_Rns_CF_NCU15_DS,C21_Rns_CF_NDCO,C21_Rns_Tot,C21_Tot_CF_NC,C21_Tot_CF_Cu15DS_,C21_Tot_CF_CU15_NDS,C21_Tot_CF_NCU15_DS,C21_Tot_CF_NDCO,C21_Tot_Tot
51104,12,0,0,27,57,0,30,0,0,96,115,6,46,5,12,179,103,5,69,6,7,185,152,11,128,3,19,309,254,37,273,27,32,628,163,34,194,16,24,425,40,4,49,4,4,98,11,0,9,0,0,25,0,0,0,0,0,4,3,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,61,7,55,0,3,137,995,117,874,58,97,2134
59797,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
59999,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
60101,0,0,0,0,4,0,3,0,0,9,10,0,10,0,4,24,25,0,17,0,8,54,43,9,37,4,21,122,72,13,91,3,12,195,89,11,119,9,13,246,19,5,20,4,3,58,3,5,4,0,0,19,4,0,4,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,3,0,5,11,279,48,322,23,72,742
60102,0,0,0,0,20,0,4,0,0,28,48,0,9,0,6,71,29,0,10,0,6,44,50,11,46,6,8,121,162,13,120,12,28,332,371,34,291,19,36,757,236,21,203,14,23,502,78,6,71,10,15,184,28,8,19,0,0,47,0,4,0,0,0,10,3,0,0,0,0,3,3,0,7,0,0,9,29,0,14,0,7,50,1058,97,807,61,134,2153
60103,0,0,0,5,29,0,11,3,4,43,101,3,40,4,9,161,84,5,34,0,5,138,127,10,69,3,10,220,320,25,230,13,41,630,537,67,552,32,69,1268,242,40,197,16,14,507,39,9,30,9,4,89,7,3,3,0,0,14,4,0,4,0,0,6,4,0,0,0,0,4,4,0,4,0,0,9,32,4,22,0,5,58,1542,163,1200,87,159,3151
60104,0,0,0,4,7,3,4,0,0,17,33,0,13,0,0,46,17,5,12,0,0,34,17,0,19,0,3,41,86,6,41,4,6,140,214,23,179,14,20,447,166,23,173,15,11,388,62,15,57,12,12,154,12,3,12,3,3,39,5,0,3,0,0,12,0,0,0,0,0,4,3,0,0,0,0,6,12,0,7,0,0,24,648,72,521,49,50,1348
60105,0,0,0,0,24,0,3,0,0,25,62,0,7,4,0,77,36,0,17,5,0,55,118,0,23,7,0,145,296,4,103,5,7,421,584,7,227,10,6,842,474,23,182,8,12,694,236,13,101,10,11,364,95,7,60,0,0,165,39,8,23,8,0,71,18,3,11,0,0,33,16,0,13,3,0,31,53,3,16,0,0,73,2049,75,801,59,42,3029
60106,0,0,0,5,3,0,0,0,0,7,17,0,3,0,0,19,10,0,4,0,0,18,19,0,7,0,0,28,52,8,33,0,11,104,96,17,90,10,13,222,43,4,61,7,4,117,11,3,6,0,0,22,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7,0,0,0,0,5,256,30,214,17,36,558
60201,0,0,0,7,49,0,19,0,4,66,161,3,43,0,11,215,143,5,66,0,15,234,348,20,266,15,39,684,583,58,464,40,57,1199,526,82,466,45,44,1162,138,39,123,22,21,334,33,5,27,5,3,67,6,0,15,0,0,19,0,4,3,0,0,8,0,0,0,0,0,0,0,0,0,0,0,0,58,3,26,0,11,99,2047,216,1517,135,193,4109
60202,0,0,0,3,10,0,9,0,0,23,41,0,13,0,4,59,43,3,17,3,0,68,69,9,29,3,6,116,80,10,79,8,10,180,42,13,43,0,9,106,3,4,21,7,0,31,3,5,4,0,0,11,6,0,0,0,0,4,3,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,9,0,18,0,3,30,312,41,234,17,35,636
60203,4,0,0,10,51,6,25,0,3,82,82,5,29,3,6,128,80,4,36,5,8,131,118,6,80,5,15,229,136,23,119,7,25,304,70,10,71,6,9,166,15,0,10,0,3,35,0,0,4,0,0,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,38,8,29,0,7,86,622,62,418,32,76,1209
60301,4,0,0,7,4,0,4,4,0,19,13,0,5,0,0,22,15,3,4,0,6,29,9,5,8,0,3,28,16,5,25,0,3,50,14,3,34,0,3,51,0,0,0,0,0,8,0,0,3,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,15,0,14,0,0,30,103,19,108,18,18,269
60302,0,0,0,0,10,0,0,0,0,8,12,0,6,0,0,21,20,0,8,0,0,23,35,0,30,0,8,72,58,7,58,7,9,139,54,13,74,6,7,158,25,8,11,4,0,47,0,0,5,0,0,6,3,0,0,0,0,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8,0,3,0,0,14,234,36,189,21,30,499
60303,0,0,0,0,7,0,5,0,0,6,20,0,6,0,0,25,18,0,7,0,0,30,23,0,15,0,9,44,29,0,24,0,6,59,19,3,17,0,0,39,0,0,0,0,0,5,6,0,4,0,0,7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,9,136,8,78,4,13,237
60401,0,0,0,4,21,0,9,0,0,37,114,0,23,3,5,149,97,13,36,4,8,157,221,31,164,18,43,469,234,43,219,16,31,542,104,32,126,11,20,288,22,3,16,0,0,42,3,0,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,20,0,15,0,3,45,843,123,615,66,100,1741
60402,4,0,0,17,47,0,15,3,0,61,84,0,26,0,0,117,82,3,46,11,10,155,213,22,117,19,18,388,261,26,238,23,36,584,94,24,115,5,15,263,10,7,15,0,4,30,4,0,0,0,0,12,0,0,0,0,0,0,0,0,4,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,30,4,12,5,3,58,858,96,603,60,95,1707
60403,0,0,0,0,18,3,3,0,4,27,43,4,31,4,5,86,36,6,27,0,0,66,68,11,45,0,7,135,40,10,33,3,3,94,15,4,10,0,0,34,0,0,4,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,22,0,21,0,0,45,270,45,188,17,18,540
69797,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
69999,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
70101,0,0,0,8,23,0,13,0,0,34,16,0,14,0,0,33,31,0,13,0,0,42,159,0,96,0,0,264,261,10,176,12,4,464,479,29,239,17,16,770,406,22,178,8,14,628,253,14,85,18,13,381,113,5,83,14,10,218,58,4,36,5,7,110,20,6,29,9,0,61,25,8,30,5,0,70,38,0,22,3,7,72,1893,95,1013,81,73,3150
70102,6,0,0,10,45,3,19,0,4,65,58,3,25,5,8,98,41,5,32,4,4,80,247,19,245,9,10,535,359,42,355,22,30,807,408,50,392,21,31,904,269,43,285,13,49,664,126,31,169,23,21,366,56,15,75,14,9,170,18,4,34,3,3,60,8,0,14,3,0,26,6,0,14,0,0,19,51,12,52,0,13,122,1702,218,1725,124,172,3945
70103,3,0,0,3,12,0,4,0,3,21,5,0,0,0,0,5,14,0,9,0,0,23,21,0,5,0,0,28,34,0,18,0,0,55,67,4,41,4,4,116,55,0,51,0,6,114,37,9,34,5,3,90,12,0,22,3,6,44,6,0,5,0,0,17,0,0,0,0,0,3,0,6,0,0,0,7,21,0,12,0,5,33,292,24,205,20,19,562
70104,7,0,0,7,30,0,5,0,0,35,30,6,21,5,0,60,16,0,3,0,0,18,106,11,149,6,8,279,128,9,145,6,10,296,330,26,306,18,26,708,287,45,284,17,31,672,174,31,171,15,19,418,51,18,61,6,10,138,10,0,15,0,5,30,6,0,9,0,0,12,3,0,3,0,0,10,34,9,44,0,9,98,1201,149,1221,84,124,2778
70201,145,5,27,300,99,11,137,4,16,269,72,3,69,3,14,166,47,5,33,4,3,96,50,0,34,0,3,88,91,4,66,0,3,168,207,11,184,0,17,417,169,20,150,12,26,374,83,10,99,9,12,206,32,7,32,5,3,78,15,0,19,3,5,43,9,8,3,0,3,25,4,0,6,3,0,20,71,14,86,3,8,176,1221,143,1305,56,161,2885
70202,38,0,3,64,16,6,37,0,8,69,19,0,31,0,0,60,0,0,5,0,0,10,8,0,15,4,0,27,11,0,6,0,3,22,10,0,8,0,0,25,0,0,5,0,0,7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,41,0,27,0,0,72,169,29,235,3,35,470
70203,130,5,19,258,90,17,159,3,28,304,46,17,83,6,15,166,16,0,22,0,5,45,10,4,15,0,0,28,9,0,13,0,0,17,11,0,12,0,3,21,5,0,0,0,0,5,4,0,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,61,8,68,0,5,146,537,128,871,30,150,1712
