SA3_CODE_2021,C11_CFC_SMS_MRM_NDC_UR_1,C11_CFC_SMS_MRM_NDC_UR_2,C11_CFC_SMS_MRM_NDC_UR_3,C11_CFC_SMS_MRM_NDC_UR_4mo,C11_CFC_SMS_MRM_NDC_UR_Total,C11_CFC_SMS_M_DfM_NDC_UR_1,C11_CFC_SMS_M_DfM_NDC_UR_2,C11_CFC_SMS_M_DfM_NDC_UR_3,C11_CFC_SMS_M_DfM_NDC_UR_4mo,C11_CFC_SMS_M_DfM_NDC_UR_Tot,C11_CFC_SMS_Tot_NDC_UR_1,C11_CFC_SMS_Tot_NDC_UR_2,C11_CFC_SMS_Tot_NDC_UR_3,C11_CFC_SMS_Tot_NDC_UR_4mo,C11_CFC_SMS_Tot_NDC_UR_Tot,C11_1PF_NDC_UR_1,C11_1PF_NDC_UR_2,C11_1PF_NDC_UR_3,C11_1PF_NDC_UR_4mo,C11_1PF_NDC_UR_Tot,C11_Tot_NDC_UR_1,C11_Tot_NDC_UR_2,C11_Tot_NDC_UR_3,C11_Tot_NDC_UR_4mo,C11_Tot_NDC_UR_Tot,C16_CFC_SMS_MRM_NDC_UR_1,C16_CFC_SMS_MRM_NDC_UR_2,C16_CFC_SMS_MRM_NDC_UR_3,C16_CFC_SMS_MRM_NDC_UR_4mo,C16_CFC_SMS_MRM_NDC_UR_Tot,C16_CFC_SMS_M_DfM_NDC_UR_1,C16_CFC_SMS_M_DfM_NDC_UR_2,C16_CFC_SMS_M_DfM_NDC_UR_3,C16_CFC_SMS_M_DfM_NDC_UR_4mo,C16_CFC_SMS_M_DfM_NDC_UR_Tot,C16_CFC_SMS_Tot_NDC_UR_1,C16_CFC_SMS_Tot_NDC_UR_2,C16_CFC_SMS_Tot_NDC_UR_3,C16_CFC_SMS_Tot_NDC_UR_4mo,C16_CFC_SMS_Tot_NDC_UR_Tot,C16_1PF_NDC_UR_1,C16_1PF_NDC_UR_2,C16_1PF_NDC_UR_3,C16_1PF_NDC_UR_4mo,C16_1PF_NDC_UR_Tot,C16_Tot_NDC_UR_1,C16_Tot_NDC_UR_2,C16_Tot_NDC_UR_3,C16_Tot_NDC_UR_4mo,C16_Tot_NDC_UR_Tot,C21_CFC_SMS_MRM_NDC_UR_1,C21_CFC_SMS_MRM_NDC_UR_2,C21_CFC_SMS_MRM_NDC_UR_3,C21_CFC_SMS_MRM_NDC_UR_4mo,C21_CFC_SMS_MRM_NDC_UR_Tot,C21_CFC_SMS_M_DfM_NDC_UR_1,C21_CFC_SMS_M_DfM_NDC_UR_2,C21_CFC_SMS_M_DfM_NDC_UR_3,C21_CFC_SMS_M_DfM_NDC_UR_4mo,C21_CFC_SMS_M_DfM_NDC_UR_Tot,C21_CFC_SMS_Tot_NDC_UR_1,C21_CFC_SMS_Tot_NDC_UR_2,C21_CFC_SMS_Tot_NDC_UR_3,C21_CFC_SMS_Tot_NDC_UR_4mo,C21_CFC_SMS_Tot_NDC_UR_Tot,C21_1PF_NDC_UR_1,C21_1PF_NDC_UR_2,C21_1PF_NDC_UR_3,C21_1PF_NDC_UR_4mo,C21_1PF_NDC_UR_Tot,C21_Tot_NDC_UR_1,C21_Tot_NDC_UR_2,C21_Tot_NDC_UR_3,C21_Tot_NDC_UR_4mo,C21_Tot_NDC_UR_Tot
40101,312,185,47,10,559,45,17,7,0,68,352,210,54,10,627,177,56,13,0,248,528,264,65,20,872,338,220,57,14,631,56,28,8,0,89,395,253,65,14,720,202,64,12,4,282,602,312,76,12,1000,383,269,53,21,721,74,31,11,0,116,454,292,64,22,836,265,102,21,3,386,719,398,85,25,1225
40102,2078,3168,1201,328,6777,454,408,140,42,1049,2534,3577,1346,370,7834,843,605,162,43,1658,3381,4182,1514,412,9491,2037,3127,1145,320,6619,511,478,163,49,1204,2541,3605,1305,371,7829,858,603,195,55,1717,3400,4215,1501,426,9540,2189,3362,1195,329,7073,637,566,204,55,1465,2829,3927,1399,384,8535,908,695,208,58,1865,3730,4625,1606,442,10396
40103,1304,1909,710,147,4061,109,111,40,11,270,1408,2013,743,161,4332,540,308,74,20,942,1949,2324,822,179,5272,1414,2238,742,143,4541,158,144,49,13,363,1572,2379,793,160,4905,516,314,79,17,930,2090,2698,876,174,5831,1509,2460,742,130,4843,168,165,43,15,388,1674,2631,786,144,5231,529,347,76,15,964,2206,2974,860,162,6202
40104,1593,2098,622,128,4439,170,151,42,12,372,1756,2255,665,143,4815,650,445,124,32,1243,2407,2696,784,168,6055,1714,2234,639,127,4709,192,154,41,12,400,1901,2388,682,138,5111,708,433,100,24,1263,2607,2822,786,163,6376,1916,2463,610,98,5086,235,192,59,17,505,2151,2652,670,122,5596,737,492,122,39,1397,2898,3148,798,161,6997
40105,970,1220,356,65,2617,128,94,23,4,261,1095,1315,383,74,2871,496,258,50,11,813,1591,1577,436,85,3688,1072,1296,350,56,2773,153,115,30,6,310,1225,1410,383,62,3081,474,287,51,15,824,1699,1696,432,77,3908,1142,1449,397,47,3040,152,136,38,7,333,1290,1587,436,60,3374,496,278,59,12,839,1787,1863,495,65,4214
40106,879,1218,375,70,2538,90,77,23,3,201,971,1300,398,74,2739,336,149,46,15,550,1305,1449,442,88,3292,927,1268,371,78,2641,104,82,31,9,234,1039,1348,403,80,2870,280,170,48,10,498,1315,1517,453,94,3375,963,1399,424,75,2860,139,109,38,0,290,1101,1511,462,72,3150,340,226,44,15,625,1445,1732,509,91,3774
40107,1064,1558,505,94,3232,174,133,32,10,345,1238,1687,543,109,3575,428,248,67,3,747,1668,1938,604,111,4326,1152,1611,514,83,3349,189,150,34,10,386,1337,1760,544,95,3739,438,273,54,11,770,1775,2031,598,102,4507,1124,1696,513,80,3412,202,175,36,13,423,1329,1869,550,93,3843,507,321,74,8,901,1832,2194,622,94,4747
40201,894,1223,448,131,2699,230,225,57,23,538,1128,1450,501,153,3233,498,387,112,37,1030,1626,1834,617,186,4264,850,1173,431,147,2597,258,265,78,39,635,1106,1436,511,179,3237,550,383,125,48,1112,1661,1821,642,230,4348,905,1142,469,142,2655,332,279,107,40,758,1233,1418,578,180,3409,574,455,168,52,1250,1811,1875,750,231,4667
40202,1656,2107,887,485,5133,807,627,277,134,1839,2461,2728,1168,619,6973,1955,1292,537,251,4032,4418,4014,1698,874,11009,1847,2254,997,595,5685,831,694,288,152,1962,2681,2944,1284,746,7651,2089,1323,589,338,4339,4772,4264,1871,1080,11985,2001,2511,1165,687,6363,907,794,314,144,2169,2912,3312,1478,834,8536,2189,1548,666,323,4720,5105,4854,2145,1157,13259
40203,1873,1934,610,244,4655,296,199,71,31,601,2170,2130,676,278,5254,1056,644,212,117,2019,3222,2770,887,390,7276,2488,2505,683,233,5905,319,228,85,25,656,2805,2735,760,263,6559,1040,646,194,84,1967,3844,3379,958,347,8523,2797,3297,780,262,7133,355,240,90,27,713,3152,3542,865,286,7846,1072,675,157,82,1985,4225,4218,1020,370,9829
