SA3_CODE_2021,Ot_ty_Ed_Ins_Ft_st_C11_P,Ot_ty_Ed_Ins_Ft_st_C16_M,Ot_ty_Ed_Ins_Ft_st_C16_F,Ot_ty_Ed_Ins_Ft_st_C16_P,Ot_ty_Ed_Ins_Ft_st_C21_M,Ot_ty_Ed_Ins_Ft_st_C21_F,Ot_ty_Ed_Ins_Ft_st_C21_P,Ot_ty_Ed_Ins_Pt_st_C11_M,Ot_ty_Ed_Ins_Pt_st_C11_F,Ot_ty_Ed_Ins_Pt_st_C11_P,Ot_ty_Ed_Ins_Pt_st_C16_M,Ot_ty_Ed_Ins_Pt_st_C16_F,Ot_ty_Ed_Ins_Pt_st_C16_P,Ot_ty_Ed_Ins_Pt_st_C21_M,Ot_ty_Ed_Ins_Pt_st_C21_F,Ot_ty_Ed_Ins_Pt_st_C21_P,O_t_E_I_F_P_s_s_ns_C11_M,O_t_E_I_F_P_s_s_ns_C11_F,O_t_E_I_F_P_s_s_ns_C11_P,O_t_E_I_F_P_s_s_ns_C16_M,O_t_E_I_F_P_s_s_ns_C16_F,O_t_E_I_F_P_s_s_ns_C16_P,O_t_E_I_F_P_s_s_ns_C21_M,O_t_E_I_F_P_s_s_ns_C21_F,O_t_E_I_F_P_s_s_ns_C21_P,Oth_ty_Edu_Ins_Tot_C11_M,Oth_ty_Edu_Ins_Tot_C11_F,Oth_ty_Edu_Ins_Tot_C11_P,Oth_ty_Edu_Ins_Tot_C16_M,Oth_ty_Edu_Ins_Tot_C16_F,Oth_ty_Edu_Ins_Tot_C16_P,Oth_ty_Edu_Ins_Tot_C21_M,Oth_ty_Edu_Ins_Tot_C21_F,Oth_ty_Edu_Ins_Tot_C21_P,Type_Educ_Insti_ns_C11_M,Type_Educ_Insti_ns_C11_F,Type_Educ_Insti_ns_C11_P,Type_Educ_Insti_ns_C16_M,Type_Educ_Insti_ns_C16_F,Type_Educ_Insti_ns_C16_P,Type_Educ_Insti_ns_C21_M,Type_Educ_Insti_ns_C21_F,Type_Educ_Insti_ns_C21_P,Tot_C11_M,Tot_C11_F,Tot_C11_P,Tot_C16_M,Tot_C16_F,Tot_C16_P,Tot_C21_M,Tot_C21_F,Tot_C21_P
10102,68,41,43,87,104,77,186,89,180,275,92,195,295,169,249,424,0,0,5,3,3,8,0,3,4,126,213,341,139,248,388,280,327,611,1841,1545,3388,2271,2174,4446,1675,1547,3220,8145,8228,16373,8962,9052,18016,9654,9575,19229
10103,29,24,26,49,20,26,44,16,52,72,19,50,70,26,53,78,0,3,4,0,3,3,0,3,7,36,70,107,42,79,120,47,82,126,1056,747,1804,1157,917,2069,988,737,1722,3033,2841,5873,3043,2878,5914,3098,2943,6045
10104,58,31,29,60,46,50,93,76,193,274,55,159,216,70,164,235,8,5,9,4,10,9,5,0,4,112,231,339,90,199,284,115,214,330,2330,2385,4712,3173,3310,6477,2850,2825,5682,8576,9192,17765,8883,9430,18310,9117,9586,18705
10105,46,33,20,54,56,34,90,49,71,121,39,103,136,56,83,140,0,0,5,0,0,0,0,0,0,71,95,168,74,122,194,113,120,231,1564,1038,2599,2009,1469,3480,1768,1235,3004,5114,4651,9757,5507,5096,10606,5651,5284,10936
10106,27,22,25,43,30,33,63,40,65,100,31,73,102,41,86,127,3,0,3,0,0,6,0,0,3,52,81,133,54,97,150,72,125,191,1062,1150,2215,1379,1473,2850,1268,1178,2453,4863,5175,10042,5213,5724,10939,5462,5783,11245
10201,214,116,150,260,128,150,279,238,559,798,244,493,734,270,441,707,8,11,14,5,12,16,6,6,10,346,682,1026,364,651,1012,401,594,998,5457,5746,11199,5034,5473,10508,4202,4701,8900,23499,25081,48579,23319,24962,48279,24427,25988,50419
10202,153,97,174,267,138,161,299,188,415,606,194,464,659,230,382,606,5,16,23,4,7,11,6,5,4,252,526,777,292,646,940,361,543,910,4837,5219,10055,5193,5827,11017,4704,5186,9888,21104,22758,43871,22167,23919,46087,23042,24806,47850
10301,31,25,31,54,37,29,68,41,97,139,53,117,163,61,104,159,0,4,3,0,0,0,3,3,6,54,122,178,79,142,226,101,139,231,2219,1470,3688,2843,1946,4782,2479,1408,3878,7778,7217,14995,8402,7908,16309,8115,7512,15626
10302,37,9,28,42,35,29,65,29,95,128,40,110,148,47,75,120,0,3,0,0,0,4,0,5,4,50,121,164,49,144,192,75,113,190,2079,1975,4057,2827,2926,5753,2447,2367,4808,7750,8129,15881,8062,8756,16818,7722,8151,15873
10303,36,14,34,49,26,33,59,38,99,141,58,79,135,49,103,160,3,3,8,0,4,0,0,0,5,59,124,182,70,110,181,79,140,222,2148,1586,3736,3053,2607,5663,2174,1726,3903,6556,6176,12730,7377,7180,14563,6919,6797,13714
