SA3_CODE_2021,C11_1_74_REA,C11_1_74_ST_HA,C11_1_74_Co_ho_pr,C11_1_74_Per_no_sa_ho,C11_1_74_Oth_land_typ,C11_1_74_LLT_NS,C11_1_74_Tot,C11_75_99_REA,C11_75_99_ST_HA,C11_75_99_Co_ho_pr,C11_75_99_Pe_no_sa_ho,C11_75_99_Oth_lan_typ,C11_75_99_Lan_type_ns,C11_75_99_Tot,C11_100_149_REA,C11_100_149_ST_HA,C11_100_149_Co_ho_pr,C11_100_149_Pe_no_sa_ho,C11_100_149_Ot_lan_ty,C11_100_149_Lan_typ_ns,C11_100_149_Tot,C11_150_199_REA,C11_150_199_ST_HA,C11_150_199_Co_ho_pr,C11_150_199_Pe_no_sa_ho,C11_150_199_Ot_lan_ty,C11_150_199_Lan_ty_ns,C11_150_199_Tot,C11_200_224_REA,C11_200_224_ST_HA,C11_200_224_Co_ho_pr,C11_200_224_Pe_no_sa_ho,C11_200_224_Ot_lan_ty,C11_200_224_Lan_ty_ns,C11_200_224_Tot,C11_225_274_REA,C11_225_274_ST_HA,C11_225_274_Co_ho_pr,C11_225_274_Pe_no_sa_ho,C11_225_274_Ot_la_typ,C11_225_274_Lan_ty_ns,C11_225_274_Tot,C11_275_349_REA,C11_275_349_ST_HA,C11_275_349_Co_ho_pr,C11_275_349_Pe_no_sa_ho,C11_275_349_Ot_lan_ty,C11_275_349_Lan_ty_ns,C11_275_349_Tot,C11_350_449_REA,C11_350_449_ST_HA,C11_350_449_Co_ho_pr,C11_350_449_Pe_no_sa_ho,C11_350_449_Ot_lan_ty,C11_350_449_Lan_ty_ns,C11_350_449_Tot,C11_450_549_REA,C11_450_549_ST_HA,C11_450_549_Co_ho_pr,C11_450_549_Pe_no_sa_ho,C11_450_549_Oth_lan_typ,C11_450_549_Lan_ty_ns,C11_450_549_Tot,C11_550_649_REA,C11_550_649_ST_HA,C11_550_649_Co_ho_pr,C11_550_649_Pe_no_sa_ho,C11_550_649_Ot_lan_ty,C11_550_649_Lan_ty_ns,C11_550_649_Tot,C11_650_749_REA,C11_650_749_ST_HA,C11_650_749_Co_ho_pr,C11_650_749_Pe_no_sa_ho,C11_650_749_Oth_lan_typ,C11_650_749_LLT_NS,C11_650_749_Tot,C11_750_849_REA,C11_750_849_ST_HA,C11_750_849_Co_ho_pr,C11_750_849_Pe_no_sa_ho,C11_750_849_Oth_lan_typ,C11_750_849_LLT_NS,C11_750_849_Tot,C11_850_950_REA,C11_850_949_ST_HA,C11_850_949_Co_ho_pr,C11_850_949_Pe_no_sa_ho,C11_850_949_Oth_lan_typ,C11_850_949_LLT_NS,C11_850_949_Tot,C11_950over_REA,C11_950over_ST_HA,C11_950over_Co_ho_pr,C11_950over_Pe_no_sa_ho,C11_950over_Oth_lan_typ,C11_950over_LLT_NS,C11_950over_Tot,C11_R_NS_REA,C11_R_NS_ST_HA,C11_R_NS_Co_ho_pr,C11_R_NS_Pe_no_sa_ho,C11_R_NS_Oth_lan_typ,C11_R_NS_Land_typ_ns,C11_Rent_not_statd_Tot,C11_Tot_REA,C11_Tot_ST_HA,C11_Tot_Co_ho_pr,C11_Tot_Pe_no_sa_ho,C11_Tot_Oth_lan_typ,C11_Tot_LLT_NS,C11_Tot_Tot,C16_1_74_REA,C16_1_74_ST_HA,C16_1_74_Co_ho_pr,C16_1_74_Per_no_sa_ho,C16_1_74_Oth_land_typ,C16_1_74_LLT_NS,C16_1_74_Tot,C16_75_99_REA,C16_75_99_ST_HA,C16_75_99_Co_ho_pr,C16_75_99_Pe_no_sa_ho,C16_75_99_Oth_lan_typ,C16_75_99_Lan_type_ns,C16_75_99_Tot,C16_100_149_REA,C16_100_149_ST_HA,C16_100_149_Co_ho_pr,C16_100_149_Pe_no_sa_ho,C16_100_149_Ot_lan_ty,C16_100_149_Lan_typ_ns,C16_100_149_Tot,C16_150_199_REA,C16_150_199_ST_HA,C16_150_199_Co_ho_pr,C16_150_199_Pe_no_sa_ho,C16_150_199_Ot_lan_ty,C16_150_199_Lan_ty_ns,C16_150_199_Tot,C16_200_224_REA,C16_200_224_ST_HA,C16_200_224_Co_ho_pr,C16_200_224_Pe_no_sa_ho,C16_200_224_Ot_lan_ty,C16_200_224_Lan_ty_ns,C16_200_224_Tot,C16_225_274_REA,C16_225_274_ST_HA,C16_225_274_Co_ho_pr,C16_225_274_Pe_no_sa_ho,C16_225_274_Ot_la_typ,C16_225_274_Lan_ty_ns,C16_225_274_Tot,C16_275_349_REA,C16_275_349_ST_HA,C16_275_349_Co_ho_pr,C16_275_349_Pe_no_sa_ho,C16_275_349_Ot_lan_ty,C16_275_349_Lan_ty_ns,C16_275_349_Tot,C16_350_449_REA,C16_350_449_ST_HA,C16_350_449_Co_ho_pr,C16_350_449_Pe_no_sa_ho,C16_350_449_Ot_lan_ty,C16_350_449_Lan_ty_ns,C16_350_449_Tot,C16_450_549_REA,C16_450_549_ST_HA,C16_450_549_Co_ho_pr,C16_450_549_Pe_no_sa_ho,C16_450_549_Oth_lan_typ,C16_450_549_Lan_ty_ns,C16_450_549_Tot,C16_550_649_REA,C16_550_649_ST_HA,C16_550_649_Co_ho_pr,C16_550_649_Pe_no_sa_ho,C16_550_649_Oth_lan_typ,C16_550_649_LLT_NS,C16_550_649_Tot,C16_650_749_REA,C16_650_749_ST_HA,C16_650_749_Co_ho_pr,C16_650_749_Pe_no_sa_ho,C16_650_749_Oth_lan_typ,C16_650_749_LLT_NS,C16_650_749_Tot,C16_750_849_REA,C16_750_849_ST_HA,C16_750_849_Co_ho_pr,C16_750_849_Pe_no_sa_ho,C16_750_849_Oth_lan_typ,C16_750_849_LLT_NS,C16_750_849_Tot,C16_850_950_REA,C16_850_949_ST_HA,C16_850_949_Co_ho_pr,C16_850_949_Pe_no_sa_ho
10102,6,55,9,16,12,3,99,5,166,11,9,10,0,200,53,154,31,61,18,3,310,244,97,17,120,43,7,523,262,34,5,92,61,0,452,391,43,11,131,130,3,711,608,75,4,222,132,4,1031,678,36,0,257,44,4,1020,292,0,0,96,21,0,418,112,0,0,39,6,0,163,41,0,0,11,4,0,56,12,0,0,4,0,0,13,0,0,0,0,0,0,0,13,0,0,9,3,0,27,44,48,8,49,34,10,190,2763,707,94,1102,520,28,5214,0,21,0,4,5,5,43,5,27,0,6,7,0,40,20,180,9,42,16,0,266,259,131,39,90,18,3,542,340,54,13,76,13,4,499,502,57,8,143,117,5,832,642,49,9,207,161,0,1069,943,68,4,273,50,0,1340,377,8,0,145,15,0,548,178,3,0,46,7,0,230,58,0,0,16,3,0,79,16,0,0,7,0,0,31,8,0,0,0
10103,0,7,0,29,9,0,57,17,35,3,21,12,6,93,117,21,11,111,31,4,297,144,34,3,122,25,3,332,111,4,0,63,9,0,199,170,10,0,61,9,0,238,109,0,0,38,15,5,162,73,0,0,23,8,0,98,16,0,0,13,9,0,39,22,0,0,4,3,0,42,6,0,0,4,9,0,23,18,0,0,10,0,0,27,7,0,0,4,4,0,11,83,0,0,24,23,0,132,32,0,3,40,25,3,107,930,116,34,571,188,18,1857,6,6,0,14,13,0,31,7,6,7,18,7,0,44,63,24,14,58,16,3,172,142,13,8,99,26,5,296,105,9,6,87,21,0,229,221,22,3,101,11,0,361,167,3,0,70,17,0,266,141,0,0,41,14,0,196,25,0,0,9,5,0,35,14,0,0,12,10,0,31,14,0,0,11,8,4,34,12,0,0,3,6,0,20,20,0,0,5
10104,0,61,14,52,32,0,157,13,184,37,36,23,4,293,134,219,96,237,57,8,746,634,111,32,434,53,15,1280,514,55,13,295,30,4,913,936,75,11,363,29,3,1415,786,20,0,229,23,5,1061,258,4,6,60,16,0,340,29,0,0,14,7,0,49,0,0,0,7,4,0,10,4,0,0,0,4,0,9,0,0,0,3,3,0,9,0,0,0,3,0,0,4,18,0,0,19,12,0,46,49,40,16,102,47,8,267,3374,763,225,1845,344,54,6603,7,16,5,30,20,0,75,0,28,16,17,17,7,80,48,240,54,160,30,12,547,281,169,60,247,61,8,825,320,63,22,264,32,10,706,757,68,19,338,32,10,1230,1065,88,16,412,37,13,1625,780,15,3,210,25,3,1025,75,0,0,29,12,0,116,8,0,0,4,0,0,18,0,0,0,4,3,0,16,5,0,0,8,3,0,15,0,0,0,3
10105,7,57,12,18,15,3,120,21,165,19,31,12,0,249,166,156,22,130,43,3,521,386,101,12,186,37,5,725,235,45,0,124,8,0,417,375,3,4,119,28,3,529,261,5,0,67,7,0,338,59,0,0,19,0,0,83,3,0,0,9,3,0,17,0,0,0,3,0,0,6,0,0,0,0,0,0,0,0,0,0,0,0,0,5,0,0,0,0,0,0,0,0,0,0,14,0,0,18,28,31,9,49,24,6,146,1544,573,82,775,184,24,3180,6,34,4,10,14,0,69,0,37,10,12,3,0,60,51,193,28,63,22,7,363,177,114,38,103,18,13,466,149,41,3,109,8,3,317,366,57,0,117,18,3,562,643,34,0,163,20,4,864,375,6,0,74,6,0,468,57,0,0,10,0,0,70,5,0,0,4,0,0,8,0,0,0,6,0,0,6,0,0,0,0,0,0,0,0,0,0,0
10106,3,23,24,36,38,3,131,13,28,12,35,8,0,93,133,61,28,143,35,8,397,310,52,17,192,33,3,608,189,19,6,106,12,3,327,239,11,4,77,7,0,341,186,4,0,82,5,0,276,61,0,0,63,11,0,136,34,0,0,28,6,0,67,15,0,0,10,0,0,17,4,0,0,5,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6,0,0,7,0,0,17,9,16,6,47,38,7,116,1201,212,85,816,197,32,2548,3,3,3,30,30,0,68,4,8,18,7,10,6,42,50,33,23,91,15,7,225,184,66,18,129,23,3,428,143,35,7,131,20,4,333,342,28,0,129,18,0,521,326,19,0,132,10,3,486,169,0,0,76,9,4,266,38,0,0,33,4,3,80,21,0,0,14,0,0,37,6,0,0,3,0,0,7,0,0,0,9,0,0,7,5,0,0,0
10201,4,182,32,30,9,8,270,4,675,46,25,29,10,783,132,428,110,186,99,12,972,574,241,60,333,75,17,1300,521,81,28,353,66,10,1063,1699,126,31,542,37,12,2439,3396,115,7,741,58,23,4335,2303,9,0,461,24,5,2810,654,0,0,104,10,0,769,181,0,0,39,0,0,229,66,3,0,12,0,0,83,16,3,0,7,0,0,31,11,0,0,3,0,0,8,51,0,0,15,0,0,73,133,133,32,125,30,34,486,9754,1994,345,2983,435,130,15650,12,87,13,19,0,0,128,5,75,10,16,9,8,115,27,802,64,86,41,18,1029,152,320,104,161,73,16,819,215,144,20,228,26,7,649,597,123,30,294,59,11,1110,1969,175,14,561,56,18,2791,4378,81,13,803,42,15,5324,1890,8,7,296,14,4,2216,683,6,0,97,4,0,796,243,4,0,25,0,4,279,98,0,0,18,0,0,119,35,0,0,9
10202,20,160,42,29,6,11,263,5,550,37,20,5,3,626,135,391,56,188,175,12,959,634,279,85,403,160,15,1584,730,82,20,433,57,8,1336,2338,104,27,708,60,17,3261,3498,69,16,760,67,20,4439,1718,10,3,294,31,10,2054,257,0,0,56,8,4,323,67,0,0,21,3,0,96,10,4,0,6,4,0,23,4,4,0,9,4,0,16,0,0,0,3,0,0,4,36,0,0,19,7,0,65,145,102,20,124,46,38,479,9603,1753,315,3072,638,142,15521,8,56,11,13,11,4,106,9,68,28,5,8,0,119,25,573,30,69,56,10,767,200,341,108,188,195,12,1044,270,169,35,225,73,8,768,692,125,59,383,65,14,1331,2833,174,25,827,58,22,3946,4239,62,11,727,58,15,5114,1604,4,0,215,21,8,1848,250,4,0,52,7,0,312,59,0,0,13,5,0,70,21,0,0,5,3,0,31,11,0,0,8
10301,11,67,15,25,15,0,141,19,148,13,22,12,0,215,196,156,15,120,35,3,524,432,122,12,172,14,4,758,349,52,5,163,14,0,594,674,14,4,152,7,0,861,588,0,0,113,3,3,720,279,0,0,47,4,0,330,32,0,0,9,0,0,42,4,0,0,4,0,0,7,0,0,0,0,0,0,3,0,0,0,0,0,0,3,0,0,0,0,0,0,6,9,0,0,4,0,0,14,40,31,8,40,31,5,153,2636,600,79,876,137,32,4360,11,23,16,17,10,0,77,6,31,4,15,9,0,64,74,194,17,71,17,7,374,234,116,9,111,3,4,485,212,63,4,133,7,6,425,605,37,5,164,11,4,835,959,52,22,225,19,7,1280,765,15,17,105,9,6,907,88,0,3,7,0,0,98,10,0,0,3,0,0,11,3,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0
10302,21,114,55,99,93,9,388,48,220,35,100,33,5,446,524,252,96,421,109,26,1427,795,139,14,445,79,10,1486,240,8,9,141,19,0,417,248,6,0,74,32,0,364,119,4,0,34,16,0,171,29,0,0,13,4,0,51,3,0,0,7,3,0,12,0,0,0,0,0,0,3,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,11,0,0,22,4,0,36,38,42,10,95,80,10,278,2085,796,225,1449,470,63,5084,9,48,46,46,79,0,233,12,37,26,49,24,0,155,231,280,60,270,59,10,911,565,180,58,407,67,23,1296,357,69,3,266,37,7,733,519,35,10,232,42,10,841,285,13,4,124,28,3,457,55,4,0,41,12,0,114,9,3,0,8,0,0,16,0,0,0,0,4,0,12,0,0,0,6,4,0,8,0,0,0,0,0,0,4,0,0,0,0
10303,10,54,0,40,28,0,131,21,135,3,25,8,4,191,199,190,21,183,32,8,633,532,166,10,226,48,13,998,315,82,9,129,26,5,561,433,35,3,98,10,7,587,318,8,0,65,10,0,408,184,0,0,33,9,0,227,38,0,0,12,3,0,47,0,0,0,3,0,0,4,5,0,0,3,0,0,15,4,0,0,4,4,0,12,0,0,0,0,0,0,0,11,0,0,8,0,0,27,39,38,3,51,36,3,176,2109,706,47,894,220,35,4013,8,34,3,24,25,0,96,3,23,3,12,0,0,41,62,190,5,90,17,3,364,266,152,23,162,24,10,646,228,67,10,150,19,5,473,502,71,8,169,24,3,774,755,63,0,151,21,7,991,482,17,4,65,4,5,576,79,0,0,13,4,0,101,9,0,0,4,0,0,12,5,0,0,0,0,0,0,3,0,0,0,0,0,3,0,0,0,0
