SA3_CODE_2021,C16_SH_3b_NPFH_4,C16_SH_3b_NPFH_5,C16_SH_3b_NPFH_6_mor,C16_SH_3b_Tot,C16_SH_4mb_NPFH_2,C16_SH_4mb_NPFH_3,C16_SH_4mb_NPFH_4,C16_SH_4mb_NPFH_5,C16_SH_4mb_NPFH_6_mor,C16_SH_4mb_Tot,C16_SH_NB_NS_NPFH_2,C16_SH_NB_NS_NPFH_3,C16_SH_NB_NS_NPFH_4,C16_SH_NB_NS_NPFH_5,C16_SH_NB_NS_NPFH_6_mor,C16_SH_NB_NS_Tot,C16_SH_Tot_NPFH_2,C16_SH_Tot_NPFH_3,C16_SH_Tot_NPFH_4,C16_SH_Tot_NPFH_5,C16_SH_Tot_NPFH_6_mor,C16_SH_Tot_Tot,C16_SDRTHT_0b_s_a_b_NPFH_2,C16_SDRTHT_0b_s_a_b_NPFH_3,C16_SDRTHT_0b_s_a_b_NPFH_4,C16_SDRTHT_0b_s_a_b_NPFH_5,C16_SDRTHT_0b_s_a_b_NPFH_6mor,C16_SDRTHT_0b_s_a_b_Tot,C16_SDRTHT_1b_NPFH_2,C16_SDRTHT_1b_NPFH_3,C16_SDRTHT_1b_NPFH_4,C16_SDRTHT_1b_NPFH_5,C16_SDRTHT_1b_NPFH_6_mor,C16_SDRTHT_1b_Tot,C16_SDRTHT_2b_NPFH_2,C16_SDRTHT_2b_NPFH_3,C16_SDRTHT_2b_NPFH_4,C16_SDRTHT_2b_NPFH_5,C16_SDRTHT_2b_NPFH_6_mor,C16_SDRTHT_2b_Tot,C16_SDRTHT_3b_NPFH_2,C16_SDRTHT_3b_NPFH_3,C16_SDRTHT_3b_NPFH_4,C16_SDRTHT_3b_NPFH_5,C16_SDRTHT_3b_NPFH_6_mor,C16_SDRTHT_3b_Tot,C16_SDRTHT_4mb_NPFH_2,C16_SDRTHT_4mb_NPFH_3,C16_SDRTHT_4mb_NPFH_4,C16_SDRTHT_4mb_NPFH_5,C16_SDRTHT_4mb_NPFH_6_mor,C16_SDRTHT_4mb_Tot,C16_SDRTHT_NB_NS_NPFH_2,C16_SDRTHT_NB_NS_NPFH_3,C16_SDRTHT_NB_NS_NPFH_4,C16_SDRTHT_NB_NS_NPFH_5,C16_SDRTHT_NB_NS_NPFH_6_mor,C16_SDRTHT_NB_NS_Tot,C16_SDRTHT_Tot_NPFH_2,C16_SDRTHT_Tot_NPFH_3,C16_SDRTHT_Tot_NPFH_4,C16_SDRTHT_Tot_NPFH_5,C16_SDRTHT_Tot_NPFH_6_mor,C16_SDRTHT_Tot_Tot,C16_F_a_0b_s_a_b_NPFH_2,C16_F_a_0b_s_a_b_NPFH_3,C16_F_a_0b_s_a_b_NPFH_4,C16_F_a_0b_s_a_b_NPFH_5,C16_F_a_0b_s_a_b_NPFH_6_mor,C16_F_a_0b_s_a_b_Tot,C16_F_a_1b_NPFH_2,C16_F_a_1b_NPFH_3,C16_F_a_1b_NPFH_4,C16_F_a_1b_NPFH_5,C16_F_a_1b_NPFH_6_mor,C16_F_a_1b_Tot,C16_F_a_2b_NPFH_2,C16_F_a_2b_NPFH_3,C16_F_a_2b_NPFH_4,C16_F_a_2b_NPFH_5,C16_F_a_2b_NPFH_6_mor,C16_F_a_2b_Tot,C16_F_a_3b_NPFH_2,C16_F_a_3b_NPFH_3,C16_F_a_3b_NPFH_4,C16_F_a_3b_NPFH_5,C16_F_a_3b_NPFH_6_mor,C16_F_a_3b_Tot,C16_F_a_4mb_NPFH_2,C16_F_a_4mb_NPFH_3,C16_F_a_4mb_NPFH_4,C16_F_a_4mb_NPFH_5,C16_F_a_4mb_NPFH_6_mor,C16_F_a_4mb_Tot,C16_F_a_NB_NS_NPFH_2,C16_F_a_NB_NS_NPFH_3,C16_F_a_NB_NS_NPFH_4,C16_F_a_NB_NS_NPFH_5,C16_F_a_NB_NS_NPFH_6_mor,C16_F_a_NB_NS_Tot,C16_F_a_Tot_NPFH_2,C16_F_a_Tot_NPFH_3,C16_F_a_Tot_NPFH_4,C16_F_a_Tot_NPFH_5,C16_F_a_Tot_NPFH_6_mor,C16_F_a_Tot_Tot,C16_OD_0b_s_a_b_NPFH_2,C16_OD_0b_s_a_b_NPFH_3,C16_OD_0b_s_a_b_NPFH_4,C16_OD_0b_s_a_b_NPFH_5,C16_OD_0b_s_a_b_NPFH_6_mor,C16_OD_0b_s_a_b_Tot,C16_OD_1b_NPFH_2,C16_OD_1b_NPFH_3,C16_OD_1b_NPFH_4,C16_OD_1b_NPFH_5,C16_OD_1b_NPFH_6_mor,C16_OD_1b_Tot,C16_OD_2b_NPFH_2,C16_OD_2b_NPFH_3,C16_OD_2b_NPFH_4,C16_OD_2b_NPFH_5,C16_OD_2b_NPFH_6_mor,C16_OD_2b_Tot,C16_OD_3b_NPFH_2,C16_OD_3b_NPFH_3,C16_OD_3b_NPFH_4,C16_OD_3b_NPFH_5,C16_OD_3b_NPFH_6_mor,C16_OD_3b_Tot,C16_OD_4mb_NPFH_2,C16_OD_4mb_NPFH_3,C16_OD_4mb_NPFH_4,C16_OD_4mb_NPFH_5,C16_OD_4mb_NPFH_6_mor,C16_OD_4mb_Tot,C16_OD_NB_NS_NPFH_2,C16_OD_NB_NS_NPFH_3,C16_OD_NB_NS_NPFH_4,C16_OD_NB_NS_NPFH_5,C16_OD_NB_NS_NPFH_6_mor,C16_OD_NB_NS_Tot,C16_OD_Tot_NPFH_2,C16_OD_Tot_NPFH_3,C16_OD_Tot_NPFH_4,C16_OD_Tot_NPFH_5,C16_OD_Tot_NPFH_6_mor,C16_OD_Tot_Tot,C16_DS_NS_NPFH_2,C16_DS_NS_NPFH_3,C16_DS_NS_NPFH_4,C16_DS_NS_NPFH_5,C16_DS_NS_NPFH_6_mor,C16_DS_NS_Tot,C16_Tot_NPFH_2,C16_Tot_NPFH_3,C16_Tot_NPFH_4,C16_Tot_NPFH_5,C16_Tot_NPFH_6_mor,C16_Tot_Tot,C21_SH_0b_s_a_b_NPFH_2,C21_SH_0b_s_a_b_NPFH_3,C21_SH_0b_s_a_b_NPFH_4,C21_SH_0b_s_a_b_NPFH_5,C21_SH_0b_s_a_b_NPFH_6_mor,C21_SH_0b_s_a_b_Tot,C21_SH_1b_NPFH_2,C21_SH_1b_NPFH_3,C21_SH_1b_NPFH_4,C21_SH_1b_NPFH_5,C21_SH_1b_NPFH_6_mor,C21_SH_1b_Tot,C21_SH_2b_NPFH_2,C21_SH_2b_NPFH_3,C21_SH_2b_NPFH_4,C21_SH_2b_NPFH_5,C21_SH_2b_NPFH_6_mor,C21_SH_2b_Tot,C21_SH_3b_NPFH_2,C21_SH_3b_NPFH_3,C21_SH_3b_NPFH_4,C21_SH_3b_NPFH_5,C21_SH_3b_NPFH_6_mor,C21_SH_3b_Tot,C21_SH_4mb_NPFH_2,C21_SH_4mb_NPFH_3,C21_SH_4mb_NPFH_4,C21_SH_4mb_NPFH_5,C21_SH_4mb_NPFH_6_mor,C21_SH_4mb_Tot,C21_SH_NB_NS_NPFH_2,C21_SH_NB_NS_NPFH_3,C21_SH_NB_NS_NPFH_4,C21_SH_NB_NS_NPFH_5,C21_SH_NB_NS_NPFH_6_mor,C21_SH_NB_NS_Tot,C21_SH_Tot_NPFH_2,C21_SH_Tot_NPFH_3,C21_SH_Tot_NPFH_4,C21_SH_Tot_NPFH_5
10102,806,257,67,4169,2168,1421,2100,1071,462,7229,69,31,26,12,7,137,4771,2577,3013,1366,544,12265,0,0,0,0,0,0,23,0,0,0,0,23,389,137,58,9,3,598,337,191,142,34,11,716,26,26,27,6,3,83,14,10,0,0,0,22,784,362,221,53,20,1447,0,0,0,0,0,0,114,34,10,0,0,152,353,188,75,18,0,634,26,35,19,8,0,88,0,0,7,0,0,7,7,3,6,0,0,14,506,255,102,29,3,900,4,0,0,0,0,0,7,5,0,0,0,12,10,6,0,0,0,19,5,0,5,0,0,13,0,3,6,3,0,8,0,0,0,0,0,0,36,12,11,5,0,61,23,9,7,3,4,47,6115,3213,3355,1458,575,14714,17,9,0,0,0,35,72,4,4,0,0,91,426,128,80,21,11,664,2287,1023,881,207,71,4462,2854,1914,2545,1212,558,9085,43,19,18,6,7,91,5707,3098,3524,1452
10103,353,114,28,2048,729,331,390,205,91,1746,40,7,11,4,0,64,2257,824,786,332,129,4339,0,0,0,0,0,0,3,0,0,0,0,5,33,3,0,0,0,42,38,17,13,3,0,70,0,7,3,0,0,17,8,0,0,0,0,8,80,32,17,6,4,137,0,0,0,0,0,0,11,0,0,0,0,11,31,5,3,0,0,39,15,9,10,0,0,32,5,3,6,8,0,17,8,4,3,0,0,10,72,18,17,10,0,117,0,0,0,0,0,4,3,0,0,0,0,4,8,4,0,0,0,15,3,0,4,0,0,12,3,0,3,0,0,9,0,0,0,0,0,0,28,7,5,0,0,42,72,26,21,6,5,122,2508,911,850,355,134,4762,12,0,0,0,0,7,60,8,3,4,0,76,290,72,32,11,3,408,1125,420,347,115,36,2043,867,376,454,242,119,2059,32,11,4,7,0,45,2387,882,839,386
10104,1105,356,133,8107,3185,1122,1193,676,431,6608,162,39,33,16,23,274,9948,2882,2476,1085,595,16985,0,0,0,0,0,0,21,0,0,0,0,22,366,58,13,6,0,436,375,90,38,17,8,527,38,10,7,8,3,64,14,8,0,0,0,16,807,170,55,27,11,1067,0,0,0,0,0,0,21,0,0,0,0,22,202,42,14,0,0,262,113,37,23,4,4,191,15,11,3,3,0,34,10,0,0,0,0,19,362,97,43,11,9,519,10,0,0,0,0,10,41,5,0,0,0,49,67,14,4,0,0,80,34,11,8,0,0,55,10,3,0,0,0,14,6,0,0,0,0,7,157,34,14,6,0,213,102,22,16,7,3,151,11376,3202,2599,1132,616,18929,53,9,5,0,4,71,226,25,10,5,5,267,1422,281,136,42,16,1888,5374,1460,1204,345,116,8500,3934,1246,1412,818,514,7931,128,43,20,9,11,213,11135,3067,2795,1215
10105,584,221,85,3768,1464,741,891,502,286,3882,70,23,17,4,3,122,4141,1669,1540,735,383,8471,0,0,0,0,0,0,3,0,0,0,0,8,91,25,7,0,0,123,86,37,21,8,3,157,14,13,7,5,0,38,9,0,0,0,0,9,211,70,31,14,6,338,0,0,0,0,0,0,6,3,0,0,0,13,44,11,6,0,0,57,3,3,0,0,0,9,0,0,4,0,0,5,0,0,0,0,0,0,52,20,6,0,0,85,0,0,0,0,0,0,6,0,0,0,0,6,8,3,5,0,0,18,6,3,0,0,0,15,4,5,5,0,4,13,6,0,0,0,0,7,30,8,8,4,4,62,19,21,6,7,3,51,4455,1786,1595,766,399,9004,21,3,0,0,0,25,80,8,4,0,0,88,483,104,47,6,5,653,2185,779,573,196,75,3810,1779,837,1029,614,348,4611,57,17,13,8,7,95,4601,1734,1668,824
10106,633,222,70,3561,1762,788,1069,661,312,4593,71,20,8,11,6,117,4298,1653,1769,910,401,9033,0,0,0,0,0,0,5,0,0,0,0,5,59,11,7,0,0,77,43,18,13,3,5,81,11,0,0,0,0,10,6,0,0,0,0,6,119,28,18,3,5,182,0,0,0,0,0,0,0,0,0,0,0,3,41,10,0,0,0,54,19,14,5,0,0,35,0,0,0,0,0,5,0,0,0,0,0,0,62,21,4,0,0,91,0,0,0,0,0,3,9,0,0,0,0,9,12,0,0,0,0,12,12,4,5,0,0,21,10,4,3,0,0,19,0,0,0,0,0,0,46,11,8,3,0,64,29,12,9,4,6,58,4555,1724,1811,924,407,9423,17,4,3,0,0,22,69,7,5,0,0,80,483,123,60,15,8,686,1954,729,566,205,83,3545,2010,920,1142,752,416,5238,62,20,15,9,7,111,4589,1798,1789,982
10201,3305,888,239,14908,5531,3608,5027,2757,1404,18328,215,75,73,34,29,428,14769,7821,8696,3748,1697,36734,4,0,0,0,0,4,43,0,5,0,0,50,1181,146,41,7,0,1388,1606,634,397,81,21,2737,78,54,55,36,10,226,55,10,8,0,0,77,2967,847,502,128,36,4482,4,0,0,0,0,3,85,6,0,0,0,91,979,220,64,13,9,1283,643,242,165,41,8,1098,53,36,26,12,12,142,26,7,3,0,0,36,1786,507,261,73,24,2658,3,0,0,0,0,3,18,4,0,0,0,26,91,25,10,0,0,127,42,25,20,4,0,97,9,8,16,3,0,50,3,0,0,0,0,5,167,72,48,12,9,307,71,21,26,9,3,133,19763,9271,9536,3965,1771,44306,21,7,6,0,0,32,175,26,14,0,4,213,2128,566,229,40,12,2969,7061,3429,3120,705,204,14517,6905,4078,5688,2984,1511,21170,120,71,48,29,13,269,16404,8171,9096,3758
10202,2966,868,284,15003,5271,3379,4670,2807,1598,17713,287,91,73,48,29,517,15270,7574,7972,3793,1924,36537,0,0,0,0,0,0,54,7,0,0,0,63,721,107,41,9,0,875,892,398,243,81,21,1639,74,40,67,39,18,230,38,13,7,0,0,61,1781,559,353,127,37,2867,0,0,0,0,0,0,49,7,0,0,0,59,600,136,40,8,0,784,245,128,61,16,11,456,20,11,9,3,4,46,31,5,3,0,0,42,943,283,117,30,19,1398,5,0,0,0,0,8,27,4,0,0,0,31,45,15,6,0,0,71,23,7,7,6,0,43,4,8,9,0,0,16,8,0,0,0,0,4,106,35,26,12,3,180,55,25,6,13,7,97,18162,8484,8464,3971,1992,41075,12,0,8,0,0,21,159,21,8,9,7,192,2287,531,213,32,13,3077,7652,3638,2886,766,269,15208,6587,4160,5287,2995,1690,20727,156,72,66,37,16,350,16855,8422,8461,3842
10301,728,216,71,4052,1939,1021,1393,789,402,5542,77,29,18,4,4,135,4586,2105,2185,1018,494,10382,0,0,0,0,0,0,20,7,0,0,0,21,197,43,15,0,0,261,134,53,48,9,0,248,12,13,9,4,4,42,5,0,0,0,0,7,372,117,71,17,5,575,0,0,0,0,0,0,14,0,0,0,0,14,88,19,14,0,0,112,22,16,0,3,0,37,4,0,4,0,0,11,6,0,0,0,0,5,126,34,18,5,4,180,0,0,0,0,0,0,0,0,0,0,0,0,6,4,0,0,0,14,3,0,0,0,0,9,3,0,4,4,0,8,0,0,0,0,0,0,19,6,5,6,0,29,43,7,6,0,5,74,5143,2266,2288,1045,504,11249,7,0,0,0,0,13,49,7,3,0,0,63,434,96,47,15,3,584,2329,857,626,202,75,4088,2470,1301,1573,853,434,6636,56,20,19,6,4,96,5343,2281,2266,1080
10302,874,375,149,6029,2256,979,1179,858,470,5740,165,46,19,11,8,253,6767,2460,2159,1273,636,13298,3,0,0,0,0,3,3,0,0,0,0,3,63,12,3,3,0,82,39,10,8,6,0,66,17,4,5,0,0,28,7,0,0,0,0,5,137,22,19,7,0,192,3,0,0,0,0,3,11,5,0,0,0,20,91,17,6,0,0,116,11,3,0,0,0,16,4,0,0,5,0,10,0,0,0,0,0,6,124,28,10,7,0,163,3,0,0,0,0,7,17,4,0,0,0,23,8,8,0,4,0,23,9,6,3,4,0,20,6,7,0,0,5,19,3,0,0,0,0,3,47,27,7,7,4,94,77,26,20,12,10,153,7156,2572,2218,1305,655,13899,18,5,4,0,0,28,79,12,0,4,0,93,810,179,72,20,7,1091,3356,1160,822,352,115,5804,2502,1137,1201,847,499,6188,92,25,27,13,4,158,6858,2516,2126,1234
10303,795,265,94,4801,1598,828,1071,617,317,4425,99,32,22,7,6,172,5240,2112,1986,921,427,10680,0,0,0,0,0,0,9,0,0,0,0,16,92,30,13,5,0,128,61,34,14,0,0,117,4,5,5,0,0,11,9,0,0,0,0,10,172,77,28,3,0,284,0,0,0,0,0,0,9,0,0,0,0,12,37,10,9,3,0,55,24,11,4,0,0,35,0,5,0,0,0,4,5,0,0,0,0,5,78,22,10,4,0,114,0,0,0,0,0,0,9,0,0,0,0,6,18,4,5,0,0,28,70,23,18,16,4,133,40,16,22,14,6,97,6,0,0,0,0,8,138,50,44,30,12,277,46,19,9,5,4,92,5680,2277,2082,966,443,11445,17,0,0,9,4,29,93,16,10,4,0,119,846,181,78,17,7,1123,2728,1007,774,254,97,4854,2065,979,1215,760,388,5408,94,20,21,13,12,159,5838,2205,2103,1049
