SA3_CODE_2021,C21_75_84_No_need_assist_F,C21_75_84_No_need_assist_P,C21_75_84_Need_assist_ns_M,C21_75_84_Need_assist_ns_F,C21_75_84_Need_assist_ns_P,C21_75_84_Tot_M,C21_75_84_Tot_F,C21_75_84_Tot_P,C21_85over_Need_assist_M,C21_85over_Need_assist_F,C21_85over_Need_assist_P,C21_85over_No_need_assist_M,C21_85over_No_need_assist_F,C21_85over_No_need_assist_P,C21_85over_Need_assist_ns_M,C21_85over_Need_assist_ns_F,C21_85over_Need_assist_ns_P,C21_85over_Tot_M,C21_85over_Tot_F,C21_85over_Tot_P,C21_Tot_Need_assist_M,C21_Tot_Need_assist_F,C21_Tot_Need_assist_P,C21_Tot_No_need_assist_M,C21_Tot_No_need_assist_F,C21_Tot_No_need_assist_P,C21_Tot_Need_assist_ns_M,C21_Tot_Need_assist_ns_F,C21_Tot_Need_assist_ns_P,C21_Tot_Tot_M,C21_Tot_Tot_F,C21_Tot_Tot_P
30702,1033,2099,106,134,237,1435,1457,2886,166,321,484,208,216,424,55,92,145,429,629,1059,1475,1512,2993,18123,18129,36255,1933,1682,3617,21531,21323,42862
30703,1248,2576,129,129,255,1734,1751,3484,196,333,527,239,262,503,41,59,103,476,654,1128,1576,1678,3252,17247,17785,35032,1675,1559,3238,20498,21022,41520
30801,266,562,57,58,113,395,387,781,25,38,68,34,38,73,17,30,49,76,106,191,530,455,990,12465,12039,24499,2007,1358,3363,15002,13852,28849
30803,2465,4732,215,246,464,3159,3631,6783,441,872,1312,463,514,978,116,126,242,1020,1512,2528,4108,4309,8414,50465,52252,102714,6173,4064,10231,60746,60625,121360
30804,275,560,56,55,107,403,401,802,30,62,94,49,73,120,12,41,50,91,176,266,316,283,599,6104,5922,12033,1042,839,1885,7462,7044,14513
30805,826,1694,94,89,184,1186,1212,2390,132,206,342,132,121,253,29,52,85,293,379,679,1895,1766,3663,27746,27486,55233,2580,2044,4624,32221,31296,63515
30901,1664,3155,160,164,321,1957,2262,4215,239,493,733,316,414,730,74,99,177,629,1006,1638,1322,1637,2960,28242,30668,58908,2280,2249,4530,31844,34554,66400
30902,1412,2641,104,134,237,1632,1917,3548,237,467,704,341,395,738,56,96,157,634,958,1599,1424,1606,3026,24636,26594,51230,1615,1642,3253,27675,29842,57511
30903,2460,4693,183,204,385,3008,3402,6398,368,734,1102,422,471,897,65,127,189,855,1332,2187,2376,2832,5207,28345,31451,59794,2153,2234,4387,32874,36517,69387
30904,481,1031,27,24,56,662,608,1273,48,82,126,72,79,154,6,7,17,126,168,299,540,500,1036,8764,8993,17758,639,684,1319,9943,10177,20113
30905,567,1174,31,37,61,781,780,1564,85,206,285,98,79,180,9,17,25,192,302,494,804,859,1665,15889,16804,32693,852,824,1674,17545,18487,36033
30906,1424,2797,75,99,179,1796,1943,3737,189,359,552,291,270,559,44,53,101,524,682,1209,1944,2040,3989,30653,31736,62386,1720,1596,3305,34317,35372,69688
30907,1989,4094,126,150,282,2800,2799,5603,268,537,808,280,269,553,60,106,166,608,912,1519,4150,3895,8040,68831,72183,141010,4545,4462,9007,77526,80540,158062
30908,1241,2371,86,101,188,1522,1765,3287,214,498,716,253,291,537,61,123,185,528,912,1434,1304,1705,3008,22794,25446,48240,1273,1379,2655,25371,28530,53903
