SA3_CODE_2021,C21_1PF_Cu15DS_MR_4000over,C21_1PF_Cu15DS_MR_NS,C21_1PF_Cu15DS_Tot,C21_1PF_CU15_NDS_MR_0_299,C21_1PF_CU15_NDS_MR_300_449,C21_1PF_CU15_NDS_MR_450_599,C21_1PF_CU15_NDS_MR_600_799,C21_1PF_CU15_NDS_MR_800_999,C21_1PF_CU15_NDS_MR_1000_1399,C21_1PF_CU15_NDS_MR_1400_1799,C21_1PF_CU15_NDS_MR_1800_2399,C21_1PF_CU15_NDS_MR_2400_2999,C21_1PF_CU15_NDS_MR_3000_3999,C21_1PF_CU15_NDS_MR_4000over,C21_1PF_CU15_NDS_MR_NS,C21_1PF_CU15_NDS_Tot,C21_1PF_NCu15DS_MR_0_299,C21_1PF_NCu15DS_MR_300_449,C21_1PF_NCu15DS_MR_450_599,C21_1PF_NCu15DS_MR_600_799,C21_1PF_NCu15DS_MR_800_999,C21_1PF_NCu15DS_MR_1000_1399,C21_1PF_NCu15DS_MR_1400_1799,C21_1PF_NCu15DS_MR_1800_2399,C21_1PF_NCu15DS_MR_2400_2999,C21_1PF_NCu15DS_MR_3000_3999,C21_1PF_NCu15DS_MR_4000over,C21_1PF_NCu15DS_MR_NS,C21_1PF_NCu15DS_Tot,C21_1PF_NDCO_MR_0_299,C21_1PF_NDCO_MR_300_449,C21_1PF_NDCO_MR_450_599,C21_1PF_NDCO_MR_600_799,C21_1PF_NDCO_MR_800_999,C21_1PF_NDCO_MR_1000_1399,C21_1PF_NDCO_MR_1400_1799,C21_1PF_NDCO_MR_1800_2399,C21_1PF_NDCO_MR_2400_2999,C21_1PF_NDCO_MR_3000_3999,C21_1PF_NDCO_MR_4000over,C21_1PF_NDCO_MR_NS,C21_1PF_NDCO_Tot,C21_1PF_Tot_MR_0_299,C21_1PF_Tot_MR_300_449,C21_1PF_Tot_MR_450_599,C21_1PF_Tot_MR_600_799,C21_1PF_Tot_MR_800_999,C21_1PF_Tot_MR_1000_1399,C21_1PF_Tot_MR_1400_1799,C21_1PF_Tot_MR_1800_2399,C21_1PF_Tot_MR_2400_2999,C21_1PF_Tot_MR_3000_3999,C21_1PF_Tot_MR_4000over,C21_1PF_Tot_MR_NS,C21_1PF_Tot_Tot,C21_Tot_MR_0_299,C21_Tot_MR_300_449,C21_Tot_MR_450_599,C21_Tot_MR_600_799,C21_Tot_MR_800_999,C21_Tot_MR_1000_1399,C21_Tot_MR_1400_1799,C21_Tot_MR_1800_2399,C21_Tot_MR_2400_2999,C21_Tot_MR_3000_3999,C21_Tot_MR_4000over,C21_Tot_MR_NS,C21_Tot_Tot
10102,3,0,82,6,0,3,15,13,42,62,102,46,37,16,18,373,5,4,0,9,3,21,16,23,8,17,8,10,131,11,10,5,12,17,45,42,43,16,19,12,23,260,31,20,13,33,38,116,142,193,92,80,38,59,842,264,99,97,163,230,701,1042,1998,1519,1483,788,417,8805
10103,0,0,13,3,3,0,10,12,19,23,3,7,0,7,5,82,0,0,0,3,9,15,9,4,0,3,0,8,47,7,3,3,6,0,25,6,8,0,0,4,6,70,14,3,3,20,19,60,44,14,10,5,5,15,222,82,37,36,104,149,395,352,331,139,118,82,93,1925
10104,4,7,92,10,10,14,22,27,70,98,52,15,13,7,13,353,7,0,0,10,14,25,22,18,4,5,0,7,115,22,14,15,14,33,64,44,37,9,5,0,13,263,40,24,33,51,83,183,188,118,32,32,14,45,826,346,201,165,275,390,1114,1243,1317,513,351,217,321,6461
10105,0,0,26,0,3,0,0,11,53,45,43,12,9,7,13,199,0,0,5,3,3,13,16,10,0,0,0,4,58,12,9,3,9,14,30,26,18,13,0,5,5,138,15,9,14,15,37,100,93,76,24,19,6,24,425,131,62,57,115,193,628,769,911,412,269,150,185,3879
10106,0,0,61,8,3,3,18,15,37,38,28,12,12,7,9,184,3,3,4,9,9,12,11,11,10,7,5,4,85,8,9,6,11,10,26,29,18,5,7,3,9,134,16,10,20,32,40,89,92,67,29,29,16,25,457,180,69,80,203,244,675,686,782,456,498,316,217,4416
10201,13,13,243,25,8,9,25,33,103,171,222,115,88,26,55,883,10,5,7,10,28,63,84,99,46,30,23,21,429,50,22,31,34,50,133,158,138,64,40,24,66,811,90,39,61,73,124,337,452,516,254,179,84,158,2362,788,297,273,410,638,1826,2581,4598,3260,2842,1861,1152,20526
10202,3,17,256,34,16,9,36,53,161,216,271,113,58,28,73,1075,10,8,10,17,13,75,92,84,22,25,14,15,386,63,29,23,42,75,181,202,175,79,23,17,78,991,118,59,52,106,149,459,574,597,234,125,59,182,2710,653,262,256,450,694,2135,3308,5132,2642,1625,827,1058,19042
10301,0,0,77,3,5,3,17,9,57,68,66,17,3,5,19,270,3,6,5,5,9,27,26,17,5,0,4,0,102,9,6,8,8,14,35,35,40,9,4,7,10,188,17,7,16,27,42,129,157,139,33,12,12,36,635,170,61,93,150,209,728,1041,1260,501,341,198,256,4997
10302,0,4,62,9,9,15,29,46,90,23,27,3,6,3,18,293,6,6,6,14,13,15,11,3,0,6,0,5,79,24,16,14,24,22,44,17,7,4,0,3,15,193,44,30,41,72,97,165,66,40,9,14,5,37,624,316,148,182,356,513,1148,788,606,204,146,135,276,4823
10303,0,0,40,9,6,7,17,23,42,49,33,13,9,7,14,232,0,3,6,0,9,13,17,6,3,5,0,0,62,12,10,5,15,17,44,31,21,11,8,4,9,182,23,18,24,31,48,117,106,74,35,20,13,24,523,165,120,96,164,272,809,899,976,440,335,211,242,4731
10304,0,0,80,8,8,3,22,29,64,80,54,16,9,3,22,328,6,3,5,3,15,35,30,7,9,6,5,7,120,12,5,10,13,11,47,45,25,10,6,5,19,209,22,17,19,41,75,166,166,113,37,17,17,46,732,204,84,96,209,336,1066,1380,1488,605,472,380,320,6630
