SA3_CODE_2021,C16_850_949_Oth_lan_typ,C16_850_949_LLT_NS,C16_850_949_Tot,C16_950over_REA,C16_950over_ST_HA,C16_950over_Co_ho_pr,C16_950over_Pe_no_sa_ho,C16_950over_Oth_lan_typ,C16_950over_LLT_NS,C16_950over_Tot,C16_R_NS_REA,C16_R_NS_ST_HA,C16_R_NS_Co_ho_pr,C16_R_NS_Pe_no_sa_ho,C16_R_NS_Oth_lan_typ,C16_R_NS_Land_typ_ns,C16_Rent_not_statd_Tot,C16_Tot_REA,C16_Tot_ST_HA,C16_Tot_Co_ho_pr,C16_Tot_Pe_no_sa_ho,C16_Tot_Oth_lan_typ,C16_Tot_LLT_NS,C16_Tot_Tot,C21_1_74_REA,C21_1_74_ST_HA,C21_1_74_Co_ho_pr,C21_1_74_Per_no_sa_ho,C21_1_74_Oth_land_typ,C21_1_74_LLT_NS,C21_1_74_Tot,C21_75_99_REA,C21_75_99_ST_HA,C21_75_99_Co_ho_pr,C21_75_99_Pe_no_sa_ho,C21_75_99_Oth_lan_typ,C21_75_99_Lan_type_ns,C21_75_99_Tot,C21_100_149_REA,C21_100_149_ST_HA,C21_100_149_Co_ho_pr,C21_100_149_Pe_no_sa_ho,C21_100_149_Ot_lan_ty,C21_100_149_Lan_typ_ns,C21_100_149_Tot,C21_150_199_REA,C21_150_199_ST_HA,C21_150_199_Co_ho_pr,C21_150_199_Pe_no_sa_ho,C21_150_199_Ot_lan_ty,C21_150_199_Lan_ty_ns,C21_150_199_Tot,C21_200_224_REA,C21_200_224_ST_HA,C21_200_224_Co_ho_pr,C21_200_224_Pe_no_sa_ho,C21_200_224_Ot_lan_ty,C21_200_224_Lan_ty_ns,C21_200_224_Tot,C21_225_274_REA,C21_225_274_ST_HA,C21_225_274_Co_ho_pr,C21_225_274_Pe_no_sa_ho,C21_225_274_Ot_la_typ,C21_225_274_Lan_ty_ns,C21_225_274_Tot,C21_275_349_REA,C21_275_349_ST_HA,C21_275_349_Co_ho_pr,C21_275_349_Pe_no_sa_ho,C21_275_349_Ot_lan_ty,C21_275_349_Lan_ty_ns,C21_275_349_Tot,C21_350_449_REA,C21_350_449_ST_HA,C21_350_449_Co_ho_pr,C21_350_449_Pe_no_sa_ho,C21_350_449_Ot_lan_ty,C21_350_449_Lan_ty_ns,C21_350_449_Tot,C21_450_549_REA,C21_450_549_ST_HA,C21_450_549_Co_ho_pr,C21_450_549_Pe_no_sa_ho,C21_450_549_Oth_lan_typ,C21_450_549_Lan_ty_ns,C21_450_549_Tot,C21_550_649_REA,C21_550_649_ST_HA,C21_550_649_Co_ho_pr,C21_550_649_Pe_no_sa_ho,C21_550_649_Ot_lan_ty,C21_550_649_Lan_ty_ns,C21_550_649_Tot,C21_650_749_REA,C21_650_749_ST_HA,C21_650_749_Co_ho_pr,C21_650_749_Pe_no_sa_ho,C21_650_749_Oth_lan_typ,C21_650_749_LLT_NS,C21_650_749_Tot,C21_750_849_REA,C21_750_849_ST_HA,C21_750_849_Co_ho_pr,C21_750_849_Pe_no_sa_ho,C21_750_849_Oth_lan_typ,C21_750_849_LLT_NS,C21_750_849_Tot,C21_850_950_REA,C21_850_949_ST_HA,C21_850_949_Co_ho_pr,C21_850_949_Pe_no_sa_ho,C21_850_949_Oth_lan_typ,C21_850_949_LLT_NS,C21_850_949_Tot,C21_950over_REA,C21_950over_ST_HA,C21_950over_Co_ho_pr,C21_950over_Pe_no_sa_ho,C21_950over_Oth_lan_typ,C21_950over_LLT_NS,C21_950over_Tot,C21_R_NS_REA,C21_R_NS_ST_HA,C21_R_NS_Co_ho_pr,C21_R_NS_Pe_no_sa_ho,C21_R_NS_Oth_lan_typ,C21_R_NS_Land_typ_ns,C21_Rent_not_statd_Tot,C21_Tot_REA,C21_Tot_ST_HA,C21_Tot_Co_ho_pr,C21_Tot_Pe_no_sa_ho,C21_Tot_Oth_lan_typ,C21_Tot_LLT_NS,C21_Tot_Tot
10102,0,0,9,7,0,0,4,3,0,14,50,36,13,35,17,9,156,3423,628,94,1095,428,33,5702,3,13,3,9,0,0,29,0,29,5,6,3,0,41,20,165,13,42,14,5,249,52,102,55,76,7,0,296,154,44,30,84,12,0,321,437,55,29,126,101,5,753,621,55,16,189,158,3,1053,819,59,9,287,180,3,1357,727,26,0,214,38,0,1004,337,5,0,90,13,0,446,242,0,0,38,13,0,299,100,0,0,22,11,0,140,18,0,0,5,0,0,27,13,0,0,3,3,0,18,49,28,8,69,41,12,209,3603,583,174,1255,591,30,6232
10103,10,0,37,89,0,0,46,56,0,191,17,0,4,49,29,4,103,1044,93,38,609,247,16,2054,4,0,0,12,20,0,32,3,4,3,10,7,0,31,22,12,10,37,16,0,92,67,21,16,64,16,4,189,51,4,8,51,12,0,127,157,10,11,93,47,0,314,223,13,12,100,17,0,363,231,0,0,79,26,0,337,118,0,0,59,8,0,183,50,0,0,24,3,0,80,35,0,0,7,16,0,56,20,0,0,18,6,0,49,8,0,0,9,3,0,17,82,0,0,66,64,0,216,62,6,6,84,83,8,245,1122,65,57,702,353,16,2325
10104,0,0,3,5,0,0,5,6,0,25,58,47,13,96,38,9,258,3409,738,208,1831,314,67,6565,3,15,0,21,19,0,61,4,12,8,11,4,0,39,29,215,37,92,44,7,420,83,114,58,185,39,4,483,165,59,29,182,33,4,477,405,70,61,274,39,3,849,891,59,25,392,52,11,1434,1341,38,18,470,73,9,1953,506,4,0,154,23,0,687,125,0,0,54,4,0,180,21,0,0,10,9,0,33,8,0,0,8,8,0,25,0,0,0,3,5,0,6,12,0,0,35,11,0,63,57,45,23,147,85,27,382,3661,620,261,2048,454,71,7111
10105,0,0,0,0,0,0,4,0,0,4,41,27,11,38,23,0,139,1862,536,112,723,129,32,3387,5,14,0,8,6,0,25,0,38,3,14,0,0,55,23,196,22,43,10,4,295,81,102,58,67,18,0,325,84,25,4,77,15,0,205,247,34,13,97,17,0,411,649,66,5,162,30,5,914,879,16,10,177,20,4,1100,223,3,0,33,11,0,269,33,0,0,8,5,0,43,13,0,0,0,0,0,19,3,0,0,0,0,0,3,3,0,0,0,0,0,5,9,0,0,3,0,0,8,45,33,7,60,35,12,189,2284,524,128,754,160,22,3876
10106,0,0,0,0,0,0,4,0,0,12,17,11,8,51,41,0,134,1320,212,82,832,182,30,2656,0,6,3,19,20,0,48,5,9,9,12,4,0,34,31,10,37,57,15,0,151,115,45,38,91,12,0,316,102,22,13,96,21,0,259,317,39,27,113,28,0,525,400,21,18,139,21,0,599,281,3,6,109,11,0,410,93,0,0,47,10,0,151,38,0,0,22,4,0,56,20,0,0,10,0,0,39,5,0,0,3,0,0,13,3,0,0,4,3,0,6,4,0,0,9,0,0,13,38,11,0,77,60,9,201,1454,164,141,816,211,23,2819
10201,0,0,47,51,0,0,13,0,4,71,136,121,27,136,25,14,462,10493,1929,308,2761,350,119,15959,16,44,8,27,9,0,96,5,113,9,16,3,0,144,23,727,55,67,39,6,915,70,272,173,120,83,9,729,119,125,68,133,30,12,493,360,129,66,216,38,9,819,1358,88,51,477,58,4,2042,4606,137,41,819,68,7,5675,3214,20,14,482,16,9,3751,1425,4,3,198,6,4,1643,623,0,0,76,5,0,703,295,0,0,45,4,0,353,143,0,0,23,0,0,170,152,0,0,21,9,0,185,208,106,34,153,55,43,592,12613,1779,519,2866,422,112,18306
10202,0,0,19,14,0,0,10,4,0,27,134,98,40,125,39,24,462,10355,1670,345,2881,591,116,15966,9,39,11,15,12,0,84,3,67,6,7,7,0,94,21,580,50,46,31,3,736,82,270,152,129,140,5,777,142,114,73,171,58,4,559,438,159,107,246,73,8,1032,1794,128,68,610,59,9,2681,5249,92,63,934,98,16,6456,3134,15,13,402,33,9,3610,931,3,0,130,11,0,1079,257,4,4,42,4,0,317,59,0,0,22,7,0,94,22,0,0,6,0,0,26,29,0,0,15,11,0,49,232,102,42,123,66,63,631,12412,1585,596,2897,612,122,18226
10301,3,0,3,6,0,0,6,0,0,4,46,35,24,38,21,7,169,3008,565,118,888,113,43,4736,3,19,12,9,7,0,43,0,36,8,5,7,0,55,54,163,30,44,13,0,304,157,82,13,68,14,0,344,161,69,14,102,7,0,362,423,39,14,128,7,5,611,1058,58,25,247,24,0,1413,1228,20,8,160,16,3,1434,415,4,0,51,7,0,477,46,0,0,8,0,0,58,3,0,0,4,0,0,9,6,0,0,3,0,0,3,0,0,0,0,0,0,0,0,0,0,5,0,0,6,54,30,7,65,45,24,229,3614,526,130,903,145,31,5345
10302,0,0,0,0,0,0,10,4,0,16,24,33,23,93,88,10,277,2065,710,229,1549,453,63,5079,15,40,29,40,42,0,173,13,49,12,29,13,7,113,88,232,67,161,61,8,617,400,157,69,267,69,21,979,254,80,20,269,31,7,663,561,60,15,304,58,9,1008,575,13,3,263,40,5,895,299,5,3,101,32,0,436,44,4,0,22,8,0,73,7,0,0,10,0,0,17,4,0,0,7,0,0,9,3,0,0,3,0,0,4,0,0,0,0,0,0,4,10,0,0,9,6,0,16,50,44,14,119,127,21,371,2311,673,236,1608,490,78,5395
10303,0,0,0,3,0,0,3,0,0,7,42,42,4,53,32,12,182,2449,662,63,907,167,37,4282,3,15,0,15,18,0,60,3,32,4,10,7,0,55,44,178,24,58,22,4,323,118,124,33,107,25,0,399,161,43,14,112,16,4,348,397,69,16,139,16,3,646,790,90,10,157,27,4,1076,769,21,4,126,19,8,939,362,0,0,40,11,0,411,71,0,0,8,0,0,78,18,0,0,5,0,0,26,0,0,0,8,0,0,6,4,0,0,3,0,0,8,7,0,0,7,4,0,14,54,35,3,65,45,14,223,2810,613,111,854,199,26,4617
