SA3_CODE_2021,C16_F_a_4_8_FH_One_PFam,C16_F_a_4_8_FH_oth_fa,C16_F_a_4_8_FH_Tot,C16_F_a_4_8_LP_H,C16_F_a_4_8_GH,C16_F_a_4_8_OH,C16_F_a_4_8_Tot,C16_F_a_9m_FH_CF_no_ch,C16_F_a_9m_FH_CF_w_ch,C16_F_a_9m_FH_One_PFam,C16_F_a_9m_FH_oth_fa,C16_F_a_9m_FH_Tot,C16_F_a_9m_LP_H,C16_F_a_9m_GH,C16_F_a_9m_OH,C16_F_a_9m_Tot,C16_F_a_a_h_FH_CF_no_ch,C16_F_a_a_h_FH_CF_w_ch,C16_F_a_a_h_FH_One_PFam,C16_F_a_a_h_FH_oth_fa,C16_F_a_a_h_FH_Tot,C16_F_a_a_h_LP_H,C16_F_a_a_h_GH,C16_F_a_a_h_OH,C16_F_a_a_h_Tot,C16_F_a_Tot_FH_CF_no_ch,C16_F_a_Tot_FH_CF_w_ch,C16_F_a_Tot_FH_One_PFam,C16_F_a_Tot_FH_oth_fa,C16_F_a_Tot_FH_Tot,C16_F_a_Tot_LP_H,C16_F_a_Tot_GH,C16_F_a_Tot_OH,C16_F_a_Tot_Tot,C16_OD_C_c_hb_FH_CF_no_ch,C16_OD_C_c_hb_FH_CF_w_ch,C16_OD_C_c_hb_FH_One_PFam,C16_OD_C_c_hb_FH_oth_fa,C16_OD_C_c_hb_FH_Tot,C16_OD_C_c_hb_LP_H,C16_OD_C_c_hb_GH,C16_OD_C_c_hb_OH,C16_OD_C_c_hb_Tot,C16_OD_Ih_t_s_FH_CF_no_ch,C16_OD_Ih_t_s_FH_CF_w_ch,C16_OD_Ih_t_s_FH_One_PFam,C16_OD_Ih_t_s_FH_oth_fa,C16_OD_Ih_t_s_FH_Tot,C16_OD_Ih_t_s_LP_H,C16_OD_Ih_t_s_GH,C16_OD_Ih_t_s_OH,C16_OD_Ih_t_s_Tot,C16_OD_H_f_so_FH_CF_no_ch,C16_OD_H_f_so_FH_CF_w_ch,C16_OD_H_f_so_FH_One_PFam,C16_OD_H_f_so_FH_oth_fa,C16_OD_H_f_so_FH_Tot,C16_OD_H_f_so_LP_H,C16_OD_H_f_so_GH,C16_OD_H_f_so_OH,C16_OD_H_f_so_Tot,C16_OD_Tot_FH_CF_no_ch,C16_OD_Tot_FH_CF_w_ch,C16_OD_Tot_FH_One_PFam,C16_OD_Tot_FH_oth_fa,C16_OD_Tot_FH_Tot,C16_OD_Tot_LP_H,C16_OD_Tot_GH,C16_OD_Tot_OH,C16_OD_Tot_Tot,C16_DS_ns_FH_CF_no_ch,C16_DS_ns_FH_CF_w_ch,C16_DS_ns_FH_One_PFam,C16_DS_ns_FH_oth_fa,C16_DS_ns_FH_Tot,C16_DS_ns_LP_H,C16_DS_ns_GH,C16_DS_ns_OH,C16_DS_NS_Tot,C16_Tot_FH_CF_no_ch,C16_Tot_FH_CF_w_ch,C16_Tot_FH_One_PFam,C16_Tot_FH_oth_fa,C16_Tot_FH_Tot,C16_Tot_LP_H,C16_Tot_GH,C16_Tot_OH,C16_Tot_Tot,C21_S_h_FH_CF_no_ch,C21_S_h_FH_CF_w_ch,C21_S_h_FH_One_PFam,C21_S_h_FH_oth_fa,C21_S_h_FH_Tot,C21_S_h_LP_H,C21_S_h_GH,C21_S_h_OH,C21_S_h_Tot,C21_SDRTHT1S_FH_CF_no_ch,C21_SDRTHT1S_FH_CF_w_ch,C21_SDRTHT1S_FH_One_PFam,C21_SDRTHT1S_FH_oth_fa,C21_SDRTHT1S_FH_Tot,C21_SDRTHT1S_LP_H,C21_SDRTHT1S_GH,C21_SDRTHT1S_OH,C21_SDRTHT1S_Tot,C21_SDRTHT2S_FH_CF_no_ch,C21_SDRTHT2S_FH_CF_w_ch,C21_SDRTHT2S_FH_One_PFam,C21_SDRTHT2S_FH_oth_fa,C21_SDRTHT2S_FH_Tot,C21_SDRTHT2S_LP_H,C21_SDRTHT2S_GH,C21_SDRTHT2S_OH,C21_SDRTHT2S_Tot,C21_SDRTHT_Tot_FH_CF_no_ch,C21_SDRTHT_Tot_FH_CF_w_ch,C21_SDRTHT_Tot_FH_One_PFam,C21_SDRTHT_Tot_FH_oth_fa,C21_SDRTHT_Tot_FH_Tot,C21_SDRTHT_Tot_LP_H,C21_SDRTHT_Tot_GH,C21_SDRTHT_Tot_OH,C21_SDRTHT_Tot_Tot,C21_F_a_1_2_FH_CF_no_ch,C21_F_a_1_2_FH_CF_w_ch,C21_F_a_1_2_FH_One_PFam,C21_F_a_1_2_FH_oth_fa,C21_F_a_1_2_FH_Tot,C21_F_a_1_2_LP_H,C21_F_a_1_2_GH,C21_F_a_1_2_OH,C21_F_a_1_2_Tot,C21_F_a_3_FH_CF_no_ch,C21_F_a_3_FH_CF_w_ch,C21_F_a_3_FH_One_PFam,C21_F_a_3_FH_oth_fa,C21_F_a_3_FH_Tot,C21_F_a_3_LP_H,C21_F_a_3_GH,C21_F_a_3_OH,C21_F_a_3_Tot,C21_F_a_4_8_FH_CF_no_ch,C21_F_a_4_8_FH_CF_w_ch,C21_F_a_4_8_FH_One_PFam,C21_F_a_4_8_FH_oth_fa,C21_F_a_4_8_FH_Tot,C21_F_a_4_8_LP_H,C21_F_a_4_8_GH,C21_F_a_4_8_OH,C21_F_a_4_8_Tot,C21_F_a_9m_FH_CF_no_ch,C21_F_a_9m_FH_CF_w_ch,C21_F_a_9m_FH_One_PFam,C21_F_a_9m_FH_oth_fa,C21_F_a_9m_FH_Tot,C21_F_a_9m_LP_H,C21_F_a_9m_GH,C21_F_a_9m_OH,C21_F_a_9m_Tot,C21_F_a_a_h_FH_CF_no_ch,C21_F_a_a_h_FH_CF_w_ch,C21_F_a_a_h_FH_One_PFam,C21_F_a_a_h_FH_oth_fa,C21_F_a_a_h_FH_Tot,C21_F_a_a_h_LP_H,C21_F_a_a_h_GH,C21_F_a_a_h_OH,C21_F_a_a_h_Tot,C21_F_a_Tot_FH_CF_no_ch,C21_F_a_Tot_FH_CF_w_ch,C21_F_a_Tot_FH_One_PFam,C21_F_a_Tot_FH_oth_fa,C21_F_a_Tot_FH_Tot,C21_F_a_Tot_LP_H,C21_F_a_Tot_GH,C21_F_a_Tot_OH,C21_F_a_Tot_Tot,C21_OD_C_c_hb_FH_CF_no_ch,C21_OD_C_c_hb_FH_CF_w_ch,C21_OD_C_c_hb_FH_One_PFam,C21_OD_C_c_hb_FH_oth_fa,C21_OD_C_c_hb_FH_Tot,C21_OD_C_c_hb_LP_H,C21_OD_C_c_hb_GH,C21_OD_C_c_hb_OH,C21_OD_C_c_hb_Tot,C21_OD_Ih_t_s_FH_CF_no_ch,C21_OD_Ih_t_s_FH_CF_w_ch,C21_OD_Ih_t_s_FH_One_PFam,C21_OD_Ih_t_s_FH_oth_fa,C21_OD_Ih_t_s_FH_Tot,C21_OD_Ih_t_s_LP_H,C21_OD_Ih_t_s_GH,C21_OD_Ih_t_s_OH,C21_OD_Ih_t_s_Tot,C21_OD_H_f_so_FH_CF_no_ch,C21_OD_H_f_so_FH_CF_w_ch,C21_OD_H_f_so_FH_One_PFam,C21_OD_H_f_so_FH_oth_fa
10102,55,9,375,511,42,117,1045,..,..,..,..,..,..,..,..,..,0,5,0,0,6,9,0,3,16,399,312,168,22,900,1372,102,287,2666,11,0,3,0,21,27,0,69,110,10,11,0,0,26,3,0,13,41,6,7,5,0,19,10,0,9,34,24,20,8,0,61,38,0,84,185,18,18,0,7,47,33,8,3,81,5333,7214,1992,177,14714,5264,480,1554,22013,5233,7329,1726,138,14428,2849,279,828,18389,328,281,199,24,830,813,49,105,1794,342,325,171,21,863,658,57,78,1653,668,608,371,47,1690,1467,104,183,3444,146,111,72,16,339,687,39,92,1154,93,67,35,8,211,306,40,53,603,193,118,59,17,388,508,38,46,983,20,7,5,0,34,40,3,0,79,3,4,5,0,14,10,0,3,32,457,312,177,39,988,1554,126,192,2857,14,3,6,0,19,15,0,20,57,0,0,0,0,0,3,0,18,18,11,7,4,0
10103,0,0,6,16,5,39,75,..,..,..,..,..,..,..,..,..,0,0,0,0,0,4,0,0,3,65,27,22,3,117,245,53,576,993,14,9,0,0,26,44,4,156,224,4,0,0,0,3,6,0,11,21,4,4,5,0,13,13,0,11,33,23,17,3,0,42,60,4,173,287,63,43,18,4,122,107,10,160,396,2189,1846,672,52,4762,2242,251,1673,8932,2163,1832,606,49,4644,1846,199,777,7462,44,22,13,0,82,112,9,36,240,32,21,13,0,66,71,37,68,245,74,47,24,0,149,189,47,100,482,95,40,35,0,170,212,80,219,679,13,3,6,0,21,25,8,57,115,7,0,0,0,7,5,0,5,16,0,0,0,0,0,0,0,0,0,3,5,0,0,8,8,3,3,32,118,48,38,0,207,250,93,292,839,9,0,0,0,9,17,0,42,65,0,0,0,0,0,3,0,21,28,4,7,0,0
10104,0,0,14,16,0,9,29,..,..,..,..,..,..,..,..,..,0,5,0,0,7,8,0,0,7,272,94,141,11,519,941,62,212,1737,115,13,22,0,152,302,13,362,828,10,8,4,0,25,35,0,59,116,17,13,11,0,41,22,0,16,81,141,37,37,0,213,355,16,429,1018,91,32,22,4,151,79,8,53,284,10201,5678,2855,194,18929,8695,692,2612,30935,10267,5806,2615,181,18875,6747,652,2079,28348,351,82,131,9,574,964,28,142,1707,305,93,106,3,507,538,33,102,1178,654,169,236,16,1075,1506,64,239,2890,276,88,163,13,537,911,53,184,1683,30,5,9,0,35,55,3,10,103,10,0,0,0,15,24,0,0,42,0,0,0,0,5,0,0,0,5,3,10,0,3,12,26,0,7,46,324,100,169,13,609,1010,60,203,1878,140,28,26,0,191,314,23,326,847,0,0,0,0,0,5,0,40,53,14,5,7,0
10105,0,0,0,0,0,0,0,..,..,..,..,..,..,..,..,..,0,0,0,0,0,5,0,0,4,37,17,27,3,85,263,12,55,418,12,12,0,0,26,48,0,31,104,4,9,3,0,18,7,0,13,33,9,7,0,0,21,24,0,5,51,31,24,5,5,62,77,0,47,189,16,27,5,0,51,30,6,32,110,3831,3559,1492,124,9004,3869,304,917,14095,4081,3627,1461,99,9269,3386,297,889,13838,151,80,83,12,322,568,28,74,997,40,15,21,0,79,89,7,11,185,188,98,95,12,400,654,37,90,1184,29,16,26,0,74,205,5,32,321,4,0,3,0,9,49,4,7,67,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,4,3,0,11,10,0,0,17,38,23,29,0,95,264,8,40,413,5,3,4,0,14,33,4,37,82,0,0,0,0,0,0,0,3,4,11,5,3,6
10106,0,0,0,0,0,0,0,..,..,..,..,..,..,..,..,..,0,0,0,0,0,0,0,0,0,46,18,30,3,91,225,12,37,368,15,3,0,0,22,27,0,42,90,9,3,0,0,15,14,0,11,30,15,14,5,0,33,10,0,6,37,43,22,3,0,64,46,0,56,160,25,24,8,0,58,45,4,9,120,4012,3988,1307,113,9423,3378,297,880,13978,4114,4159,1283,115,9678,2966,239,858,13734,89,59,61,0,208,400,14,74,693,4,9,0,0,19,10,3,5,36,95,59,66,0,225,412,12,81,727,27,7,13,0,42,154,10,26,236,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,3,0,4,13,25,9,11,0,49,154,12,29,248,16,3,0,0,15,26,0,26,70,0,0,0,0,0,4,0,3,4,0,11,6,0
10201,103,15,502,370,63,95,1029,..,..,..,..,..,..,..,..,..,0,4,9,0,16,26,0,0,44,1404,575,608,66,2658,2876,302,486,6312,80,44,61,4,187,302,25,137,661,0,0,0,0,0,11,0,130,138,37,42,26,3,112,40,4,22,183,119,90,92,11,307,352,30,294,984,58,42,26,4,133,156,8,23,320,16880,19215,7622,592,44306,16968,1923,3154,66351,14506,18086,6187,389,39176,10296,1290,2034,52802,1496,433,515,53,2497,3216,158,301,6170,936,556,576,41,2104,1447,125,216,3895,2434,991,1087,95,4602,4662,279,516,10063,887,445,434,39,1809,2075,125,359,4368,257,100,108,16,478,512,66,82,1141,566,169,156,26,912,679,132,156,1880,137,53,46,7,236,191,28,29,480,76,42,47,0,166,92,5,15,282,1915,815,789,83,3607,3553,351,641,8149,81,23,50,0,165,320,23,95,605,4,0,0,0,4,0,0,0,6,16,10,11,0
10202,88,7,343,303,25,80,752,..,..,..,..,..,..,..,..,..,5,3,0,0,9,16,0,3,28,678,231,447,35,1398,1901,130,359,3783,65,20,39,3,121,226,19,123,491,4,12,3,0,15,3,0,46,70,13,11,16,0,39,22,5,18,82,78,37,54,3,180,255,20,182,643,47,32,20,3,97,147,8,46,291,15219,16745,8508,607,41075,14987,1780,2993,60834,14415,16629,7994,532,39573,11358,1521,2219,54684,856,266,487,44,1656,1997,106,299,4051,528,342,440,23,1336,1017,87,190,2626,1383,601,927,67,2989,3012,193,488,6681,403,142,314,28,886,1500,79,200,2665,98,39,71,3,209,225,22,36,494,176,50,90,11,335,387,24,55,799,58,9,11,0,75,64,7,10,154,52,21,17,3,91,65,8,7,164,785,262,504,45,1592,2243,144,300,4280,69,11,27,0,109,197,18,101,416,4,0,3,0,4,0,0,10,13,15,14,8,0
10301,0,0,0,0,0,0,0,..,..,..,..,..,..,..,..,..,0,0,0,0,0,0,0,0,0,80,45,42,8,180,401,49,103,735,7,10,5,0,19,11,0,26,51,3,0,0,0,3,4,0,0,5,4,3,0,0,6,6,3,5,28,11,11,10,0,29,18,6,32,85,35,20,16,0,74,144,7,23,235,4384,4779,1948,139,11249,4395,641,1141,17417,4624,4703,2019,144,11487,3484,457,893,16325,239,125,122,20,506,765,65,109,1447,59,33,48,8,143,206,21,48,419,293,162,171,21,654,973,80,158,1867,107,35,43,7,189,462,34,66,759,0,0,0,0,0,13,3,3,27,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,7,0,0,0,10,9,0,0,22,120,37,43,7,207,488,38,77,804,7,4,0,0,13,14,0,32,62,0,0,0,0,0,4,0,17,21,4,3,0,0
10302,0,0,0,0,0,0,0,..,..,..,..,..,..,..,..,..,0,0,0,0,6,0,0,0,6,84,25,46,8,163,630,23,153,972,12,4,8,0,26,49,0,166,241,3,4,5,0,15,7,0,18,38,25,14,11,3,51,37,5,9,106,49,23,22,3,94,97,4,192,389,69,53,25,3,153,86,5,53,290,6138,5213,2323,226,13899,6269,407,2050,22633,5990,4915,2245,207,13358,5448,431,1681,20913,133,55,53,9,245,498,17,109,869,9,3,3,0,13,49,0,4,68,140,58,55,9,259,547,17,111,935,80,29,35,6,148,507,19,136,810,0,0,0,0,0,20,0,3,23,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7,0,0,0,0,8,0,0,14,88,29,35,7,157,534,19,141,848,13,0,5,0,21,59,6,132,214,0,0,3,0,9,0,0,13,21,9,13,9,0
10303,0,0,0,0,0,0,0,..,..,..,..,..,..,..,..,..,0,0,0,0,0,0,0,0,0,55,30,35,3,114,241,4,77,436,14,8,4,0,25,96,0,81,202,3,9,0,0,11,5,0,19,37,108,92,36,9,241,90,12,44,390,117,106,46,9,277,191,15,146,628,48,35,3,0,92,62,4,36,190,4841,4517,1930,153,11445,5233,446,1953,19078,5083,4531,1915,161,11695,4659,423,1276,18049,213,77,98,8,402,694,48,114,1260,12,6,16,6,32,77,7,13,131,224,82,117,10,432,774,49,125,1388,18,12,13,0,37,142,3,33,218,0,0,0,0,0,19,0,0,22,0,0,0,0,0,0,0,0,0,0,3,0,0,3,0,0,0,3,3,0,0,0,4,3,0,0,7,19,16,16,0,51,161,3,39,252,18,0,3,0,21,87,4,75,192,0,0,0,0,0,0,0,11,9,20,14,6,0
