STE_CODE_2021,C11_P_FoodHos_PS_15_19,C11_P_FoodHos_PS_20_24,C11_P_FoodHos_PS_25_34,C11_P_FoodHos_PS_35_44,C11_P_FoodHos_PS_45_54,C11_P_FoodHos_PS_55_64,C11_P_FoodHos_PS_65_74,C11_P_FoodHos_PS_75_84,C11_P_FoodHos_PS_85over,C11_P_FoodHos_PS_Tot,C11_P_MixFld_pr_15_19,C11_P_MixFld_pr_20_24,C11_P_MixFld_pr_25_34,C11_P_MixFld_pr_35_44,C11_P_MixFld_pr_45_54,C11_P_MixFld_pr_55_64,C11_P_MixFld_pr_65_74,C11_P_MixFld_pr_75_84,C11_P_MixFld_pr_85over,C11_P_MixFld_pr_Tot,C11_P_FldStu_ID_15_19,C11_P_FldStu_ID_20_24,C11_P_FldStu_ID_25_34,C11_P_FldStu_ID_35_44,C11_P_FldStu_ID_45_54,C11_P_FldStu_ID_55_64,C11_P_FldStu_ID_65_74,C11_P_FldStu_ID_75_84,C11_P_FldStu_ID_85over,C11_P_FldStu_ID_Tot,C11_P_FldStu_NS_15_19,C11_P_FldStu_NS_20_24,C11_P_FldStu_NS_25_34,C11_P_FldStu_NS_35_44,C11_P_FldStu_NS_45_54,C11_P_FldStu_NS_55_64,C11_P_FldStu_NS_65_74,C11_P_FldStu_NS_75_84,C11_P_FldStu_NS_85over,C11_P_FldStu_NS_Tot,C11_P_Tot_15_19,C11_P_Tot_20_24,C11_P_Tot_25_34,C11_P_Tot_35_44,C11_P_Tot_45_54,C11_P_Tot_55_64,C11_P_Tot_65_74,C11_P_Tot_75_84,C11_P_Tot_85over,C11_P_Tot_Tot,C16_P_NatPhy_sci_15_19,C16_P_NatPhy_sci_20_24,C16_P_NatPhy_sci_25_34,C16_P_NatPhy_sci_35_44,C16_P_NatPhy_sci_45_54,C16_P_NatPhy_sci_55_64,C16_P_NatPhy_sci_65_74,C16_P_NatPhy_sci_75_84,C16_P_NatPhy_sci_85over,C16_P_NatPhy_sci_Tot,C16_P_InfTec_15_19,C16_P_InfTec_20_24,C16_P_InfTec_25_34,C16_P_InfTec_35_44,C16_P_InfTec_45_54,C16_P_InfTec_55_64,C16_P_InfTec_65_74,C16_P_InfTec_75_84,C16_P_InfTec_85over,C16_P_InfTec_Tot,C16_P_EngRT_15_19,C16_P_EngRT_20_24,C16_P_EngRT_25_34,C16_P_EngRT_35_44,C16_P_EngRT_45_54,C16_P_EngRT_55_64,C16_P_EngRT_65_74,C16_P_EngRT_75_84,C16_P_EngRT_85over,C16_P_EngRT_Tot,C16_P_ArchBuild_15_19,C16_P_ArchBuild_20_24,C16_P_ArchBuild_25_34,C16_P_ArchBuild_35_44,C16_P_ArchBuild_45_54,C16_P_ArchBuild_55_64,C16_P_ArchBuild_65_74,C16_P_ArchBuild_75_84,C16_P_ArchBuild_85over,C16_P_ArchBuild_Tot,C16_P_AgEnv_RS_15_19,C16_P_AgEnv_RS_20_24,C16_P_AgEnv_RS_25_34,C16_P_AgEnv_RS_35_44,C16_P_AgEnv_RS_45_54,C16_P_AgEnv_RS_55_64,C16_P_AgEnv_RS_65_74,C16_P_AgEnv_RS_75_84,C16_P_AgEnv_RS_85over,C16_P_AgEnv_RS_Tot,C16_P_Health_15_19,C16_P_Health_20_24,C16_P_Health_25_34,C16_P_Health_35_44,C16_P_Health_45_54,C16_P_Health_55_64,C16_P_Health_65_74,C16_P_Health_75_84,C16_P_Health_85over,C16_P_Health_Tot,C16_P_Educ_15_19,C16_P_Educ_20_24,C16_P_Educ_25_34,C16_P_Educ_35_44,C16_P_Educ_45_54,C16_P_Educ_55_64,C16_P_Educ_65_74,C16_P_Educ_75_84,C16_P_Educ_85over,C16_P_Educ_Tot,C16_P_MngtCom_15_19,C16_P_MngtCom_20_24,C16_P_MngtCom_25_34,C16_P_MngtCom_35_44,C16_P_MngtCom_45_54,C16_P_MngtCom_55_64,C16_P_MngtCom_65_74,C16_P_MngtCom_75_84,C16_P_MngtCom_85over,C16_P_MngtCom_Tot,C16_P_Soc_cult_15_19,C16_P_Soc_cult_20_24,C16_P_Soc_cult_25_34,C16_P_Soc_cult_35_44,C16_P_Soc_cult_45_54,C16_P_Soc_cult_55_64,C16_P_Soc_cult_65_74,C16_P_Soc_cult_75_84,C16_P_Soc_cult_85over,C16_P_Soc_cult_Tot,C16_P_Creative_art_15_19,C16_P_Creative_art_20_24,C16_P_Creative_art_25_34,C16_P_Creative_art_35_44,C16_P_Creative_art_45_54,C16_P_Creative_art_55_64,C16_P_Creative_art_65_74,C16_P_Creative_art_75_84,C16_P_Creative_art_85over,C16_P_Creative_art_Tot,C16_P_FoodHos_PS_15_19,C16_P_FoodHos_PS_20_24,C16_P_FoodHos_PS_25_34,C16_P_FoodHos_PS_35_44,C16_P_FoodHos_PS_45_54,C16_P_FoodHos_PS_55_64,C16_P_FoodHos_PS_65_74,C16_P_FoodHos_PS_75_84,C16_P_FoodHos_PS_85over,C16_P_FoodHos_PS_Tot,C16_P_MixFld_pr_15_19,C16_P_MixFld_pr_20_24,C16_P_MixFld_pr_25_34,C16_P_MixFld_pr_35_44,C16_P_MixFld_pr_45_54,C16_P_MixFld_pr_55_64,C16_P_MixFld_pr_65_74,C16_P_MixFld_pr_75_84,C16_P_MixFld_pr_85over,C16_P_MixFld_pr_Tot,C16_P_FldStu_ID_15_19,C16_P_FldStu_ID_20_24,C16_P_FldStu_ID_25_34,C16_P_FldStu_ID_35_44,C16_P_FldStu_ID_45_54,C16_P_FldStu_ID_55_64,C16_P_FldStu_ID_65_74,C16_P_FldStu_ID_75_84,C16_P_FldStu_ID_85over,C16_P_FldStu_ID_Tot,C16_P_FldStu_NS_15_19,C16_P_FldStu_NS_20_24,C16_P_FldStu_NS_25_34,C16_P_FldStu_NS_35_44,C16_P_FldStu_NS_45_54,C16_P_FldStu_NS_55_64,C16_P_FldStu_NS_65_74,C16_P_FldStu_NS_75_84,C16_P_FldStu_NS_85over,C16_P_FldStu_NS_Tot,C16_P_Tot_15_19,C16_P_Tot_20_24,C16_P_Tot_25_34,C16_P_Tot_35_44,C16_P_Tot_45_54,C16_P_Tot_55_64,C16_P_Tot_65_74,C16_P_Tot_75_84,C16_P_Tot_85over,C16_P_Tot_Tot
1,4287,18381,39885,33403,22474,14742,7746,3196,940,145056,564,732,589,597,709,607,366,258,118,4524,353,2298,7660,8889,7564,5351,2590,1329,538,36581,43985,38528,77585,74149,73514,66478,62180,60126,34528,531079,69328,224637,683017,672572,602687,464295,266166,151769,62456,3196925,249,7592,22362,21743,19734,15939,10566,3843,1117,103136,901,7912,40832,40795,20256,10038,3277,486,77,124586,2298,24659,89236,89809,99713,92517,68858,35036,11709,513837,2153,13533,41503,39685,37355,29817,20077,10460,2888,197481,934,4571,13285,15183,14013,10810,6286,2712,712,68505,2070,17671,72009,62811,61015,58616,32605,15203,5487,327484,789,9989,47261,48765,47461,56467,35781,13961,4114,264580,5480,51768,199367,183911,147459,104991,62110,21071,7847,783993,4016,30495,96193,91997,80093,62894,34096,10587,2877,413253,1723,16033,44144,32428,21399,13997,7977,3248,1074,142020,4636,16583,44358,35779,27704,17245,11777,4054,1464,163602,945,1289,1278,931,1133,1364,1511,1277,541,10266,512,2751,8921,10431,9535,6927,4309,1959,794,46130,36716,39875,91769,78032,76226,71602,66223,53779,36985,551215,63427,244716,812513,752294,663102,553215,365452,177679,77685,3710096
2,4288,17698,36612,27560,18495,11817,6102,2466,658,125688,349,577,485,375,386,304,237,193,85,3006,275,2671,8940,9171,7028,4949,2236,1128,448,36847,33351,29243,55812,53358,52285,48426,46902,47083,27488,393941,54353,188190,561612,519737,439416,333508,190201,110014,46503,2443539,279,9428,22176,21081,16490,12393,7571,2592,885,92892,631,6851,37546,34954,16478,8166,2476,298,64,107466,2353,20043,74183,72110,77524,66955,48840,24569,8273,394839,2132,14344,42533,31478,27881,21134,13210,7174,2039,161923,738,3933,12341,13022,11217,7591,3981,1647,501,54961,1208,16300,67641,54118,49995,43817,24953,11734,4138,273894,599,7760,40297,40237,40525,44682,31069,11686,3285,220140,3490,39757,150577,134717,100243,64649,34645,11978,4951,545011,3872,27071,80931,75553,65763,51472,26951,7480,2075,341164,1874,15169,40346,26425,15815,10060,5637,2152,851,118331,3555,15637,42938,29636,23301,13824,9308,3299,1139,142637,757,1055,997,673,813,910,1137,976,345,7666,366,3062,9871,10708,8791,6236,3650,1550,708,44936,28587,31511,71463,60002,58481,53646,50430,40677,25399,420187,50446,211904,693840,604707,513317,405527,263850,127811,54644,2926055
3,4897,13781,27734,25037,15826,10644,5037,1685,434,105081,430,478,425,331,336,306,276,159,88,2826,330,1161,4149,5141,4430,3132,1630,732,235,20943,29001,25527,48389,48505,46274,40722,36158,33107,19379,327070,57374,145616,397457,399063,350446,266334,150016,77783,31233,1875320,316,4322,12284,11624,9494,7129,4771,1593,418,51953,1385,4576,14143,14591,8508,4380,1556,224,21,49385,3540,19589,65435,65135,67704,60142,44474,20633,5534,352200,1591,8619,29902,27428,25363,22757,15462,7079,1724,139929,942,3021,8743,10472,8804,6237,3312,1349,338,43205,1620,13839,47682,43896,43852,37116,20451,8805,2805,220072,706,5513,27647,35559,35637,32916,20665,7584,1884,168107,8042,31033,94446,91759,77012,51681,27450,8723,2679,392831,6332,20773,54144,53193,45846,35559,18538,4880,1067,240331,2365,9381,19472,14154,9561,6208,3847,1572,506,67061,6572,14208,31510,26143,20536,12550,8442,2472,731,123168,787,790,721,518,597,748,920,815,381,6285,514,1379,4740,5947,5536,3982,2414,1093,412,26020,26305,28490,59382,53061,53717,47772,41897,30378,19578,360580,61014,165535,470258,453488,412166,329182,214203,97196,38073,2241122
4,1395,4624,9297,8068,5549,3840,1944,765,216,35696,86,162,155,174,173,135,94,72,36,1092,95,446,1709,1849,1586,1235,626,366,134,8048,9137,7183,13134,13737,14761,13810,13670,15146,9452,110038,15993,48749,136577,134913,126952,105008,60037,35924,16051,680214,40,1520,5169,5046,4057,3380,2298,798,238,22546,276,1189,5497,5068,2937,1770,599,93,11,17437,925,6363,21084,20955,23494,21206,17042,8945,3038,123059,666,3217,8385,6278,6608,6065,4485,2502,770,38976,340,1328,4030,4274,3732,2613,1438,506,194,18467,438,4850,18392,16238,16853,16792,8787,3701,1494,87552,140,1978,9798,10227,9966,13077,10060,3112,1086,59442,1357,8402,31168,31206,25761,18417,10568,3710,1405,131985,1544,6856,20514,19854,18739,15677,8762,2354,659,94966,471,2391,6226,4742,3345,2439,1526,606,231,21979,1395,4417,10388,8170,6870,4471,3149,1065,338,40247,147,204,233,224,303,284,388,382,187,2358,113,450,1825,2080,1828,1348,976,453,229,9306,7599,7215,15514,14299,15746,15272,14458,11905,8112,110119,15465,50390,158225,148649,140241,122814,84538,40120,17991,778427
5,1823,6754,13719,12318,8309,5219,2508,901,247,51790,189,219,201,194,197,186,141,70,42,1451,124,608,2048,2372,2094,1456,784,359,142,9983,14839,15193,31622,29433,26216,22054,17112,16370,9100,181933,27966,82333,225756,217097,191406,142510,76516,40779,15822,1020182,120,3523,10148,9304,7261,5032,2981,904,285,39548,595,2104,8535,8031,4492,2192,699,105,11,26752,2021,13767,48168,45029,42305,34530,22430,10048,2660,220967,993,5238,16800,12657,11851,9455,6320,3375,819,67501,439,1601,5474,5808,4706,3297,1929,823,210,24292,905,7087,27453,23602,22152,18820,10724,4887,1509,117138,513,3331,15550,18736,19642,18418,10252,4072,1087,91595,2784,13361,51540,48592,39739,26156,15212,5626,1760,204771,2243,8920,28692,26321,21999,17650,9261,2662,688,118437,1090,4440,10623,7460,4864,3274,2072,837,264,34924,1831,6203,17631,13155,10647,6460,3945,1288,432,61595,334,356,424,350,332,382,483,416,147,3229,143,794,2902,2940,2857,1940,1058,559,185,13380,12690,14335,37523,30966,29144,24554,20024,16058,10433,195717,26703,85058,281460,252954,221990,172155,107384,51655,20489,1219846
6,533,1652,3015,2752,1887,1349,670,205,57,12118,22,27,26,22,29,29,29,16,13,225,26,133,426,494,494,463,243,99,42,2418,3016,1963,3414,4080,4582,4971,5265,4913,2447,34644,5399,13646,35153,38948,40645,34958,20913,11650,4449,205760,7,325,1269,1438,1294,1105,799,254,91,6589,66,452,1347,1032,721,481,210,38,9,4351,258,1727,4910,5424,6458,6710,5097,2548,759,33893,173,1099,2849,2196,2625,2754,1742,919,245,14597,122,472,1350,1624,1561,1111,555,239,63,7097,112,1109,3925,3758,4568,5011,3050,1332,471,23331,36,388,2556,3286,3453,4499,3248,1468,419,19351,428,2229,7046,6981,6734,5567,3225,1101,447,33749,346,1918,5131,5429,5831,5325,2878,765,205,27833,65,501,1467,1383,1184,1045,798,298,94,6834,438,1458,3296,2837,2295,1602,1027,342,91,13389,50,67,65,54,57,124,161,111,53,747,30,116,451,547,609,572,349,153,58,2882,3036,2341,4579,4607,5686,6093,6283,4559,2134,39308,5162,14221,40241,40596,43059,41994,29421,14119,5134,233961
7,180,630,1301,1000,673,319,100,24,9,4229,9,14,36,35,21,19,7,6,0,141,14,82,318,353,228,153,49,13,4,1209,2613,2593,5563,4910,3918,2834,1454,672,217,24760,3564,7796,23246,21204,17782,12216,4531,1365,329,92034,0,125,519,570,429,301,138,26,9,2128,40,169,623,548,268,172,48,11,0,1870,174,1154,4541,3621,3401,2392,1129,325,62,16805,47,304,1608,1140,929,735,396,134,23,5313,76,215,664,684,516,304,105,26,10,2599,30,500,2880,2173,1770,1418,536,172,42,9518,17,187,1591,1669,1635,1509,707,167,22,7506,190,1000,4409,3678,3000,1841,672,130,29,14950,135,707,3065,2606,2240,1656,555,141,19,11135,55,182,694,518,330,251,115,26,7,2175,192,545,1539,1012,799,396,164,44,10,4697,34,43,66,45,42,38,29,7,0,293,30,82,379,366,339,177,77,14,5,1467,2661,3194,7669,5737,5177,3777,1968,682,222,31091,3689,8404,30253,24370,20881,14965,6635,1906,444,111546
8,244,956,1851,1549,908,509,270,127,20,6442,22,53,26,21,12,15,10,8,3,171,23,201,684,756,684,472,230,122,47,3218,1935,2268,3469,2842,2490,2059,1709,1628,1108,19507,3177,14695,45379,40151,34963,26670,13442,6443,2624,187552,34,1002,2840,2552,2356,1902,1338,468,184,12676,135,839,3923,4082,2745,1602,473,49,5,13852,61,1022,4144,3955,3619,3081,2258,1140,420,19703,81,705,2319,1791,1468,1145,825,446,138,8913,18,234,818,868,703,515,290,138,36,3630,48,887,4430,3613,3029,2747,1502,793,272,17319,46,511,2787,2986,2539,2712,2142,944,234,14894,256,2914,10629,10219,8186,5529,3128,975,364,42196,295,2868,11035,9351,7518,6229,4197,1338,378,43206,118,866,2789,2154,1481,887,454,172,69,8994,221,838,2223,1675,1119,664,384,142,45,7318,47,64,34,28,25,37,46,40,21,346,30,153,760,886,746,507,346,179,76,3686,1357,2087,4706,3701,3183,2643,2167,1744,1321,22911,2755,15007,53433,47870,38709,30186,19542,8581,3559,219648
9,0,6,13,10,0,0,0,0,0,35,0,0,0,0,0,6,0,0,0,4,0,0,6,4,7,0,0,0,0,13,60,150,468,161,72,54,18,8,4,987,70,203,627,342,263,157,34,13,4,1711,0,0,14,14,8,7,0,4,0,55,0,0,12,7,8,0,0,0,0,27,8,13,45,58,81,72,49,15,3,340,0,4,13,20,33,42,12,9,0,139,0,4,7,20,10,13,0,0,0,58,0,4,13,20,14,32,24,3,4,124,0,3,28,39,31,22,20,8,3,150,4,16,56,84,71,55,31,9,0,326,9,3,47,41,27,20,15,0,3,171,0,4,6,10,5,3,3,0,0,40,0,9,27,31,19,20,4,0,0,111,0,0,0,0,0,3,0,0,0,7,0,4,3,5,8,4,0,0,0,29,49,68,173,128,140,118,79,41,11,812,71,135,441,484,461,423,242,95,25,2377
