STE_CODE_2021,Ag_forest_fish_C11_M,Ag_forest_fish_C11_F,Ag_forest_fish_C11_P,Ag_forest_fish_C16_M,Ag_forest_fish_C16_F,Ag_forest_fish_C16_P,Ag_forest_fish_C21_M,Ag_forest_fish_C21_F,Ag_forest_fish_C21_P,Mining_C11_M,Mining_C11_F,Mining_C11_P,Mining_C16_M,Mining_C16_F,Mining_C16_P,Mining_C21_M,Mining_C21_F,Mining_C21_P,Manuf_C11_M,Manuf_C11_F,Manuf_C11_P,Manuf_C16_M,Manuf_C16_F,Manuf_C16_P,Manuf_C21_M,Manuf_C21_F,Manuf_C21_P,Ele_gas_wat_was_ser_C11_Cen_M,Ele_gas_wat_was_ser_C11_Cen_F,Ele_gas_wat_was_ser_C11_Cen_P,Ele_gas_wat_was_ser_C16_Cen_M,Ele_gas_wat_was_ser_C16_Cen_F,Ele_gas_wat_was_ser_C16_Cen_P,Ele_gas_wat_was_ser_C21_Cen_M,Ele_gas_wat_was_ser_C21_Cen_F,Ele_gas_wat_was_ser_C21_Cen_P,Constr_C11_M,Constr_C11_F,Constr_C11_P,Constr_C16_M,Constr_C16_F,Constr_C16_P,Constr_C21_M,Constr_C21_F,Constr_C21_P,Whlesale_tde_C11_M,Whlesale_tde_C11_F,Whlesale_tde_C11_P,Whlesale_tde_C16_M,Whlesale_tde_C16_F,Whlesale_tde_C16_P,Whlesale_tde_C21_M,Whlesale_tde_C21_F,Whlesale_tde_C21_P,Retail_tde_C11_M,Retail_tde_C11_F,Retail_tde_C11_P,Retail_tde_C16_M,Retail_tde_C16_F,Retail_tde_C16_P,Retail_tde_C21_M,Retail_tde_C21_F,Retail_tde_C21_P,Accom_food_S_C11_M,Accom_food_S_C11_F,Accom_food_S_C11_P,Accom_food_S_C16_M,Accom_food_S_C16_F,Accom_food_S_C16_P,Accom_food_S_C21_M,Accom_food_S_C21_F,Accom_food_S_C21_P,Tpt_post_ware_C11_M,Tpt_post_ware_C11_F,Tpt_post_ware_C11_P,Tpt_post_ware_C16_M,Tpt_post_ware_C16_F,Tpt_post_ware_C16_P,Tpt_post_ware_C21_M,Tpt_post_ware_C21_F,Tpt_post_ware_C21_P,Inf_Medi_Tele_C11_M,Inf_Medi_Tele_C11_F,Inf_Medi_Tele_C11_P,Inf_Medi_Tele_C16_M,Inf_Medi_Tele_C16_F,Inf_Medi_Tele_C16_P,Inf_Medi_Tele_C21_M,Inf_Medi_Tele_C21_F,Inf_Medi_Tele_C21_P,Finan_Insu_S_C11_M,Finan_Insu_S_C11_F,Finan_Insu_S_C11_P,Finan_Insu_S_C16_M,Finan_Insu_S_C16_F,Finan_Insu_S_C16_P,Finan_Insu_S_C21_M,Finan_Insu_S_C21_F,Finan_Insu_S_C21_P,Rent_hir_re_est_S_C11_Cen_M,Rent_hir_re_est_S_C11_Cen_F,Rent_hir_re_est_S_C11_Cen_P,Rent_hir_re_est_S_C16_Cen_M,Rent_hir_re_est_S_C16_Cen_F,Rent_hir_re_est_S_C16_Cen_P,Rent_hir_re_est_S_C21_Cen_M,Rent_hir_re_est_S_C21_Cen_F,Rent_hir_re_est_S_C21_Cen_P,Prof_scie_tech_S_C11_Cens_M,Prof_scie_tech_S_C11_Cens_F,Prof_scie_tech_S_C11_Cens_P,Prof_scie_tech_S_C16_Cens_M,Prof_scie_tech_S_C16_Cens_F,Prof_scie_tech_S_C16_Cens_P,Prof_scie_tech_S_C21_Cens_M,Prof_scie_tech_S_C21_Cens_F,Prof_scie_tech_S_C21_Cens_P,Admin_supp_S_C11_M,Admin_supp_S_C11_F,Admin_supp_S_C11_P,Admin_supp_S_C16_M,Admin_supp_S_C16_F,Admin_supp_S_C16_P,Admin_supp_S_C21_M,Admin_supp_S_C21_F,Admin_supp_S_C21_P,Pub_admin_safet_C11_M,Pub_admin_safet_C11_F,Pub_admin_safet_C11_P,Pub_admin_safet_C16_M,Pub_admin_safet_C16_F,Pub_admin_safet_C16_P,Pub_admin_safet_C21_M,Pub_admin_safet_C21_F,Pub_admin_safet_C21_P,Educ_trn_C11_M,Educ_trn_C11_F,Educ_trn_C11_P,Educ_trn_C16_M,Educ_trn_C16_F,Educ_trn_C16_P,Educ_trn_C21_M,Educ_trn_C21_F,Educ_trn_C21_P,Hea_car_soc_assist_C11_Cens_M,Hea_car_soc_assist_C11_Cens_F,Hea_car_soc_assist_C11_Cens_P,Hea_car_soc_assist_C16_Cens_M,Hea_car_soc_assist_C16_Cens_F,Hea_car_soc_assist_C16_Cens_P,Hea_car_soc_assist_C21_Cens_M,Hea_car_soc_assist_C21_Cens_F,Hea_car_soc_assist_C21_Cens_P,Arts_rec_S_C11_M,Arts_rec_S_C11_F,Arts_rec_S_C11_P,Arts_rec_S_C16_M,Arts_rec_S_C16_F,Arts_rec_S_C16_P,Arts_rec_S_C21_M,Arts_rec_S_C21_F,Arts_rec_S_C21_P,Oth_services_C11_M,Oth_services_C11_F,Oth_services_C11_P,Oth_services_C16_M,Oth_services_C16_F,Oth_services_C16_P,Oth_services_C21_M,Oth_services_C21_F,Oth_services_C21_P,Inad_descr_Ns_C11_M,Inad_descr_Ns_C11_F,Inad_descr_Ns_C11_P,Inad_descr_Ns_C16_M,Inad_descr_Ns_C16_F,Inad_descr_Ns_C16_P,Inad_descr_Ns_C21_M,Inad_descr_Ns_C21_F,Inad_descr_Ns_C21_P,Tot_C11_M,Tot_C11_F,Tot_C11_P,Tot_C16_M,Tot_C16_F,Tot_C16_P,Tot_C21_M,Tot_C21_F,Tot_C21_P
1,49343,20230,69575,51009,21619,72623,51364,23365,74728,27618,3568,31186,27867,3871,31735,30543,4861,35406,192218,72644,264867,139058,58275,197335,139365,62289,201654,26950,7256,34203,25344,6532,31881,27363,8226,35584,200015,30043,230060,245725,36764,282493,267081,48439,315520,88558,50335,138891,65798,37921,103720,65218,38250,103466,139509,185223,324726,142785,183609,326394,147985,183499,331486,96591,113791,210376,111930,127293,239221,107624,119840,227466,119857,35167,155024,121827,36934,158763,128657,40947,169608,42153,30334,72492,43917,29482,73402,40461,27610,68068,77107,81314,158421,84830,82435,167257,98572,95110,193679,25823,25728,51555,29998,29653,59650,31297,31344,62633,135693,111598,247295,150005,124074,274081,176834,149760,326595,49928,52423,102354,55627,61856,117484,57555,60429,117988,110883,81750,192631,113248,90920,204171,120470,102439,222909,75934,173020,248954,82060,200509,282567,88531,233705,322236,79128,285193,364324,94176,328018,422201,121798,407368,529176,24945,21389,46329,27824,23952,51776,26582,25199,51789,66828,50786,117615,67734,56743,124479,68001,57382,125380,45353,32101,77456,98297,60816,159108,100527,68262,168787,1674412,1463917,3138332,1779049,1601285,3380336,1895828,1788326,3684158
2,39461,17594,57053,41932,18986,60913,45144,22075,67220,7530,1592,9118,7540,1597,9141,7744,1617,9362,196990,74065,271053,151724,60997,212722,152967,67857,220823,20116,7512,27626,22406,8399,30808,25454,10558,36012,185476,25504,210973,200807,27340,228150,256671,41309,297981,73774,40320,114095,56795,31522,88322,57949,31389,89336,117371,156346,273715,122391,157246,279636,131303,166167,297471,69205,84696,153899,84630,96200,180829,91501,104795,196300,90479,27737,118215,99726,30340,130070,113090,34172,147258,30047,20044,50089,32154,20049,52197,30323,19351,49676,51897,52801,104703,54076,52597,106671,66738,61623,128361,17731,17316,35046,21393,21617,43016,23100,23166,46271,109599,86637,196237,120797,96603,217402,147110,119819,266926,41955,41232,83185,45798,47518,93315,49738,49653,99383,68007,66944,134952,73306,71012,144316,89856,88220,178077,62027,140296,202319,70865,165409,236280,78706,198394,277100,59924,232495,292421,71207,270795,342003,97248,348654,445906,22997,20610,43607,28261,24510,52769,27871,26721,54589,50759,40385,91144,53400,44848,98254,57558,52218,109773,36172,24995,61170,80896,48434,129332,88551,56521,145076,1351517,1179110,2530628,1440118,1296011,2736127,1638622,1524268,3162893
3,37472,17945,55421,40469,20140,60608,40859,21584,62444,43980,8977,52954,42167,7827,49997,45440,10044,55486,129703,41966,171671,94975,33815,128783,101359,38931,140285,18945,5879,24828,18453,5427,23884,21840,6971,28814,157347,26437,183783,165624,25707,191338,188544,33693,222234,49761,24527,74289,38209,18163,56371,38709,19037,57743,88570,129046,217614,88346,123429,211780,96752,129718,226468,58535,83327,141858,67684,88988,156672,77144,98707,175850,81139,25929,107069,81637,26448,108084,87236,28635,115870,14159,11202,25358,14945,10319,25267,14069,9315,23379,22630,31516,54149,23592,30695,54290,28057,34376,62436,17613,19388,37009,20064,22439,42502,20355,22569,42931,71744,61008,132752,70958,62686,133652,86823,77302,164129,30893,34122,65014,34519,40818,75336,38359,43568,81926,75389,61427,136818,77663,62501,140169,82215,68142,150358,45769,115151,160924,52161,139988,192147,56282,159738,216015,51085,191478,242558,59497,217450,276948,83716,291798,375511,14591,13858,28443,17301,16362,33668,18637,18915,37550,43308,35402,78712,44219,39256,83470,48911,46856,95768,28852,19207,48059,57496,34010,91506,66365,42529,108892,1081488,957795,2039276,1109978,1026476,2136450,1241677,1202413,2444090
4,20989,7801,28794,21888,8195,30086,22540,9091,31637,8076,1575,9646,7846,1377,9226,8981,1986,10969,59024,18867,77894,43995,15583,59580,43323,17116,60445,7617,2310,9927,7021,2149,9170,8361,2462,10821,48532,7068,55596,49364,7272,56638,60238,9405,69648,17938,7923,25858,15037,6156,21188,13922,5848,19768,35905,47160,83069,34795,44949,79745,36282,44896,81181,19045,27203,46244,21554,28182,49743,24719,30762,55478,24684,6012,30702,24656,6296,30950,27731,6753,34480,6256,4328,10585,5891,3736,9632,5357,3237,8596,9040,13009,22046,8341,11953,20294,9998,13118,23121,4685,4763,9450,4803,5161,9962,4960,5142,10108,21652,18897,40553,22442,19061,41499,28573,23465,52037,11235,14203,25436,12514,14249,26771,14640,17003,31645,28411,23859,52264,28121,24794,52912,30063,25762,55830,18143,40494,58637,19203,45305,64506,20997,52938,73937,20832,79768,100600,23493,86985,110483,30554,106692,137250,4739,4569,9309,5188,4962,10149,5796,5940,11737,16207,12632,28842,15900,13202,29100,17338,15666,33002,8263,5633,13893,15471,9016,24487,17209,10521,27731,391279,348084,739359,387523,358587,746105,431597,407810,839414
5,18393,7991,26382,19739,8877,28612,20029,9610,29641,53619,14322,67941,59227,13316,72542,77276,20763,98036,69453,20939,90391,47951,16595,64543,50029,18758,68785,9484,3091,12580,9942,3438,13385,10972,4166,15135,95278,16566,111845,96950,16509,113457,96838,18256,115090,26226,12798,39023,20181,9318,29500,22183,10048,32226,43920,66804,110724,44653,65754,110404,46975,67639,114617,27038,37757,64796,33050,41572,74624,37240,48001,85241,37695,12056,49755,40221,12916,53133,44976,14139,59111,6708,5000,11712,7010,4438,11449,6170,3921,10087,11952,16003,27954,12062,15180,27242,12518,15737,28251,9054,10051,19101,9227,10917,20142,8598,10032,18626,46019,32972,78990,41952,32193,74144,50739,39378,90117,16396,17946,34344,17917,20041,37954,18835,21461,40292,36664,31926,68592,38143,34131,72278,40675,36744,77420,24352,63717,88079,26464,74486,100952,28479,85937,114415,22453,91316,113773,27037,108862,135898,35758,141809,177570,7358,7438,14790,9160,9304,18464,10079,11058,21131,23847,19018,42864,24467,21393,45855,25389,25152,50545,14822,9420,24247,34242,18900,53145,37772,22133,59901,600740,497141,1097879,619598,538138,1157735,681527,624724,1306249
6,7616,2740,10348,8394,2987,11382,9635,3787,13422,2528,263,2789,2038,184,2221,2353,305,2653,14488,4480,18967,11127,3732,14859,11919,4281,16202,2755,853,3609,2659,856,3514,3263,1199,4463,14867,1668,16535,14819,1620,16442,19455,2369,21821,5145,1960,7100,3554,1288,4843,4272,1462,5729,10165,14379,24543,9923,13669,23596,10394,14035,24430,5952,9817,15762,6614,9930,16541,8348,11117,19461,7240,2046,9291,7083,2067,9154,8113,2255,10368,1694,1553,3245,1646,1282,2932,1466,1096,2561,2019,3228,5244,1753,2793,4542,1948,2797,4751,1293,1512,2812,1219,1462,2679,1249,1568,2819,5620,4629,10248,5551,4663,10214,6901,6005,12908,2680,3096,5775,2843,3558,6400,3367,4029,7399,9003,10590,19587,7909,9050,16964,8692,9858,18545,5908,13550,19462,6001,14099,20104,7006,17047,24060,5191,20847,26036,6325,24357,30683,9514,32210,41724,1901,1660,3563,2097,1921,4017,2359,2259,4619,4407,3686,8093,4255,3861,8117,4958,4678,9641,2597,1679,4275,4676,2703,7376,4404,2734,7136,113074,104224,217297,110488,106094,216584,129624,125097,254722
7,1269,634,1899,1382,710,2091,1563,880,2448,2215,476,2687,2151,374,2522,2164,446,2612,3177,781,3964,1854,588,2440,1784,624,2405,981,333,1315,1196,431,1631,1171,428,1600,6908,1151,8061,8835,1539,10366,7093,1504,8598,1465,635,2108,1216,518,1737,1127,485,1611,3529,4467,8000,3331,4142,7474,3507,4230,7736,2683,3443,6124,3202,3751,6954,3793,4116,7909,3470,1181,4651,3399,1114,4510,3307,999,4306,581,461,1045,592,412,1005,471,302,772,399,870,1269,352,765,1119,326,665,992,616,826,1445,654,844,1497,506,695,1205,2445,2374,4816,3276,2376,5657,2595,2594,5195,1487,1499,2984,1392,1729,3122,1501,1646,3142,11549,9051,20603,10268,8333,18607,10370,9070,19442,2471,6317,8786,2562,6974,9535,2670,7370,10038,2507,7380,9886,2955,8419,11373,4412,11531,15947,1159,1041,2204,1052,1111,2156,1215,1240,2457,2834,1868,4709,2440,1743,4185,2289,1878,4167,1106,813,1923,3008,1712,4725,2655,1805,4455,52858,45614,98479,55113,47592,102708,54524,52506,107035
8,244,112,356,376,216,592,419,240,657,81,13,97,100,17,114,122,27,150,2958,1065,4025,2412,966,3381,2970,1157,4124,1078,408,1489,1047,407,1450,1327,550,1878,10721,1266,11988,10780,1249,12028,14570,1980,16544,1769,652,2419,1525,521,2042,1450,509,1957,6988,7848,14840,6962,7643,14603,7763,8268,16035,5761,5523,11281,7115,6288,13400,8373,7393,15770,3427,975,4402,3640,1074,4714,4262,992,5256,2033,1635,3664,2158,1477,3631,2254,1464,3712,1581,1970,3551,1485,1684,3167,1679,1835,3513,1168,1262,2434,1297,1370,2666,1442,1565,3008,11562,7572,19142,11406,7882,19292,15726,11409,27138,2322,2289,4615,2668,2569,5232,3192,3296,6495,32169,31941,64112,31819,31469,63291,36522,37505,74027,6179,10968,17144,6755,12899,19646,7709,15658,23370,4187,13795,17980,5253,16067,21324,7494,20991,28483,1649,1646,3298,1737,1853,3590,2091,2452,4543,3085,3134,6215,2956,3153,6112,3367,3743,7108,1623,1220,2845,3250,2114,5364,2925,1902,4833,100590,95303,195885,104719,100907,205628,125651,122948,248603
9,0,0,0,24,10,36,21,16,30,119,17,135,130,17,151,72,14,93,5,3,7,27,21,45,19,9,32,23,3,31,39,4,44,41,9,50,63,13,77,136,6,145,186,25,209,7,5,14,13,6,19,18,4,20,47,35,85,70,120,187,70,128,198,19,28,46,98,155,250,98,160,257,50,17,68,75,32,107,70,33,104,0,0,0,12,9,19,12,5,15,0,3,3,0,22,21,0,22,26,3,0,5,11,14,28,12,9,24,21,15,33,20,26,44,28,35,60,26,34,63,46,76,121,59,93,151,225,138,370,281,152,433,237,182,419,31,83,119,34,121,156,29,129,161,15,48,68,16,93,110,31,124,156,15,15,26,43,31,70,32,35,66,17,7,26,36,27,57,48,20,66,12,8,19,71,39,110,69,48,117,705,470,1182,1189,979,2168,1149,1107,2251
