STE_CODE_2021,C21_75_84_No_need_assist_F,C21_75_84_No_need_assist_P,C21_75_84_Need_assist_ns_M,C21_75_84_Need_assist_ns_F,C21_75_84_Need_assist_ns_P,C21_75_84_Tot_M,C21_75_84_Tot_F,C21_75_84_Tot_P,C21_85over_Need_assist_M,C21_85over_Need_assist_F,C21_85over_Need_assist_P,C21_85over_No_need_assist_M,C21_85over_No_need_assist_F,C21_85over_No_need_assist_P,C21_85over_Need_assist_ns_M,C21_85over_Need_assist_ns_F,C21_85over_Need_assist_ns_P,C21_85over_Tot_M,C21_85over_Tot_F,C21_85over_Tot_P,C21_Tot_Need_assist_M,C21_Tot_Need_assist_F,C21_Tot_Need_assist_P,C21_Tot_No_need_assist_M,C21_Tot_No_need_assist_F,C21_Tot_No_need_assist_P,C21_Tot_Need_assist_ns_M,C21_Tot_Need_assist_ns_F,C21_Tot_Need_assist_ns_P,C21_Tot_Tot_M,C21_Tot_Tot_F,C21_Tot_Tot_P
1,167911,325556,13930,16170,30095,211315,240212,451521,29704,58153,87857,33402,39993,73391,7972,14676,22649,71078,112822,183895,216590,248123,464712,3519486,3609213,7128700,248092,230656,478750,3984168,4087992,8072163
2,127564,246040,9651,10674,20330,159920,184873,344801,24589,49116,73706,25679,30241,55920,4749,8096,12848,55017,87453,142475,173340,208730,382073,2846171,2924324,5770498,181454,169470,350921,3200965,3302524,6503491
3,102383,199643,8172,8947,17124,131063,143932,274997,16156,31668,47824,18248,21317,39565,3606,6143,9750,38010,59128,97140,150131,159238,309366,2210475,2302745,4513222,179796,153748,333538,2540402,2615731,5156138
4,44445,84626,2575,2921,5498,51936,60720,112656,7768,16159,23929,9261,10974,20237,1190,1969,3160,18219,29102,47325,55099,63535,118634,778584,800244,1578818,44914,39148,84059,878597,902927,1781516
5,50787,98715,3936,4348,8284,62083,69044,131131,7586,15407,22998,10089,11899,21991,1965,3153,5115,19640,30459,50106,57092,65258,122348,1168874,1197966,2366843,96889,73944,170835,1322855,1337168,2660026
6,14282,27415,1032,1118,2147,17236,19415,36649,2018,4093,6113,2638,3248,5880,409,589,997,5065,7930,12995,18155,19870,38023,239951,249528,489476,15661,14406,30068,273767,283804,557571
7,1607,3419,284,220,509,2642,2516,5157,228,414,638,217,174,386,55,77,140,500,665,1157,4187,4117,8308,99186,99919,199105,14153,11035,25191,117526,115071,232605
8,7743,14631,447,476,922,8784,10563,19350,1196,2316,3515,1477,1698,3173,192,297,493,2865,4311,7181,9256,11517,20782,204903,209410,414311,10197,9215,19407,224356,230142,454499
9,87,179,20,17,41,125,129,257,19,14,32,17,13,30,0,0,3,36,27,66,86,88,175,1853,1866,3716,587,316,903,2526,2270,4788
