STE_CODE_2021,C21_SH_Tot_NPGH_6_mor,C21_SH_Tot_Tot,C21_SDRTHT_0b_s_a_b_NPGH_2,C21_SDRTHT_0b_s_a_b_NPGH_3,C21_SDRTHT_0b_s_a_b_NPGH_4,C21_SDRTHT_0b_s_a_b_NPGH_5,C21_SDRTHT_0b_s_a_b_NPGH_6mor,C21_SDRTHT_0b_s_a_b_Tot,C21_SDRTHT_1b_NPGH_2,C21_SDRTHT_1b_NPGH_3,C21_SDRTHT_1b_NPGH_4,C21_SDRTHT_1b_NPGH_5,C21_SDRTHT_1b_NPGH_6_mor,C21_SDRTHT_1b_Tot,C21_SDRTHT_2b_NPGH_2,C21_SDRTHT_2b_NPGH_3,C21_SDRTHT_2b_NPGH_4,C21_SDRTHT_2b_NPGH_5,C21_SDRTHT_2b_NPGH_6_mor,C21_SDRTHT_2b_Tot,C21_SDRTHT_3b_NPGH_2,C21_SDRTHT_3b_NPGH_3,C21_SDRTHT_3b_NPGH_4,C21_SDRTHT_3b_NPGH_5,C21_SDRTHT_3b_NPGH_6_mor,C21_SDRTHT_3b_Tot,C21_SDRTHT_4mb_NPGH_2,C21_SDRTHT_4mb_NPGH_3,C21_SDRTHT_4mb_NPGH_4,C21_SDRTHT_4mb_NPGH_5,C21_SDRTHT_4mb_NPGH_6_mor,C21_SDRTHT_4mb_Tot,C21_SDRTHT_NB_NS_NPGH_2,C21_SDRTHT_NB_NS_NPGH_3,C21_SDRTHT_NB_NS_NPGH_4,C21_SDRTHT_NB_NS_NPGH_5,C21_SDRTHT_NB_NS_NPGH_6_mor,C21_SDRTHT_NB_NS_Tot,C21_SDRTHT_Tot_NPGH_2,C21_SDRTHT_Tot_NPGH_3,C21_SDRTHT_Tot_NPGH_4,C21_SDRTHT_Tot_NPGH_5,C21_SDRTHT_Tot_NPGH_6_mor,C21_SDRTHT_Tot_Tot,C21_F_a_0b_s_a_b_NPGH_2,C21_F_a_0b_s_a_b_NPGH_3,C21_F_a_0b_s_a_b_NPGH_4,C21_F_a_0b_s_a_b_NPGH_5,C21_F_a_0b_s_a_b_NPGH_6_mor,C21_F_a_0b_s_a_b_Tot,C21_F_a_1b_NPGH_2,C21_F_a_1b_NPGH_3,C21_F_a_1b_NPGH_4,C21_F_a_1b_NPGH_5,C21_F_a_1b_NPGH_6_mor,C21_F_a_1b_Tot,C21_F_a_2b_NPGH_2,C21_F_a_2b_NPGH_3,C21_F_a_2b_NPGH_4,C21_F_a_2b_NPGH_5,C21_F_a_2b_NPGH_6_mor,C21_F_a_2b_Tot,C21_F_a_3b_NPGH_2,C21_F_a_3b_NPGH_3,C21_F_a_3b_NPGH_4,C21_F_a_3b_NPGH_5,C21_F_a_3b_NPGH_6_mor,C21_F_a_3b_Tot,C21_F_a_4mb_NPGH_2,C21_F_a_4mb_NPGH_3,C21_F_a_4mb_NPGH_4,C21_F_a_4mb_NPGH_5,C21_F_a_4mb_NPGH_6_mor,C21_F_a_4mb_Tot,C21_F_a_NB_NS_NPGH_2,C21_F_a_NB_NS_NPGH_3,C21_F_a_NB_NS_NPGH_4,C21_F_a_NB_NS_NPGH_5,C21_F_a_NB_NS_NPGH_6_mor,C21_F_a_NB_NS_Tot,C21_F_a_Tot_NPGH_2,C21_F_a_Tot_NPGH_3,C21_F_a_Tot_NPGH_4,C21_F_a_Tot_NPGH_5,C21_F_a_Tot_NPGH_6_mor,C21_F_a_Tot_Tot,C21_OD_0b_s_a_b_NPGH_2,C21_OD_0b_s_a_b_NPGH_3,C21_OD_0b_s_a_b_NPGH_4,C21_OD_0b_s_a_b_NPGH_5,C21_OD_0b_s_a_b_NPGH_6_mor,C21_OD_0b_s_a_b_Tot,C21_OD_1b_NPGH_2,C21_OD_1b_NPGH_3,C21_OD_1b_NPGH_4,C21_OD_1b_NPGH_5,C21_OD_1b_NPGH_6_mor,C21_OD_1b_Tot,C21_OD_2b_NPGH_2,C21_OD_2b_NPGH_3,C21_OD_2b_NPGH_4,C21_OD_2b_NPGH_5,C21_OD_2b_NPGH_6_mor,C21_OD_2b_Tot,C21_OD_3b_NPGH_2,C21_OD_3b_NPGH_3,C21_OD_3b_NPGH_4,C21_OD_3b_NPGH_5,C21_OD_3b_NPGH_6_mor,C21_OD_3b_Tot,C21_OD_4mb_NPGH_2,C21_OD_4mb_NPGH_3,C21_OD_4mb_NPGH_4,C21_OD_4mb_NPGH_5,C21_OD_4mb_NPGH_6_mor,C21_OD_4mb_Tot,C21_OD_NB_NS_NPGH_2,C21_OD_NB_NS_NPGH_3,C21_OD_NB_NS_NPGH_4,C21_OD_NB_NS_NPGH_5,C21_OD_NB_NS_NPGH_6_mor,C21_OD_NB_NS_Tot,C21_OD_Tot_NPGH_2,C21_OD_Tot_NPGH_3,C21_OD_Tot_NPGH_4,C21_OD_Tot_NPGH_5,C21_OD_Tot_NPGH_6_mor,C21_OD_Tot_Tot,C21_DS_NS_NPGH_2,C21_DS_NS_NPGH_3,C21_DS_NS_NPGH_4,C21_DS_NS_NPGH_5,C21_DS_NS_NPGH_6_mor,C21_DS_NS_Tot,C21_Tot_NPGH_2,C21_Tot_NPGH_3,C21_Tot_NPGH_4,C21_Tot_NPGH_5,C21_Tot_NPGH_6_mor,C21_Tot_Tot
1,999,48156,20,8,0,0,0,28,268,21,5,4,4,297,4308,301,38,8,6,4669,3783,2679,439,83,44,7023,618,591,1077,331,146,2765,182,53,22,13,17,288,9186,3653,1593,436,210,15074,226,21,11,3,4,260,2455,132,30,4,3,2620,26827,3702,1425,362,115,32427,3163,4604,955,375,173,9269,260,229,349,117,76,1033,589,203,124,30,19,965,33516,8890,2882,900,388,46579,29,6,0,0,0,30,113,4,0,0,0,121,580,46,9,0,0,641,164,168,20,11,0,369,44,33,48,19,12,150,54,9,0,4,3,72,979,266,82,38,23,1387,301,72,44,14,10,446,77857,20879,8309,2968,1631,111646
2,1104,51074,25,6,5,0,0,31,246,27,6,0,0,281,6357,508,107,16,10,7001,3988,3833,615,115,54,8607,564,602,1223,382,149,2917,218,88,41,15,8,358,11396,5057,1991,529,227,19196,71,0,0,0,0,75,1253,54,10,0,0,1316,15551,1345,377,70,9,17351,1425,2054,271,69,21,3844,94,100,184,38,22,440,279,78,20,8,3,388,18673,3632,862,180,61,23403,10,0,0,4,0,14,47,3,7,0,0,58,244,15,4,0,0,260,94,114,10,0,0,219,25,23,34,9,4,99,16,0,0,0,0,13,431,157,58,14,3,670,148,35,12,7,6,211,63015,19189,8183,2774,1400,94559
3,547,47143,26,0,3,0,0,29,172,15,3,0,0,192,3559,188,14,3,0,3761,4661,1958,277,62,21,6985,431,296,254,44,24,1042,217,62,20,0,4,306,9054,2519,572,116,51,12311,48,4,4,0,0,58,789,26,3,0,0,821,13493,944,179,27,12,14645,1892,1828,244,57,10,4032,131,123,131,35,13,436,279,53,19,0,0,356,16634,2977,582,122,32,20352,43,4,0,0,0,46,77,6,0,0,0,86,175,13,3,0,0,188,36,15,0,3,0,61,24,5,3,0,0,42,42,3,5,0,0,60,403,46,19,5,8,483,212,49,21,3,7,292,59977,14045,4534,1381,642,80576
4,265,15478,6,3,3,0,0,12,70,0,0,0,0,74,1657,85,8,4,0,1756,1580,814,110,25,9,2534,98,92,120,32,17,350,65,11,6,0,4,86,3477,1014,248,54,27,4817,8,0,0,0,0,11,135,0,0,0,0,146,1966,235,34,3,0,2243,245,198,32,5,3,483,29,19,11,6,4,58,35,11,0,0,0,49,2421,469,84,10,10,2997,4,0,0,0,0,4,21,5,5,0,0,34,34,0,4,0,0,42,16,15,0,0,0,33,3,3,0,0,0,14,12,8,0,0,0,26,96,35,15,0,5,148,73,23,13,3,0,110,16952,4417,1426,445,296,23542
5,249,22123,4,0,0,0,0,6,88,9,0,0,0,98,1723,95,10,0,0,1825,2427,959,119,17,0,3512,232,230,202,74,53,789,91,25,18,3,0,140,4563,1313,345,99,60,6372,11,0,0,0,0,11,203,9,3,0,0,214,2523,172,18,0,3,2721,421,300,47,9,0,773,27,13,15,6,0,62,53,8,6,0,0,59,3231,509,88,12,3,3845,6,0,0,0,0,10,18,0,0,0,0,20,55,8,0,0,0,64,12,16,0,0,0,34,8,16,15,3,4,46,17,0,0,0,0,19,126,41,16,3,5,188,48,10,8,0,3,69,23452,6166,2020,633,323,32591
6,92,5914,6,0,0,0,0,6,31,0,0,0,0,32,301,34,8,0,0,346,96,104,24,0,0,223,19,17,25,13,4,80,10,0,0,0,0,15,454,159,56,15,7,693,0,0,0,0,0,0,33,4,0,0,0,40,360,50,6,3,0,425,76,75,22,0,4,178,9,18,26,9,7,64,14,0,0,0,0,16,503,149,52,16,8,727,5,0,0,0,0,5,12,3,0,0,0,9,27,0,0,0,0,28,12,0,3,3,0,16,3,0,3,5,0,10,3,0,0,0,0,4,57,11,9,5,0,74,13,3,0,0,0,15,5107,1388,604,219,103,7429
7,24,1963,0,0,0,0,0,0,22,0,0,0,0,27,235,31,3,0,0,269,103,52,10,4,0,170,8,0,10,0,0,24,11,0,0,0,0,11,382,85,25,8,0,502,4,0,0,0,0,4,28,3,0,0,0,33,477,61,15,6,0,549,224,172,33,11,0,445,8,8,3,0,0,21,20,8,0,0,0,36,759,251,54,22,0,1082,4,0,0,0,0,9,8,0,0,0,0,8,11,0,0,0,0,13,0,0,0,0,0,3,0,0,0,0,0,3,3,0,0,0,0,3,29,6,4,0,0,36,19,4,3,0,0,25,2456,785,257,84,27,3605
8,93,3365,0,0,0,0,0,0,14,0,0,0,0,13,464,34,0,0,0,497,524,471,54,6,3,1062,63,55,85,24,7,246,9,0,0,6,4,24,1080,571,152,31,13,1845,3,0,0,0,0,3,132,4,0,0,0,138,1676,127,27,3,0,1831,170,349,27,5,5,556,13,14,24,8,0,58,23,4,0,0,0,27,2024,497,80,14,3,2612,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,0,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,12,0,0,0,0,11,12,3,0,0,0,15,4754,2004,746,222,114,7850
9,0,21,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6,0,0,0,0,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,26,0,0,0,0,28
