STE_CODE_2021,C16_850_949_Oth_lan_typ,C16_850_949_LLT_NS,C16_850_949_Tot,C16_950over_REA,C16_950over_ST_HA,C16_950over_Co_ho_pr,C16_950over_Pe_no_sa_ho,C16_950over_Oth_lan_typ,C16_950over_LLT_NS,C16_950over_Tot,C16_R_NS_REA,C16_R_NS_ST_HA,C16_R_NS_Co_ho_pr,C16_R_NS_Pe_no_sa_ho,C16_R_NS_Oth_lan_typ,C16_R_NS_Land_typ_ns,C16_Rent_not_statd_Tot,C16_Tot_REA,C16_Tot_ST_HA,C16_Tot_Co_ho_pr,C16_Tot_Pe_no_sa_ho,C16_Tot_Oth_lan_typ,C16_Tot_LLT_NS,C16_Tot_Tot,C21_1_74_REA,C21_1_74_ST_HA,C21_1_74_Co_ho_pr,C21_1_74_Per_no_sa_ho,C21_1_74_Oth_land_typ,C21_1_74_LLT_NS,C21_1_74_Tot,C21_75_99_REA,C21_75_99_ST_HA,C21_75_99_Co_ho_pr,C21_75_99_Pe_no_sa_ho,C21_75_99_Oth_lan_typ,C21_75_99_Lan_type_ns,C21_75_99_Tot,C21_100_149_REA,C21_100_149_ST_HA,C21_100_149_Co_ho_pr,C21_100_149_Pe_no_sa_ho,C21_100_149_Ot_lan_ty,C21_100_149_Lan_typ_ns,C21_100_149_Tot,C21_150_199_REA,C21_150_199_ST_HA,C21_150_199_Co_ho_pr,C21_150_199_Pe_no_sa_ho,C21_150_199_Ot_lan_ty,C21_150_199_Lan_ty_ns,C21_150_199_Tot,C21_200_224_REA,C21_200_224_ST_HA,C21_200_224_Co_ho_pr,C21_200_224_Pe_no_sa_ho,C21_200_224_Ot_lan_ty,C21_200_224_Lan_ty_ns,C21_200_224_Tot,C21_225_274_REA,C21_225_274_ST_HA,C21_225_274_Co_ho_pr,C21_225_274_Pe_no_sa_ho,C21_225_274_Ot_la_typ,C21_225_274_Lan_ty_ns,C21_225_274_Tot,C21_275_349_REA,C21_275_349_ST_HA,C21_275_349_Co_ho_pr,C21_275_349_Pe_no_sa_ho,C21_275_349_Ot_lan_ty,C21_275_349_Lan_ty_ns,C21_275_349_Tot,C21_350_449_REA,C21_350_449_ST_HA,C21_350_449_Co_ho_pr,C21_350_449_Pe_no_sa_ho,C21_350_449_Ot_lan_ty,C21_350_449_Lan_ty_ns,C21_350_449_Tot,C21_450_549_REA,C21_450_549_ST_HA,C21_450_549_Co_ho_pr,C21_450_549_Pe_no_sa_ho,C21_450_549_Oth_lan_typ,C21_450_549_Lan_ty_ns,C21_450_549_Tot,C21_550_649_REA,C21_550_649_ST_HA,C21_550_649_Co_ho_pr,C21_550_649_Pe_no_sa_ho,C21_550_649_Ot_lan_ty,C21_550_649_Lan_ty_ns,C21_550_649_Tot,C21_650_749_REA,C21_650_749_ST_HA,C21_650_749_Co_ho_pr,C21_650_749_Pe_no_sa_ho,C21_650_749_Oth_lan_typ,C21_650_749_LLT_NS,C21_650_749_Tot,C21_750_849_REA,C21_750_849_ST_HA,C21_750_849_Co_ho_pr,C21_750_849_Pe_no_sa_ho,C21_750_849_Oth_lan_typ,C21_750_849_LLT_NS,C21_750_849_Tot,C21_850_950_REA,C21_850_949_ST_HA,C21_850_949_Co_ho_pr,C21_850_949_Pe_no_sa_ho,C21_850_949_Oth_lan_typ,C21_850_949_LLT_NS,C21_850_949_Tot,C21_950over_REA,C21_950over_ST_HA,C21_950over_Co_ho_pr,C21_950over_Pe_no_sa_ho,C21_950over_Oth_lan_typ,C21_950over_LLT_NS,C21_950over_Tot,C21_R_NS_REA,C21_R_NS_ST_HA,C21_R_NS_Co_ho_pr,C21_R_NS_Pe_no_sa_ho,C21_R_NS_Oth_lan_typ,C21_R_NS_Land_typ_ns,C21_Rent_not_statd_Tot,C21_Tot_REA,C21_Tot_ST_HA,C21_Tot_Co_ho_pr,C21_Tot_Pe_no_sa_ho,C21_Tot_Oth_lan_typ,C21_Tot_LLT_NS,C21_Tot_Tot
1,159,35,12382,17495,49,19,4280,463,65,22361,8456,5924,1683,7587,2835,1235,27719,524845,105260,17247,136790,25066,5331,814549,673,2618,544,1040,904,46,5823,286,5174,803,598,406,67,7331,2413,31184,3588,4479,1810,358,43840,8112,17397,7636,7597,2482,380,43607,9000,7412,2793,8324,1641,215,29384,24573,8695,3772,11564,4298,334,53234,68938,6671,3280,19628,3549,363,102423,170030,5902,2901,29225,4643,570,213269,152531,1931,914,20640,2916,313,179243,94935,505,291,11214,1378,157,108483,50489,168,135,6262,693,89,57833,25748,104,74,3770,417,48,30159,14046,47,28,2114,184,23,16437,25779,40,23,4831,554,54,31283,11281,5719,1553,9806,4787,2326,35467,658827,93563,28336,141090,30662,5338,957820
2,63,12,3267,6036,19,7,1577,228,53,7914,7701,3320,924,6333,1838,919,21039,412713,52054,9763,103921,15571,3817,597848,614,2320,312,1011,489,50,4796,363,3057,412,754,282,44,4915,2371,18866,1717,5032,1407,277,29670,7363,7918,2897,7980,1543,251,27947,8324,3889,1483,7458,1131,130,22415,27252,4090,1725,11428,2432,237,47163,98432,2985,1378,22234,3121,421,128563,191985,2026,742,23078,3165,410,221409,80484,474,196,10088,977,139,92363,33373,122,62,4152,316,52,38081,16342,75,28,2173,194,27,18842,8876,49,26,1346,121,14,10426,4798,34,12,680,76,7,5610,8909,29,9,1777,282,34,11044,9194,3867,797,8297,2962,1571,26684,498687,49793,11796,107478,18506,3671,689936
3,78,7,1823,2038,22,5,858,246,25,3202,5149,2991,716,4480,2779,861,16975,355959,53007,8638,110865,27780,4033,560272,447,3809,333,751,3696,49,9088,191,4411,458,488,987,33,6567,1666,18146,1635,3755,2171,203,27577,5812,9584,2948,6938,2604,302,28193,8161,3515,1280,8056,1990,208,23214,29158,3736,1581,12954,5683,335,53454,79508,2532,1314,22641,5719,453,112163,148494,982,724,26583,8537,494,185812,78226,245,175,12329,3192,182,94347,30695,64,64,4811,1126,76,36843,12223,37,19,2140,525,15,14959,5448,20,18,1082,280,18,6856,2735,16,7,560,149,6,3472,3936,14,9,1443,485,17,5898,6779,3619,694,6549,4949,1457,24046,413484,50729,11261,111071,42097,3844,632484
4,29,0,250,207,75,4,168,62,12,535,1272,1876,587,1790,819,311,6661,83721,33836,6764,46045,7697,1454,179508,98,1026,200,473,293,22,2100,76,2245,365,340,150,30,3205,894,11967,1544,2335,912,162,17809,3569,5462,3026,4170,1038,183,17443,3232,2151,967,4001,657,72,11080,12534,2401,1285,7252,1715,177,25362,29037,1715,917,12503,1491,144,45801,30387,710,444,9230,1029,105,41906,10549,124,75,2756,301,22,13823,3140,31,38,816,111,5,4136,1172,22,16,313,90,4,1613,523,19,3,191,65,0,798,273,17,0,84,32,0,415,372,8,3,297,119,3,811,1261,1706,599,2343,1462,533,7901,97106,29591,9476,47104,9455,1470,194207
5,63,4,1236,1588,19,0,689,222,18,2534,1972,1962,370,2573,2004,352,9237,122361,31106,4481,64008,16898,1595,240450,229,1514,598,461,2357,38,5191,73,1815,514,305,496,28,3229,671,9798,1250,2399,1997,128,16249,2214,5075,2097,3507,1436,136,14472,3655,2180,561,4165,1142,73,11772,11780,3065,826,7567,2199,109,25540,34396,2208,581,16163,2594,180,56131,52196,832,383,17841,2343,208,73805,22683,156,82,6137,742,52,29851,8306,36,23,2088,247,21,10713,3669,42,15,949,189,9,4871,1971,30,9,539,137,6,2696,1123,20,4,297,88,5,1532,1858,23,5,760,480,13,3139,2449,1849,561,3796,3425,629,12704,147278,28645,7503,66964,19879,1637,271892
6,0,0,21,24,19,3,46,9,0,105,311,477,105,505,277,86,1761,22522,9362,1871,16230,2367,503,52853,39,247,55,171,213,8,738,26,464,114,122,46,11,778,271,3005,451,820,257,53,4856,1156,1886,882,1617,345,68,5947,1230,952,422,1740,221,37,4606,3534,1141,503,2835,365,62,8435,6676,533,213,3857,432,56,11772,7754,200,74,3181,362,45,11619,3513,34,24,1183,148,8,4907,1306,5,3,403,43,4,1778,408,3,6,175,18,0,611,155,6,0,76,15,0,245,66,3,5,38,4,0,110,61,3,0,148,27,0,246,405,454,126,834,423,159,2396,26587,8946,2876,17205,2916,506,59040
7,14,0,273,237,5,0,94,81,4,419,298,836,169,260,1066,81,2702,12183,7619,1299,5265,5026,266,31652,20,1586,885,36,501,46,3071,7,1267,317,19,235,23,1862,43,1616,361,126,368,12,2529,133,972,193,219,283,17,1813,195,360,113,267,254,7,1192,771,427,95,403,1047,16,2764,2328,244,73,905,584,14,4153,4155,147,28,1426,412,23,6192,3347,89,13,972,217,15,4650,1974,16,5,432,104,5,2536,850,10,4,185,53,3,1095,339,4,0,92,42,0,480,161,0,4,40,27,0,236,162,4,0,186,174,5,520,326,730,193,480,1281,85,3101,14812,7474,2281,5788,5584,268,36209
8,8,0,233,226,19,3,104,13,0,378,322,497,52,322,114,47,1360,23703,8643,644,9867,2277,187,45320,13,420,15,39,24,0,521,0,468,42,23,7,3,555,34,3243,107,166,39,12,3605,94,1192,170,306,71,9,1839,75,603,71,296,48,11,1097,295,646,112,463,516,3,2031,1109,609,182,905,558,9,3372,6729,646,185,2611,642,13,10831,9707,252,45,2698,356,10,13070,5989,42,16,1529,215,13,7804,2575,14,8,647,83,7,3330,981,11,3,313,35,0,1341,429,10,0,114,14,3,568,588,4,3,219,28,6,842,408,504,66,464,213,117,1769,29035,8655,1027,10793,2848,213,52579
9,0,0,0,0,0,0,3,0,0,3,11,8,5,16,23,0,65,94,119,30,158,114,7,515,0,16,24,5,35,0,84,0,19,6,7,7,0,31,0,28,3,23,9,0,63,15,29,0,25,13,0,78,8,0,0,36,0,0,55,21,14,3,37,10,0,80,38,8,0,28,4,0,83,21,0,0,20,4,0,50,7,0,3,4,4,0,22,4,0,0,5,3,0,12,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,5,7,10,0,20,20,0,62,115,139,42,218,118,0,632
