STE_CODE_2021,C16_15_19_N_mar_P,C16_15_19_Tot_M,C16_15_19_Tot_F,C16_15_19_Tot_P,C16_20_24_Mar_RegM_M,C16_20_24_Mar_RegM_F,C16_20_24_Mar_RegM_P,C16_20_24_Mar_DFM_M,C16_20_24_Mar_DFM_F,C16_20_24_Mar_DFM_P,C16_20_24_N_mar_M,C16_20_24_N_mar_F,C16_20_24_N_mar_P,C16_20_24_Tot_M,C16_20_24_Tot_F,C16_20_24_Tot_P,C16_25_29_Mar_RegM_M,C16_25_29_Mar_RegM_F,C16_25_29_Mar_RegM_P,C16_25_29_Mar_DFM_M,C16_25_29_Mar_DFM_F,C16_25_29_Mar_DFM_P,C16_25_29_N_mar_M,C16_25_29_N_mar_F,C16_25_29_N_mar_P,C16_25_29_Tot_M,C16_25_29_Tot_F,C16_25_29_Tot_P,C16_30_34_Mar_RegM_M,C16_30_34_Mar_RegM_F,C16_30_34_Mar_RegM_P,C16_30_34_Mar_DFM_M,C16_30_34_Mar_DFM_F,C16_30_34_Mar_DFM_P,C16_30_34_N_mar_M,C16_30_34_N_mar_F,C16_30_34_N_mar_P,C16_30_34_Tot_M,C16_30_34_Tot_F,C16_30_34_Tot_P,C16_35_39_Mar_RegM_M,C16_35_39_Mar_RegM_F,C16_35_39_Mar_RegM_P,C16_35_39_Mar_DFM_M,C16_35_39_Mar_DFM_F,C16_35_39_Mar_DFM_P,C16_35_39_N_mar_M,C16_35_39_N_mar_F,C16_35_39_N_mar_P,C16_35_39_Tot_M,C16_35_39_Tot_F,C16_35_39_Tot_P,C16_40_44_Mar_RegM_M,C16_40_44_Mar_RegM_F,C16_40_44_Mar_RegM_P,C16_40_44_Mar_DFM_M,C16_40_44_Mar_DFM_F,C16_40_44_Mar_DFM_P,C16_40_44_N_mar_M,C16_40_44_N_mar_F,C16_40_44_N_mar_P,C16_40_44_Tot_M,C16_40_44_Tot_F,C16_40_44_Tot_P,C16_45_49_Mar_RegM_M,C16_45_49_Mar_RegM_F,C16_45_49_Mar_RegM_P,C16_45_49_Mar_DFM_M,C16_45_49_Mar_DFM_F,C16_45_49_Mar_DFM_P,C16_45_49_N_mar_M,C16_45_49_N_mar_F,C16_45_49_N_mar_P,C16_45_49_Tot_M,C16_45_49_Tot_F,C16_45_49_Tot_P,C16_50_54_Mar_RegM_M,C16_50_54_Mar_RegM_F,C16_50_54_Mar_RegM_P,C16_50_54_Mar_DFM_M,C16_50_54_Mar_DFM_F,C16_50_54_Mar_DFM_P,C16_50_54_N_mar_M,C16_50_54_N_mar_F,C16_50_54_N_mar_P,C16_50_54_Tot_M,C16_50_54_Tot_F,C16_50_54_Tot_P,C16_55_59_Mar_RegM_M,C16_55_59_Mar_RegM_F,C16_55_59_Mar_RegM_P,C16_55_59_Mar_DFM_M,C16_55_59_Mar_DFM_F,C16_55_59_Mar_DFM_P,C16_55_59_N_mar_M,C16_55_59_N_mar_F,C16_55_59_N_mar_P,C16_55_59_Tot_M,C16_55_59_Tot_F,C16_55_59_Tot_P,C16_60_64_Mar_RegM_M,C16_60_64_Mar_RegM_F,C16_60_64_Mar_RegM_P,C16_60_64_Mar_DFM_M,C16_60_64_Mar_DFM_F,C16_60_64_Mar_DFM_P,C16_60_64_N_mar_M,C16_60_64_N_mar_F,C16_60_64_N_mar_P,C16_60_64_Tot_M,C16_60_64_Tot_F,C16_60_64_Tot_P,C16_65_69_Mar_RegM_M,C16_65_69_Mar_RegM_F,C16_65_69_Mar_RegM_P,C16_65_69_Mar_DFM_M,C16_65_69_Mar_DFM_F,C16_65_69_Mar_DFM_P,C16_65_69_N_mar_M,C16_65_69_N_mar_F,C16_65_69_N_mar_P,C16_65_69_Tot_M,C16_65_69_Tot_F,C16_65_69_Tot_P,C16_70_74_Mar_RegM_M,C16_70_74_Mar_RegM_F,C16_70_74_Mar_RegM_P,C16_70_74_Mar_DFM_M,C16_70_74_Mar_DFM_F,C16_70_74_Mar_DFM_P,C16_70_74_N_mar_M,C16_70_74_N_mar_F,C16_70_74_N_mar_P,C16_70_74_Tot_M,C16_70_74_Tot_F,C16_70_74_Tot_P,C16_75_79_Mar_RegM_M,C16_75_79_Mar_RegM_F,C16_75_79_Mar_RegM_P,C16_75_79_Mar_DFM_M,C16_75_79_Mar_DFM_F,C16_75_79_Mar_DFM_P,C16_75_79_N_mar_M,C16_75_79_N_mar_F,C16_75_79_N_mar_P,C16_75_79_Tot_M,C16_75_79_Tot_F,C16_75_79_Tot_P,C16_80_84_Mar_RegM_M,C16_80_84_Mar_RegM_F,C16_80_84_Mar_RegM_P,C16_80_84_Mar_DFM_M,C16_80_84_Mar_DFM_F,C16_80_84_Mar_DFM_P,C16_80_84_N_mar_M,C16_80_84_N_mar_F,C16_80_84_N_mar_P,C16_80_84_Tot_M,C16_80_84_Tot_F,C16_80_84_Tot_P,C16_85_over_Mar_RegM_M,C16_85_over_Mar_RegM_F,C16_85_over_Mar_RegM_P,C16_85_over_Mar_DFM_M,C16_85_over_Mar_DFM_F,C16_85_over_Mar_DFM_P,C16_85_over_N_mar_M,C16_85_over_N_mar_F,C16_85_over_N_mar_P,C16_85_over_Tot_M,C16_85_over_Tot_F,C16_85_over_Tot_P,C16_Tot_Marr_reg_marr_M,C16_Tot_Marr_reg_marr_F,C16_Tot_Marr_reg_marr_P,C16_Tot_Mar_de_fa_mar_M,C16_Tot_Mar_de_fa_mar_F,C16_Tot_Mar_de_fa_mar_P,C16_Tot_N_mar_M,C16_Tot_N_mar_F,C16_Tot_N_mar_P,C16_Tot_Tot_M,C16_Tot_Tot_F,C16_Tot_Tot_P,C21_15_19_Mar_RegM_M,C21_15_19_Mar_RegM_F,C21_15_19_Mar_RegM_P,C21_15_19_Mar_DFM_M,C21_15_19_Mar_DFM_F,C21_15_19_Mar_DFM_P,C21_15_19_N_mar_M,C21_15_19_N_mar_F,C21_15_19_N_mar_P,C21_15_19_Tot_M,C21_15_19_Tot_F,C21_15_19_Tot_P,C21_20_24_Mar_RegM_M,C21_20_24_Mar_RegM_F,C21_20_24_Mar_RegM_P,C21_20_24_Mar_DFM_M
1,400694,208330,197262,405597,5725,14720,20445,18699,27631,46328,190338,168095,358432,214753,210445,425199,46381,76026,122404,42405,47823,90233,137651,113620,251270,226433,237471,463906,114120,139307,253423,38273,36863,75139,82584,72979,155561,234972,249150,484123,134933,145564,280495,28925,27539,56465,57098,59186,116283,220963,232282,453240,140790,148052,288844,26189,25489,51668,54375,63733,118109,221348,237269,458621,135346,142433,277778,23934,23268,47196,55752,68020,123776,215032,233720,448751,135323,136397,271725,21331,20206,41538,57597,69835,127427,214253,226438,440692,131760,131313,263073,17665,16234,33901,55333,71419,126750,204762,218964,423726,121367,116518,237884,13230,10994,24226,47049,65946,112996,181648,193459,375107,115103,103411,218515,9835,7437,17280,40814,62910,103721,165752,173756,339512,88626,73975,162598,5646,3842,9492,29930,54869,84793,124199,132687,256883,63279,48143,111423,3151,1818,4970,22300,50405,72706,88730,100368,189099,40203,25310,65514,1350,784,2131,16889,45741,62627,58438,71834,130272,26155,11803,37957,788,440,1232,19092,56644,75729,46031,68891,114918,1299225,1313398,2612629,252829,253304,506136,1073599,1217287,2290884,2625656,2783988,5409650,63,194,252,1533,2903,4439,215716,200050,415766,217312,203148,420460,4677,10837,15519,22762
2,321363,166495,158066,324562,3830,10304,14129,15139,22343,37481,165920,147191,313113,184889,179836,364726,36810,60276,97087,39495,44285,83780,116035,96038,212072,192343,200603,392943,95563,115082,210644,34784,32841,67625,66062,60401,126460,196410,208321,404734,110600,116740,227339,24701,24131,48833,45131,47338,92472,180429,188217,368648,112930,117436,230368,22153,21918,44069,42273,51514,93785,177355,190868,368227,111857,116466,228319,20141,19618,39759,44495,56218,100712,176488,192303,368790,107081,107608,214689,16400,15595,31990,43431,55264,98695,166910,178463,345376,102545,100882,203430,13321,11772,25090,40105,54694,94800,155975,167351,323324,93210,89435,182646,9712,8025,17736,34147,50080,84227,137065,147539,284610,86377,79744,166124,6577,5025,11595,28758,47412,76170,121718,132174,253891,65576,55789,121363,3697,2522,6212,20582,39904,60485,89849,98213,188065,47947,36494,84447,1922,1173,3094,15478,37836,53313,65353,75501,140848,30806,19598,50403,880,491,1372,12134,34619,46751,43818,54710,98533,20114,9240,29354,532,299,835,14255,41539,55793,34910,51078,85981,1025353,1035409,2060762,210385,211878,422259,854273,975957,1830229,2090007,2223245,4313251,49,141,189,855,1634,2483,172172,160810,332978,173072,162581,335646,2771,6767,9541,17036
3,256183,134332,127709,262040,4042,8639,12676,20649,29710,50357,109387,96973,206364,134079,135319,269403,27816,42967,70784,34744,38644,73395,70317,61003,131315,132875,142622,275499,62548,78210,140753,29008,28460,57469,45076,42766,87844,136631,149432,286063,73919,83581,157503,21373,21251,42623,34289,37542,71828,129571,142371,271947,82487,90043,172532,19625,19466,39086,35283,42060,77346,137397,151571,288964,83306,88956,172264,17764,17619,35387,36065,44380,80444,137139,150956,288096,80267,83573,163842,14944,14556,29498,36249,44200,80450,131459,142330,273787,78092,79561,157654,11798,11023,22821,33889,42693,76580,123780,133278,257054,73095,70746,143839,8708,7279,15986,29005,39041,68048,110804,117065,227869,70831,64432,135264,6512,4874,11379,26190,38104,64294,103535,107408,210943,54538,45361,99901,3805,2577,6383,19090,32616,51705,77433,80553,157989,37401,27290,64686,1859,1122,2979,13634,28344,41979,52897,56750,109650,21610,13455,35067,797,408,1203,9753,24132,33886,32157,37995,70153,13304,6113,19419,417,215,626,10137,28621,38752,23856,34947,58806,763348,783157,1546502,193786,200951,394739,640819,726207,1367023,1597956,1710314,3308263,59,133,191,1806,3296,5102,142899,133569,276476,144769,137004,281765,3095,6077,9168,22576
4,90235,47084,44554,91637,1263,2919,4181,5232,7865,13095,41906,35700,77610,48395,46486,94883,9325,15186,24514,10603,11722,22328,26659,21607,48274,46594,48516,95109,22419,27737,50152,8973,8789,17768,16925,14898,31823,48323,51422,99742,26231,28707,54938,6529,6588,13116,12710,12690,25407,45479,47985,93466,27909,29640,57550,6206,6227,12433,13416,14188,27606,47537,50056,97596,29290,30869,60159,6001,6111,12107,14996,16373,31370,50294,53349,103641,29465,30503,59966,5389,5362,10754,15215,16948,32164,50072,52813,102885,30050,30571,60621,4560,4183,8740,14273,17201,31471,48882,51955,100840,28766,28393,57161,3287,2944,6226,11820,15742,27564,43876,47080,90953,28496,26833,55330,2353,1802,4154,9831,15160,24991,40682,43794,84477,21945,19300,41240,1260,924,2184,6878,13039,19920,30080,33261,63348,16086,12711,28799,642,395,1038,5026,12228,17264,21765,25341,47104,10458,6681,17136,293,203,495,4192,11241,15431,14943,18124,33063,7006,3341,10350,184,126,308,4920,14499,19421,12115,17960,30078,288752,293485,582242,61919,64104,126029,245431,275111,520544,596108,632701,1228807,23,54,72,363,668,1022,46868,43221,90090,47247,43936,91185,920,2102,3021,5460
5,132798,69492,65536,135028,1863,4697,6556,8497,13408,21902,59527,49250,108778,69887,67352,137235,15052,25802,40853,18821,22191,41013,41370,32345,73718,75245,80340,155582,37493,47600,85095,16507,16269,32781,26160,22241,48411,80162,86119,166280,43406,49115,92519,10900,11161,22058,18217,17847,36062,72515,78120,150641,45721,49721,95438,9620,9738,19362,17090,18987,36078,72428,78446,150881,46271,48901,95175,8927,9018,17946,17861,20637,38498,73060,78553,151618,43739,44997,88739,7674,7437,15105,17620,20594,38207,69027,73024,142056,41112,41391,82504,5934,5570,11505,16050,20518,36574,63101,67478,130580,37522,36828,74348,4318,3524,7833,13800,19143,32946,55630,59493,115126,35357,31492,66851,2965,2218,5181,11632,17763,29392,49951,51474,101428,25552,21060,46605,1609,1095,2700,8070,14514,22587,35229,36666,71891,18354,13773,32127,820,551,1368,5867,13747,19615,25037,28073,53105,11220,7319,18542,369,213,584,4293,12120,16413,15890,19649,35542,7155,3241,10399,214,113,328,4684,14121,18805,12051,17476,29533,409863,426078,835942,97793,103913,201706,331050,357819,688869,838709,887815,1726516,46,90,138,646,1209,1859,71106,66460,137563,71799,67757,139560,1313,2960,4275,8440
6,26888,14263,13266,27534,394,748,1141,2050,3000,5048,10538,8681,19220,12985,12425,25412,2315,3491,5811,3502,3776,7285,6258,5709,11964,12084,12976,25060,5265,6516,11777,2958,2945,5905,4174,4242,8412,12396,13701,26098,6224,7167,13384,2344,2469,4813,3363,3926,7289,11928,13555,25480,7253,8292,15546,2298,2331,4633,3819,4519,8338,13375,15141,28521,8201,8948,17153,2283,2300,4579,4247,5121,9364,14730,16369,31099,8652,9243,17892,2044,1958,4007,4631,5259,9892,15323,16462,31789,9543,9940,19484,1707,1514,3225,4565,5605,10172,15821,17058,32880,9437,9203,18639,1270,1040,2306,3956,5110,9067,14662,15349,30014,9300,8389,17690,898,666,1560,3446,5073,8515,13644,14124,27768,6927,5957,12889,524,359,880,2494,4401,6897,9943,10726,20666,5001,3604,8603,239,155,395,1863,4138,6001,7100,7896,14998,2881,1844,4733,106,66,171,1422,3565,4986,4408,5477,9886,1798,825,2625,63,36,103,1422,3967,5383,3283,4823,8109,83201,84200,167403,22511,23012,45522,70242,82147,152392,175957,189357,365314,7,10,17,119,230,352,13904,12813,26720,14032,13057,27084,340,734,1067,2077
7,11054,6119,5479,11593,596,1025,1617,1017,1472,2492,4641,3650,8288,6259,6137,12401,1951,2771,4718,2022,2327,4350,4052,3398,7454,8025,8498,16523,3552,4346,7903,1888,1855,3745,2784,2504,5286,8225,8711,16939,3832,4169,8000,1316,1278,2589,1986,1985,3971,7137,7427,14564,3647,3678,7324,1110,1122,2230,1857,1986,3836,6608,6786,13391,3467,3529,6994,1104,1074,2178,1965,2015,3975,6536,6611,13145,3150,2954,6110,870,858,1731,1890,2018,3902,5909,5836,11744,2771,2565,5343,706,606,1313,1575,1901,3479,5059,5074,10132,2330,1922,4246,473,331,807,1438,1655,3093,4240,3903,8142,1729,1230,2959,252,204,456,1112,1252,2360,3091,2686,5774,1027,677,1710,148,79,231,670,847,1513,1846,1607,3451,583,322,903,56,30,85,407,635,1041,1046,987,2029,234,126,366,19,9,33,205,406,612,465,549,1010,120,42,163,9,4,10,154,308,466,279,358,637,29071,29519,58588,11076,11464,22542,30692,29646,60340,70842,70630,141470,89,139,228,90,165,253,6101,5601,11702,6281,5901,12184,530,846,1374,956
8,20418,10562,10100,20662,263,680,946,1511,2222,3729,10427,9381,19811,12199,12280,24480,2661,4446,7105,3378,3761,7135,7580,6310,13892,13617,14515,28132,7333,8947,16279,2707,2526,5230,4551,4110,8660,14592,15585,30176,8525,8931,17455,1901,1815,3715,3093,3246,6336,13518,13994,27505,8244,8330,16569,1545,1579,3123,2768,3350,6120,12556,13259,25817,7672,7535,15210,1410,1358,2769,2857,3497,6352,11942,12387,24327,6900,6883,13785,1184,1161,2340,2598,3502,6098,10675,11549,22223,6378,6172,12557,904,766,1676,2382,3474,5854,9667,10422,20086,5604,5220,10824,609,517,1125,1858,3074,4935,8066,8819,16888,5177,4682,9864,436,318,754,1483,2970,4456,7106,7971,15076,3717,3009,6726,218,153,367,972,2362,3339,4904,5525,10432,2473,1881,4359,106,63,166,704,1974,2679,3283,3924,7204,1529,990,2524,47,36,80,536,1633,2170,2109,2656,4767,1019,481,1497,29,10,40,673,1957,2622,1713,2447,4164,67492,68211,135705,16053,16442,32497,52958,60780,113732,136506,145431,281939,10,5,12,87,155,233,11378,10549,21929,11468,10708,22179,276,668,947,1807
9,167,84,88,171,0,10,7,4,12,14,53,25,81,59,44,109,13,30,47,10,7,18,34,24,56,53,73,124,53,64,119,10,17,27,20,27,44,83,110,190,72,78,148,14,22,37,30,21,45,116,118,235,70,76,143,25,22,47,24,33,60,115,133,246,56,68,122,24,32,50,36,33,73,113,125,246,82,79,165,16,14,33,35,34,76,137,127,268,87,79,165,12,13,31,38,35,76,143,132,275,68,68,141,9,5,21,36,42,75,112,118,228,84,55,145,8,7,11,19,38,63,116,102,215,50,47,98,3,0,5,17,23,40,69,75,144,28,26,51,4,0,4,15,26,42,49,48,93,11,9,23,0,0,0,11,18,25,25,25,53,17,0,16,0,0,0,9,20,25,22,20,45,694,691,1382,148,159,306,462,494,952,1300,1338,2641,0,0,0,3,0,0,75,73,149,76,79,155,6,9,15,9
