STE_CODE_2021,C21_20_24_Mar_DFM_F,C21_20_24_Mar_DFM_P,C21_20_24_N_mar_M,C21_20_24_N_mar_F,C21_20_24_N_mar_P,C21_20_24_Tot_M,C21_20_24_Tot_F,C21_20_24_Tot_P,C21_25_29_Mar_RegM_M,C21_25_29_Mar_RegM_F,C21_25_29_Mar_RegM_P,C21_25_29_Mar_DFM_M,C21_25_29_Mar_DFM_F,C21_25_29_Mar_DFM_P,C21_25_29_N_mar_M,C21_25_29_N_mar_F,C21_25_29_N_mar_P,C21_25_29_Tot_M,C21_25_29_Tot_F,C21_25_29_Tot_P,C21_30_34_Mar_RegM_M,C21_30_34_Mar_RegM_F,C21_30_34_Mar_RegM_P,C21_30_34_Mar_DFM_M,C21_30_34_Mar_DFM_F,C21_30_34_Mar_DFM_P,C21_30_34_N_mar_M,C21_30_34_N_mar_F,C21_30_34_N_mar_P,C21_30_34_Tot_M,C21_30_34_Tot_F,C21_30_34_Tot_P,C21_35_39_Mar_RegM_M,C21_35_39_Mar_RegM_F,C21_35_39_Mar_RegM_P,C21_35_39_Mar_DFM_M,C21_35_39_Mar_DFM_F,C21_35_39_Mar_DFM_P,C21_35_39_N_mar_M,C21_35_39_N_mar_F,C21_35_39_N_mar_P,C21_35_39_Tot_M,C21_35_39_Tot_F,C21_35_39_Tot_P,C21_40_44_Mar_RegM_M,C21_40_44_Mar_RegM_F,C21_40_44_Mar_RegM_P,C21_40_44_Mar_DFM_M,C21_40_44_Mar_DFM_F,C21_40_44_Mar_DFM_P,C21_40_44_N_mar_M,C21_40_44_N_mar_F,C21_40_44_N_mar_P,C21_40_44_Tot_M,C21_40_44_Tot_F,C21_40_44_Tot_P,C21_45_49_Mar_RegM_M,C21_45_49_Mar_RegM_F,C21_45_49_Mar_RegM_P,C21_45_49_Mar_DFM_M,C21_45_49_Mar_DFM_F,C21_45_49_Mar_DFM_P,C21_45_49_N_mar_M,C21_45_49_N_mar_F,C21_45_49_N_mar_P,C21_45_49_Tot_M,C21_45_49_Tot_F,C21_45_49_Tot_P,C21_50_54_Mar_RegM_M,C21_50_54_Mar_RegM_F,C21_50_54_Mar_RegM_P,C21_50_54_Mar_DFM_M,C21_50_54_Mar_DFM_F,C21_50_54_Mar_DFM_P,C21_50_54_N_mar_M,C21_50_54_N_mar_F,C21_50_54_N_mar_P,C21_50_54_Tot_M,C21_50_54_Tot_F,C21_50_54_Tot_P,C21_55_59_Mar_RegM_M,C21_55_59_Mar_RegM_F,C21_55_59_Mar_RegM_P,C21_55_59_Mar_DFM_M,C21_55_59_Mar_DFM_F,C21_55_59_Mar_DFM_P,C21_55_59_N_mar_M,C21_55_59_N_mar_F,C21_55_59_N_mar_P,C21_55_59_Tot_M,C21_55_59_Tot_F,C21_55_59_Tot_P,C21_60_64_Mar_RegM_M,C21_60_64_Mar_RegM_F,C21_60_64_Mar_RegM_P,C21_60_64_Mar_DFM_M,C21_60_64_Mar_DFM_F,C21_60_64_Mar_DFM_P,C21_60_64_N_mar_M,C21_60_64_N_mar_F,C21_60_64_N_mar_P,C21_60_64_Tot_M,C21_60_64_Tot_F,C21_60_64_Tot_P,C21_65_69_Mar_RegM_M,C21_65_69_Mar_RegM_F,C21_65_69_Mar_RegM_P,C21_65_69_Mar_DFM_M,C21_65_69_Mar_DFM_F,C21_65_69_Mar_DFM_P,C21_65_69_N_mar_M,C21_65_69_N_mar_F,C21_65_69_N_mar_P,C21_65_69_Tot_M,C21_65_69_Tot_F,C21_65_69_Tot_P,C21_70_74_Mar_RegM_M,C21_70_74_Mar_RegM_F,C21_70_74_Mar_RegM_P,C21_70_74_Mar_DFM_M,C21_70_74_Mar_DFM_F,C21_70_74_Mar_DFM_P,C21_70_74_N_mar_M,C21_70_74_N_mar_F,C21_70_74_N_mar_P,C21_70_74_Tot_M,C21_70_74_Tot_F,C21_70_74_Tot_P,C21_75_79_Mar_RegM_M,C21_75_79_Mar_RegM_F,C21_75_79_Mar_RegM_P,C21_75_79_Mar_DFM_M,C21_75_79_Mar_DFM_F,C21_75_79_Mar_DFM_P,C21_75_79_N_mar_M,C21_75_79_N_mar_F,C21_75_79_N_mar_P,C21_75_79_Tot_M,C21_75_79_Tot_F,C21_75_79_Tot_P,C21_80_84_Mar_RegM_M,C21_80_84_Mar_RegM_F,C21_80_84_Mar_RegM_P,C21_80_84_Mar_DFM_M,C21_80_84_Mar_DFM_F,C21_80_84_Mar_DFM_P,C21_80_84_N_mar_M,C21_80_84_N_mar_F,C21_80_84_N_mar_P,C21_80_84_Tot_M,C21_80_84_Tot_F,C21_80_84_Tot_P,C21_85_over_Mar_RegM_M,C21_85_over_Mar_RegM_F,C21_85_over_Mar_RegM_P,C21_85_over_Mar_DFM_M,C21_85_over_Mar_DFM_F,C21_85_over_Mar_DFM_P,C21_85_over_N_mar_M,C21_85_over_N_mar_F,C21_85_over_N_mar_P,C21_85_over_Tot_M,C21_85_over_Tot_F,C21_85_over_Tot_P,C21_Tot_Marr_reg_marr_M,C21_Tot_Marr_reg_marr_F,C21_Tot_Marr_reg_marr_P,C21_Tot_Mar_de_fa_mar_M,C21_Tot_Mar_de_fa_mar_F,C21_Tot_Mar_de_fa_mar_P,C21_Tot_N_mar_M,C21_Tot_N_mar_F,C21_Tot_N_mar_P,C21_Tot_Tot_M,C21_Tot_Tot_F,C21_Tot_Tot_P
1,33028,55790,199638,172153,371789,227077,216013,443091,37897,63351,101247,57471,66199,123664,153748,123341,277091,249109,252889,502002,106674,139166,245842,56710,53737,110455,95832,84517,180353,259224,277422,536651,154636,170723,325357,38059,35588,73641,68237,68402,136636,260926,274712,535635,151261,155429,306691,28418,27377,55793,57795,64407,122203,237479,247213,484690,147280,150532,297808,26263,24989,51258,59584,71608,131191,233128,247127,480255,138910,143239,282150,23676,22330,46004,61665,75420,137092,224255,240989,465243,138475,137019,275492,20482,18552,39036,62143,77711,139850,221102,233276,454382,135077,132459,267532,16467,14145,30605,58129,79469,137599,209673,226071,435744,123119,116137,239258,11535,9071,20610,48283,74134,122418,182936,199346,382279,114513,99038,213557,8136,5867,14009,41612,71536,113147,164264,176449,340710,82277,63310,145594,4346,2852,7201,29279,61114,90391,115904,127282,243185,50826,33260,84082,2076,1093,3171,20508,52284,72793,73405,86634,160042,32777,14775,47556,921,462,1385,21594,62638,84231,55296,77876,133173,1418472,1429464,2847938,318859,318187,637050,1193759,1338786,2532544,2931091,3086442,6017530
2,24568,41607,169817,148408,318223,189628,179739,369373,27317,47200,74520,52160,59903,112066,137331,108861,246196,216812,215963,432779,89242,116607,205852,52808,50441,103245,81212,71924,153139,223267,238974,462239,132262,144179,276438,34631,32546,67180,55275,57359,112638,222170,234082,456248,125836,126596,252434,25091,23957,49049,45515,53120,98638,196447,203672,400121,119318,120399,239717,22326,21353,43683,46718,59301,106021,188360,201054,389417,114985,117021,232010,20025,18978,39007,49315,63070,112384,184325,199076,383403,109585,108132,217720,16074,14435,30508,46710,61849,108558,172367,184410,356780,105242,102219,207464,12608,10462,23068,42509,61318,103824,160363,173997,334362,94716,89346,184060,8508,6735,15240,35611,56816,92423,138832,152892,291726,86841,77389,164230,5608,4165,9774,29586,54581,84168,122040,136137,258172,61873,49219,111087,3090,1955,5050,20594,45822,66417,85559,96997,182550,39829,26054,65881,1348,715,2058,14958,40174,55130,56128,66938,123073,25493,11612,37109,621,317,939,16497,47663,64160,42617,59595,102209,1135368,1142872,2278239,272791,272174,544957,963829,1091071,2054902,2371988,2506117,4878097
3,32330,54908,114548,102252,216801,140217,140661,280883,22815,35802,58618,43715,49610,93321,81618,71118,152736,148149,156527,304677,58743,76574,135311,38654,38358,77016,52574,50924,103498,149975,165848,315825,84105,97713,181820,28025,27441,55459,40809,44688,85496,152939,169837,322775,85496,92860,178358,21131,21090,42223,36683,43726,80399,143310,157677,300982,88441,93617,182062,19671,19308,38983,39399,49004,88399,147517,161925,309440,86898,90337,177231,17749,17252,34996,40116,50219,90333,144761,157811,302570,83201,85143,168344,14784,13700,28486,38710,49566,88284,136694,148409,285100,81516,80943,162456,11300,9904,21202,35896,48784,84679,128709,139629,268337,75199,71304,146503,7837,6237,14073,30895,45478,76379,113931,123024,236952,71599,62651,134250,5646,4012,9660,27112,44364,71478,104358,111024,215386,51067,39044,90114,3027,1991,5016,18759,37173,55936,72853,78213,151068,29621,18883,48507,1349,764,2108,12405,29207,41617,43376,48845,92228,16785,7568,24355,612,295,896,11877,32128,44004,29271,39985,69254,838650,858635,1697286,237876,245581,483458,724309,832201,1556509,1800841,1936417,3737256
4,8156,13612,43815,37323,81137,50194,47581,97774,8282,13364,21644,13206,15187,28400,31598,24566,56170,53095,53118,106211,21419,27393,48811,11672,11377,23049,19437,16877,36320,52529,55653,108183,29584,33509,63099,8446,8378,16822,15022,14935,29957,53052,56825,109881,29050,30707,59757,6364,6440,12806,13049,14069,27120,48472,51215,99685,28872,29969,58837,6193,6111,12300,14437,16047,30486,49499,52122,101623,29774,30776,60554,5894,5883,11775,16095,17889,33983,51768,54550,106313,30048,30609,60656,5230,5020,10251,15793,18572,34366,51067,54197,105265,30563,30776,61337,4373,3847,8219,14786,18935,33721,49721,53558,103285,29208,28325,57534,3013,2598,5610,12236,17572,29807,44455,48489,92942,28472,25856,54335,2063,1566,3633,10086,17472,27555,40624,44895,85522,20590,16633,37225,1031,746,1782,6754,14793,21548,28376,32175,60549,12736,8714,21451,484,244,728,4783,12921,17713,18004,21883,39886,8297,3805,12106,222,122,342,5665,15658,21327,14179,19590,33770,307854,312593,620445,74004,76347,150356,270424,300856,571276,652279,689792,1342075
5,13197,21636,60033,52152,112182,69786,68306,138095,11012,19438,30448,19692,24048,43744,42925,34539,77464,73630,78028,151661,32312,45253,77570,19836,21016,40852,28244,24839,53085,80397,91106,171500,48353,57005,105361,14421,14378,28800,21885,21871,43757,84666,93250,177917,47421,52008,99429,10076,10479,20557,18783,20540,39328,76277,83031,159312,46653,49803,96459,8994,9288,18282,18928,21892,40821,74571,80986,155559,46213,48193,94402,8335,8431,16758,19535,23361,42894,74078,79980,154059,43729,44590,88316,7123,6617,13745,18691,23288,41980,69542,74493,144037,41646,41282,82921,5435,4761,10198,16861,23204,40062,63939,69244,133188,37861,36250,74113,3701,2902,6602,14405,21954,36359,55968,61108,117074,34994,30025,65017,2474,1701,4171,12337,20975,33309,49803,52699,102503,23967,18336,42303,1235,807,2045,8159,16687,24845,33354,35832,69188,14925,9897,24824,570,381,949,5624,14527,20152,21122,24803,45923,9226,4361,13591,293,137,428,5802,16674,22476,15324,21173,36495,439662,459503,899167,111261,119355,230618,363331,402945,766278,914266,981800,1896069
6,3002,5075,11287,9481,20767,13703,13216,26913,2879,4234,7116,4499,5201,9703,10034,7922,17953,17408,17363,34772,6258,7579,13840,4146,4206,8347,6317,5746,12066,16723,17524,34253,7679,8508,16185,3160,3040,6204,4298,4873,9168,15139,16421,31559,7328,7968,15300,2457,2548,5003,3778,4554,8326,13563,15065,28628,7805,8535,16337,2357,2365,4721,4323,5051,9372,14481,15949,30431,8526,9246,17768,2361,2331,4689,4705,5659,10365,15590,17239,32823,9040,9550,18593,2179,1984,4167,4912,5915,10829,16138,17454,33591,10033,10292,20328,1675,1475,3154,4817,6183,11000,16529,17952,34479,9668,9256,18918,1246,965,2214,4192,6002,10191,15102,16221,31321,9340,8140,17477,828,595,1421,3641,5914,9557,13808,14644,28452,6490,5093,11587,430,267,692,2446,4988,7433,9368,10348,19718,4014,2583,6592,179,90,277,1700,4143,5849,5889,6821,12712,2216,1050,3265,73,35,107,1674,4416,6097,3971,5506,9473,91618,92775,184392,27784,28337,56124,82039,93656,175696,201438,214771,416212
7,1301,2257,4818,3964,8783,6299,6111,12417,1679,2513,4188,1883,2287,4170,4357,4029,8387,7923,8824,16749,3392,4349,7744,1914,2057,3977,3064,3196,6260,8377,9605,17980,4011,4525,8535,1441,1546,2988,2154,2490,4650,7608,8563,16170,3657,3797,7449,1098,1137,2233,1820,2171,3995,6573,7099,13676,3260,3278,6535,978,987,1967,1838,2174,4007,6075,6436,12511,3086,3150,6237,950,915,1861,1943,2280,4224,5978,6350,12328,2784,2570,5357,753,644,1396,1816,2147,3957,5351,5364,10714,2434,2189,4620,504,436,939,1615,1968,3580,4550,4591,9139,1888,1592,3481,325,240,565,1350,1620,2975,3568,3445,7014,1451,1016,2477,198,123,314,999,1297,2299,2652,2441,5095,834,499,1335,92,45,138,524,784,1303,1447,1326,2780,423,213,636,23,18,39,306,587,898,753,815,1570,173,58,235,11,3,17,189,405,600,373,473,846,29698,30724,60425,11212,11899,23113,32895,34723,67617,73807,77350,151156
8,2624,4437,11994,11105,23102,14077,14398,28475,2860,4463,7317,4663,5299,9960,10311,8131,18447,17838,17886,35727,7350,9367,16723,3996,3634,7623,6071,5270,11342,17418,18271,35692,10341,11317,21663,2599,2442,5039,4124,4117,8248,17067,17877,34947,9783,9694,19480,1886,1794,3680,3289,3824,7104,14959,15306,30268,8747,8541,17286,1615,1586,3202,3231,3985,7211,13591,14106,27700,7945,7636,15585,1389,1226,2618,3117,3965,7075,12455,12821,25276,6982,6696,13671,1052,953,2003,2747,3875,6618,10773,11525,22297,6235,5976,12209,807,636,1443,2350,3790,6137,9390,10400,19792,5524,5208,10727,520,411,933,1810,3393,5199,7847,9013,16863,5356,4692,10051,377,261,629,1544,3469,5010,7278,8422,15699,3683,2827,6508,185,127,318,1033,2753,3789,4902,5709,10617,2165,1477,3640,65,40,104,734,2196,2931,2967,3708,6677,1388,663,2046,31,19,57,826,2439,3267,2256,3113,5370,78645,79213,157859,21087,21205,42290,64563,72852,137415,164294,173270,337567
9,19,21,50,45,101,60,71,134,26,33,54,18,25,42,39,31,69,81,81,169,31,43,72,16,22,42,24,20,44,75,83,157,61,78,140,13,23,38,31,32,68,107,138,239,64,64,127,14,17,31,22,21,48,97,106,207,60,72,136,15,15,37,33,35,67,113,117,232,67,59,121,20,25,48,28,46,76,112,132,249,78,89,169,24,21,43,54,40,96,158,152,308,80,86,166,17,18,40,45,52,92,143,157,301,75,60,139,7,13,19,41,51,88,124,125,251,74,51,134,8,3,7,26,32,57,111,88,202,39,33,69,0,0,0,21,35,53,59,63,126,21,17,38,5,0,5,10,24,37,36,44,85,13,0,18,0,0,0,12,24,37,25,28,56,693,694,1390,187,195,383,510,581,1088,1388,1468,2854
