STE_CODE_2021,C21_75_99_CF_CU15_NDS,C21_75_99_CF_NCU15_DS,C21_75_99_CF_NDCO,C21_75_99_Tot,C21_100_149_CF_NC,C21_100_149_CF_Cu15DS_,C21_100_149_CF_CU15_NDS,C21_100_149_CF_NCU15_DS,C21_100_149_CF_NDCO,C21_100_149_Tot,C21_150_199_CF_NC,C21_150_199_CF_Cu15DS_,C21_150_199_CF_CU15_NDS,C21_150_199_CF_NCU15_DS,C21_150_199_CF_NDCO,C21_150_199_Tot,C21_200_224_CF_NC,C21_200_224_CF_Cu15DS_,C21_200_224_CF_CU15_NDS,C21_200_224_CF_NCU15_DS,C21_200_224_CF_NDCO,C21_200_224_Tot,C21_225_274_CF_NC,C21_225_274_CF_Cu15DS_,C21_225_274_CF_CU15_NDS,C21_225_274_CF_NCU15_DS,C21_225_274_CF_NDCO,C21_225_274_Tot,C21_275_349_CF_NC,C21_275_349_CF_Cu15DS_,C21_275_349_CF_CU15_NDS,C21_275_349_CF_NCU15_DS,C21_275_349_CF_NDCO,C21_275_349_Tot,C21_350_449_CF_NC,C21_350_449_CF_Cu15DS_,C21_350_449_CF_CU15_NDS,C21_350_449_CF_NCU15_DS,C21_350_449_CF_NDCO,C21_350_449_Tot,C21_450_549_CF_NC,C21_450_549_CF_Cu15DS_,C21_450_549_CF_CU15_NDS,C21_450_549_CF_NCU15_DS,C21_450_549_CF_NDCO,C21_450_549_Tot,C21_550_649_CF_NC,C21_550_649_CF_Cu15DS_,C21_550_649_CF_CU15_NDS,C21_550_649_CF_NCU15_DS,C21_550_649_CF_NDCO,C21_550_649_Tot,C21_650_749_CF_NC,C21_650_749_CF_Cu15DS_,C21_650_749_CF_CU15_NDS,C21_650_749_CF_NCU15_DS,C21_650_749_CF_NDCO,C21_650_749_Tot,C21_750_849_CF_NC,C21_750_849_CF_Cu15DS_,C21_750_849_CF_CU15_NDS,C21_750_849_CF_NCU15_DS,C21_750_849_CF_NDCO,C21_750_849_Tot,C21_850_949_CF_NC,C21_850_949_CF_Cu15DS_,C21_850_949_CF_CU15_NDS,C21_850_949_CF_NCU15_DS,C21_850_949_CF_NDCO,C21_850_949_Tot,C21_950over_CF_NC,C21_950over_CF_Cu15DS_,C21_950over_CF_CU15_NDS,C21_950over_CF_NCU15_DS,C21_950over_CF_NDCO,C21_950over_Tot,C21_Rns_CF_NC,C21_Rns_CF_Cu15DS_,C21_Rns_CF_CU15_NDS,C21_Rns_CF_NCU15_DS,C21_Rns_CF_NDCO,C21_Rns_Tot,C21_Tot_CF_NC,C21_Tot_CF_Cu15DS_,C21_Tot_CF_CU15_NDS,C21_Tot_CF_NCU15_DS,C21_Tot_CF_NDCO,C21_Tot_Tot
1,160,17,37,826,2328,116,790,93,201,3529,6457,211,1681,238,507,9090,4005,302,1957,235,430,6928,9114,690,5089,493,1055,16451,18226,1442,12324,1002,2124,35122,45509,4290,38457,3170,5094,96527,44932,5691,39049,4107,5350,99131,29165,4302,25080,3260,3765,65573,16265,2457,13671,2030,2011,36431,8096,1205,7569,1115,980,18968,3779,707,4584,661,552,10283,6052,1993,9361,1961,1053,20422,5647,672,4330,602,999,12259,200790,24157,164515,19036,24226,432727
2,152,22,24,612,1918,99,886,87,168,3156,3917,191,1395,183,362,6046,2909,253,1543,186,302,5193,7072,584,4068,410,743,12864,24111,1996,16967,1500,2088,46665,51706,5858,42527,4077,4661,108828,25201,2947,18660,2505,2378,51696,10334,1283,8166,1328,899,22014,4420,704,4416,744,429,10720,2137,510,2548,450,244,5888,1086,311,1455,319,143,3318,1932,712,2816,682,305,6443,4174,481,2988,491,660,8794,141786,15975,108829,13009,13471,293072
3,428,36,66,1220,2382,170,1445,115,295,4413,3813,317,1806,166,502,6607,3104,240,1601,137,327,5412,8232,691,5424,366,775,15486,20993,1882,14779,1122,2148,40929,43715,5121,34226,2975,4366,90398,24081,3618,20052,2448,3016,53211,9026,1833,8239,1396,1444,21940,3316,841,3683,747,646,9239,1393,478,1712,393,298,4266,652,215,888,218,177,2138,947,394,1264,355,247,3202,3356,437,2464,332,553,7143,126965,16480,99262,10918,15002,268619
4,145,7,34,464,1023,46,422,35,86,1608,2956,114,972,85,193,4323,1724,126,980,63,165,3060,4689,338,3195,246,452,8921,9169,918,7249,593,886,18816,9557,1291,8033,884,1026,20788,3171,572,2811,464,382,7392,823,240,928,198,129,2318,255,106,412,84,54,912,124,54,201,46,21,449,66,28,97,26,15,228,97,38,145,35,14,339,902,114,658,76,146,1901,35067,4023,26394,2863,3624,71966
5,344,24,43,767,1293,108,1001,60,126,2587,2365,119,842,72,151,3549,2137,100,983,73,154,3443,4618,310,2994,197,328,8443,11207,901,8301,578,905,21886,17074,2135,14778,1303,1689,36984,7223,1285,6954,881,972,17309,2455,574,2602,434,402,6476,991,255,1320,233,177,2985,527,139,763,163,88,1679,265,107,506,103,54,1033,408,198,801,187,86,1674,1719,198,1428,167,238,3759,53529,6626,44715,4549,5556,114972
6,17,0,0,73,288,14,121,11,18,454,844,34,267,27,47,1213,739,54,349,32,65,1238,1483,142,950,87,192,2851,2436,244,1877,142,275,4978,2839,338,2424,180,266,6050,1403,175,1042,91,93,2800,475,61,317,41,41,943,160,19,110,11,6,306,45,12,40,5,3,110,28,0,22,0,0,54,26,6,22,6,0,61,345,27,208,14,46,634,11258,1128,7811,659,1074,21935
7,599,23,76,1103,422,64,549,17,97,1149,313,54,383,22,74,846,218,43,187,18,33,498,706,57,716,24,30,1540,952,78,838,48,52,1966,1607,123,1252,75,96,3152,1253,144,1025,58,120,2601,695,94,589,57,67,1505,269,40,274,39,39,667,109,15,121,14,22,281,42,8,54,11,11,128,43,19,63,8,0,129,441,46,429,15,60,995,8106,1020,8276,475,1017,18896
8,10,0,0,47,130,11,85,8,5,240,363,25,133,12,33,569,182,10,78,4,17,288,427,40,323,27,39,856,747,64,559,54,38,1457,3083,145,1678,128,119,5157,4004,225,2480,185,169,7062,2078,245,1711,196,139,4375,779,147,755,118,90,1892,268,64,320,52,35,743,116,32,111,22,22,303,138,45,212,33,22,456,258,24,191,17,25,519,12634,1088,8661,863,761,24012
9,10,0,0,19,14,3,9,0,0,32,17,0,9,0,0,30,15,0,3,0,0,23,22,0,28,0,4,59,22,0,16,0,0,38,13,4,16,0,0,30,9,0,10,0,0,16,0,0,6,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,18,0,14,0,4,31,162,15,130,6,18,330
