STE_CODE_2021,C11_SH_0b_s_a_b_NPFH_2,C11_SH_0b_s_a_b_NPFH_3,C11_SH_0b_s_a_b_NPFH_4,C11_SH_0b_s_a_b_NPFH_5,C11_SH_0b_s_a_b_NPFH_6_mor,C11_SH_0b_s_a_b_Tot,C11_SH_1b_NPFH_2,C11_SH_1b_NPFH_3,C11_SH_1b_NPFH_4,C11_SH_1b_NPFH_5,C11_SH_1b_NPFH_6_mor,C11_SH_1b_Tot,C11_SH_2b_NPFH_2,C11_SH_2b_NPFH_3,C11_SH_2b_NPFH_4,C11_SH_2b_NPFH_5,C11_SH_2b_NPFH_6_mor,C11_SH_2b_Tot,C11_SH_3b_NPFH_2,C11_SH_3b_NPFH_3,C11_SH_3b_NPFH_4,C11_SH_3b_NPFH_5,C11_SH_3b_NPFH_6_mor,C11_SH_3b_Tot,C11_SH_4mb_NPFH_2,C11_SH_4mb_NPFH_3,C11_SH_4mb_NPFH_4,C11_SH_4mb_NPFH_5,C11_SH_4mb_NPFH_6_mor,C11_SH_4mb_Tot,C11_SH_NB_NS_NPFH_2,C11_SH_NB_NS_NPFH_3,C11_SH_NB_NS_NPFH_4,C11_SH_NB_NS_NPFH_5,C11_SH_NB_NS_NPFH_6_mor,C11_SH_NB_NS_Tot,C11_SH_Tot_NPFH_2,C11_SH_Tot_NPFH_3,C11_SH_Tot_NPFH_4,C11_SH_Tot_NPFH_5,C11_SH_Tot_NPFH_6_mor,C11_SH_Tot_Tot,C11_SDRTHT_0b_s_a_b_NPFH_2,C11_SDRTHT_0b_s_a_b_NPFH_3,C11_SDRTHT_0b_s_a_b_NPFH_4,C11_SDRTHT_0b_s_a_b_NPFH_5,C11_SDRTHT_0b_s_a_b_NPFH_6mor,C11_SDRTHT_0b_s_a_b_Tot,C11_SDRTHT_1b_NPFH_2,C11_SDRTHT_1b_NPFH_3,C11_SDRTHT_1b_NPFH_4,C11_SDRTHT_1b_NPFH_5,C11_SDRTHT_1b_NPFH_6_mor,C11_SDRTHT_1b_Tot,C11_SDRTHT_2b_NPFH_2,C11_SDRTHT_2b_NPFH_3,C11_SDRTHT_2b_NPFH_4,C11_SDRTHT_2b_NPFH_5,C11_SDRTHT_2b_NPFH_6_mor,C11_SDRTHT_2b_Tot,C11_SDRTHT_3b_NPFH_2,C11_SDRTHT_3b_NPFH_3,C11_SDRTHT_3b_NPFH_4,C11_SDRTHT_3b_NPFH_5,C11_SDRTHT_3b_NPFH_6_mor,C11_SDRTHT_3b_Tot,C11_SDRTHT_4mb_NPFH_2,C11_SDRTHT_4mb_NPFH_3,C11_SDRTHT_4mb_NPFH_4,C11_SDRTHT_4mb_NPFH_5,C11_SDRTHT_4mb_NPFH_6_mor,C11_SDRTHT_4mb_Tot,C11_SDRTHT_NB_NS_NPFH_2,C11_SDRTHT_NB_NS_NPFH_3,C11_SDRTHT_NB_NS_NPFH_4,C11_SDRTHT_NB_NS_NPFH_5,C11_SDRTHT_NB_NS_NPFH_6_mor,C11_SDRTHT_NB_NS_Tot,C11_SDRTHT_Tot_NPFH_2,C11_SDRTHT_Tot_NPFH_3,C11_SDRTHT_Tot_NPFH_4,C11_SDRTHT_Tot_NPFH_5,C11_SDRTHT_Tot_NPFH_6_mor,C11_SDRTHT_Tot_Tot,C11_F_a_0b_s_a_b_NPFH_2,C11_F_a_0b_s_a_b_NPFH_3,C11_F_a_0b_s_a_b_NPFH_4,C11_F_a_0b_s_a_b_NPFH_5,C11_F_a_0b_s_a_b_NPFH_6_mor,C11_F_a_0b_s_a_b_Tot,C11_F_a_1b_NPFH_2,C11_F_a_1b_NPFH_3,C11_F_a_1b_NPFH_4,C11_F_a_1b_NPFH_5,C11_F_a_1b_NPFH_6_mor,C11_F_a_1b_Tot,C11_F_a_2b_NPFH_2,C11_F_a_2b_NPFH_3,C11_F_a_2b_NPFH_4,C11_F_a_2b_NPFH_5,C11_F_a_2b_NPFH_6_mor,C11_F_a_2b_Tot,C11_F_a_3b_NPFH_2,C11_F_a_3b_NPFH_3,C11_F_a_3b_NPFH_4,C11_F_a_3b_NPFH_5,C11_F_a_3b_NPFH_6_mor,C11_F_a_3b_Tot,C11_F_a_4mb_NPFH_2,C11_F_a_4mb_NPFH_3,C11_F_a_4mb_NPFH_4,C11_F_a_4mb_NPFH_5,C11_F_a_4mb_NPFH_6_mor,C11_F_a_4mb_Tot,C11_F_a_NB_NS_NPFH_2,C11_F_a_NB_NS_NPFH_3,C11_F_a_NB_NS_NPFH_4,C11_F_a_NB_NS_NPFH_5,C11_F_a_NB_NS_NPFH_6_mor,C11_F_a_NB_NS_Tot,C11_F_a_Tot_NPFH_2,C11_F_a_Tot_NPFH_3,C11_F_a_Tot_NPFH_4,C11_F_a_Tot_NPFH_5,C11_F_a_Tot_NPFH_6_mor,C11_F_a_Tot_Tot,C11_OD_0b_s_a_b_NPFH_2,C11_OD_0b_s_a_b_NPFH_3,C11_OD_0b_s_a_b_NPFH_4,C11_OD_0b_s_a_b_NPFH_5,C11_OD_0b_s_a_b_NPFH_6_mor,C11_OD_0b_s_a_b_Tot,C11_OD_1b_NPFH_2,C11_OD_1b_NPFH_3,C11_OD_1b_NPFH_4,C11_OD_1b_NPFH_5,C11_OD_1b_NPFH_6_mor,C11_OD_1b_Tot,C11_OD_2b_NPFH_2,C11_OD_2b_NPFH_3,C11_OD_2b_NPFH_4,C11_OD_2b_NPFH_5,C11_OD_2b_NPFH_6_mor,C11_OD_2b_Tot,C11_OD_3b_NPFH_2,C11_OD_3b_NPFH_3,C11_OD_3b_NPFH_4,C11_OD_3b_NPFH_5,C11_OD_3b_NPFH_6_mor,C11_OD_3b_Tot,C11_OD_4mb_NPFH_2,C11_OD_4mb_NPFH_3,C11_OD_4mb_NPFH_4,C11_OD_4mb_NPFH_5,C11_OD_4mb_NPFH_6_mor,C11_OD_4mb_Tot,C11_OD_NB_NS_NPFH_2,C11_OD_NB_NS_NPFH_3,C11_OD_NB_NS_NPFH_4,C11_OD_NB_NS_NPFH_5,C11_OD_NB_NS_NPFH_6_mor,C11_OD_NB_NS_Tot,C11_OD_Tot_NPFH_2,C11_OD_Tot_NPFH_3,C11_OD_Tot_NPFH_4,C11_OD_Tot_NPFH_5,C11_OD_Tot_NPFH_6_mor,C11_OD_Tot_Tot,C11_DS_NS_NPFH_2,C11_DS_NS_NPFH_3,C11_DS_NS_NPFH_4,C11_DS_NS_NPFH_5,C11_DS_NS_NPFH_6_mor,C11_DS_NS_Tot,C11_Tot_NPFH_2,C11_Tot_NPFH_3,C11_Tot_NPFH_4,C11_Tot_NPFH_5,C11_Tot_NPFH_6_mor,C11_Tot_Tot,C16_SH_0b_s_a_b_NPFH_2,C16_SH_0b_s_a_b_NPFH_3,C16_SH_0b_s_a_b_NPFH_4,C16_SH_0b_s_a_b_NPFH_5,C16_SH_0b_s_a_b_NPFH_6_mor,C16_SH_0b_s_a_b_Tot,C16_SH_1b_NPFH_2,C16_SH_1b_NPFH_3,C16_SH_1b_NPFH_4,C16_SH_1b_NPFH_5,C16_SH_1b_NPFH_6_mor,C16_SH_1b_Tot,C16_SH_2b_NPFH_2,C16_SH_2b_NPFH_3,C16_SH_2b_NPFH_4,C16_SH_2b_NPFH_5,C16_SH_2b_NPFH_6_mor,C16_SH_2b_Tot,C16_SH_3b_NPFH_2,C16_SH_3b_NPFH_3
1,621,288,273,147,144,1469,5540,1032,589,271,186,7619,66276,19942,10586,2879,1084,100772,276852,142138,135210,45657,18611,618472,170621,118652,173558,104552,59051,626429,6895,2339,2071,1268,1135,13704,526813,284385,322288,154775,80211,1368466,136,41,42,20,19,259,2789,286,81,30,15,3196,29512,9457,4416,921,237,44543,37230,23664,19888,6283,2500,89558,5677,5205,7340,4122,2716,25055,1067,388,245,143,108,1957,76409,39035,32009,11518,5602,164578,1547,233,135,41,17,1976,22189,2463,495,71,14,25231,88022,39558,19849,4550,1298,153278,20257,12007,9512,3072,1405,46250,1140,784,1000,608,341,3868,1812,689,455,158,103,3221,134966,55742,31449,8489,3184,233834,228,36,19,16,8,300,1431,113,37,10,6,1592,2588,605,309,99,29,3626,968,492,404,148,97,2117,282,148,186,110,151,877,195,38,38,5,9,287,5687,1432,992,389,298,8805,871,377,273,131,63,1724,744753,380967,387016,175312,89357,1777399,598,252,233,114,125,1328,5243,1087,766,349,316,7759,57524,16759,9321,2605,1108,87316,258000,131279
2,456,262,242,128,114,1208,3585,601,357,137,78,4769,56307,15696,7457,1595,491,81551,276417,145131,139357,38866,14081,613850,114197,86455,131993,81835,38806,453292,6034,2129,1823,1071,953,12003,457003,250276,281238,123633,54528,1166678,69,42,24,12,9,148,1981,177,42,9,8,2213,26920,7243,2775,476,136,37555,23812,14049,10938,2667,872,52337,3079,2801,4127,2263,1210,13484,685,206,147,60,57,1154,56544,24507,18050,5498,2284,106886,572,122,33,23,11,761,12790,1308,260,24,16,14403,42989,12417,4603,984,274,61260,12135,7252,4614,1418,723,26143,678,489,618,342,196,2318,978,346,165,86,63,1639,70137,21931,10299,2880,1285,106527,127,32,11,3,3,178,754,45,19,10,0,837,1243,304,142,40,24,1757,494,331,295,91,52,1271,149,88,111,73,43,469,81,16,16,11,0,119,2853,821,598,221,130,4626,241,93,92,33,14,472,586773,297631,310278,132264,58235,1385188,467,240,199,114,111,1127,3281,628,457,197,123,4684,52916,14574,7471,1656,586,77211,266224,139372
3,573,249,163,79,85,1157,4337,698,347,163,101,5648,40691,9903,4544,1244,498,56876,210030,97503,82139,25110,10434,425215,137251,93954,126903,69507,39211,466815,4632,1689,1399,799,754,9271,397511,203996,215497,96897,51079,964985,57,23,15,4,0,99,1110,96,38,6,5,1253,17163,3804,1183,224,75,22450,20419,10803,6371,1847,665,40107,1741,1166,1406,780,470,5558,560,182,113,57,33,948,41052,16080,9125,2922,1241,70425,282,43,14,4,3,351,6360,573,106,18,9,7070,34264,8811,3003,619,192,46901,11172,4758,2713,749,273,19659,671,332,409,196,141,1756,836,221,120,35,26,1243,53588,14736,6370,1620,646,76963,566,48,49,23,19,695,2106,117,48,9,10,2285,1730,375,151,47,29,2326,848,228,223,83,33,1418,328,82,108,89,57,653,265,26,18,6,8,326,5836,872,590,258,150,7709,451,118,103,51,19,741,498446,235804,231679,101752,53149,1120829,539,193,148,67,77,1025,4220,694,449,216,161,5745,38044,8714,4298,1225,579,52861,203136,93189
4,152,62,57,22,23,320,1584,201,122,41,25,1974,22247,4660,1990,435,134,29461,110331,49939,44478,11354,3732,219834,32629,22567,34089,19650,8559,117488,1854,574,456,232,205,3327,168797,77990,81196,31733,12688,372407,13,14,5,8,5,42,577,44,15,10,5,648,8375,1508,499,86,27,10491,9911,4385,2659,770,306,18033,640,498,574,339,255,2299,293,79,53,33,20,482,19820,6517,3802,1241,615,31989,47,18,3,0,0,69,1324,195,41,6,4,1566,8942,2666,1028,179,43,12852,2094,875,437,145,44,3606,91,40,65,41,14,246,220,63,19,14,8,320,12722,3856,1592,389,111,18667,77,3,9,0,0,87,268,4,7,0,0,281,220,59,19,0,3,299,169,61,49,13,7,303,50,20,23,19,5,114,33,0,7,0,0,40,819,145,107,32,25,1117,102,29,24,14,7,169,202249,88536,86714,33407,13443,424352,136,59,47,19,26,283,1452,229,154,59,45,1944,19410,4068,1781,377,130,25774,107260,47970
5,211,104,86,47,27,473,1572,204,124,59,41,2001,17418,4192,1918,499,220,24248,93952,41556,33886,9422,4004,182823,89962,59111,80796,39043,18506,287413,2182,778,728,423,389,4495,205299,105943,117536,49496,23178,501461,31,23,11,0,0,65,796,71,32,10,0,920,8212,1705,514,132,54,10618,14457,6023,3341,900,327,25051,1856,1188,1481,680,337,5552,340,117,67,31,29,588,25695,9127,5448,1759,758,42788,94,17,3,0,0,112,2649,322,62,7,5,3054,8921,2151,758,158,30,12019,5494,2118,1159,350,131,9248,373,215,228,106,56,981,231,72,39,16,14,373,17762,4893,2249,650,236,25785,286,44,29,6,5,372,892,60,27,10,0,993,637,132,69,23,9,864,375,88,72,25,12,563,154,38,47,32,22,293,166,29,11,3,0,213,2517,387,253,99,52,3304,220,75,43,30,11,370,251490,120419,125537,52031,24234,573710,186,62,61,27,39,377,1577,308,163,76,73,2197,16106,3750,1934,512,247,22557,94138,42537
6,79,19,19,7,3,125,841,116,63,19,14,1045,9767,2267,841,175,57,13103,36591,16126,14168,4180,1455,72527,11049,6806,9201,5388,2774,35218,653,163,120,60,29,1026,58984,25489,24413,9830,4333,123048,4,0,0,0,0,4,194,28,3,0,0,225,1854,386,113,20,0,2378,574,291,179,55,18,1114,89,63,69,36,36,295,41,3,5,0,0,49,2749,767,371,115,51,4058,14,0,0,0,0,18,463,44,11,0,0,521,2375,535,146,14,0,3070,492,236,144,32,10,923,57,48,32,23,19,179,61,11,8,0,0,85,3464,878,342,76,32,4797,13,8,3,0,0,25,103,5,4,0,0,112,122,31,19,9,4,188,82,45,34,6,3,172,36,14,20,9,12,86,20,4,0,0,0,26,371,111,81,24,15,607,28,14,16,6,5,70,65603,27267,25229,10054,4439,132582,76,29,18,5,3,133,866,108,80,20,12,1079,10376,2201,867,194,57,13695,36666,15776
7,57,24,14,5,17,119,379,66,38,28,30,549,1344,532,383,186,322,2772,6203,4319,4210,1780,2350,18861,2242,2029,2880,1873,1872,10894,188,108,108,66,136,597,10401,7080,7632,3944,4729,33790,12,0,0,0,0,15,159,29,8,0,0,196,1094,383,187,40,12,1711,688,383,260,83,41,1453,85,73,98,59,31,347,42,15,6,9,3,77,2077,884,560,192,91,3796,22,6,0,0,0,37,313,53,12,5,10,394,1877,693,335,103,58,3071,743,340,230,69,33,1419,26,15,21,6,6,83,51,21,15,4,9,101,3034,1129,616,197,111,5100,154,38,22,11,19,239,298,26,17,5,8,359,132,43,29,10,17,225,74,33,26,13,17,163,49,21,23,19,11,119,70,11,8,4,5,97,781,169,124,58,77,1208,79,26,24,12,11,151,16379,9286,8956,4402,5022,44043,60,17,14,9,13,116,426,79,64,20,33,624,1219,498,333,201,309,2560,6316,4145
8,18,8,6,8,0,38,165,34,15,6,3,226,1344,332,139,26,11,1846,14963,8055,6842,1757,521,32137,11999,8468,11836,5668,2413,40382,206,79,56,31,20,398,28692,16979,18899,7494,2973,75033,6,6,0,3,0,15,170,19,6,0,0,201,1683,454,145,22,5,2305,3357,1691,987,262,72,6373,463,329,342,153,72,1361,52,14,13,8,3,88,5738,2503,1493,443,158,10336,20,8,0,0,0,28,1335,136,23,0,0,1496,2651,712,214,39,4,3616,670,311,161,33,12,1188,43,27,31,19,5,119,45,5,0,0,0,54,4762,1207,436,89,17,6504,0,0,0,0,0,0,21,0,0,0,0,21,23,10,0,0,0,31,8,4,4,3,0,17,0,0,0,6,0,11,0,0,0,0,0,0,47,12,4,3,0,72,14,9,9,0,0,34,39257,20705,20837,8030,3147,91983,14,8,9,5,0,34,126,53,27,14,13,221,1181,329,156,36,8,1715,13932,7468
9,0,0,0,0,0,0,6,0,0,0,0,6,24,7,4,4,0,35,73,55,42,21,8,198,16,18,24,21,34,110,0,0,0,0,0,4,118,81,68,41,43,351,0,0,0,0,0,0,0,0,0,0,0,0,10,6,4,0,0,22,6,4,0,0,0,18,0,5,0,0,0,0,6,0,0,0,0,6,19,16,8,3,0,42,0,0,0,0,0,0,8,6,0,0,0,9,19,20,4,0,0,44,21,14,12,10,4,63,0,3,0,0,3,4,0,3,0,0,0,5,52,40,22,7,8,132,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,10,0,0,0,0,11,195,142,91,59,49,541,0,0,0,0,0,0,12,4,0,0,0,21,93,24,12,6,0,135,197,83
