STE_CODE_2021,C11_Aus_BP_B_OS,C11_Aus_Fa_O_B_OS,C11_Aus_Mo_O_B_OS,C11_Aus_BP_B_Aus,C11_Aus_Bplace_NS,C11_Aus_Tot_resp,C11_Aus_Ab_BP_B_OS,C11_Aus_Ab_Fa_O_B_OS,C11_Aus_Ab_Mo_O_B_OS,C11_Aus_Ab_BP_B_Aus,C11_Aus_Abor_Bplace_NS,C11_Aus_Abor_Tot_respons,C11_Chi_BP_B_OS,C11_Chi_Fa_O_B_OS,C11_Chi_Mo_O_B_OS,C11_Chi_BP_B_Aus,C11_Chi_Bplace_NS,C11_Chi_Tot_resp,C11_Cro_BP_B_OS,C11_Cro_Fa_O_B_OS,C11_Cro_Mo_O_B_OS,C11_Cro_BP_B_Aus,C11_Cro_Bplace_NS,C11_Cro_Tot_resp,C11_Dut_BP_B_OS,C11_Dut_Fa_O_B_OS,C11_Dut_Mo_O_B_OS,C11_Dut_BP_B_Aus,C11_Dut_Bplace_NS,C11_Dut_Tot_resp,C11_Eng_BP_B_OS,C11_Eng_Fa_O_B_OS,C11_Eng_Mo_O_B_OS,C11_Eng_BP_B_Aus,C11_Eng_Bplace_NS,C11_Eng_Tot_resp,C11_Fil_BP_B_OS,C11_Fil_Fa_O_B_OS,C11_Fil_Mo_O_B_OS,C11_Fil_BP_B_Aus,C11_Fil_Bplace_NS,C11_Fil_Tot_resp,C11_Fre_BP_B_OS,C11_Fre_Fa_O_B_OS,C11_Fre_Mo_O_B_OS,C11_Fre_BP_B_Aus,C11_Fre_Bplace_NS,C11_Fre_Tot_resp,C11_Ger_BP_B_OS,C11_Ger_Fa_O_B_OS,C11_Ger_Mo_O_B_OS,C11_Ger_BP_B_Aus,C11_Ger_Bplace_NS,C11_Ger_Tot_resp,C11_Gre_BP_B_OS,C11_Gre_Fa_O_B_OS,C11_Gre_Mo_O_B_OS,C11_Gre_BP_B_Aus,C11_Gre_Bplace_NS,C11_Gre_Tot_resp,C11_Hun_BP_B_OS,C11_Hun_Fa_O_B_OS,C11_Hun_Mo_O_B_OS,C11_Hun_BP_B_Aus,C11_Hun_Bplace_NS,C11_Hun_Tot_resp,C11_Ind_BP_B_OS,C11_Ind_Fa_O_B_OS,C11_Ind_Mo_O_B_OS,C11_Ind_BP_B_Aus,C11_Ind_Bplace_NS,C11_Ind_Tot_resp,C11_Iri_BP_B_OS,C11_Iri_Fa_O_B_OS,C11_Iri_Mo_O_B_OS,C11_Iri_BP_B_Aus,C11_Iri_Bplace_NS,C11_Iri_Tot_resp,C11_Ita_BP_B_OS,C11_Ita_Fa_O_B_OS,C11_Ita_Mo_O_B_OS,C11_Ita_BP_B_Aus,C11_Ita_Bplace_NS,C11_Ita_Tot_resp,C11_Kor_BP_B_OS,C11_Kor_Fa_O_B_OS,C11_Kor_Mo_O_B_OS,C11_Kor_BP_B_Aus,C11_Kor_Bplace_NS,C11_Kor_Tot_resp,C11_Leb_BP_B_OS,C11_Leb_Fa_O_B_OS,C11_Leb_Mo_O_B_OS,C11_Leb_BP_B_Aus,C11_Leb_Bplace_NS,C11_Leb_Tot_resp,C11_Mac_BP_B_OS,C11_Mac_Fa_O_B_OS,C11_Mac_Mo_O_B_OS,C11_Mac_BP_B_Aus,C11_Mac_Bplace_NS,C11_Mac_Tot_resp,C11_Mal_BP_B_OS,C11_Mal_Fa_O_B_OS,C11_Mal_Mo_O_B_OS,C11_Mal_BP_B_Aus,C11_Mal_Bplace_NS,C11_Mal_Tot_resp,C11_Mao_BP_B_OS,C11_Mao_Fa_O_B_OS,C11_Mao_Mo_O_B_OS,C11_Mao_BP_B_Aus,C11_Mao_Bplace_NS,C11_Mao_Tot_resp,C11_NZ_BP_B_OS,C11_NZ_Fa_O_B_OS,C11_NZ_Mo_O_B_OS,C11_NZ_BP_B_Aus,C11_NZ_Bplace_NS,C11_NZ_Tot_resp,C11_Pol_BP_B_OS,C11_Pol_Fa_O_B_OS,C11_Pol_Mo_O_B_OS,C11_Pol_BP_B_Aus,C11_Pol_Bplace_NS,C11_Pol_Tot_resp,C11_Rus_BP_B_OS,C11_Rus_Fa_O_B_OS,C11_Rus_Mo_O_B_OS,C11_Rus_BP_B_Aus,C11_Rus_Birthplac_ns,C11_Rus_Tot_resp,C11_Sam_BP_B_OS,C11_Sam_Fa_O_B_OS,C11_Sam_Mo_O_B_OS,C11_Sam_BP_B_Aus,C11_Sam_Birthplac_ns,C11_Sam_Tot_resp,C11_Sco_BP_B_OS,C11_Sco_Fa_O_B_OS,C11_Sco_Mo_O_B_OS,C11_Sco_BP_B_Aus,C11_Sco_Birthplac_ns,C11_Sco_Tot_resp,C11_Ser_BP_B_OS,C11_Ser_Fa_O_B_OS,C11_Ser_Mo_O_B_OS,C11_Ser_BP_B_Aus,C11_Ser_Bplace_NS,C11_Ser_Tot_resp,C11_SAf_BP_B_OS,C11_SAf_Fa_O_B_OS,C11_SAf_Mo_O_B_OS,C11_SAf_BP_B_Aus,C11_SAf_Bplace_NS,C11_SAf_Tot_resp,C11_Span_BP_B_OS,C11_Span_Fa_O_B_OS,C11_Span_Mo_O_B_OS,C11_Span_BP_B_Aus,C11_Span_Bplace_NS,C11_Span_Tot_resp,C11_SriL_BP_B_OS,C11_SriL_Fa_O_B_OS,C11_SriL_Mo_O_B_OS,C11_SriL_BP_B_Aus,C11_SriL_Bplace_NS,C11_SriL_Tot_resp,C11_Viet_BP_B_OS,C11_Viet_Fa_O_B_OS,C11_Viet_Mo_O_B_OS,C11_Viet_BP_B_Aus,C11_Viet_Bplace_NS,C11_Viet_Tot_resp,C11_Wel_BP_B_OS,C11_Wel_Fa_O_B_OS,C11_Wel_Mo_O_B_OS,C11_Wel_BP_B_Aus,C11_Wel_Bplace_NS,C11_Wel_Tot_resp,C11_Oth_BP_B_OS,C11_Oth_Fa_O_B_OS,C11_Oth_Mo_O_B_OS,C11_Oth_BP_B_Aus,C11_Oth_Bplace_NS,C11_Oth_Tot_resp,C11_Anc_ns_BP_B_OS,C11_Anc_ns_Fa_O_B_OS,C11_Anc_ns_Mo_O_B_OS,C11_Anc_ns_BP_B_Aus,C11_Anc_ns_Bplace_NS,C11_Anc_NS_Tot_resp,C11_Tot_P_BP_B_OS,C11_Tot_P_Fa_O_B_OS,C11_Tot_P_Mo_O_B_OS,C11_Tot_P_BP_B_Aus,C11_Tot_P_Bplace_NS,C11_Tot_P_Tot_resp,C16_Aus_BP_B_OS,C16_Aus_Fa_O_B_OS
1,53346,213237,152836,1746392,51348,2217164,68,929,455,21305,934,23692,343766,6223,8654,12729,7088,378464,30065,3978,1846,6144,832,42864,38056,12339,7463,18454,1117,77436,403528,181772,127993,1387997,50499,2151787,82053,1724,6954,916,2294,93939,17473,3071,2157,12769,641,36116,59613,17169,11472,123428,3739,215423,75531,12534,5553,30539,2755,126904,15811,2946,1286,3182,357,23587,129454,2768,2129,1783,2548,138688,86144,42337,27981,492190,12557,661208,118248,30990,12136,79782,5001,246152,48965,284,838,447,1067,51612,102520,16983,6690,15957,4729,146875,28319,2921,1281,3850,934,37306,33376,8472,4384,17439,1231,64905,22764,3872,2406,2078,1072,32193,28746,9933,7443,3620,992,50730,30950,4766,3055,8612,783,48166,19673,1940,1559,3736,434,27340,17832,1893,692,320,948,21678,92502,44749,31945,350423,8884,528506,22320,1821,869,1720,595,27322,25132,2807,1945,868,408,31164,29080,2348,1846,4998,911,39187,16867,859,596,459,351,19139,76812,806,1237,552,2485,81897,13924,4533,2781,15767,534,37551,544036,49810,34781,53588,16240,698464,51878,7553,5794,79764,333696,478686,2363789,433837,294596,3342217,483216,6917657,70725,230526
2,36422,161621,114479,1258984,34726,1606231,42,265,151,4245,246,4948,232322,3827,5470,8338,4640,254602,29790,3714,1606,5282,779,41174,46658,15380,8881,24173,1355,96446,307339,138899,99776,1032712,36187,1614914,43591,756,3996,493,1224,50061,12713,2130,1455,9766,457,26525,52731,15964,10076,101696,3233,183694,105007,14476,6283,32510,3506,161784,14830,2457,1228,3093,385,21995,124076,2731,1912,1399,2255,132375,64267,34097,21988,392070,9601,522024,168656,36566,14971,100810,6952,327959,11041,93,255,186,218,11791,28758,4633,1895,3645,1295,40232,31496,3281,1490,4829,987,42080,40037,8218,4485,15122,1405,69266,13888,1759,1324,829,565,18365,20438,6602,4960,1897,655,34549,35024,5172,3201,8935,859,53195,16150,1528,1138,2573,353,21739,9234,555,298,97,491,10674,75093,34884,25792,293962,7240,436974,18165,1409,687,1336,464,22066,15874,1770,1421,608,263,19934,14407,1477,1173,3626,513,21193,33369,2131,1256,1078,658,38492,75864,753,1146,494,2531,80786,9091,2884,1907,11045,338,25269,407726,37479,25652,44788,13089,528733,45652,6202,4530,60956,229129,346468,1911661,343514,230298,2528183,340383,5354035,52951,177047
3,24971,148555,115575,1264921,33972,1587996,85,718,338,28832,688,30654,75629,2803,3558,11089,1770,94851,7313,1344,527,1926,176,11290,34254,10595,6556,16801,1003,69219,366038,132622,99133,997104,34569,1629466,31289,887,5520,709,943,39352,11792,2045,1457,8862,401,24560,44879,16701,11619,193307,4389,270890,11131,4017,1600,10360,584,27691,6965,1406,513,1666,151,10696,41201,1528,1107,1468,833,46142,68486,29627,20631,357899,8291,484933,37508,14887,5934,55802,2123,116258,13374,70,293,221,305,14265,2929,954,437,2234,154,6714,1553,243,105,275,30,2216,6076,2413,1324,6555,294,16665,37728,4232,3059,1762,1498,48281,39216,10107,7558,2498,1235,60618,12900,2539,1649,6704,379,24177,7126,1167,840,3092,213,12434,17535,1221,576,328,888,20543,87403,33152,24071,269711,6668,421004,5017,507,234,479,101,6332,20841,1553,1289,542,307,24536,9910,1377,950,4284,320,16846,6001,513,338,467,116,7429,19612,417,488,245,656,21417,10673,2878,1766,11185,312,26824,193081,26712,21648,58204,7000,306638,21015,4787,4312,61015,224148,315283,1057875,282590,210568,2471956,309745,4332739,32039,163798
4,8750,53166,39390,437581,12201,551096,22,231,143,7008,282,7686,33269,756,885,1463,651,37026,5119,817,359,1268,146,7706,13920,4349,2648,6048,404,27372,149393,52358,41472,352158,12971,608348,9523,248,1273,162,309,11513,2550,560,392,3006,151,6652,20510,8125,5374,88666,1950,124628,21790,3814,1521,9723,827,37677,3501,745,240,893,94,5478,19253,472,316,414,386,20837,20963,8372,5624,84027,2263,121247,46342,10777,3972,29024,1773,91889,3421,56,115,110,59,3751,2675,676,275,1044,126,4797,1050,139,86,294,21,1590,3191,918,504,1769,119,6495,1963,518,326,318,118,3241,3551,1480,966,387,138,6525,11313,1673,891,3815,289,17975,3970,435,328,801,79,5619,225,60,23,6,15,329,29888,10982,8322,76781,2058,128045,4536,406,193,409,111,5669,3801,322,283,134,73,4611,2594,368,233,888,95,4177,2115,127,105,88,50,2490,14370,400,330,179,503,15780,5135,1160,777,3789,144,11006,74578,8689,5376,12835,2519,103995,8517,1482,1202,18237,60790,90223,467496,107093,75328,853041,93619,1596570,12332,56130
5,18351,97703,75603,516205,16499,724363,43,409,166,18351,431,19401,68548,1562,2209,2332,1283,75935,9428,2197,983,4613,263,17484,24267,6745,4220,9446,644,45318,319277,87150,68259,355823,17719,848232,17777,288,1581,226,535,20403,7321,853,739,2730,202,11843,22896,5791,4309,28891,1129,63024,6350,1922,862,4463,230,13824,2988,533,289,586,71,4461,36034,1541,1072,1022,637,40306,57882,14990,10770,99894,3500,187037,47745,14995,6470,40498,2190,111895,4349,44,152,82,89,4724,1937,337,208,369,75,2918,6267,819,444,1592,199,9321,2164,716,336,941,87,4240,18849,1714,1295,482,723,23057,18099,4985,3201,827,505,27621,12201,1737,1168,3254,287,18650,3143,340,354,725,73,4630,1445,140,63,33,57,1731,69063,18152,13734,82420,3110,186478,5196,332,169,304,108,6108,22759,1280,1061,285,303,25686,4915,537,434,1694,157,7735,4264,364,220,166,63,5087,14870,246,298,126,415,15954,10882,2015,1339,4127,282,18644,151851,14921,11772,15777,4379,198710,14744,2558,2196,18819,131922,170244,854106,175315,130097,903104,176545,2239170,24036,105727
6,1296,14381,10241,187677,4980,218575,11,40,15,1098,43,1203,3762,188,183,791,103,5015,497,188,27,207,10,924,4711,1559,1068,3041,130,10510,29146,13611,9776,159088,5443,217075,1228,53,369,44,36,1730,613,123,86,788,22,1632,3923,1444,794,10593,301,17061,1062,306,88,677,44,2186,498,192,43,193,14,941,1683,116,94,138,26,2053,4309,2541,1521,40832,1053,50252,2181,1083,279,2979,130,6651,583,14,29,40,12,676,133,63,9,94,3,299,42,18,8,7,0,72,233,122,48,189,11,600,512,222,125,188,28,1070,1282,588,452,238,46,2607,1708,517,149,962,41,3380,419,75,69,177,13,748,73,35,14,28,3,152,6634,3169,2134,30515,744,43196,175,43,10,41,8,274,841,125,89,34,12,1097,467,78,31,355,14,942,222,26,9,32,0,294,255,18,25,11,8,311,1103,323,175,1064,37,2702,11596,2433,1551,3796,454,19834,935,376,330,9430,18305,29378,69304,26627,18041,351940,29443,495351,1545,15011
7,1030,5703,5214,50279,1657,63883,36,179,65,38604,311,39189,3281,220,309,1049,100,4953,155,47,27,81,4,319,1260,437,313,719,35,2770,10764,4596,3808,31366,1130,51669,3698,61,386,113,119,4380,436,74,60,329,30,935,1934,651,520,5122,143,8372,1959,534,182,864,104,3644,197,57,26,71,3,358,2158,78,71,74,43,2424,2533,1082,834,11749,290,16500,1211,520,211,1650,74,3672,287,5,14,16,5,318,79,9,9,51,0,150,47,3,5,17,4,77,118,67,26,124,3,341,889,160,112,94,40,1293,1105,324,299,114,40,1884,363,107,54,229,16,768,157,32,24,95,6,311,124,13,8,12,0,170,2667,1106,905,8729,202,13606,69,9,0,14,0,98,495,49,45,29,4,624,385,38,27,156,15,625,297,29,17,33,6,386,793,22,31,7,27,886,342,126,78,436,13,996,10503,1190,1268,2482,408,15855,969,177,201,2902,20422,24667,42611,10811,9130,125124,24272,211946,1473,5878
8,2352,14910,11890,97691,1829,128675,6,40,16,626,24,705,12972,374,621,723,249,14946,3044,445,168,757,96,4512,2728,1101,695,1807,86,6415,22235,12255,9440,70897,1867,116687,2718,82,369,85,71,3325,977,212,185,740,27,2136,4442,1494,1021,8378,194,15531,2462,526,230,1257,79,4556,994,224,136,273,16,1639,7486,180,184,98,114,8063,4665,3031,2308,33842,625,44476,4991,1556,623,4307,158,11631,1637,30,86,53,33,1837,674,143,65,228,33,1146,661,72,44,114,21,907,625,224,147,461,9,1468,538,146,121,98,23,920,1426,582,444,170,47,2669,2436,392,344,824,50,4041,968,133,114,243,20,1476,435,70,37,8,21,559,5924,3260,2582,22520,456,34738,1280,163,70,139,22,1675,971,148,121,49,19,1300,1534,216,134,341,19,2250,1609,70,72,43,28,1818,3752,54,165,39,87,4090,914,335,212,1122,17,2598,26748,3296,2990,3742,719,37501,1812,335,253,2992,13949,19338,108894,27349,21035,180527,19415,357219,3026,15442
9,12,51,49,392,8,511,0,0,0,189,0,194,396,9,15,11,0,429,0,0,0,0,0,5,5,3,5,6,0,19,102,34,31,188,10,366,10,0,3,0,5,11,0,0,0,0,0,3,21,7,4,18,0,49,4,0,0,0,0,7,0,0,0,3,0,3,15,3,0,0,0,22,14,9,3,61,0,86,0,4,0,6,0,11,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6,0,0,0,0,7,0,0,10,0,9,0,3,0,0,0,4,7,0,0,0,0,6,0,0,0,0,0,4,0,0,0,0,0,0,30,3,3,32,0,69,0,0,0,0,0,0,10,0,0,0,0,10,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,8,248,54,61,240,44,650,33,0,5,44,857,944,848,135,133,998,921,3034,35,128
