STE_CODE_2021,C21_F_CL_C_I_II_15_19,C21_F_CL_C_I_II_20_24,C21_F_CL_C_I_II_25_34,C21_F_CL_C_I_II_35_44,C21_F_CL_C_I_II_45_54,C21_F_CL_C_I_II_55_64,C21_F_CL_C_I_II_65_74,C21_F_CL_C_I_II_75_84,C21_F_CL_C_I_II_85over,C21_F_CL_C_I_II_Tot,C21_F_CL_CL_nfd_15_19,C21_F_CL_CL_nfd_20_24,C21_F_CL_CL_nfd_25_34,C21_F_CL_CL_nfd_35_44,C21_F_CL_CL_nfd_45_54,C21_F_CL_CL_nfd_55_64,C21_F_CL_CL_nfd_65_74,C21_F_CL_CL_nfd_75_84,C21_F_CL_CL_nfd_85over,C21_F_CL_CL_nfd_Tot,C21_F_CL_Tot_15_19,C21_F_CL_Tot_20_24,C21_F_CL_Tot_25_34,C21_F_CL_Tot_35_44,C21_F_CL_Tot_45_54,C21_F_CL_Tot_55_64,C21_F_CL_Tot_65_74,C21_F_CL_Tot_75_84,C21_F_CL_Tot_85over,C21_F_CL_Tot_Tot,C21_F_LE_ID_15_19,C21_F_LE_ID_20_24,C21_F_LE_ID_25_34,C21_F_LE_ID_35_44,C21_F_LE_ID_45_54,C21_F_LE_ID_55_64,C21_F_LE_ID_65_74,C21_F_LE_ID_75_84,C21_F_LE_ID_85over,C21_F_LE_ID_Tot,C21_F_LE_NS_15_19,C21_F_LE_NS_20_24,C21_F_LE_NS_25_34,C21_F_LE_NS_35_44,C21_F_LE_NS_45_54,C21_F_LE_NS_55_64,C21_F_LE_NS_65_74,C21_F_LE_NS_75_84,C21_F_LE_NS_85over,C21_F_LE_NS_Tot,C21_F_Tot_15_19_yrs,C21_F_Tot_20_24_yrs,C21_F_Tot_25_34_yrs,C21_F_Tot_35_44_yrs,C21_F_Tot_45_54_yrs,C21_F_Tot_55_64_yrs,C21_F_Tot_65_74_yrs,C21_F_Tot_75_84_yrs,C21_F_Tot_85over,C21_F_Tot_Tot,C11_P_Post_Deg_15_19_yrs,C11_P_Post_Deg_20_24_yrs,C11_P_Post_Deg_25_34_yrs,C11_P_Post_Deg_35_44_yrs,C11_P_Post_Deg_45_54_yrs,C11_P_Post_Deg_55_64_yrs,C11_P_Post_Deg_65_74_yrs,C11_P_Post_Deg_75_84_yrs,C11_P_Post_Deg_85over,C11_P_Post_Deg_Tot,C11_P_GrDip_GrCe_15_19,C11_P_GrDip_GrCe_20_24,C11_P_GrDip_GrCe_25_34,C11_P_GrDip_GrCe_35_44,C11_P_GrDip_GrCe_45_54,C11_P_GrDip_GrCe_55_64,C11_P_GrDip_GrCe_65_74,C11_P_GrDip_GrCe_75_84,C11_P_GrDip_GrCe_85over,C11_P_GrDip_GrCe_Tot,C11_P_BD_15_19,C11_P_BD_20_24,C11_P_BD_25_34,C11_P_BD_35_44,C11_P_BD_45_54,C11_P_BD_55_64,C11_P_BD_65_74,C11_P_BD_75_84,C11_P_BD_85over,C11_P_BD_Tot,C11_P_AdD_DL_15_19,C11_P_AdD_DL_20_24,C11_P_AdD_DL_25_34,C11_P_AdD_DL_35_44,C11_P_AdD_DL_45_54,C11_P_AdD_DL_55_64,C11_P_AdD_DL_65_74,C11_P_AdD_DL_75_84,C11_P_AdD_DL_85over,C11_P_AdD_DL_Tot,C11_P_CL_C_III_IV_15_19,C11_P_CL_C_III_IV_20_24,C11_P_CL_C_III_IV_25_34,C11_P_CL_C_III_IV_35_44,C11_P_CL_C_III_IV_45_54,C11_P_CL_C_III_IV_55_64,C11_P_CL_C_III_IV_65_74,C11_P_CL_C_III_IV_75_84,C11_P_CL_C_III_IV_85over,C11_P_CL_C_III_IV_Tot,C11_P_CL_C_I_II_15_19,C11_P_CL_C_I_II_20_24,C11_P_CL_C_I_II_25_34,C11_P_CL_C_I_II_35_44,C11_P_CL_C_I_II_45_54,C11_P_CL_C_I_II_55_64,C11_P_CL_C_I_II_65_74,C11_P_CL_C_I_II_75_84,C11_P_CL_C_I_II_85over,C11_P_CL_C_I_II_Tot,C11_P_CL_CL_nfd_15_19,C11_P_CL_CL_nfd_20_24,C11_P_CL_CL_nfd_25_34,C11_P_CL_CL_nfd_35_44,C11_P_CL_CL_nfd_45_54,C11_P_CL_CL_nfd_55_64,C11_P_CL_CL_nfd_65_74,C11_P_CL_CL_nfd_75_84,C11_P_CL_CL_nfd_85over,C11_P_CL_CL_nfd_Tot,C11_P_CL_Tot_15_19,C11_P_CL_Tot_20_24,C11_P_CL_Tot_25_34,C11_P_CL_Tot_35_44,C11_P_CL_Tot_45_54,C11_P_CL_Tot_55_64,C11_P_CL_Tot_65_74,C11_P_CL_Tot_75_84,C11_P_CL_Tot_85over,C11_P_CL_Tot_Tot,C11_P_LE_ID_15_19,C11_P_LE_ID_20_24,C11_P_LE_ID_25_34,C11_P_LE_ID_35_44,C11_P_LE_ID_45_54,C11_P_LE_ID_55_64,C11_P_LE_ID_65_74,C11_P_LE_ID_75_84,C11_P_LE_ID_85over,C11_P_LE_ID_Tot,C11_P_LE_NS_15_19,C11_P_LE_NS_20_24,C11_P_LE_NS_25_34,C11_P_LE_NS_35_44,C11_P_LE_NS_45_54,C11_P_LE_NS_55_64,C11_P_LE_NS_65_74,C11_P_LE_NS_75_84,C11_P_LE_NS_85over,C11_P_LE_NS_Tot,C11_P_Tot_15_19_yrs,C11_P_Tot_20_24_yrs,C11_P_Tot_25_34_yrs,C11_P_Tot_35_44_yrs,C11_P_Tot_45_54_yrs,C11_P_Tot_55_64_yrs,C11_P_Tot_65_74_yrs,C11_P_Tot_75_84_yrs,C11_P_Tot_85over,C11_P_Tot_Tot,C16_P_Post_Deg_15_19_yrs,C16_P_Post_Deg_20_24_yrs,C16_P_Post_Deg_25_34_yrs,C16_P_Post_Deg_35_44_yrs,C16_P_Post_Deg_45_54_yrs,C16_P_Post_Deg_55_64_yrs,C16_P_Post_Deg_65_74_yrs,C16_P_Post_Deg_75_84_yrs,C16_P_Post_Deg_85over,C16_P_Post_Deg_Tot,C16_P_GrDip_GrCe_15_19,C16_P_GrDip_GrCe_20_24,C16_P_GrDip_GrCe_25_34,C16_P_GrDip_GrCe_35_44,C16_P_GrDip_GrCe_45_54,C16_P_GrDip_GrCe_55_64,C16_P_GrDip_GrCe_65_74,C16_P_GrDip_GrCe_75_84,C16_P_GrDip_GrCe_85over,C16_P_GrDip_GrCe_Tot,C16_P_BD_15_19,C16_P_BD_20_24,C16_P_BD_25_34,C16_P_BD_35_44,C16_P_BD_45_54,C16_P_BD_55_64,C16_P_BD_65_74,C16_P_BD_75_84,C16_P_BD_85over,C16_P_BD_Tot
1,2545,4472,6969,7346,8736,9169,6090,1831,481,47636,1198,3278,6795,9501,16397,19923,16736,7871,2649,84343,11794,39243,86951,85677,92180,85683,49172,17522,5572,473796,313,1120,3633,4011,3960,4869,5369,3313,1110,27707,13329,16192,41450,36911,32259,33841,36265,34475,26392,271121,27535,130213,476589,459564,381760,309834,212867,100839,45167,2144373,53,4360,67577,63105,49739,34702,14217,4188,900,238852,35,1328,15660,20565,20142,17391,5619,1571,306,82616,463,59084,233702,192090,139256,98454,42419,16914,4962,787337,2674,32709,91121,108183,95851,72304,37636,16691,4889,462062,14546,70163,158745,167811,168532,122332,71783,35686,10192,819782,5190,9091,15187,13821,12542,8383,3328,1114,330,68976,1845,5760,12944,18954,21649,19713,10864,4602,1619,97953,21577,85019,186874,200580,202723,150421,85969,41403,12146,986704,1338,5054,13135,16118,20940,19873,13203,7581,3049,100289,43191,37086,74943,71937,74039,71146,67093,63421,36208,539067,69328,224637,683017,672572,602687,464295,266166,151769,62456,3196925,61,5747,99809,95326,64108,45777,24796,7203,1662,344488,138,1888,18727,23805,22030,22239,11115,2802,586,103340,645,76271,285761,231367,160658,121838,68091,24750,7499,976885
2,1918,2940,5170,5481,5194,5019,3352,960,218,30263,730,2262,5283,7095,10081,10080,7469,3639,1371,48016,7636,27235,67881,66045,67162,57933,31264,10532,3401,339078,168,837,2770,2814,2307,2481,2748,1908,820,16868,9800,12141,32239,28105,24569,24887,27644,25391,18201,202979,18744,106880,412340,387768,305237,230847,155773,72860,31506,1721959,24,3298,52175,44846,33833,23113,9725,2750,615,170382,25,1662,20139,25909,22975,17389,5648,1355,260,95353,326,54540,204653,156284,105921,72966,30897,12115,3521,641220,1725,30220,78023,81075,70218,56681,30171,12921,3729,364761,12941,56176,123244,129265,123950,86417,48822,23807,6567,611191,4383,6216,10456,8308,7030,4726,1664,555,175,43504,1448,4595,9931,12615,12579,10098,5141,2238,856,59495,18771,66981,143634,150185,143553,101232,55626,26601,7598,714189,614,2601,7054,7825,8520,8026,5795,3511,1395,45347,32873,28895,55940,53608,54394,54083,52348,50760,29390,412290,54353,188190,561612,519737,439416,333508,190201,110014,46503,2443539,50,5707,83240,71669,45484,31261,16879,4686,1066,260039,125,2320,23969,28896,26958,23067,10830,2557,501,119229,460,68678,245618,192908,126446,90716,49911,17900,5636,798270
3,5660,4749,6353,5342,4627,4307,3108,871,133,35146,1627,2239,4971,6808,8955,9087,7128,2992,831,44640,19643,35567,71910,69204,68067,57893,30795,8939,2019,364031,311,610,1603,1891,1966,2160,2322,1542,520,12931,9995,11995,28080,24420,22829,22291,22460,20287,13463,175820,33397,92670,280074,281680,246123,190281,121809,54737,21330,1322101,12,1570,23211,25098,21698,15038,6069,1639,305,94645,35,1063,9340,13799,12406,9019,3000,691,123,49474,298,33645,120387,101191,69836,48361,21534,7509,2012,404768,2339,16300,48499,62336,57586,42608,21183,7904,2019,260778,15695,53484,121923,122432,117144,87034,47003,19527,4757,589005,8058,8029,11106,7793,5972,3899,1427,398,99,46781,1822,4158,9013,11107,10203,8671,4251,1515,474,51213,25569,65670,142046,141337,133314,99604,52681,21442,5330,686998,794,2194,5623,6720,7706,7489,5375,2914,929,39753,28332,25177,48350,48580,47896,44217,40166,35678,20516,338904,57374,145616,397457,399063,350446,266334,150016,77783,31233,1875320,20,1865,32831,36193,28556,20329,10842,2988,611,134244,79,1684,12632,15943,15989,12728,5890,1558,240,66743,355,39102,137274,120799,85180,60051,34784,11779,3112,492423
4,802,1189,2626,2358,1888,1614,1106,307,84,11982,310,689,1524,2156,3180,3100,2561,1238,437,15190,4276,10494,24542,23514,23065,20242,11372,3716,1176,122398,75,212,600,626,632,719,779,560,200,4399,2574,2716,6239,5756,5991,6581,7781,7518,4865,50021,7099,26789,92633,91062,77952,66666,48128,22084,8866,441289,9,593,9455,8707,7570,6000,2671,828,176,36001,3,279,3242,4794,5238,4738,1558,359,65,20273,79,12277,44249,34767,26002,20894,9215,3559,1138,152186,287,4832,15314,20764,21925,18679,9133,3549,1204,95691,3746,18033,40422,41400,41416,31295,17760,9163,2612,205846,1988,3208,5022,3302,2477,1501,618,207,54,18385,511,1595,3664,4549,4222,3886,1987,832,271,21519,6249,22834,49107,49254,48116,36685,20366,10200,2941,245754,243,763,1981,2484,2606,2464,1742,1079,429,13792,9123,7168,13230,14140,15494,15552,15360,16343,10100,116510,15993,48749,136577,134913,126952,105008,60037,35924,16051,680214,8,702,13580,13383,9530,7519,4531,1422,328,50997,9,451,4052,5471,5612,5725,2998,683,129,25131,88,13280,49803,42258,29031,24123,14992,5023,1785,180384
5,3301,3650,3690,3096,2661,2286,1470,531,103,20785,570,1037,2323,3674,5258,5210,3822,1817,611,24323,9320,18329,36560,34336,32246,25999,14170,4785,1343,177080,119,389,1187,1447,1389,1444,1673,1074,380,9102,4325,5348,13911,12630,11330,11159,11280,9887,6872,86745,14418,45069,148014,150838,122609,94623,61821,28736,12011,678144,6,851,13280,13714,11479,7969,3248,910,181,51629,21,690,6388,8200,7293,4834,1567,411,74,29480,113,19298,70968,57652,40741,27794,12088,4543,1197,234404,1268,9912,27330,32391,32108,24674,12328,4919,1347,146285,8620,29517,62785,61618,59447,42386,22263,10353,2837,299824,2844,3664,5262,3899,3084,2063,817,284,76,21998,742,2108,4756,6112,5897,4864,2492,1012,301,28275,12207,35285,72800,71628,68430,49317,25571,11643,3215,350096,534,1926,4885,5800,6630,6748,5100,2761,1052,35442,13818,14371,30100,27710,24725,21176,16610,15585,8754,172857,27966,82333,225756,217097,191406,142510,76516,40779,15822,1020182,7,994,20360,21747,15529,10442,5588,1643,354,76658,32,890,8092,9631,9100,7050,2910,723,149,38579,161,22191,88042,72369,50233,34326,18976,6878,1847,295023
6,333,690,1114,840,702,699,398,136,32,4947,72,261,490,546,810,1153,997,383,161,4884,876,3904,8825,7904,7519,7044,3783,1073,339,41271,18,98,202,182,201,244,288,221,79,1536,967,975,2332,1990,2096,2714,3294,2962,1485,18824,1911,7945,30102,26283,24078,23188,17283,7985,2831,141608,0,114,1609,2127,2295,2061,973,298,73,9535,0,103,934,1432,1539,1348,440,131,32,5968,7,2527,9795,9235,8377,6929,3072,1190,380,41517,62,873,3276,5516,6171,5693,3232,1359,422,26608,1480,6406,13279,13956,14475,10715,5842,2537,663,69353,715,1186,1652,987,910,541,236,94,32,6350,93,308,670,952,1173,1117,604,259,99,5274,2285,7898,15602,15897,16560,12373,6681,2885,800,80977,74,193,503,626,804,908,602,352,106,4160,2967,1940,3432,4125,4903,5645,5917,5431,2634,36993,5399,13646,35153,38948,40645,34958,20913,11650,4449,205760,4,146,2726,2918,2794,2548,1691,457,118,13410,10,131,1170,1480,1828,1711,933,217,47,7523,14,2534,10306,10082,8414,8291,5053,1657,583,46931
7,221,225,428,342,248,176,83,18,3,1743,55,75,245,262,350,262,158,58,13,1475,620,1245,3313,2925,2443,1710,685,155,35,13123,8,37,133,86,70,56,46,19,10,456,806,890,2495,2017,1773,1494,916,383,135,10910,1457,3452,15665,12983,9951,7358,3603,1086,254,55810,0,48,1009,1081,1063,812,258,28,9,4306,0,38,615,789,811,543,100,11,3,2922,15,1112,5703,4174,3041,2142,617,133,32,16960,40,529,2282,2823,2539,1750,553,125,22,10656,590,2744,6664,6151,5208,3271,1190,277,32,26144,293,517,813,553,391,205,59,14,0,2846,48,137,358,463,368,267,108,18,7,1767,922,3403,7838,7165,5967,3745,1362,313,37,30754,28,137,324,329,336,285,126,40,9,1611,2561,2531,5476,4835,4021,2951,1518,714,221,24830,3564,7796,23246,21204,17782,12216,4531,1365,329,92034,4,65,1728,1700,1287,1023,421,76,8,6301,0,55,830,918,832,649,196,38,0,3512,10,1149,7266,5236,3426,2493,1025,243,49,20895
8,244,268,346,299,278,266,221,80,31,2041,69,136,255,348,656,794,817,407,142,3621,721,2046,4044,3655,3585,3059,2031,837,289,20272,20,70,166,197,122,153,179,134,55,1100,640,1002,1970,1498,1124,1001,1174,985,679,10077,1464,9137,33728,30927,23168,17166,12258,5797,1993,135623,0,344,6166,6672,5882,4194,1739,593,135,25736,0,177,2217,2711,2861,2312,726,130,17,11159,28,5578,19075,13390,10490,7825,3732,1406,431,61949,114,1745,5249,5994,5564,4197,2070,854,298,26085,640,3521,7469,6726,5752,3983,2170,1139,307,31700,374,587,734,514,402,302,137,43,16,3110,80,287,571,866,874,921,450,185,79,4299,1092,4398,8773,8103,7027,5201,2758,1364,398,39115,54,263,611,700,817,925,704,456,201,4728,1891,2182,3283,2591,2326,2004,1716,1644,1136,18779,3177,14695,45379,40151,34963,26670,13442,6443,2624,187552,3,388,8477,9762,7136,5066,2839,916,235,34819,5,236,2812,3012,2959,2627,1446,279,41,13410,33,6192,21220,16074,11233,8661,5497,2120,652,71683
9,10,10,3,3,12,12,4,0,0,53,3,5,0,9,0,8,10,5,0,43,11,33,39,53,52,55,27,9,0,279,0,0,0,0,4,4,12,4,0,26,19,19,58,59,50,66,35,36,11,356,31,73,193,237,196,221,132,70,14,1178,0,0,7,10,10,5,0,0,0,36,0,0,9,9,8,4,0,0,0,35,0,14,45,64,29,19,0,0,0,166,0,5,26,30,38,19,3,0,0,125,6,27,60,61,77,47,14,0,0,282,5,3,9,0,8,0,0,0,0,36,0,0,5,4,0,0,0,0,0,16,14,25,68,68,88,51,14,0,0,335,0,0,6,7,10,3,0,0,0,22,57,157,464,156,76,58,15,14,4,986,70,203,627,342,263,157,34,13,4,1711,0,0,14,23,11,10,11,3,0,74,0,6,11,19,12,3,3,0,0,59,0,14,69,85,45,68,33,4,8,333
