STE_CODE_2021,C21_M_40_44_Em_Tot,C21_M_40_44_Unem_Look_FT,C21_M_40_44_Unem_Look_PT,C21_M_40_44_Unem_Tot,C21_M_40_44_Tot_LF,C21_M_40_44_Not_LF,C21_M_40_44_LF_NS,C21_M_40_44_Tot,C21_M_45_49_Em_FT,C21_M_45_49_Em_PT,C21_M_45_49_Em_AFW,C21_M_45_49_Em_Hrs_NS,C21_M_45_49_Em_Tot,C21_M_45_49_Unem_Look_FT,C21_M_45_49_Unem_Look_PT,C21_M_45_49_Unem_Tot,C21_M_45_49_Tot_LF,C21_M_45_49_Not_LF,C21_M_45_49_LF_NS,C21_M_45_49_Tot,C21_M_50_54_Em_FT,C21_M_50_54_Em_PT,C21_M_50_54_Em_AFW,C21_M_50_54_Em_Hrs_NS,C21_M_50_54_Em_Tot,C21_M_50_54_Unem_Look_FT,C21_M_50_54_Unem_Look_PT,C21_M_50_54_Unem_Tot,C21_M_50_54_Tot_LF,C21_M_50_54_Not_LF,C21_M_50_54_LF_NS,C21_M_50_54_Tot,C21_M_55_59_Em_FT,C21_M_55_59_Em_PT,C21_M_55_59_Em_AFW,C21_M_55_59_Em_Hrs_NS,C21_M_55_59_Em_Tot,C21_M_55_59_Unem_Look_FT,C21_M_55_59_Unem_Look_PT,C21_M_55_59_Unem_Tot,C21_M_55_59_Tot_LF,C21_M_55_59_Not_LF,C21_M_55_59_LF_NS,C21_M_55_59_Tot,C21_M_60_64_Em_FT,C21_M_60_64_Em_PT,C21_M_60_64_Em_AFW,C21_M_60_64_Em_Hrs_NS,C21_M_60_64_Em_Tot,C21_M_60_64_Unem_Look_FT,C21_M_60_64_Unem_Look_PT,C21_M_60_64_Unem_Tot,C21_M_60_64_Tot_LF,C21_M_60_64_Not_LF,C21_M_60_64_LF_NS,C21_M_60_64_Tot,C21_M_65_69_Em_FT,C21_M_65_69_Em_PT,C21_M_65_69_Em_AFW,C21_M_65_69_Em_Hrs_NS,C21_M_65_69_Em_Tot,C21_M_65_69_Unem_Look_FT,C21_M_65_69_Unem_Look_PT,C21_M_65_69_Unem_Tot,C21_M_65_69_Tot_LF,C21_M_65_69_Not_LF,C21_M_65_69_LF_NS,C21_M_65_69_Tot,C21_M_70_74_Em_FT,C21_M_70_74_Em_PT,C21_M_70_74_Em_AFW,C21_M_70_74_Em_Hrs_NS,C21_M_70_74_Em_Tot,C21_M_70_74_Unem_Look_FT,C21_M_70_74_Unem_Look_PT,C21_M_70_74_Unem_Tot,C21_M_70_74_Tot_LF,C21_M_70_74_Not_LF,C21_M_70_74_LF_NS,C21_M_70_74_Tot,C21_M_75over_Em_FT,C21_M_75over_Em_PT,C21_M_75over_Em_AFW,C21_M_75over_Em_Hrs_NS,C21_M_75over_Em_Tot,C21_M_75over_Unem_Lo_ft_wor,C21_M_75over_Unem_Lo_pt_wor,C21_M_75over_Unempl_Tot,C21_M_75over_Tot_LF,C21_M_75over_N_lab_forc,C21_M_75over_LF_NS,C21_M_75over_Tot,C21_M_Tot_Em_FT,C21_M_Tot_Em_PT,C21_M_Tot_Em_AFW,C21_M_Tot_Em_Hrs_NS,C21_M_Tot_Em_Tot,C21_M_Tot_Unem_Look_FT,C21_M_Tot_Unem_Look_PT,C21_M_Tot_Unem_Tot,C21_M_Tot_Tot_labo_for,C21_M_Tot_Not_LF,C21_M_Tot_LF_NS,C21_M_Tot_Tot,C11_F_15_19_Em_FT,C11_F_15_19_Em_PT,C11_F_15_19_Em_AFW,C11_F_15_19_Em_Hrs_NS,C11_F_15_19_Em_Tot,C11_F_15_19_Unem_Look_FT,C11_F_15_19_Unem_Look_PT,C11_F_15_19_Unem_Tot,C11_F_15_19_Tot_LF,C11_F_15_19_Not_LF,C11_F_15_19_LF_NS,C11_F_15_19_Tot,C11_F_20_24_Em_FT,C11_F_20_24_Em_PT,C11_F_20_24_Em_AFW,C11_F_20_24_Em_Hrs_NS,C11_F_20_24_Em_Tot,C11_F_20_24_Unem_Look_FT,C11_F_20_24_Unem_Look_PT,C11_F_20_24_Unem_Tot,C11_F_20_24_Tot_LF,C11_F_20_24_Not_LF,C11_F_20_24_LF_NS,C11_F_20_24_Tot,C11_F_25_29_Em_FT,C11_F_25_29_Em_PT,C11_F_25_29_Em_AFW,C11_F_25_29_Em_Hrs_NS,C11_F_25_29_Em_Tot,C11_F_25_29_Unem_Look_FT,C11_F_25_29_Unem_Look_PT,C11_F_25_29_Unem_Tot,C11_F_25_29_Tot_LF,C11_F_25_29_Not_LF,C11_F_25_29_LF_NS,C11_F_25_29_Tot,C11_F_30_34_Em_FT,C11_F_30_34_Em_PT,C11_F_30_34_Em_AFW,C11_F_30_34_Em_Hrs_NS,C11_F_30_34_Em_Tot,C11_F_30_34_Unem_Look_FT,C11_F_30_34_Unem_Look_PT,C11_F_30_34_Unem_Tot,C11_F_30_34_Tot_LF,C11_F_30_34_Not_LF,C11_F_30_34_LF_NS,C11_F_30_34_Tot,C11_F_35_39_Em_FT,C11_F_35_39_Em_PT,C11_F_35_39_Em_AFW,C11_F_35_39_Em_Hrs_NS,C11_F_35_39_Em_Tot,C11_F_35_39_Unem_Look_FT,C11_F_35_39_Unem_Look_PT,C11_F_35_39_Unem_Tot,C11_F_35_39_Tot_LF,C11_F_35_39_Not_LF,C11_F_35_39_LF_NS,C11_F_35_39_Tot,C11_F_40_44_Em_FT,C11_F_40_44_Em_PT,C11_F_40_44_Em_AFW,C11_F_40_44_Em_Hrs_NS,C11_F_40_44_Em_Tot,C11_F_40_44_Unem_Look_FT,C11_F_40_44_Unem_Look_PT,C11_F_40_44_Unem_Tot,C11_F_40_44_Tot_LF,C11_F_40_44_Not_LF,C11_F_40_44_LF_NS,C11_F_40_44_Tot,C11_F_45_49_Em_FT,C11_F_45_49_Em_PT,C11_F_45_49_Em_AFW,C11_F_45_49_Em_Hrs_NS,C11_F_45_49_Em_Tot,C11_F_45_49_Unem_Look_FT,C11_F_45_49_Unem_Look_PT,C11_F_45_49_Unem_Tot,C11_F_45_49_Tot_LF,C11_F_45_49_Not_LF,C11_F_45_49_LF_NS,C11_F_45_49_Tot,C11_F_50_54_Em_FT,C11_F_50_54_Em_PT,C11_F_50_54_Em_AFW,C11_F_50_54_Em_Hrs_NS,C11_F_50_54_Em_Tot,C11_F_50_54_Unem_Look_FT,C11_F_50_54_Unem_Look_PT,C11_F_50_54_Unem_Tot,C11_F_50_54_Tot_LF,C11_F_50_54_Not_LF,C11_F_50_54_LF_NS,C11_F_50_54_Tot
1,203628,6438,1428,7868,211495,32834,14534,258854,150768,30302,12319,3001,196383,6327,1486,7809,204196,35791,13596,253591,136560,30214,12463,2761,182011,6104,1554,7665,189669,40999,12897,243567,119120,32167,13262,2440,166991,5798,1846,7646,174634,52967,12744,240344,80920,33308,11520,1804,127558,4806,2500,7302,134856,81919,11559,228335,33591,23954,6335,931,64809,1424,1363,2793,67600,122551,10327,200477,11545,13817,2593,531,28488,226,542,769,29256,141089,10197,180539,5246,8991,1480,792,16510,84,260,345,16851,239658,25881,282390,1270667,432000,156029,37137,1895828,69025,36092,105123,2000952,1034509,193121,3228581,14426,61357,4201,2956,82937,4811,10432,15245,98177,108031,8978,215191,70674,61454,5502,3885,141510,7487,7321,14807,156323,54501,11913,222734,106239,44608,8667,2915,162428,6027,4307,10336,172761,53414,13288,239470,86190,56085,11797,2301,156369,4586,4319,8902,165266,60337,12120,237725,79731,74199,9271,2543,165750,4330,4938,9265,175012,62672,11525,249209,86079,78105,5752,2846,172784,4246,4872,9120,181901,55948,10766,248612,93669,73447,5227,3032,175374,4387,4018,8408,183783,50523,10249,244552,90786,66211,6167,2722,165885,3723,3225,6948,172832,55879,9988,238695
2,175245,4986,1222,6213,181456,19903,11075,212433,134412,23735,4366,2408,164920,5025,1136,6159,171080,21949,10260,203297,125220,23975,4969,2443,156610,4897,1313,6213,162820,26324,9885,199037,105835,24862,5425,1917,138034,4247,1550,5799,143830,33766,9033,186632,71940,27355,5663,1415,106379,3561,1910,5468,111850,54613,8141,174604,29326,20631,3294,837,54091,1045,1046,2094,56178,89654,7557,153392,9333,12026,1356,482,23196,174,368,542,23736,104491,7413,135645,4193,7453,916,652,13218,73,204,272,13491,184125,17319,214942,1166712,378143,62362,31405,1638622,54468,35138,89608,1728227,729584,142484,2600300,8312,52517,2838,2421,66095,3085,9355,12441,78528,83446,6355,168331,56719,55842,4509,3293,120365,5811,6317,12130,132492,43457,8468,184420,90781,37652,7025,2398,137857,4876,3346,8222,146083,40044,9450,195579,69130,45501,9350,1800,125780,3467,3216,6684,132463,47439,8329,188222,58720,62169,7668,2048,130607,2996,3666,6665,137277,51041,7825,196141,64192,70137,5042,2309,141682,3048,3664,6708,148389,45239,7759,201393,69574,63563,4385,2458,139988,2860,2970,5832,145815,37404,7057,190280,65806,56313,5278,2183,129579,2403,2236,4641,134219,39918,6853,180992
3,129678,3884,1006,4894,134570,15610,11072,161248,106274,17772,5384,2034,131459,4134,1057,5191,136653,17967,11342,165968,99509,18219,5899,1937,125563,4175,1048,5225,130785,21142,10952,162879,83880,18805,6205,1526,110411,3966,1250,5215,115627,28433,9934,153996,56743,19565,5837,1088,83233,3486,1648,5135,88366,47963,8831,145164,22729,14223,3075,600,40625,942,907,1853,42479,78554,7573,128608,7121,8056,1219,347,16743,160,345,507,17248,92597,6950,116797,3285,4833,647,540,9311,61,142,203,9515,145163,14404,169080,880247,270028,67248,24162,1241677,48355,26981,75331,1317009,586114,141232,2044361,13691,51361,2534,2384,69972,4869,7691,12558,82532,54468,6491,143492,51233,39884,3736,2119,96968,5471,4348,9818,106783,31673,7818,146281,64160,31484,5932,1617,103196,3847,2950,6800,110000,33475,7902,151374,50376,37667,6917,1399,96362,2884,2893,5780,102145,36162,7150,145455,51118,48327,5503,1654,106594,2984,3218,6203,112794,37078,7143,157017,58358,51346,3907,1877,115485,3153,2914,6069,121552,31055,7046,159655,61983,46867,3825,1843,114519,3012,2268,5281,119794,27765,6525,154088,57798,41213,4130,1674,104823,2489,1855,4345,109167,31028,6290,146484
4,43283,1365,413,1774,45064,5764,2504,53324,34837,6641,1213,609,43310,1498,393,1892,45202,6497,2564,54259,34836,6933,1385,553,43703,1489,444,1938,45637,8447,2684,56769,30556,7602,1690,477,40333,1463,518,1978,42312,11150,2588,56042,21466,8331,1663,350,31807,1196,634,1829,33635,18755,2327,54719,8582,5969,865,216,15630,307,270,580,16213,30933,2116,49258,2654,3529,291,152,6624,33,92,129,6751,36238,2015,45000,1139,2198,215,209,3761,21,50,71,3833,61777,4542,70154,302907,106713,14918,7066,431597,16810,9983,26791,458396,230183,34433,723017,2966,17666,966,726,22327,1293,2692,3987,26311,22239,1621,50165,15314,16262,1429,799,33801,1842,1692,3534,37329,12381,1899,51609,21032,12143,2252,520,35951,1268,1018,2284,38237,11926,1942,52099,15236,14267,2737,440,32673,925,972,1894,34571,12629,1713,48906,14826,18507,2068,524,35921,958,1018,1976,37893,12744,1717,52359,18040,20978,1561,598,41174,919,935,1852,43025,11819,1798,56644,20800,19949,1521,605,42881,860,791,1650,44531,10705,1779,57015,20916,18138,1869,549,41478,722,619,1343,42820,12141,1781,56736
5,72839,2038,441,2484,75317,6921,6950,89191,58517,8188,2527,1049,70280,2106,444,2548,72830,7604,6636,87066,56271,8566,2799,957,68596,2104,510,2616,71211,8923,6550,86687,48087,9350,3076,802,61315,1952,572,2526,63841,11274,5699,80808,33645,10553,2728,570,47495,1735,732,2463,49961,19132,4703,73796,13520,8840,1447,278,24087,555,532,1083,25175,35105,3581,63860,4095,5338,500,195,10125,97,210,316,10442,42937,3037,56410,1603,3144,281,260,5289,41,89,128,5412,69469,6843,81735,500048,141935,27081,12463,681527,23436,13288,36725,718253,268572,76029,1062852,7855,23919,1431,1121,34319,1895,3088,4979,39299,28856,3585,71739,28655,20354,2201,1157,52364,2112,1943,4052,56417,15983,4424,76820,35790,15732,2982,768,55277,1575,1321,2894,58171,18061,4914,81148,25285,19453,3636,671,49051,1183,1389,2574,51626,20959,4399,76982,22624,25484,2925,801,51836,1108,1478,2591,54423,21462,4313,80199,26547,28903,2364,918,58732,1210,1521,2730,61468,17500,4058,83021,29616,26273,2379,878,59153,1158,1070,2223,61372,14375,3615,79364,28514,22898,2642,812,54864,901,802,1700,56568,15123,3366,75058
6,11993,417,117,536,12522,1753,752,15034,9705,2106,455,181,12455,421,144,572,13024,2248,830,16092,10111,2279,552,210,13153,389,139,528,13677,2704,866,17244,9133,2683,594,166,12573,369,145,511,13089,3891,905,17883,6406,3013,642,153,10216,337,184,524,10733,6852,898,18485,2456,2222,309,87,5079,79,94,174,5251,10922,946,17117,753,1267,95,48,2166,9,26,41,2200,12442,887,15536,342,726,69,70,1205,5,14,22,1221,19329,1748,22298,88353,33855,4980,2437,129624,5588,3232,8819,138441,75493,12313,226250,1261,5100,338,195,6898,498,804,1298,8194,7085,563,15847,4489,4177,442,182,9293,564,397,959,10259,3866,531,14653,5115,3542,648,124,9424,333,293,623,10049,3854,486,14383,3818,4419,783,122,9145,266,295,567,9708,3935,504,14158,4208,6058,617,156,11037,279,282,565,11602,3961,555,16113,5343,6753,466,170,12735,306,314,615,13351,3722,540,17617,6406,6326,513,182,13425,316,241,557,13981,3432,530,17944,6580,6056,692,184,13516,290,213,501,14014,4160,603,18781
7,5675,193,60,249,5924,1369,862,8162,4269,580,220,109,5176,196,42,232,5404,1320,873,7594,4109,669,269,103,5143,171,53,219,5363,1271,812,7451,3490,601,228,81,4401,145,53,194,4594,1288,787,6673,2458,588,192,61,3296,114,51,163,3459,1576,594,5621,1148,427,101,39,1709,52,30,79,1786,2122,471,4383,371,243,45,12,670,10,23,31,693,2165,325,3186,133,123,12,17,281,9,9,17,301,2503,343,3139,41256,9661,2291,1312,54524,2397,1003,3396,57918,24574,9806,92299,882,1487,96,119,2585,209,190,400,2983,3290,689,6968,2902,1229,208,125,4458,289,126,416,4879,2219,764,7859,3913,1388,413,148,5858,237,124,360,6220,2258,907,9380,3336,1519,438,137,5429,199,108,305,5734,2124,754,8620,3183,1680,327,120,5313,171,116,285,5599,1906,796,8298,3567,1586,233,119,5510,146,60,208,5715,1577,811,8104,3539,1281,234,113,5160,121,60,181,5345,1168,679,7192,3369,1094,273,101,4836,68,40,114,4943,1210,592,6749
8,14193,245,62,305,14502,875,643,16018,10747,1418,333,111,12613,231,64,290,12904,1042,537,14486,9603,1333,387,102,11425,224,61,282,11712,1177,466,13353,6988,1400,388,61,8840,205,75,285,9125,2096,439,11663,3970,1435,307,46,5754,153,88,238,5990,3887,365,10246,1609,1110,174,24,2917,49,60,112,3036,5296,311,8641,517,689,68,14,1284,12,33,47,1333,6345,329,8007,163,415,34,16,629,3,14,24,650,10279,726,11653,93042,26924,4128,1563,125651,2937,2498,5432,131090,42435,8058,181575,1139,4357,270,188,5960,149,632,787,6748,4439,455,11635,5968,4276,496,163,10905,233,431,659,11566,2777,770,15108,8724,2505,794,137,12159,204,155,352,12521,2120,624,15263,6437,3113,1187,109,10846,164,146,314,11158,2304,526,13986,5777,3839,862,110,10590,128,168,301,10888,2285,432,13601,6236,3825,580,105,10748,136,116,255,11006,1759,412,13178,6872,3177,434,136,10613,140,104,239,10857,1449,353,12654,6608,2657,493,107,9867,100,81,179,10051,1690,332,12073
9,98,0,5,0,106,27,18,145,87,11,3,4,114,0,0,0,114,23,25,165,83,21,5,0,116,0,0,0,117,25,35,180,118,26,11,0,150,3,3,6,150,16,22,190,85,32,5,0,124,0,5,5,128,41,23,192,47,25,6,5,79,0,0,0,79,57,23,165,27,16,10,0,43,0,0,0,50,88,23,159,9,10,3,0,25,0,0,3,24,108,24,161,816,245,58,27,1149,16,10,27,1171,598,308,2073,17,9,0,0,23,0,0,5,25,30,0,52,33,4,0,0,43,3,0,3,44,20,5,71,31,6,5,4,50,3,0,0,46,16,6,69,29,15,5,0,51,0,3,3,57,18,0,74,30,24,0,0,53,0,0,0,59,16,6,78,40,16,3,0,66,4,0,4,63,21,8,99,34,29,5,3,69,0,0,0,72,19,0,95,43,15,0,0,64,0,0,0,60,31,0,93
