STE_CODE_2021,C11_Se_h_NPUR_1,C11_Se_h_NPUR_2,C11_Se_h_NPUR_3,C11_Se_h_NPUR_4,C11_Se_h_NPUR_5,C11_Se_h_NPUR_6more,C11_Se_h_Tot,C11_SDRTHT1S_NPUR_1,C11_SDRTHT1S_NPUR_2,C11_SDRTHT1S_NPUR_3,C11_SDRTHT1S_NPUR_4,C11_SDRTHT1S_NPUR_5,C11_SDRTHT1S_NPUR_6mor,C11_SDRTHT1S_Tot,C11_SDRTHT2S_NPUR_1,C11_SDRTHT2S_NPUR_2,C11_SDRTHT2S_NPUR_3,C11_SDRTHT2S_NPUR_4,C11_SDRTHT2S_NPUR_5,C11_SDRTHT2S_NPUR_6mor,C11_SDRTHT2S_Tot,C11_SDRTHT_NPUR_1,C11_SDRTHT_NPUR_2,C11_SDRTHT_NPUR_3,C11_SDRTHT_NPUR_4,C11_SDRTHT_NPUR_5,C11_SDRTHT_NPUR_6mor,C11_SDRTHT_Tot,C11_F_a_1_2SB_NPUR_1,C11_F_a_1_2SB_NPUR_2,C11_F_a_1_2SB_NPUR_3,C11_F_a_1_2SB_NPUR_4,C11_F_a_1_2SB_NPUR_5,C11_F_a_1_2SB_NPUR_6mor,C11_F_a_1_2SB_Tot,C11_F_a_I_a_3SB_NPUR_1,C11_F_a_I_a_3SB_NPUR_2,C11_F_a_I_a_3SB_NPUR_3,C11_F_a_I_a_3SB_NPUR_4,C11_F_a_I_a_3SB_NPUR_5,C11_F_a_I_a_3SB_NPUR_6mor,C11_F_a_In_a_3SB_Tot,C11_F_a_4_8SB_NPUR_1,C11_F_a_4_8SB_NPUR_2,C11_F_a_4_8SB_NPUR_3,C11_F_a_4_8SB_NPUR_4,C11_F_a_4_8SB_NPUR_5,C11_F_a_4_8SB_NPUR_6mor,C11_F_a_4_8SB_Tot,C11_F_a_9mor_s_b_NPUR_1,C11_F_a_9mor_s_b_NPUR_2,C11_F_a_9mor_s_b_NPUR_3,C11_F_a_9mor_s_b_NPUR_4,C11_F_a_9mor_s_b_NPUR_5,C11_F_a_9m_s_b_NPUR_6mor,C11_F_a_9mor_st_bl_Tot,C11_F_a_AH_NPUR_1,C11_F_a_AH_NPUR_2,C11_F_a_AH_NPUR_3,C11_F_a_AH_NPUR_4,C11_F_a_AH_NPUR_5,C11_F_a_AH_NPUR_6mor,C11_F_a_AH_Tot,C11_F_a_Tot_NPUR_1,C11_F_a_Tot_NPUR_2,C11_F_a_Tot_NPUR_3,C11_F_a_Tot_NPUR_4,C11_F_a_Tot_NPUR_5,C11_F_a_Tot_NPUR_6mor,C11_F_a_Tot_Tot,C11_OD_CCH_NPUR_1,C11_OD_CCH_NPUR_2,C11_OD_CCH_NPUR_3,C11_OD_CCH_NPUR_4,C11_OD_CCH_NPUR_5,C11_OD_CCH_NPUR_6mor,C11_OD_CCH_Tot,C11_OD_IHTSO_NPUR_1,C11_OD_IHTSO_NPUR_2,C11_OD_IHTSO_NPUR_3,C11_OD_IHTSO_NPUR_4,C11_OD_IHTSO_NPUR_5,C11_OD_IHTSO_NPUR_6mor,C11_OD_IHTSO_Tot,C11_OD_H_f_a_s_o_NPUR_1,C11_OD_H_f_a_s_o_NPUR_2,C11_OD_H_f_a_s_o_NPUR_3,C11_OD_H_f_a_s_o_NPUR_4,C11_OD_H_f_a_s_o_NPUR_5,C11_OD_H_f_a_s_o_NPUR_6mor,C11_OD_H_f_a_s_o_Tot,C11_OD_Tot_NPUR_1,C11_OD_Tot_NPUR_2,C11_OD_Tot_NPUR_3,C11_OD_Tot_NPUR_4,C11_OD_Tot_NPUR_5,C11_OD_Tot_NPUR_6mor,C11_OD_Tot_Tot,C11_DS_ns_NPUR_1,C11_DS_ns_NPUR_2,C11_DS_ns_NPUR_3,C11_DS_ns_NPUR_4,C11_DS_ns_NPUR_5,C11_DS_ns_NPUR_6more,C11_Dwg_st_NS_Tot,C11_Tot_NPUR_1,C11_Tot_NPUR_2,C11_Tot_NPUR_3,C11_Tot_NPUR_4,C11_Tot_NPUR_5,C11_Tot_NPUR_6more,C11_Tot_Tot,C16_Se_h_NPUR_1,C16_Se_h_NPUR_2,C16_Se_h_NPUR_3,C16_Se_h_NPUR_4,C16_Se_h_NPUR_5,C16_Se_h_NPUR_6more,C16_Se_h_Tot,C16_SDRTHT1S_NPUR_1,C16_SDRTHT1S_NPUR_2,C16_SDRTHT1S_NPUR_3,C16_SDRTHT1S_NPUR_4,C16_SDRTHT1S_NPUR_5,C16_SDRTHT1S_NPUR_6mor,C16_SDRTHT1S_Tot,C16_SDRTHT2S_NPUR_1,C16_SDRTHT2S_NPUR_2,C16_SDRTHT2S_NPUR_3,C16_SDRTHT2S_NPUR_4,C16_SDRTHT2S_NPUR_5,C16_SDRTHT2S_NPUR_6mor,C16_SDRTHT2S_Tot,C16_SDRTHT_Tot_NPUR_1,C16_SDRTHT_Tot_NPUR_2,C16_SDRTHT_Tot_NPUR_3,C16_SDRTHT_Tot_NPUR_4,C16_SDRTHT_Tot_NPUR_5,C16_SDRTHT_Tot_NPUR_6mor,C16_SDRTHT_Tot_Tot,C16_F_a_1_2SB_NPUR_1,C16_F_a_1_2SB_NPUR_2,C16_F_a_1_2SB_NPUR_3,C16_F_a_1_2SB_NPUR_4,C16_F_a_1_2SB_NPUR_5,C16_F_a_1_2SB_NPUR_6mor,C16_F_a_1_2SB_Tot,C16_F_a_I_a_3SB_NPUR_1,C16_F_a_I_a_3SB_NPUR_2,C16_F_a_I_a_3SB_NPUR_3,C16_F_a_I_a_3SB_NPUR_4,C16_F_a_I_a_3SB_NPUR_5,C16_F_a_I_a_3SB_NPUR_6mor,C16_F_a_In_a_3_st_b_Tot,C16_F_a_4_8SB_NPUR_1,C16_F_a_4_8SB_NPUR_2,C16_F_a_4_8SB_NPUR_3,C16_F_a_4_8SB_NPUR_4,C16_F_a_4_8SB_NPUR_5,C16_F_a_4_8SB_NPUR_6mor,C16_F_a_4_8SB_Tot,C16_F_a_9mor_s_b_NPUR_1,C16_F_a_9mor_s_b_NPUR_2,C16_F_a_9mor_s_b_NPUR_3,C16_F_a_9mor_s_b_NPUR_4,C16_F_a_9mor_s_b_NPUR_5,C16_F_a_9m_s_b_NPUR_6mor,C16_F_a_9mor_st_bl_Tot,C16_F_a_AH_NPUR_1,C16_F_a_AH_NPUR_2,C16_F_a_AH_NPUR_3,C16_F_a_AH_NPUR_4,C16_F_a_AH_NPUR_5,C16_F_a_AH_NPUR_6mor,C16_F_a_AH_Tot,C16_F_a_Tot_NPUR_1,C16_F_a_Tot_NPUR_2,C16_F_a_Tot_NPUR_3,C16_F_a_Tot_NPUR_4,C16_F_a_Tot_NPUR_5,C16_F_a_Tot_NPUR_6mor,C16_F_a_Tot_Tot,C16_OD_CCH_NPUR_1,C16_OD_CCH_NPUR_2,C16_OD_CCH_NPUR_3,C16_OD_CCH_NPUR_4,C16_OD_CCH_NPUR_5,C16_OD_CCH_NPUR_6mor,C16_OD_CCH_Tot,C16_OD_IHTSO_NPUR_1,C16_OD_IHTSO_NPUR_2,C16_OD_IHTSO_NPUR_3,C16_OD_IHTSO_NPUR_4,C16_OD_IHTSO_NPUR_5,C16_OD_IHTSO_NPUR_6mor,C16_OD_IHTSO_Tot,C16_OD_H_f_a_s_o_NPUR_1,C16_OD_H_f_a_s_o_NPUR_2,C16_OD_H_f_a_s_o_NPUR_3,C16_OD_H_f_a_s_o_NPUR_4
1,308055,558368,290376,324584,155654,80678,1717699,52232,42611,16986,12767,4353,1989,130939,33042,43191,25091,20423,7492,3752,132988,85268,85802,42079,33189,11838,5743,263924,75339,45353,16761,9217,2895,1155,150714,54835,53373,22450,12172,3158,1150,147136,60762,63114,22957,12163,2986,1066,163053,..,..,..,..,..,..,..,2180,1180,414,302,131,77,4294,193121,163021,62587,33851,9178,3446,465192,8327,3989,480,272,86,63,13225,391,157,77,49,42,22,738,2576,2337,1024,739,282,216,7176,11295,6485,1583,1057,410,308,21141,1414,1006,413,295,140,68,3340,599153,814683,397040,392967,177224,90235,2471298,307342,551950,291031,330277,159603,89610,1729819,59905,44081,17570,13957,4400,1832,141740,43779,52245,32808,29843,11217,5822,175709,103683,96324,50380,43800,15616,7652,317446,63784,40892,16866,10400,3224,1445,136612,56615,58115,26846,15241,4100,1539,162459,71338,82762,35642,20092,5565,2676,218075,..,..,..,..,..,..,..,914,699,283,220,77,49,2241,192644,182476,79634,45952,12974,5706,519380,7620,3709,522,274,118,72,12313,642,344,121,102,55,39,1311,2967,3228,1632,1181
2,284319,487998,258638,284743,125010,55269,1495974,51137,41959,15846,10075,3015,1244,123271,14087,22889,12208,9260,2840,1169,62461,65223,64846,28056,19340,5853,2414,185733,78064,51216,16711,8026,2279,891,157190,19405,15766,3793,1242,273,110,40585,22438,20538,5436,2009,567,348,51340,..,..,..,..,..,..,..,726,368,151,84,30,19,1374,120638,87893,26089,11366,3151,1358,250487,4896,1737,224,112,47,18,7030,229,111,48,30,22,20,457,1305,1466,668,492,165,104,4204,6426,3320,940,634,237,136,11694,262,277,111,101,31,17,800,476871,644328,313835,316182,134280,59191,1944690,299079,492966,267266,297554,128653,61429,1546950,79231,60727,26296,18110,5408,2285,192063,23568,37625,22326,17545,5543,2248,108857,102800,98354,48619,35654,10956,4542,300921,48908,33342,11912,6149,1645,643,102607,23014,19490,4939,1668,378,137,49627,39062,38869,10247,3686,986,584,93436,..,..,..,..,..,..,..,175,118,44,28,8,10,382,111165,91816,27136,11530,3016,1379,246044,3834,1245,154,126,45,21,5429,209,71,34,30,9,10,362,1741,1807,801,565
3,205864,429023,212412,218674,97872,51451,1215300,29336,22262,6434,3459,1150,569,63209,19974,25586,11855,6207,1891,714,66225,49308,47847,18291,9669,3039,1284,129433,51695,30756,8834,3745,1085,469,96588,18224,17293,4275,1499,305,86,41678,15971,19166,4492,1797,342,114,41878,..,..,..,..,..,..,..,814,462,145,84,38,30,1572,86707,67681,17741,7122,1769,695,181719,9828,5305,550,298,127,87,16193,590,391,108,113,51,28,1287,747,768,275,186,82,35,2097,11166,6472,926,601,258,156,19577,466,498,129,112,51,22,1279,353511,551516,249503,236179,102995,53608,1547305,220059,442153,221454,229461,101491,55038,1269649,38741,25002,6992,3569,1138,532,75976,31201,35729,17981,9783,3080,1232,99004,69943,60728,24972,13354,4221,1764,174980,39934,22344,6838,3108,880,394,73494,22106,21235,5769,2232,462,136,51938,23076,27644,6609,2768,630,233,60963,..,..,..,..,..,..,..,189,123,31,18,9,10,379,85301,71352,19245,8126,1980,775,186782,8534,3876,424,242,98,60,13230,640,401,128,97,45,36,1356,693,753,301,258
4,107554,179508,80438,82096,32020,12850,494471,26493,17386,5128,2837,990,538,53373,4239,5215,2089,1152,312,91,13089,30726,22602,7214,3988,1302,627,66466,27973,12740,3567,1402,353,98,46135,2049,1121,361,149,32,6,3713,2365,1699,406,176,27,12,4683,..,..,..,..,..,..,..,272,103,37,19,0,4,435,32656,15667,4368,1747,412,116,54968,1230,588,46,25,5,3,1905,103,60,20,12,3,7,206,257,254,95,67,23,17,706,1587,900,157,108,34,25,2812,144,108,32,27,14,7,326,172669,218785,92215,87959,33786,13622,619039,110262,178128,80569,82025,32014,13806,496802,36452,22306,7579,4645,1493,739,73218,6507,7798,3667,2412,652,252,21289,42962,30111,11247,7051,2146,991,94506,18547,8813,2984,1446,320,101,32213,2117,1250,420,202,41,8,4044,2617,2240,545,203,38,11,5650,..,..,..,..,..,..,..,42,27,13,8,0,0,101,23323,12337,3969,1857,403,114,42003,1168,597,59,39,12,4,1889,142,49,9,15,11,0,233,287,338,125,90
5,116288,220031,109980,119050,49983,23438,638770,29213,21315,7127,3901,1282,592,63433,6737,8207,3276,1879,592,214,20900,35951,29524,10403,5785,1870,804,84333,19820,11879,3511,1695,533,208,37648,6218,4338,1013,357,82,23,12025,6051,5031,1122,378,81,20,12701,..,..,..,..,..,..,..,331,169,66,38,12,5,616,32423,21421,5711,2468,710,259,62992,3320,2233,262,145,46,24,6021,207,149,44,38,27,11,469,297,352,110,84,32,21,892,3822,2724,413,258,102,56,7379,280,244,74,47,31,11,688,188761,273943,126582,127610,52694,24565,794162,124784,231583,120049,129529,54219,25659,685825,40594,30111,11354,6913,2213,1009,92197,9411,11601,4960,3205,887,304,30359,50005,41710,16313,10120,3098,1316,122562,11308,6357,1589,863,224,91,20431,5860,4144,1046,427,91,32,11598,7594,7056,1623,562,94,37,16967,..,..,..,..,..,..,..,51,26,5,0,0,0,89,24806,17580,4260,1853,411,168,49082,2867,1545,133,94,32,13,4686,242,189,38,47,28,18,567,314,375,172,121
6,38728,62535,26267,24714,9898,4367,166512,4850,2401,573,252,95,31,8210,834,782,305,146,32,22,2118,5681,3190,882,402,129,51,10330,7761,3480,863,314,67,38,12534,567,292,68,30,10,8,974,342,225,48,17,0,0,629,..,..,..,..,..,..,..,224,100,31,19,9,0,377,8893,4098,1004,382,86,50,14511,414,176,39,19,7,0,645,68,31,8,14,4,0,123,220,209,78,51,18,18,586,696,413,123,81,24,15,1353,28,35,17,16,9,5,111,54036,70262,28281,25599,10151,4487,192820,44008,64875,26425,23995,9431,4269,172999,5351,2058,486,207,62,39,8197,1392,1120,380,191,83,24,3186,6743,3177,866,396,140,60,11383,5597,2553,647,281,78,38,9195,639,326,79,35,11,0,1085,523,223,58,17,0,0,818,..,..,..,..,..,..,..,95,43,10,4,3,5,168,6855,3141,795,333,91,47,11262,385,194,27,16,11,4,636,53,32,8,3,3,0,106,151,170,83,36
7,5611,11585,7480,7765,3993,4749,41183,1796,1504,569,324,120,70,4379,741,986,407,268,77,27,2505,2533,2495,973,590,195,96,6885,2555,2029,703,387,137,86,5896,579,714,263,114,33,18,1724,753,1072,358,163,42,14,2393,..,..,..,..,..,..,..,34,22,10,3,0,4,76,3920,3828,1337,664,212,119,10085,758,682,124,99,42,47,1750,313,131,44,19,8,28,544,85,58,16,10,5,5,174,1148,878,177,131,58,77,2472,101,85,30,28,12,13,262,13319,18872,9998,9184,4469,5051,60888,6022,12277,7717,8215,4227,4637,43100,1955,1648,666,447,204,226,5148,833,959,486,280,100,40,2704,2793,2606,1153,723,306,265,7848,2064,1569,690,414,144,62,4939,645,756,289,148,42,10,1889,1469,1857,675,368,93,48,4513,..,..,..,..,..,..,..,15,10,3,0,0,0,27,4187,4192,1658,929,281,123,11370,708,516,60,43,23,15,1373,133,95,29,23,11,22,312,140,154,84,67
8,15480,30773,18026,19361,7598,3026,94261,5162,4065,1460,872,243,81,11879,1769,2618,1497,742,225,82,6933,6928,6685,2956,1618,463,165,18811,2768,1829,540,199,46,10,5389,2757,2302,581,155,29,7,5827,1978,1989,428,107,16,0,4518,..,..,..,..,..,..,..,183,110,26,16,3,0,334,7679,6228,1577,470,94,17,16069,123,51,13,0,0,0,192,3,3,0,0,0,0,7,13,10,4,4,4,3,29,138,61,19,8,3,3,233,16,18,9,12,0,0,50,30249,43764,22578,21460,8169,3206,129431,15811,30360,17946,20299,7833,3266,95516,6050,4315,1858,1219,311,118,13874,3275,4013,2171,1362,402,179,11410,9326,8326,4032,2581,713,300,25282,2361,1512,400,234,60,25,4598,3333,2709,858,319,68,22,7310,4241,3825,876,305,39,19,9300,..,..,..,..,..,..,..,114,55,18,10,0,3,193,10042,8103,2153,862,167,73,21405,87,25,12,3,3,0,134,6,0,0,0,0,0,11,15,10,11,9
9,34,121,81,68,41,41,396,19,21,9,8,3,0,62,0,4,3,0,0,0,3,20,23,13,8,3,0,67,49,16,19,3,5,0,94,23,41,24,15,8,3,113,3,0,3,3,0,0,8,..,..,..,..,..,..,..,0,0,0,0,0,0,0,74,54,44,22,7,8,211,0,0,0,0,0,0,5,0,0,0,0,0,0,0,0,0,0,0,0,0,5,0,4,0,0,0,0,6,3,10,0,0,0,0,13,138,209,146,91,59,50,694,286,407,169,139,80,58,1129,16,21,8,10,6,4,54,12,12,3,3,0,0,35,26,30,16,14,5,5,87,34,8,6,5,3,0,52,8,21,13,5,9,5,54,5,0,0,0,0,0,4,..,..,..,..,..,..,..,0,0,0,0,0,0,5,41,31,17,12,8,4,116,0,0,0,0,0,0,0,4,0,0,0,0,0,0,9,5,0,0
