STE_CODE_2021,C21_85_over_UOL_SE_Tot,C21_85_over_LPE_NS,C21_85_over_Tot,C21_Tot_SEO,C21_Tot_UOL_SE_Vw_w,C21_Tot_UOL_SE_Nw_Na,C21_Tot_UOL_SE_P_E_n,C21_Tot_UOL_SE_Tot,C21_Tot_LPE_NS,C21_Tot_Tot
1,37688,22736,183895,5457982,1805635,361688,19818,2187139,427038,8072163
2,36911,12954,142475,4369804,1521527,285874,17984,1825373,308311,6503491
3,8792,10050,97140,4151206,605200,90855,7993,704045,300878,5156138
4,8599,3294,47325,1382951,273488,47818,3421,324731,73830,1781516
5,7488,5215,50106,2002771,437388,60124,5485,502995,154260,2660026
6,666,1007,12995,479875,44671,5092,617,50376,27318,557571
7,321,132,1157,133262,66935,9072,1377,77377,21964,232605
8,1364,519,7181,323854,101247,11340,1106,113689,16952,454499
9,28,3,66,1956,1583,361,30,1970,863,4788
