STE_CODE_2021,C16_C_Lat_Da_Saint_0_14,C16_C_Lat_Da_Saint_15_24,C16_C_Lat_Da_Saint_25_34,C16_C_Lat_Da_Saint_35_44,C16_C_Lat_Da_Saint_45_54,C16_C_Lat_Da_Saint_55_64,C16_C_Lat_Da_Saint_65_74,C16_C_Lat_Da_Saint_75_84,C16_C_Lat_Da_Saint_85ov,C16_C_Lat_Da_Saint_Tot,C16_C_Luthe_0_14,C16_C_Luthe_15_24,C16_C_Luthe_25_34,C16_C_Luthe_35_44,C16_C_Luthe_45_54,C16_C_Luthe_55_64,C16_C_Luthe_65_74,C16_C_Luthe_75_84,C16_C_Luthe_85ov,C16_C_Luthe_Tot,C16_C_Ori_Orth_0_14,C16_C_Ori_Orth_15_24,C16_C_Ori_Orth_25_34,C16_C_Ori_Orth_35_44,C16_C_Ori_Orth_45_54,C16_C_Ori_Orth_55_64,C16_C_Ori_Orth_65_74,C16_C_Ori_Orth_75_84,C16_C_Ori_Orth_85ov,C16_C_Ori_Orth_Tot,C16_C_Oth_Prot_0_14,C16_C_Oth_Prot_15_24,C16_C_Oth_Prot_25_34,C16_C_Oth_Prot_35_44,C16_C_Oth_Prot_45_54,C16_C_Oth_Prot_55_64,C16_C_Oth_Prot_65_74,C16_C_Oth_Prot_75_84,C16_C_Oth_Prot_85ov,C16_C_Oth_Prot_Tot,C16_C_Pentec_0_14,C16_C_Pentec_15_24,C16_C_Pentec_25_34,C16_C_Pentec_35_44,C16_C_Pentec_45_54,C16_C_Pentec_55_64,C16_C_Pentec_65_74,C16_C_Pentec_75_84,C16_C_Pentec_85ov,C16_C_Pentec_Tot,C16_C_Pres_Ref_0_14,C16_C_Pres_Ref_15_24,C16_C_Pres_Ref_25_34,C16_C_Pres_Ref_35_44,C16_C_Pres_Ref_45_54,C16_C_Pres_Ref_55_64,C16_C_Pres_Ref_65_74,C16_C_Pres_Ref_75_84,C16_C_Pres_Ref_85ov,C16_C_Pres_Ref_Tot,C16_C_Sal_Army_0_14,C16_C_Sal_Army_15_24,C16_C_Sal_Army_25_34,C16_C_Sal_Army_35_44,C16_C_Sal_Army_45_54,C16_C_Sal_Army_55_64,C16_C_Sal_Army_65_74,C16_C_Sal_Army_75_84,C16_C_Sal_Army_85ov,C16_C_Sal_Army_Tot,C16_C_Sev_day_Adv_0_14,C16_C_Sev_day_Adv_15_24,C16_C_Sev_day_Adv_25_34,C16_C_Sev_day_Adv_35_44,C16_C_Sev_day_Adv_45_54,C16_C_Sev_day_Adv_55_64,C16_C_Sev_day_Adv_65_74,C16_C_Sev_day_Adv_75_84,C16_C_Sev_day_Adv_85ov,C16_C_Sev_day_Adv_Tot,C16_C_Unit_Chur_0_14,C16_C_Unit_Chur_15_24,C16_C_Unit_Chur_25_34,C16_C_Unit_Chur_35_44,C16_C_Unit_Chur_45_54,C16_C_Unit_Chur_55_64,C16_C_Unit_Chur_65_74,C16_C_Unit_Chur_75_84,C16_C_Unit_Chur_85ov,C16_C_Unit_Chur_Tot,C16_Chr_Ch_nfd_0_14,C16_Chr_Ch_nfd_15_24,C16_Chr_Ch_nfd_25_34,C16_Chr_Ch_nfd_35_44,C16_Chr_Ch_nfd_45_54,C16_Chr_Ch_nfd_55_64,C16_Chr_Ch_nfd_65_74,C16_Chr_Ch_nfd_75_84,C16_Chr_Ch_nfd_85ov,C16_Chr_Ch_nfd_Tot,C16_Chr_Oth_Ch_0_14,C16_Chr_Oth_Ch_15_24,C16_Chr_Oth_Ch_25_34,C16_Chr_Oth_Ch_35_44,C16_Chr_Oth_Ch_45_54,C16_Chr_Oth_Ch_55_64,C16_Chr_Oth_Ch_65_74,C16_Chr_Oth_Ch_75_84,C16_Chr_Oth_Ch_85ov,C16_Chr_Oth_Ch_Tot,C16_Chr_Tot_0_14,C16_Chr_Tot_15_24,C16_Chr_Tot_25_34,C16_Chr_Tot_35_44,C16_Chr_Tot_45_54,C16_Chr_Tot_55_64,C16_Chr_Tot_65_74,C16_Chr_Tot_75_84,C16_Chr_Tot_85ov,C16_Chr_Tot_Tot,C16_Hinduism_0_14,C16_Hinduism_15_24,C16_Hinduism_25_34,C16_Hinduism_35_44,C16_Hinduism_45_54,C16_Hinduism_55_64,C16_Hinduism_65_74,C16_Hinduism_75_84,C16_Hinduism_85ov,C16_Hinduism_Tot,C16_Islam_0_14,C16_Islam_15_24,C16_Islam_25_34,C16_Islam_35_44,C16_Islam_45_54,C16_Islam_55_64,C16_Islam_65_74,C16_Islam_75_84,C16_Islam_85ov,C16_Islam_Tot,C16_Judaism_0_14,C16_Judaism_15_24,C16_Judaism_25_34,C16_Judaism_35_44,C16_Judaism_45_54,C16_Judaism_55_64,C16_Judaism_65_74,C16_Judaism_75_84,C16_Judaism_85ov,C16_Judaism_Tot,C16_OR_AusAborTrad_0_14,C16_OR_AusAborTrad15_24,C16_OR_AusAborTrad25_34,C16_OR_AusAborTrad35_44,C16_OR_AusAborTrad45_54,C16_OR_AusAborTrad55_64,C16_OR_AusAborTrad65_74,C16_OR_AusAborTrad75_84,C16_OR_AusAborTrad85ov,C16_OR_AusAborTrade_Tot,C16_OR_Sikh_0_14,C16_OR_Sikh_15_24,C16_OR_Sikh_25_34,C16_OR_Sikh_35_44,C16_OR_Sikh_45_54,C16_OR_Sikh_55_64,C16_OR_Sikh_65_74,C16_OR_Sikh_75_84,C16_OR_Sikh_85ov,C16_OR_Sikh_Tot,C16_OR_Ot_Re_Gr_0_14,C16_OR_Ot_Re_Gr_15_24,C16_OR_Ot_Re_Gr_25_34,C16_OR_Ot_Re_Gr_35_44,C16_OR_Ot_Re_Gr_45_54,C16_OR_Ot_Re_Gr_55_64,C16_OR_Ot_Re_Gr_65_74,C16_OR_Ot_Re_Gr_75_84,C16_OR_Ot_Re_Gr_85ov,C16_OR_Ot_Re_Gr_Tot,C16_OthRel_Tot_0_14,C16_OthRel_Tot_15_24,C16_OthRel_Tot_25_34,C16_OthRel_Tot_35_44,C16_OthRel_Tot_45_54,C16_OthRel_Tot_55_64,C16_OthRel_Tot_65_74,C16_OthRel_Tot_75_84,C16_OthRel_Tot_85ov,C16_OthRel_Tot_Tot,C16_SBOSB_N_RA_0_14,C16_SBOSB_N_RA_15_24,C16_SBOSB_N_RA_25_34,C16_SBOSB_N_RA_35_44,C16_SBOSB_N_RA_45_54,C16_SBOSB_N_RA_55_64,C16_SBOSB_N_RA_65_74,C16_SBOSB_N_RA_75_84,C16_SBOSB_N_RA_85ov,C16_SBOSB_N_RA_Tot
1,4339,2718,2294,2095,1881,1488,995,436,180,16430,2164,1440,1510,2138,3035,3162,3205,2569,1232,20451,5462,3244,4147,3884,3189,3079,2193,1241,364,26805,4868,3679,4024,3987,4755,4568,3413,1994,1125,32409,17279,11898,11719,10845,10342,8660,4565,1669,430,77398,18920,13479,14226,19857,28018,33400,31295,19509,9622,188336,1960,1416,1267,1580,2046,2581,2334,1439,591,15218,4276,2799,2665,2790,2955,2680,2271,1478,746,22664,27256,20887,18031,21713,29877,35267,33042,20757,10435,217258,34056,22154,24575,22888,21947,19682,12493,5616,1945,165353,1169,736,733,949,926,1031,857,441,193,7036,716407,458308,440760,512881,576790,551676,467991,278634,124088,4127537,38018,20581,53883,35380,15500,10421,5055,2010,553,181409,79931,41390,54388,41399,24841,14967,7636,2493,615,267654,6646,3467,3672,4775,4578,4976,4665,2418,1702,36902,433,240,226,224,215,143,58,18,0,1555,7015,4071,10256,5044,2278,1768,815,398,84,31733,4597,3788,5379,5089,4683,3802,1983,815,250,30387,12050,8092,15863,10360,7180,5713,2861,1233,336,63676,395978,295815,351307,270952,229489,192675,112588,44528,16787,1910123
2,3017,1986,1635,1457,1382,1101,692,329,119,11711,3899,2309,2246,3053,4022,4101,3705,3086,1483,27904,3694,1953,2562,2508,2008,1526,971,454,147,15832,3092,2497,2826,2794,2982,2865,2411,1351,897,21706,11594,7957,7966,7648,7166,5776,3523,1285,373,53286,8665,7206,7020,9316,15860,23035,23806,14569,7552,117033,1153,841,716,971,1403,1777,1730,1157,517,10283,1966,1389,1381,1420,1374,1156,989,627,302,10607,20769,16019,13307,18476,27722,34509,32848,22198,11719,197571,30120,19859,21297,21215,19913,16473,10844,4908,1803,146440,723,499,573,587,743,656,528,375,187,4870,463754,310530,294633,347608,413676,381262,329102,206769,91822,2839149,29757,14442,44930,26886,9012,5801,2887,981,250,134938,57143,33051,41376,29884,18177,9892,5172,1888,453,197029,8279,4095,4699,5374,4567,5422,5295,2591,1924,42256,111,57,61,62,61,35,15,0,0,407,11928,6809,21377,7544,1977,1956,874,236,68,52762,2244,2349,3790,3560,3223,2396,1246,437,136,19383,14282,9215,25229,11168,5261,4387,2132,673,204,72555,389978,301530,355317,279131,231542,184616,105822,39246,15626,1902801
3,6026,3324,2814,2730,2120,1804,1079,471,162,20540,9910,5710,5144,6753,8048,8082,6755,4342,1695,56437,788,439,525,563,292,179,110,33,7,2937,3672,2589,2468,2774,3720,3748,2812,1505,684,23978,17379,10545,10067,9641,9260,8147,4997,1891,545,72478,12712,8946,9186,13961,21732,27443,25156,13544,5939,138612,1601,1096,971,1409,1794,2095,1907,1108,458,12430,3671,2214,2067,2251,2207,2007,1654,971,420,17457,33450,22300,19632,27913,36026,37810,34897,18627,7657,238309,33925,20299,20307,19153,18690,15389,9984,4148,1465,143353,1780,1214,963,1332,1419,1356,1115,658,242,10081,471399,293074,275302,331268,383355,359269,300118,158682,62868,2635342,9629,5401,13849,8874,3986,2496,1166,452,109,45957,13181,7410,9564,7138,3960,2165,1042,340,78,44881,590,435,465,559,609,699,623,266,147,4389,409,178,173,164,176,103,45,12,5,1246,3623,2431,7558,2164,682,574,285,90,21,17436,2095,2292,2961,3096,2836,2030,1044,359,95,16810,6127,4890,10691,5418,3696,2706,1377,464,124,35489,321850,231929,253480,199022,162955,121499,72031,26194,9336,1398298
4,622,448,388,377,375,431,348,147,53,3197,8643,5292,4274,5530,7135,7863,6667,4076,2218,51703,491,219,308,322,193,103,61,21,10,1728,684,539,594,573,920,1183,1030,556,512,6583,3821,2640,2325,2430,2475,2463,1845,784,261,19033,1217,996,1024,1312,2292,3533,3908,2389,1114,17784,412,262,237,363,556,739,821,472,238,4095,500,304,344,333,321,314,333,198,90,2742,12748,9308,7273,10129,15689,21231,21972,12939,6944,118231,9698,6215,6310,6245,6414,5584,3886,1587,590,46527,753,499,466,486,496,408,446,252,99,3908,121283,84022,74189,89053,118624,123707,111368,68384,32803,823429,5576,2264,6978,5136,1555,790,405,184,43,22921,8433,5109,6075,4801,2316,1107,500,169,42,28547,107,93,97,152,128,176,166,70,44,1030,140,65,71,67,60,47,16,16,0,475,2127,890,3432,1480,381,278,170,44,16,8812,854,873,1174,1164,1202,927,499,215,76,6977,3118,1824,4682,2709,1640,1247,690,267,90,16263,125376,93048,100243,83541,77578,63352,38733,14938,6146,602953
5,1702,1043,895,879,801,717,474,216,79,6798,1170,658,653,1018,1219,1199,1081,636,283,7932,756,351,481,513,290,185,90,47,11,2724,2341,1792,2023,2163,2693,2441,1714,911,437,16517,6166,3805,3883,3744,3413,2761,1608,645,165,26194,5047,3329,3665,4552,6964,8320,7149,4137,1631,44787,379,312,313,397,677,812,804,525,175,4384,1514,841,944,922,883,761,676,415,162,7112,6580,4666,4286,5822,8051,10012,9409,5522,2342,56688,18915,11715,12947,12498,11087,8705,5173,2040,593,83677,573,404,413,488,531,492,287,167,52,3408,212087,133849,136383,157940,182862,168017,134863,75824,29781,1231605,8942,4377,11974,7729,3083,1579,742,240,62,38741,14839,8122,10896,8119,4704,2420,1104,366,71,50650,842,573,523,603,772,852,689,340,222,5425,297,202,215,146,132,74,37,12,0,1114,2444,1828,5057,1378,472,426,202,77,13,11902,1206,1070,1746,1787,1833,1283,718,274,93,10018,3946,3092,7020,3313,2439,1787,961,358,110,23029,185960,123555,157603,120295,98920,72398,38081,14262,5069,816145
6,422,170,176,179,171,203,155,70,29,1573,136,65,67,147,183,236,231,186,91,1333,55,29,37,27,28,11,7,0,0,204,272,202,159,213,266,414,346,219,120,2208,1225,761,605,689,712,687,446,177,28,5330,1007,636,669,796,1299,1874,2041,1277,569,10159,153,118,111,126,221,311,260,165,70,1526,126,96,97,103,126,187,138,84,37,1000,1515,1243,946,1581,2668,3860,4019,2423,1082,19340,2909,1616,1498,1580,1784,1612,1141,497,160,12806,63,66,46,60,94,130,117,70,23,677,33953,23352,19865,26489,37756,43213,38208,21881,8790,253504,503,414,690,417,263,149,74,38,9,2554,747,465,538,392,199,95,43,17,0,2497,33,14,22,28,42,48,39,15,3,250,27,8,10,10,10,7,0,4,0,78,90,65,220,58,28,18,9,4,4,489,160,240,304,326,345,243,139,46,14,1819,278,318,535,393,381,264,149,51,18,2379,46208,30049,30030,25789,24022,20456,12641,4389,1460,195036
7,158,95,90,87,93,59,30,8,0,614,1553,898,869,808,767,588,339,137,42,6008,67,11,33,38,13,8,0,0,0,164,657,436,412,312,368,220,121,41,6,2571,769,374,444,453,372,243,99,32,7,2800,228,134,256,296,476,587,435,122,23,2553,54,27,28,52,75,44,29,22,4,337,160,76,88,116,81,55,39,8,5,623,2975,1927,1838,1752,1842,1553,767,255,68,12980,1335,735,889,823,640,484,209,60,19,5195,19,9,22,24,34,22,9,0,0,147,23522,13904,17162,16269,15895,12544,6848,2389,586,109121,719,371,1379,685,218,122,41,21,5,3567,535,298,657,440,219,115,54,13,0,2332,15,5,26,11,24,25,7,0,0,118,941,601,529,390,327,181,93,33,6,3106,150,47,293,94,16,15,7,0,0,633,68,77,133,133,129,104,39,20,7,705,1161,728,957,618,473,301,137,62,11,4444,15936,9789,14362,10118,8567,5927,2591,624,140,68057
8,188,128,128,114,89,53,41,22,5,770,239,173,201,272,347,360,337,213,116,2257,199,45,134,136,53,44,10,7,0,628,444,312,383,352,336,234,132,74,41,2310,980,606,688,609,490,380,195,58,13,4024,736,591,677,852,1123,1236,1133,662,357,7361,121,70,60,87,83,94,82,52,18,663,170,81,142,117,64,62,27,21,8,686,1225,829,986,1242,1470,1475,1292,712,373,9608,1897,1204,1373,1374,1156,1029,618,206,76,8941,47,31,39,48,56,81,65,33,18,419,32261,21152,22272,24746,25874,22175,17845,9821,4152,180300,2464,900,2669,2396,822,564,269,106,28,10212,2934,1274,2222,1842,861,436,235,64,17,9882,116,69,115,87,69,75,72,35,9,647,14,12,8,11,9,7,6,0,0,65,505,217,790,337,146,66,57,15,8,2142,123,187,299,302,258,187,104,37,13,1499,647,416,1096,648,414,256,160,58,14,3705,28976,25645,29270,21693,16832,12936,7550,2534,879,146315
9,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0,9,0,0,0,0,0,0,0,0,0,0,0,3,4,3,6,5,6,0,0,22,9,3,3,0,0,0,0,0,0,18,7,0,3,5,11,12,10,5,0,61,0,0,0,0,0,0,0,0,0,6,6,0,4,7,8,13,4,9,0,54,34,12,10,33,28,23,40,14,0,201,19,11,10,19,12,13,0,6,0,84,0,0,0,0,3,0,0,0,0,3,279,97,117,239,271,273,204,98,38,1626,3,0,0,4,4,0,0,0,0,11,186,95,114,84,96,95,63,27,3,763,0,0,0,0,0,3,4,0,0,3,3,4,3,3,6,0,0,0,0,32,0,0,0,0,0,0,0,0,0,0,0,4,3,0,0,6,0,0,0,17,3,8,10,7,5,6,3,0,0,47,234,105,138,144,150,132,66,19,4,986
