STE_CODE_2021,C11_OO_DS_Sep_house,C11_OO_DS_SemiDRTHT,C11_OO_DS_F_a,C11_OO_DS_OD,C11_OO_DS_NS,C11_Owned_Outright_Tot,C11_OWM_DS_Sep_house,C11_OWM_DS_SemiDRTHT,C11_OWM_DS_F_a,C11_OWM_DS_OD,C11_OWM_DS_NS,C11_Owned_with_mortgage_Tot,C11_R_REA_DS_Sep_house,C11_R_REA_DS_SemiDRTHT,C11_R_REA_DS_F_a,C11_R_REA_DS_OD,C11_R_REA_DS_NS,C11_R_Real_Estate_Agent_Tot,C11_R_STHA_DS_Sep_house,C11_R_STHA_DS_SemiDRTHT,C11_R_STHA_DS_F_a,C11_R_STHA_DS_OD,C11_R_STHA_DS_NS,C11_R_ST_House_Auth_Tot,C11_R_CHP_DS_Sep_house,C11_R_CHP_DS_SemiDRTHT,C11_R_CHP_DS_F_a,C11_R_CHP_DS_OD,C11_R_CHP_DS_NS,C11_R_CHP_Tot,C11_R_PNISH_DS_Sep_house,C11_R_PNISH_DS_SemDRTHT,C11_R_PNISH_DS_F_a,C11_R_PNISH_DS_OD,C11_R_PNISH_DS_NS,C11_R_PNISH_Tot,C11_R_OLT_DS_Sep_house,C11_R_OLT_DS_SemDRTHT,C11_R_OLT_DS_F_a,C11_R_OLT_DS_OD,C11_R_OLT_DS_NS,C11_R_Oth_Llord_Type_Tot,C11_R_LT_NS_DS_Sep_house,C11_R_LT_NS_DS_SemDRTHT,C11_R_LT_NS_DS_F_a,C11_R_LT_NS_DS_OD,C11_R_LT_NS_DS_NS,C11_R_Llord_Type_NS_Tot,C11_R_Tot_DS_Sep_house,C11_R_Tot_DS_SemDRTHT,C11_R_Tot_DS_F_a,C11_R_Tot_DS_OD,C11_R_Tot_DS_NS,C11_R_Tot_Tot,C11_OTT_DS_Sep_house,C11_OTT_DS_SemiDRTHT,C11_OTT_DS_F_a,C11_OTT_DS_OD,C11_OTT_DS_NS,C11_OTT_Tot,C11_TT_NS_DS_Sep_house,C11_TT_NS_DS_SemiDRTHT,C11_TT_NS_DS_F_a,C11_TT_NS_DS_OD,C11_TT_NS_DS_NS,C11_TT_NS_Tot,C11_Tot_DS_Sep_house,C11_Tot_DS_SemiDRTHT,C11_Tot_DS_F_a,C11_Tot_DS_OD,C11_Tot_DS_NS,C11_Tot_Tot,C16_OO_DS_Sep_house,C16_OO_DS_SemiDRTHT,C16_OO_DS_F_a,C16_OO_DS_OD,C16_OO_DS_NS,C16_OO_Tot,C16_OWM_DS_Sep_house,C16_OWM_DS_SemiDRTHT,C16_OWM_DS_F_a,C16_OWM_DS_OD,C16_OWM_DS_NS,C16_OWM_Tot,C16_R_REA_DS_Sep_house,C16_R_REA_DS_SemiDRTHT,C16_R_REA_DS_F_a,C16_R_REA_DS_OD,C16_R_REA_DS_NS,C16_R_REA_Tot,C16_R_STHA_DS_Sep_house,C16_R_STHA_DS_SemiDRTHT,C16_R_STHA_DS_F_a,C16_R_STHA_DS_OD,C16_R_STHA_DS_NS,C16_R_STHA_Tot,C16_R_CHP_DS_Sep_house,C16_R_CHP_DS_SemiDRTHT,C16_R_CHP_DS_F_a,C16_R_CHP_DS_OD,C16_R_CHP_DS_NS,C16_R_CHP_Tot,C16_R_PNISH_DS_Sep_house,C16_R_PNISH_DS_SemDRTHT,C16_R_PNISH_DS_F_a,C16_R_PNISH_DS_OD,C16_R_PNISH_DS_NS,C16_R_PNISH_Tot,C16_R_OLT_DS_Sep_house,C16_R_OLT_DS_SemDRTHT,C16_R_OLT_DS_F_a,C16_R_OLT_DS_OD,C16_R_OLT_DS_NS,C16_R_OLT_Tot,C16_R_LT_NS_DS_Sep_house,C16_R_LT_NS_DS_SemDRTHT,C16_R_LT_NS_DS_F_a,C16_R_LT_NS_DS_OD,C16_R_LT_NS_DS_NS,C16_R_LT_NS_Tot,C16_R_Tot_DS_Sep_house,C16_R_Tot_DS_SemiDRTHT,C16_R_Tot_DS_F_a,C16_R_Tot_DS_OD,C16_R_Tot_DS_NS,C16_R_Tot_Tot,C16_OTT_DS_Sep_house,C16_OTT_DS_SemiDRTHT,C16_OTT_DS_F_a,C16_OTT_DS_OD,C16_OTT_DS_NS,C16_OTT_Tot,C16_TT_NS_DS_Sep_house,C16_TT_NS_DS_SemiDRTHT,C16_TT_NS_DS_F_a,C16_TT_NS_DS_OD,C16_TT_NS_DS_NS,C16_TT_NS_Tot,C16_Tot_DS_Sep_house,C16_Tot_DS_SemiDRTHT,C16_Tot_DS_F_a,C16_Tot_DS_OD,C16_Tot_DS_NS,C16_Tot_Tot,C21_OO_DS_Sep_house,C21_OO_DS_SemiDRTHT,C21_OO_DS_F_a,C21_OO_DS_OD,C21_OO_DS_NS,C21_OO_Tot,C21_OWM_DS_Sep_house,C21_OWM_DS_SemiDRTHT,C21_OWM_DS_F_a,C21_OWM_DS_OD,C21_OWM_DS_NS,C21_OWM_Tot,C21_R_REA_DS_Sep_house,C21_R_REA_DS_SemiDRTHT,C21_R_REA_DS_F_a,C21_R_REA_DS_OD,C21_R_REA_DS_NS,C21_R_REA_Tot,C21_R_STHA_DS_Sep_house,C21_R_STHA_DS_SemiDRTHT,C21_R_STHA_DS_F_a,C21_R_STHA_DS_OD,C21_R_STHA_DS_NS,C21_R_STHA_Tot,C21_R_CHP_DS_Sep_house,C21_R_CHP_DS_SemiDRTHT,C21_R_CHP_DS_F_a,C21_R_CHP_DS_OD,C21_R_CHP_DS_NS,C21_R_CHP_Tot,C21_R_PNISH_DS_Sep_house,C21_R_PNISH_DS_SemDRTHT,C21_R_PNISH_DS_F_a,C21_R_PNISH_DS_OD,C21_R_PNISH_DS_NS,C21_R_PNISH_Tot,C21_R_OLT_DS_Sep_house,C21_R_OLT_DS_SemDRTHT,C21_R_OLT_DS_F_a,C21_R_OLT_DS_OD,C21_R_OLT_DS_NS,C21_R_OLT_Tot,C21_R_LT_NS_DS_Sep_house,C21_R_LT_NS_DS_SemDRTHT,C21_R_LT_NS_DS_F_a,C21_R_LT_NS_DS_OD,C21_R_LT_NS_DS_NS,C21_R_LT_NS_Tot,C21_R_Tot_DS_Sep_house,C21_R_Tot_DS_SemiDRTHT,C21_R_Tot_DS_F_a,C21_R_Tot_DS_OD,C21_R_Tot_DS_NS,C21_R_Tot_Tot,C21_OTT_DS_Sep_house,C21_OTT_DS_SemiDRTHT
1,678574,66644,71920,12446,646,830229,657378,72468,95787,1883,627,828144,170859,62653,191510,2794,798,428620,45241,22609,34097,73,320,102344,5454,3708,6139,39,58,15399,75153,16329,35714,1986,368,129546,12720,2706,3911,3908,140,23394,1809,652,1484,106,10,4068,311235,108660,272870,8901,1707,703364,29251,6604,9806,1151,257,47075,83457,19022,52667,6562,844,162549,1759892,273393,503048,30941,4087,2571359,676642,80196,77519,13156,3354,850867,658894,83524,96803,2723,2432,844376,193840,80318,235068,4466,2696,516388,39220,27404,32278,193,245,99337,4473,4586,6239,57,215,15571,72099,17005,36862,1880,1358,129203,11480,2867,4276,3052,558,22231,1863,739,1365,91,38,4102,322968,132913,316099,9741,5113,786831,27795,8676,11305,1058,1132,49961,111338,27790,62669,9499,3799,215101,1797648,333089,564395,36174,15831,2747135,736515,84536,93674,9807,1951,926483,731334,88817,124463,1815,1098,947530,249401,95153,307386,4923,1963,658827,37540,26334,29447,60,183,93563,8369,8385,11324,84,166,28336,82272,17504,38632,1729,953,141090,16803,3692,6121,3082,970,30662,2327,1027,1825,115,51,5338,396713,152095,394739,9987,4285,957820,29441,12398
2,577132,48908,39815,5060,165,671077,604471,51181,43432,1290,209,700580,155579,50440,106886,1274,184,314366,22695,8852,19733,41,15,51336,3088,1579,3334,13,10,8020,61803,12383,19925,1213,113,95437,7757,1187,2316,2867,36,14167,1422,415,876,73,0,2786,252341,74860,153067,5481,357,486107,23233,4631,6115,580,63,34617,75630,13040,27007,2898,79,118654,1532803,192623,269436,15312,868,2011035,577737,72947,32353,4284,1842,689164,625244,81068,40719,1552,1804,750390,187005,92801,121838,1833,1531,405014,20170,13129,15203,107,127,48737,2862,2543,3339,27,68,8839,60863,17872,17284,898,667,97583,7535,1750,2137,2086,231,13736,1426,689,703,56,25,2899,279859,128792,160496,5001,2656,576806,23461,7397,5313,486,496,37154,103029,25553,33020,4506,1628,167736,1609334,315751,271902,15831,8429,2221241,649120,81551,41235,4542,732,777176,715754,91019,58112,1075,618,866575,245475,105905,144600,1966,742,498687,21499,14606,13617,27,42,49793,3878,3617,4196,46,67,11796,69580,18698,17927,885,394,107478,11199,2469,2126,2418,284,18506,2021,842,700,79,22,3671,353654,146138,183169,5422,1553,689936,25244,10561
3,392419,25268,26235,22880,739,467544,483733,25537,25597,1950,260,537079,171405,41040,73953,630,266,287297,27353,7270,15865,105,29,50627,3810,1914,3113,63,15,8914,70929,15328,24107,1205,181,111757,15422,2882,3787,5877,87,28056,1471,736,986,121,11,3320,290392,69183,121802,8008,586,489973,23088,4942,4507,1773,172,34478,61820,10406,21767,6622,260,100872,1251457,135333,199907,41237,2006,1629938,406939,31169,28555,21226,2494,490384,503465,29490,25326,1963,1550,561792,197144,66939,84424,725,1587,350810,25822,11519,12415,89,164,50013,2482,2631,2704,28,76,7921,68869,15942,19962,816,787,106387,14060,3287,2980,4278,397,25005,1565,710,784,91,21,3171,309935,101042,123268,6024,3039,543299,20574,6240,4559,1253,642,33269,86582,19066,26317,10152,3905,146021,1327493,187002,208025,40610,11632,1774764,460135,40830,41377,17716,3432,563484,567351,41210,36242,1297,891,646990,223355,82119,106213,619,1180,413484,25875,12456,12192,67,134,50729,4040,3407,3668,50,92,11261,72171,15719,21518,829,828,111071,17475,10356,6979,5541,1741,42097,1810,991,909,107,26,3844,344729,125046,151481,7220,4002,632484,20758,9781
4,182767,12802,7850,2434,200,206054,197902,13389,7692,394,102,219480,39976,11382,15328,104,32,66822,15536,12897,7261,17,6,35720,2373,1689,2058,9,0,6132,30203,6089,8346,276,46,44952,4935,847,1239,690,16,7720,581,270,327,10,0,1185,93592,33170,34564,1109,101,162537,9092,3753,2412,255,84,15599,22011,4719,5165,1113,83,33086,505362,67839,57679,5306,569,636753,181449,18358,5603,2606,741,208759,200115,20195,5476,534,718,227038,46716,20164,15116,176,278,82449,12764,14636,4472,23,68,31955,2217,2662,1273,5,17,6175,29641,8271,5828,257,256,44253,4353,1007,789,629,104,6880,563,366,188,15,8,1141,96253,47106,27666,1102,727,172845,9087,4990,1738,263,210,16290,27054,8272,4447,1721,452,41945,513960,98921,44934,6226,2848,666885,200255,20618,6583,2407,701,230565,218111,22033,6619,314,427,247510,55347,22945,18326,180,305,97106,12467,12995,4024,16,87,29591,3784,3871,1758,10,53,9476,32074,8661,5825,269,280,47104,5704,1300,1116,976,363,9455,709,465,259,19,10,1470,110080,50248,31307,1472,1102,194207,9268,6842
5,205724,17961,9175,10534,723,244123,270360,20254,10659,952,165,302388,63336,18012,20967,195,87,102597,14982,8424,6260,36,43,29750,1936,1192,1410,50,14,4596,45077,9458,8322,464,67,63394,10071,1801,1523,1795,79,15262,773,250,283,26,4,1327,136181,39132,38759,2570,291,216933,13735,3892,2919,946,208,21698,36242,7715,8546,3555,156,56219,662237,88952,70058,18564,1545,841366,213800,25596,6413,9415,859,256084,303789,31992,8689,984,766,346223,71555,28961,19325,196,353,120387,14466,11029,3507,44,97,29139,1433,1665,945,42,25,4111,43356,12003,5488,343,237,61433,10244,2065,996,1424,170,14896,693,365,150,30,11,1248,141755,56084,30413,2084,886,231213,12990,4672,2294,722,295,20982,47339,12601,8571,4748,1098,74352,719674,130942,56377,17959,3904,928858,245067,26772,8894,9860,989,291585,345471,30029,11129,701,366,387703,86674,32335,27848,204,218,147278,13880,11482,3145,43,92,28645,3213,2891,1271,66,60,7503,47468,11927,6703,567,288,66964,12318,2602,1242,3129,583,19879,894,491,201,34,7,1637,164449,61723,40417,4044,1253,271892,12739,6280
6,65498,2092,2425,560,36,70613,63074,1485,1443,252,30,66276,12197,2163,3817,108,16,18300,5975,1714,2222,0,0,9914,494,315,560,10,6,1380,11379,1510,2511,209,16,15619,1449,211,426,142,0,2233,230,71,117,4,0,421,31718,5980,9658,477,38,47871,3063,309,461,89,6,3935,7175,781,1220,277,9,9455,170519,10653,15204,1657,118,198156,67183,1959,1508,563,200,71412,63803,1282,1111,222,199,66615,15378,2804,3837,112,81,22213,5446,1944,1484,3,9,8881,771,574,416,5,5,1764,12045,1516,1925,149,92,15727,1387,265,267,150,26,2092,248,93,70,7,0,419,35268,7196,7992,425,215,51099,3229,367,302,69,49,4012,11501,1295,1392,409,122,14722,180978,12108,12299,1688,784,207854,77184,2346,1803,734,148,82219,69607,1573,1201,130,72,72590,18733,3456,4185,164,49,26587,5423,2155,1325,0,38,8946,1412,937,499,3,26,2876,13507,1643,1805,157,89,17205,1918,328,311,292,71,2916,310,128,64,6,4,506,41300,8637,8193,628,277,59040,3271,574
7,7358,725,704,3548,227,12575,14848,1723,1919,407,66,18958,3522,1686,3391,71,25,8695,4692,651,1134,56,11,6544,1333,47,104,40,15,1540,2562,834,1351,240,35,5021,2676,516,745,554,33,4521,109,24,59,14,0,209,14903,3765,6788,970,120,26541,2349,317,435,526,82,3704,4008,985,1895,1562,67,8520,43472,7513,11729,7018,561,70294,7707,624,780,3591,183,12886,15542,1562,1954,433,94,19590,4734,2249,4736,126,42,11889,4689,1159,868,40,27,6779,897,133,68,16,20,1133,2640,848,1282,171,64,5008,2333,375,751,445,55,3962,91,31,46,9,7,188,15384,4795,7753,800,211,28951,2241,397,394,455,101,3587,5762,1289,2100,2167,207,11533,46640,8669,12988,7453,802,76541,8986,781,1087,3683,550,15091,17721,1622,2066,272,72,21749,5459,2797,6451,43,66,14812,4992,1582,837,24,44,7474,1793,275,151,23,45,2281,3065,933,1415,242,134,5788,2871,626,579,1064,443,5584,156,41,55,13,5,268,18330,6242,9482,1410,741,36209,2446,392
8,31461,3844,1594,146,10,37049,41926,5548,3148,20,14,50654,7089,3994,6091,21,3,17192,4844,2004,2060,10,4,8922,182,186,148,0,0,519,5253,2070,2464,25,12,9818,1251,283,217,58,9,1812,71,32,32,0,0,141,18685,8565,11015,107,26,38400,984,410,347,20,0,1763,3028,1023,1731,94,0,5872,96083,19381,17828,387,51,133733,31916,4970,1946,74,57,38958,42811,7737,4489,26,36,55098,7783,6002,9532,10,62,23381,4244,2320,1557,4,17,8142,193,209,175,3,17,598,4490,2325,2670,9,48,9544,1391,358,350,49,5,2161,61,42,38,0,0,141,18153,11263,14317,70,155,43963,982,562,360,3,11,1923,4606,2009,2626,124,43,9408,98470,26542,23735,301,289,149343,35057,5883,4088,102,35,45167,48997,9892,9102,7,31,68028,9473,6297,13215,4,49,29035,4441,2736,1447,18,10,8655,394,324,299,0,8,1027,4868,2385,3480,9,42,10793,1697,480,591,40,40,2848,112,54,52,0,0,213,20986,12275,19090,71,153,52579,1070,843
9,91,16,64,8,0,179,38,12,9,3,0,67,18,0,3,0,0,26,51,7,78,0,5,142,24,0,0,0,0,24,22,14,19,5,0,61,45,10,10,0,14,70,6,0,0,0,0,5,174,25,110,6,15,332,75,7,8,3,0,89,26,7,63,5,0,100,393,70,252,19,17,760,363,20,26,7,8,417,286,9,8,0,0,302,76,0,8,0,5,89,56,27,26,0,0,110,13,0,0,0,0,18,112,14,12,4,0,146,63,12,14,0,0,88,4,0,0,0,0,4,325,55,62,7,7,449,116,10,19,6,4,154,107,7,32,11,5,165,1197,102,148,33,17,1492,445,29,28,0,5,503,261,13,6,0,4,286,107,3,4,0,5,115,59,31,49,0,0,139,39,0,3,0,0,42,167,23,21,0,4,218,81,9,18,0,3,118,0,0,0,0,0,0,458,65,97,0,14,632,93,5
