STE_CODE_2021,C16_SH_3b_NPGH_4,C16_SH_3b_NPGH_5,C16_SH_3b_NPGH_6_mor,C16_SH_3b_Tot,C16_SH_4mb_NPGH_2,C16_SH_4mb_NPGH_3,C16_SH_4mb_NPGH_4,C16_SH_4mb_NPGH_5,C16_SH_4mb_NPGH_6_mor,C16_SH_4mb_Tot,C16_SH_NB_NS_NPGH_2,C16_SH_NB_NS_NPGH_3,C16_SH_NB_NS_NPGH_4,C16_SH_NB_NS_NPGH_5,C16_SH_NB_NS_NPGH_6_mor,C16_SH_NB_NS_Tot,C16_SH_Tot_NPGH_2,C16_SH_Tot_NPGH_3,C16_SH_Tot_NPGH_4,C16_SH_Tot_NPGH_5,C16_SH_Tot_NPGH_6_mor,C16_SH_Tot_Tot,C16_SDRTHT_0b_s_a_b_NPGH_2,C16_SDRTHT_0b_s_a_b_NPGH_3,C16_SDRTHT_0b_s_a_b_NPGH_4,C16_SDRTHT_0b_s_a_b_NPGH_5,C16_SDRTHT_0b_s_a_b_NPGH_6mor,C16_SDRTHT_0b_s_a_b_Tot,C16_SDRTHT_1b_NPGH_2,C16_SDRTHT_1b_NPGH_3,C16_SDRTHT_1b_NPGH_4,C16_SDRTHT_1b_NPGH_5,C16_SDRTHT_1b_NPGH_6_mor,C16_SDRTHT_1b_Tot,C16_SDRTHT_2b_NPGH_2,C16_SDRTHT_2b_NPGH_3,C16_SDRTHT_2b_NPGH_4,C16_SDRTHT_2b_NPGH_5,C16_SDRTHT_2b_NPGH_6_mor,C16_SDRTHT_2b_Tot,C16_SDRTHT_3b_NPGH_2,C16_SDRTHT_3b_NPGH_3,C16_SDRTHT_3b_NPGH_4,C16_SDRTHT_3b_NPGH_5,C16_SDRTHT_3b_NPGH_6_mor,C16_SDRTHT_3b_Tot,C16_SDRTHT_4mb_NPGH_2,C16_SDRTHT_4mb_NPGH_3,C16_SDRTHT_4mb_NPGH_4,C16_SDRTHT_4mb_NPGH_5,C16_SDRTHT_4mb_NPGH_6_mor,C16_SDRTHT_4mb_Tot,C16_SDRTHT_NB_NS_NPGH_2,C16_SDRTHT_NB_NS_NPGH_3,C16_SDRTHT_NB_NS_NPGH_4,C16_SDRTHT_NB_NS_NPGH_5,C16_SDRTHT_NB_NS_NPGH_6_mor,C16_SDRTHT_NB_NS_Tot,C16_SDRTHT_Tot_NPGH_2,C16_SDRTHT_Tot_NPGH_3,C16_SDRTHT_Tot_NPGH_4,C16_SDRTHT_Tot_NPGH_5,C16_SDRTHT_Tot_NPGH_6_mor,C16_SDRTHT_Tot_Tot,C16_F_a_0b_s_a_b_NPGH_2,C16_F_a_0b_s_a_b_NPGH_3,C16_F_a_0b_s_a_b_NPGH_4,C16_F_a_0b_s_a_b_NPGH_5,C16_F_a_0b_s_a_b_NPGH_6_mor,C16_F_a_0b_s_a_b_Tot,C16_F_a_1b_NPGH_2,C16_F_a_1b_NPGH_3,C16_F_a_1b_NPGH_4,C16_F_a_1b_NPGH_5,C16_F_a_1b_NPGH_6_mor,C16_F_a_1b_Tot,C16_F_a_2b_NPGH_2,C16_F_a_2b_NPGH_3,C16_F_a_2b_NPGH_4,C16_F_a_2b_NPGH_5,C16_F_a_2b_NPGH_6_mor,C16_F_a_2b_Tot,C16_F_a_3b_NPGH_2,C16_F_a_3b_NPGH_3,C16_F_a_3b_NPGH_4,C16_F_a_3b_NPGH_5,C16_F_a_3b_NPGH_6_mor,C16_F_a_3b_Tot,C16_F_a_4mb_NPGH_2,C16_F_a_4mb_NPGH_3,C16_F_a_4mb_NPGH_4,C16_F_a_4mb_NPGH_5,C16_F_a_4mb_NPGH_6_mor,C16_F_a_4mb_Tot,C16_F_a_NB_NS_NPGH_2,C16_F_a_NB_NS_NPGH_3,C16_F_a_NB_NS_NPGH_4,C16_F_a_NB_NS_NPGH_5,C16_F_a_NB_NS_NPGH_6_mor,C16_F_a_NB_NS_Tot,C16_F_a_Tot_NPGH_2,C16_F_a_Tot_NPGH_3,C16_F_a_Tot_NPGH_4,C16_F_a_Tot_NPGH_5,C16_F_a_Tot_NPGH_6_mor,C16_F_a_Tot_Tot,C16_OD_0b_s_a_b_NPGH_2,C16_OD_0b_s_a_b_NPGH_3,C16_OD_0b_s_a_b_NPGH_4,C16_OD_0b_s_a_b_NPGH_5,C16_OD_0b_s_a_b_NPGH_6_mor,C16_OD_0b_s_a_b_Tot,C16_OD_1b_NPGH_2,C16_OD_1b_NPGH_3,C16_OD_1b_NPGH_4,C16_OD_1b_NPGH_5,C16_OD_1b_NPGH_6_mor,C16_OD_1b_Tot,C16_OD_2b_NPGH_2,C16_OD_2b_NPGH_3,C16_OD_2b_NPGH_4,C16_OD_2b_NPGH_5,C16_OD_2b_NPGH_6_mor,C16_OD_2b_Tot,C16_OD_3b_NPGH_2,C16_OD_3b_NPGH_3,C16_OD_3b_NPGH_4,C16_OD_3b_NPGH_5,C16_OD_3b_NPGH_6_mor,C16_OD_3b_Tot,C16_OD_4mb_NPGH_2,C16_OD_4mb_NPGH_3,C16_OD_4mb_NPGH_4,C16_OD_4mb_NPGH_5,C16_OD_4mb_NPGH_6_mor,C16_OD_4mb_Tot,C16_OD_NB_NS_NPGH_2,C16_OD_NB_NS_NPGH_3,C16_OD_NB_NS_NPGH_4,C16_OD_NB_NS_NPGH_5,C16_OD_NB_NS_NPGH_6_mor,C16_OD_NB_NS_Tot,C16_OD_Tot_NPGH_2,C16_OD_Tot_NPGH_3,C16_OD_Tot_NPGH_4,C16_OD_Tot_NPGH_5,C16_OD_Tot_NPGH_6_mor,C16_OD_Tot_Tot,C16_DS_NS_NPGH_2,C16_DS_NS_NPGH_3,C16_DS_NS_NPGH_4,C16_DS_NS_NPGH_5,C16_DS_NS_NPGH_6_mor,C16_DS_NS_Tot,C16_Tot_NPGH_2,C16_Tot_NPGH_3,C16_Tot_NPGH_4,C16_Tot_NPGH_5,C16_Tot_NPGH_6_mor,C16_Tot_Tot,C21_SH_0b_s_a_b_NPGH_2,C21_SH_0b_s_a_b_NPGH_3,C21_SH_0b_s_a_b_NPGH_4,C21_SH_0b_s_a_b_NPGH_5,C21_SH_0b_s_a_b_NPGH_6_mor,C21_SH_0b_s_a_b_Tot,C21_SH_1b_NPGH_2,C21_SH_1b_NPGH_3,C21_SH_1b_NPGH_4,C21_SH_1b_NPGH_5,C21_SH_1b_NPGH_6_mor,C21_SH_1b_Tot,C21_SH_2b_NPGH_2,C21_SH_2b_NPGH_3,C21_SH_2b_NPGH_4,C21_SH_2b_NPGH_5,C21_SH_2b_NPGH_6_mor,C21_SH_2b_Tot,C21_SH_3b_NPGH_2,C21_SH_3b_NPGH_3,C21_SH_3b_NPGH_4,C21_SH_3b_NPGH_5,C21_SH_3b_NPGH_6_mor,C21_SH_3b_Tot,C21_SH_4mb_NPGH_2,C21_SH_4mb_NPGH_3,C21_SH_4mb_NPGH_4,C21_SH_4mb_NPGH_5,C21_SH_4mb_NPGH_6_mor,C21_SH_4mb_Tot,C21_SH_NB_NS_NPGH_2,C21_SH_NB_NS_NPGH_3,C21_SH_NB_NS_NPGH_4,C21_SH_NB_NS_NPGH_5,C21_SH_NB_NS_NPGH_6_mor,C21_SH_NB_NS_Tot,C21_SH_Tot_NPGH_2,C21_SH_Tot_NPGH_3,C21_SH_Tot_NPGH_4,C21_SH_Tot_NPGH_5
1,658,198,166,20804,7422,2464,2063,1057,820,13826,1338,365,155,109,120,2088,31971,6801,2963,1409,1155,44309,46,5,0,3,3,51,352,30,5,6,4,404,4555,355,75,14,9,5008,3917,2645,548,113,61,7284,637,535,954,351,215,2690,434,156,55,38,33,711,9942,3722,1643,528,321,16153,318,42,27,16,6,413,2955,256,67,36,20,3328,23388,4394,1939,543,282,30549,2984,4163,1221,423,359,9148,198,197,364,198,140,1106,1119,356,208,101,69,1849,30965,9406,3828,1313,872,46381,27,0,0,0,0,33,118,11,0,0,0,125,516,73,16,0,3,611,175,140,31,16,17,373,47,24,38,19,8,144,79,20,7,9,6,125,966,276,95,47,28,1407,528,120,61,26,24,752,74367,20324,8587,3321,2406,109005,161,28,9,0,3,211,576,91,37,13,16,727,6454,442,79,18,10,7005,16705,3966,746,173,89,21674,9154,3248,2745,1312,826,17287,826,217,97,63,52,1248,33877,7991,3709,1584
2,1223,384,229,24221,5586,2341,2584,1213,890,12611,1235,385,202,122,122,2066,30181,8386,4155,1765,1287,45771,30,6,9,3,0,47,305,22,16,4,4,348,6591,615,146,30,19,7398,3929,3774,755,144,71,8677,445,536,1068,424,179,2656,447,170,68,36,22,744,11739,5134,2057,644,298,19872,160,17,12,0,4,199,2175,153,47,7,7,2395,16770,2542,756,202,80,20352,1415,2295,443,123,72,4352,108,129,224,72,39,574,584,217,83,33,17,935,21227,5356,1562,445,214,28798,17,0,0,0,0,19,54,4,3,0,0,60,229,17,6,5,4,252,84,86,16,7,5,205,21,19,30,17,5,88,20,6,4,3,0,36,425,132,64,31,14,666,314,101,30,19,12,486,63887,19107,7866,2896,1827,95585,70,10,0,4,0,90,270,31,10,10,8,320,5543,359,73,22,8,6007,18058,6403,1287,350,168,26260,7628,3239,3752,1580,857,17049,801,270,129,83,69,1345,32365,10305,5254,2043
3,584,116,56,21296,9688,3647,2572,1029,528,17461,1229,338,173,72,73,1879,32455,8197,3413,1235,674,45981,24,0,6,0,0,27,143,13,3,0,0,157,3500,215,48,12,8,3785,4101,1996,352,68,41,6553,265,182,199,69,30,751,281,75,24,10,11,407,8308,2481,631,164,88,11670,57,8,3,0,6,76,880,47,12,0,0,943,11130,1168,369,85,31,12786,1802,1913,346,93,59,4226,111,123,153,44,38,462,456,128,39,20,14,659,14429,3392,925,246,153,19151,51,4,4,0,0,59,117,11,0,0,0,131,228,5,0,0,0,232,77,19,9,0,0,106,38,19,10,9,7,77,51,15,6,0,3,70,552,78,28,11,9,671,304,72,29,17,10,432,56047,14221,5030,1670,936,77899,163,24,9,3,4,196,431,52,12,7,12,517,4458,240,30,7,4,4738,16729,4002,544,92,33,21404,11117,3916,2652,972,475,19134,780,210,99,41,18,1144,33666,8451,3349,1126
4,251,51,57,8471,1631,681,690,278,169,3454,354,78,40,18,19,515,10400,2452,1021,360,253,14494,11,6,0,0,0,11,74,4,0,0,0,83,1692,94,24,0,0,1809,1665,845,139,31,12,2690,103,77,121,39,17,358,145,31,19,4,0,208,3692,1063,295,79,31,5161,19,0,0,0,0,20,133,6,0,0,0,135,1918,207,57,8,6,2188,224,194,42,10,0,480,8,12,23,3,5,57,72,16,4,0,0,99,2375,435,130,26,11,2982,8,0,0,0,0,8,20,0,0,0,0,20,38,0,0,0,0,41,23,9,0,0,0,34,4,5,6,0,0,19,10,0,0,0,0,15,97,16,8,3,5,126,60,20,4,0,0,88,16633,3991,1464,469,299,22855,28,6,0,0,0,38,91,17,0,3,7,119,1703,101,16,0,0,1821,6919,1966,291,76,42,9296,1917,719,736,285,209,3866,226,63,32,13,11,341,10884,2878,1075,372
5,348,95,60,9776,5115,1792,1294,517,275,9004,562,168,68,38,29,872,14853,4030,1762,663,378,21680,6,0,0,0,0,15,131,3,3,5,0,142,1584,100,16,4,0,1699,2637,1181,202,43,15,4080,294,191,237,98,60,876,171,51,19,12,8,267,4822,1528,475,158,93,7076,7,0,4,0,0,10,281,12,8,0,0,294,2024,241,43,8,5,2320,399,258,72,26,10,768,20,15,14,8,7,67,103,27,9,4,0,136,2837,553,140,47,29,3602,25,0,0,0,0,24,28,3,0,0,0,33,47,5,5,0,0,52,25,4,5,0,0,35,10,4,9,0,0,26,17,4,0,0,4,25,158,20,13,0,4,198,78,25,18,3,9,128,22745,6165,2400,876,502,32690,28,3,0,0,0,31,136,15,3,0,7,162,1675,111,17,6,3,1810,7728,2142,289,45,5,10213,5512,1919,1222,451,224,9331,394,103,41,18,14,563,15482,4299,1572,516
6,49,12,3,2611,506,191,234,57,48,1043,139,25,4,4,4,184,3794,741,299,82,58,4970,0,0,0,0,0,0,30,0,0,0,0,27,330,24,3,0,0,355,96,74,10,6,0,183,12,18,15,20,9,70,18,5,0,0,0,23,481,124,28,24,4,667,4,0,0,0,0,4,63,0,0,0,0,67,411,34,4,0,0,454,62,83,4,0,0,152,11,12,20,9,0,51,20,6,3,0,0,31,572,134,32,11,0,756,7,0,0,0,0,5,8,0,0,0,0,8,20,0,0,0,0,25,5,10,0,0,0,18,4,3,4,0,0,10,3,0,0,0,0,3,48,12,3,0,0,68,33,7,7,0,0,42,4926,1019,364,117,66,6491,15,0,0,0,0,17,57,14,4,4,0,73,1011,70,14,0,3,1088,2313,688,139,38,13,3197,608,287,315,135,71,1411,84,21,12,4,3,131,4091,1076,482,181
7,35,5,8,850,254,159,106,37,13,571,70,22,6,4,9,111,1174,361,157,55,28,1768,0,0,0,0,0,0,20,4,0,0,0,22,239,21,4,6,0,267,97,43,16,0,4,168,9,0,4,0,0,18,17,6,0,0,0,20,387,77,25,5,4,497,4,0,0,0,0,3,35,0,0,0,0,44,444,60,7,3,3,516,212,153,31,7,10,409,4,11,15,3,0,35,43,7,11,0,0,64,747,238,58,8,15,1072,9,4,0,0,0,13,6,0,0,0,0,8,17,0,0,0,0,19,16,5,0,0,0,17,5,3,0,0,0,12,13,0,3,0,0,16,61,15,4,4,0,83,11,3,4,0,0,20,2372,700,249,73,46,3441,10,4,0,0,0,15,29,0,0,0,0,35,151,11,5,0,0,171,709,202,40,4,0,960,331,214,122,38,21,727,38,15,7,7,0,66,1270,444,171,47
8,61,11,8,1505,508,270,278,116,72,1248,65,28,17,3,9,120,1695,777,363,136,90,3066,0,0,0,0,0,0,27,0,0,0,0,28,374,29,0,0,0,407,519,422,55,6,4,998,51,57,85,32,12,233,44,13,0,0,0,56,1013,516,141,38,14,1731,0,4,0,0,0,7,172,8,0,0,0,176,1285,123,25,0,4,1431,118,220,31,3,5,379,5,13,17,4,6,41,50,14,6,0,0,68,1631,378,72,10,13,2100,0,0,0,0,0,0,0,0,0,0,0,0,9,0,0,0,0,9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,11,0,0,0,0,10,21,6,4,0,0,30,4366,1681,582,184,117,6937,3,0,0,0,0,7,28,8,4,0,5,42,166,21,0,0,5,186,896,568,79,19,8,1579,490,330,417,148,80,1464,45,16,19,3,8,90,1632,938,520,176
9,0,0,0,4,0,0,0,0,0,3,0,0,0,0,0,0,11,4,0,0,0,13,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,14,4,0,0,0,16,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,0,0,8,12,0,0,0,0,12,5,0,0,0,0,4,0,0,0,0,0,0,21,0,0,0
