STE_CODE_2021,C11_CFC_SMS_MRM_NDC_UR_1,C11_CFC_SMS_MRM_NDC_UR_2,C11_CFC_SMS_MRM_NDC_UR_3,C11_CFC_SMS_MRM_NDC_UR_4mo,C11_CFC_SMS_MRM_NDC_UR_Total,C11_CFC_SMS_M_DfM_NDC_UR_1,C11_CFC_SMS_M_DfM_NDC_UR_2,C11_CFC_SMS_M_DfM_NDC_UR_3,C11_CFC_SMS_M_DfM_NDC_UR_4mo,C11_CFC_SMS_M_DfM_NDC_UR_Tot,C11_CFC_SMS_Tot_NDC_UR_1,C11_CFC_SMS_Tot_NDC_UR_2,C11_CFC_SMS_Tot_NDC_UR_3,C11_CFC_SMS_Tot_NDC_UR_4mo,C11_CFC_SMS_Tot_NDC_UR_Tot,C11_1PF_NDC_UR_1,C11_1PF_NDC_UR_2,C11_1PF_NDC_UR_3,C11_1PF_NDC_UR_4mo,C11_1PF_NDC_UR_Tot,C11_Tot_NDC_UR_1,C11_Tot_NDC_UR_2,C11_Tot_NDC_UR_3,C11_Tot_NDC_UR_4mo,C11_Tot_NDC_UR_Tot,C16_CFC_SMS_MRM_NDC_UR_1,C16_CFC_SMS_MRM_NDC_UR_2,C16_CFC_SMS_MRM_NDC_UR_3,C16_CFC_SMS_MRM_NDC_UR_4mo,C16_CFC_SMS_MRM_NDC_UR_Tot,C16_CFC_SMS_M_DfM_NDC_UR_1,C16_CFC_SMS_M_DfM_NDC_UR_2,C16_CFC_SMS_M_DfM_NDC_UR_3,C16_CFC_SMS_M_DfM_NDC_UR_4mo,C16_CFC_SMS_M_DfM_NDC_UR_Tot,C16_CFC_SMS_Tot_NDC_UR_1,C16_CFC_SMS_Tot_NDC_UR_2,C16_CFC_SMS_Tot_NDC_UR_3,C16_CFC_SMS_Tot_NDC_UR_4mo,C16_CFC_SMS_Tot_NDC_UR_Tot,C16_1PF_NDC_UR_1,C16_1PF_NDC_UR_2,C16_1PF_NDC_UR_3,C16_1PF_NDC_UR_4mo,C16_1PF_NDC_UR_Tot,C16_Tot_NDC_UR_1,C16_Tot_NDC_UR_2,C16_Tot_NDC_UR_3,C16_Tot_NDC_UR_4mo,C16_Tot_NDC_UR_Tot,C21_CFC_SMS_MRM_NDC_UR_1,C21_CFC_SMS_MRM_NDC_UR_2,C21_CFC_SMS_MRM_NDC_UR_3,C21_CFC_SMS_MRM_NDC_UR_4mo,C21_CFC_SMS_MRM_NDC_UR_Tot,C21_CFC_SMS_M_DfM_NDC_UR_1,C21_CFC_SMS_M_DfM_NDC_UR_2,C21_CFC_SMS_M_DfM_NDC_UR_3,C21_CFC_SMS_M_DfM_NDC_UR_4mo,C21_CFC_SMS_M_DfM_NDC_UR_Tot,C21_CFC_SMS_Tot_NDC_UR_1,C21_CFC_SMS_Tot_NDC_UR_2,C21_CFC_SMS_Tot_NDC_UR_3,C21_CFC_SMS_Tot_NDC_UR_4mo,C21_CFC_SMS_Tot_NDC_UR_Tot,C21_1PF_NDC_UR_1,C21_1PF_NDC_UR_2,C21_1PF_NDC_UR_3,C21_1PF_NDC_UR_4mo,C21_1PF_NDC_UR_Tot,C21_Tot_NDC_UR_1,C21_Tot_NDC_UR_2,C21_Tot_NDC_UR_3,C21_Tot_NDC_UR_4mo,C21_Tot_NDC_UR_Tot
1,204853,259598,101044,32609,598110,34523,28434,10605,4720,78281,239377,288031,111646,37325,676390,100521,62418,21699,9078,193720,339898,350457,133349,46403,870105,218317,275067,101906,31869,627164,40197,34047,12035,4923,91197,258519,309113,113941,36790,718365,99078,62768,21945,8830,192622,357590,371883,135880,45623,910982,233930,298953,104669,31157,668708,48501,39485,13444,5377,106801,282428,338438,118115,36530,775508,103994,69013,23522,8713,205240,386424,407453,141635,45241,980745
2,158916,209645,78979,23368,470906,27508,23468,7888,2990,61853,186416,233113,86867,26359,532753,73591,46938,15540,5490,141558,260004,280052,102406,31848,674310,177691,228095,79854,23400,509040,33410,28987,9593,3392,75386,211099,257084,89448,26791,584424,76185,48942,15644,6005,146777,287284,306029,105099,32792,731208,192692,255431,83560,23057,554731,41494,35250,10920,3732,91394,234180,290676,94481,26788,646127,83177,55216,16922,5772,161082,317352,345890,111406,32560,807212
3,113823,149224,57784,20253,341086,30525,24885,9767,4971,70147,144349,174113,67548,25220,411231,66627,40820,14692,6402,128533,210979,214931,82244,31617,539770,119324,156298,57877,19408,352911,33129,28847,10916,5141,78031,152452,185148,68792,24548,430934,68298,44973,15966,7004,136239,220747,230120,84759,31552,567174,127622,171214,59878,19105,377830,39025,33843,12440,5583,90897,166644,205059,72322,24692,468727,76205,51781,17887,7292,153159,242847,256842,90210,31984,621885
4,42677,56036,19621,5681,124015,9961,8422,2946,1145,22472,52641,64461,22565,6828,146485,24941,15358,5079,1928,47298,77578,79819,27642,8753,193788,44464,57483,19437,5730,127108,10603,9306,3103,1225,24239,55068,66792,22539,6952,151350,24813,15883,5196,1939,47828,79877,82671,27737,8894,199179,45657,60597,19966,5750,131974,12003,10300,3484,1309,27097,57666,70894,23455,7063,159069,25570,16942,5345,1914,49774,83238,87837,28801,8975,208843
5,62449,83026,29999,9147,184618,15112,12663,4595,2059,34425,77564,95684,34595,11207,219046,30216,18738,6266,2531,57745,107782,114414,40858,13737,276794,70712,92593,32484,9261,205052,17445,14778,5219,2070,39507,88153,107376,37705,11331,244563,31662,20945,6854,2767,62237,119821,128322,44553,14099,306799,73386,100392,33757,9212,216746,19793,17441,6019,2234,45498,93185,117835,39775,11452,262245,34954,24149,7696,2780,69575,128139,141980,47470,14229,331820
6,11784,15149,5648,1979,34559,3979,3537,1360,617,9497,15762,18686,7005,2599,44056,8416,5217,1885,776,16287,24179,23901,8887,3375,60348,10955,14236,5313,1829,32339,4094,3747,1355,568,9770,15053,17982,6670,2399,42101,8064,5433,1892,734,16125,23116,23412,8564,3132,58227,12164,14758,5140,1662,33727,4847,4174,1459,576,11061,17012,18934,6601,2236,44786,8421,5864,2002,734,17023,25443,24795,8602,2970,61812
7,5254,5954,2615,1319,15144,1859,1461,590,352,4263,7109,7414,3211,1669,19402,3157,1948,849,477,6429,10271,9362,4056,2146,25830,5887,6524,2647,1130,16180,2038,1654,646,325,4667,7925,8177,3294,1456,20845,3121,1875,728,421,6142,11046,10051,4022,1876,26992,6146,6501,2494,1012,16144,2118,1778,693,320,4906,8261,8276,3189,1333,21053,3611,2221,829,397,7057,11870,10496,4018,1727,28111
8,11353,14464,4898,1340,32054,2056,1830,528,189,4604,13412,16298,5427,1522,36659,4953,3097,921,288,9267,18368,19397,6349,1813,45924,12863,16600,5231,1331,36023,2488,2092,600,202,5386,15352,18692,5829,1532,41410,4920,3142,943,341,9346,20270,21834,6775,1874,50754,14370,19050,5644,1313,40379,2937,2504,755,252,6446,17306,21557,6396,1558,46823,5650,3968,1077,363,11064,22953,25528,7478,1924,57885
9,101,75,36,8,227,8,9,4,0,19,111,78,41,8,238,20,19,3,4,49,130,98,41,11,292,99,107,67,15,290,31,33,12,0,80,131,139,76,18,364,47,30,9,6,89,180,170,79,24,457,88,112,63,12,281,26,27,9,4,68,120,143,77,16,347,51,36,6,0,94,162,174,85,18,440
