STE_CODE_2021,Age_55_C21_M,Age_55_C21_F,Age_55_C21_P,Age_56_C11_M,Age_56_C11_F,Age_56_C11_P,Age_56_C16_M,Age_56_C16_F,Age_56_C16_P,Age_56_C21_M,Age_56_C21_F,Age_56_C21_P,Age_57_C11_M,Age_57_C11_F,Age_57_C11_P,Age_57_C16_M,Age_57_C16_F,Age_57_C16_P,Age_57_C21_M,Age_57_C21_F,Age_57_C21_P,Age_58_C11_M,Age_58_C11_F,Age_58_C11_P,Age_58_C16_M,Age_58_C16_F,Age_58_C16_P,Age_58_C21_M,Age_58_C21_F,Age_58_C21_P,Age_59_C11_M,Age_59_C11_F,Age_59_C11_P,Age_59_C16_M,Age_59_C16_F,Age_59_C16_P,Age_59_C21_M,Age_59_C21_F,Age_59_C21_P,Age_55_59_C11_M,Age_55_59_C11_F,Age_55_59_C11_P,Age_55_59_C16_M,Age_55_59_C16_F,Age_55_59_C16_P,Age_55_59_C21_M,Age_55_59_C21_F,Age_55_59_C21_P,Age_60_C11_M,Age_60_C11_F,Age_60_C11_P,Age_60_C16_M,Age_60_C16_F,Age_60_C16_P,Age_60_C21_M,Age_60_C21_F,Age_60_C21_P,Age_61_C11_M,Age_61_C11_F,Age_61_C11_P,Age_61_C16_M,Age_61_C16_F,Age_61_C16_P,Age_61_C21_M,Age_61_C21_F,Age_61_C21_P,Age_62_C11_M,Age_62_C11_F,Age_62_C11_P,Age_62_C16_M,Age_62_C16_F,Age_62_C16_P,Age_62_C21_M,Age_62_C21_F,Age_62_C21_P,Age_63_C11_M,Age_63_C11_F,Age_63_C11_P,Age_63_C16_M,Age_63_C16_F,Age_63_C16_P,Age_63_C21_M,Age_63_C21_F,Age_63_C21_P,Age_64_C11_M,Age_64_C11_F,Age_64_C11_P,Age_64_C16_M,Age_64_C16_F,Age_64_C16_P,Age_64_C21_M,Age_64_C21_F,Age_64_C21_P,Age_60_64_C11_M,Age_60_64_C11_F,Age_60_64_C11_P,Age_60_64_C16_M,Age_60_64_C16_F,Age_60_64_C16_P,Age_60_64_C21_M,Age_60_64_C21_F,Age_60_64_C21_P,Age_65_C11_M,Age_65_C11_F,Age_65_C11_P,Age_65_C16_M,Age_65_C16_F,Age_65_C16_P,Age_65_C21_M,Age_65_C21_F,Age_65_C21_P,Age_66_C11_M,Age_66_C11_F,Age_66_C11_P,Age_66_C16_M,Age_66_C16_F,Age_66_C16_P,Age_66_C21_M,Age_66_C21_F,Age_66_C21_P,Age_67_C11_M,Age_67_C11_F,Age_67_C11_P,Age_67_C16_M,Age_67_C16_F,Age_67_C16_P,Age_67_C21_M,Age_67_C21_F,Age_67_C21_P,Age_68_C11_M,Age_68_C11_F,Age_68_C11_P,Age_68_C16_M,Age_68_C16_F,Age_68_C16_P,Age_68_C21_M,Age_68_C21_F,Age_68_C21_P,Age_69_C11_M,Age_69_C11_F,Age_69_C11_P,Age_69_C16_M,Age_69_C16_F,Age_69_C16_P,Age_69_C21_M,Age_69_C21_F,Age_69_C21_P,Age_65_69_C11_M,Age_65_69_C11_F,Age_65_69_C11_P,Age_65_69_C16_M,Age_65_69_C16_F,Age_65_69_C16_P,Age_65_69_C21_M,Age_65_69_C21_F,Age_65_69_C21_P,Age_70_C11_M,Age_70_C11_F,Age_70_C11_P,Age_70_C16_M,Age_70_C16_F,Age_70_C16_P,Age_70_C21_M,Age_70_C21_F,Age_70_C21_P,Age_71_C11_M,Age_71_C11_F,Age_71_C11_P,Age_71_C16_M,Age_71_C16_F,Age_71_C16_P,Age_71_C21_M,Age_71_C21_F,Age_71_C21_P,Age_72_C11_M,Age_72_C11_F,Age_72_C11_P,Age_72_C16_M,Age_72_C16_F,Age_72_C16_P,Age_72_C21_M,Age_72_C21_F,Age_72_C21_P,Age_73_C11_M,Age_73_C11_F,Age_73_C11_P,Age_73_C16_M,Age_73_C16_F,Age_73_C16_P,Age_73_C21_M,Age_73_C21_F,Age_73_C21_P,Age_74_C11_M,Age_74_C11_F,Age_74_C11_P,Age_74_C16_M,Age_74_C16_F,Age_74_C16_P,Age_74_C21_M,Age_74_C21_F
1,46275,47568,93845,42236,43942,86183,46261,48930,95190,46774,48652,95435,41028,42303,83333,45276,47438,92711,48499,50538,99038,40725,42187,82913,44633,47751,92388,49468,51893,101361,38983,40690,79670,43948,46327,90271,49327,51151,100478,206109,213510,419614,228773,240948,469721,240344,249809,490155,39127,40085,79210,43097,44891,87986,48391,51116,99507,38920,39684,78601,41626,44113,85738,46380,49385,95763,37595,38374,75963,40529,43036,83572,45470,48118,93592,38398,38304,76702,40354,42647,82999,44679,48075,92756,39992,40206,80194,38679,41064,79746,43410,46599,90011,194026,196650,390675,204286,215758,420046,228335,243291,471628,33684,33879,67566,38558,40385,78944,42399,45257,87653,32155,32609,64761,37968,39619,77596,41070,44650,85725,30942,31396,62337,36383,38109,74494,39922,43027,82951,27250,28269,55518,37077,38125,75203,39532,42452,81985,26628,27512,54146,38373,39859,78229,37547,40632,78177,150662,153660,304324,188363,196103,384471,200477,216012,416493,24964,26307,51276,32142,33553,65698,37355,39843,77199,24092,25395,49488,30388,31895,62281,36511,39008,75518,22818,24560,47375,29250,30716,59966,35147,37366,72514,21631,23655,45291,25394,27501,52893,35356,37100,72453,20922,23020,43939,24933,26787,51715,36179,38381
2,36877,38971,75840,31547,33248,64800,35257,37662,72910,36930,38938,75868,30498,32187,62683,34785,36488,71276,37286,39757,77049,30377,32117,62501,33748,36362,70112,38024,40029,78051,29594,30730,60327,32816,35088,67905,37519,39585,77103,155037,162402,317439,173172,184442,357614,186632,197285,383916,28944,30820,59764,33140,34893,68032,37033,39380,76414,28672,30367,59042,31280,33762,65045,35397,38319,73719,27798,29137,56933,30308,32905,63215,35258,37613,72877,27957,29423,57375,30202,32514,62716,33920,36737,70658,29821,30870,60697,29465,31368,60826,32988,35980,68970,143189,150621,293812,154399,165440,319839,174604,188031,362634,24923,25419,50339,28913,31320,60234,32873,35196,68067,23139,24058,47198,28095,30551,58644,31542,34454,65995,22142,23435,45579,27228,29219,56445,30211,33230,63434,19794,20971,40768,27068,29469,56542,29852,32821,62669,20014,21012,41025,28776,30751,59526,28921,31474,60394,110017,114897,224910,140086,151313,291395,153392,167169,320562,18543,19517,38056,24096,25377,49475,28188,31043,59232,17859,19180,37039,22052,23736,45783,27472,30404,57883,17136,18503,35642,21053,23198,44252,26292,29013,55303,16064,18055,34121,18745,20510,39259,26327,28921,55245,15288,17164,32457,18791,20645,39432,27357,29977
3,29916,31476,61389,25918,26710,52631,29196,30454,59644,30203,31770,61970,24877,25957,50833,28449,29777,58224,31395,32814,64208,25151,25669,50821,27690,29323,57012,31349,33298,64648,24907,24909,49821,26991,28162,55153,31127,33021,64145,127486,130475,257966,142723,149475,292200,153996,162382,316378,24449,24775,49219,26681,27801,54483,31083,32807,63891,24304,24781,49087,25803,26988,52801,29666,31293,60959,23935,23794,47730,24915,26562,51473,29028,30607,59640,23841,23315,47160,25127,26273,51401,27935,30108,58042,25187,24739,49924,25028,25505,50533,27445,28942,56386,121720,121400,243124,127555,133130,260687,145164,153762,298919,20833,20452,41288,24548,25232,49780,26986,28490,55476,20192,20046,40238,23879,25034,48908,26206,27829,54029,18876,18802,37676,23601,23898,47495,25223,27168,52389,16606,16816,33426,23186,23582,46768,25295,26559,51852,16616,16523,33133,24460,24781,49242,24901,25864,50765,93117,92641,185761,119671,122528,242191,128608,135905,264515,15254,15210,30464,20311,20389,40707,24214,25305,49514,14589,14675,29260,19407,19965,39369,23626,25042,48666,13479,13968,27453,17978,18570,36546,22950,24064,47011,12573,12697,25270,15671,16396,32065,22536,23236,45770,11849,12585,24437,15565,16165,31731,23480,24508
4,10859,11280,22138,10240,10394,20633,11098,11642,22737,11108,11476,22589,9842,10420,20255,10878,11566,22446,11298,11697,22995,9931,10388,20318,10711,11049,21763,11448,11908,23355,9572,10120,19685,10398,11096,21488,11330,11890,23226,49881,52126,102013,54668,57230,111898,56042,58255,114300,9581,10224,19796,10283,10887,21172,11593,12094,23691,9655,9906,19559,10154,10426,20584,11114,11782,22899,9398,9651,19054,9730,10512,20238,10907,11769,22671,9137,9614,18748,9769,10515,20278,10710,11182,21898,10089,10351,20441,9569,10180,19749,10385,11297,21683,47857,49739,97599,49505,52524,102027,54719,58125,112846,8099,8529,16629,9427,10304,19733,10175,11082,21260,7743,8201,15944,9417,9916,19326,10102,10635,20742,7301,7656,14958,9160,9657,18815,9739,10592,20330,6705,7114,13819,8971,9490,18462,9795,10524,20315,6478,6836,13309,9675,10279,19957,9449,10210,19654,36315,38345,74668,46646,49638,96289,49258,53041,102304,5894,6355,12248,7831,8456,16278,9206,10195,19404,5752,6293,12040,7437,8137,15572,9208,9861,19069,5689,6297,11989,6932,7626,14562,8804,9597,18401,5295,5970,11258,6362,6994,13357,8519,9380,17909,5172,5821,10990,6106,6684,12789,9249,10009
5,16119,16246,32362,13406,13852,27259,15191,15646,30835,15963,16290,32254,13086,13316,26396,14781,15056,29836,16332,16517,32848,13018,13133,26156,14334,14649,28984,16461,16565,33023,12677,12680,25358,13982,14316,28296,15940,16347,32284,66559,67336,133893,74122,75778,149898,80808,81965,162778,12689,12403,25091,14082,14288,28373,15893,16199,32093,12023,12049,24072,13007,13821,26834,15140,15763,30902,11791,11871,23660,12812,13414,26223,14669,15495,30164,11887,11453,23342,12513,13159,25676,14190,14912,29101,12365,11998,24358,12423,12618,25042,13900,14506,28407,60761,59770,120530,64835,67306,132144,73796,76868,150667,9710,9296,19008,12263,12306,24569,14005,14609,28615,9155,8982,18135,11512,11937,23443,13012,14133,27146,8990,8786,17780,11178,11533,22712,12510,13544,26051,7810,7852,15662,11343,11250,22596,12316,13260,25575,7895,7848,15741,11606,11828,23431,12012,12792,24801,43562,42761,86321,57902,58854,116755,63860,68326,132186,7091,7289,14379,9132,9262,18393,11908,12312,24217,6762,7079,13845,8539,8769,17308,11391,11918,23307,6546,6905,13450,8482,8642,17121,10960,11657,22614,6151,6580,12731,7271,7697,14974,10864,11185,22048,5718,6093,11816,7429,7687,15117,11297,11715
6,3163,3508,6673,3309,3470,6779,3613,3941,7558,3400,3650,7047,3168,3549,6714,3595,3858,7453,3683,3931,7616,3325,3463,6789,3669,3672,7344,3702,3945,7653,3390,3351,6742,3445,3753,7193,3935,4070,8001,16704,17387,34093,18078,19310,37383,17883,19109,36993,3272,3331,6600,3611,3663,7274,3860,4194,8049,3254,3326,6582,3379,3504,6875,3722,4057,7781,3082,3216,6301,3225,3594,6817,3710,3950,7662,3203,3188,6390,3378,3554,6935,3692,3800,7488,3432,3422,6851,3398,3473,6870,3503,3905,7413,16240,16491,32729,16997,17783,34775,18485,19911,38395,2775,2817,5591,3329,3439,6764,3646,3713,7365,2601,2722,5324,3211,3410,6614,3455,3628,7084,2632,2583,5213,3063,3248,6314,3228,3679,6910,2329,2303,4632,3132,3226,6360,3409,3522,6927,2261,2287,4550,3442,3450,6891,3379,3477,6859,12601,12715,25315,16180,16769,32946,17117,18016,35137,2085,2191,4276,2649,2815,5461,3206,3390,6598,2021,2079,4099,2482,2723,5198,3163,3357,6524,1957,1930,3885,2518,2536,5051,2948,3163,6116,1776,1925,3704,2192,2220,4413,2979,3110,6087,1649,1838,3492,2062,2252,4316,3236,3292
7,1390,1358,2746,1273,1185,2462,1372,1303,2666,1335,1265,2600,1219,1098,2317,1302,1240,2546,1292,1263,2549,1141,1079,2221,1214,1222,2441,1338,1293,2627,1119,966,2091,1188,1147,2329,1320,1233,2548,6082,5548,11630,6600,6291,12891,6673,6402,13078,1137,1023,2165,1265,1162,2429,1283,1286,2569,1041,827,1871,1161,1011,2172,1116,1122,2232,996,783,1782,1046,987,2034,1139,1088,2230,899,751,1641,1058,906,1959,1056,1024,2086,952,704,1659,981,835,1820,1027,1009,2038,5028,4097,9120,5503,4900,10409,5621,5528,11150,732,588,1321,889,838,1725,1026,911,1932,674,518,1192,853,734,1590,896,882,1779,564,497,1063,792,651,1443,891,831,1717,484,389,871,719,592,1308,800,764,1568,475,375,848,748,553,1300,768,667,1441,2927,2365,5287,4002,3361,7366,4383,4058,8433,487,407,896,569,520,1090,713,714,1432,443,342,777,523,394,920,720,612,1338,306,261,560,427,382,812,623,528,1152,297,258,557,386,339,727,565,513,1079,264,218,479,408,342,748,562,501
8,2327,2543,4866,1975,2135,4112,2245,2365,4610,2383,2422,4804,1974,2028,4000,2112,2314,4424,2303,2468,4768,1967,2080,4044,2101,2269,4375,2329,2356,4681,1905,2059,3961,2009,2161,4169,2322,2479,4803,9880,10533,20410,10793,11561,22359,11663,12263,23926,1821,2010,3825,1949,2164,4117,2227,2383,4611,1850,1903,3748,1794,2036,3831,2166,2271,4435,1745,1796,3546,1831,1917,3741,2001,2253,4253,1689,1835,3527,1820,1977,3794,1957,2185,4142,1860,1863,3728,1713,1938,3656,1889,2148,4040,8967,9408,18371,9112,10040,19147,10246,11239,21481,1519,1495,3014,1653,1874,3523,1827,2094,3924,1264,1405,2671,1688,1763,3452,1683,1961,3645,1202,1306,2510,1606,1795,3395,1752,1915,3667,1078,1154,2231,1588,1786,3377,1755,1953,3713,1117,1129,2242,1673,1862,3540,1618,1950,3567,6184,6487,12674,8210,9072,17287,8641,9872,18513,915,1048,1966,1411,1469,2879,1617,1918,3534,925,980,1909,1183,1365,2545,1620,1866,3484,864,939,1801,1102,1309,2417,1555,1741,3291,817,890,1706,1009,1158,2175,1579,1766,3344,716,901,1614,1026,1133,2154,1630,1879
9,39,42,80,19,21,35,42,39,79,35,33,67,18,12,26,35,39,70,36,37,77,30,22,51,41,37,76,42,35,74,22,19,41,38,39,75,43,49,93,110,86,196,195,185,378,190,193,391,27,14,40,36,35,73,30,40,71,25,8,39,35,32,61,45,41,84,21,11,36,33,34,72,42,42,75,20,0,17,37,29,67,43,33,80,14,9,19,31,33,61,34,40,75,108,41,146,172,163,331,192,193,383,9,8,12,44,31,73,38,35,70,7,6,13,44,35,80,37,38,76,10,5,14,31,29,56,29,21,52,9,3,17,26,16,36,28,34,60,6,3,6,29,17,49,29,28,59,41,26,67,170,127,299,165,155,320,14,4,16,20,23,45,48,23,71,12,5,15,18,18,33,42,33,80,6,3,5,21,13,36,30,28,56,10,3,10,24,16,39,22,14,40,0,4,6,13,16,26,15,11
