STE_CODE_2021,UOL_Pe_ex_Da_C11_P,UOL_Pe_ex_Da_C16_M,UOL_Pe_ex_Da_C16_F,UOL_Pe_ex_Da_C16_P,UOL_Pe_ex_Da_C21_M,UOL_Pe_ex_Da_C21_F,UOL_Pe_ex_Da_C21_P,UOL_Portuguese_C11_M,UOL_Portuguese_C11_F,UOL_Portuguese_C11_P,UOL_Portuguese_C16_M,UOL_Portuguese_C16_F,UOL_Portuguese_C16_P,UOL_Portuguese_C21_M,UOL_Portuguese_C21_F,UOL_Portuguese_C21_P,UOL_Punjabi_C11_M,UOL_Punjabi_C11_F,UOL_Punjabi_C11_P,UOL_Punjabi_C16_M,UOL_Punjabi_C16_F,UOL_Punjabi_C16_P,UOL_Punjabi_C21_M,UOL_Punjabi_C21_F,UOL_Punjabi_C21_P,UOL_Russian_C11_M,UOL_Russian_C11_F,UOL_Russian_C11_P,UOL_Russian_C16_M,UOL_Russian_C16_F,UOL_Russian_C16_P,UOL_Russian_C21_M,UOL_Russian_C21_F,UOL_Russian_C21_P,UOL_Serbian_C11_M,UOL_Serbian_C11_F,UOL_Serbian_C11_P,UOL_Serbian_C16_M,UOL_Serbian_C16_F,UOL_Serbian_C16_P,UOL_Serbian_C21_M,UOL_Serbian_C21_F,UOL_Serbian_C21_P,UOL_Sinhalese_C11_M,UOL_Sinhalese_C11_F,UOL_Sinhalese_C11_P,UOL_Sinhalese_C16_M,UOL_Sinhalese_C16_F,UOL_Sinhalese_C16_P,UOL_Sinhalese_C21_M,UOL_Sinhalese_C21_F,UOL_Sinhalese_C21_P,UOL_Spanish_C11_M,UOL_Spanish_C11_F,UOL_Spanish_C11_P,UOL_Spanish_C16_M,UOL_Spanish_C16_F,UOL_Spanish_C16_P,UOL_Spanish_C21_M,UOL_Spanish_C21_F,UOL_Spanish_C21_P,UOL_Tagalog_C11_M,UOL_Tagalog_C11_F,UOL_Tagalog_C11_P,UOL_Tagalog_C16_M,UOL_Tagalog_C16_F,UOL_Tagalog_C16_P,UOL_Tagalog_C21_M,UOL_Tagalog_C21_F,UOL_Tagalog_C21_P,UOL_Tamil_C11_M,UOL_Tamil_C11_F,UOL_Tamil_C11_P,UOL_Tamil_C16_M,UOL_Tamil_C16_F,UOL_Tamil_C16_P,UOL_Tamil_C21_M,UOL_Tamil_C21_F,UOL_Tamil_C21_P,UOL_Thai_C11_M,UOL_Thai_C11_F,UOL_Thai_C11_P,UOL_Thai_C16_M,UOL_Thai_C16_F,UOL_Thai_C16_P,UOL_Thai_C21_M,UOL_Thai_C21_F,UOL_Thai_C21_P,UOL_Turkish_C11_M,UOL_Turkish_C11_F,UOL_Turkish_C11_P,UOL_Turkish_C16_M,UOL_Turkish_C16_F,UOL_Turkish_C16_P,UOL_Turkish_C21_M,UOL_Turkish_C21_F,UOL_Turkish_C21_P,UOL_Urdu_C11_M,UOL_Urdu_C11_F,UOL_Urdu_C11_P,UOL_Urdu_C16_M,UOL_Urdu_C16_F,UOL_Urdu_C16_P,UOL_Urdu_C21_M,UOL_Urdu_C21_F,UOL_Urdu_C21_P,UOL_Viet_C11_M,UOL_Viet_C11_F,UOL_Viet_C11_P,UOL_Viet_C16_M,UOL_Viet_C16_F,UOL_Viet_C16_P,UOL_Viet_C21_M,UOL_Viet_C21_F,UOL_Viet_C21_P,UOL_Other_C11_M,UOL_Other_C11_F,UOL_Other_C11_P,UOL_Other_C16_M,UOL_Other_C16_F,UOL_Other_C16_P,UOL_Other_C21_M,UOL_Other_C21_F,UOL_Other_C21_P,Lang_used_home_NS_C11_M,Lang_used_home_NS_C11_F,Lang_used_home_NS_C11_P,Lang_used_home_NS_C16_M,Lang_used_home_NS_C16_F,Lang_used_home_NS_C16_P,Lang_used_home_NS_C21_M,Lang_used_home_NS_C21_F,Lang_used_home_NS_C21_P,Tot_C11_M,Tot_C11_F,Tot_C11_P,Tot_C16_M,Tot_C16_F,Tot_C16_P,Tot_C21_M,Tot_C21_F,Tot_C21_P
1,14701,11658,10387,22044,13631,13162,26796,7960,8338,16298,11133,11869,23005,14628,15627,30258,12147,9391,21540,18271,15161,33429,28808,24648,53460,7062,9415,16474,7988,10771,18765,8573,11488,20060,10891,11353,22235,10364,11124,21489,10984,11922,22907,4718,4666,9384,5583,5650,11232,6727,6843,13570,26214,29407,55625,29970,33555,63523,33824,38041,71868,15492,21620,37117,18548,26586,45133,21563,30055,51616,10897,10633,21525,15744,13931,29676,19674,18772,38446,5712,10002,15715,8909,15937,24841,9623,18413,28034,11212,11064,22274,10871,10756,21623,11923,11920,23842,9604,8136,17744,16826,12894,29723,26087,20536,46618,41564,45930,87497,48052,54849,102896,54210,63697,117907,112992,120077,233070,137469,141952,279422,156518,162302,318818,187825,162157,349984,241581,229998,471577,240683,227417,468099,3408877,3508780,6917657,3686007,3794216,7480230,3984166,4087995,8072163
2,8063,8784,7646,16433,11630,10764,22398,2478,2648,5124,3503,3797,7299,4326,4892,9214,18848,12212,31069,31524,24645,56166,56799,48156,104949,7374,9128,16508,7796,9885,17684,7869,10337,18205,8704,8878,17578,8317,8740,17055,8559,9273,17833,14536,13631,28166,19063,18358,37428,25448,24048,49501,13868,15149,29015,16993,18504,35492,20507,22678,43181,6901,9634,16534,9553,13494,23053,12171,16874,29044,9041,8413,17455,13793,11868,25664,17605,16510,34123,2696,4946,7638,3980,7694,11669,4649,10073,14724,16346,16559,32901,15868,15968,31833,17162,17701,34864,6452,4612,11059,13572,9633,23204,21239,16847,38084,41139,45452,86595,48065,55368,103429,54477,64320,118801,108512,113763,222282,141025,143853,284876,166985,169988,336977,129312,114434,243744,181976,178996,360976,175571,166334,341903,2632623,2721424,5354035,2908079,3018545,5926624,3200963,3302528,6503491
3,3710,3519,3197,6709,4318,4185,8500,2372,2438,4806,4188,4441,8635,7147,7804,14958,4730,3187,7911,10088,7902,17988,16604,14267,30873,1937,2879,4818,2416,3584,6002,3180,4560,7746,2324,2317,4640,2353,2410,4759,2576,2689,5261,2201,2076,4281,2953,2950,5904,4012,3943,7957,7507,8095,15605,10022,10988,21012,14046,15598,29642,4438,7971,12410,6095,10906,17005,7555,13047,20603,1808,1671,3480,2952,2567,5518,3784,3545,7336,1759,3746,5508,2475,5658,8129,3069,7589,10654,992,910,1898,1127,925,2056,1475,1316,2788,1505,1209,2714,2762,2197,4959,4102,3572,7675,10432,11418,21853,12183,13732,25915,14410,16957,31370,55477,58053,113531,66991,71197,138184,78800,84729,163527,129077,103864,232944,169371,155503,324870,173780,149272,323054,2148216,2184519,4332739,2321885,2381302,4703192,2540404,2615736,5156138
4,2901,2504,2238,4747,2755,2650,5407,508,548,1055,747,806,1549,1291,1386,2672,2642,1778,4422,5035,4272,9309,10789,9212,20004,1360,1757,3116,1457,1841,3288,1564,2001,3563,2119,2164,4279,2077,2094,4179,2119,2186,4302,884,837,1728,1338,1310,2643,2135,2093,4227,2367,2537,4906,2695,2966,5665,3452,3821,7273,1485,2329,3819,2196,3297,5490,2568,3867,6433,879,826,1704,1451,1243,2699,1769,1575,3342,432,937,1370,605,1351,1955,736,1701,2430,339,333,677,365,335,695,425,439,863,727,601,1325,1592,1350,2942,2806,2236,5039,7642,8330,15967,8993,10023,19022,10060,11787,21855,24036,25168,49203,28538,29280,57816,32616,33158,65774,34592,29363,63953,47022,43983,91005,43136,38142,81275,787218,809352,1596570,826001,850653,1676653,878592,902924,1781516
5,4294,3486,3212,6698,3839,3742,7579,2363,2598,4960,3362,3707,7071,3773,4443,8219,2975,1840,4816,6866,5357,12228,10987,9622,20613,824,1269,2093,1231,1983,3220,1502,2338,3835,2590,2466,5054,2491,2544,5036,2750,2840,5593,1512,1418,2933,2495,2439,4941,3211,3131,6340,3966,4262,8221,5012,5407,10418,6004,6947,12958,3893,4384,8288,7150,8117,15265,7754,9557,17313,2158,1919,4084,3611,3280,6890,4422,4319,8738,1403,3169,4574,1902,4499,6402,2171,5594,7770,822,681,1498,914,810,1722,1036,975,2012,1418,946,2370,3128,2243,5367,4902,3544,8439,7956,8570,16526,9514,10729,20242,10387,12376,22763,39080,40402,79480,50945,52426,103369,55573,60312,115884,80300,57867,138167,96313,81729,178038,95109,73099,168204,1126175,1112990,2239170,1238418,1235996,2474414,1322855,1337171,2660026
6,196,297,299,593,240,234,477,50,41,92,50,60,108,223,250,474,133,93,221,266,221,490,1501,1054,2556,97,159,258,143,175,317,164,216,380,64,62,124,56,66,127,68,80,150,77,83,160,109,112,222,574,542,1114,392,442,836,450,483,933,747,826,1571,110,343,457,148,470,620,269,548,820,112,101,218,160,144,308,252,210,461,127,240,369,144,342,484,173,452,629,44,34,83,42,40,86,48,50,97,55,46,104,179,118,288,1020,470,1492,130,153,281,186,258,442,642,823,1467,3103,3358,6456,3228,3501,6730,4183,4326,8507,10133,8955,19082,16249,16009,32261,15033,13971,29004,242674,252678,495351,249476,260480,509961,273765,283804,557571
7,34,85,65,153,67,45,112,266,263,530,266,267,533,268,339,606,178,94,275,380,288,669,838,725,1563,27,39,72,59,78,138,61,89,150,35,17,51,29,25,56,21,21,42,114,109,225,251,278,529,516,472,989,190,174,363,251,236,484,346,399,748,778,985,1766,1356,1635,2991,1318,1733,3047,137,140,277,285,229,514,287,259,544,217,491,712,267,600,868,308,721,1034,21,28,54,32,21,55,32,23,61,141,74,224,263,179,439,542,337,879,441,438,875,585,626,1220,695,871,1565,2269,2255,4524,3156,3150,6304,3518,3880,7395,13098,9146,22246,16305,12335,28648,13507,10503,24007,109519,102422,211946,118568,110269,228838,117526,115075,232605
8,662,494,442,935,641,601,1238,219,256,474,314,340,652,430,488,918,547,428,974,1172,1044,2213,2686,2329,5019,314,405,722,378,517,892,409,522,927,556,585,1142,537,563,1094,595,618,1210,653,665,1318,839,882,1719,1075,1104,2178,1334,1591,2922,1501,1769,3274,1959,2160,4122,415,638,1052,675,1007,1683,940,1343,2278,715,705,1413,973,909,1885,1217,1202,2417,301,496,798,368,713,1075,434,864,1293,124,116,245,143,136,283,202,186,391,737,562,1305,1284,1087,2372,1992,1641,3638,1779,2007,3789,1923,2292,4220,2189,2835,5028,6010,6468,12477,7888,8279,16168,10024,10390,20415,8092,6416,14511,11207,10533,21736,9904,9081,18982,176745,180475,357219,195743,201660,397393,224361,230140,454499
9,0,0,0,0,0,0,0,4,0,3,0,0,5,5,0,3,0,0,0,0,0,0,4,4,4,0,0,0,3,5,4,0,0,8,0,0,0,0,0,0,0,4,3,0,0,4,0,0,0,0,0,0,0,3,6,4,6,5,0,9,15,10,6,14,16,21,33,16,15,29,0,4,7,0,5,3,4,3,4,3,6,10,9,7,16,6,11,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,3,11,10,3,6,4,359,334,693,739,757,1496,720,704,1428,808,62,868,511,219,725,572,318,889,1971,1064,3034,2463,2119,4583,2520,2268,4788
