STE_CODE_2021,C21_CFNC_BPT_2000_2499,C21_CFNC_BPT_2500_2999,C21_CFNC_BPT_3000_3999,C21_CFNC_BPT_4000more,C21_CFNC_BPT_Ns,C21_CFNC_BPT_Tot,C21_CFNC_1F1P_Neg_ni_inc,C21_CFNC_1F1P_1_149,C21_CFNC_1F1P_150_399,C21_CFNC_1F1P_400_649,C21_CFNC_1F1P_650_799,C21_CFNC_1F1P_800_1249,C21_CFNC_1F1P_1250_1999,C21_CFNC_1F1P_2000_2499,C21_CFNC_1F1P_2500_2999,C21_CFNC_1F1P_3000_3999,C21_CFNC_1F1P_4000more,C21_CFNC_1F1P_Ns,C21_CFNC_1F1P_Tot,C21_CFNC_1E1A_Neg_ni_inc,C21_CFNC_1E1A_1_149,C21_CFNC_1E1A_150_399,C21_CFNC_1E1A_400_649,C21_CFNC_1E1A_650_799,C21_CFNC_1E1A_800_1249,C21_CFNC_1E1A_1250_1999,C21_CFNC_1E1A_2000_2499,C21_CFNC_1E1A_2500_2999,C21_CFNC_1E1A_3000_3999,C21_CFNC_1E1A_4000more,C21_CFNC_1E1A_Ns,C21_CFNC_1E1A_Tot,C21_CFNC_1F1NW_Neg_ni_inc,C21_CFNC_1F1NW_1_149,C21_CFNC_1F1NW_150_399,C21_CFNC_1F1NW_400_649,C21_CFNC_1F1NW_650_799,C21_CFNC_1F1NW_800_1249,C21_CFNC_1F1NW_1250_1999,C21_CFNC_1F1NW_2000_2499,C21_CFNC_1F1NW_2500_2999,C21_CFNC_1F1NW_3000_3999,C21_CFNC_1F1NW_4000more,C21_CFNC_1F1NW_Ns,C21_CFNC_1F1NW_Tot,C21_CFNC_1P1NW_Neg_ni_inc,C21_CFNC_1P1NW_1_149,C21_CFNC_1P1NW_150_399,C21_CFNC_1P1NW_400_649,C21_CFNC_1P1NW_650_799,C21_CFNC_1P1NW_800_1249,C21_CFNC_1P1NW_1250_1999,C21_CFNC_1P1NW_2000_2499,C21_CFNC_1P1NW_2500_2999,C21_CFNC_1P1NW_3000_3999,C21_CFNC_1P1NW_4000more,C21_CFNC_1P1NW_Ns,C21_CFNC_1P1NW_Tot,C21_CFNC_1A1NW_Neg_ni_inc,C21_CFNC_1A1NW_1_149,C21_CFNC_1A1NW_150_399,C21_CFNC_1A1NW_400_649,C21_CFNC_1A1NW_650_799,C21_CFNC_1A1NW_800_1249,C21_CFNC_1A1NW_1250_1999,C21_CFNC_1A1NW_2000_2499,C21_CFNC_1A1NW_2500_2999,C21_CFNC_1A1NW_3000_3999,C21_CFNC_1A1NW_4000more,C21_CFNC_1A1NW_Ns,C21_CFNC_1A1NW_Tot,C21_CFNC_BA_Neg_ni_inc,C21_CFNC_BA_1_149,C21_CFNC_BA_150_399,C21_CFNC_BA_400_649,C21_CFNC_BA_650_799,C21_CFNC_BA_800_1249,C21_CFNC_BA_1250_1999,C21_CFNC_BA_2000_2499,C21_CFNC_BA_2500_2999,C21_CFNC_BA_3000_3999,C21_CFNC_BA_4000more,C21_CFNC_BA_Ns,C21_CFNC_BA_Tot,C21_CFNC_BNW_Neg_ni_inc,C21_CFNC_BNW_1_149,C21_CFNC_BNW_150_399,C21_CFNC_BNW_400_649,C21_CFNC_BNW_650_799,C21_CFNC_BNW_800_1249,C21_CFNC_BNW_1250_1999,C21_CFNC_BNW_2000_2499,C21_CFNC_BNW_2500_2999,C21_CFNC_BNW_3000_3999,C21_CFNC_BNW_4000more,C21_CFNC_BNW_Ns,C21_CFNC_BNW_Tot,C21_CFNC_LFns_Neg_ni_inc,C21_CFNC_LFns_1_149,C21_CFNC_LFns_150_399,C21_CFNC_LFns_400_649,C21_CFNC_LFns_650_799,C21_CFNC_LFns_800_1249,C21_CFNC_LFns_1250_1999,C21_CFNC_LFns_2000_2499,C21_CFNC_LFns_2500_2999,C21_CFNC_LFns_3000_3999,C21_CFNC_LFns_4000more,C21_CFNC_LFns_Ns,C21_CFNC_LFns_Tot,C21_CFNC_Tot_Neg_ni_inc,C21_CFNC_Tot_1_149,C21_CFNC_Tot_150_399,C21_CFNC_Tot_400_649,C21_CFNC_Tot_650_799,C21_CFNC_Tot_800_1249,C21_CFNC_Tot_1250_1999,C21_CFNC_Tot_2000_2499,C21_CFNC_Tot_2500_2999,C21_CFNC_Tot_3000_3999,C21_CFNC_Tot_4000more,C21_CFNC_Tot_Ns,C21_CFNC_Tot_Tot,C21_CF_BFT_Neg_ni_inc,C21_CF_BFT_1_149,C21_CF_BFT_150_399,C21_CF_BFT_400_649,C21_CF_BFT_650_799,C21_CF_BFT_800_1249,C21_CF_BFT_1250_1999,C21_CF_BFT_2000_2499,C21_CF_BFT_2500_2999,C21_CF_BFT_3000_3999,C21_CF_BFT_4000more,C21_CF_BFT_Ns,C21_CF_BFT_Tot,C21_CF_BPT_Neg_ni_inc,C21_CF_BPT_1_149,C21_CF_BPT_150_399,C21_CF_BPT_400_649,C21_CF_BPT_650_799,C21_CF_BPT_800_1249,C21_CF_BPT_1250_1999,C21_CF_BPT_2000_2499,C21_CF_BPT_2500_2999,C21_CF_BPT_3000_3999,C21_CF_BPT_4000more,C21_CF_BPT_Ns,C21_CF_BPT_Tot,C21_CF_1F1P_Neg_ni_inc,C21_CF_1F1P_1_149,C21_CF_1F1P_150_399,C21_CF_1F1P_400_649,C21_CF_1F1P_650_799,C21_CF_1F1P_800_1249,C21_CF_1F1P_1250_1999,C21_CF_1F1P_2000_2499,C21_CF_1F1P_2500_2999,C21_CF_1F1P_3000_3999,C21_CF_1F1P_4000more,C21_CF_1F1P_Ns,C21_CF_1F1P_Tot,C21_CF_1E1A_Neg_ni_inc,C21_CF_1E1A_1_149,C21_CF_1E1A_150_399,C21_CF_1E1A_400_649,C21_CF_1E1A_650_799,C21_CF_1E1A_800_1249,C21_CF_1E1A_1250_1999,C21_CF_1E1A_2000_2499,C21_CF_1E1A_2500_2999,C21_CF_1E1A_3000_3999,C21_CF_1E1A_4000more,C21_CF_1E1A_Ns,C21_CF_1E1A_Tot,C21_CF_1F1NW_Neg_ni_inc,C21_CF_1F1NW_1_149,C21_CF_1F1NW_150_399,C21_CF_1F1NW_400_649,C21_CF_1F1NW_650_799,C21_CF_1F1NW_800_1249,C21_CF_1F1NW_1250_1999,C21_CF_1F1NW_2000_2499,C21_CF_1F1NW_2500_2999,C21_CF_1F1NW_3000_3999,C21_CF_1F1NW_4000more,C21_CF_1F1NW_Ns,C21_CF_1F1NW_Tot,C21_CF_1P1NW_Neg_ni_inc,C21_CF_1P1NW_1_149,C21_CF_1P1NW_150_399,C21_CF_1P1NW_400_649,C21_CF_1P1NW_650_799,C21_CF_1P1NW_800_1249,C21_CF_1P1NW_1250_1999,C21_CF_1P1NW_2000_2499,C21_CF_1P1NW_2500_2999,C21_CF_1P1NW_3000_3999,C21_CF_1P1NW_4000more,C21_CF_1P1NW_Ns
1,6375,3561,3327,3401,360,36936,142,46,79,333,445,2994,21762,19700,15740,16501,14653,687,93072,47,22,31,208,285,1723,8164,8000,5992,6159,4469,795,35893,180,83,208,815,1556,10245,21953,13818,5900,7177,10367,920,73221,211,350,1319,4158,5150,14202,15901,6046,3080,2627,3534,725,57310,159,118,370,1108,1308,3592,4554,1789,776,693,645,600,15703,70,32,24,147,225,979,2578,1734,993,1012,690,730,9228,19275,6024,6369,26544,71657,69922,54824,14141,6723,6371,6479,7048,295379,304,52,85,420,1023,824,771,291,151,237,163,27450,31782,20795,6936,8650,34708,83090,111707,154418,96796,68320,86325,97397,40449,809586,176,40,49,128,174,935,7971,18723,23950,53275,106858,9401,221686,34,23,54,230,409,2813,10516,7898,6411,7787,8175,1830,46180,121,30,67,233,371,2829,27415,32453,35232,52867,67779,7877,227273,50,15,43,117,223,1592,10684,11978,12360,18194,20838,3255,79354,180,57,123,547,1289,10817,34620,26732,12584,18975,33237,4945,144111,134,84,538,2053,2571,8973,15424,7371,4589,5141,5228,2415
2,5190,2811,2374,2265,324,32509,88,41,61,303,449,3311,23808,20025,14890,14503,11265,833,89572,37,27,46,176,271,1323,4704,3656,2765,2906,2408,685,19002,174,62,158,775,1650,9940,19173,10503,3968,4861,7000,886,59151,195,418,1488,4102,4758,12565,12138,4103,2024,1789,2341,715,46651,99,85,249,648,725,2001,2201,906,391,358,384,453,8499,57,30,20,83,143,455,1033,739,516,598,519,572,4776,15401,4675,4763,20101,53146,53481,37363,8777,4349,4059,4289,6091,216497,273,82,64,315,865,667,616,230,141,164,138,21093,24644,16602,5593,6991,27515,63469,91087,123937,79747,58603,71181,68027,32804,645543,185,43,50,160,207,1084,9092,19094,22617,44609,74405,7910,179448,54,27,88,346,590,3418,10463,6606,4997,5394,4828,1608,38421,129,47,99,276,487,3793,34863,37368,38722,52342,56862,8183,233186,47,12,42,119,196,1307,7181,7282,7252,10246,11018,2234,46928,222,79,211,943,1874,14216,36946,23825,10095,14628,22466,4513,130025,163,143,738,2295,2822,8930,12344,5191,3116,3146,2968,2059
3,3843,2096,1873,1709,253,25050,88,54,55,296,440,2938,20935,16743,11782,11371,7852,640,73186,33,20,38,145,264,1396,5790,4447,3250,3314,2325,607,21625,163,62,145,697,1276,8792,16845,9082,3254,3834,5115,688,49965,156,287,998,3111,4057,10515,9345,2892,1364,1223,1431,475,35855,99,75,185,612,731,2120,2460,1068,398,461,436,397,9049,48,22,22,96,142,541,1312,949,645,732,611,581,5697,9008,3584,4013,17345,49215,49477,33309,7294,3328,3117,3208,4545,187441,170,43,48,208,664,570,476,163,100,134,100,25739,28405,10132,4329,5646,23342,58116,82492,111415,70494,47948,54917,47355,34887,551069,142,36,61,148,179,941,7737,16846,19741,37556,50075,7383,140854,27,18,48,183,316,2036,6958,4371,3340,3798,3229,1083,25414,79,29,53,185,318,2605,24394,26510,26508,35390,33503,5826,155394,30,9,29,77,151,1046,6803,7001,6721,9222,8284,1993,41375,110,52,108,428,965,8517,25731,15903,6767,9078,12936,3190,83791,75,66,316,1200,1546,5483,8319,3303,1828,1926,1755,1413
4,1453,775,672,544,80,9993,35,14,11,105,189,1255,8686,6578,4242,3853,2445,204,27625,9,4,11,59,57,341,1159,915,700,693,489,142,4585,48,15,58,235,454,3330,5837,2695,1012,1083,1425,221,16414,58,124,394,1351,1709,4507,3790,1131,547,470,551,190,14816,24,29,51,143,180,509,616,279,89,110,126,83,2235,14,5,3,27,40,123,264,210,120,139,118,120,1193,2820,1101,1223,6355,19924,21517,14380,2795,1340,1108,1212,1734,75502,62,10,19,101,343,228,219,44,34,56,35,7853,9002,3175,1352,1800,8714,23447,34391,42422,24304,16118,17066,12973,10856,196627,29,8,12,54,61,357,2544,5749,6482,11605,14035,2465,43410,4,18,18,91,147,1026,3191,1986,1333,1311,1030,444,10590,40,21,30,101,135,1163,11377,11653,11027,13799,11555,2638,63529,7,3,11,28,50,312,1824,1922,1810,2427,1887,545,10827,26,7,42,178,377,3644,9159,4903,2259,2604,3391,1088,27672,32,39,138,540,711,2325,3242,1197,699,681,603,563
5,1802,1049,1035,1088,121,12815,51,13,24,119,170,1309,9911,8146,6961,6765,5417,325,39208,15,5,17,56,74,302,1155,1179,1177,1602,1466,283,7335,56,26,59,305,594,3766,8141,5057,1619,2332,3491,337,25794,80,192,574,1779,2091,5264,4757,1541,746,720,1061,239,19051,40,30,60,151,210,539,798,517,198,256,306,160,3254,17,0,0,23,28,119,309,280,301,425,418,241,2179,4792,1689,1961,7966,20963,21701,14756,3302,1560,1528,1708,2041,83960,76,21,18,111,267,244,227,96,39,67,42,19340,20550,5278,2060,2787,10940,25006,36316,48642,32129,24160,31177,30510,23489,272493,62,19,19,46,68,367,2692,6360,8221,17372,26887,4004,66126,17,9,25,94,183,1107,3182,1998,1647,1923,2029,678,12893,52,21,28,93,170,1344,12668,14390,16516,22402,25117,4022,96812,13,0,4,52,37,310,1768,2204,2552,4185,4585,977,16691,60,18,70,265,526,4481,14376,10487,3847,6396,10593,2029,53142,36,35,203,696,818,2610,3713,1748,916,1116,1245,825
6,580,271,231,182,29,3929,18,3,10,44,62,472,3177,2207,1464,1201,732,62,9449,8,0,7,21,29,114,450,369,215,258,145,51,1661,9,5,18,103,180,1220,1915,848,314,316,361,68,5363,23,38,164,525,718,1771,1515,434,207,144,159,52,5757,4,0,16,51,79,217,249,108,47,49,35,24,888,3,4,3,15,18,56,112,93,67,87,60,42,552,754,362,492,2220,7318,6831,4854,879,371,389,306,610,25386,23,4,0,40,143,109,86,16,11,24,11,2796,3273,873,439,727,3188,8783,11814,15260,8300,5037,5128,3655,3807,67011,9,9,6,10,28,108,776,1600,1728,2905,3158,803,11118,0,0,0,27,61,378,1006,614,477,480,296,196,3548,9,3,3,28,33,383,3847,3581,3222,3869,2600,908,18487,6,0,3,14,18,99,617,623,546,639,446,200,3215,8,5,7,56,117,1074,2768,1261,564,526,647,355,7374,4,8,41,174,227,809,957,334,190,162,132,174
7,107,63,91,81,5,772,0,0,0,0,12,65,641,586,433,494,305,15,2554,3,0,0,4,3,15,62,86,119,142,141,25,600,3,3,0,38,73,232,593,372,145,201,194,30,1883,11,19,23,99,89,212,215,70,40,44,24,18,866,0,4,0,22,8,49,43,34,16,19,7,18,233,0,6,0,5,6,13,21,22,31,55,47,21,228,223,151,145,701,722,724,551,178,81,58,77,135,3755,3,0,4,11,23,22,22,10,0,6,4,1669,1771,261,192,186,911,973,1495,2833,2658,2151,2872,2438,1984,18948,10,0,4,9,9,57,313,779,1023,2103,2608,469,7394,4,7,4,32,16,84,191,127,110,132,132,41,859,3,0,0,6,6,88,673,763,763,1089,963,172,4532,0,0,0,6,0,17,105,183,213,342,381,79,1333,5,8,12,56,84,412,871,581,227,359,383,158,3161,5,7,28,94,102,239,258,102,53,56,41,86
8,267,174,244,274,8,1992,5,3,0,4,5,152,1362,1227,981,1219,1200,29,6186,0,0,0,4,3,30,151,188,165,273,393,23,1227,4,0,4,23,53,402,1016,833,441,640,924,31,4376,11,16,43,145,144,455,745,457,293,315,320,13,2958,0,0,3,16,8,42,104,83,53,69,81,18,487,0,0,0,0,0,7,32,36,32,73,87,14,290,522,131,139,551,1428,2343,4114,1692,1041,889,597,178,13628,11,0,3,3,21,24,32,19,10,9,3,1490,1629,565,157,209,786,1720,3788,8810,6638,5522,8012,9016,1849,47064,3,0,0,8,5,33,328,996,1488,4456,11293,685,19300,3,0,6,14,16,113,374,319,297,520,534,52,2243,0,5,0,7,8,84,1164,1557,2084,3921,5600,336,14769,0,0,0,0,0,40,208,326,496,1015,1467,118,3671,11,0,5,28,53,444,1553,1308,542,1007,1807,216,6975,0,5,20,79,75,253,416,250,160,261,337,79
9,5,0,0,0,0,28,0,0,0,0,0,7,30,17,7,11,5,0,88,0,0,0,0,0,6,4,0,0,0,0,0,12,0,0,0,0,3,8,19,7,3,3,3,0,48,0,0,6,5,9,17,13,9,4,0,0,0,58,0,0,0,5,0,4,0,0,0,0,0,0,7,0,0,0,0,0,0,0,3,0,0,0,0,11,3,3,0,21,31,18,16,4,0,0,0,4,97,0,0,0,0,0,0,0,0,0,0,0,30,33,3,8,5,30,45,71,119,57,35,42,37,37,496,0,0,0,0,0,0,15,22,15,33,22,15,117,0,0,0,0,0,9,6,7,3,0,0,0,26,0,0,0,0,0,3,32,12,19,25,13,9,109,0,0,0,0,0,0,4,4,4,3,0,0,20,0,0,0,0,3,7,17,12,6,3,3,0,47,0,0,4,0,4,10,0,3,0,0,0,0
