STE_CODE_2021,Pre_sch_C11_M,Pre_sch_C11_F,Pre_sch_C11_P,Pre_sch_C16_M,Pre_sch_C16_F,Pre_sch_C16_P,Pre_sch_C21_M,Pre_sch_C21_F,Pre_sch_C21_P,Prim_Govt_C11_M,Prim_Govt_C11_F,Prim_Govt_C11_P,Prim_Govt_C16_M,Prim_Govt_C16_F,Prim_Govt_C16_P,Prim_Govt_C21_M,Prim_Govt_C21_F,Prim_Govt_C21_P,Prim_Cath_C11_M,Prim_Cath_C11_F,Prim_Cath_C11_P,Prim_Cath_C16_M,Prim_Cath_C16_F,Prim_Cath_C16_P,Prim_Cath_C21_M,Prim_Cath_C21_F,Prim_Cath_C21_P,Pri_Oth_No_Gov_C11_M,Pri_Oth_No_Gov_C11_F,Pri_Oth_No_Gov_C11_P,Pri_Oth_No_Gov_C16_M,Pri_Oth_No_Gov_C16_F,Pri_Oth_No_Gov_C16_P,Pri_Oth_No_Gov_C21_M,Pri_Oth_No_Gov_C21_F,Pri_Oth_No_Gov_C21_P,Primary_Tot_Prim_C11_M,Primary_Tot_Prim_C11_F,Primary_Tot_Prim_C11_P,Primary_Tot_Prim_C16_M,Primary_Tot_Prim_C16_F,Primary_Tot_Prim_C16_P,Primary_Tot_Prim_C21_M,Primary_Tot_Prim_C21_F,Primary_Tot_Prim_C21_P,Sec_Govern_C11_M,Sec_Govern_C11_F,Sec_Govern_C11_P,Sec_Govern_C16_M,Sec_Govern_C16_F,Sec_Govern_C16_P,Sec_Govern_C21_M,Sec_Govern_C21_F,Sec_Govern_C21_P,Sec_Catholic_C11_M,Sec_Catholic_C11_F,Sec_Catholic_C11_P,Sec_Catholic_C16_M,Sec_Catholic_C16_F,Sec_Catholic_C16_P,Sec_Catholic_C21_M,Sec_Catholic_C21_F,Sec_Catholic_C21_P,Sec_Oth_Non_Gov_C11_M,Sec_Oth_Non_Gov_C11_F,Sec_Oth_Non_Gov_C11_P,Sec_Oth_Non_Gov_C16_M,Sec_Oth_Non_Gov_C16_F,Sec_Oth_Non_Gov_C16_P,Sec_Oth_Non_Gov_C21_M,Sec_Oth_Non_Gov_C21_F,Sec_Oth_Non_Gov_C21_P,Sec_Tot_Sec_C11_M,Sec_Tot_Sec_C11_F,Sec_Tot_Sec_C11_P,Sec_Tot_Sec_C16_M,Sec_Tot_Sec_C16_F,Sec_Tot_Sec_C16_P,Sec_Tot_Sec_C21_M,Sec_Tot_Sec_C21_F,Sec_Tot_Sec_C21_P,Tert_Voc_TPTP_FTS_15_24_C11_M,Tert_Voc_TPTP_FTS_15_24_C11_F,Tert_Voc_TPTP_FTS_15_24_C11_P,Tert_Voc_TPTP_FTS_15_24_C16_M,Tert_Voc_TPTP_FTS_15_24_C16_F,Tert_Voc_TPTP_FTS_15_24_C16_P,Tert_Voc_TPTP_FTS_15_24_C21_M,Tert_Voc_TPTP_FTS_15_24_C21_F,Tert_Voc_TPTP_FTS_15_24_C21_P,Tert_Voc_TPTP_FTS_25ove_C11_M,Tert_Voc_TPTP_FTS_25ove_C11_F,Tert_Voc_TPTP_FTS_25ove_C11_P,Tert_Voc_TPTP_FTS_25ove_C16_M,Tert_Voc_TPTP_FTS_25ove_C16_F,Tert_Voc_TPTP_FTS_25ove_C16_P,Tert_Voc_TPTP_FTS_25ove_C21_M,Tert_Voc_TPTP_FTS_25ove_C21_F,Tert_Voc_TPTP_FTS_25ove_C21_P,Tert_Voc_TPTP_PTS_15_24_C11_M,Tert_Voc_TPTP_PTS_15_24_C11_F,Tert_Voc_TPTP_PTS_15_24_C11_P,Tert_Voc_TPTP_PTS_15_24_C16_M,Tert_Voc_TPTP_PTS_15_24_C16_F,Tert_Voc_TPTP_PTS_15_24_C16_P,Tert_Voc_TPTP_PTS_15_24_C21_M,Tert_Voc_TPTP_PTS_15_24_C21_F,Tert_Voc_TPTP_PTS_15_24_C21_P,Tert_Voc_TPTP_PTS_25ov_C11_M,Tert_Voc_TPTP_PTS_25ov_C11_F,Tert_Voc_TPTP_PTS_25ov_C11_P,Tert_Voc_TPTP_PTS_25ov_C16_M,Tert_Voc_TPTP_PTS_25ov_C16_F,Tert_Voc_TPTP_PTS_25ov_C16_P,Tert_Voc_TPTP_PTS_25ov_C21_M,Tert_Voc_TPTP_PTS_25ov_C21_F,Tert_Voc_TPTP_PTS_25ov_C21_P,Tert_Voc_F_Pt_stu_st_ns_C11_M,Tert_Voc_F_Pt_stu_st_ns_C11_F,Tert_Voc_F_Pt_stu_st_ns_C11_P,Tert_Voc_F_Pt_stu_st_ns_C16_M,Tert_Voc_F_Pt_stu_st_ns_C16_F,Tert_Voc_F_Pt_stu_st_ns_C16_P,Tert_Voc_F_Pt_stu_st_ns_C21_M,Tert_Voc_F_Pt_stu_st_ns_C21_F,Tert_Voc_F_Pt_stu_st_ns_C21_P,Tert_Voc_Tot_C11_M,Tert_Voc_Tot_C11_F,Tert_Voc_Tot_C11_P,Tert_Voc_Tot_C16_M,Tert_Voc_Tot_C16_F,Tert_Voc_Tot_C16_P,Tert_Voc_Tot_C21_M,Tert_Voc_Tot_C21_F,Tert_Voc_Tot_C21_P,Tert_U_Ft_s_15_24_C11_M,Tert_U_Ft_s_15_24_C11_F,Tert_U_Ft_s_15_24_C11_P,Tert_U_Ft_s_15_24_C16_M,Tert_U_Ft_s_15_24_C16_F,Tert_U_Ft_s_15_24_C16_P,Tert_U_Ft_s_15_24_C21_M,Tert_U_Ft_s_15_24_C21_F,Tert_U_Ft_s_15_24_C21_P,Tert_U_Ft_s_25over_C11_M,Tert_U_Ft_s_25over_C11_F,Tert_U_Ft_s_25over_C11_P,Tert_U_Ft_s_25over_C16_M,Tert_U_Ft_s_25over_C16_F,Tert_U_Ft_s_25over_C16_P,Tert_U_Ft_s_25over_C21_M,Tert_U_Ft_s_25over_C21_F,Tert_U_Ft_s_25over_C21_P,Tert_U_Pt_s_15_24_C11_M,Tert_U_Pt_s_15_24_C11_F,Tert_U_Pt_s_15_24_C11_P,Tert_U_Pt_s_15_24_C16_M,Tert_U_Pt_s_15_24_C16_F,Tert_U_Pt_s_15_24_C16_P,Tert_U_Pt_s_15_24_C21_M,Tert_U_Pt_s_15_24_C21_F,Tert_U_Pt_s_15_24_C21_P,Tert_U_Pt_s_25over_C11_M,Tert_U_Pt_s_25over_C11_F,Tert_U_Pt_s_25over_C11_P,Tert_U_Pt_s_25over_C16_M,Tert_U_Pt_s_25over_C16_F,Tert_U_Pt_s_25over_C16_P,Tert_U_Pt_s_25over_C21_M,Tert_U_Pt_s_25over_C21_F,Tert_U_Pt_s_25over_C21_P,Tert_U_F_Pt_s_s_ns_C11_M,Tert_U_F_Pt_s_s_ns_C11_F,Tert_U_F_Pt_s_s_ns_C11_P,Tert_U_F_Pt_s_s_ns_C16_M,Tert_U_F_Pt_s_s_ns_C16_F,Tert_U_F_Pt_s_s_ns_C16_P,Tert_U_F_Pt_s_s_ns_C21_M,Tert_U_F_Pt_s_s_ns_C21_F,Tert_U_F_Pt_s_s_ns_C21_P,Tert_U_Tot_C11_M,Tert_U_Tot_C11_F,Tert_U_Tot_C11_P,Tert_U_Tot_C16_M,Tert_U_Tot_C16_F,Tert_U_Tot_C16_P,Tert_U_Tot_C21_M,Tert_U_Tot_C21_F,Tert_U_Tot_C21_P,Tert_Tot_Tert_C11_M,Tert_Tot_Tert_C11_F,Tert_Tot_Tert_C11_P,Tert_Tot_Tert_C16_M,Tert_Tot_Tert_C16_F,Tert_Tot_Tert_C16_P,Tert_Tot_Tert_C21_M,Tert_Tot_Tert_C21_F,Tert_Tot_Tert_C21_P,Ot_ty_Ed_Ins_Ft_st_C11_M,Ot_ty_Ed_Ins_Ft_st_C11_F
1,65861,60744,126604,69072,62971,132043,87451,79742,167196,192013,180064,372075,215393,202076,417468,230443,214540,444985,58729,57000,115724,61454,60641,122095,64202,63280,127487,31738,29801,61543,34789,32822,67607,39391,38487,77876,282485,266860,549341,311634,295536,607171,334581,316790,651375,137489,133692,271182,136343,132903,269252,148803,141605,290414,54736,54676,109404,59320,58368,117686,62627,63554,126180,35856,35483,71343,40422,39497,79918,47543,47340,94885,228078,223846,451934,236089,230773,466859,259350,252851,512195,14489,14541,29030,10638,11722,22356,13154,13850,27001,8853,16036,24883,9417,16595,26017,14871,22788,37662,28799,15341,44141,23911,13190,37103,32041,18009,50051,26411,41377,67791,21207,35974,57183,34553,57426,91980,1154,1012,2161,733,708,1441,468,430,898,79702,88301,168005,65910,78194,144103,95090,112498,207586,70131,86651,156785,91508,106330,197839,84690,104095,188785,22851,26909,49762,33634,38323,71958,31286,39430,70711,8955,11136,20090,11514,13910,25427,12518,15853,28373,30101,44414,74518,30447,48851,79294,31980,54260,86239,885,1031,1920,711,903,1612,448,484,928,132928,170142,303070,167813,208317,376133,160911,214126,375032,212628,258448,471077,233722,286512,520231,256476,327139,583617,7548,8918
2,46601,43217,89820,49383,45590,94973,72807,66693,139502,141326,130678,271998,162848,151025,313880,183939,170599,354535,46764,46403,93170,51862,50914,102778,53912,52918,106832,22582,23267,45851,25697,26346,52040,28708,29477,58184,210671,200346,411019,240408,228294,468699,266933,253330,520258,99441,94338,193778,103534,97638,201170,119345,111096,230448,40105,42119,82228,43640,45359,89002,47359,49204,96560,34154,35308,69463,36507,37464,73972,41826,42874,84706,173703,171766,345464,183685,180461,364138,208803,203423,412219,16195,14887,31085,13025,12418,25440,14397,13323,27716,7635,10493,18127,8254,12519,20763,13792,19545,33333,18037,9282,27313,14765,7410,22182,21038,10307,31342,16356,23658,40009,14414,19967,34375,25153,37167,62326,821,594,1411,499,422,925,371,269,642,59041,58915,117957,50955,52734,103685,74742,80618,155358,61674,76147,137817,85336,99926,185259,74370,92643,167014,18531,22899,41433,29276,34407,63685,28898,37522,66422,5277,7811,13091,7296,9692,16990,9097,11700,20799,19950,32849,52794,21513,36317,57829,25583,45368,70948,715,697,1416,537,754,1284,353,418,773,106148,140410,246551,143953,181098,325052,138305,187652,325961,165182,199322,364506,194907,233825,428736,213396,268610,482005,7844,8620
3,26178,24432,50613,29421,27218,56636,44071,40463,84535,134131,124484,258616,143025,133443,276466,149946,142108,292049,37119,35593,72710,37004,36838,73844,40359,39148,79510,24298,24154,48448,25233,24972,50203,27126,26719,53844,195554,184226,379779,205265,195252,400513,217770,208339,426110,78698,75434,154135,90392,85750,176143,107691,101766,209459,26060,25906,51967,32320,30761,63078,36941,36073,73014,25868,26585,52455,29569,29358,58927,34723,34898,69625,130626,127923,258556,152280,145862,298146,179616,172995,352608,6893,7296,14196,6339,7486,13822,7955,7784,15739,3962,7337,11290,5171,10380,15551,8261,13345,21604,10178,8299,18471,8431,7435,15871,11856,9713,21572,11857,22511,34369,10598,20491,31087,17861,33001,50865,477,438,916,307,348,656,213,231,442,33361,45876,79245,30856,46139,76989,46149,64073,110221,36252,50248,86493,46002,59411,105413,40730,57869,98600,13126,18511,31636,18122,24349,42466,18549,27710,46265,4551,7080,11624,5569,8557,14126,7300,11011,18311,15751,27111,42864,18086,32391,50479,20770,39448,60216,371,449,812,293,436,732,169,220,387,70040,103389,173432,88078,125146,213227,87519,136255,223779,103406,149267,252674,118934,171286,290211,133851,200565,334418,4126,4665
4,10497,10090,20581,10413,9879,20291,14432,13403,27838,45602,42182,87780,49028,45495,94524,51930,48002,99929,13165,12993,26162,13267,12925,26194,13484,13071,26550,11361,11241,22598,11332,11255,22590,11608,11502,23115,70129,66415,136541,73622,69685,143305,77119,72674,149797,26636,25585,52220,27087,25634,52725,29228,27413,56643,9264,9642,18902,9606,9878,19484,11035,11332,22369,9788,10038,19827,10574,10483,21051,11699,11930,23634,45683,45269,90950,47264,45993,93256,52016,50736,102747,3066,3154,6219,2650,2758,5408,2716,2231,4942,2153,3704,5854,2427,4180,6609,3033,4684,7721,4425,3234,7658,3360,2715,6075,4405,2924,7330,5711,9009,14715,4876,8166,13049,6911,10789,17703,221,175,390,130,127,257,100,91,188,15564,19276,34844,13447,17947,31393,17168,20720,37885,15256,19352,34609,18840,22957,41795,17526,22981,40505,5681,6931,12609,7606,9152,16764,7910,10506,18420,1381,2225,3610,1888,2475,4368,2294,3133,5427,5668,9105,14775,5713,9842,15555,6641,12103,18743,164,186,350,111,192,298,80,93,164,28162,37795,65954,34159,44617,78777,34447,48819,83262,43727,57069,100796,47607,62561,110166,51683,69615,121296,1577,1890
5,16633,15790,32424,15647,14604,30252,23579,21872,45452,66941,62359,129303,75085,69898,144983,80682,75377,156062,16864,16717,33584,18526,18335,36861,18452,18239,36691,12937,12805,25746,14040,14004,28046,14819,14608,29429,96744,91888,188630,107659,102237,209893,114131,108425,222555,33218,30857,64076,45469,42706,88170,52950,49419,102367,14643,15100,29738,16919,17143,34064,18220,18207,36428,14715,15150,29868,17355,17421,34778,18474,18359,36831,62567,61113,123678,79747,77271,157014,89742,86101,175841,5782,5247,11024,5411,4893,10302,5651,5327,10978,2933,4674,7609,3759,5814,9570,4332,7485,11820,7423,4137,11559,5975,3685,9659,8029,4719,12747,6886,11186,18065,6271,10610,16881,8574,15537,24108,293,207,498,224,199,418,134,113,249,23317,25446,48765,21640,25191,46830,26719,33178,59897,21761,26889,48655,24753,28750,53497,22954,29942,52895,6655,8519,15171,9526,11963,21492,9413,13036,22445,2346,3608,5957,3084,4244,7324,3937,5175,9113,8363,13356,21717,8983,15059,24050,9923,17438,27361,213,227,440,177,271,452,114,134,252,39343,52600,91940,46521,60289,106811,46338,65729,112067,62654,78042,140697,68160,85483,153643,73195,99043,172239,2143,2140
6,2185,2033,4217,1932,1802,3739,3324,3165,6495,15501,14550,30057,16199,15032,31228,16572,15427,32003,3836,3834,7669,4013,4064,8076,4184,4208,8393,2212,2139,4348,2270,2199,4469,2379,2395,4774,21549,20521,42073,22480,21292,43773,23161,22044,45209,9405,8769,18176,9339,8631,17970,10045,9524,19566,3068,3415,6479,3237,3393,6633,3444,3669,7112,2506,2445,4953,2443,2400,4836,2799,2657,5449,14975,14631,29613,15015,14430,29447,16304,15861,32170,2018,2158,4169,1567,1631,3196,1039,1054,2094,589,1046,1630,588,1030,1622,1839,2054,3889,1689,1026,2712,1296,892,2185,1906,1106,3014,1699,2522,4225,1339,2198,3542,2612,3062,5673,71,57,127,45,42,84,50,38,86,6064,6802,12871,4841,5786,10628,7448,7313,14763,3356,4119,7481,3636,4206,7843,2975,3948,6925,1449,1841,3300,1914,2210,4120,2308,2980,5285,341,571,908,366,576,936,495,768,1262,1600,3183,4786,1705,3584,5282,2145,4151,6296,25,36,64,25,41,71,18,28,45,6778,9757,16526,7642,10613,18247,7941,11870,19814,12840,16556,29397,12479,16402,28876,15410,19214,34622,355,496
7,1711,1624,3338,1870,1836,3709,2213,2044,4252,7787,7386,15170,7834,7325,15162,8476,7861,16345,1286,1304,2589,1387,1238,2631,1289,1276,2567,1068,1086,2149,1287,1279,2568,1152,1217,2374,10133,9776,19908,10511,9844,20357,10931,10371,21299,4183,3822,8004,4248,3979,8228,4431,4404,8829,908,870,1780,1080,987,2066,1126,1115,2239,1351,1473,2824,1406,1505,2908,1307,1249,2556,6442,6169,12604,6736,6475,13212,6871,6766,13637,153,92,245,173,130,300,210,172,386,131,176,308,146,210,356,391,431,822,412,312,724,338,269,613,416,320,733,604,824,1429,624,1105,1729,893,1412,2301,17,11,30,22,20,46,11,10,22,1315,1411,2731,1312,1733,3042,1925,2342,4265,482,749,1231,731,926,1660,741,1070,1815,432,709,1150,697,1099,1802,933,1500,2429,261,458,719,246,434,679,249,469,718,1131,2422,3557,1254,2612,3864,1361,2869,4236,19,21,32,20,29,44,11,8,25,2322,4359,6685,2949,5102,8047,3294,5920,9216,3640,5768,9409,4252,6839,11097,5228,8274,13506,220,238
8,2788,2416,5203,3112,2793,5902,4605,4240,8841,8530,8067,16600,10718,10008,20732,12988,12056,25044,3828,3624,7450,4219,3905,8124,4517,4212,8725,1818,1844,3664,2000,1965,3964,2180,2264,4442,14178,13535,27709,16942,15883,32818,19708,18551,38255,6320,6061,12385,6909,6698,13609,8469,7715,16189,3335,3298,6633,3291,3075,6369,3653,3464,7116,2035,2059,4095,2068,2145,4211,2232,2403,4632,11697,11419,23115,12267,11919,24184,14366,13597,27966,789,827,1618,601,602,1204,727,664,1391,429,635,1069,596,783,1376,1070,1138,2207,1438,896,2332,1181,762,1944,1559,961,2521,1761,2335,4098,1439,2156,3592,2472,3229,5699,37,23,58,25,25,45,19,14,30,4465,4719,9183,3837,4328,8161,5838,6004,11841,6706,7272,13982,8145,9003,17151,7635,9099,16732,2364,2196,4555,3391,3132,6517,3189,3514,6706,677,944,1624,763,977,1742,1139,1480,2620,3525,4562,8086,3683,5101,8780,4245,5898,10142,59,35,93,44,56,95,28,25,61,13324,15009,28336,16020,18264,34289,16240,20022,36264,17785,19732,37519,19864,22593,42454,22108,26054,48160,491,291
9,19,17,41,47,32,80,46,33,81,94,98,193,181,167,344,185,167,358,0,0,0,0,0,0,0,0,0,8,5,12,4,0,4,0,0,0,104,104,207,177,167,348,189,167,353,65,60,130,115,123,239,116,110,230,0,4,0,0,0,4,0,5,4,0,0,3,3,6,11,0,0,3,67,64,135,112,137,247,116,119,234,0,3,3,0,0,0,4,0,7,0,0,0,6,5,10,4,3,6,5,0,5,8,4,6,9,10,17,4,10,15,7,12,15,16,28,41,0,0,0,0,0,0,0,0,0,6,15,23,19,12,33,40,38,77,0,0,3,3,7,7,0,8,11,5,4,3,4,3,9,0,6,6,0,0,0,0,0,0,0,10,5,6,15,16,9,17,26,8,16,28,0,0,0,0,0,0,0,0,3,11,23,34,15,19,42,20,37,57,20,35,56,40,37,76,54,80,136,8,0
