STE_CODE_2021,C21_P_NatPhy_sci_15_19,C21_P_NatPhy_sci_20_24,C21_P_NatPhy_sci_25_34,C21_P_NatPhy_sci_35_44,C21_P_NatPhy_sci_45_54,C21_P_NatPhy_sci_55_64,C21_P_NatPhy_sci_65_74,C21_P_NatPhy_sci_75_84,C21_P_NatPhy_sci_85over,C21_P_NatPhy_sci_Tot,C21_P_InfTec_15_19,C21_P_InfTec_20_24,C21_P_InfTec_25_34,C21_P_InfTec_35_44,C21_P_InfTec_45_54,C21_P_InfTec_55_64,C21_P_InfTec_65_74,C21_P_InfTec_75_84,C21_P_InfTec_85over,C21_P_InfTec_Tot,C21_P_EngRT_15_19,C21_P_EngRT_20_24,C21_P_EngRT_25_34,C21_P_EngRT_35_44,C21_P_EngRT_45_54,C21_P_EngRT_55_64,C21_P_EngRT_65_74,C21_P_EngRT_75_84,C21_P_EngRT_85over,C21_P_EngRT_Tot,C21_P_ArchBuild_15_19,C21_P_ArchBuild_20_24,C21_P_ArchBuild_25_34,C21_P_ArchBuild_35_44,C21_P_ArchBuild_45_54,C21_P_ArchBuild_55_64,C21_P_ArchBuild_65_74,C21_P_ArchBuild_75_84,C21_P_ArchBuild_85over,C21_P_ArchBuild_Tot,C21_P_AgEnv_RS_15_19,C21_P_AgEnv_RS_20_24,C21_P_AgEnv_RS_25_34,C21_P_AgEnv_RS_35_44,C21_P_AgEnv_RS_45_54,C21_P_AgEnv_RS_55_64,C21_P_AgEnv_RS_65_74,C21_P_AgEnv_RS_75_84,C21_P_AgEnv_RS_85over,C21_P_AgEnv_RS_Tot,C21_P_Health_15_19,C21_P_Health_20_24,C21_P_Health_25_34,C21_P_Health_35_44,C21_P_Health_45_54,C21_P_Health_55_64,C21_P_Health_65_74,C21_P_Health_75_84,C21_P_Health_85over,C21_P_Health_Tot,C21_P_Educ_15_19,C21_P_Educ_20_24,C21_P_Educ_25_34,C21_P_Educ_35_44,C21_P_Educ_45_54,C21_P_Educ_55_64,C21_P_Educ_65_74,C21_P_Educ_75_84,C21_P_Educ_85over,C21_P_Educ_Tot,C21_P_MngtCom_15_19,C21_P_MngtCom_20_24,C21_P_MngtCom_25_34,C21_P_MngtCom_35_44,C21_P_MngtCom_45_54,C21_P_MngtCom_55_64,C21_P_MngtCom_65_74,C21_P_MngtCom_75_84,C21_P_MngtCom_85over,C21_P_MngtCom_Tot,C21_P_Soc_cult_15_19,C21_P_Soc_cult_20_24,C21_P_Soc_cult_25_34,C21_P_Soc_cult_35_44,C21_P_Soc_cult_45_54,C21_P_Soc_cult_55_64,C21_P_Soc_cult_65_74,C21_P_Soc_cult_75_84,C21_P_Soc_cult_85over,C21_P_Soc_cult_Tot,C21_P_Creative_art_15_19,C21_P_Creative_art_20_24,C21_P_Creative_art_25_34,C21_P_Creative_art_35_44,C21_P_Creative_art_45_54,C21_P_Creative_art_55_64,C21_P_Creative_art_65_74,C21_P_Creative_art_75_84,C21_P_Creative_art_85over,C21_P_Creative_art_Tot,C21_P_FoodHos_PS_15_19,C21_P_FoodHos_PS_20_24,C21_P_FoodHos_PS_25_34,C21_P_FoodHos_PS_35_44,C21_P_FoodHos_PS_45_54,C21_P_FoodHos_PS_55_64,C21_P_FoodHos_PS_65_74,C21_P_FoodHos_PS_75_84,C21_P_FoodHos_PS_85over,C21_P_FoodHos_PS_Tot,C21_P_MixFld_pr_15_19,C21_P_MixFld_pr_20_24,C21_P_MixFld_pr_25_34,C21_P_MixFld_pr_35_44,C21_P_MixFld_pr_45_54,C21_P_MixFld_pr_55_64,C21_P_MixFld_pr_65_74,C21_P_MixFld_pr_75_84,C21_P_MixFld_pr_85over,C21_P_MixFld_pr_Tot,C21_P_FldStu_ID_15_19,C21_P_FldStu_ID_20_24,C21_P_FldStu_ID_25_34,C21_P_FldStu_ID_35_44,C21_P_FldStu_ID_45_54,C21_P_FldStu_ID_55_64,C21_P_FldStu_ID_65_74,C21_P_FldStu_ID_75_84,C21_P_FldStu_ID_85over,C21_P_FldStu_ID_Tot,C21_P_FldStu_NS_15_19,C21_P_FldStu_NS_20_24,C21_P_FldStu_NS_25_34,C21_P_FldStu_NS_35_44,C21_P_FldStu_NS_45_54,C21_P_FldStu_NS_55_64,C21_P_FldStu_NS_65_74,C21_P_FldStu_NS_75_84,C21_P_FldStu_NS_85over,C21_P_FldStu_NS_Tot,C21_P_Tot_15_19,C21_P_Tot_20_24,C21_P_Tot_25_34,C21_P_Tot_35_44,C21_P_Tot_45_54,C21_P_Tot_55_64,C21_P_Tot_65_74,C21_P_Tot_75_84,C21_P_Tot_85over,C21_P_Tot_Tot
1,174,8891,26732,24878,22362,19200,14487,6552,1528,124792,678,13316,44179,59188,28961,15487,6253,1187,96,169349,2412,21046,98734,96694,93648,101463,78598,42042,12388,547022,2570,17098,49065,43469,40041,33605,23140,11587,3441,224023,911,4369,14163,14761,14918,12994,8120,3587,868,74678,2334,23388,94961,76894,67230,64711,45833,20548,6760,402660,865,11283,57740,56720,54644,53243,51772,21553,5780,313604,4445,45177,206333,226369,180837,133352,83692,32361,8461,921024,3386,30690,111323,107767,97807,78333,50338,17752,3934,501336,2123,17060,52384,41797,27818,18067,10961,4501,1325,176033,4244,16300,45991,42577,33861,22258,13762,5932,1378,186310,433,994,1159,698,654,804,757,548,477,6519,599,3159,11217,13250,12464,9577,6560,3018,1095,60935,28500,36527,93677,83366,69575,63573,59011,52011,36954,523190,53668,249299,907660,888432,744826,626660,453276,223170,84475,4231474
2,166,11739,27036,24303,20273,15366,10807,4619,1049,115348,441,9521,42724,52856,24347,12438,5006,771,66,148176,2134,18818,84706,80730,75359,73583,56202,29539,8894,429972,2129,14113,50534,38755,31615,24020,15329,7783,2289,186575,835,4035,13120,13767,12411,9957,5417,2167,582,62295,1513,21622,92195,71227,57147,50317,35311,15533,5345,350213,638,9407,51519,49872,46452,44959,43009,19439,4411,269711,2000,32257,153503,171628,130008,86573,49969,18257,5100,649287,3023,25320,96444,91144,81391,63435,40539,13367,2788,417451,1810,16023,48676,36452,21881,12968,7758,3197,997,149754,2731,13327,43814,39144,26995,18048,10730,4702,1146,160622,280,797,982,635,456,435,447,239,91,4357,321,3301,11891,14539,12371,8614,5701,2470,842,60054,20597,26728,71384,61441,52058,46048,43912,38171,25227,385564,38631,207005,788519,746495,592767,466767,330124,160253,58814,3389371
3,534,5199,13598,13981,11780,8739,6661,2792,575,63861,777,4748,16305,20009,12580,6781,2944,572,39,64750,5410,18287,68669,70204,67411,66253,51912,25699,6295,380136,2402,8351,31316,29826,27448,23575,17792,8359,1990,151067,1036,3392,8955,10669,10430,8128,4465,1959,409,49434,3386,18066,65579,57086,51312,45121,28867,12585,3601,285611,856,6818,31376,41089,42701,36829,30295,12684,2667,205309,10468,29042,99269,113971,99028,70621,40996,14079,3046,480526,7199,23477,65352,65745,60915,47140,28979,9289,1593,309683,2414,10762,24608,19309,13190,8185,5179,2217,660,86519,6666,15811,35921,30720,25525,16582,10219,3979,755,146167,992,816,790,462,358,346,361,212,91,4427,951,2029,6092,7653,7437,5632,3651,1707,547,35708,21769,27277,63454,56367,52069,45016,38917,31510,19097,355469,64866,174067,531280,537080,482179,388952,271254,127630,41351,2618666
4,34,1851,5338,5751,4777,3736,3301,1398,311,26501,213,1869,6892,7442,3907,2359,1187,190,15,24074,881,5831,22453,21577,22299,22503,19134,10032,3095,127806,723,2883,10135,7355,6695,6013,4658,2614,778,41846,452,1419,4062,4435,4192,3323,1987,671,171,20702,497,6357,23497,20115,17759,18475,12977,5267,1764,106710,290,2418,12379,12261,11544,11838,13468,5886,1247,71326,1283,7693,32547,38253,31768,23791,14801,5430,1457,157016,1815,7109,23824,23662,21738,19128,13055,4301,826,115458,801,3150,7627,6429,4234,2944,2003,871,287,28348,1374,4033,11401,9642,7779,5475,3607,1458,390,45159,64,182,207,166,169,201,152,86,32,1266,149,627,2287,2830,2467,1933,1473,712,278,12762,5409,6021,14367,13591,13356,12926,12578,11246,6873,96371,13986,51432,177013,173516,152689,134648,104384,50163,17517,875345
5,104,4137,10362,10762,8734,6451,4382,1740,360,47030,535,2565,8309,11111,6148,3421,1366,273,18,33747,2456,11060,46840,48620,42180,38026,28207,12593,3319,233299,926,3888,15617,13902,11548,10134,7453,3553,1028,68049,539,1727,5132,6266,5332,4130,2511,1091,283,27014,1294,9164,33996,30164,25019,22175,14629,6808,2094,145343,1122,4063,17926,21193,21952,20045,15445,6440,1629,109817,4017,13570,48644,59716,48731,34566,21011,8407,2157,240822,3093,10475,31063,32707,27987,22187,14395,4772,954,147636,1781,5557,11883,10148,6270,4025,2847,1222,350,44086,2078,6656,17994,15832,12245,8062,4898,2007,417,70189,443,387,418,227,198,242,191,112,44,2257,346,1045,3511,4244,3752,2835,1807,857,282,18676,9294,12301,33355,31348,27682,22931,18274,14635,9577,179390,28038,86586,285059,296243,247771,199230,137405,64511,22506,1367340
6,7,478,1715,1673,1584,1371,1082,457,111,8475,28,592,3027,1798,961,703,376,68,5,7556,202,1428,6374,5585,6180,7008,5809,2995,801,36371,182,1022,3568,2652,2650,2872,2004,1035,247,16228,96,485,1571,1716,1744,1454,860,323,82,8328,127,1625,6248,5084,4900,5584,4330,1840,550,30290,47,527,3072,4097,4011,4514,4519,2181,576,23543,298,2397,13946,9894,8024,7027,4583,1584,424,48186,298,1942,6964,6705,6883,6503,4558,1273,245,35369,67,605,2100,1815,1490,1340,1057,430,99,9010,315,1384,4033,3219,2731,2000,1240,457,89,15465,19,81,95,38,31,40,56,35,11,398,36,200,730,775,783,654,514,239,67,4001,2070,2120,5237,4450,4593,5049,5477,4505,2114,35622,3807,14881,58671,49504,46579,46118,36444,17427,5413,278846
7,4,127,570,597,456,320,201,51,9,2328,44,262,937,740,350,219,78,8,0,2632,245,868,3669,3131,2822,2370,1379,456,77,15017,93,245,1150,1056,833,723,397,150,30,4673,109,263,656,690,586,392,173,43,6,2924,64,637,3809,2827,1910,1621,771,227,55,11928,34,293,1747,1862,1741,1529,944,318,33,8505,269,902,5701,4560,3434,2238,1010,227,28,18376,184,707,3448,3244,2533,1858,928,230,27,13153,22,185,741,594,388,278,148,48,8,2417,204,469,1544,1267,834,508,216,49,6,5091,9,19,25,35,26,14,9,4,5,140,20,86,392,402,351,218,122,34,3,1625,1715,2066,5433,4373,3926,3189,1868,732,234,23528,3019,7123,29827,25370,20196,15478,8242,2579,515,112338
8,19,1045,3407,2966,2576,2123,1726,854,232,14944,108,1501,5714,5869,3438,2292,921,156,11,20006,75,872,5094,4682,3810,3292,2594,1386,527,22320,123,773,2755,2093,1688,1304,898,558,173,10360,28,236,960,907,874,640,398,216,62,4316,73,1464,6259,4908,3549,3048,2213,1113,405,23026,47,606,3409,3703,3142,2753,2752,1577,392,18377,253,2491,13219,13376,10401,7092,4300,1608,430,53167,243,3656,12930,11808,9253,6999,5412,2363,550,53215,142,1024,3225,2924,1860,1081,659,268,78,11258,333,900,2493,2068,1515,827,445,238,60,8872,29,45,48,25,28,24,34,15,7,254,42,280,946,1115,880,638,460,273,118,4754,1319,2169,4618,3524,2589,2010,1802,1461,885,20376,2828,17058,65066,59967,45601,34121,24615,12071,3938,265266
9,0,0,8,18,15,13,7,6,0,59,0,0,4,7,4,6,3,0,0,28,0,12,44,47,65,81,64,14,4,340,3,7,15,18,31,31,16,9,5,146,0,4,12,8,15,14,0,4,0,57,0,4,21,24,30,27,35,9,4,159,0,8,22,43,33,38,26,7,6,185,0,16,54,69,50,53,41,12,0,290,0,9,27,57,39,30,22,11,0,206,0,3,11,9,6,17,5,6,0,58,7,13,22,28,29,26,9,4,5,145,0,0,0,0,0,0,0,0,0,0,0,0,3,9,8,9,5,0,0,38,35,58,213,167,144,125,91,58,9,916,55,145,467,500,459,478,335,133,34,2618
