STE_CODE_2021,C16_45_49_Sep_F,C16_45_49_Sep_P,C16_45_49_Div_M,C16_45_49_Div_F,C16_45_49_Div_P,C16_45_49_Wid_M,C16_45_49_Wid_F,C16_45_49_Wid_P,C16_45_49_Nvr_marrd_M,C16_45_49_Nvr_marrd_F,C16_45_49_Nvr_marrd_P,C16_45_49_Tot_M,C16_45_49_Tot_F,C16_45_49_Tot_P,C16_50_54_Married_M,C16_50_54_Married_F,C16_50_54_Married_P,C16_50_54_Sep_M,C16_50_54_Sep_F,C16_50_54_Sep_P,C16_50_54_Div_M,C16_50_54_Div_F,C16_50_54_Div_P,C16_50_54_Wid_M,C16_50_54_Wid_F,C16_50_54_Wid_P,C16_50_54_Nvr_marrd_M,C16_50_54_Nvr_marrd_F,C16_50_54_Nvr_marrd_P,C16_50_54_Tot_M,C16_50_54_Tot_F,C16_50_54_Tot_P,C16_55_59_Married_M,C16_55_59_Married_F,C16_55_59_Married_P,C16_55_59_Sep_M,C16_55_59_Sep_F,C16_55_59_Sep_P,C16_55_59_Div_M,C16_55_59_Div_F,C16_55_59_Div_P,C16_55_59_Wid_M,C16_55_59_Wid_F,C16_55_59_Wid_P,C16_55_59_Nvr_marrd_M,C16_55_59_Nvr_marrd_F,C16_55_59_Nvr_marrd_P,C16_55_59_Tot_M,C16_55_59_Tot_F,C16_55_59_Tot_P,C16_60_64_Married_M,C16_60_64_Married_F,C16_60_64_Married_P,C16_60_64_Sep_M,C16_60_64_Sep_F,C16_60_64_Sep_P,C16_60_64_Div_M,C16_60_64_Div_F,C16_60_64_Div_P,C16_60_64_Wid_M,C16_60_64_Wid_F,C16_60_64_Wid_P,C16_60_64_Nvr_marrd_M,C16_60_64_Nvr_marrd_F,C16_60_64_Nvr_marrd_P,C16_60_64_Tot_M,C16_60_64_Tot_F,C16_60_64_Tot_P,C16_65_69_Married_M,C16_65_69_Married_F,C16_65_69_Married_P,C16_65_69_Sep_M,C16_65_69_Sep_F,C16_65_69_Sep_P,C16_65_69_Div_M,C16_65_69_Div_F,C16_65_69_Div_P,C16_65_69_Wid_M,C16_65_69_Wid_F,C16_65_69_Wid_P,C16_65_69_Nvr_marrd_M,C16_65_69_Nvr_marrd_F,C16_65_69_Nvr_marrd_P,C16_65_69_Tot_M,C16_65_69_Tot_F,C16_65_69_Tot_P,C16_70_74_Married_M,C16_70_74_Married_F,C16_70_74_Married_P,C16_70_74_Sep_M,C16_70_74_Sep_F,C16_70_74_Sep_P,C16_70_74_Div_M,C16_70_74_Div_F,C16_70_74_Div_P,C16_70_74_Wid_M,C16_70_74_Wid_F,C16_70_74_Wid_P,C16_70_74_Nvr_marrd_M,C16_70_74_Nvr_marrd_F,C16_70_74_Nvr_marrd_P,C16_70_74_Tot_M,C16_70_74_Tot_F,C16_70_74_Tot_P,C16_75_79_Married_M,C16_75_79_Married_F,C16_75_79_Married_P,C16_75_79_Sep_M,C16_75_79_Sep_F,C16_75_79_Sep_P,C16_75_79_Div_M,C16_75_79_Div_F,C16_75_79_Div_P,C16_75_79_Wid_M,C16_75_79_Wid_F,C16_75_79_Wid_P,C16_75_79_Nvr_marrd_M,C16_75_79_Nvr_marrd_F,C16_75_79_Nvr_marrd_P,C16_75_79_Tot_M,C16_75_79_Tot_F,C16_75_79_Tot_P,C16_80_84_Married_M,C16_80_84_Married_F,C16_80_84_Married_P,C16_80_84_Sep_M,C16_80_84_Sep_F,C16_80_84_Sep_P,C16_80_84_Div_M,C16_80_84_Div_F,C16_80_84_Div_P,C16_80_84_Wid_M,C16_80_84_Wid_F,C16_80_84_Wid_P,C16_80_84_Nvr_marrd_M,C16_80_84_Nvr_marrd_F,C16_80_84_Nvr_marrd_P,C16_80_84_Tot_M,C16_80_84_Tot_F,C16_80_84_Tot_P,C16_85_over_Married_M,C16_85_over_Married_F,C16_85_over_Married_P,C16_85_over_Seprtd_M,C16_85_over_Seprtd_F,C16_85_over_Seprtd_P,C16_85_over_Divorce_M,C16_85_over_Divorce_F,C16_85_over_Divorce_P,C16_85_over_Wid_M,C16_85_over_Wid_F,C16_85_over_Wid_P,C16_85_over_Nvr_mard_M,C16_85_over_Nvr_mard_F,C16_85_over_Nvr_mard_P,C16_85_over_Tot_M,C16_85_over_Tot_F,C16_85_over_Tot_P,C16_Tot_Married_M,C16_Tot_Married_F,C16_Tot_Married_P,C16_Tot_Sep_M,C16_Tot_Sep_F,C16_Tot_Sep_P,C16_Tot_Div_M,C16_Tot_Div_F,C16_Tot_Div_P,C16_Tot_Wid_M,C16_Tot_Wid_F,C16_Tot_Wid_P,C16_Tot_nver_marrie_M,C16_Tot_nver_marrie_F,C16_Tot_nver_marrie_P,C16_Tot_Tot_M,C16_Tot_Tot_F,C16_Tot_Tot_P,C21_15_19_Married_M,C21_15_19_Married_F,C21_15_19_Married_P,C21_15_19_Sep_M,C21_15_19_Sep_F,C21_15_19_Sep_P,C21_15_19_Div_M,C21_15_19_Div_F,C21_15_19_Div_P,C21_15_19_Wid_M,C21_15_19_Wid_F,C21_15_19_Wid_P,C21_15_19_Nvr_marrd_M,C21_15_19_Nvr_marrd_F,C21_15_19_Nvr_marrd_P,C21_15_19_Tot_M,C21_15_19_Tot_F,C21_15_19_Tot_P,C21_20_24_Married_M,C21_20_24_Married_F,C21_20_24_Married_P,C21_20_24_Sep_M,C21_20_24_Sep_F,C21_20_24_Sep_P
1,14118,25142,23578,35509,59085,1092,3742,4834,53267,43319,96581,239600,252844,492443,150909,151110,302016,11492,13694,25181,29552,41268,70824,1926,6341,8264,44984,34276,79259,238856,246687,485543,147677,147472,295147,10922,12238,23164,32516,44282,76792,3040,10774,13819,34620,26175,60800,228773,240948,469721,137343,132935,270281,9160,9546,18705,30391,39543,69936,4432,16539,20973,22956,17190,40146,204286,215758,420046,131291,118848,250144,8152,7224,15375,26706,34165,60875,6871,24642,31510,15347,11220,26561,188363,196103,384471,101487,85033,186519,5150,4135,9284,17649,22450,40096,8399,32063,40463,9422,6770,16189,142101,150451,292556,72700,55911,128614,3083,2147,5224,10173,12710,22886,10268,40018,50288,5811,4490,10298,102029,115280,217308,47295,30825,78122,1551,1119,2668,5088,6995,12075,11422,44899,56317,3529,3098,6628,68884,86921,155810,34138,17240,51375,993,616,1606,2916,5443,8362,20865,78328,99190,2838,4129,6972,61746,105755,167506,1484561,1480723,2965283,87199,103002,190201,214292,298002,512297,70026,261634,331657,1117985,976475,2094459,2974063,3119836,6093897,273,345,615,54,56,111,53,43,92,68,66,129,235702,221244,456946,236148,221749,457896,6545,14020,20567,386,985,1369
2,11874,21172,18730,28439,47172,904,2822,3725,42190,36666,78852,194776,207269,402045,118910,119336,238250,9124,10837,19967,22749,32634,55379,1472,4625,6094,32345,26344,58684,184599,193771,378372,114290,113877,228166,8194,9357,17555,24374,33690,58065,2335,7908,10244,23966,19614,43578,173172,184442,357614,105856,102793,208647,6793,7289,14075,22120,30401,52520,3507,12161,15674,16122,12798,28924,154399,165440,319839,100197,93593,193790,5795,5366,11164,18523,25915,44439,5027,18541,23571,10546,7889,18432,140086,151313,291395,77005,66047,143050,3468,3072,6537,11907,16004,27911,6112,23598,29709,6243,4747,10992,104737,113463,218198,56827,43649,100474,2107,1665,3774,6785,9029,15818,7426,30675,38100,3770,3174,6951,76915,88199,165110,37005,24562,61568,1086,809,1899,3368,4823,8194,8798,35036,43836,2271,2126,4398,52534,67361,119896,26731,13735,40462,714,434,1146,1915,3421,5339,16065,59835,75902,2143,2997,5140,47566,80425,127990,1171973,1172143,2344111,66340,80158,146501,156718,225828,382541,53054,198613,251671,905415,815470,1720882,2353502,2492205,4845709,169,249,422,45,41,87,40,33,78,45,39,80,186214,176324,362539,186517,176690,363201,3786,8797,12581,219,611,833
3,10629,19233,17670,25326,43000,827,2289,3121,35047,28653,63699,157523,165459,322979,92555,94293,186850,8243,9468,17706,21512,29489,51004,1274,4064,5335,27433,20400,47836,151016,157712,308725,90604,90884,181479,7317,7988,15303,23019,30081,53105,2046,6346,8390,19741,14180,33918,142723,149475,292200,84856,82075,166924,5903,6023,11928,21411,26638,48046,2806,9665,12475,12579,8733,21312,127555,133130,260687,82603,74618,157222,5200,4552,9753,19134,22994,42132,4297,14814,19105,8429,5544,13973,119671,122528,242191,62791,52213,114999,3317,2640,5957,12425,14704,27128,5232,18609,23842,5163,3322,8482,88924,91484,180410,43025,31720,74751,1907,1258,3163,6841,7971,14808,5910,22100,28012,3137,2206,5347,60823,65261,126084,25423,16268,41694,969,581,1553,3307,3975,7280,6307,23461,29769,1875,1563,3441,37884,45849,83736,17399,8894,26291,550,325,881,1829,2818,4651,10440,39804,50241,1557,1916,3470,31769,53759,85531,887380,888536,1775918,62248,72701,134948,152580,201799,354383,40373,144295,184671,710783,629790,1340573,1853365,1937129,3790497,183,228,406,49,54,111,31,27,59,44,28,71,160219,152642,312858,160521,152988,313506,3887,7255,11139,337,603,936
4,3516,6364,6122,8410,14531,314,903,1221,14243,10997,25241,56186,57435,113618,33112,33572,66680,2910,3229,6135,7794,10570,18363,450,1504,1949,11674,8462,20140,55930,57337,113269,33871,34361,68235,2546,2762,5315,8965,11530,20494,765,2408,3169,8517,6165,14686,54668,57230,111898,32740,32394,65139,2209,2043,4254,8147,10459,18597,1169,3723,4897,5232,3911,9142,49505,52524,102027,32938,30984,63928,1764,1501,3257,7005,8839,15845,1692,5974,7667,3249,2348,5594,46646,49638,96289,25486,22343,47834,1040,879,1916,4328,5621,9954,2003,7642,9648,1812,1405,3219,34672,37897,72562,18515,14777,33297,596,444,1040,2392,3025,5410,2454,9832,12287,1050,795,1848,25006,28881,53883,12259,8076,20333,328,234,563,1232,1819,3047,2988,11274,14264,628,545,1172,17430,21942,39371,9146,4805,13951,253,155,404,728,1315,2043,5638,21057,26695,577,814,1389,16340,28140,44484,330321,329314,659634,20587,23608,44198,54579,73340,127925,17890,65392,83282,252197,216421,468618,675579,708069,1383652,50,97,148,10,13,24,11,9,18,16,3,24,51027,47914,98937,51114,48041,99152,1192,2572,3767,79,214,294
5,4873,9135,8480,11822,20303,380,1159,1539,18458,14241,32699,86578,85942,172519,52100,50523,102622,4140,4399,8540,10585,13835,24427,673,1883,2556,14048,10247,24291,81546,80892,162437,48700,47374,96074,3450,3671,7125,11181,14659,25843,989,3133,4125,9789,6939,16734,74122,75778,149898,44176,42443,86621,2832,2723,5554,10262,13027,23293,1358,4759,6118,6206,4357,10554,64835,67306,132144,41299,36666,77971,2306,2059,4361,8564,10712,19278,1936,6897,8834,3793,2526,6314,57902,58854,116755,29814,24498,54315,1471,1160,2630,5181,6653,11839,2223,8280,10502,2165,1466,3626,40852,42054,82907,21392,16160,37554,735,603,1334,3014,4049,7061,2588,10657,13246,1323,984,2310,29055,32452,61508,13256,8924,22181,393,293,681,1465,2094,3562,2974,11863,14842,709,607,1316,18804,23786,42588,9178,4554,13730,266,160,423,788,1423,2208,5021,19709,24725,590,735,1333,15849,26580,42424,491663,483404,975062,29773,33428,63202,71643,95716,167358,18757,69855,88619,381853,321632,703484,993687,1004045,1997728,128,140,268,22,23,42,23,17,41,27,26,51,78483,74379,152860,78685,74580,153263,1843,3645,5484,121,280,398
6,1105,2022,2067,2929,4992,75,291,364,4411,3722,8135,16645,17863,34514,9807,10390,20197,994,1132,2118,2651,3493,6146,182,535,720,3615,2740,6354,17250,18290,35539,11016,11484,22498,946,977,1921,3131,3934,7066,300,857,1152,2676,2058,4737,18078,19310,37383,11010,10880,21887,771,721,1491,2931,3642,6569,428,1317,1739,1858,1228,3089,16997,17783,34775,11212,10210,21422,655,591,1244,2492,3110,5605,672,2064,2740,1148,796,1943,16180,16769,32946,8427,7133,15558,403,295,698,1581,1926,3507,827,2717,3545,656,470,1120,11894,12535,24433,5906,4356,10263,217,145,369,870,1036,1905,954,3433,4384,384,310,695,8334,9280,17610,3554,2295,5852,125,50,176,383,547,923,1062,3573,4635,221,190,409,5345,6650,11992,2314,1183,3504,72,39,110,204,319,531,1561,5590,7148,191,285,476,4348,7415,11762,96664,96696,193360,6907,7764,14675,18712,24558,43270,6197,20767,26964,74775,66712,141492,203258,216502,419757,9,17,31,5,0,6,0,3,3,4,6,5,15506,14510,30022,15523,14544,30065,430,863,1294,24,52,75
7,426,849,827,896,1725,80,213,293,2459,2002,4466,8537,7914,16455,4314,3780,8091,414,392,807,1024,1035,2059,103,411,517,1845,1536,3382,7697,7157,14854,3768,3360,7127,342,362,701,1043,1148,2191,103,403,513,1347,1011,2358,6600,6291,12891,3188,2556,5745,325,273,597,951,899,1850,165,575,742,874,594,1466,5503,4900,10409,2332,1665,3993,229,173,406,752,656,1405,205,597,802,485,283,762,4002,3361,7366,1342,895,2235,164,75,245,365,345,709,169,519,682,278,147,420,2314,1987,4295,745,403,1151,69,32,104,214,197,405,163,493,662,125,71,197,1322,1192,2512,301,161,462,12,11,24,77,79,157,109,396,508,65,37,107,573,689,1256,169,82,249,12,6,20,41,59,92,130,369,499,46,28,73,394,545,939,40490,37839,78329,3009,3040,6047,6555,6891,13442,1354,4270,5621,41702,34214,75915,93102,86257,179363,214,300,510,6,7,18,5,3,10,0,4,8,7098,6539,13631,7320,6857,14183,974,1236,2214,53,58,106
8,622,1192,1258,1892,3146,70,150,222,2735,2452,5186,13162,13392,26554,7760,7621,15384,496,594,1091,1466,2256,3724,91,268,362,2032,1847,3876,11845,12589,24433,7216,7019,14227,469,476,943,1491,2221,3714,126,469,593,1503,1373,2879,10793,11561,22359,6430,6112,12540,321,375,696,1245,2049,3293,172,663,838,940,840,1780,9112,10040,19147,6056,5469,11521,245,304,554,1094,1778,2872,267,1020,1282,549,508,1051,8210,9072,17287,4377,3568,7940,145,146,293,590,1141,1728,318,1284,1607,301,292,599,5731,6435,12167,2959,2294,5256,88,89,172,374,632,1007,354,1467,1824,135,138,272,3898,4625,8522,1853,1225,3078,45,43,88,181,332,510,398,1587,1980,74,112,186,2546,3292,5837,1368,705,2069,27,15,34,108,226,339,740,2783,3524,78,103,185,2319,3839,6159,77411,77169,154588,3702,4456,8159,9797,15556,25351,2636,9906,12541,63675,58605,122280,157225,165692,322917,5,11,15,0,0,0,0,6,8,0,4,0,13396,12922,26320,13415,12936,26348,378,892,1272,14,35,46
9,9,24,19,16,39,0,6,7,59,39,96,170,165,333,134,111,247,6,9,18,25,16,44,0,5,3,43,28,68,207,173,380,111,112,222,13,6,19,35,25,60,3,9,18,32,24,58,195,185,378,104,107,213,9,6,13,33,22,55,0,15,15,19,18,35,172,163,331,139,76,211,4,6,7,17,19,33,8,18,20,9,3,19,170,127,299,67,56,124,3,0,0,7,7,16,8,19,23,3,3,8,93,86,175,47,27,74,0,0,0,10,5,14,9,21,25,0,3,3,68,53,116,19,10,27,0,0,0,5,5,9,7,18,25,5,3,0,27,35,68,12,7,19,0,0,0,0,8,3,5,23,24,6,0,5,21,31,55,1021,903,1928,71,56,127,181,145,325,41,134,177,727,487,1211,2042,1733,3773,0,0,0,0,0,0,0,0,0,0,0,0,88,105,187,88,103,189,14,18,27,0,0,0
