STE_CODE_2021,C11_15_19_Mar_RegM_M,C11_15_19_Mar_RegM_F,C11_15_19_Mar_RegM_P,C11_15_19_Mar_DFM_M,C11_15_19_Mar_DFM_F,C11_15_19_Mar_DFM_P,C11_15_19_N_mar_M,C11_15_19_N_mar_F,C11_15_19_N_mar_P,C11_15_19_Tot_M,C11_15_19_Tot_F,C11_15_19_Tot_P,C11_20_24_Mar_RegM_M,C11_20_24_Mar_RegM_F,C11_20_24_Mar_RegM_P,C11_20_24_Mar_DFM_M,C11_20_24_Mar_DFM_F,C11_20_24_Mar_DFM_P,C11_20_24_N_mar_M,C11_20_24_N_mar_F,C11_20_24_N_mar_P,C11_20_24_Tot_M,C11_20_24_Tot_F,C11_20_24_Tot_P,C11_25_29_Mar_RegM_M,C11_25_29_Mar_RegM_F,C11_25_29_Mar_RegM_P,C11_25_29_Mar_DFM_M,C11_25_29_Mar_DFM_F,C11_25_29_Mar_DFM_P,C11_25_29_N_mar_M,C11_25_29_N_mar_F,C11_25_29_N_mar_P,C11_25_29_Tot_M,C11_25_29_Tot_F,C11_25_29_Tot_P,C11_30_34_Mar_RegM_M,C11_30_34_Mar_RegM_F,C11_30_34_Mar_RegM_P,C11_30_34_Mar_DFM_M,C11_30_34_Mar_DFM_F,C11_30_34_Mar_DFM_P,C11_30_34_N_mar_M,C11_30_34_N_mar_F,C11_30_34_N_mar_P,C11_30_34_Tot_M,C11_30_34_Tot_F,C11_30_34_Tot_P,C11_35_39_Mar_RegM_M,C11_35_39_Mar_RegM_F,C11_35_39_Mar_RegM_P,C11_35_39_Mar_DFM_M,C11_35_39_Mar_DFM_F,C11_35_39_Mar_DFM_P,C11_35_39_N_mar_M,C11_35_39_N_mar_F,C11_35_39_N_mar_P,C11_35_39_Tot_M,C11_35_39_Tot_F,C11_35_39_Tot_P,C11_40_44_Mar_RegM_M,C11_40_44_Mar_RegM_F,C11_40_44_Mar_RegM_P,C11_40_44_Mar_DFM_M,C11_40_44_Mar_DFM_F,C11_40_44_Mar_DFM_P,C11_40_44_N_mar_M,C11_40_44_N_mar_F,C11_40_44_N_mar_P,C11_40_44_Tot_M,C11_40_44_Tot_F,C11_40_44_Tot_P,C11_45_49_Mar_RegM_M,C11_45_49_Mar_RegM_F,C11_45_49_Mar_RegM_P,C11_45_49_Mar_DFM_M,C11_45_49_Mar_DFM_F,C11_45_49_Mar_DFM_P,C11_45_49_N_mar_M,C11_45_49_N_mar_F,C11_45_49_N_mar_P,C11_45_49_Tot_M,C11_45_49_Tot_F,C11_45_49_Tot_P,C11_50_54_Mar_RegM_M,C11_50_54_Mar_RegM_F,C11_50_54_Mar_RegM_P,C11_50_54_Mar_DFM_M,C11_50_54_Mar_DFM_F,C11_50_54_Mar_DFM_P,C11_50_54_N_mar_M,C11_50_54_N_mar_F,C11_50_54_N_mar_P,C11_50_54_Tot_M,C11_50_54_Tot_F,C11_50_54_Tot_P,C11_55_59_Mar_RegM_M,C11_55_59_Mar_RegM_F,C11_55_59_Mar_RegM_P,C11_55_59_Mar_DFM_M,C11_55_59_Mar_DFM_F,C11_55_59_Mar_DFM_P,C11_55_59_N_mar_M,C11_55_59_N_mar_F,C11_55_59_N_mar_P,C11_55_59_Tot_M,C11_55_59_Tot_F,C11_55_59_Tot_P,C11_60_64_Mar_RegM_M,C11_60_64_Mar_RegM_F,C11_60_64_Mar_RegM_P,C11_60_64_Mar_DFM_M,C11_60_64_Mar_DFM_F,C11_60_64_Mar_DFM_P,C11_60_64_N_mar_M,C11_60_64_N_mar_F,C11_60_64_N_mar_P,C11_60_64_Tot_M,C11_60_64_Tot_F,C11_60_64_Tot_P,C11_65_69_Mar_RegM_M,C11_65_69_Mar_RegM_F,C11_65_69_Mar_RegM_P,C11_65_69_Mar_DFM_M,C11_65_69_Mar_DFM_F,C11_65_69_Mar_DFM_P,C11_65_69_N_mar_M,C11_65_69_N_mar_F,C11_65_69_N_mar_P,C11_65_69_Tot_M,C11_65_69_Tot_F,C11_65_69_Tot_P,C11_70_74_Mar_RegM_M,C11_70_74_Mar_RegM_F,C11_70_74_Mar_RegM_P,C11_70_74_Mar_DFM_M,C11_70_74_Mar_DFM_F,C11_70_74_Mar_DFM_P,C11_70_74_N_mar_M,C11_70_74_N_mar_F,C11_70_74_N_mar_P,C11_70_74_Tot_M,C11_70_74_Tot_F,C11_70_74_Tot_P,C11_75_79_Mar_RegM_M,C11_75_79_Mar_RegM_F,C11_75_79_Mar_RegM_P,C11_75_79_Mar_DFM_M,C11_75_79_Mar_DFM_F,C11_75_79_Mar_DFM_P,C11_75_79_N_mar_M,C11_75_79_N_mar_F,C11_75_79_N_mar_P,C11_75_79_Tot_M,C11_75_79_Tot_F,C11_75_79_Tot_P,C11_80_84_Mar_RegM_M,C11_80_84_Mar_RegM_F,C11_80_84_Mar_RegM_P,C11_80_84_Mar_DFM_M,C11_80_84_Mar_DFM_F,C11_80_84_Mar_DFM_P,C11_80_84_N_mar_M,C11_80_84_N_mar_F,C11_80_84_N_mar_P,C11_80_84_Tot_M,C11_80_84_Tot_F,C11_80_84_Tot_P,C11_85_over_Mar_RegM_M,C11_85_over_Mar_RegM_F,C11_85_over_Mar_RegM_P,C11_85_over_Mar_DFM_M,C11_85_over_Mar_DFM_F,C11_85_over_Mar_DFM_P,C11_85_over_N_mar_M,C11_85_over_N_mar_F,C11_85_over_N_mar_P,C11_85_over_Tot_M,C11_85_over_Tot_F,C11_85_over_Tot_P,C11_Tot_Marr_reg_marr_M,C11_Tot_Marr_reg_marr_F,C11_Tot_Marr_reg_marr_P,C11_Tot_Mar_de_fa_mar_M,C11_Tot_Mar_de_fa_mar_F,C11_Tot_Mar_de_fa_mar_P,C11_Tot_N_mar_M,C11_Tot_N_mar_F,C11_Tot_N_mar_P,C11_Tot_Tot_M,C11_Tot_Tot_F,C11_Tot_Tot_P,C16_15_19_Mar_RegM_M,C16_15_19_Mar_RegM_F,C16_15_19_Mar_RegM_P,C16_15_19_Mar_DFM_M,C16_15_19_Mar_DFM_F,C16_15_19_Mar_DFM_P,C16_15_19_N_mar_M,C16_15_19_N_mar_F
1,122,587,708,1478,3663,5146,205380,191694,397077,206978,195948,402928,7136,18360,25497,17836,27237,45072,170950,150944,321896,195926,196542,392466,50183,79258,129442,36885,41145,78029,117282,96761,214038,204347,217158,421506,103024,124394,227416,32517,30247,62765,70162,64595,134759,205700,219233,424939,132698,146342,279040,27273,25080,52354,55751,61399,117147,215724,232823,448546,136449,148245,284695,23442,22314,45752,52955,63007,115963,212840,233568,446413,140495,144818,285312,20201,19193,39390,54817,65521,120339,215505,229534,445039,138200,140596,278793,16685,15710,32390,54011,66259,120262,208888,222563,431449,127312,125524,252839,12813,11020,23831,46696,60664,107358,186820,197209,384025,124306,114775,239078,9628,7237,16867,41081,57728,98800,175015,179734,354745,98016,85481,183498,5401,3611,9011,31087,49983,81070,134506,139076,273580,75591,62819,138412,2798,1637,4434,23956,46912,70869,102342,111366,213706,56126,41203,97326,1352,730,2080,19192,47166,66354,76663,89095,165761,38275,23618,61893,683,392,1075,17040,48107,65143,55998,72117,128115,20742,9686,30431,340,177,516,15512,49667,65170,36593,59528,96118,1248669,1265710,2514382,209328,209394,418721,975850,1120393,2096246,2433845,2595494,5029345,118,434,555,1409,2940,4348,206805,193889
2,111,441,545,901,2139,3036,162066,151360,313422,163071,153933,317006,4927,12542,17468,14344,21655,36001,148558,130573,279127,167827,164765,332596,38306,60304,98607,33080,36994,70079,100309,81719,182028,171695,179017,350706,81680,95969,177644,28346,26588,54938,56456,52343,108805,166484,174902,341382,104236,114131,218366,23097,21445,44541,43716,48655,92372,171045,184238,355283,111923,120669,232589,19516,18676,38189,42698,51117,93812,174131,190458,364589,110737,114252,224987,15490,14737,30227,41176,50847,92020,167404,179834,347243,107287,107860,215142,12624,11675,24297,39000,50166,89164,158907,169702,328606,98367,96922,195290,9561,8050,17611,33703,45603,79303,141627,150571,292202,94098,88978,183076,6497,4998,11497,28814,43141,71957,129414,137120,266531,73046,64717,137764,3543,2362,5905,20994,35708,56705,97587,102790,200373,56831,47147,103981,1725,1038,2758,16179,34325,50503,74735,82511,157241,42232,31279,73511,791,481,1270,13319,35042,48360,56340,66798,123144,28921,17603,46522,448,222,672,12316,36119,48439,41689,53950,95634,15547,7478,23026,201,88,291,11466,36335,47805,27215,43900,71117,968242,980280,1948519,170162,171151,341313,770766,883053,1653821,1909170,2034486,3943659,106,305,406,933,1856,2783,165460,155902
3,124,412,527,1978,4886,6865,132097,123101,255199,134201,128395,262593,5302,11332,16628,19840,29299,49139,98897,87931,186830,124038,128557,252595,31196,46941,78136,32237,35523,67759,63471,54111,117577,126900,136575,263478,57880,71530,129408,25829,24338,50170,39172,37900,77064,122875,133765,256641,77219,88219,165442,21445,20348,41794,34288,37736,72023,132951,146305,279257,83424,91798,175223,17917,17539,35462,33548,39675,73225,134891,149012,283905,82655,88755,171408,14665,14463,29127,33676,40130,73805,130995,143347,274341,80834,84318,165154,11509,11289,22790,32268,39031,71297,124606,134636,259243,75539,75696,151242,8713,7642,16359,28067,35464,63534,112327,118805,231132,75025,70278,145300,6730,5005,11738,25399,34044,59451,107153,109331,216489,59342,51630,110972,3759,2560,6315,19188,29133,48325,82289,83330,165613,43971,35250,79223,1950,1217,3166,14256,25951,40210,60175,62429,122603,30032,21647,51682,877,485,1367,10904,24436,35346,41818,46575,88394,19533,11894,31427,424,217,640,8921,24344,33272,28876,36459,65333,10457,4909,15371,201,102,300,8089,24184,32273,18748,29196,47943,732521,754614,1487138,168069,174920,342990,582253,657189,1239440,1482845,1586721,3069565,88,234,320,1798,3743,5539,132450,123733
4,36,137,170,479,1264,1743,48060,44366,92427,48577,45762,94344,1482,3638,5121,5509,8530,14035,40275,34004,74287,47267,46170,93438,10723,16724,27448,10314,11176,21488,25078,19895,44974,46114,47796,93908,20757,24996,45747,7914,7446,15358,15069,13255,28323,43736,45694,89432,26477,29666,56146,6697,6510,13204,13468,13244,26707,46638,49425,96059,29939,32350,62288,6312,6155,12469,14380,15110,29494,50629,53625,104249,30982,32454,63438,5381,5357,10738,14696,16003,30696,51061,53810,104875,31383,32592,63968,4500,4339,8838,14200,16061,30258,50075,52991,103065,30067,30541,60604,3389,3087,6475,11774,14569,26338,45226,48192,93419,30605,29309,59914,2505,1928,4430,9896,14004,23899,43007,45237,88240,23987,21926,45909,1333,957,2292,6941,11665,18607,32261,34551,66809,18779,16216,34996,682,413,1101,5195,11130,16324,24659,27758,52422,14422,10746,25167,318,217,536,4435,11440,15882,19181,22394,41581,10326,6421,16745,207,105,314,4157,12450,16605,14685,18973,33661,5495,2651,8147,88,56,144,4233,13161,17395,9817,15870,25686,285455,290364,575818,55630,57539,113167,231851,260354,492208,572935,608251,1181191,36,102,135,401,866,1266,46643,43591
5,50,220,273,749,1944,2695,67600,62160,129758,68395,64327,132726,2289,5813,8101,8915,14493,23402,55808,46680,102484,67008,66981,133993,15419,25028,40444,16901,18936,35840,36669,27523,64196,68991,71488,140475,30564,38683,69248,13068,12649,25717,21165,18134,39302,64795,69469,134267,40442,46627,87072,10357,10080,20441,17079,17022,34105,67877,73732,141612,44656,49363,94019,8935,8998,17934,16820,18466,35283,70410,76830,147241,44294,46945,91240,7310,7467,14780,16654,18784,35444,68263,73204,141466,42150,43965,86121,5968,5773,11737,15919,18912,34828,64037,68650,132688,38819,39580,78398,4429,3864,8290,13843,17469,31311,57086,60910,118000,37703,34794,72497,3109,2287,5399,11863,16434,28291,52679,53514,106190,28017,23957,51976,1556,1100,2651,8329,13053,21378,37898,38109,76004,21273,17472,38751,821,535,1352,6185,12401,18585,28279,30400,58688,15096,11318,26415,369,231,601,4823,12089,16912,20290,23645,43929,10152,6199,16353,192,108,306,3974,11788,15754,14319,18094,32411,5407,2468,7878,92,41,134,3674,12058,15733,9181,14562,23746,376344,392437,768777,82768,88500,171276,300405,322963,623367,759511,803908,1563423,49,140,191,633,1413,2041,68810,63984
6,13,42,54,256,550,808,14918,13484,28399,15190,14079,29264,439,941,1386,2203,3167,5371,10072,8758,18826,12712,12865,25571,2771,4093,6864,3396,3778,7176,5793,5283,11075,11960,13150,25111,5123,6453,11574,2788,2720,5504,3774,4013,7785,11681,13184,24869,7122,8395,15521,2607,2595,5198,3661,4138,7799,13395,15130,28521,8544,9615,18157,2357,2320,4683,3897,4686,8583,14803,16621,31426,9126,9903,19031,2093,1935,4029,4252,4945,9203,15472,16787,32258,10090,10689,20778,1665,1627,3288,4314,5072,9385,16067,17386,33453,9845,10038,19887,1264,1078,2344,3808,4626,8432,14922,15740,30659,10025,9327,19349,947,709,1656,3365,4587,7949,14337,14621,28960,7808,6900,14704,550,376,931,2557,3867,6425,10913,11143,22058,6014,4826,10837,264,154,419,1970,3798,5775,8248,8782,17026,4167,3066,7233,126,74,198,1560,3706,5266,5857,6842,12694,2781,1665,4448,48,23,74,1333,3612,4942,4159,5304,9456,1493,715,2212,19,9,27,1164,3708,4871,2679,4433,7114,85368,86675,172039,20579,21113,41696,66443,78278,144718,172389,186061,358453,11,19,30,212,405,613,14043,12843
7,112,241,352,110,272,378,6087,5317,11400,6311,5825,12133,760,1180,1940,1101,1589,2687,4436,3723,8159,6299,6483,12786,1975,2761,4740,1682,1916,3596,3519,3132,6644,7168,7802,14977,2925,3639,6563,1408,1436,2843,2408,2330,4744,6745,7410,14148,3499,3775,7270,1267,1264,2532,1959,2073,4029,6719,7108,13831,3424,3817,7239,1116,1075,2189,1957,2085,4040,6493,6979,13472,3293,3259,6554,932,891,1817,1847,1955,3800,6068,6100,12170,3040,3036,6082,727,757,1490,1804,1882,3685,5577,5673,11252,2651,2460,5113,540,458,1003,1587,1689,3277,4781,4609,9389,2366,1769,4136,340,223,563,1305,1442,2747,4009,3434,7443,1339,936,2279,177,113,292,800,930,1729,2318,1985,4297,822,494,1319,61,37,101,582,704,1288,1466,1232,2704,383,216,591,31,12,34,278,469,755,688,691,1383,205,82,288,7,6,13,206,365,572,416,451,871,72,28,105,3,3,3,101,260,356,179,288,468,26876,27690,54566,9489,10041,19532,28878,28350,57233,65251,66079,131328,77,160,240,81,218,301,5954,5101
8,3,23,23,70,197,265,10468,9764,20236,10543,9977,20522,325,857,1187,1392,2134,3527,10238,9036,19271,11955,12025,23978,2963,4624,7581,3093,3266,6359,7153,5832,12991,13211,13720,26924,6091,7198,13289,2260,2120,4380,3987,3585,7572,12334,12899,25235,7420,7937,15352,1682,1586,3274,3054,3221,6270,12153,12749,24897,7503,7770,15274,1425,1401,2826,2732,3218,5954,11665,12392,24053,7193,7441,14635,1157,1126,2281,2575,3353,5928,10925,11924,22852,6959,6934,13893,958,886,1838,2443,3452,5897,10358,11269,21626,6250,6078,12325,694,637,1326,2013,3027,5045,8955,9745,18701,6012,5401,11413,517,339,857,1586,2853,4441,8113,8600,16712,4210,3504,7712,228,165,391,1023,2165,3185,5452,5839,11297,2925,2396,5322,101,53,157,732,1790,2522,3759,4240,8000,2010,1487,3498,38,31,67,608,1649,2259,2659,3171,5826,1375,836,2214,25,5,34,499,1571,2072,1896,2421,4319,810,390,1196,15,3,17,483,1718,2197,1306,2108,3417,62038,62887,124922,13651,13938,27591,49595,56253,105844,125288,133075,258361,3,12,14,70,161,229,10491,9934
9,0,0,0,0,0,0,66,41,103,65,42,104,0,15,17,3,4,7,35,32,66,39,48,88,29,28,58,3,12,15,33,13,43,65,56,113,28,38,63,8,6,9,15,15,34,56,56,111,37,46,86,6,5,9,15,18,33,62,65,131,43,57,101,4,4,11,23,14,41,72,81,157,73,66,138,7,4,16,11,11,25,102,80,180,56,67,121,8,3,8,19,15,37,88,82,167,61,62,116,0,4,5,27,12,43,91,76,166,62,22,86,0,0,5,29,14,41,90,42,132,23,26,47,0,0,0,6,5,12,31,29,53,23,15,33,0,0,0,15,3,17,38,12,54,3,4,9,0,0,0,5,7,9,8,7,20,0,0,4,0,0,0,0,3,5,5,9,12,0,0,0,0,0,0,4,0,5,4,0,5,442,441,881,49,46,91,321,201,523,808,687,1494,0,0,0,0,0,5,78,88
