STE_CODE_2021,C16_AP_45_49_NCB_2,C16_AP_45_49_NCB_3,C16_AP_45_49_NCB_4,C16_AP_45_49_NCB_5,C16_AP_45_49_NCB_6mor,C16_AP_45_49_NCB_NS,C16_AP_45_49_Tot,C16_AP_50_54_NCB_0,C16_AP_50_54_NCB_1,C16_AP_50_54_NCB_2,C16_AP_50_54_NCB_3,C16_AP_50_54_NCB_4,C16_AP_50_54_NCB_5,C16_AP_50_54_NCB_6mor,C16_AP_50_54_NCB_NS,C16_AP_50_54_Tot,C16_AP_55_59_NCB_0,C16_AP_55_59_NCB_1,C16_AP_55_59_NCB_2,C16_AP_55_59_NCB_3,C16_AP_55_59_NCB_4,C16_AP_55_59_NCB_5,C16_AP_55_59_NCB_6mor,C16_AP_55_59_NCB_NS,C16_AP_55_59_Tot,C16_AP_60_64_NCB_0,C16_AP_60_64_NCB_1,C16_AP_60_64_NCB_2,C16_AP_60_64_NCB_3,C16_AP_60_64_NCB_4,C16_AP_60_64_NCB_5,C16_AP_60_64_NCB_6mor,C16_AP_60_64_NCB_NS,C16_AP_60_64_Tot,C16_AP_65_69_NCB_0,C16_AP_65_69_NCB_1,C16_AP_65_69_NCB_2,C16_AP_65_69_NCB_3,C16_AP_65_69_NCB_4,C16_AP_65_69_NCB_5,C16_AP_65_69_NCB_6mor,C16_AP_65_69_NCB_NS,C16_AP_65_69_Tot,C16_AP_70_74_NCB_0,C16_AP_70_74_NCB_1,C16_AP_70_74_NCB_2,C16_AP_70_74_NCB_3,C16_AP_70_74_NCB_4,C16_AP_70_74_NCB_5,C16_AP_70_74_NCB_6mor,C16_AP_70_74_NCB_NS,C16_AP_70_74_Tot,C16_AP_75_79_NCB_0,C16_AP_75_79_NCB_1,C16_AP_75_79_NCB_2,C16_AP_75_79_NCB_3,C16_AP_75_79_NCB_4,C16_AP_75_79_NCB_5,C16_AP_75_79_NCB_6mor,C16_AP_75_79_NCB_NS,C16_AP_75_79_Tot,C16_AP_80_84_NCB_0,C16_AP_80_84_NCB_1,C16_AP_80_84_NCB_2,C16_AP_80_84_NCB_3,C16_AP_80_84_NCB_4,C16_AP_80_84_NCB_5,C16_AP_80_84_NCB_6mor,C16_AP_80_84_NCB_NS,C16_AP_80_84_Tot,C16_AP_85over_N_c_b_0,C16_AP_85over_N_c_b_1,C16_AP_85over_N_c_b_2,C16_AP_85over_N_c_b_3,C16_AP_85over_N_c_b_4,C16_AP_85over_N_c_b_5,C16_AP_85over_N_c_b_6mor,C16_AP_85over_N_c_b_NS,C16_AP_85over_Tot,C16_AP_Tot_NCB_0,C16_AP_Tot_NCB_1,C16_AP_Tot_NCB_2,C16_AP_Tot_NCB_3,C16_AP_Tot_NCB_4,C16_AP_Tot_NCB_5,C16_AP_Tot_N_c_b_6mor,C16_AP_Tot_NCB_NS,C16_AP_Tot_Tot,C21_AP_15_19_NCB_0,C21_AP_15_19_NCB_1,C21_AP_15_19_NCB_2,C21_AP_15_19_NCB_3,C21_AP_15_19_NCB_4,C21_AP_15_19_NCB_5,C21_AP_15_19_NCB_6mor,C21_AP_15_19_NCB_NS,C21_AP_15_19_Tot,C21_AP_20_24_NCB_0,C21_AP_20_24_NCB_1,C21_AP_20_24_NCB_2,C21_AP_20_24_NCB_3,C21_AP_20_24_NCB_4,C21_AP_20_24_NCB_5,C21_AP_20_24_NCB_6mor,C21_AP_20_24_NCB_NS,C21_AP_20_24_Tot,C21_AP_25_29_NCB_0,C21_AP_25_29_NCB_1,C21_AP_25_29_NCB_2,C21_AP_25_29_NCB_3,C21_AP_25_29_NCB_4,C21_AP_25_29_NCB_5,C21_AP_25_29_NCB_6mor,C21_AP_25_29_NCB_NS,C21_AP_25_29_Tot,C21_AP_30_34_NCB_0,C21_AP_30_34_NCB_1,C21_AP_30_34_NCB_2,C21_AP_30_34_NCB_3,C21_AP_30_34_NCB_4,C21_AP_30_34_NCB_5,C21_AP_30_34_NCB_6mor,C21_AP_30_34_NCB_NS,C21_AP_30_34_Tot,C21_AP_35_39_NCB_0,C21_AP_35_39_NCB_1,C21_AP_35_39_NCB_2,C21_AP_35_39_NCB_3,C21_AP_35_39_NCB_4,C21_AP_35_39_NCB_5,C21_AP_35_39_NCB_6mor,C21_AP_35_39_NCB_NS,C21_AP_35_39_Tot,C21_AP_40_44_NCB_0,C21_AP_40_44_NCB_1,C21_AP_40_44_NCB_2,C21_AP_40_44_NCB_3,C21_AP_40_44_NCB_4,C21_AP_40_44_NCB_5,C21_AP_40_44_NCB_6mor,C21_AP_40_44_NCB_NS,C21_AP_40_44_Tot,C21_AP_45_49_NCB_0,C21_AP_45_49_NCB_1,C21_AP_45_49_NCB_2,C21_AP_45_49_NCB_3,C21_AP_45_49_NCB_4,C21_AP_45_49_NCB_5,C21_AP_45_49_NCB_6mor,C21_AP_45_49_NCB_NS,C21_AP_45_49_Tot,C21_AP_50_54_NCB_0,C21_AP_50_54_NCB_1,C21_AP_50_54_NCB_2,C21_AP_50_54_NCB_3,C21_AP_50_54_NCB_4,C21_AP_50_54_NCB_5,C21_AP_50_54_NCB_6mor,C21_AP_50_54_NCB_NS,C21_AP_50_54_Tot,C21_AP_55_59_NCB_0,C21_AP_55_59_NCB_1,C21_AP_55_59_NCB_2,C21_AP_55_59_NCB_3,C21_AP_55_59_NCB_4,C21_AP_55_59_NCB_5,C21_AP_55_59_NCB_6mor,C21_AP_55_59_NCB_NS,C21_AP_55_59_Tot,C21_AP_60_64_NCB_0,C21_AP_60_64_NCB_1,C21_AP_60_64_NCB_2,C21_AP_60_64_NCB_3,C21_AP_60_64_NCB_4,C21_AP_60_64_NCB_5,C21_AP_60_64_NCB_6mor,C21_AP_60_64_NCB_NS,C21_AP_60_64_Tot,C21_AP_65_69_NCB_0,C21_AP_65_69_NCB_1,C21_AP_65_69_NCB_2,C21_AP_65_69_NCB_3,C21_AP_65_69_NCB_4,C21_AP_65_69_NCB_5,C21_AP_65_69_NCB_6mor,C21_AP_65_69_NCB_NS,C21_AP_65_69_Tot,C21_AP_70_74_NCB_0,C21_AP_70_74_NCB_1,C21_AP_70_74_NCB_2,C21_AP_70_74_NCB_3,C21_AP_70_74_NCB_4,C21_AP_70_74_NCB_5,C21_AP_70_74_NCB_6mor,C21_AP_70_74_NCB_NS,C21_AP_70_74_Tot,C21_AP_75_79_NCB_0,C21_AP_75_79_NCB_1,C21_AP_75_79_NCB_2,C21_AP_75_79_NCB_3
1,91060,48611,16915,5278,3444,15569,252844,34824,32512,87550,49346,17934,5445,3538,15535,246687,31559,30604,82723,51221,19696,5940,3531,15666,240948,25776,25731,73487,48311,18951,5615,3422,14477,215758,20173,19523,69182,45416,18378,5685,3512,14228,196103,13978,12749,49674,36389,16371,5443,3840,12011,150451,9468,8164,31876,28015,15409,6198,5252,10891,115280,6739,6279,20639,19526,12146,5731,5800,10066,86921,8543,9002,23528,19875,12654,6095,7271,18782,105755,940548,372207,794325,463526,186510,62849,46880,252998,3119836,201182,1092,159,20,8,7,31,19252,221749,203972,11599,4458,923,177,25,61,20151,241374,190758,33918,21692,7278,1960,484,215,21519,277829,129093,62109,58689,21641,6549,1757,934,19241,300011,69584,56253,95582,38560,12049,3546,2174,17109,294854,44741,40760,96296,45090,15066,4633,3163,14381,264127,40338,37517,96821,49305,16963,5228,3514,13638,263323,38201,36066,93409,49843,17454,5433,3481,12565,256461,35298,34132,89958,50594,18152,5527,3552,12604,249809,31775,32108,85002,52489,20141,5990,3588,12200,243291,25225,26761,74928,48759,19237,5611,3499,12006,216012,19242,19304,68706,44865,18171,5462,3472,12461,191688,12391,11557,46523,33909
2,77276,38961,12354,3512,2490,12427,207269,28185,24500,70481,39516,13120,3604,2394,11960,193771,24475,21523,65065,40450,14609,3997,2472,11866,184442,19367,18169,58641,37693,14211,3977,2331,11059,165440,14449,13699,54359,36429,14417,4357,2580,11021,151313,9207,8496,37369,28628,13097,4510,3168,8995,113463,6332,5846,24054,21902,12502,5044,4437,8073,88199,4458,4514,16208,15472,9920,4553,4808,7426,67361,6042,6753,18223,16114,10268,5102,5887,12032,80425,793635,289326,631814,359858,139265,45783,35461,197062,2492205,160910,590,63,6,9,4,31,15075,176690,173893,6942,2473,454,65,18,44,15914,199803,171329,25938,14803,4606,1156,271,143,17802,236041,117777,54869,47563,15092,4019,1150,580,15415,256446,63019,48851,83122,29268,8115,2299,1452,13518,249649,39861,34354,81800,34346,10067,2994,2136,10825,216377,35744,31465,79795,38076,11623,3585,2611,10329,213232,33028,29144,79984,40257,12745,3621,2587,9951,211322,28683,25603,73042,40716,13616,3754,2471,9387,197285,24712,22949,67755,41790,15075,4011,2522,9217,188031,19020,19175,60452,38589,14458,4022,2372,9068,167169,13762,13777,54441,36792,14366,4215,2569,9431,149353,8313,8044,35854,27247
3,58483,31646,11797,3908,3079,10965,165459,21492,19215,54563,32239,12514,4086,2838,10763,157712,18362,16216,50737,33535,13467,4099,2637,10423,149475,14656,13525,45456,30801,12848,3864,2385,9592,133130,11657,11137,42110,29375,12671,3996,2438,9145,122528,8104,7316,28248,22693,10953,3991,2742,7438,91484,5394,4323,16074,15734,9792,4351,3395,6198,65261,3511,2977,9342,10105,7179,3645,3609,5475,45849,4012,4205,10490,9991,7000,3778,4093,10180,53759,563922,223474,489957,295953,126227,44875,34020,158703,1937129,138183,1237,133,17,10,5,28,13380,152988,130553,10482,4238,932,178,39,55,14379,160852,110241,24545,17338,6128,1825,481,221,14849,175639,69909,36480,39623,15503,5273,1638,936,12655,182016,39899,32516,60181,26073,8744,2940,2137,11491,183981,27417,25309,60492,29383,10670,3587,2871,9712,169446,26051,24764,62316,32332,11821,4000,3239,9799,174326,25014,23001,61256,32935,12203,4099,3103,9356,170965,22472,20320,57097,33478,12941,4179,2812,9086,162382,19077,17387,53308,34925,13986,4149,2590,8336,153762,14883,14291,47573,31860,13236,3980,2338,7746,135905,11412,11180,43139,29728,12603,3883,2332,7887,122156,7403,6903,27341,21523
4,21874,10910,3460,985,794,3041,57435,8511,7335,21530,11127,3793,1174,757,3107,57337,7727,6720,21783,11704,4154,1146,717,3276,57230,6385,5904,20498,11217,3964,1020,579,2954,52524,4921,4831,19819,11396,3964,1057,624,3028,49638,3171,2916,13767,9704,3811,1179,749,2598,37897,2013,1822,8276,7728,4150,1607,1074,2211,28881,1337,1407,5205,5508,3569,1572,1339,2012,21942,1937,2264,6621,6103,3846,1960,1791,3620,28140,201680,83080,199481,109984,42257,14069,10054,47466,708069,44048,263,24,3,0,0,8,3690,48041,45675,2559,1009,180,33,6,13,3543,53018,39156,8010,5072,1594,407,100,35,3460,57839,24018,12937,13193,4724,1292,392,225,3004,59780,13162,11350,21114,8339,2496,783,526,2669,60441,8764,8533,20782,9417,2873,944,711,2316,54335,8390,8148,21453,9978,3184,1044,787,2477,55457,8836,8186,22275,11097,3477,1008,804,2468,58152,8791,7590,22295,11350,3861,1152,765,2460,58255,7961,7069,22392,12055,4178,1198,706,2566,58125,6410,6060,20976,11475,3997,1023,596,2506,53041,4753,4829,19837,11420,3845,1032,592,2738,49041,2842,2678,12980,9223
5,32378,16370,5503,1660,1245,5660,85942,10396,9449,29607,16939,6053,1758,1225,5453,80892,8536,7865,27404,17273,6463,1870,1095,5258,75778,6706,6669,24446,16009,6051,1677,1044,4700,67306,4793,5007,21994,14423,5675,1621,929,4406,58854,3038,3046,13898,11014,4968,1569,989,3537,42054,1997,1947,8281,8638,5077,1906,1362,3250,32452,1387,1310,4956,5778,4015,1856,1530,2957,23786,1500,1730,5321,5358,3791,1853,1888,5137,26580,294207,116202,263776,152309,60052,19464,13829,84210,1004045,67706,466,35,10,4,0,19,6339,74580,64779,4349,1610,354,43,5,23,6537,77702,56728,12314,8207,2685,697,174,63,7107,87980,38881,21250,22295,7989,2378,663,340,6616,100399,21814,18464,34910,14065,4189,1233,764,5929,101372,14312,13325,33949,15610,4965,1483,1063,4695,89399,12681,12171,33501,16438,5270,1660,1167,4678,87572,12194,11706,33169,16700,5611,1770,1234,4555,86940,10787,9818,30544,17412,6164,1760,1170,4304,81965,8728,8315,28469,17956,6632,1868,1048,3856,76868,6786,6880,25567,16546,6178,1684,1013,3671,68326,4676,5172,22425,14642,5739,1573,906,3655,58785,2809,2914,13588,10682
6,6360,3494,1272,435,277,1002,17863,2619,2208,6474,3681,1350,470,325,1159,18290,2661,2102,6569,4225,1666,514,298,1281,19310,2134,1831,6115,4056,1657,486,273,1226,17783,1766,1526,5730,3991,1645,544,278,1301,16769,1157,937,3800,3164,1527,550,350,1052,12535,718,570,2174,2341,1456,664,480,873,9280,455,377,1355,1549,1108,598,478,723,6650,593,597,1528,1506,1079,586,604,920,7415,56308,24561,57711,36234,15622,5824,4003,16240,216502,13095,120,11,0,0,0,6,1317,14544,12278,1198,443,100,10,0,5,1184,15216,12199,2880,1937,648,167,50,19,1271,19166,7577,4125,4000,1582,520,154,71,1085,19123,3954,3083,5745,2695,930,307,186,956,17851,2737,2445,5791,2774,1043,364,271,786,16213,2849,2408,6051,3162,1151,443,279,787,17136,2998,2599,6633,3573,1282,427,274,947,18731,2902,2372,6845,3803,1430,486,299,970,19109,2834,2184,6886,4394,1674,535,304,1099,19911,2245,1894,6327,4109,1663,461,241,1080,18016,1713,1464,5661,3971,1556,511,232,1215,16324,1035,845,3528,2917
7,2173,1344,633,284,204,1039,7914,1167,798,1882,1282,597,271,199,956,7157,810,688,1674,1262,590,226,185,849,6291,554,505,1356,934,465,208,168,703,4900,343,315,902,700,343,167,144,447,3361,193,157,502,387,234,97,132,276,1987,118,87,240,232,146,96,111,164,1192,63,41,109,89,100,64,109,105,689,41,49,81,79,72,38,86,97,545,25869,10937,17307,10487,4896,2107,1800,12861,86257,5344,190,18,0,0,3,3,1296,6857,4970,937,292,63,17,0,3,1184,7473,6028,1553,1112,428,119,22,17,1399,10674,4344,2215,2011,932,325,126,53,1280,11289,2286,1674,2658,1287,555,199,134,1108,9900,1440,1166,2350,1288,603,246,189,978,8259,1280,1003,2053,1223,603,223,212,867,7460,1160,942,2091,1333,634,263,192,844,7459,1025,721,1742,1214,545,219,185,759,6402,697,608,1540,1112,548,218,170,633,5528,470,405,1137,839,416,184,123,484,4058,284,280,779,607,322,140,120,343,2873,152,117,418,321
8,5151,2340,723,163,109,689,13392,2067,1639,4690,2445,789,213,98,647,12589,1724,1503,4128,2400,829,206,133,645,11561,1240,1145,3625,2266,839,231,91,606,10040,972,971,3341,2144,789,227,129,496,9072,592,548,2241,1610,661,226,124,446,6435,352,358,1274,1187,630,249,183,384,4625,231,239,791,792,488,212,194,351,3292,218,319,796,761,495,242,243,774,3839,59108,20284,41843,21575,7688,2405,1516,11279,165692,11876,41,3,3,0,0,0,1013,12936,15176,445,138,18,7,0,0,1393,17173,15116,1974,906,259,66,16,8,1208,19543,9533,4286,3481,919,232,63,35,948,19497,4989,3851,6551,2097,504,117,74,744,18918,3178,2651,6350,2496,613,178,100,566,16129,2581,2238,5907,2526,737,190,113,502,14795,2344,2032,5303,2403,739,176,121,462,13570,2008,1705,4650,2418,802,192,99,385,12263,1609,1536,4174,2377,824,203,127,384,11239,1174,1180,3686,2268,844,215,100,401,9872,982,991,3445,2189,827,214,133,374,9157,542,558,2255,1580
9,56,24,10,3,8,18,165,28,12,51,30,14,3,0,26,173,18,17,63,40,18,7,0,25,185,22,14,52,29,12,10,0,22,163,20,15,36,27,11,0,3,18,127,12,13,23,21,9,7,0,6,86,4,6,11,13,6,7,3,8,53,0,3,6,4,4,3,3,11,35,3,4,0,5,4,0,4,7,31,417,196,431,279,117,42,30,229,1733,81,0,0,0,0,0,0,24,103,73,13,0,0,0,0,0,21,104,64,16,8,3,0,0,0,24,113,33,12,25,26,3,0,0,29,126,35,21,57,23,10,0,0,25,166,13,15,40,37,6,0,0,28,140,24,21,45,23,6,3,4,15,140,30,17,49,16,19,4,3,26,171,36,14,60,30,13,7,3,31,193,23,23,61,43,19,0,6,27,193,31,14,44,18,21,7,6,17,155,14,12,24,18,6,4,5,16,108,10,5,20,15
