STE_CODE_2021,C16_Rel_NS_0_14,C16_Rel_NS_15_24,C16_Rel_NS_25_34,C16_Rel_NS_35_44,C16_Rel_NS_45_54,C16_Rel_NS_55_64,C16_Rel_NS_65_74,C16_Rel_NS_75_84,C16_Rel_NS_85ov,C16_Rel_NS_Tot,C16_Tot_0_14,C16_Tot_15_24,C16_Tot_25_34,C16_Tot_35_44,C16_Tot_45_54,C16_Tot_55_64,C16_Tot_65_74,C16_Tot_75_84,C16_Tot_85ov,C16_Tot_Tot,C21_Buddhism_0_14,C21_Buddhism_15_24,C21_Buddhism_25_34,C21_Buddhism_35_44,C21_Buddhism_45_54,C21_Buddhism_55_64,C21_Buddhism_65_74,C21_Buddhism_75_84,C21_Buddhism_85ov,C21_Buddhism_Tot,C21_Christ_Angli_0_14,C21_Christ_Angl_15_24,C21_Christ_Angl_25_34,C21_Christ_Angl_35_44,C21_Christ_Angl_45_54,C21_Christ_Angl_55_64,C21_Christ_Angl_65_74,C21_Christ_Angl_75_84,C21_Christ_Anglic_85ov,C21_Christ_Anglic_Tot,C21_Chr_Ass_Apo_0_14,C21_Chr_Ass_Apo_15_24,C21_Chr_Ass_Apo_25_34,C21_Chr_Ass_Apo_35_44,C21_Chr_Ass_Apo_45_54,C21_Chr_Ass_Apo_55_64,C21_Chr_Ass_Apo_65_74,C21_Chr_Ass_Apo_75_84,C21_Chr_Ass_Apo_85ov,C21_Chr_Ass_Apo_Tot,C21_Chr_Bapt_0_14,C21_Chr_Bapt_15_24,C21_Chr_Bapt_25_34,C21_Chr_Bapt_35_44,C21_Chr_Bapt_45_54,C21_Chr_Bapt_55_64,C21_Chr_Bapt_65_74,C21_Chr_Bapt_75_84,C21_Chr_Bapt_85ov,C21_Chr_Bapt_Tot,C21_Chr_Breth_0_14,C21_Chr_Bret_15_24,C21_Chr_Bret_25_34,C21_Chr_Bret_35_44,C21_Chr_Bret_45_54,C21_Chr_Bret_55_64,C21_Chr_Bret_65_74,C21_Chr_Bret_75_84,C21_Chr_Breth_85ov,C21_Chr_Bret_Tot,C21_Chr_Cath_0_14,C21_Chr_Cath_15_24,C21_Chr_Cath_25_34,C21_Chr_Cath_35_44,C21_Chr_Cath_45_54,C21_Chr_Cath_55_64,C21_Chr_Cath_65_74,C21_Chr_Cath_75_84,C21_Chr_Catho_85ov,C21_Chr_Catho_Tot,C21_C_Chur_Christ_0_14,C21_C_Chur_Christ_15_24,C21_C_Chur_Christ_25_34,C21_C_Chur_Christ_35_44,C21_C_Chur_Christ_45_54,C21_C_Chur_Christ_55_64,C21_C_Chur_Christ_65_74,C21_C_Chur_Christ_75_84,C21_C_Chur_Christ_85ov,C21_C_Chur_Christ_Tot,C21_C_East_Ortho_0_14,C21_C_East_Ortho_15_24,C21_C_East_Ortho_25_34,C21_C_East_Ortho_35_44,C21_C_East_Ortho_45_54,C21_C_East_Ortho_55_64,C21_C_East_Ortho_65_74,C21_C_East_Ortho_75_84,C21_C_East_Ortho_85ov,C21_C_East_Ortho_Tot,C21_C_Jeh_Wit_0_14,C21_C_Jeh_Wit_15_24,C21_C_Jeh_Wit_25_34,C21_C_Jeh_Wit_35_44,C21_C_Jeh_Wit_45_54,C21_C_Jeh_Wit_55_64,C21_C_Jeh_Wit_65_74,C21_C_Jeh_Wit_75_84,C21_C_Jeh_Wit_85ov,C21_C_Jeh_Wit_Tot,C21_C_La_Da_Sai_0_14,C21_C_La_Da_Sa_15_24,C21_C_La_Da_Sa_25_34,C21_C_La_Da_Sa_35_44,C21_C_La_Da_Sa_45_54,C21_C_La_Da_Sa_55_64,C21_C_La_Da_Sa_65_74,C21_C_La_Da_Sa_75_84,C21_C_Lat_Da_Sa_85ov,C21_C_Lat_Da_Sa_Tot,C21_C_Luthe_0_14,C21_C_Luthe_15_24,C21_C_Luthe_25_34,C21_C_Luthe_35_44,C21_C_Luthe_45_54,C21_C_Luthe_55_64,C21_C_Luthe_65_74,C21_C_Luthe_75_84,C21_C_Luthe_85ov,C21_C_Luthe_Tot,C21_C_Ori_Orth_0_14,C21_C_Ori_Orth_15_24,C21_C_Ori_Orth_25_34,C21_C_Ori_Orth_35_44,C21_C_Ori_Orth_45_54,C21_C_Ori_Orth_55_64,C21_C_Ori_Orth_65_74,C21_C_Ori_Orth_75_84,C21_C_Ori_Orth_85ov,C21_C_Ori_Ort_Tot,C21_C_Oth_Pro_0_14,C21_C_Oth_Pro_15_24,C21_C_Oth_Pro_25_34,C21_C_Oth_Pro_35_44,C21_C_Oth_Pro_45_54,C21_C_Oth_Pro_55_64,C21_C_Oth_Pro_65_74,C21_C_Oth_Pro_75_84,C21_C_Oth_Pro_85ov,C21_C_Oth_Pro_Tot,C21_C_Pent_0_14,C21_C_Pent_15_24,C21_C_Pent_25_34,C21_C_Pent_35_44,C21_C_Pent_45_54,C21_C_Pent_55_64,C21_C_Pent_65_74,C21_C_Pent_75_84,C21_C_Pent_85ov,C21_C_Pent_Tot,C21_C_Pres_Ref_0_14,C21_C_Pres_Ref_15_24,C21_C_Pres_Ref_25_34,C21_C_Pres_Ref_35_44,C21_C_Pres_Ref_45_54,C21_C_Pres_Ref_55_64,C21_C_Pres_Ref_65_74,C21_C_Pres_Ref_75_84,C21_C_Pres_Ref_85ov,C21_C_Pres_Ref_Tot,C21_C_Sal_Army_0_14,C21_C_Sal_Army_15_24,C21_C_Sal_Army_25_34,C21_C_Sal_Army_35_44,C21_C_Sal_Army_45_54,C21_C_Sal_Army_55_64,C21_C_Sal_Army_65_74,C21_C_Sal_Army_75_84,C21_C_Sal_Army_85ov,C21_C_Sal_Army_Tot,C21_C_Sev_day_Adv_0_14,C21_C_Sev_day_Adv_15_24,C21_C_Sev_day_Adv_25_34,C21_C_Sev_day_Adv_35_44,C21_C_Sev_day_Adv_45_54,C21_C_Sev_day_Adv_55_64,C21_C_Sev_day_Adv_65_74,C21_C_Sev_day_Adv_75_84,C21_C_Sev_day_Adv_85ov,C21_C_Sev_day_Adv_Tot,C21_Chr_Unit_Ch_0_14,C21_Chr_Unit_Ch_15_24,C21_Chr_Unit_Ch_25_34,C21_Chr_Unit_Ch_35_44,C21_Chr_Unit_Ch_45_54,C21_Chr_Unit_Ch_55_64,C21_Chr_Unit_Ch_65_74,C21_Chr_Unit_Ch_75_84,C21_Chr_Unit_Ch_85ov,C21_Chr_Unit_Ch_Tot
1,111984,84816,109631,91492,86376,80424,62582,36418,21247,684972,1386336,938097,1067522,1002886,977984,889766,677021,373110,167506,7480230,22819,21909,36223,40509,35703,33039,22138,7561,2862,222770,109910,77205,63958,93917,139673,157045,162114,110954,45524,960305,3139,1801,2039,2168,1892,2008,1371,633,214,15259,15203,9264,10291,12151,12249,13217,11840,6921,2491,93624,1672,1216,1253,929,666,639,360,283,135,7150,334073,214917,203763,223372,242004,235997,191070,116393,46138,1807730,712,446,552,622,662,849,876,559,190,5452,32062,23446,20013,23565,32973,25237,20443,17432,6847,202018,3029,2251,2384,3384,3361,3345,3122,1833,687,23388,3581,2250,2044,1867,1796,1529,1098,539,193,14893,1409,1103,1030,1550,2415,2955,2999,2571,1154,17185,6587,3530,4074,5027,3506,3370,2661,1534,504,30798,5415,3576,4917,4621,4671,4874,4054,2296,1156,35586,15226,9405,9452,10368,9410,8837,6088,2240,608,71624,14185,9589,10377,13994,20811,27334,28847,19894,8450,153481,1054,797,644,905,1492,1995,2142,1460,591,11080,3953,2660,2565,2784,2859,2823,2577,1716,785,22729,16829,13086,11119,15434,21712,29839,31564,22672,9877,172132
2,91714,70554,89217,73975,70605,64730,49569,29273,16313,555957,1080917,770132,889191,805915,780416,677452,509597,285008,127990,5926624,25672,23395,35418,38405,31873,25985,16402,5452,1886,204493,34780,27623,22836,35175,60905,75563,83164,59195,25771,425007,786,517,493,523,465,496,276,114,49,3719,15063,9101,9787,10989,10634,10117,8812,5496,2053,82044,992,623,742,544,350,409,230,166,104,4162,228348,155619,147356,163393,186764,181572,143881,90301,38554,1335784,1375,829,825,1068,1165,1450,1787,1291,519,10302,31543,24502,20292,23662,37689,28209,21661,21006,8231,216791,1925,1450,1527,2233,2295,2247,2048,1275,514,15515,2769,1846,1566,1419,1380,1151,812,387,122,11457,2649,1718,1491,2185,3186,3870,3543,2996,1461,23101,4570,2304,2631,3348,2192,1875,1295,658,190,19067,3189,2287,3046,3138,2966,2984,2666,1685,970,22934,11382,7047,7564,8097,7152,6301,4621,1899,433,54490,6376,4387,5067,6283,9844,15835,20073,14455,6473,88797,640,458,358,557,909,1357,1546,1143,549,7517,1857,1298,1451,1464,1395,1298,1118,687,350,10923,11905,9373,7732,11939,18952,28264,32542,24393,11067,156166
3,80200,60923,70531,62499,61969,55294,41929,22201,12494,468043,912699,613148,646694,628122,631704,552884,422602,209816,85531,4703192,8276,7342,11748,14765,12567,9724,6674,2084,523,73697,62455,44619,33981,56176,89629,100204,103367,66931,24012,581373,24,10,12,15,10,12,11,0,0,94,16344,9734,9516,11510,11646,11328,9717,5378,1705,86876,680,491,415,346,327,298,233,211,75,3070,177645,111622,99195,121479,135522,130079,105134,59659,21141,961469,1075,683,563,800,1000,1184,1343,931,320,7902,5461,3925,3785,4554,5382,5037,3668,2559,993,35371,3603,2366,2509,3409,3560,3732,3145,1872,647,24840,5283,3403,2583,2642,2250,1838,1376,624,188,20192,6955,4286,3393,5154,6682,7502,6906,4773,1867,47515,1202,634,543,841,498,280,158,69,13,4228,3587,2300,2401,2960,3274,3738,3299,2031,790,24387,15912,9037,8681,9687,8756,8229,6293,2660,656,69900,8972,5857,6116,8969,15017,20579,23250,14360,5537,108664,816,605,450,787,1244,1629,1773,1215,472,8989,3227,2063,1913,2222,2225,2055,1873,1183,500,17268,19462,13711,10842,18148,26561,32699,34297,22579,8076,186373
4,24658,17893,20312,18566,20253,19578,15158,8696,5100,150216,293005,208674,218111,209468,226890,213925,168850,93257,44484,1676653,4286,3905,5440,6294,5396,4309,2999,894,259,33788,9599,7525,5540,8872,16254,23495,27290,20253,9142,127970,4,0,0,0,0,0,0,0,0,10,4659,2537,2826,3218,3027,3369,3468,2225,890,26226,153,117,116,107,71,96,50,47,17,783,41681,29702,27183,31662,38144,41593,34971,21292,9613,275849,264,155,154,191,322,601,934,805,394,3826,5961,4753,4242,4268,6599,6609,4350,3917,1991,42689,720,471,505,833,775,956,911,605,255,6033,471,391,306,309,339,360,370,196,57,2794,6030,3894,2838,4141,5542,7029,7131,4505,2190,43305,606,250,252,381,260,137,86,34,3,2002,625,508,648,631,710,1005,1070,702,470,6357,4046,2528,2303,2661,2501,2560,2256,1099,295,20248,842,579,773,940,1369,2317,3062,2251,900,13041,201,136,117,192,324,557,652,517,232,2930,551,300,401,368,330,338,323,246,97,2952,6395,5095,3747,5755,9803,14442,19205,14091,6259,84797
5,42981,30260,44567,36851,34230,28611,19984,11692,6811,255990,476683,310327,379175,345044,334958,282038,199669,104097,42424,2474414,6961,5473,9668,12141,9143,6926,5306,1565,446,57622,23207,17902,12834,22196,40597,50498,53003,35771,13593,269583,4,6,4,0,7,7,3,0,0,40,8627,5095,4782,5629,5862,5095,4267,2412,836,42600,418,313,338,266,164,145,113,59,25,1839,91365,57648,52769,65687,69822,65401,52739,29649,11763,496847,1139,760,499,804,931,998,1109,761,241,7245,3809,2519,2550,3495,3705,3474,2947,1671,839,25006,1546,966,1004,1509,1610,1671,1554,927,339,11136,1316,838,711,772,698,693,573,260,80,5951,657,483,419,690,993,1062,1045,705,260,6315,961,404,443,650,409,257,121,64,12,3327,2278,1595,1676,2073,2372,2502,2069,1165,481,16220,6316,3474,3535,4194,3602,3119,2137,886,204,27463,3965,2378,2319,3235,4509,6065,6365,4133,1580,34549,179,140,148,228,360,567,730,490,192,3035,1425,813,792,991,883,740,726,453,219,7036,3798,2565,2132,3678,5350,7555,8825,6158,2469,42526
6,8031,5724,5635,5632,6754,7383,5897,3171,1455,49691,90205,60941,58028,59829,70048,72158,57379,29602,11762,509961,541,474,1680,1039,704,553,471,129,15,5605,5067,4322,3531,5751,11072,16271,18073,11821,4464,80380,0,0,0,0,0,0,0,0,0,4,673,483,555,552,821,1069,1213,836,321,6518,190,193,175,112,145,145,110,98,44,1210,9879,7022,6447,7765,9809,12036,10101,5930,2059,71045,97,63,42,68,89,137,154,97,34,786,379,274,228,284,380,335,232,221,80,2409,255,159,197,266,284,363,380,221,83,2220,301,149,126,178,134,165,148,96,33,1340,81,61,44,92,145,186,251,155,87,1099,89,38,51,51,31,13,14,4,0,287,316,174,209,225,267,361,366,225,114,2259,1000,552,595,601,638,645,518,233,36,4804,857,453,571,622,833,1363,1772,1250,518,8240,59,48,46,65,127,229,253,171,69,1077,170,75,118,164,129,161,164,117,58,1154,713,613,490,863,1602,2875,3684,2592,1010,14447
7,6885,5162,7580,5610,5140,3761,1762,575,173,36646,49474,30720,43037,34628,31309,23295,11663,3773,939,228838,620,425,1087,1004,732,541,317,120,31,4883,1902,1312,1449,1675,2320,2428,1843,829,171,13930,0,0,0,0,0,0,0,0,0,0,1477,786,866,767,625,549,281,98,33,5490,3,0,0,0,3,0,0,0,0,7,7850,4857,5871,6122,5659,4652,2874,1025,310,39208,45,16,27,31,28,12,20,3,0,184,1058,529,496,675,618,450,337,192,38,4400,82,53,54,92,82,63,61,17,6,507,129,80,77,86,66,42,48,11,3,549,1354,809,725,726,672,543,351,131,40,5350,68,19,26,47,24,10,6,0,0,203,545,307,353,300,289,205,138,46,7,2199,847,385,460,496,397,271,153,45,6,3062,161,123,166,214,290,377,334,139,23,1831,27,12,19,22,32,46,33,18,0,206,213,91,117,127,118,68,55,14,6,814,1621,1235,1065,1123,1183,1219,789,348,52,8636
8,5900,5117,6527,5182,4542,3871,2726,1554,998,36421,74479,55933,66115,58405,50990,41503,29452,14360,6159,397393,1464,1286,2660,2632,1811,1443,995,325,84,12696,4393,3225,2835,4131,5857,5747,5586,3806,1564,37141,0,0,0,5,0,3,0,0,0,10,563,443,544,553,510,520,420,263,93,3911,11,4,3,13,6,6,0,0,0,39,16669,10791,10143,12033,12128,10336,8394,5115,1964,87566,30,19,22,23,20,36,56,24,6,236,1120,804,738,811,1087,832,616,560,222,6778,136,47,72,126,106,106,86,51,21,750,142,109,95,112,88,75,41,19,5,696,179,150,145,240,263,309,311,271,125,1999,264,91,119,196,106,51,27,9,4,862,488,341,393,395,339,272,182,75,54,2532,946,598,611,679,554,417,297,92,18,4219,610,477,516,656,863,1036,1055,685,354,6243,67,49,35,42,84,74,82,61,22,512,147,94,117,131,95,85,48,24,12,752,818,541,588,950,1126,1299,1330,961,391,8005
9,68,96,171,121,131,113,75,32,5,808,814,419,572,638,712,708,475,184,55,4583,23,8,20,24,46,46,80,18,4,268,75,36,17,57,90,111,107,64,17,578,0,0,0,0,0,0,0,0,0,0,15,4,0,10,8,8,4,0,0,46,0,0,0,0,0,0,0,0,0,0,70,28,38,55,44,89,48,18,7,396,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7,0,0,0,0,3,0,0,0,0,0,0,0,0,0,9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,4,4,5,3,7,0,0,0,0,27,0,0,0,0,9,11,8,12,0,43,0,0,0,0,0,0,0,0,0,3,0,4,3,6,7,9,8,6,5,41,27,18,9,19,30,26,36,22,5,185
