STE_CODE_2021,C21_Chr_Ch_nfd_0_14,C21_Chr_Ch_nfd_15_24,C21_Chr_Ch_nfd_25_34,C21_Chr_Ch_nfd_35_44,C21_Chr_Ch_nfd_45_54,C21_Chr_Ch_nfd_55_64,C21_Chr_Ch_nfd_65_74,C21_Chr_Ch_nfd_75_84,C21_Chr_Ch_nfd_85ov,C21_Chr_Ch_nfd_Tot,C21_Chr_Oth_Ch_0_14,C21_Chr_Oth_Ch_15_24,C21_Chr_Oth_Ch_25_34,C21_Chr_Oth_Ch_35_44,C21_Chr_Oth_Ch_45_54,C21_Chr_Oth_Ch_55_64,C21_Chr_Oth_Ch_65_74,C21_Chr_Oth_Ch_75_84,C21_Chr_Oth_Ch_85ov,C21_Chr_Oth_Ch_Tot,C21_Christ_Tot_0_14,C21_Christ_Tot_15_24,C21_Christ_Tot_25_34,C21_Christ_Tot_35_44,C21_Christ_Tot_45_54,C21_Christ_Tot_55_64,C21_Christ_Tot_65_74,C21_Christ_Tot_75_84,C21_Christ_Tot_85ov,C21_Christ_Tot_Tot,C21_Hinduism_0_14,C21_Hinduism_15_24,C21_Hinduism_25_34,C21_Hinduism_35_44,C21_Hinduism_45_54,C21_Hinduism_55_64,C21_Hinduism_65_74,C21_Hinduism_75_84,C21_Hinduism_85ov,C21_Hinduism_Tot,C21_Islam_0_14,C21_Islam_15_24,C21_Islam_25_34,C21_Islam_35_44,C21_Islam_45_54,C21_Islam_55_64,C21_Islam_65_74,C21_Islam_75_84,C21_Islam_85ov,C21_Islam_Tot,C21_Judaism_0_14,C21_Judaism_15_24,C21_Judaism_25_34,C21_Judaism_35_44,C21_Judaism_45_54,C21_Judaism_55_64,C21_Judaism_65_74,C21_Judaism_75_84,C21_Judaism_85ov,C21_Judaism_Tot,C21_OR_AusAborTrad_0_14,C21_OR_AusAborTrad15_24,C21_OR_AusAborTrad25_34,C21_OR_AusAborTrad35_44,C21_OR_AusAborTrad45_54,C21_OR_AusAborTrad55_64,C21_OR_AusAborTrad65_74,C21_OR_AusAborTrad75_84,C21_OR_AusAborTrad85ov,C21_OR_AusAborTrade_Tot,C21_OR_Sikhism_0_14,C21_OR_Sikhism_15_24,C21_OR_Sikhism_25_34,C21_OR_Sikhism_35_44,C21_OR_Sikhism_45_54,C21_OR_Sikhism_55_64,C21_OR_Sikhism_65_74,C21_OR_Sikhism_75_84,C21_OR_Sikhism_85ov,C21_OR_Sikhism_Tot,C21_OR_Ot_Re_Gr_0_14,C21_OR_Ot_Re_Gr_15_24,C21_OR_Ot_Re_Gr_25_34,C21_OR_Ot_Re_Gr_35_44,C21_OR_Ot_Re_Gr_45_54,C21_OR_Ot_Re_Gr_55_64,C21_OR_Ot_Re_Gr_65_74,C21_OR_Ot_Re_Gr_75_84,C21_OR_Ot_Re_Gr_85ov,C21_OR_Ot_Re_Gr_Tot,C21_Oth_Rel_Tot_0_14,C21_Oth_Rel_Tot_15_24,C21_Oth_Rel_Tot_25_34,C21_Oth_Rel_Tot_35_44,C21_Oth_Rel_Tot_45_54,C21_Oth_Rel_Tot_55_64,C21_Oth_Rel_Tot_65_74,C21_Oth_Rel_Tot_75_84,C21_Oth_Rel_Tot_85ov,C21_Oth_Rel_Tot_Tot,C21_SBOSB_No_RA_0_14,C21_SBOSB_No_RA_15_24,C21_SBOSB_No_RA_25_34,C21_SBOSB_No_RA_35_44,C21_SBOSB_No_RA_45_54,C21_SBOSB_No_RA_55_64,C21_SBOSB_No_RA_65_74,C21_SBOSB_No_RA_75_84,C21_SBOSB_No_RA_85ov,C21_SBOSB_No_RA_Tot,C21_Rel_aff_ns_0_14,C21_Rel_aff_ns_15_24,C21_Rel_aff_ns_25_34,C21_Rel_aff_ns_35_44,C21_Rel_aff_ns_45_54,C21_Rel_aff_ns_55_64,C21_Rel_aff_ns_65_74,C21_Rel_aff_ns_75_84,C21_Rel_aff_ns_85ov,C21_Rel_aff_ns_Tot,C21_Tot_0_14,C21_Tot_15_24,C21_Tot_25_34,C21_Tot_35_44,C21_Tot_45_54,C21_Tot_55_64,C21_Tot_65_74,C21_Tot_75_84,C21_Tot_85ov,C21_Tot_Tot
1,37513,23704,27358,28269,25134,23842,17479,7874,2557,193728,902,658,572,722,889,948,835,526,220,6284,606458,400887,378396,445661,528188,546690,491538,318333,128304,3844453,57983,34857,66291,64552,23019,14081,8697,3405,897,273780,103517,48859,62172,60522,34083,22012,12433,4721,928,349240,6921,4083,4007,4833,5275,5012,5664,3185,1273,40249,363,195,232,193,207,156,59,13,0,1422,11136,5299,13094,9778,3262,2261,1621,530,174,47165,6039,4949,6628,6614,5398,4623,2926,1133,315,38621,17540,10453,19951,16589,8866,7043,4600,1680,487,87200,553640,366003,483975,390375,315841,274005,193652,77756,24526,2679783,101131,67039,91013,80126,65979,59902,50001,34887,24605,574690,1470001,954084,1142026,1103170,1016948,961784,788725,451521,183895,8072163
2,32173,20415,22435,25234,22631,19057,14686,6748,2256,165634,569,360,442,496,623,659,565,433,195,4345,392899,271748,257636,301742,371491,382711,345331,234324,99864,2657748,49745,23087,54336,55663,15393,8136,5533,1744,427,214058,79219,39399,51774,46439,26952,16265,8679,3585,715,273028,8686,5024,4777,5726,5676,5027,6666,3303,1756,46645,91,38,55,74,65,44,19,4,0,389,24643,9382,27380,21530,3528,2601,2114,449,116,91745,2600,2637,4616,4543,3474,2785,1750,597,173,23172,27333,12052,32053,26152,7064,5427,3885,1047,291,115311,510492,347943,467184,382391,315979,256790,179994,70206,22740,2553723,75416,50887,72317,62211,52456,46199,39072,25133,14793,438497,1169456,773536,975493,918738,826885,746547,605557,344801,142475,6503491
3,35870,20503,20759,22758,20749,18705,12816,5950,1842,159948,1371,1038,771,1078,1309,1253,1148,697,273,8944,369937,236896,208431,273522,335656,350370,319801,193675,69111,2357398,15294,7745,17112,16432,6140,3630,2177,793,210,69520,17893,8450,10976,10798,6182,3359,1906,694,131,60381,614,425,543,624,637,706,773,365,128,4815,270,115,166,140,138,98,41,11,7,979,7281,2598,9237,5908,1110,784,581,164,54,27713,2997,2987,4047,3731,3379,2455,1454,552,140,21746,10546,5696,13441,9780,4633,3344,2080,723,200,50437,471753,319475,373124,303552,255432,198585,133938,54364,15239,2125462,70009,51225,66345,58356,52884,45585,36110,22298,11601,414421,964322,637250,701724,687817,674132,615299,503466,274997,97140,5156138
4,9279,5536,5958,6695,6127,5876,4632,2249,757,47112,728,471,410,453,498,453,426,344,121,3903,92803,64952,58332,71692,93001,111798,111166,75373,33698,712815,8479,4876,10342,9235,2883,1192,734,278,80,38105,12047,6188,7710,7177,3981,1870,932,326,80,40302,157,93,100,170,145,148,191,91,47,1145,99,64,69,64,62,40,30,10,3,447,4200,2026,5832,3664,711,437,301,72,19,17259,967,1001,1390,1457,1341,1087,710,305,94,8352,5264,3093,7295,5190,2113,1573,1041,391,114,26060,161984,112781,130276,111931,102674,92083,67055,27544,8942,815275,18119,12442,15798,14967,14445,14180,12217,7757,4096,114023,303138,208326,235287,226660,224641,227147,196344,112656,47325,1781516
5,19708,11118,12078,13981,12181,9965,7105,2934,843,89919,455,302,314,370,478,500,354,190,77,3029,171182,109317,99342,130463,154536,160316,145773,88693,34054,1093666,13229,5104,11349,13248,4778,2405,1412,457,86,52055,19833,9586,11958,11771,6738,4009,1985,722,165,66764,814,592,549,598,768,790,878,463,222,5669,273,181,180,181,128,96,35,15,7,1096,4801,1663,6468,3731,732,594,440,113,28,18583,1041,1172,1777,2013,1650,1562,968,363,105,10658,6119,3018,8429,5928,2512,2256,1443,498,145,30338,253911,155821,195810,172205,140939,113142,73768,28027,8597,1142220,33736,23176,35245,33145,28850,23606,16822,10701,6401,211684,505783,312079,372352,379492,348256,313444,247382,131131,50106,2660026
6,2826,1603,1585,1851,1898,1834,1499,675,209,13986,60,55,45,65,87,109,137,87,30,683,23017,16328,15059,19567,28496,38312,39073,24829,9243,213933,1233,962,5377,1401,358,209,110,53,16,9724,1160,510,1935,757,289,160,94,33,3,4947,54,31,38,51,46,59,64,36,3,376,12,6,6,7,4,3,0,0,0,47,361,198,1294,261,30,27,16,8,4,2208,177,255,375,384,377,313,203,66,10,2159,551,459,1677,652,414,347,224,73,15,4413,59934,38116,45566,37768,34153,30518,22061,8474,2408,278999,6144,4198,5315,4711,4750,5236,4900,3025,1290,39572,92635,61089,76661,65959,69206,75393,66998,36649,12995,557571
7,1848,1094,1323,1181,911,586,337,93,18,7395,26,21,18,32,21,32,13,8,0,175,19265,11739,13114,13727,13333,11554,7666,3023,722,94142,1151,627,2601,1270,309,171,80,21,10,6236,792,344,1026,611,296,154,106,25,5,3351,18,12,28,24,22,23,18,4,0,163,871,737,596,475,389,231,99,37,12,3437,318,93,622,276,26,41,17,3,0,1401,83,54,132,164,129,89,57,24,10,720,1260,889,1347,910,546,359,175,65,15,5563,20580,12245,17916,13525,10814,8407,4492,1301,226,89499,5208,3695,5769,4748,3917,3020,1656,597,159,28772,48897,29968,42894,35817,29970,24236,14499,5157,1157,232605
8,2213,1250,1546,1799,1346,1176,838,355,108,10642,15,20,25,38,46,61,62,35,16,323,28798,19057,18551,22924,24635,22425,19435,12422,4979,173227,4233,2187,6652,4495,1440,768,496,181,50,20505,4349,1724,2849,3021,1411,715,394,129,25,14613,164,153,124,126,108,73,76,49,10,886,20,7,7,13,8,3,3,0,0,54,1064,399,1500,859,224,140,87,46,9,4323,127,240,301,313,288,216,131,41,25,1692,1209,646,1808,1189,512,362,222,89,29,6068,38615,31448,40207,31205,23337,17335,12147,5000,1406,200696,4106,4108,4900,3798,2955,2283,1908,1153,596,25803,82936,60606,77747,69387,56207,45406,35673,19350,7181,454499
9,8,11,11,3,15,9,17,0,0,79,0,0,0,0,0,3,0,0,0,3,200,97,82,157,222,282,232,126,30,1428,3,0,0,8,0,0,0,0,0,12,202,82,108,106,64,107,69,29,14,769,0,0,0,0,5,0,0,0,0,3,3,0,0,3,3,0,5,0,0,14,0,0,0,4,0,0,0,0,0,5,3,0,0,6,0,3,6,0,0,17,7,0,0,7,4,4,0,0,0,31,283,130,163,178,189,200,110,34,12,1303,105,88,214,161,134,121,90,47,4,975,825,410,583,642,665,772,586,257,66,4788
