STE_CODE_2021,C11_15_19_Married_M,C11_15_19_Married_F,C11_15_19_Married_P,C11_15_19_Sep_M,C11_15_19_Sep_F,C11_15_19_Sep_P,C11_15_19_Div_M,C11_15_19_Div_F,C11_15_19_Div_P,C11_15_19_Wid_M,C11_15_19_Wid_F,C11_15_19_Wid_P,C11_15_19_Nvr_marrd_M,C11_15_19_Nvr_marrd_F,C11_15_19_Nvr_marrd_P,C11_15_19_Tot_M,C11_15_19_Tot_F,C11_15_19_Tot_P,C11_20_24_Married_M,C11_20_24_Married_F,C11_20_24_Married_P,C11_20_24_Sep_M,C11_20_24_Sep_F,C11_20_24_Sep_P,C11_20_24_Div_M,C11_20_24_Div_F,C11_20_24_Div_P,C11_20_24_Wid_M,C11_20_24_Wid_F,C11_20_24_Wid_P,C11_20_24_Nvr_marrd_M,C11_20_24_Nvr_marrd_F,C11_20_24_Nvr_marrd_P,C11_20_24_Tot_M,C11_20_24_Tot_F,C11_20_24_Tot_P,C11_25_29_Married_M,C11_25_29_Married_F,C11_25_29_Married_P,C11_25_29_Sep_M,C11_25_29_Sep_F,C11_25_29_Sep_P,C11_25_29_Div_M,C11_25_29_Div_F,C11_25_29_Div_P,C11_25_29_Wid_M,C11_25_29_Wid_F,C11_25_29_Wid_P,C11_25_29_Nvr_marrd_M,C11_25_29_Nvr_marrd_F,C11_25_29_Nvr_marrd_P,C11_25_29_Tot_M,C11_25_29_Tot_F,C11_25_29_Tot_P,C11_30_34_Married_M,C11_30_34_Married_F,C11_30_34_Married_P,C11_30_34_Sep_M,C11_30_34_Sep_F,C11_30_34_Sep_P,C11_30_34_Div_M,C11_30_34_Div_F,C11_30_34_Div_P,C11_30_34_Wid_M,C11_30_34_Wid_F,C11_30_34_Wid_P,C11_30_34_Nvr_marrd_M,C11_30_34_Nvr_marrd_F,C11_30_34_Nvr_marrd_P,C11_30_34_Tot_M,C11_30_34_Tot_F,C11_30_34_Tot_P,C11_35_39_Married_M,C11_35_39_Married_F,C11_35_39_Married_P,C11_35_39_Sep_M,C11_35_39_Sep_F,C11_35_39_Sep_P,C11_35_39_Div_M,C11_35_39_Div_F,C11_35_39_Div_P,C11_35_39_Wid_M,C11_35_39_Wid_F,C11_35_39_Wid_P,C11_35_39_Nvr_marrd_M,C11_35_39_Nvr_marrd_F,C11_35_39_Nvr_marrd_P,C11_35_39_Tot_M,C11_35_39_Tot_F,C11_35_39_Tot_P,C11_40_44_Married_M,C11_40_44_Married_F,C11_40_44_Married_P,C11_40_44_Sep_M,C11_40_44_Sep_F,C11_40_44_Sep_P,C11_40_44_Div_M,C11_40_44_Div_F,C11_40_44_Div_P,C11_40_44_Wid_M,C11_40_44_Wid_F,C11_40_44_Wid_P,C11_40_44_Nvr_marrd_M,C11_40_44_Nvr_marrd_F,C11_40_44_Nvr_marrd_P,C11_40_44_Tot_M,C11_40_44_Tot_F,C11_40_44_Tot_P,C11_45_49_Married_M,C11_45_49_Married_F,C11_45_49_Married_P,C11_45_49_Sep_M,C11_45_49_Sep_F,C11_45_49_Sep_P,C11_45_49_Div_M,C11_45_49_Div_F,C11_45_49_Div_P,C11_45_49_Wid_M,C11_45_49_Wid_F,C11_45_49_Wid_P,C11_45_49_Nvr_marrd_M,C11_45_49_Nvr_marrd_F,C11_45_49_Nvr_marrd_P,C11_45_49_Tot_M,C11_45_49_Tot_F,C11_45_49_Tot_P,C11_50_54_Married_M,C11_50_54_Married_F,C11_50_54_Married_P,C11_50_54_Sep_M,C11_50_54_Sep_F,C11_50_54_Sep_P,C11_50_54_Div_M,C11_50_54_Div_F,C11_50_54_Div_P,C11_50_54_Wid_M,C11_50_54_Wid_F,C11_50_54_Wid_P,C11_50_54_Nvr_marrd_M,C11_50_54_Nvr_marrd_F,C11_50_54_Nvr_marrd_P,C11_50_54_Tot_M,C11_50_54_Tot_F,C11_50_54_Tot_P,C11_55_59_Married_M,C11_55_59_Married_F,C11_55_59_Married_P,C11_55_59_Sep_M,C11_55_59_Sep_F,C11_55_59_Sep_P,C11_55_59_Div_M,C11_55_59_Div_F,C11_55_59_Div_P,C11_55_59_Wid_M,C11_55_59_Wid_F,C11_55_59_Wid_P,C11_55_59_Nvr_marrd_M,C11_55_59_Nvr_marrd_F,C11_55_59_Nvr_marrd_P,C11_55_59_Tot_M,C11_55_59_Tot_F,C11_55_59_Tot_P,C11_60_64_Married_M,C11_60_64_Married_F,C11_60_64_Married_P,C11_60_64_Sep_M,C11_60_64_Sep_F,C11_60_64_Sep_P,C11_60_64_Div_M,C11_60_64_Div_F,C11_60_64_Div_P,C11_60_64_Wid_M,C11_60_64_Wid_F,C11_60_64_Wid_P,C11_60_64_Nvr_marrd_M,C11_60_64_Nvr_marrd_F,C11_60_64_Nvr_marrd_P,C11_60_64_Tot_M,C11_60_64_Tot_F,C11_60_64_Tot_P,C11_65_69_Married_M,C11_65_69_Married_F,C11_65_69_Married_P,C11_65_69_Sep_M,C11_65_69_Sep_F,C11_65_69_Sep_P,C11_65_69_Div_M,C11_65_69_Div_F,C11_65_69_Div_P,C11_65_69_Wid_M,C11_65_69_Wid_F,C11_65_69_Wid_P,C11_65_69_Nvr_marrd_M,C11_65_69_Nvr_marrd_F,C11_65_69_Nvr_marrd_P,C11_65_69_Tot_M,C11_65_69_Tot_F,C11_65_69_Tot_P,C11_70_74_Married_M,C11_70_74_Married_F
1,471,939,1407,117,123,244,156,128,277,126,111,237,227359,213893,441253,228228,215191,443415,9346,21513,30861,513,1342,1851,329,599,924,163,192,352,216605,199092,415697,226954,222734,449684,59016,88108,147123,2368,4732,7095,2043,3984,6029,183,349,532,170080,142299,312381,233693,239470,473163,115356,134547,249904,4824,7656,12477,5956,9722,15677,241,600,844,104230,85200,189430,230612,237725,468331,144719,156201,300921,7331,11192,18526,12018,18927,30941,420,1239,1658,74427,61653,136080,238916,249209,488126,147835,157700,305534,9449,13178,22628,18552,28708,47267,730,2422,3151,58316,46612,104927,234887,248612,483499,152040,154753,306789,10427,13718,24147,25335,36122,61458,1330,4139,5475,47746,35813,83564,236881,244552,481426,150283,151452,301736,10956,12846,23802,30123,40594,70722,2105,6986,9086,36859,26820,63683,230325,238695,469023,139109,137043,276152,9308,9996,19306,29643,37768,67405,3072,10931,14007,24978,17766,42739,206109,213510,419614,136793,126224,263014,8141,7797,15937,27257,33972,61227,4872,17029,21905,16962,11636,28599,194026,196650,390675,108724,94893,203622,5697,4875,10574,19085,23354,42436,6319,23457,29773,10837,7083,17917,150662,153660,304324,83449,69452
2,348,723,1073,85,85,173,100,111,208,92,91,179,176385,167314,343696,177008,168331,345342,6425,14671,21095,373,856,1230,277,429,708,174,173,349,183433,168285,351721,190682,184420,375108,45284,66712,111990,1538,3109,4652,1250,2608,3860,159,260,421,144866,122889,267751,193091,195579,388668,90584,103173,193761,3362,5411,8773,4282,6955,11236,176,438,615,85584,72246,157832,183991,188222,372216,112749,121225,233980,5330,8146,13481,8965,14130,23096,343,903,1251,59888,51734,111617,187276,196141,383415,120218,127544,247763,7397,10368,17760,14957,22812,37767,567,1890,2453,46671,38781,85453,189808,201393,391203,118727,121290,240014,8327,10471,18796,19564,28298,47858,988,2878,3866,34484,27339,61828,182087,190280,372368,115449,115642,231092,7987,9579,17562,22482,30709,53194,1568,5085,6655,25629,19977,45609,173111,180992,354109,106788,105303,212085,6840,7508,14348,21703,28679,50386,2432,7890,10321,17277,13019,30298,155037,162402,317439,103568,98550,202121,5728,5746,11474,18987,25441,44422,3471,12709,16180,11430,8181,19611,143189,150621,293812,81907,73114,155018,3900,3544,7441,12819,16422,29241,4266,16908,21172,7122,4908,12035,110017,114897,224910,64135,53502
3,339,606,944,91,87,183,118,117,233,65,55,119,149812,142616,292430,150422,143492,293919,6509,12797,19308,444,996,1439,238,347,589,127,130,252,140253,132011,272260,147570,146281,293847,36137,51731,87870,1849,3374,5223,1394,2500,3903,146,234,378,109803,93532,203335,149333,151374,300712,65518,77314,142835,3506,5566,9068,4151,6477,10628,184,387,569,67886,55716,123602,141241,145455,286696,86200,94424,180629,5606,7877,13485,8970,13151,22119,263,881,1143,50128,40679,90807,151169,157017,308183,93123,98387,191508,7098,9205,16305,14059,20231,34288,501,1447,1944,38129,30384,68515,152918,159655,312570,92592,95719,188317,7587,9277,16863,18446,25446,43892,826,2628,3450,29206,21017,50220,148658,154088,302746,91169,92423,183599,7080,8093,15173,21441,27369,48811,1304,4151,5462,20654,14447,35099,141657,146484,288140,85395,83968,169360,5967,6158,12129,20821,25074,45896,1961,6390,8346,13350,8886,22240,127486,130475,257966,85048,78733,163779,5126,4716,9845,19460,22264,41724,3024,10182,13197,9065,5503,14572,121720,121400,243124,66728,57757,124487,3579,3036,6620,13279,14975,28253,3750,13478,17223,5783,3400,9184,93117,92641,185761,48960,39306
4,114,197,306,45,31,75,37,29,64,21,43,66,52874,49873,102740,53084,50165,103249,1873,4115,5988,132,318,448,54,130,182,54,73,128,51870,46979,98844,53977,51609,105585,12334,18208,30545,528,1041,1570,460,801,1258,54,101,157,39032,31952,70981,52408,52099,104508,23065,26684,49757,1120,1640,2757,1264,2112,3376,80,174,255,23381,18301,41682,48906,48906,97822,28804,31408,60212,1672,2352,4013,2829,4302,7134,92,341,430,18202,13967,32170,51605,52359,103965,32547,34219,66763,2300,3004,5300,5038,7194,12232,216,621,841,15671,11608,27279,55769,56644,112406,33608,34494,68109,2692,3189,5880,7021,9532,16552,313,984,1294,12436,8815,21255,56072,57015,113086,34291,35069,69358,2686,2973,5661,8522,10793,19312,593,1576,2173,9038,6315,15354,55124,56736,111857,32988,33273,66260,2316,2258,4579,8125,10140,18261,773,2541,3318,5683,3917,9595,49881,52126,102013,33974,32645,66618,1801,1702,3498,7379,8865,16239,1175,4100,5278,3535,2425,5961,47857,49739,97599,27023,24671,51686,1146,1015,2159,4662,5773,10440,1446,5513,6959,2037,1382,3420,36315,38345,74668,21088,18177
5,222,357,580,44,55,105,48,43,94,38,42,75,76114,71241,147353,76469,71739,148211,3270,6746,10013,196,504,704,120,168,292,73,82,153,78534,69320,147851,82189,76820,159010,19391,28061,47456,937,1519,2461,649,1103,1746,80,135,220,65728,50333,116067,86797,81148,167948,36776,42603,79387,1733,2326,4052,1980,2874,4856,81,213,297,38598,28963,67564,79173,76982,156152,47806,50515,98327,2532,3351,5876,4153,5845,9995,140,370,510,26701,20115,46817,81330,80199,161528,52323,53325,105648,3417,4225,7642,6840,9390,16224,264,778,1042,20870,15304,36178,83711,83021,166734,51693,51145,102841,3789,4235,8023,9263,12229,21495,424,1245,1671,15318,10506,25831,80490,79364,159855,49261,48600,97863,3653,3877,7529,10850,13383,24234,706,2056,2767,10831,7140,17978,75303,75058,150371,45178,44250,89424,3029,3009,6042,10503,12573,23077,991,3045,4035,6856,4454,11315,66559,67336,133893,43459,39403,82864,2490,2309,4799,9153,10694,19844,1412,4692,6104,4241,2673,6919,60761,59770,120530,32230,27298,59531,1621,1326,2945,5664,6849,12518,1578,5788,7366,2473,1488,3965,43562,42761,86321,24200,19700
6,29,52,79,12,13,27,11,16,27,11,13,22,16782,15743,32520,16841,15847,32686,495,1032,1523,45,93,136,33,34,72,14,20,33,14340,13474,27814,14924,14653,29574,3050,4368,7415,195,363,553,124,217,338,21,49,67,10302,9397,19698,13690,14383,28076,5559,6873,12432,342,544,888,404,638,1037,23,45,69,6728,6054,12776,13055,14158,27205,7701,8870,16570,581,829,1411,881,1392,2268,34,106,136,5599,4913,10512,14793,16113,30908,9237,10149,19392,817,999,1813,1544,2403,3946,64,174,243,4667,3887,8557,16331,17617,33944,9947,10594,20537,878,1088,1965,2388,3176,5559,124,368,490,3755,2721,6476,17085,17944,35026,11068,11577,22644,906,1015,1920,2785,3623,6409,189,549,738,2806,2023,4821,17749,18781,36527,11035,11188,22222,735,730,1462,2798,3403,6199,287,883,1166,1855,1194,3049,16704,17387,34093,11404,10662,22063,624,601,1222,2559,3021,5578,457,1412,1872,1203,789,1996,16240,16491,32729,9077,7942,17016,407,326,735,1751,1989,3741,614,1976,2594,745,478,1228,12601,12715,25315,6930,5580
7,284,487,770,21,22,40,13,4,20,6,5,9,7532,6441,13981,7856,6968,14820,1251,1673,2927,57,100,158,27,63,84,17,25,43,7629,5999,13629,8985,7859,16839,2820,3473,6290,120,205,331,107,153,265,23,44,69,6754,5503,12255,9826,9380,19212,3906,4382,8286,188,254,437,222,304,525,24,60,85,4399,3612,8010,8729,8620,17342,4554,4574,9135,292,314,600,420,547,967,30,95,125,3230,2763,5994,8535,8298,16828,4430,4600,9030,371,403,772,734,809,1542,40,173,207,2660,2122,4778,8232,8104,16337,4216,4002,8215,397,378,774,860,1003,1867,60,221,273,2086,1578,3663,7611,7192,14801,3928,3751,7682,357,353,709,1081,1153,2229,94,340,434,1575,1143,2722,7026,6749,13776,3524,3113,6638,368,268,632,1096,1081,2180,157,440,598,930,644,1575,6082,5548,11630,3065,2206,5266,260,231,495,970,800,1772,159,510,669,578,347,926,5028,4097,9120,1732,1193,2923,183,107,288,529,413,945,153,478,632,327,175,504,2927,2365,5287,1036,625
8,23,34,60,0,5,5,0,6,5,5,9,10,12328,11587,23918,12362,11635,24000,440,1005,1448,28,66,96,7,26,35,12,8,23,15150,14001,29152,15638,15108,30749,3459,5110,8566,106,201,307,103,176,285,7,13,18,11594,9762,21358,15276,15263,30537,6820,7800,14623,240,337,574,332,546,874,7,21,36,6325,5275,11596,13723,13986,27707,8096,8496,16588,380,510,893,670,1030,1703,22,74,97,4182,3494,7675,13357,13601,26957,8148,8262,16407,501,583,1075,1015,1608,2627,35,95,133,3098,2636,5729,12794,13178,25973,7839,7891,15729,496,651,1149,1327,1997,3322,59,166,219,2226,1954,4182,11943,12654,24600,7611,7492,15100,514,558,1072,1422,2193,3610,86,312,392,1707,1519,3229,11331,12073,23405,6898,6684,13587,403,462,865,1394,2070,3462,126,452,577,1055,865,1921,9880,10533,20410,6632,5980,12615,295,365,661,1205,1824,3029,199,700,904,631,537,1167,8967,9408,18371,4745,3949,8700,193,183,376,698,1135,1836,221,901,1119,325,313,641,6184,6487,12674,3272,2720
9,0,0,0,0,0,0,0,0,0,0,0,0,112,52,165,112,52,165,12,16,28,0,0,0,0,0,0,0,0,0,188,53,241,201,71,271,121,32,155,0,0,3,0,0,4,0,0,0,227,34,263,358,69,425,119,46,171,5,0,7,0,0,4,0,0,0,93,25,123,224,74,298,96,55,154,5,0,4,3,5,5,0,0,0,45,18,62,149,78,226,82,62,147,5,0,7,8,4,11,0,3,3,35,18,46,125,99,219,103,76,179,4,3,7,12,9,20,0,0,0,15,14,23,127,95,226,75,72,143,4,0,3,15,7,21,0,3,3,18,13,24,107,93,203,85,68,152,7,4,7,14,7,16,0,0,0,7,7,16,110,86,196,84,27,104,5,0,5,6,0,11,8,15,20,5,4,12,108,41,146,29,24,52,6,0,6,5,0,5,0,6,8,4,0,4,41,26,67,30,15
