STE_CODE_2021,C21_450_549_1PF_CU15_DS,C21_450_549_1PF_CU15_NDS,C21_450_549_1PFnoCU15_DS,C21_450_549_1PF_NDCO,C21_450_549_Tot,C21_550_649_1PF_CU15_DS,C21_550_649_1PF_CU15_NDS,C21_550_649_1PFnoCU15_DS,C21_550_649_1PF_NDCO,C21_550_649_Tot,C21_650_749_1PF_CU15_DS,C21_650_749_1PF_CU15_NDS,C21_650_749_1PFnoCU15_DS,C21_650_749_1PF_NDCO,C21_650_749_Tot,C21_750_849_1PF_CU15_DS,C21_750_849_1PF_CU15_NDS,C21_750_849_1PFnoCU15_DS,C21_750_849_1PF_NDCO,C21_750_849_Tot,C21_850_949_1PF_CU15_DS,C21_850_949_1PF_CU15_NDS,C21_850_949_1PFnoCU15_DS,C21_850_949_1PF_NDCO,C21_850_949_Tot,C21_950over_1PF_CU15_DS,C21_950over_1PF_CU15_NDS,C21_950over_1PFnoCU15_DS,C21_950over_1PF_NDCO,C21_950over_Tot,C21_Rns_1PF_CU15_DS,C21_Rns_1PF_CU15_NDS,C21_Rns_1PFnoCU15_DS,C21_Rns_1PF_NDCO,C21_Rns_Tot,C21_Tot_1PF_CU15_DS,C21_Tot_1PF_CU15_NDS,C21_Tot_1PFnoCU15_DS,C21_Tot_1_pa_f_NDCO,C21_Tot_Tot
1,3054,13990,4037,7695,28778,1744,6993,2363,3862,14965,851,3167,1236,1666,6914,448,1455,666,782,3349,239,749,371,418,1782,449,1304,728,547,3027,448,2322,611,1724,5107,14524,76067,19645,43015,153251
2,1554,5705,2343,2762,12372,531,1906,973,843,4246,286,854,443,331,1918,114,466,224,189,997,74,262,151,91,581,160,415,244,219,1046,328,1702,544,1298,3871,10653,51273,15438,27846,105209
3,1974,8228,2471,3823,16494,763,2736,923,1365,5786,312,1037,353,495,2193,114,408,158,197,876,55,186,71,95,413,72,216,94,102,477,309,1827,327,1006,3469,12006,64531,13364,29173,119076
4,282,1010,376,498,2169,76,255,113,116,555,30,79,51,42,203,9,37,25,9,79,13,20,9,4,45,6,24,14,4,48,67,489,97,354,1014,3314,18190,4372,9191,35067
5,643,2363,730,963,4691,208,653,273,278,1411,79,236,105,127,548,55,126,53,44,285,14,63,29,30,138,33,91,34,46,203,128,784,143,415,1476,4660,25253,5354,10910,46179
6,97,431,101,144,773,35,94,35,41,206,8,19,8,18,54,0,4,3,5,14,0,3,0,0,6,0,0,0,0,0,30,181,26,104,333,1143,6583,1197,2657,11579
7,58,340,61,160,623,34,131,27,63,261,12,58,9,26,103,3,17,5,10,36,0,3,4,0,9,0,5,0,11,20,22,208,13,112,358,474,3844,379,1600,6300
8,132,810,211,372,1525,90,414,150,177,833,43,146,43,67,301,16,53,24,19,113,9,17,8,15,57,9,28,11,9,56,24,125,27,94,272,714,3482,889,1704,6789
9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8,37,8,23,81
